ai.yavar.mavencl	copper-ai-android-sdk	0.0.1		N/A
com.farao-community.farao	farao-glsk-document-cim	3.6.0		be4a2f4c814461e9ce6940589dfd2f584ed83709
com.farao-community.farao	farao-glsk-document-cim	3.7.0		e7963cd029a583bef6d1e89d7a4bf330d49c78bd
com.farao-community.farao	farao-glsk-document-cim	3.7.1		da69d2f11e95ab3e15bd82fa548113b4bffffc29
com.farao-community.farao	farao-virtual-hubs-configuration-server	0.0.1		f1ece7b2876a3a164f8ff0265d8caa209d49a991
com.farao-community.farao	farao-virtual-hubs-configuration-server	0.0.2		9c4bb769c4ae4094dbc9ba359068f352c02f483f
com.farao-community.farao	farao-virtual-hubs-configuration-server	0.0.3		e73cb31d0e43dadc31131fd2235f00bbd7d657c3
com.farao-community.farao	farao-virtual-hubs-configuration-server	0.0.4		10ba723edff417bbd11e33125365da00003c845b
com.farao-community.farao	farao-virtual-hubs-configuration-server	0.0.5		c2dc486c983bbc48bf7880d3402a19e559afccf0
com.farao-community.farao	farao-virtual-hubs-configuration-server	0.0.6		ccb4af2b60ef29f37ae93f36bb4d92caf853230c
com.farao-community.farao	farao-virtual-hubs-configuration-server	0.0.7		a823d9a918b5af8098e91abd343806e3a69cd8e1
com.farao-community.farao	farao-virtual-hubs-configuration-server	0.0.8		b0539a62f93464954f4c965327f11ee03b5a8a0c
com.farao-community.farao	farao-virtual-hubs-configuration-server	0.0.9		da6e91a24128eb3129c4dd7f52d7d5cdd2c4e5e5
com.fengzijk	sign	1.0.0		ed784df8d2d4802aeb0340f44deb7c680bdc35f8
com.fengzijk	sign	1.0.1		b42b3ddda1a9e3cf0c7ef9e1abd638e7f9ee7230
com.fortysevendeg	scalacheck-toolbox-magic_2.10	0.2.1		15458210c3c4592a1d1922bceb349869883e448f
com.github.L-kaxy	superboot-menus	1.2.0		84d4302c8d3a239305bf36bc5fce1cdb93c58308
com.github.alexarchambault	scalacheck-shapeless_1.14_2.13.0-M5	1.2.1		5bd5d86d849b0919d0faed11741a9832dc3cce95
com.github.liaomengge	base-quartz-spring-boot-starter	2.0.5-RELEASE		90aa0868056bf0cb6b0b104988343a2596d7029c
com.github.liaomengge	base-quartz-spring-boot-starter	3.0.0.RELEASE		f327e212c4fdd6975c4bd8f8e730887837362743
com.github.liaomengge	base-quartz-spring-boot-starter	3.1.0.RELEASE		69065a7e37aa006f08254963ef25058ccce847be
com.github.nomou.spreadsheet	spreadsheet	1.0.2		N/A
com.github.nomou.spreadsheet	spreadsheet	1.0.3		N/A
com.github.nomou.spreadsheet	spreadsheet	1.0.4		N/A
com.github.strator-dev.greenpepper	greenpepper-open	4.0		N/A
com.github.strator-dev.greenpepper	greenpepper-open	4.0-RC1		N/A
com.github.strator-dev.greenpepper	greenpepper-open	4.0-beta2		N/A
com.github.strator-dev.greenpepper	greenpepper-open	4.0.1		N/A
com.github.strator-dev.greenpepper	greenpepper-open	4.0.2		N/A
com.github.strator-dev.greenpepper	greenpepper-open	4.0.3		N/A
com.github.strator-dev.greenpepper	greenpepper-open	4.0.4		N/A
com.github.strator-dev.greenpepper	greenpepper-open	4.1		N/A
com.github.strator-dev.greenpepper	greenpepper-open	4.1.1		N/A
com.github.strator-dev.greenpepper	greenpepper-open	4.1.3		N/A
com.github.strator-dev.greenpepper	greenpepper-open	4.1.4		N/A
com.github.strator-dev.greenpepper	greenpepper-open	4.1.5		N/A
com.github.strator-dev.greenpepper	greenpepper-open	4.1.6		N/A
com.github.strator-dev.greenpepper	greenpepper-open	4.1.7		N/A
com.github.strator-dev.greenpepper	greenpepper-open	4.1.8		N/A
com.github.strator-dev.greenpepper	greenpepper-open	4.2.0		N/A
com.github.strator-dev.greenpepper	greenpepper-open	4.2.1		N/A
com.github.strator-dev.greenpepper	greenpepper-open	4.2.2		N/A
com.github.strator-dev.greenpepper	greenpepper-open	4.2.3		N/A
com.github.strator-dev.greenpepper	greenpepper-open	4.2.4		N/A
com.github.zhycn	xbird-starter-dubbo	2.0.0		8bfced5ecb4f95b7a19ae84f1cfe3b3f72ba01c7
com.github.zhycn	xbird-starter-dubbo	2.1.0		8df9e84293abe7372154459b4dc3c9f67442c277
com.github.zhycn	xbird-starter-dubbo	2.2.0		a864b95df2258e6620192b4857a19046cf88ac9a
com.github.zhycn	xbird-starter-dubbo	2.3.0		1cebed8960ab456d986f62040b2ab7416dcd4ba9
com.github.zhycn	xbird-starter-dubbo	Better.SR1		920b5ffbc821b1549efa9589516e71f3ab3d9fd3
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.0		5508c59a8d9789aa7937f5fee449ee8c86c20381
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.1		ad5b9cdad1d304c6157399b29caff26ef4a5dd26
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.10		e28e83b2d30cac929ed4d15d06ab06fb298d2b79
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.10	jspc	e39257c2eaef5a40006b47010799048291d8c0b3
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.11		08e30c4c2f80cd8a98364cadc4e521f9199cd148
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.11	jspc	21fad8aaff42367d05331b2c178c6d6f25ecd62b
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.12		1590b2da6b44fff98f74d20e58a8bdb61f8a5b00
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.12	jspc	931021cd32bc00b8ad2cbca94846d7df082e5621
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.13		5414264868a79a3c04d83ed70d00e159a03ec092
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.13	jspc	498660262a635242cdbd3ea6d887e4968700fbad
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.14		8b6d7c9d0fd6695bc05edc8be5462b646b764b39
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.14	jspc	a531b3f2aec50dc512a5eaaac087735d3f1bcbd6
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.15		a824fa5cf9c751c1520c0f371280f47893ec62a0
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.15	jspc	975e0e44d8b950fec56096e0615a407a7f714b13
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.16		4fd086dd9915e8be0c7ff7e177823757343526e8
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.16	jspc	4ecc1f29970d9c162f3411861605ee8b534760fa
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.17		8d642dccf1288fc0527ea5bd4815085f35390b70
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.17	jspc	bec29a9d15adbc007220428a7a572fd6b2728438
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.18		e06dae487b84e29badfa7d91261e678fd4c5850d
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.18	jspc	0a0487680fd4cd833cf491cc867725e6ab9ab709
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.19		c9e3d9ad42e71fd3f21b5fecdbf3c06af704cf4a
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.19	jspc	2c758d75330f82c68618bca70bfeb79c72f0243c
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.2		1fded91fd14532032a51b65199a4e584f8eeb75b
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.20		883d7aec1d54da17aff4ad446e2f78c8f9550648
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.20	jspc	40f7fd19b2503173ff8228eff80935c77b7d2abc
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.21		f93cddae10fbf0aa54e941b0a7fd4d4332725eca
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.21	jspc	a1130c543c7203cad43a5e3f587124a98f7285cc
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.22		819e3d25c920d1913ca3e682267f6b3de423d248
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.22	jspc	57a74c016fcb4d383d97072310b7c8adcb2dd1e7
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.23		49b61a449f43096d2ab1d5c46ceb2698b15d5e26
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.23	jspc	79ba1bd8b9d4452deb9e4a2b7020cafb47ddb486
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.24		42ef3a0a1d455ab8a6d99e137373c75388662d51
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.24	jspc	5c62dec9bd2e9e6ede0233801d053a1b0fd4400b
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.25		e5a2a49643a69115053cc006019de66b17853bc9
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.25	jspc	4b5ff6c0af5c38a315a881e77d17c040e71acba8
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.26		af22bf9ec295acfb4dabc6245857f7848aa6899f
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.26	jspc	e9c35d17eeedb887a700b5125e6ab413d79ebed6
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.3		f3cf4d69d60907b2252cec65c08dec9b60e733db
com.liferay	com.liferay.portal.settings.authentication.cas.web	1.0.4		3bbdae28e20b0ea543c0c362346e05872d92d871
