ai.abra	abra-sdk	1.0.0		N/A
com.codecommit	shims-core_2.12	0.4.1-428495f		36a17c60fa24879cb19430d0c78c50a873c7610a
com.codecommit	shims-core_2.12	0.4.1-cf0a86b		880c31afae67a18b63892952b1ce3dec10f75fc6
com.codecommit	shims-core_2.12	0.4.2		c6de9aed346e7763f7e2b058b3d23c720c07613b
com.codecommit	shims-core_2.12	1.0-b0e5152		4c7fb0a2dac382c47d5b328c361e74e21f25ff61
com.feedzai	openml-python-common	0.1.0		8f4c40ee3d24aa96dd352df37587a90d4074646e
com.feedzai	openml-python-common	0.1.1		3d664102e693d86d97a0f660f35119eaacad82f7
com.feedzai	openml-python-common	0.1.2		012f920496abb04e831f99f2f4e9ebff3cabb329
com.feedzai	openml-python-common	0.1.3		9ed709e40ce7166906a2035d38e1ec57c03d5a2d
com.feedzai	openml-python-common	0.1.4		922cc3cce6d2787662691a8273048de56aa718b0
com.feedzai	openml-python-common	0.1.5		0be807454d67469a170f820efe99e305f0f6eb3b
com.feedzai	openml-python-common	0.1.6		700c90fa7423b495d918503b1b04fe783dbe8c38
com.feedzai	openml-python-common	0.1.7		a11013f75666d0406741494773f063e37a4545aa
com.feedzai	openml-python-common	0.2.0		d91fd8e570b8f3c80e2f8238135e4240e1dd409f
com.feedzai	openml-python-common	0.2.1		0b819812d90f0207807439e5d78076b33a0aa40c
com.feedzai	openml-python-common	0.2.2		e2325ed038232bf7ba5b4af77affdbc4e608efa9
com.feedzai	openml-python-common	0.3.0		d8851fdf1b136f7e9ac85ab449c52c51b2f64ca6
com.github.delegacy.youngbot	youngbot-web	0.1.0		479b2ded923e13aba75930a0f8bb439f7d2a9a5b
com.github.delegacy.youngbot	youngbot-web	0.1.1		ef20aeb969d8e0076a85f480cdbfdc2115c7e50c
com.github.delegacy.youngbot	youngbot-web	0.2.0		28c0497347c4de01ec1480ba8d41d2cd6762368d
com.github.delegacy.youngbot	youngbot-web	0.2.1		e70bc70e795af4cbedb3fa241eddbd6b0b170b83
com.github.delegacy.youngbot	youngbot-web	0.2.2		ac4933ba390ebfd4a1e77c6e550d04514a6ba1b3
com.github.delegacy.youngbot	youngbot-web	0.3.0		e2d232d5c441575e4c1397c616dd5b289bfdaca2
