bouncycastle	bcprov-jdk12	140		368ad02ad6a0e9945698acf36b935b0f3a947bc7
dev.zio	zio-aws-appflow_2.12	5.17.122.1		93e60aef759269655feb80bd94d022e1e1568fdf
dev.zio	zio-aws-appflow_2.12	5.17.123.1		148504c16fef8c234815276f144a9d3272e4fcde
dev.zio	zio-aws-appflow_2.12	5.17.123.2		fddfa143c551b22677824ca2f989da377b23e032
dev.zio	zio-aws-appflow_2.12	5.17.124.1		533231c3c6b3a14c93e0276204dbe0941035f370
dev.zio	zio-aws-appflow_2.12	5.17.124.2		10384a30f555b931c52c3f709244350e23dded25
dev.zio	zio-aws-appflow_2.12	5.17.124.3		2fd4097beee777a0c3dc412abaddeb20bebcc820
dev.zio	zio-aws-appflow_2.12	5.17.125.1		f728478e76fe310a7d576b30a8ec057b03a3526c
dev.zio	zio-aws-appflow_2.12	5.17.126.1		9bc25a58135ba413dd2dd02212a3db3316065384
dev.zio	zio-aws-appflow_2.12	5.17.126.2		d25ca6fe645509b8d9d0c32869ca0830209381f2
dev.zio	zio-aws-appflow_2.12	5.17.127.1		a2b38312b07794cf8ab1e50f7f9e3661a2d9f41d
dev.zio	zio-aws-appflow_2.12	5.17.127.2		20bd77ed1a698af14d925902aa14cd6bf46c9042
dev.zio	zio-aws-appflow_2.12	5.17.128.1		079908dfce567185a5cd2627fd011ed26000f6ca
dev.zio	zio-aws-appflow_2.12	5.17.129.1		24b0a568731f277fe3b7ffc48558b0268e7a52d6
dev.zio	zio-aws-appflow_2.12	5.17.129.2		b15c46540c5a4169fad8cd67d5fdbb18c119ea27
dev.zio	zio-aws-appflow_2.12	5.17.129.3		f0e0a9be204e75006f399dc3d716a00d1c173f11
dev.zio	zio-aws-appflow_2.12	5.17.130.1		17c642cc37e0d44545a65d99f6c8a248ac603094
dev.zio	zio-aws-appflow_2.12	5.17.130.2		54a0e004243211c29467aea1debe3edb8262c22f
dev.zio	zio-aws-appflow_2.12	5.17.130.3		17779e20f3d1d44152b6030a2a1ba7a91770d176
dev.zio	zio-aws-appflow_2.12	5.17.130.5		b7da4aa021d7bf21a0699a91c185b28a20530859
dev.zio	zio-aws-appflow_2.12	5.17.130.6		eb615790c3acfa64e2dd2e54360b12ab6d0a46bc
dev.zio	zio-aws-appflow_2.12	5.17.130.7		27219c2c33ff8143199178a4a783ff5a2235f3b5
dev.zio	zio-aws-appflow_2.12	5.17.130.8		ada003ccbc82cf27722bb1bbb6c746ea71bab92a
dev.zio	zio-aws-appflow_2.12	5.17.144.1		f91b6a7642285913e0bb8aefee2cf444a52cf90c
dev.zio	zio-aws-appflow_2.12	5.17.145.1		f4ee5b75a7e985f50554057729f1b8f6ac647fd0
dev.zio	zio-aws-appflow_2.12	5.17.146.1		3bd70bbf000b46c46f177b66f747df6d6bade69a
dev.zio	zio-aws-appflow_2.12	5.17.146.2		75bb1a1a31e2f953b3d001fe60307d98f7a7130b
dev.zio	zio-aws-appflow_2.12	5.17.147.1		4ae3deb3228cf5d600d7fe948683b81af7a99cf9
dev.zio	zio-aws-appflow_2.12	5.17.148.1		c97618741faa7b7c1d962b08ee6adbb9b16e802f
dev.zio	zio-aws-appflow_2.12	5.17.149.1		11a216bac84979f49053fb30d6c5e873fec9935f
dev.zio	zio-aws-appflow_2.12	5.17.150.1		c037483290ff6f0b36a58964e8e2635b41fecac5
dev.zio	zio-aws-appflow_2.12	5.17.151.1		1960428a907d02fd8b939ebe239bf3717e9d4451
dev.zio	zio-aws-appflow_2.12	5.17.151.2		64e876ddbb4077d9897608b97dbeda931106da33
dev.zio	zio-aws-appflow_2.12	5.17.152.1		1510fb8c56d102d872896e6156c7b2c089d13d40
dev.zio	zio-aws-appflow_2.12	5.17.153.1		3acdc54638b93c99b9be5f8cbd1a205e9e488e38
dev.zio	zio-aws-appflow_2.12	5.17.153.2		7ae9e223fa3f30ae7c54316f3a55d7e909178e13
dev.zio	zio-aws-appflow_2.12	5.17.153.3		04e65ccd01a0e43d2033c268c7a97e08e68228da
dev.zio	zio-aws-appflow_2.12	5.17.154.1		d44dfa3667598f70ef3f2912bc911337da4d2d27
dev.zio	zio-aws-appflow_2.12	5.17.155.1		b47bd271bb4cf6f552312ef82faeb75fd947e9e6
dev.zio	zio-aws-appflow_2.12	5.17.155.2		caac2c1e08651c33f1d98d9c97312b4d356059e4
dev.zio	zio-aws-appflow_2.12	5.17.157.1		023b759f2e631ca657fac16233bed3a3c31b589f
dev.zio	zio-aws-appflow_2.12	5.17.157.2		9ad968a8b73aba9bb84b98e44b36ee904e4b77d2
dev.zio	zio-aws-appflow_2.12	5.17.158.1		829f0566d75454511b84da712bf4602ab241f744
dev.zio	zio-aws-appflow_2.12	5.17.158.2		b9e712b49263eb1cb81d8570a912ce69e750ab57
dev.zio	zio-aws-appflow_2.12	5.17.158.3		e45f916db74802cc8b4c97aff768cc44f3131664
dev.zio	zio-aws-appflow_2.12	5.17.158.4		4f70db7f4128cfae2c5f4fbbbd4a235a7976e7a1
dev.zio	zio-aws-appflow_2.12	5.17.160.1		1571a86cbb8f9c020c9be05ae80c7814fe736678
dev.zio	zio-aws-appflow_2.12	5.17.161.1		7e69e25e27d10b88390fb52023eb8b3ad6033f17
dev.zio	zio-aws-appflow_2.12	5.17.161.2		958e381f5c3a4b7239f9db499be16a5bf16b8563
dev.zio	zio-aws-appflow_2.12	5.17.162.1		3beb89eef60b9cc5686cbc0c0cb388d65597c958
dev.zio	zio-aws-appflow_2.12	5.17.162.2		4e20633d15afd088d8b091ff6b091b4fd25ec1b4
dev.zio	zio-aws-appflow_2.12	5.17.162.3		e7953adad88dbd36ed18b81e4b0ca4dad189948c
dev.zio	zio-aws-appflow_2.12	5.17.163.1		31a9e417b13d380a01744ef6c73a583d5014b95d
dev.zio	zio-aws-appflow_2.12	5.17.164.1		9a7d3e343985f9828b5c4f0b87d97a5d1d61e992
dev.zio	zio-aws-appflow_2.12	5.17.166.1		cd78bd3240f63aa054007579e1c3310ac4b999a2
dev.zio	zio-aws-appflow_2.12	5.17.166.2		4ae2c6cbebb3bb8044359380e0321a5938c1eb93
dev.zio	zio-aws-appflow_2.12	5.17.166.3		141d80af670af3c5d3b586723e4196b3ec3f6145
dev.zio	zio-aws-appflow_2.12	5.17.167.1		7c5d3819b5fca5ae70875721e3e17f0880319f80
dev.zio	zio-aws-appflow_2.12	5.17.168.1		66a1e18ed58097969fe6e1140c1d0b1d2de602e6
dev.zio	zio-aws-appflow_2.12	5.17.169.1		ae3bc03d4f4484520c3bc0c642a7adc08ed5d287
dev.zio	zio-aws-appflow_2.12	5.17.170.1		2f3a840ad6ebccfd6f14781eca75842235f98080
dev.zio	zio-aws-appflow_2.12	5.17.171.1		b828faad5debabbffb180adfa84be9f9472db9a7
dev.zio	zio-aws-appflow_2.12	5.17.172.1		1fbafd4a564c39542aa665a5091b5c472ad5391c
dev.zio	zio-aws-appflow_2.12	5.17.172.2		3c16258a7cdf87932b6b246ed16e9ddcfedbc4be
dev.zio	zio-aws-appflow_2.12	5.17.174.1		9c28c226a5924f18a69012e40e2bfe473cde473b
dev.zio	zio-aws-appflow_2.12	5.17.175.1		ace0401ad0fe36bf1b4c2ea6c92f00aa5a26144b
dev.zio	zio-aws-appflow_2.12	5.17.176.1		2a74f8043147133aae216375a6b82e5ea449c6be
dev.zio	zio-aws-appflow_2.12	5.17.176.2		4fee29d34ec8407ee42a007a2a476079d71ef843
dev.zio	zio-aws-appflow_2.12	5.17.177.1		599e1372a69fb9f446604dde9573f9f230378bcf
dev.zio	zio-aws-appflow_2.12	5.17.178.1		37d68cec55660b6a479e7be51afa9d07804e1408
dev.zio	zio-aws-appflow_2.12	5.17.181.1		05f5536f7d9d468502a720fc7e244f5839e9a1fc
dev.zio	zio-aws-appflow_2.12	5.17.182.1		a7fd3facdbb1352168de046354476f1cc228275b
dev.zio	zio-aws-appflow_2.12	5.17.183.1		39e188ce3a0d5f47d5029efe978dd14230997091
dev.zio	zio-aws-appflow_2.12	5.17.184.1		2ae8e66bca12803e57fa7c3fc97985ecd7c2ec3f
dev.zio	zio-aws-appflow_2.12	5.17.186.1		ff792ae7d012fec98bc85293b42d5d322fccdf4a
dev.zio	zio-aws-appflow_2.12	5.17.187.1		1b931093a7f7e1690d263ae815a7e91317be009c
dev.zio	zio-aws-appflow_2.12	5.17.188.1		3df2ee664441ee09031a7c457e2c838b4886406a
dev.zio	zio-aws-appflow_2.12	5.17.190.1		36b3d07a81e10fe2c19d9d649d2c27d38e5b57f8
dev.zio	zio-aws-appflow_2.12	5.17.190.2		9f222fa8d9422c8bdd782ff1dbb57783d986f3d8
dev.zio	zio-aws-appflow_2.12	5.17.191.2		0af5501ff9d696b2740740c8ae096335375c124f
dev.zio	zio-aws-appflow_2.12	5.17.193.1		c31157118222a59d16fe0a630a1dbf960fa9ba95
dev.zio	zio-aws-appflow_2.12	5.17.193.2		31d830c9970315d5df37b59577e8bc2987c70615
dev.zio	zio-aws-appflow_2.12	5.17.194.1		7c434306e0f26ca273f753f9ef5a814279b0d688
dev.zio	zio-aws-appflow_2.12	5.17.195.1		c3f177b534cfedfee43b518b503810baeecbc01f
dev.zio	zio-aws-appflow_2.12	5.17.195.2		9de4b8fe211fd29750229ae4ad90d64007bb13f3
dev.zio	zio-aws-appflow_2.12	5.17.195.3		4561408989e4babaf347c3b161ae63b645058b9c
dev.zio	zio-aws-appflow_2.12	5.17.196.1		ebca33b9cb053fed1621e47d17979052f08e238e
dev.zio	zio-aws-appflow_2.12	5.17.197.1		5982df5708aba9dcf51d7c7baeed89b7da91d991
dev.zio	zio-aws-appflow_2.12	5.17.197.2		4f82dc9a0478ada534133cb236c41da340c7fcd3
dev.zio	zio-aws-appflow_2.12	5.17.201.1		e721c047fc036242327d3cda8fd277c18c726814
dev.zio	zio-aws-appflow_2.12	5.17.201.2		5e757d367756a697e796e31fbac816d46393ab23
dev.zio	zio-aws-appflow_2.12	5.17.202.1		987b18cedd472a4f33ade908900b90aa2da6b59c
dev.zio	zio-aws-appflow_2.12	5.17.203.1		0feae66afefca852ad2b9be5002019a4eab8cb3d
dev.zio	zio-aws-appflow_2.12	5.17.203.2		b843031f7032061316c9a29bb2dcc030b1c44bd1
dev.zio	zio-aws-appflow_2.12	5.17.204.1		a2551460e607a58acc722b7de4ed036c813f036f
dev.zio	zio-aws-appflow_2.12	5.17.205.1		8f248f48df63f092cc0df9ae48bde366d048a34e
dev.zio	zio-aws-appflow_2.12	5.17.206.1		98d81fa42d408e1dd758bf57c0b09b5f788a45b5
dev.zio	zio-aws-appflow_2.12	5.17.207.1		43e0f1c6aaf1890e7f3dcee5c242ba7a00ab2195
dev.zio	zio-aws-appflow_2.12	5.17.208.1		a225ce790b2e2cc6a3fa274425e92613a9087522
dev.zio	zio-aws-appflow_2.12	5.17.208.2		3afe65f15b01241804f859f52511d551b2388c7b
dev.zio	zio-aws-appflow_2.12	5.17.209.1		dac5c580375cf9f74066397d9b8ea9301ab5b9b4
dev.zio	zio-aws-appflow_2.12	5.17.211.1		579d771e6d848ae79afb7d2419e79e5ec094046b
dev.zio	zio-aws-appflow_2.12	5.17.212.1		058ccd448fbb3889abfc67f5707b195b708d9e34
dev.zio	zio-aws-appflow_2.12	5.17.214.1		e1c9d54fb3c24b1ccc8267b2bcc65cf79a7bb5a7
dev.zio	zio-aws-appflow_2.12	5.17.217.1		e63ab2c6bdc7eb7f700cf099ed3cce1266f95d8f
dev.zio	zio-aws-appflow_2.12	5.17.218.1		8a151208d364d1dced651731f0aa9f0f56d79e66
dev.zio	zio-aws-appflow_2.12	5.17.224.2		5225245e6ac5fde1ca0cf3ed7f8ac820fa04588d
dev.zio	zio-aws-appflow_2.12	5.17.224.3		f6abe213c9e28d804d2e4230f0fe6493cf48aa4f
dev.zio	zio-aws-appflow_2.12	5.17.224.4		c3f355e55d13fa6631c25e3e21319ed507150694
dev.zio	zio-aws-appflow_2.12	5.17.225.1		4877092765cdf1363acda2eebd80130f5866422c
dev.zio	zio-aws-appflow_2.12	5.17.225.2		83250d339344fc8cbf95672f3a142b3438859f4d
dev.zio	zio-aws-appflow_2.12	5.17.233.1		3d7436f6aaeba981ad28e505d04a848f06f9a770
dev.zio	zio-aws-appflow_2.12	5.17.234.1		d57ae9aef43838108720c92fc116fe697555df30
dev.zio	zio-aws-appflow_2.12	5.17.239.1		52af02e64f0b6c03854c1e6dade608818dbf2350
dev.zio	zio-aws-appflow_2.12	5.17.239.4		82f40bcb6b2458f0013a8e77b81965e9eacf597c
dev.zio	zio-aws-appflow_2.12	5.17.252.1		66f61eb0f89ab78436cc1194084cd682f4c4c93b
dev.zio	zio-aws-appflow_2.12	5.17.257.1		55d5e3e8d4093f039230d1bcde8547e99254a9c9
dev.zio	zio-aws-appflow_2.12	5.17.265.1		303215364851f84f89f6cc3e1d77a6e8760681a3
dev.zio	zio-aws-appflow_2.12	5.17.267.1		9203dd092c9fb04e96edcc28d3bcc1836811ed6f
dev.zio	zio-aws-appflow_2.12	5.17.267.4		a4de5ff2cc413f327a2e8e69ed343c81946e6a84
dev.zio	zio-aws-appflow_2.12	5.17.267.6		64ccd40e681cb647b515f62709a8629303805dd5
dev.zio	zio-aws-appflow_2.12	5.17.267.7		5c6efc1b9c64563371765e7e4173e57ef3840460
dev.zio	zio-aws-appflow_2.12	5.17.269.1		3f6ceaed0499f31e0c22999bb6e477d3eb7b1a9b
dev.zio	zio-aws-appflow_2.12	5.17.271.1		e6156a1d469691ab6da00a70b64a30d675b3ff7d
dev.zio	zio-aws-appflow_2.12	5.17.280.1		aeab80f14dc53d5eac18dcd01fcacd091502b16a
dev.zio	zio-aws-appflow_2.12	5.17.295.1		2634137d5f7fae21d69b33c480f38f038fb1e517
dev.zio	zio-aws-appflow_2.12	5.17.295.10		18277b34d2f960e532c33c90d7ff7de9858a2bdd
dev.zio	zio-aws-appflow_2.12	5.17.295.11		c508a6244a477c49b14724bd8c04d6210dba058c
dev.zio	zio-aws-appflow_2.12	5.17.295.12		348eb7b801d8816e8f335cce6d130d9e85866d1b
dev.zio	zio-aws-appflow_2.12	5.17.295.13		9ebedfa94bad404789e053e27ff8cc4ba607ef17
dev.zio	zio-aws-appflow_2.12	5.17.295.14		ae4216557909bd6c6a5e0a0b4d00462d4d66c81e
dev.zio	zio-aws-appflow_2.12	5.17.295.15		51be7639ce406d63ef3ce7935fd2b44425e68acd
dev.zio	zio-aws-appflow_2.12	5.17.295.16		63ebc6c1c0bc4b81531e81b14be55c0723bba9f7
dev.zio	zio-aws-appflow_2.12	5.17.295.17		c6699d3801a3a022b764cd19deb41bb75237118b
dev.zio	zio-aws-appflow_2.12	5.17.295.18		be4a6ce8f23e76ba5e0bb5dbaf0cf449101afed9
dev.zio	zio-aws-appflow_2.12	5.17.295.19		b709ce9992f0a41773deacef2c8e8f676d657bd4
dev.zio	zio-aws-appflow_2.12	5.17.295.2		fd2c27b50e6a158f247576638185a636d6dbc91d
dev.zio	zio-aws-appflow_2.12	5.17.295.20		810367129e8d2e9050d9c4a9ec3278e166df2fa6
dev.zio	zio-aws-appflow_2.12	5.17.295.22		85db8d51e9c7b2602ae337fc6ca6297c6f6ba389
dev.zio	zio-aws-appflow_2.12	5.17.295.3		5be82100db658c3103b4bfc86624ef44226a008a
dev.zio	zio-aws-appflow_2.12	5.17.295.4		d73734b7ae4f5ae002211fdf8f29a2ce8faa8a40
dev.zio	zio-aws-appflow_2.12	5.17.295.5		7401729295b5eef0bdaedd34e98afdd40f1f150c
dev.zio	zio-aws-appflow_2.12	5.17.295.6		7ce37f8805aaba97f6bdf01e4216ccc09c5e147a
dev.zio	zio-aws-appflow_2.12	5.17.295.8		83cda69dd501a299f2eab57f48201018462da506
dev.zio	zio-aws-appflow_2.12	5.17.295.9		ced25b179dd26f3a22d3908f9802ac95b960541f
dev.zio	zio-aws-appflow_2.12	5.19.12.1		c9ed044864516ecd7bdb8589e68817f976a189a3
dev.zio	zio-aws-appflow_2.12	5.19.17.1		a91cbfa56a331cf59040e438aaf31b49cbf9bce7
dev.zio	zio-aws-appflow_2.12	5.19.17.2		c5b29eeab8e2fa00274804f11c9060bdb717203f
dev.zio	zio-aws-appflow_2.12	5.19.26.1		7913715bf3d469245edde37f8a39ee1299af761e
dev.zio	zio-aws-appflow_2.12	5.19.31.1		4f7d39816ce6ac4791f3a714f041c5873843ed3d
dev.zio	zio-aws-appflow_2.12	5.19.31.2		f691f5fce7dfd214833f58d2e850d6d23df04adf
dev.zio	zio-aws-appflow_2.12	5.19.31.3		71aa96b059ec78b20a679b0223a4595516517ff0
dev.zio	zio-aws-appflow_2.12	5.19.31.4		c7703cef3ab09224a2fb45ab0e6404c3f5a7019f
dev.zio	zio-aws-appflow_2.12	5.19.31.5		f0ab5a65a3fe2bcccc576b9abcdcb0aa34cd414f
dev.zio	zio-aws-appflow_2.12	5.19.33.1		67fa14f3c793cda9b0e92f0e7f54e6d9c6e4b651
dev.zio	zio-aws-appflow_2.12	5.19.33.2		31d5145a08770d1b89f6a4ae37055e32390707f6
dev.zio	zio-aws-appflow_2.12	5.19.7.1		837c3fd1139f0d8168a979488e20b7a83ed92e2c
dev.zio	zio-aws-appflow_2.12	5.19.7.2		ea1c1107400478577ef45bb789ffee87d4510579
dev.zio	zio-aws-appflow_2.12	5.19.7.3		b2b188a938697eabcf1b83be064bd8523ac08bbe
dev.zio	zio-aws-appflow_2.12	5.19.7.4		84e5a2f3e12abb8ea12654abc16d2c581d41d785
dev.zio	zio-aws-appflow_2.12	5.19.7.5		18c732f551895e1c40c32f0bba5911f2fa2ef43d
dev.zio	zio-aws-appflow_2.12	5.19.7.6		b1b9b86db2db869d66e5c000feb422d57f193bcc
dev.zio	zio-aws-appflow_2.12	5.19.8.1		fdd8974ca950952c38c4ff0a8cc9d20a5a481af1
dev.zio	zio-aws-appflow_2.12	5.19.8.2		a42b0840f9145154497e5d17745b0a0796a68b2a
dev.zio	zio-aws-appflow_2.12	5.19.8.3		86da47c7bb8e5f6207363b90e09b4c371db66349
dev.zio	zio-aws-appflow_2.12	5.19.8.4		7e5b8902a3aae8ec6047f102947f575ce3ec702c
dev.zio	zio-aws-appflow_2.12	5.20.17.1		cf56aac5e830011324661daef1d2d000f5c91f86
dev.zio	zio-aws-appflow_2.12	5.20.17.2		bfc908c26956b671a54b247f92bbf4ca1389d9e3
dev.zio	zio-aws-appflow_2.12	5.20.22.1		c76732c4fab467e98184421671e28c718d0088c0
dev.zio	zio-aws-appflow_2.12	5.20.22.2		bf1db6fd60e0bd51eb6d91970d914eeae7045780
dev.zio	zio-aws-appflow_2.12	5.20.22.3		799a89ede6c9d882e1a920b50ab72b5e4a58c0b6
dev.zio	zio-aws-appflow_2.12	5.20.32.1		04875c551ef209887b6be90d102d32ef68a627f9
dev.zio	zio-aws-appflow_2.12	5.20.32.2		e24959003d7f469b8fe3b458458439d9d2adbe1f
dev.zio	zio-aws-appflow_2.12	5.20.37.1		375b2c4046276c2f8f289f6c2cf881fca3a00fed
dev.zio	zio-aws-appflow_2.12	5.20.42.1		7f0325fa4f36c1085758d7c18aea2b5a954aa7f2
dev.zio	zio-aws-appflow_2.12	5.20.7.1		56a73a92018e79ba27ee0d9c3785278df4024506
dev.zio	zio-aws-appflow_2.12	5.20.7.2		ff985480a727276d80266b2542bc89bc863a23c9
dev.zio	zio-aws-appflow_2.12	5.20.7.3		cbaad3620d5d64ae53fb4348b82b1e33945280ba
dev.zio	zio-aws-appflow_2.12	6.20.103.1		5b4efb8d43ab096e5c875088626ed55db52af32a
dev.zio	zio-aws-appflow_2.12	6.20.103.2		ea8cbd9ac4d36f00d146e244e1553a6adac19765
dev.zio	zio-aws-appflow_2.12	6.20.115.1		8f7007b639687c184f170af3c953b0dd769b5898
dev.zio	zio-aws-appflow_2.12	6.20.115.2		464c3c373f873ddaa396c7912027129fc1715847
dev.zio	zio-aws-appflow_2.12	6.20.120.1		5a0ba96b2cf3322635bbd88258ba0cc05bf6cb0e
dev.zio	zio-aws-appflow_2.12	6.20.149.1		b59b15c64f924eb1008d55945fd137d2fc4acb7a
dev.zio	zio-aws-appflow_2.12	6.20.149.2		e0b087914c1d34f454b54959a6e47a404838e220
dev.zio	zio-aws-appflow_2.12	6.20.162.1		cfda8e8a5e609f9ffda5cf2f3d2f57ec301324c4
dev.zio	zio-aws-appflow_2.12	6.20.162.2		515afec2240067c1f76fcd42dc01cbffc7ef9e7b
dev.zio	zio-aws-appflow_2.12	6.20.42.1		9d52c8d51788fd3a861c5abd528764a61f8d29e4
dev.zio	zio-aws-appflow_2.12	6.20.42.2		67bf1eb514c3d46a594dcc90edbfdb89e9cf77ec
dev.zio	zio-aws-appflow_2.12	6.20.47.1		a7c11d78af609b0c28748e443a158b73b171c1ed
dev.zio	zio-aws-appflow_2.12	6.20.56.2		eab3dea40096f1a2aec769a2a7583cc0f48c8540
dev.zio	zio-aws-appflow_2.12	6.20.58.1		f7584b5007cf3f87ba644b96877e87782313e9ff
dev.zio	zio-aws-appflow_2.12	6.20.58.2		fea477eb8dfe75517c5603039298b4a60caff6f6
dev.zio	zio-aws-appflow_2.12	6.20.58.3		fb1c6b74d3da2cfd5a5a49044742b7429cc44337
dev.zio	zio-aws-appflow_2.12	6.20.61.1		1dc8434a7dc5f11bf95f555128876ebc158fc037
dev.zio	zio-aws-appflow_2.12	6.20.69.1		87a7817358194566c21d86006bebda56ba7912d7
dev.zio	zio-aws-appflow_2.12	6.20.69.2		5e7e94aed2942ed82c33a4674cf9e8e15a8bcd79
dev.zio	zio-aws-appflow_2.12	6.20.74.1		693f98fb26689855460ee6d36956c37fa4a80dc8
dev.zio	zio-aws-appflow_2.12	6.20.74.2		574d6bfd113d5d52ff104fe996caab83dfa44f23
dev.zio	zio-aws-appflow_2.12	6.20.78.1		ceb7bf4c90532862819c0a3bf7064a4d68b3f5ad
dev.zio	zio-aws-appflow_2.12	6.20.78.2		8363d1883782d0f6f7c18130c4f319dfad9fe0b1
dev.zio	zio-aws-appflow_2.12	6.20.78.3		5c55c2ca9fe6fe609e5e70c06bc68125c7df8b43
dev.zio	zio-aws-appflow_2.12	6.20.83.1		92cd81b00d638429eea551d0e2ba405287aec8e5
dev.zio	zio-aws-appflow_2.12	6.20.83.2		35385a70f95377494130e2766b8ed482c4e9920f
dev.zio	zio-aws-appflow_2.12	6.20.97.2		ef213f9b50496dadcab91058584016ba989439e1
dev.zio	zio-aws-appflow_2.12	7.21.15.1		5ba1b07331214445c14a0355b507f1d3967f3d04
dev.zio	zio-aws-appflow_2.12	7.21.15.10		5ad95d79fd0d4da41fc5cb2babbeaed03afddc3f
dev.zio	zio-aws-appflow_2.12	7.21.15.11		195cf987ccc745c0016d930f7e85d5c8cb85215e
dev.zio	zio-aws-appflow_2.12	7.21.15.12		aba527b41373db2b47305cf49baaea4f9ca68bb1
dev.zio	zio-aws-appflow_2.12	7.21.15.13		3195b7bdf17410fb3281cd3fbd86009b3ee4f595
dev.zio	zio-aws-appflow_2.12	7.21.15.15		5865a84d02dab1d94c367529f61ce889210cd2eb
dev.zio	zio-aws-appflow_2.12	7.21.15.2		5f23a8eab369c14b101ae37031b41ccca4b843c9
dev.zio	zio-aws-appflow_2.12	7.21.15.3		d0da54890f39ef1aeb1f7e91a6f71dc687390d30
dev.zio	zio-aws-appflow_2.12	7.21.15.4		8e289927c9f4e753612189bb36daf3fe8ea4eb3e
dev.zio	zio-aws-appflow_2.12	7.21.15.5		f872aaf91ae7e445ebd7e39d3e4ffa9880fe5a0a
dev.zio	zio-aws-appflow_2.12	7.21.15.7		cb88726ece78538dc8e206effc5ac2ca9cfcf1c1
dev.zio	zio-aws-appflow_2.12	7.21.15.8		0039b1ae2ff2f9475289c7d0451eccaf863361ae
dev.zio	zio-aws-appflow_2.12	7.21.15.9		6e250eeb4a7cb1628893b36c436c56e06082876f
dev.zio	zio-aws-appflow_2.12	7.28.24.2		4e85c4c7dc3435355d81d901e69be3aa24e7b266
dev.zio	zio-aws-appflow_2.12	7.28.26.1		85273580ad843c984b78a6bd51a908d75a398cfb
dev.zio	zio-aws-appflow_2.12	7.28.29.1		2cb3e0a6b609de0f551eafe83c77080f8a4fcdd5
dev.zio	zio-aws-appflow_2.12	7.28.29.10		dc52b4cf5fd9a592619f4e05a3b2dcb2a4647475
dev.zio	zio-aws-appflow_2.12	7.28.29.11		0faf6699991b02989eb755e4cf0aa6b20f95a38c
dev.zio	zio-aws-appflow_2.12	7.28.29.12		dcb178f1034fdec12af6331676afd5a9b0bf0bab
dev.zio	zio-aws-appflow_2.12	7.28.29.13		17fd98bf00b1141cc7c1ee7c3d7fef32f0b15630
dev.zio	zio-aws-appflow_2.12	7.28.29.14		87400647570729917dbf66a37e0d7c6384c752d1
dev.zio	zio-aws-appflow_2.12	7.28.29.15		23af3c766a6ecd7423ee9f2a6ee921feeeb09e60
dev.zio	zio-aws-appflow_2.12	7.28.29.16		53814067802d2ff64cf60b3dd0d0f32f39bf7d7a
dev.zio	zio-aws-appflow_2.12	7.28.29.17		83c17d6d9b667947d5b296381d543a38ac34907f
dev.zio	zio-aws-appflow_2.12	7.28.29.18		1978bfa41726554c01ad2847aed32af7eb7cd7a4
dev.zio	zio-aws-appflow_2.12	7.28.29.19		2e65489fb7e431a46d8101bf1249998fe253edfd
dev.zio	zio-aws-appflow_2.12	7.28.29.2		340beaf49c1afb073f9bad58fd1970784fbdcda4
dev.zio	zio-aws-appflow_2.12	7.28.29.3		7b362634d0f1866f3fb98e5637d7029674fabc64
dev.zio	zio-aws-appflow_2.12	7.28.29.4		07e5581d5dc800e5a131503651ea5d42bd375398
dev.zio	zio-aws-appflow_2.12	7.28.29.5		ada112ea108ce9cb3568bf185d3e18b82bb51a2f
dev.zio	zio-aws-appflow_2.12	7.28.29.6		a9521fc0a786e6539c73e2536202fcc40a10a417
dev.zio	zio-aws-appflow_2.12	7.28.29.7		9bbb2b8ef85dc4eb9bc344d699f9ac6600a9fea7
dev.zio	zio-aws-appflow_2.12	7.28.29.8		09f8d5d65d6d381822c75b269ccf68b1d05c3651
dev.zio	zio-aws-appflow_2.12	7.28.29.9		89d21b781afa8402d998fd854b8a8672c327c1da
dev.zio	zio-aws-appflow_2.12	7.30.15.1		8b9d0bfd5e2eff88183ca84a5dcd05563ddd130f
dev.zio	zio-aws-appflow_2.12	7.30.15.2		2c88b61c509d89b1a8a0a2d2334ff2ab380ad8d9
dev.zio	zio-aws-appflow_2.12	7.30.16.1		6b5284e0f172fc379a0a675d8f0fb6da5037ff2e
dev.zio	zio-aws-appflow_2.12	7.30.16.2		56f790280fb929db6ff9b51088fc6af995c272d4
dev.zio	zio-aws-appflow_2.12	7.30.16.3		c5b7693fb9cff27bfed436320c6edfd28b6ce381
dev.zio	zio-aws-appflow_2.12	7.30.16.4		3344b1eba1f974ca8ae2d8dfbb93c67a85d83ab2
dev.zio	zio-aws-appflow_2.12	7.30.20.1		08ce180e6ca22dd3cf32d92fedcacca83cb4b6d8
dev.zio	zio-aws-appflow_2.12	7.30.22.1		d4dce34ff00841d5d01bde6ed53ae8f723359565
dev.zio	zio-aws-appflow_2.12	7.30.22.2		a9e2473daa22b1c2df0368034bcd2327f4f30f6b
dev.zio	zio-aws-appflow_2.12	7.30.23.1		1446b89b275688aefd9a1d106a762e93849cbd11
dev.zio	zio-aws-appflow_2.12	7.30.24.1		652983056940fa57f26481812552683240398cf0
dev.zio	zio-aws-appflow_2.12	7.30.24.2		0170e3f4dccb880774ce822136038c6647dfb6c1
dev.zio	zio-aws-appflow_2.12	7.30.25.1		487b28fef2e2d104157d005270ac614f45eec6fc
dev.zio	zio-aws-appflow_2.12	7.30.26.1		fa142218591652caa31bcac06c949f7bbb8da781
