com.fasterxml.jackson.module	jackson-module-parameter-names	2.4.1		9de2e9eb6970e65ac7b9864b4ca2d79d0ba7fd91
com.fasterxml.jackson.module	jackson-module-parameter-names	2.4.2		1d7b7535800b1bb62e116141a9da75ace19165c6
com.fasterxml.jackson.module	jackson-module-parameter-names	2.4.3		20735d0f5e6b24751f758cf6e5dd35901ce4f04d
com.fasterxml.jackson.module	jackson-module-parameter-names	2.4.4		8f07a07e649604ae60a42044b606ae6ba7f93b3a
com.fasterxml.jackson.module	jackson-module-parameter-names	2.4.5		45639a068495a348537fd68a4894b3034b29239e
com.fasterxml.jackson.module	jackson-module-parameter-names	2.4.6		80e2103b193b4dea3378064c4f7a5e3655678047
com.fasterxml.jackson.module	jackson-module-parameter-names	2.5.0		0446e9da84a19b2ba2ab14bd9d8409a5cd51ddda
com.fasterxml.jackson.module	jackson-module-parameter-names	2.5.0-rc1		3d48efd673568c4a306b8effa0e73703c50890ac
com.fasterxml.jackson.module	jackson-module-parameter-names	2.5.1		4a7fefbaeef1112db4da632dae87cdb4e183901a
com.fasterxml.jackson.module	jackson-module-parameter-names	2.5.2		df36d39f6927b93a20c8ba5fc495c33afcabe25d
com.fasterxml.jackson.module	jackson-module-parameter-names	2.5.3		ab6518ceb09027e2f532931080e84aa966543f63
com.fasterxml.jackson.module	jackson-module-parameter-names	2.5.4		90f770168756b339a415ce97f217ae8fb8d31fde
com.fasterxml.jackson.module	jackson-module-parameter-names	2.5.5		63d4cb6714459abad69db076950ec394c4d7569f
com.fasterxml.jackson.module	jackson-module-parameter-names	2.6.0		24327ca8fbdeea2af8682bcff14332bc3d61f1a2
com.fasterxml.jackson.module	jackson-module-parameter-names	2.6.0-rc1		5ba5da813f94d02bdf2ceeb1070bfa2106b18b5c
com.fasterxml.jackson.module	jackson-module-parameter-names	2.6.0-rc2		b2d2e4c1e3186c718fd06d5b7d5a3bb8d9151466
com.fasterxml.jackson.module	jackson-module-parameter-names	2.6.0-rc3		8bc7377f8cec400c5c746c89f13a7dbafdd8cb11
com.fasterxml.jackson.module	jackson-module-parameter-names	2.6.0-rc4		4f2f9423d4396ebc9380748822f35a290f5f065c
com.fasterxml.jackson.module	jackson-module-parameter-names	2.6.1		4450fc645c339f209afaf78d4893fd5dc6979187
com.fasterxml.jackson.module	jackson-module-parameter-names	2.6.2		50a1b493a2dc9c66612f0cd5c0eef661a14bc95a
com.fasterxml.jackson.module	jackson-module-parameter-names	2.6.3		8f45c0dce57568d77676e9f5bf9e340c9e9daa6b
com.fasterxml.jackson.module	jackson-module-parameter-names	2.6.4		0c3d70f9e5538aba6aa77ceb6a4394985b2e1540
com.fasterxml.jackson.module	jackson-module-parameter-names	2.6.5		b4f110c6230a4c96228e82877cce951eaeb6eb5d
com.fasterxml.jackson.module	jackson-module-parameter-names	2.6.6		24b90d9b0d1eb0c1ad27611520ec6dc376995288
com.fasterxml.jackson.module	jackson-module-parameter-names	2.6.7		d307f730617920e2b9925a26e2373a61a91dd957
com.fasterxml.jackson.module	jackson-module-parameter-names	2.7.0		e44ecf1267b993c14dbea13c2c0f10785680f545
com.fasterxml.jackson.module	jackson-module-parameter-names	2.7.0-rc1		106a7a957f61de69c2a456b38c106987c95d62fd
