com.github.philcali	monido-core_2.9.0	0.1.1		45aa6770d7ff7ce508ffc282c99ec6dc2fff6fa3
com.github.philcali	monido-core_2.9.0	0.1.2		865aec02c258e6c8b10092cc4257f04a122aa525
com.gluonhq.attach	version	4.0.13		8871d16805b9807f392fe5ac22ecab99f95c3e9b
com.gluonhq.attach	version	4.0.13	android	5bc9ae1014a271dccdcc84e201665c604d3f64f3
com.gluonhq.attach	version	4.0.13	desktop	66fe792a2bad08a4666f25a6a0886ceb29513300
com.gluonhq.attach	version	4.0.13	ios	cb0d1482aa738dfee56fa95b40bfe91f429fff1e
com.gluonhq.attach	version	4.0.14		ca9c7888bf4641b1b418ae09756eae995038647d
com.gluonhq.attach	version	4.0.14	android	877253554c739a6a737dba62bf4d268f6d59ad2b
com.gluonhq.attach	version	4.0.14	desktop	c30a6a0d87d2bd1d7eeed314829224e8fcd7c0e1
com.gluonhq.attach	version	4.0.14	ios	ab0c0f4a817ba66521151f551a4431894e84bafe
com.gluonhq.attach	version	4.0.15		8ecdb24436f17a8ea8e81ab79c380349c20db3a3
com.gluonhq.attach	version	4.0.15	android	b0d0bb077fc419e56ccff42273ae7d58bfd26f8a
com.gluonhq.attach	version	4.0.15	desktop	be145ac79035e496bdd7c4a91dffd6d172568c90
com.gluonhq.attach	version	4.0.15	ios	a4898bffc2150be7fe851d19d4396e33c1f888d0
com.gluonhq.attach	version	4.0.16		79c9ad78ae3f173c8e1e983306f11405c4f76054
com.gluonhq.attach	version	4.0.16	android	a7a2e02007072e47f2adb69b6b4d403623850e49
com.gluonhq.attach	version	4.0.16	desktop	2130d4a0870a9b1244cf85019ed966f6be435a96
com.gluonhq.attach	version	4.0.16	ios	db79e2f3511d7944a9ebbd31164ec8e46b834446
com.gluonhq.attach	version	4.0.17		4dd7f07cd44f0b94558223477bb298de043740ee
com.gluonhq.attach	version	4.0.17	android	b9cafcbe709f21e6f8da2594717f83e1fceab45c
com.gluonhq.attach	version	4.0.17	desktop	44f16c08af8a177315ae90472aa28420f6a7ca30
com.gluonhq.attach	version	4.0.17	ios	c43511505ade32a1a7608ba5cac7e9f70732e6e2
com.gluonhq.attach	version	4.0.18		21b79a680eb2e3ef7417515a61d152fde0d18d89
com.gluonhq.attach	version	4.0.18	android	038ea8669c986a7af2238d005a20a3cd397da49f
com.gluonhq.attach	version	4.0.18	desktop	a5cc002cfcb4a6b27ab3e2b13bb4d082fdde9d0f
com.gluonhq.attach	version	4.0.18	ios	f0202a9d13e64a89e3be789c669bae9aac19d7cd
com.gluonhq.attach	version	4.0.19		311099700981bc2c6d29d361db15b2c3585d9d80
com.gluonhq.attach	version	4.0.19	android	7a1ce0452042369cdda1282df956457ad1a3b016
com.gluonhq.attach	version	4.0.19	desktop	c9bc8cf3f785f571d56a125f6c44c44792cbb8fd
com.gluonhq.attach	version	4.0.19	ios	a2cc78871bfa1ea0e99c4335f6bfdb610c62727a
com.gluonhq.attach	version	4.0.20		6997f193a80a888ef14c401898eceb748fcbe923
com.gluonhq.attach	version	4.0.20	android	9c28295a6ac2f8ca162481fd373397beb51844bc
com.gluonhq.attach	version	4.0.20	desktop	d71fd5e430b8e1101a7f440c695c9b43aafdca5b
com.gluonhq.attach	version	4.0.20	ios	fa278ee575924197065f746a036ef3736bc48a0a
com.gluonhq.attach	version	4.0.21		a37a412b9a0224eed491c8da9ef9e47d9d7d71ef
com.gluonhq.attach	version	4.0.21	android	397db0973c70e178b3ce559a903ef0c1544f61b2
com.gluonhq.attach	version	4.0.21	desktop	ee15736457d3adc165b9238a309bc5ce4392bdf9
com.gluonhq.attach	version	4.0.21	ios	378a6f753c7e3b6a5242ce9b3d76edc69e254845
com.gluonhq.attach	version	4.0.22		725be3ee1e7f186fee2f6f572e7ae2b0d597e100
com.gluonhq.attach	version	4.0.22	android	986cd0b6d70be11970e3b784198384a5323ff068
com.gluonhq.attach	version	4.0.22	desktop	667d94c08c68ff99b9cd07d7737a356d0b4ac77f
com.gluonhq.attach	version	4.0.22	ios	f899c7a81b350dfa0413e2c98cd99230e128cafa
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.10.0		48689d972ce8f1a797f4cfe30c14e4c1b63d3676
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.11.0		d861c9fe9fd8b1b5e85ca80dee8e224c1f98f211
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.12.0		4978c7057b589011af6168c7cde8b8046d1d72ed
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.13.0		e9d66f1545e11e375bae24aae14b5d35924346a7
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.14.0		038388be7f4f8e53623de91b3d9bcc3431996afa
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.15.0		cf1736aa31d882f9a11db72859ab9196ba9e15ef
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.16.0		3415d3735577c4ea7c23526b1cef48d658266906
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.17.0		1f77f7d706ef099c9940b249e78580444814d354
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.18.0		798e5a97cbe3d6e4ba2cbcf5a3344f534e595da1
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.19.0		e55d6cbde1aff40da5688f521501f0a9548fe670
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.20.0		59d2644dd37554cae751c4980f2f5d68de755d3b
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.21.0		cd0dc6973b2e70da4c38dd5f7e7c1457dee01a54
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.22.0		5c8382fc85ecfb5df610d6a169ffded797d17fa8
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.23.0		bb43509d4b783e94d94a8dc2bffd90d30ea7e74c
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.24.0		24212c2591b95c70d1cad4f578b369df0fc9cd67
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.25.0		98348c9b67e2df2d7ce9abe23a3e493501d720a3
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.27.0		2c4e2890f74d10e11ce27f6554a1916f236c997c
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.28.0		832a3c4a5459fbc88d6e1ceccec3441ae0656182
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.29.0		28782a5e7e9cdaf11133d33b5c4a506d7aaafab2
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.3.0		2eba22b90a4a6aa59365f984fed56d6fa81f9a15
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.30.0		b212239c27bb99bc88c31422fc546783b10b1879
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.31.0		df06863f09034053aee6fab2d65283529106f8d0
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.32.0		7aa5f46fcb76432cf755d5eb22b0b7f9c0771f1a
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.33.0		1b19abf8fb812d50264747e31fda2f40a31faab5
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.34.0		814d6ebd35428b16e1edfe2d5ab0fb4b37c582bd
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.35.0		64fb0aa413ff3df2ab4baceb94a519017162a5b1
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.36.0		d4dda3f7d997b3247eff1c78e8731eb51d75ab8b
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.37.0		6f029f6b59af7f568f22b8fab45d9ab072090d5e
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.4.0		d8c68054b39138f33f19b4729cc9d76fe9c590ac
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.5.0		31bf7507e0e980b6d2acd45001f9436780d0300b
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.6.0		a02d8e279323b69114d977e38f8629340e784325
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.7.0		c8080c3ebd0610d2541a1e61945937173c1875bf
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.8.0		d4f672c3efce23fdc00d5e338a154f5332bbf5b5
com.google.shopping.api.grpc	grpc-google-shopping-merchant-reports-v1beta	0.9.0		a78ad432c85ac85d8a02b66441d630b8c73bb5c9
com.javaguns.roses	email-sdk-java	8.1.2.1		599bd3be60bfc138a4566ae68d9282b21980dde3
com.javaguns.roses	email-sdk-java	8.1.8		551dd0b4fd99d508672b5c82bb47058f7585769e
com.javaguns.roses	email-sdk-java	8.3.0		3ffdea4401c5e9db04ca453cd46fe3c778b405e7
com.javaguns.roses	email-sdk-java	8.3.1		09998fd1076c90df4136c94dcbb188e2ef18021e
com.javaguns.roses	email-sdk-java	8.3.2		3d0a7ab34b3dd9538106d023483bd3334aba33d7
com.javaguns.roses	email-sdk-java	8.3.3		4de08aece06820ada756cf705b3d901b3e79c6d2
com.karadzhov	scala-iso-language-i18n-hi_2.13	0.3.0		80813c6ab2116b0c4ee930f1c0ebf553eb874f2c
com.karadzhov	scala-iso-language-i18n-hi_2.13	0.3.1		a421191f3fb81c4f12ab4d0ce0f3198d1a029907
com.karadzhov	scala-iso-language-i18n-hi_2.13	0.4.0		340da5f59ef92f616b944ba1987a912cfffd0b81
com.karadzhov	scala-iso-language-i18n-hi_2.13	0.5.0		38859ff329a4188c141b7f76a4742405c5371f0e
com.liferay	com.liferay.asset.categories.item.selector.api	1.0.0		4a6745406b9d1311faee913da0fef6c5c2171bdf
com.liferay	com.liferay.asset.categories.item.selector.api	1.0.1		d59df7c8713ab362790ae7f5080e95be0d5e5ef9
com.liferay	com.liferay.asset.categories.item.selector.api	1.0.10		6064ff740b3f9dc087b393ef2e70e783e012ac27
com.liferay	com.liferay.asset.categories.item.selector.api	1.0.11		8c653473aacd09c5ef99a928e5ce2aa339c7e491
com.liferay	com.liferay.asset.categories.item.selector.api	1.0.12		e45353aac827fdccc711e86712def08fb9a24076
com.liferay	com.liferay.asset.categories.item.selector.api	1.0.13		c5732765b1155ffc199b6945d147027653e3af54
com.liferay	com.liferay.asset.categories.item.selector.api	1.0.14		c072bb4833e9c05b7747a9cac7e97fac5849d5d7
com.liferay	com.liferay.asset.categories.item.selector.api	1.0.2		4b399ca0d8e199eb7d6e5bc61bb3485ba0460098
com.liferay	com.liferay.asset.categories.item.selector.api	1.0.3		a6adcaf616f9c176901d4df7277b652056f4bfca
