com.spotify	magnolify-bigquery_2.13	0.7.2		89cd568818934a512c13656dfd9cde5e7ff072f3
com.spotify	magnolify-bigquery_2.13	0.7.3		cf12c3b65f47cba629acd71c4a5d364eeacafddb
com.spotify	magnolify-bigquery_2.13	0.7.4		c81dd48324bebf8816a6a4aa9521e1da2ebbbb25
com.spotify	magnolify-bigquery_2.13	0.8.0		765f64985e7a97f6cf4a325b317fd5507f218183
com.vesoft	spark-connector	5.0.0		N/A
com.vision4j	grpc-face-detection	1.0.0		7a7a56863b9d6af6fbd73444ccfa6ebdcde0d49f
de.mhus.osgi	vaadinkarafbridge	1.0.1		4264e9c317921cf5f3fe7f3e8142eb2a15c0cdf1
de.mhus.osgi	vaadinkarafbridge	1.0.2		1b1b8410a7b4c94d2c01bfc66004f87ddd388cfc
de.mhus.osgi	vaadinkarafbridge	1.0.3		8cbc74122458aaf96cb513ddb6e75f499c5cc8b2
de.mhus.osgi	vaadinkarafbridge	1.0.4		35d915c1e98e336da229092a561797066de30ed7
de.mhus.osgi	vaadinkarafbridge	1.0.5		f5cda96e62843045f839e7debd8754832bc97f25
de.otto.edison	edison-jobs-mongo	0.45.0		030d6b33e45cd197e482826a7adfb69985592794
de.otto.edison	edison-jobs-mongo	0.45.1		39beeb099114dc5eb919037509891c62e093eb54
de.otto.edison	edison-jobs-mongo	0.45.2		56555ace602c84154eb92c145e0de5051e46fb9d
de.otto.edison	edison-jobs-mongo	0.45.3		12e1a2d8c9281edf3d6f2e9a0e06d0c2619c5f25
de.otto.edison	edison-jobs-mongo	0.46.0		5b2c26ea7e909ed78e305d9bcb052bf26a6d9869
de.otto.edison	edison-jobs-mongo	0.46.1		46e185011c37dd46ffec99b64e0aa0237180f0ab
de.otto.edison	edison-jobs-mongo	0.46.2		fffbfed4d295c04f7c529682e589562fa2f947a9
de.otto.edison	edison-jobs-mongo	0.47.0		67e69d3a02d71ad7f1d21a7d988be245c81ceb7b
de.otto.edison	edison-jobs-mongo	0.47.1		e6311f515e82daf7e2a5f6344df392f6ad40331a
de.otto.edison	edison-jobs-mongo	0.47.2		f6de1f5233742629d2e39b2ffce2701868685bbe
de.otto.edison	edison-jobs-mongo	0.48.0		ca23c17e2db089a777c9a9c8eaddd2c90913f1eb
de.otto.edison	edison-jobs-mongo	0.49.0		afbceaa6da51d146538d961ae895affa6101b00a
de.otto.edison	edison-jobs-mongo	0.49.1		2025055a8e29a8b7524665b16acfa1f29769bf30
de.otto.edison	edison-jobs-mongo	0.49.2		bccdad9fde0d8c7b6925456cb3ac4fb60def7d80
de.otto.edison	edison-jobs-mongo	0.49.3		2944a64ce76276cccd49473fae8afc75e40de75d
de.otto.edison	edison-jobs-mongo	0.49.4		7045cae702da29985eecfd7207a3aeade6ba2c61
de.otto.edison	edison-jobs-mongo	0.50.0		d409a86304e40b8e302f1ab89dbab2442791c762
de.otto.edison	edison-jobs-mongo	0.50.1		c60821c816110b1dcb3f9d40a7a8f222bf3da6c5
de.otto.edison	edison-jobs-mongo	0.50.3		a78f26de13fc891f89ce2f6473529381ca45ae51
de.otto.edison	edison-jobs-mongo	0.51.0		ebabdc74b615c30db9cce9a21c9595d6466f2f53
de.otto.edison	edison-jobs-mongo	0.51.1		204786c361c40fb4c92e5abf487af379ccdb7011
de.otto.edison	edison-jobs-mongo	0.52.0		aaffad83c86f51abc18690bda0555889dfb65c9c
de.otto.edison	edison-jobs-mongo	0.52.2		8cdcc7040b14066a3375f797990f0a69327ac667
de.otto.edison	edison-jobs-mongo	0.52.3		f23b0ad4056e6566a18fae578fac0a25ce6c4f49
de.otto.edison	edison-jobs-mongo	0.53.0		72b6c1c56722f7ebcd83c5d20a40121cd278d562
de.otto.edison	edison-jobs-mongo	0.53.1		39e0f8710e53eb2870afac6e4243745221eef4f3
de.otto.edison	edison-jobs-mongo	0.54.0		eb5a9f63c258b6e6de83361a0794793ad15150a3
de.otto.edison	edison-jobs-mongo	0.54.1		2291029b95296e80e8101cbcc777e4d4225b5bd5
de.otto.edison	edison-jobs-mongo	0.55.0		edd0cd2ed144a3ecf195902c72e0e37122b5167c
de.otto.edison	edison-jobs-mongo	0.55.1		0a292bc1940eb99ae966b39411fbe434f98c4b14
de.otto.edison	edison-jobs-mongo	0.55.2		f2876d111a59abdc3910fd90822597d586cc4bb7
de.otto.edison	edison-jobs-mongo	0.56.0		c27952db11c7d1811a0cf99b7d6d06e11e90c5bc
de.otto.edison	edison-jobs-mongo	0.56.1		9c2f607871458e55ac7e192f6030d8a6e4c0a8fa
de.otto.edison	edison-jobs-mongo	0.56.2		40e26986de383cd9f5d4b7a2d4d5a2556c0ccebe
de.otto.edison	edison-jobs-mongo	0.56.3		806cefd9e33dc50f20bef608694d1438d8f5b2c8
de.otto.edison	edison-jobs-mongo	0.57.0		377915722a1562244aa87650285dcba231debfa9
de.otto.edison	edison-jobs-mongo	0.57.1		69519cf3ccb57f13d4d8e752d3a600cc8a5d6d68
de.otto.edison	edison-jobs-mongo	0.57.2		76ec7a506f8bc3033322bb29810d86e1e7f83ad3
de.otto.edison	edison-jobs-mongo	0.58.0		e987660be625da695f4bc52c7dde739f415d56ce
de.otto.edison	edison-jobs-mongo	0.58.1		afe46cdb071f8868e5a98c4ad81ae74a5b50cf5d
de.otto.edison	edison-jobs-mongo	0.59.0		0b8aaf424b41e6fc148408c51a6d77caa5ceead3
de.otto.edison	edison-jobs-mongo	0.60.0		8dbe80c7c8a99933d195f8a3a36f3b31d5e09315
