au.net.causal.shoelaces	shoelaces-jersey-client-integration-tests-container	2.0		e20ece2b79b69691463608cad682da248d5034c8
com.chrisdempewolf	pinterest-sdk	1.19.0		6d102b2da95d60f4d5361a8aa8060effd4a46f9b
com.chrisdempewolf	pinterest-sdk	1.2		62021bcfd2e97984b44017bd599eb9756fb9131c
com.chrisdempewolf	pinterest-sdk	1.3		81a4a4df186a4f4ed355609096ef715db7fa6744
com.chrisdempewolf	pinterest-sdk	1.4		032d4a66f05a5c82c002a63d969bdd3d2e555313
com.chrisdempewolf	pinterest-sdk	1.5		7c9ca9ebd722c1d4c9051c6706fe352c898e3741
com.chrisdempewolf	pinterest-sdk	1.6		dc2cadeb4d4bf108efaeea4a834a1b15bc05e7f1
com.chrisdempewolf	pinterest-sdk	1.7		3eba0e7e99b9312a25cb2e92000844d415b02cd7
com.chrisdempewolf	pinterest-sdk	1.8		53a72ae5c2406d894fdafeb516441e16b121d5c9
com.chrisdempewolf	pinterest-sdk	1.9		5612d5be8d013d3491f5d5f462c4b1963b24a1a7
com.chrisdempewolf	pinterest-sdk	2.0.0		b7547448b0000c525b587a1b6ade2bcbe93e80f2
com.chrisdempewolf	pinterest-sdk	2.1.0		05e19426f13408f824c7d145f75624c60e2647ee
com.chrisdempewolf	pinterest-sdk	3.0.0		fd38e6dda4d71d35ed1fb0c425e44bf60356e278
com.chrisdempewolf	pinterest-sdk	3.1.0		4b3a5cd70fd29a69b8be0ff2c540122a0a733b28
com.chrisdempewolf	pinterest-sdk	4.0.0		9df1056db82837a448e212a89b6c6cfbe5c3cd84
com.chrisdempewolf	pinterest-sdk	4.0.1		a2e48140eb9c5445cb1c41ff4ea0ca4ae6e195f0
com.chrisdempewolf	pinterest-sdk	4.0.2		10d2d2717f203a99f7459cc51ebea760d684b51d
com.chrisdempewolf	pinterest-sdk	4.0.3		c77579bce543e1d38a2a7d52411ee336ca0d45b3
com.chrisdempewolf	pinterest-sdk	4.0.4		607db586ae2c7449f0a1ff0d295c597519e97064
com.chrisdempewolf	pinterest-sdk	4.1.0		48ea8246fd3cb1be7ba7f2ba1538a586bfbc6354
com.chrisdempewolf	pinterest-sdk	4.2.0		8f26844474806fd3fef2fac3bf83f507c2a80578
com.chrisdempewolf	pinterest-sdk	4.2.1		a83910a5638bbfa2768afde8c5e1ed3589aaf30f
com.codemettle.jsactor	jsactor-loglevel_sjs0.6_2.11	0.6.1		b2a07e69d31d2f35581864937c72097d609beed8
com.codemettle.jsactor	jsactor-loglevel_sjs0.6_2.11	0.6.2		4472b7fa7e266fcfe2f08674433327f4f9d3a03b
com.codemettle.jsactor	jsactor-loglevel_sjs0.6_2.11	0.6.3		86e456030f71c9937ad0ad6a13cb2846806eaf6f
com.codemettle.jsactor	jsactor-loglevel_sjs0.6_2.11	0.6.4		6b73caf2ca7087d153e606074d5013fc2c8d347e
com.codemettle.jsactor	jsactor-loglevel_sjs0.6_2.11	0.6.5		d165e143573319ae295b127e52b30bd7a9826273
com.codemettle.jsactor	jsactor-loglevel_sjs0.6_2.11	0.6.6		f2482a68b61cd06c834558371c4fcc71e3fa3354
com.codemettle.jsactor	jsactor-loglevel_sjs0.6_2.11	0.6.7		093ec214831f66e7971456cbbf77ac56aa8c10e5
com.codemettle.jsactor	jsactor-loglevel_sjs0.6_2.11	0.6.8		b0c9125d9085c4b3be2bc6cb2d8bd1b62994a572
com.codemettle.jsactor	jsactor-loglevel_sjs0.6_2.11	0.6.9		fc98b95eb904e4af0b5c84782dfbb14bd66557ce
com.codemettle.jsactor	jsactor-loglevel_sjs0.6_2.11	0.7.0		3878827f6f5986b1b8fd3624287e1dc47d19132f
com.codemettle.jsactor	jsactor-loglevel_sjs0.6_2.11	0.7.1		cde6458fde5c2c0ae6a54a65b83f538393753ce9
com.codemettle.jsactor	jsactor-loglevel_sjs0.6_2.11	0.7.2		999e568a576024f6d2bcbf4669aa5801f6d4d17b
com.cognitect.aws	cloud9	668.2.364.0		70b6d1c359a36337f4f5dd2542d14b6f209d2b46
com.cognitect.aws	cloud9	697.2.391.0		57a97788d2b0020c55518ea44842ae2fdec75184
com.cognitect.aws	cloud9	707.2.409.0		9849a401e796360bd9270267a4524be00685e64a
com.cognitect.aws	cloud9	746.2.533.0		f3a8974d54c1a1999069e3fbe7e272b8a2b3f7c9
com.cognitect.aws	cloud9	762.2.559.0		88169f5f1a54b839e735235d999734563e8ed374
com.cognitect.aws	cloud9	770.2.568.0		4d85403aa59a2b819f424e334ae1483d50394fd6
com.cognitect.aws	cloud9	792.2.620.0		e63176875de503a363ec3d6b52bcd433200747fc
com.cognitect.aws	cloud9	809.2.734.0		941e82d43a49b9c06c063ca60037f52c2334917d
com.cognitect.aws	cloud9	811.2.889.0		1cd07e21ba5db7f270c0d53ec7a05feff0120679
com.cognitect.aws	cloud9	811.2.934.0		43ff19db42f82174dc029315536a84f53d59af1d
com.cognitect.aws	cloud9	813.2.972.0		e5acca804f0d87f5cb329871b510415704e12de3
com.cognitect.aws	cloud9	821.2.1107.0		85401bdaf42ceb167e6361392235f5b27997c6cf
com.cognitect.aws	cloud9	825.2.1250.0		65335ea02d8c7ad7aa7cb70787e6017ff0f90e26
com.cognitect.aws	cloud9	835.2.1307.0		b8ad925e900bec134e762f6c684a51b5f3de2a50
com.cognitect.aws	cloud9	847.2.1365.0		9db41f35e7878a72a312b8beb17d1e64b68d77cf
com.cognitect.aws	cloud9	857.2.1574.0		6e968e298f595d5afed381bb7442b4b472eaf62d
com.cognitect.aws	cloud9	871.2.29.35		14a33039b51579ff9f1c9ac1ef9a15733ed6ce99
com.daml	jwt_2.12	0.13.56-snapshot.20200403.3814.0.47541e70		8c7526768722926916ac26a5d07eb1a689db1de3
com.daml	jwt_2.12	0.13.56-snapshot.20200404.3816.0.30f2c742		8c7526768722926916ac26a5d07eb1a689db1de3
com.daml	jwt_2.12	0.13.56-snapshot.20200407.3843.0.10bac143		4e0f3c46f4e860e39d3122448eed3f8c00269390
com.daml	jwt_2.12	0.13.56-snapshot.20200407.3859.0.b488b353		4e0f3c46f4e860e39d3122448eed3f8c00269390
com.daml	jwt_2.12	0.13.56-snapshot.20200408.3871.0.b3ccacc0		4e0f3c46f4e860e39d3122448eed3f8c00269390
com.daml	jwt_2.12	0.13.56-snapshot.20200408.3877.0.1ddcd3c0		4e0f3c46f4e860e39d3122448eed3f8c00269390
com.daml	jwt_2.12	0.13.56-snapshot.20200411.3905.0.f050da78		4e0f3c46f4e860e39d3122448eed3f8c00269390
com.daml	jwt_2.12	1.0.0		4e0f3c46f4e860e39d3122448eed3f8c00269390
com.daml	jwt_2.12	1.0.1		4e0f3c46f4e860e39d3122448eed3f8c00269390
com.daml	jwt_2.12	1.0.1-snapshot.20200417.3908.1.722bac90		4e0f3c46f4e860e39d3122448eed3f8c00269390
com.daml	jwt_2.12	1.0.1-snapshot.20200424.3917.0.16093690		4e0f3c46f4e860e39d3122448eed3f8c00269390
com.daml	jwt_2.12	1.1.0		4e0f3c46f4e860e39d3122448eed3f8c00269390
com.daml	jwt_2.12	1.1.0-snapshot.20200422.3991.0.6391ee9f		4e0f3c46f4e860e39d3122448eed3f8c00269390
com.daml	jwt_2.12	1.1.0-snapshot.20200430.4057.0.681c862d		4e0f3c46f4e860e39d3122448eed3f8c00269390
com.daml	jwt_2.12	1.1.0-snapshot.20200506.4107.0.7e448d81		1ffc1192740b99b8bf6a21665fb138a0a1b6cd18
com.daml	jwt_2.12	1.1.1		1ffc1192740b99b8bf6a21665fb138a0a1b6cd18
com.daml	jwt_2.12	1.10.0		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.10.0-snapshot.20210120.6106.0.58ef725a		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.10.0-snapshot.20210125.6143.0.550aa48f		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.10.0-snapshot.20210201.6207.0.7cf1914d		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.10.0-snapshot.20210202.6218.0.c0573678		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.10.0-snapshot.20210208.6257.0.61feb5bf		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.10.0-snapshot.20210209.6265.0.19bf4031		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.10.1		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.10.2		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.11.0		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.11.0-snapshot.20210212.6300.0.ad161d7f		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.11.0-snapshot.20210217.6338.0.ba6ba901		26ca44dd76133282aa1a5db6b9c148cdf77274e9
com.daml	jwt_2.12	1.11.0-snapshot.20210224.6385.0.dba114a2		248046ef93ded70f64b8a35ffe91a6ec9a89e4d7
