io.github.vigoo	zio-aws-resiliencehub_2.12	4.17.104.1	-	cfc69ae252f11da52539143dd380432189c05b44
io.github.vigoo	zio-aws-resiliencehub_2.12	4.17.104.2	-	077f259fa2818092acdd3f180fdadc2787d6e7da
io.github.vigoo	zio-aws-resiliencehub_2.12	4.17.280.4	-	dc2745243bb3b83abe2dd138f8fd111e9920bbd3
io.github.zacker330.es	es-ik-sqlite3	1.0.0	-	0ffe3226434e76890d0ae03ccc8cd9ab255f35ba
io.gitlab.openchvote	runner	1.2	-	b87c703c4ee170a919d7e23eb572885dae98e532
io.gitlab.openchvote	runner	1.2.1	-	d186c0dc9ead890eabf8fb3aacf8f18113419d6b
io.gitlab.openchvote	runner	1.2.2	-	68cd9b2a1175642034a12151c047b2cb401fa677
io.gitlab.openchvote	runner	1.3	-	f7d0db5decc409c9b79ba58376b1f13e2a8fe2aa
io.k-libs	stack-jvm	0.1.0	-	9884677c0faf8bd8fa8e03f23101a3d4a0bcbbcb
io.k-libs	stack-jvm	0.2.0	-	f095560ef0cb823ebe63afe7e720ccc44a60ba36
io.k-libs	stack-jvm	0.3.0	-	19fbd3b3333a4baf906ecdbfb9a241763dc95ca4
io.kotest	kotest-extensions-http	4.4.0	-	073c2b3b0eb7d2b2cc091c61b9be9c02c252e2a3
io.kotest	kotest-extensions-http	4.4.0	4.4.0-all	90a401138fc29cf25009b2c262771b494adcd34c
io.kotest	kotest-extensions-http	4.4.0.RC2	-	f506ccb694ec77ccfaa54f1d42243701b17a26a6
io.kotest	kotest-extensions-http	4.4.0.RC2	4.4.0.RC2-all	25be10638ec524c990fde808526bb2c2ceabc1f3
io.kotest	kotest-extensions-http	4.4.0.RC3	-	275badfbebd3a8f036fd65fe7b66cc8e9b579a57
io.kotest	kotest-extensions-http	4.4.0.RC3	4.4.0.RC3-all	58ff5fdcb1002bd28de79a00ca235e795413a1b3
io.kotest	kotest-extensions-http	4.4.1	-	3008b1b06bce032002a5ee8a108ce6b6388c7f36
io.kotest	kotest-extensions-http	4.4.1	4.4.1-all	d398bb20926fb4c9abacf727c325829aef1d7a17
io.kotest	kotest-extensions-http	4.4.2	-	93238e0ab87f9ac976f0f3e29fd650eaa970b600
io.kotest	kotest-extensions-http	4.4.2	4.4.2-all	f135df6d5ed052fc42dd14c89942e52020f4f363
io.kotest	kotest-extensions-http	4.4.3	-	6d943b5584f2f8b8f506c724ae622a93e1ec95b0
io.kotest	kotest-extensions-http	4.4.3	4.4.3-all	fbd3d7938aa57c527e43b33316c57674d8c63b50
io.kotest	kotest-extensions-http	4.5.0	-	5f5a764a2e8672eabf25b8bbbbc0499f11fecb2a
io.kotest	kotest-extensions-http	4.5.0	4.5.0-all	b807cf19c6815c67b78b9979225bcb4590c331ce
io.kotest	kotest-extensions-http	4.5.0.RC1	-	8b4567e9a4e791f243026fcea430354345f0e072
io.kotest	kotest-extensions-http	4.5.0.RC1	4.5.0.RC1-all	105244e8b1663bf783dec2079c6690722d6c90f2
io.kotest	kotest-extensions-http	4.6.0	-	f3e28487c3845f9644680f3046dfaf80ea9f7a0d
io.kotest	kotest-extensions-http	4.6.0	4.6.0-all	67b03be29535ef019a9c857ad733a5f0f7b989b8
io.kotest	kotest-extensions-http	4.6.1	-	f9124e3e9919c9478bf92c6ba4df7072d612d705
io.kotest	kotest-extensions-http	4.6.1	4.6.1-all	cc1de98ab18c04a544ff775f582e9e734df78695
io.kotest	kotest-extensions-http	4.6.2	-	89a4a0569d6335116bce35c49999cb6c4743c055
io.kotest	kotest-extensions-http	4.6.2	4.6.2-all	72b346768aec5571836299cb503e775debd7d459
io.kotest	kotest-extensions-http	4.6.3	-	75a9a58a772a9b41df875830e3f707e5acfe051a
io.kotest	kotest-extensions-http	4.6.3	4.6.3-all	43744370d487adaa6c4e4212842199a7de6e156c
io.kotest	kotest-extensions-http	4.6.4	-	e1dc02743cd5c5ffce819161ae65f6809b8cda61
io.kotest	kotest-extensions-http	4.6.4	4.6.4-all	e9d6d84fba2809a1160a1d274095df0f2aac5a13
io.kotest	kotest-extensions-http	5.0.0	-	962df37f81e0be4c9bcfd3f422cab91b69865b2e
io.kotest	kotest-extensions-http	5.0.0	5.0.0-all	1194cc49ad855700f86805780a4dee5620372448
io.kotest	kotest-extensions-http	5.0.0.M1	-	e0a92689e54902a1746c484839eec12ddf2831f6
io.kotest	kotest-extensions-http	5.0.0.M1	5.0.0.M1-all	28aa3a572975167131ee2f71b6e73ece85f7cbf6
io.kotest	kotest-extensions-http	5.0.0.M2	-	2442c8f7b94f91715ea1f0de5482c541e16e49ed
io.kotest	kotest-extensions-http	5.0.0.M2	5.0.0.M2-all	48c3d6838574b42eb8d4b3f06ff594267e32d885
