com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.7.9		3641e4807f2063739ea9b959cbd807dac006b927
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.8.0		3727177ee0973e437e43fe7898d8cf08d2abf082
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.8.1		b772c02fbfd953cc1d2e98e1eb6c84f5fc65c2d3
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.8.10		0fcfe66c42fa1eeaa7c3e808b1d70845259a1976
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.8.11		4f356a1fc3012da2ae380009bd22fe3e8900d73e
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.8.12		d02e1b78d1561c667056e0b9775321baa5c90a6c
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.8.13		35984eeab1f9230438d83f0451b3ff8911eaddc1
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.8.14		e5c3b65efb63a4f0b981466a2f2fb1eeadbe512d
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.8.15		6745173316065d16bc97cd49292c95844f2a2428
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.8.16		d0169f4cfdc58682c9056798555096fa6928ac8c
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.8.17		9f96427f5c7c953b3df8d619cfc63266d522835f
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.8.18		44fda193c317614fd2a732fcc676e0e5272f3b53
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.8.2		4aec28fb0936c0f2a78d83f9db17398c8a79ba4b
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.8.3		d0fe0431bad91d561d6f223269c1d5cb4102fbf0
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.8.4		5008edbc8f59a80fd5b78900153de9b43c7e2b47
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.8.5		52cfc6efad2226de6bda4d23517b6a7db056b813
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.8.6		bde69762e7f04c3c82b7c35c5ec2138ae566f1fa
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.8.7		8e295c466cfe171fd44e551266e6fb6cbac253aa
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.8.8		068a74ad6503582c3ec54bc2f7e5dc858cae50d9
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.8.9		fd1f590845abb7260cce4c716469c24cdb27109d
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	3.9.0		03deb612062d65a1898c5aac683ea2a881e00105
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.0.0		8adc964f91ccc2093aad97d7b497ffe3f09f4439
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.1.0		3611dc424b87e1779c9a0acb703a43585c3a54a4
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.1.1		b6ee8a4d2528308041d020cb05b4755b51a4f050
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.1.2		27e3feda2d5e29430904af7ea096a1b8ad4fc0b1
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.1.3		bc825eeb23a5549ec879d97d67e8fb4e5ebb4af8
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.1.4		d0d91ab09a9a5d4de319f5d58969ec2c5ac85582
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.10.0		7c732fff4978b91235a79d2a4fc7c30b36b6b953
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.10.1		e6926b11bffa2c58e75183643af12af6accd4f45
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.10.10		da7a0e9281198c12e4d2892696f212d578f08b9b
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.10.11		a8399180f4bf12828b30159682302242797695c1
com.google.cloud	spring-cloud-gcp-starter-sql-postgres-r2dbc	4.10.12		df795bc195efb31b25d3b818168489481468624a
