com.google.shopping.api.grpc	grpc-google-shopping-merchant-inventories-v1beta	0.6.0		e9219ab4ce15ea18be410f0c98acfeec349991a0
com.google.shopping.api.grpc	grpc-google-shopping-merchant-inventories-v1beta	0.7.0		0a20261baace6d676b35f4261d445ac8f16fc385
com.google.shopping.api.grpc	grpc-google-shopping-merchant-inventories-v1beta	0.8.0		8500b66f6aed0e88e861a22ddbbbee15e11ac4bd
com.google.shopping.api.grpc	grpc-google-shopping-merchant-inventories-v1beta	0.9.0		5d66d45d73bc334f2bbd86984f832e3400fc6484
com.googlecode.gwtrpcplus	gwtRpcPlusWebsocketsJetty	0.0.2		30744e45b2ca3cad851039758921b95fc5682ef8
com.innoventsolutions.birt.runtime	org.eclipse.core.filesystem_1.7.100.v20180304-1102	4.8.0		b3ad92ecd4bc57e4c4e6fd8184f2f79ab5bb7aa1
com.io7m.jdownload	com.io7m.jdownload.core	0.0.1		103b6562fa943609311576a1e1f2fd03ce790eb3
com.io7m.jdownload	com.io7m.jdownload.core	1.0.0		8b2c83f32c7fb9196f2f0ec9e599abd34cfa0e92
com.kailuowang	tempus-storage_2.12	0.1.0		78afcc51d96b51f14f0b4354e6b9587518b014ba
com.mqttsnet.thinglinks	open-exp-client-api	1.0.2		b673050315655bb47c676cc9d9bfe2188d2c87fd
com.mqttsnet.thinglinks	open-exp-client-api	1.0.3		047b465a2164dd7fc3ec0aa87f09567fb1c3ef5e
com.mqttsnet.thinglinks	open-exp-client-api	1.0.4		ead9065989e36f96875f175a6880ae1b0a9c1c76
com.mqttsnet.thinglinks	open-exp-client-api	1.0.5		9e56be3e20251c7a4d63f7bbed98de35afa14734
com.mqttsnet.thinglinks	open-exp-client-api	1.0.6		6723825fde4377c133b8e5e96d0286695b09d9cf
com.mqttsnet.thinglinks	open-exp-client-api	1.0.7		d33b35bc2d2ef1e3a171b11e8c0df199a7fc75e9
com.mqttsnet.thinglinks	open-exp-client-api	1.0.8		61fd3567c526e0a9703a4a9af9cbddd88d4ee40f
com.naulian	motion	0.1.0		N/A
com.naulian	motion	0.1.0-alpha01		N/A
com.naulian	motion	0.1.0-beta01		N/A
com.naulian	motion	0.1.0-rc		N/A
com.nvidia	rapids-4-spark-private_2.13	23.12.0		79801cbf3fd03822073061bf1e977180d48a5bea
com.nvidia	rapids-4-spark-private_2.13	23.12.0	spark330	79801cbf3fd03822073061bf1e977180d48a5bea
com.nvidia	rapids-4-spark-private_2.13	23.12.0	spark331	c7ecfc99c2cff77d9cdf8f05e1469c2acf3f544c
com.nvidia	rapids-4-spark-private_2.13	23.12.0	spark332	1afa46c666998d40cf284b164600b8fc59d78d75
com.nvidia	rapids-4-spark-private_2.13	23.12.0	spark333	1be0cc079dada7516b56afef6b66385f431da672
com.nvidia	rapids-4-spark-private_2.13	23.12.0	spark340	9415c8dd57c28fcc732e15b3293dd6bdf4b8983c
com.nvidia	rapids-4-spark-private_2.13	23.12.0	spark341	d023715cbeb7aaac76cb08ca31ae852f1d929718
com.nvidia	rapids-4-spark-private_2.13	23.12.0	spark350	3396690a056eed863ee03ddeea660284bf4dd32d
com.nvidia	rapids-4-spark-private_2.13	24.02.0		c14c117b8dbf3d04e88ccd3521957038ff77165a
com.nvidia	rapids-4-spark-private_2.13	24.02.0	spark330	c14c117b8dbf3d04e88ccd3521957038ff77165a
com.nvidia	rapids-4-spark-private_2.13	24.02.0	spark331	a0726866b3f2b3e7f14148b74d9f86bc2fc5d335
com.nvidia	rapids-4-spark-private_2.13	24.02.0	spark332	2bd086d23689da62981d22be9f9ba8f22dac25c1
com.nvidia	rapids-4-spark-private_2.13	24.02.0	spark333	760ec632d156ad88e3154d35557fd63d91a0fe6b
com.nvidia	rapids-4-spark-private_2.13	24.02.0	spark340	42b914d64b2a036dcd4a0b9837478899dcebd52d
com.nvidia	rapids-4-spark-private_2.13	24.02.0	spark341	a1525a2702abc12db81741aa6aeb60c925fff9e9
com.nvidia	rapids-4-spark-private_2.13	24.02.0	spark350	d1dcc94333f8c40249e71dd0bda4627746596324
com.nvidia	rapids-4-spark-private_2.13	24.02.1		157ef4dfabbd66739189c16bfd34399c105b3cb9
com.nvidia	rapids-4-spark-private_2.13	24.02.1	spark330	157ef4dfabbd66739189c16bfd34399c105b3cb9
com.nvidia	rapids-4-spark-private_2.13	24.02.1	spark331	165ef7271d21ccae2a87980b8d3f2a2a3fab1786
com.nvidia	rapids-4-spark-private_2.13	24.02.1	spark332	947a3ce5fce6b46d88d51d7c914fdd18d5ddae59
com.nvidia	rapids-4-spark-private_2.13	24.02.1	spark333	12efe17dd7e4112dbb2179c6fbfb24daf8c8f0a4
com.nvidia	rapids-4-spark-private_2.13	24.02.1	spark334	4cdb5bf5a24bd74d0d0f11c4302e388da401d57d
com.nvidia	rapids-4-spark-private_2.13	24.02.1	spark340	de69245a039c0c34ed52086f193fa76b4248b192
com.nvidia	rapids-4-spark-private_2.13	24.02.1	spark341	7ad46251e653381adf2a41cceb812898df274965
com.nvidia	rapids-4-spark-private_2.13	24.02.1	spark342	cb192bc1b49a14c6753f6f4a5a3fd7529a617244
com.nvidia	rapids-4-spark-private_2.13	24.02.1	spark350	c1b7ba06f58e0e2c74dc0a9f21c44af791ab9770
com.nvidia	rapids-4-spark-private_2.13	24.04.1		237904748697165ca2af9647fb53733a7fd328d9
com.nvidia	rapids-4-spark-private_2.13	24.04.1	spark330	237904748697165ca2af9647fb53733a7fd328d9
com.nvidia	rapids-4-spark-private_2.13	24.04.1	spark331	6dc3b3998103340b521e63ab563c56ebff3f8a17
com.nvidia	rapids-4-spark-private_2.13	24.04.1	spark332	6dc3b3998103340b521e63ab563c56ebff3f8a17
com.nvidia	rapids-4-spark-private_2.13	24.04.1	spark333	cae79119fd16eb92ff405556a5aa3959089faea7
com.nvidia	rapids-4-spark-private_2.13	24.04.1	spark334	7c9cb7aeecebcf5bf5e7fce0635a2bb69814c733
com.nvidia	rapids-4-spark-private_2.13	24.04.1	spark340	7f3e46cf5a0af47ff336ccdb2ab945fb93ce45d7
com.nvidia	rapids-4-spark-private_2.13	24.04.1	spark341	3a8c160824be3b85706ae7d9204fa462b0b91df6
com.nvidia	rapids-4-spark-private_2.13	24.04.1	spark342	a6b080c89d88bfe8fce86aa17175877426903e79
com.nvidia	rapids-4-spark-private_2.13	24.04.1	spark350	a993a1bb0698b2570d276fa1a4ab1108a63ea096
com.nvidia	rapids-4-spark-private_2.13	24.04.1	spark351	0f093f14dfea91833d371f67251a3ba50af03002
com.nvidia	rapids-4-spark-private_2.13	24.04.2		78e611a12a25e450109f39a9ce49f9c3164cda41
com.nvidia	rapids-4-spark-private_2.13	24.04.2	spark330	78e611a12a25e450109f39a9ce49f9c3164cda41
com.nvidia	rapids-4-spark-private_2.13	24.04.2	spark331	ec279bc515ab184e2b5754d1848572fb648ec181
com.nvidia	rapids-4-spark-private_2.13	24.04.2	spark332	7374129fdd48cd2329fd5a31a40c875cf68da4b4
com.nvidia	rapids-4-spark-private_2.13	24.04.2	spark333	c2dd97fee9f3172d546f596b0dde1636c2584976
com.nvidia	rapids-4-spark-private_2.13	24.04.2	spark334	61aa7a2fac2585cb65cbde5addf6c042840cd91e
