com.liferay	com.liferay.item.selector.url.web	2.0.20		7ad3f167c7a1ca19251d0c0b86ea9e014755d90d
com.liferay	com.liferay.item.selector.url.web	2.0.20	jspc	f49d8934f69349282783953ff44d4686f3c4fbd8
com.liferay	com.liferay.item.selector.url.web	2.0.21		8e708e26cce8ad9ad69e6fa50f7aca87f58aca31
com.liferay	com.liferay.item.selector.url.web	2.0.21	jspc	f153734e84dcb4337672507a9d85249935c50fd5
com.liferay	com.liferay.item.selector.url.web	2.0.22		d82f603232aa5df67c9a53c0129770aa37c5fab0
com.liferay	com.liferay.item.selector.url.web	2.0.22	jspc	8f21f713162f3caaec08bc6e24a0ba2c76e6bcc3
com.liferay	com.liferay.item.selector.url.web	2.0.23		328009c571d114b4ad3a36bd70205435fb399a5f
com.liferay	com.liferay.item.selector.url.web	2.0.23	jspc	e02c804b48d60ec0965618a30c40b633aac6663c
com.liferay	com.liferay.item.selector.url.web	2.0.24		77df485acfc0199b50e1fc6119b54979885cf17d
com.liferay	com.liferay.item.selector.url.web	2.0.24	jspc	6f194ef2e4d46a3e99996fff17b0501f94bae8b5
com.liferay	com.liferay.item.selector.url.web	2.0.25		c6ce2cea9b0f8f97354fbea9bd7cbf445b6d0ea5
com.liferay	com.liferay.item.selector.url.web	2.0.25	jspc	51bf3b05eb4d0455100d7b95709a1c464c281189
com.liferay	com.liferay.item.selector.url.web	2.0.26		a54820b5b1c9dab4e6f3c2b5fad4e77cc475e34d
com.liferay	com.liferay.item.selector.url.web	2.0.26	jspc	1fe1846c09daa3af0ed77255f4c280f675d1a9d1
com.liferay	com.liferay.item.selector.url.web	2.0.27		c149e7256c9d9f05bc569ae23a4734468e3e8d81
com.liferay	com.liferay.item.selector.url.web	2.0.27	jspc	197b0691b12707cc06ef8f13cce94844b42acc02
com.liferay	com.liferay.item.selector.url.web	2.0.28		aab4818921cfc061dc9993e99996c26be31d98d8
com.liferay	com.liferay.item.selector.url.web	2.0.28	jspc	2acda03a92dc287b0430466899c0d9e13586caf0
com.liferay	com.liferay.item.selector.url.web	2.0.29		33844835cd590cdd90228d31682e8ba91b51b46c
com.liferay	com.liferay.item.selector.url.web	2.0.29	jspc	b7a650c35d0cf3689e9760e9767fbe4b32cd85ca
com.liferay	com.liferay.item.selector.url.web	2.0.3		f6acb7dfb922831fcc6e0c0d74555efa0915665d
com.liferay	com.liferay.item.selector.url.web	2.0.30		ba3e8a66ac62e3767508010a1784593d486c1889
com.liferay	com.liferay.item.selector.url.web	2.0.30	jspc	ec35af8d11c3c10a6e53fe12e3e12ae3ea385ea4
com.liferay	com.liferay.item.selector.url.web	2.0.31		249a07896bd8305326cb069ce57a38c82e75cb16
com.liferay	com.liferay.item.selector.url.web	2.0.31	jspc	f32480e2fe5e6d8095c4e15e7b48907bb823cb3a
com.liferay	com.liferay.item.selector.url.web	2.0.32		bc7dc41fec93350b64173bd4e1a0ecf2cf135262
com.liferay	com.liferay.item.selector.url.web	2.0.32	jspc	64257ff6c6476afe52ef191b12ade8c0b8611ed5
com.liferay	com.liferay.item.selector.url.web	2.0.33		e48cae289182a14c284ab2a2041f1420b05390cf
