com.farao-community.farao	gridcapa-cse-computation	1.1.0		9a89fc858124c4990ee3d80fecc347bb82978a2a
com.farao-community.farao	gridcapa-cse-computation	1.1.1		83a6a1b9338c4af8a68660d7aa41eb885bd3992c
com.farao-community.farao	gridcapa-cse-computation	1.10.0		1ea51d8b6df3c4b36b735e2190f2812286610977
com.farao-community.farao	gridcapa-cse-computation	1.11.0		d8ea984d026448b01ed8c1f6bbb85ffca7890d3f
com.farao-community.farao	gridcapa-cse-computation	1.11.1		f186f67a93f2b0d151a7783dc765f7675535d694
com.farao-community.farao	gridcapa-cse-computation	1.12.0		52aed605f0ba067ed6cf6e999255c3cd7aaf0a0f
com.farao-community.farao	gridcapa-cse-computation	1.12.1		011f36474da72629bc609aea0de267892396b8ae
com.farao-community.farao	gridcapa-cse-computation	1.13.0		c817f488bed1c69bfda125a34dc77595d7eb35c7
com.farao-community.farao	gridcapa-cse-computation	1.13.1		a2f183b7aecf43faa3af964cc9e20534bcc08a50
com.farao-community.farao	gridcapa-cse-computation	1.14.0		d146316bdcddd5105ff5cd575a48ab44446fa665
com.farao-community.farao	gridcapa-cse-computation	1.14.1		e4264ac839ccb462ff3646186180d44f5ac6a9b0
com.farao-community.farao	gridcapa-cse-computation	1.15.0		44ba1641a7ed4857245e2fc4ec3a84e686458f45
com.farao-community.farao	gridcapa-cse-computation	1.15.1		41d1e06e2abc95c3328031a02e9376679ffb56c3
com.farao-community.farao	gridcapa-cse-computation	1.16.0		03564a529f1cb94eb4300cac084f10fca6646b86
com.farao-community.farao	gridcapa-cse-computation	1.17.0		5ed0d10569c400f957595215999298b6823bbb37
com.farao-community.farao	gridcapa-cse-computation	1.17.1		c84367715d75a754de8815faa99f91bab3ca0087
com.farao-community.farao	gridcapa-cse-computation	1.18.0		97a4b613d07e848286cc32baa595851e3ebc6379
com.farao-community.farao	gridcapa-cse-computation	1.19.0		61009c06b311285c3df9abb8f641cd71fd576a10
com.farao-community.farao	gridcapa-cse-computation	1.19.1		8e5dd42ccb49abb50206fbcd65c58ac3dd53236b
com.farao-community.farao	gridcapa-cse-computation	1.19.2		bb7bfe935a38c96cf12e77b1875e3b9d83ee8f98
com.farao-community.farao	gridcapa-cse-computation	1.2.0		085a975de473ea4ab973101b3427469442ad804c
com.farao-community.farao	gridcapa-cse-computation	1.2.1		a47a479c704ca54ff61453e045e1414565096fac
com.farao-community.farao	gridcapa-cse-computation	1.20.0		ad8bca48b4c0960ee6a025e23e1b7c9077c48d49
com.farao-community.farao	gridcapa-cse-computation	1.21.0		5379d701597302559845d1c54dbb1e700caad82a
com.farao-community.farao	gridcapa-cse-computation	1.21.1		2aea0eed2a7e357fc3b36e18ee3489ee2015067f
com.farao-community.farao	gridcapa-cse-computation	1.21.2		ec44900e5569b485bb796815d64a326e55c2817d
com.farao-community.farao	gridcapa-cse-computation	1.22.0		fac14f84e91889af226214db0f303ab0e8ed1d06
com.farao-community.farao	gridcapa-cse-computation	1.22.1		e700c7f7e70b7b585b326e3941bf0c4d1b7424ba
com.farao-community.farao	gridcapa-cse-computation	1.23.0		011a367fe530ee77c944d7f99d54eb4222015520
com.farao-community.farao	gridcapa-cse-computation	1.23.1		8b0379b7a7cdb4808aa9f06fb55d55c4e17c495c
com.farao-community.farao	gridcapa-cse-computation	1.24.0		0a14b9c78660e94dfdec6fbd6cf9a126d3a6926f
com.farao-community.farao	gridcapa-cse-computation	1.25.0		a91d3b1c1484968354a7b5040303e1cb059b121c
com.farao-community.farao	gridcapa-cse-computation	1.25.1		f21cd43470ad1990a290e90b038abb32b1656691
com.farao-community.farao	gridcapa-cse-computation	1.25.2		9a4bb17eb9209c43ef8e4852964a46400fca1e48
com.farao-community.farao	gridcapa-cse-computation	1.25.3		760921c0fc63897b0f30e4ce9dddb86640b08308
