ai.yda-framework	website-retriever	0.1.0		2bb01b1a9326597d0358efd8eb7eaac56ea1eec5
com.liferay	com.liferay.gradle.plugins.defaults	2.4.27		9e41eacd9cf57e5fcb30e110f4ca23f9a8a6a2f8
com.liferay	com.liferay.gradle.plugins.defaults	2.4.28		bd1918e28c1cb83929e89f5c522b647c899871d1
com.liferay	com.liferay.gradle.plugins.defaults	2.4.29		5abd866394cb2ef3c3ffa8813d4158c80d831a04
com.liferay	com.liferay.gradle.plugins.defaults	2.4.3		c69ec7438e4bb77fa9967f498e63aa8227aef6d6
com.liferay	com.liferay.gradle.plugins.defaults	2.4.30		f3d8757856a62fe266d4fb385a142d5054e50eee
com.liferay	com.liferay.gradle.plugins.defaults	2.4.31		28eae599e512f7ea370312c365f66c31c8b9200c
com.liferay	com.liferay.gradle.plugins.defaults	2.4.32		bf9515e1868fffcf0764b45a2fb4876cfe67f006
com.liferay	com.liferay.gradle.plugins.defaults	2.4.33		7d44c73a9636488c6cc640ca2d7792b1d8b8c13a
com.liferay	com.liferay.gradle.plugins.defaults	2.4.34		a88bf9376ccdae938e0c5fdbe8250911e8bd8edc
com.liferay	com.liferay.gradle.plugins.defaults	2.4.35		d3b673ce3bce2d9c8264eac5998bef8471b43749
com.liferay	com.liferay.gradle.plugins.defaults	2.4.36		d8f758d2a9b413ca5db5510e20b7b2fa28de6ab0
com.liferay	com.liferay.gradle.plugins.defaults	2.4.4		eb933bc6c19c354316b67b5c5e4e870915d142f1
com.liferay	com.liferay.gradle.plugins.defaults	2.4.5		e9edf9af404bbe38ac2d301443701e65bd6ca234
com.liferay	com.liferay.gradle.plugins.defaults	2.4.6		c6cd845ecb0db47c2d4826c57424eac20e6109f2
com.liferay	com.liferay.gradle.plugins.defaults	2.4.7		5e82003eb8fb821c604386f9ac9af7475a396f8d
com.liferay	com.liferay.gradle.plugins.defaults	2.4.8		61fe40245fc89cc75760784949b7c59f1218a624
com.liferay	com.liferay.gradle.plugins.defaults	2.4.9		0c4c190de23a7ca995cace2a4b161c0a43be1c35
com.liferay	com.liferay.gradle.plugins.defaults	2.5.0		8b20e43ec5931aea5af0ccb3d507b70db8ded946
com.liferay	com.liferay.gradle.plugins.defaults	3.0.0		cff563526433fc06e38a3909d04547effa75df75
com.liferay	com.liferay.gradle.plugins.defaults	3.1.0		b107b96160f5c0ac56469fadcce77b5af9b77ef1
com.liferay	com.liferay.gradle.plugins.defaults	3.1.1		99237da48c6be1fcad3d932105e5777003968144
com.liferay	com.liferay.gradle.plugins.defaults	3.1.2		84364649d43be59acc1e67d282973e0c05e7a1fd
com.liferay	com.liferay.gradle.plugins.defaults	3.1.3		b87270bd723aeff2d598c6777fcb40f835cf2447
com.liferay	com.liferay.gradle.plugins.defaults	3.1.4		aa30e224ace45bd64263c493b57f380c23d5d144
com.liferay	com.liferay.gradle.plugins.defaults	3.2.0		765d3cc31788bd5cd26e74204d96787353f4294e
com.liferay	com.liferay.gradle.plugins.defaults	3.2.1		9d0a5346df65f87312112b8e0f3c267802dc71d5
com.liferay	com.liferay.gradle.plugins.defaults	3.2.2		67068371b07b1b74a5fda5414866c978d7ca3196
com.liferay	com.liferay.gradle.plugins.defaults	3.2.3		1f3319fb1a3c4a79edb46a0089fcd226893b5047
com.liferay	com.liferay.gradle.plugins.defaults	3.2.4		ab811ea1894a5dcd8bfe00db104373ae708e8bd0
com.liferay	com.liferay.gradle.plugins.defaults	3.2.5		9e4e63c8043bdf6dd9607e3fa475926f71594681
com.liferay	com.liferay.gradle.plugins.defaults	3.3.0		749ae4377456b1438b7a8e2c19ac68b5996209f8
com.liferay	com.liferay.gradle.plugins.defaults	3.3.1		6dc2ddde5951ccf50b80a483d42fa9c1d3e14ad3
com.liferay	com.liferay.gradle.plugins.defaults	3.4.0		6103e9c05a848963d4aaf8be9a0c6e00c46ff879
com.liferay	com.liferay.gradle.plugins.defaults	3.4.1		be9fbc2bef021c3768d24a9dc1cf27e88f6a0e50
com.liferay	com.liferay.gradle.plugins.defaults	3.4.2		f7ff762aae8ab3a22cf1358c7c8fa7e80a7bf7bb
com.liferay	com.liferay.gradle.plugins.defaults	3.4.3		a6183f36cdc493e8e57a576c08d28018d7c53e67
com.liferay	com.liferay.gradle.plugins.defaults	3.5.0		18bb1b17d4faed1e06ab12e4ab1e991dc7ae6f7d
com.liferay	com.liferay.gradle.plugins.defaults	3.5.1		f303f10fc2fab5778d34c03ec27435554ea24f0b
com.liferay	com.liferay.gradle.plugins.defaults	3.5.10		e99522b0bc8d750d8bcca32e4b91ca5e1c89a5d4
com.liferay	com.liferay.gradle.plugins.defaults	3.5.11		d8f92fed80133f396b3a0d99e7a81be1c851e1ec
com.liferay	com.liferay.gradle.plugins.defaults	3.5.12		98532d3db588b6704cc4d0e99de8709ccb688bab
com.liferay	com.liferay.gradle.plugins.defaults	3.5.13		498cbd3b821629d79ae540ed7d733f05cec65859
com.liferay	com.liferay.gradle.plugins.defaults	3.5.14		bbbed2a7c978ecee7d811a751879b64cac9cab3d
com.liferay	com.liferay.gradle.plugins.defaults	3.5.15		5fc9c3066bc0c69ed7e69501c461e2011a57dffd
com.liferay	com.liferay.gradle.plugins.defaults	3.5.16		ead35e2338fda82710610bd3d54f929521450613
com.liferay	com.liferay.gradle.plugins.defaults	3.5.17		0fe7c073aaf0534220ac9afb7eb92e371dc1dafc
com.liferay	com.liferay.gradle.plugins.defaults	3.5.18		40eda6b0a4cce1a553ea530bca92a21b90b0dbdc
com.liferay	com.liferay.gradle.plugins.defaults	3.5.2		b819566c4aa41e3474ec518009e19e8a0c665bc1
com.liferay	com.liferay.gradle.plugins.defaults	3.5.3		b480bddeafe13e317f93d1e4efcfb5b78d505a36
com.liferay	com.liferay.gradle.plugins.defaults	3.5.4		75293a2906557f57be2b147be6836b70b7e0c377
com.liferay	com.liferay.gradle.plugins.defaults	3.5.5		d208d0943e354df9dc6221bea4a08bf2c3464158
com.liferay	com.liferay.gradle.plugins.defaults	3.5.6		23be89d8c203bb821223ddefd824b2d9648db264
com.liferay	com.liferay.gradle.plugins.defaults	3.5.7		f3d921d814e75ff83429b6be77c8291df90caa9e
com.liferay	com.liferay.gradle.plugins.defaults	3.5.8		25fd2846dd74e40e825522557e4f343311d982be
com.liferay	com.liferay.gradle.plugins.defaults	3.5.9		a18f857543fb2b9bb129f238ca8b412ec0c4553d
com.liferay	com.liferay.gradle.plugins.defaults	3.6.0		93c682fe9197a4886f38b76c5a91cb11b055f81b
com.liferay	com.liferay.gradle.plugins.defaults	3.6.1		1073a862543bcadbd169d73261cf4da1ce197b35
com.liferay	com.liferay.gradle.plugins.defaults	3.6.10		4d9b0d9aa9ea6568a10ce369e8da0ff3aa000c5e
com.liferay	com.liferay.gradle.plugins.defaults	3.6.11		724677b64edef140259668a7a0ce3155f88c72c0
com.liferay	com.liferay.gradle.plugins.defaults	3.6.12		e81bbdf14d0f4133f88d715a396339618f9e850d
com.liferay	com.liferay.gradle.plugins.defaults	3.6.13		1a1fb2146e695cc047584ba3a3ca9065bebdc4aa
com.liferay	com.liferay.gradle.plugins.defaults	3.6.14		a707d8c15f89235f739c67ecaff46e7c4630d3ef
com.liferay	com.liferay.gradle.plugins.defaults	3.6.15		af1bc1d7f3306749c006ccc6bbd492b58d91220e
com.liferay	com.liferay.gradle.plugins.defaults	3.6.16		03320252351bdf6f5fa2a7cd0c5dec035237da7d
com.liferay	com.liferay.gradle.plugins.defaults	3.6.17		79ea188e974346836665fc2d33587b4af10a8e39
com.liferay	com.liferay.gradle.plugins.defaults	3.6.18		4c04075f3559a70e50c42678c8bbf899a92b070e
com.liferay	com.liferay.gradle.plugins.defaults	3.6.19		75b1fde09bfbe49bc35a25c097a9c6cd157a40c2
com.liferay	com.liferay.gradle.plugins.defaults	3.6.2		46a59532adc8ee280ea5971042e115a47d0bf2bd
com.liferay	com.liferay.gradle.plugins.defaults	3.6.20		d4aabb1e1fe5edb4415706a02c03de8b9b8227de
com.liferay	com.liferay.gradle.plugins.defaults	3.6.21		327e2f29adc6f7a6710c268f282fbc8315209636
com.liferay	com.liferay.gradle.plugins.defaults	3.6.22		ef4f25474b7fa0118abee692c5361b3f0677a031
com.liferay	com.liferay.gradle.plugins.defaults	3.6.23		c00dde5a2c11376d97c52b5f2406134151e206c2
com.liferay	com.liferay.gradle.plugins.defaults	3.6.24		48916941741fff0bbb2b45c9efc315bfc753bd8f
com.liferay	com.liferay.gradle.plugins.defaults	3.6.25		534c264e081860fe35377ed090eba9cc5027696e
com.liferay	com.liferay.gradle.plugins.defaults	3.6.3		248ac6ca4d88484df222459d6f4d196a75758e67
com.liferay	com.liferay.gradle.plugins.defaults	3.6.4		e87131f94ca36d103e688ccc331bde12e7417033
com.liferay	com.liferay.gradle.plugins.defaults	3.6.5		7854bef82cb48b72d2ec7cc4d8479d1e6112a0ff
com.liferay	com.liferay.gradle.plugins.defaults	3.6.6		7ff972dd60bdcd9b684deede84e6a50175fa21f9
com.liferay	com.liferay.gradle.plugins.defaults	3.6.7		c4b078e340241f00486843afd7ac3d6cabbf3cf3
com.liferay	com.liferay.gradle.plugins.defaults	3.6.8		41e1f9d46f73d9c7656e9990466895d06e182c96
com.liferay	com.liferay.gradle.plugins.defaults	3.6.9		14cd9eae51f958b42c997b61dbbb31e41ae54d5b
com.liferay	com.liferay.gradle.plugins.defaults	3.7.0		574c3b3ba54ef8b8783ec0c56049d9a0fcb27968
com.liferay	com.liferay.gradle.plugins.defaults	3.7.1		44ec92ebc81b9c5325b94264c6cd268f1aee7c1f
com.liferay	com.liferay.gradle.plugins.defaults	3.7.10		458478c1eddf80c1a382a433ace6c63b97f456ed
com.liferay	com.liferay.gradle.plugins.defaults	3.7.11		dad4b85367cddedc09cd58742abbac651ae84668
com.liferay	com.liferay.gradle.plugins.defaults	3.7.12		44565bf3a066bfeca5eeb71635ca31576d7615de
com.liferay	com.liferay.gradle.plugins.defaults	3.7.2		e5c598d43c78c5aa6316070fbc015f91345e0f3a
com.liferay	com.liferay.gradle.plugins.defaults	3.7.3		32127484295cc6c9c1f1df57f7c19a77cddedcbb
com.liferay	com.liferay.gradle.plugins.defaults	3.7.4		4758785f49c61d07feadcab7751dfc9aecaa1930
com.liferay	com.liferay.gradle.plugins.defaults	3.7.5		b899ad9ebb6ad1141d5d1ebc26bb3fda4c504d10
com.liferay	com.liferay.gradle.plugins.defaults	3.7.6		f649ccc1f390040ae56cb5e41b6b51178f8e5cde
com.liferay	com.liferay.gradle.plugins.defaults	3.7.7		44f0fd057101daa73d78b40351597896717d6f52
com.liferay	com.liferay.gradle.plugins.defaults	3.7.8		c2083dfab682ace9c5fd2bb0dfb97e9de0d3cc26
com.liferay	com.liferay.gradle.plugins.defaults	3.7.9		aa71c4e84238dbdbf9f32eb452c4d038bff64b03
com.liferay	com.liferay.gradle.plugins.defaults	3.8.0		c7ad134a4a428e1d17f7924fd75903d6a9239f44
com.liferay	com.liferay.gradle.plugins.defaults	3.8.1		125bd1e8ac752997451322ce58b92cf3318e6728
com.liferay	com.liferay.gradle.plugins.defaults	3.8.2		28a2642813edcd1f399d70d80bf6f657bd07a96b
com.liferay	com.liferay.gradle.plugins.defaults	3.8.3		31863a79d855bc28cb53ef6e36d3626dac55980a
com.liferay	com.liferay.gradle.plugins.defaults	3.8.4		c46bf460b87a3ebadfe307335b1504fc624c87e1
com.liferay	com.liferay.gradle.plugins.defaults	3.8.5		2938b8f18facd5ff705d366faac0897851b55adc
com.liferay	com.liferay.gradle.plugins.defaults	3.8.6		34effe8660f8d6bfe4ef1683c1b56a01f780d9a5
com.liferay	com.liferay.gradle.plugins.defaults	3.8.7		88083f69d09fa7c6800f5854ff53c170ccc7b260
com.liferay	com.liferay.gradle.plugins.defaults	3.9.0		fe00fe8e96a0076c69667ffe2f7b6b9c0b59e86e
com.liferay	com.liferay.gradle.plugins.defaults	3.9.1		fbdfa517547eb7fe9fdc8267a0f9ce3e32b692b7
com.liferay	com.liferay.gradle.plugins.defaults	4.0.0		5e34b6c3769551e360ac4a98de5f7da6e42c33db
com.liferay	com.liferay.gradle.plugins.defaults	4.0.1		5253aae64bc449b602c1e506a0a131b389e4b3fb
com.liferay	com.liferay.gradle.plugins.defaults	4.0.10		28a422f9bbefbef040fc2fa050ca889a6fb5db7b
com.liferay	com.liferay.gradle.plugins.defaults	4.0.11		cd12302d39e07feb9c98f802ddb4e12494a0579f
com.liferay	com.liferay.gradle.plugins.defaults	4.0.12		bcef13e95234c96074d2ccf56e12cd3eca7c540d
com.liferay	com.liferay.gradle.plugins.defaults	4.0.2		0e9392c16689a8602fab9e72ada0165630c3e222
com.liferay	com.liferay.gradle.plugins.defaults	4.0.3		00510eb36c542c0fb6cb5cafb65598f6a34346ff
com.liferay	com.liferay.gradle.plugins.defaults	4.0.4		0cebc5e8941108780bb2f81269211175d403a66b
com.liferay	com.liferay.gradle.plugins.defaults	4.0.5		e496c9169abb56ffc61742ecaa4e4a418d4eeb96
com.liferay	com.liferay.gradle.plugins.defaults	4.0.6		04cfc8ade67d6f42fd0d7bd921102bedeecc8503
com.liferay	com.liferay.gradle.plugins.defaults	4.0.7		65d4a7a53faf386ff47c7cdd2afbff04c3dd60af
com.liferay	com.liferay.gradle.plugins.defaults	4.0.8		4ae1f7c0849faff8860a03d578b4261d1bd1fb60
com.liferay	com.liferay.gradle.plugins.defaults	4.0.9		87942bc348f5f24d734f06cbb6aff6a0a5e036f0
com.liferay	com.liferay.gradle.plugins.defaults	4.1.0		6dafb1dc7df20dc060645d28e0f026bf1cfe6419
com.liferay	com.liferay.gradle.plugins.defaults	4.1.1		fc099a3f8bddb2e7473be4e18d0eb20242e0f77c
com.liferay	com.liferay.gradle.plugins.defaults	4.1.2		bfbc05194527d12a99bd7c711906d85e2c41750f
com.liferay	com.liferay.gradle.plugins.defaults	4.1.3		672bd284012575bb4ad33f110c7740e577cd573c
com.liferay	com.liferay.gradle.plugins.defaults	4.1.4		8f15cc6face5c98eab97efd2250aab21d5f5fb17
com.liferay	com.liferay.gradle.plugins.defaults	4.1.5		37ede30d6e8175933646e6a443db69af95bfb502
com.liferay	com.liferay.gradle.plugins.defaults	4.1.6		c3df8382454cbc07984b515f13f98f375aa2a0ea
com.liferay	com.liferay.gradle.plugins.defaults	5.0.0		61a0c74653e2fced7348a70d01e632f155f64522
com.liferay	com.liferay.gradle.plugins.defaults	5.0.1		f4be3390cb8ea788535beca0e77da80b05782ab6
com.liferay	com.liferay.gradle.plugins.defaults	5.0.10		aae4346789622c15211dfacce1dc614a6beceefe
com.liferay	com.liferay.gradle.plugins.defaults	5.0.11		460c2d1687d3c93833d1bf3ed959f6d7516bf9b2
com.liferay	com.liferay.gradle.plugins.defaults	5.0.12		212eda352284c1b85089a2da23f13cbfa4783d6e
com.liferay	com.liferay.gradle.plugins.defaults	5.0.13		eb18edea9ac9a7241f3ae2a8ba70037c3045a8f3
com.liferay	com.liferay.gradle.plugins.defaults	5.0.14		3746a2aeb9c72b16931b9a18acc5826d500d30a5
com.liferay	com.liferay.gradle.plugins.defaults	5.0.15		d8bb86e279fcbc8f12c607205683aef02ca40b25
com.liferay	com.liferay.gradle.plugins.defaults	5.0.16		8496959e85e991a7bfbe55a09d68069497aff98e
com.liferay	com.liferay.gradle.plugins.defaults	5.0.17		406058a29e88dc53c8e0f3a7de2bac22875977a1
com.liferay	com.liferay.gradle.plugins.defaults	5.0.18		bebd8e6f21153d6bfea323d83f861a9425590922
com.liferay	com.liferay.gradle.plugins.defaults	5.0.19		9cd37638c7fcd238034f70a6884fdcb0f33e346e
com.liferay	com.liferay.gradle.plugins.defaults	5.0.2		e45a383121cf1d0548679af821f57fb8e282c6ca
com.liferay	com.liferay.gradle.plugins.defaults	5.0.20		624965ab2e3e98436b77f27f8d334112cbca6659
com.liferay	com.liferay.gradle.plugins.defaults	5.0.21		2805d07b86ed1225a1c6b655458185aeda97b5bc
com.liferay	com.liferay.gradle.plugins.defaults	5.0.22		e3dd6916463dfed913e050bef134a24f51281b9f
com.liferay	com.liferay.gradle.plugins.defaults	5.0.23		2599e5ebfd8d66fd5792ea158e58744dbc223dd0
com.liferay	com.liferay.gradle.plugins.defaults	5.0.24		02808430e3c0fe2644d8e6fa48b9bb679d69d97e
com.liferay	com.liferay.gradle.plugins.defaults	5.0.25		ce301ee146d313e4ef55ab73e0aaa75db467708d
com.liferay	com.liferay.gradle.plugins.defaults	5.0.26		e5f6e10a394ea8bcfc6da94e782391fa5f26ecfd
com.liferay	com.liferay.gradle.plugins.defaults	5.0.27		d8910348d2b57c0d7e8e656eb9e2caf57981dc97
com.liferay	com.liferay.gradle.plugins.defaults	5.0.28		dff84b968df965040918bc2ce954d1fe4eb54c7c
com.liferay	com.liferay.gradle.plugins.defaults	5.0.29		c8d2075f8323f0662abf99d351eafb2100922363
com.liferay	com.liferay.gradle.plugins.defaults	5.0.3		a0917629ba22020e9c840cd23733760ce60f977d
com.liferay	com.liferay.gradle.plugins.defaults	5.0.30		b7a915e32fce02de3af7697d47713247f8bc4a61
com.liferay	com.liferay.gradle.plugins.defaults	5.0.31		d073d7eb0b2f4dfd97aabe35b1548a5b060b3a6a
com.liferay	com.liferay.gradle.plugins.defaults	5.0.32		e9fbc4b70dd3fd39da9813f28ce657f8f66aad31
com.liferay	com.liferay.gradle.plugins.defaults	5.0.33		6a0fc33e24da8b243d86e234fd151dd78023a488
com.liferay	com.liferay.gradle.plugins.defaults	5.0.34		40051033a9d96190d5ea87ba661d672ba1f18d6e
com.liferay	com.liferay.gradle.plugins.defaults	5.0.35		8d8c071c05866625fd54e73c4bad0534d1a6c597
com.liferay	com.liferay.gradle.plugins.defaults	5.0.36		0085033cd122a8d7a8c638690b3af20a439647ea
com.liferay	com.liferay.gradle.plugins.defaults	5.0.37		7ec41e64dbb1e344da3c997d0b049e83dd65834c
com.liferay	com.liferay.gradle.plugins.defaults	5.0.38		6bff22631cad136dffb7d0fcf1d1f51e64a07deb
com.liferay	com.liferay.gradle.plugins.defaults	5.0.39		467523aeff37df377225001f967c4cc010d395ea
com.liferay	com.liferay.gradle.plugins.defaults	5.0.4		e2e11b96e1726f65601b193a0b343e4500f28805
com.liferay	com.liferay.gradle.plugins.defaults	5.0.40		763178b967b0b268e26010a0bc1a5d94bb3312a7
com.liferay	com.liferay.gradle.plugins.defaults	5.0.41		1b59f7f0bdcf1dcae518e6c024949a061ed427f6
com.liferay	com.liferay.gradle.plugins.defaults	5.0.42		fa0f77f7c5c06618a7696105066b98cb8926ff27
com.liferay	com.liferay.gradle.plugins.defaults	5.0.43		edeada24d1fe13905b4331c5bad0028b40f235b9
com.liferay	com.liferay.gradle.plugins.defaults	5.0.44		453615c7c9e7996b125bb1ceaa9463794b3d6969
com.liferay	com.liferay.gradle.plugins.defaults	5.0.45		b7ec9d5d0d8d73dcac1892562352fbb1a625685b
com.liferay	com.liferay.gradle.plugins.defaults	5.0.46		58db056ae6fbc21456799bc00007c830142d8f23
com.liferay	com.liferay.gradle.plugins.defaults	5.0.47		69b5811c7beb852075cf1709ed14dca12cbcce4b
com.liferay	com.liferay.gradle.plugins.defaults	5.0.48		b8e1ea2fe5888021a759bb9d0cb5a350db16dd86
com.liferay	com.liferay.gradle.plugins.defaults	5.0.49		ddc1d8a1b577a69523d25fdcc8f4b3712edbc8f8
com.liferay	com.liferay.gradle.plugins.defaults	5.0.5		ec1bdffa9cbc834713e6baed898851e8f390fa27
com.liferay	com.liferay.gradle.plugins.defaults	5.0.50		e954f3071d6029b2d3e683adc19231fede9abab1
com.liferay	com.liferay.gradle.plugins.defaults	5.0.51		33a2f2a18e004e95de9f2f48c562551d8049e6e5
com.liferay	com.liferay.gradle.plugins.defaults	5.0.52		d22c935803e8eaff7d57592b21db411f4214095e
com.liferay	com.liferay.gradle.plugins.defaults	5.0.53		faea17a23c83ce2af8b2dcf363232e55db444c01
com.liferay	com.liferay.gradle.plugins.defaults	5.0.54		ccea80b3a758e7f8c48257e9809674ef55079827
com.liferay	com.liferay.gradle.plugins.defaults	5.0.55		c824ccd30991d23a4cc3e83789f9daf4a28e4fc4
com.liferay	com.liferay.gradle.plugins.defaults	5.0.56		e5ee0330b0a5ee29d136e19bfd839e3ccfcb73fe
com.liferay	com.liferay.gradle.plugins.defaults	5.0.57		dec985ad97d1be4f6a408790c163b586f4e684d2
com.liferay	com.liferay.gradle.plugins.defaults	5.0.6		d8a23ae647ad22e6283d76380adbea827b85ef3f
com.liferay	com.liferay.gradle.plugins.defaults	5.0.7		781cf69bde110bce5de8347361a8c0926fdddb24
com.liferay	com.liferay.gradle.plugins.defaults	5.0.8		8354855b0918d666e15553dd23ab401b404cc455
com.liferay	com.liferay.gradle.plugins.defaults	5.0.9		8b76634554105ada3c48fe0c1854195d47c3ef14
com.liferay	com.liferay.gradle.plugins.defaults	5.1.0		ee54c397f147ac21110d936479487f81c89cb210
com.liferay	com.liferay.gradle.plugins.defaults	5.1.1		108a6c3baafa916202aaec32b5d7b2a953973959
com.liferay	com.liferay.gradle.plugins.defaults	5.1.10		b9d31bb1c82eb78bcbeab7e41f288cf149471cb1
com.liferay	com.liferay.gradle.plugins.defaults	5.1.11		4a6e296c3038ad714bad76092ca2ff28b1ac374d
com.liferay	com.liferay.gradle.plugins.defaults	5.1.12		2246439fa7d9ef2d0ec5176ff8eeaf2cfca25bd3
com.liferay	com.liferay.gradle.plugins.defaults	5.1.13		51655a3afddccdd2aba9064468b293b78b9f9b8e
com.liferay	com.liferay.gradle.plugins.defaults	5.1.14		6031b8157fc7a9a62986f0a8f261e82994d0e37f
com.liferay	com.liferay.gradle.plugins.defaults	5.1.15		6097dbe8d9448a2a7aef984f8a906d7d61040ab7
com.liferay	com.liferay.gradle.plugins.defaults	5.1.16		24be8eb53c8fc7974c6b211d9a8e0b6e64ee8d14
com.liferay	com.liferay.gradle.plugins.defaults	5.1.17		b03bb97f5b812b19246a12e703a1fcb191d1f2a9
com.liferay	com.liferay.gradle.plugins.defaults	5.1.18		b4cd5ec73505afde7061c70e76c66350dbdc4e27
com.liferay	com.liferay.gradle.plugins.defaults	5.1.19		668cb42ee736efdeb1e542d5e4b2cd2a67a75a30
com.liferay	com.liferay.gradle.plugins.defaults	5.1.2		bc7eb284189a323ec886349a9429a961e624676d
com.liferay	com.liferay.gradle.plugins.defaults	5.1.20		420c981a7c9fe5f529449f21cbfa3193b525f78c
com.liferay	com.liferay.gradle.plugins.defaults	5.1.21		5275715c5dbb186556e73ba12182126d7db1ca20
com.liferay	com.liferay.gradle.plugins.defaults	5.1.22		52695ed0010dcfd575f86da13b22231b439ae2b1
com.liferay	com.liferay.gradle.plugins.defaults	5.1.23		9ecbf7a70c20897d16057279b782b45c6f2ce9e0
com.liferay	com.liferay.gradle.plugins.defaults	5.1.24		6c4c78cc4e585410581b60576a1a9fa55759f7fa
com.liferay	com.liferay.gradle.plugins.defaults	5.1.25		288689b243031e3d2d5e66d41bf798b6f1743989
com.liferay	com.liferay.gradle.plugins.defaults	5.1.26		0dd80f74806c5c886f674879ec997a6e0aec419b
com.liferay	com.liferay.gradle.plugins.defaults	5.1.27		0790d74f74dfe41e8d276a078d68c004d0b9d50c
com.liferay	com.liferay.gradle.plugins.defaults	5.1.28		ffcf41ddd8593ade912a6fd9d7908d7ddd8f25f9
com.liferay	com.liferay.gradle.plugins.defaults	5.1.29		f3332852d8e5e14b88f6c53b7f20713842bfa170
com.liferay	com.liferay.gradle.plugins.defaults	5.1.3		e1d76c43d95ed7e97a9df51eba7fc8fcb08884d0
com.liferay	com.liferay.gradle.plugins.defaults	5.1.30		a69a6dfb23f136a01bad59ff34a0168c8b7dcae4
com.liferay	com.liferay.gradle.plugins.defaults	5.1.31		a71cb28081d1af03f6dfa3d737bb8fb0c3623b49
com.liferay	com.liferay.gradle.plugins.defaults	5.1.32		b5289ad9e9ade32067a8ab4a205293a2a0233123
com.liferay	com.liferay.gradle.plugins.defaults	5.1.33		b1c4f6af7541c874d4150df697af69a6cecd0b5f
com.liferay	com.liferay.gradle.plugins.defaults	5.1.34		b3b6cbefbb28ca300481274bac60bdacbdb0c7e7
com.liferay	com.liferay.gradle.plugins.defaults	5.1.35		ae15a166aa6c5d70d44e6e243648633034f8427d
com.liferay	com.liferay.gradle.plugins.defaults	5.1.36		e88eb692f75036da21707bc53a0cb3d539463e50
com.liferay	com.liferay.gradle.plugins.defaults	5.1.37		ddc7dcedef9494929e8ec0df097b6195e53768c1
com.liferay	com.liferay.gradle.plugins.defaults	5.1.38		18b2c93d4dc322054f098363cfcc127f92e11c2e
com.liferay	com.liferay.gradle.plugins.defaults	5.1.39		09f510d72948d67cfe2cf066e06d1e574c32ce52
com.liferay	com.liferay.gradle.plugins.defaults	5.1.4		9a864df985da0bfd8aec3e0f9aaf8fc2f19845cd
com.liferay	com.liferay.gradle.plugins.defaults	5.1.40		7c7130e8a9694f8d883cc38902ffe932556962eb
com.liferay	com.liferay.gradle.plugins.defaults	5.1.41		fbeab1b71a294ab9bc4504c22382bdf2f320245b
com.liferay	com.liferay.gradle.plugins.defaults	5.1.42		dce59d27b81f84189e76383cc4a77ee8c337dddb
com.liferay	com.liferay.gradle.plugins.defaults	5.1.43		dd5d5afea91617188caec270acd0d1c0f4292811
com.liferay	com.liferay.gradle.plugins.defaults	5.1.44		4c089f7cff9a2970af4aa19513ad238e666dc228
com.liferay	com.liferay.gradle.plugins.defaults	5.1.45		b62f5bcc5cf9587bee42e3d3aed59db6a30e21fa
com.liferay	com.liferay.gradle.plugins.defaults	5.1.46		467996fdeb8df38d838cb7c9f63b003c9c9ccb2c
com.liferay	com.liferay.gradle.plugins.defaults	5.1.47		e084a4945301e32ed90337a1286bd099f86dd81f
com.liferay	com.liferay.gradle.plugins.defaults	5.1.48		37bf2e1d1f7250095d435c1ba9609276a2ddd951
com.liferay	com.liferay.gradle.plugins.defaults	5.1.49		eee913514da2ecf3809b6f75c4e882dfce8ecad2
com.liferay	com.liferay.gradle.plugins.defaults	5.1.5		38b322eb464a6767ea3ac116da1bf21b1641bb38
com.liferay	com.liferay.gradle.plugins.defaults	5.1.50		d80e90dd066ca81d97cff4bd88e4a08ac23a39e3
com.liferay	com.liferay.gradle.plugins.defaults	5.1.51		4fa2cd9b6efefe2f12440433e114ae6b34f6fc49
com.liferay	com.liferay.gradle.plugins.defaults	5.1.52		6fd9650040efca76a7ffec19badd5684937534fd
com.liferay	com.liferay.gradle.plugins.defaults	5.1.53		a176871123870d14ca8f3bb7650d3cf6095a3dce
com.liferay	com.liferay.gradle.plugins.defaults	5.1.54		075161476a042ba1f676d1eccdd94a4e1c254919
com.liferay	com.liferay.gradle.plugins.defaults	5.1.55		e996a08d1017d27b8f622143283fd45305bb529d
com.liferay	com.liferay.gradle.plugins.defaults	5.1.6		ab98230ef0b663d5b4c884d7a1cd34918fdfd266
com.liferay	com.liferay.gradle.plugins.defaults	5.1.7		14e2ed0aa0e01db7689ba1b65058def2a3db9802
com.liferay	com.liferay.gradle.plugins.defaults	5.1.8		62ea15c6aba89522fac78554cae8940267a6b562
com.liferay	com.liferay.gradle.plugins.defaults	5.1.9		e6ea3b41c4694b1fba900cc8365f075ed367c7e0
com.liferay	com.liferay.gradle.plugins.defaults	5.2.0		52079328845264b9afe3932f59f56837c0c3e9ab
com.liferay	com.liferay.gradle.plugins.defaults	5.2.1		355d3330c3a4a0406f9a923f312c6f4da1b12781
com.liferay	com.liferay.gradle.plugins.defaults	5.2.10		83ffba249bbf8b148ab44e46b87ed18fc5b1ac0f
com.liferay	com.liferay.gradle.plugins.defaults	5.2.11		6dfaaf63208072552ebc3e6b71d7f454bec90e9e
com.liferay	com.liferay.gradle.plugins.defaults	5.2.12		7e900b52ea1ecbaa3cfe557d0c3eaf83931a233e
