biz.netcentric.cq.tools.aemmjml	aemmjml-all-package	0.1.0		N/A
com.io7m.idstore	com.io7m.idstore.server.service.verdant	1.0.0-rc0003		49ddf1f0ff97fe16fc28a82b2e9be57035edfb34
com.io7m.idstore	com.io7m.idstore.server.service.verdant	1.0.0-rc0004		b592365e88a59215a1a65b0f1bc985ca900c00e1
com.io7m.idstore	com.io7m.idstore.server.service.verdant	1.0.0-rc0005		d3db613b54dbf88187963e12c632d45f3df645e1
com.io7m.idstore	com.io7m.idstore.server.service.verdant	1.0.0-rc0006		2acd2232fd3a271d08ef2b0663a22452d877f978
com.io7m.idstore	com.io7m.idstore.server.service.verdant	1.1.0		24f21d613e21e714a6bc43fa816f98941e98b320
com.io7m.idstore	com.io7m.idstore.server.service.verdant	1.2.0		0bbda29b73ba1d788eff69348156aa689de00000
com.io7m.idstore	com.io7m.idstore.server.service.verdant	1.2.1		d9a6041a863a3cae9f3439fb96dfdae26b22dbb7
com.io7m.idstore	com.io7m.idstore.server.service.verdant	2.0.0		d987cd8d33d224e0e7256ab37d2f4b2c04429069
com.io7m.idstore	com.io7m.idstore.server.service.verdant	2.0.0-beta0001		ff17308f2286112089cfcd5b4c6f884d26a7b5fd
com.io7m.idstore	com.io7m.idstore.server.service.verdant	2.0.1		6f0d3eeac65b0ca82877955e3a0697dfe881dc1f
com.jyvee	spring-data-mongodb-querydsl-processor	1.0.0		5d2bbc0768a030f9e0f4ca8e8c6322c10ad7a424
com.jyvee	spring-data-mongodb-querydsl-processor	1.0.1		f2b2e011c58c0018dccc690316a7e1b8b43f51fa
com.khoros.android-brandmessenger-sdk	brandmessengerui	1.14.3		N/A
com.khoros.android-brandmessenger-sdk	brandmessengerui	1.14.5		N/A
com.khoros.android-brandmessenger-sdk	brandmessengerui	1.14.5.1		N/A
com.khoros.android-brandmessenger-sdk	brandmessengerui	1.15.0		N/A
com.khoros.android-brandmessenger-sdk	brandmessengerui	1.15.2		N/A
com.khoros.android-brandmessenger-sdk	brandmessengerui	1.15.3		N/A
com.khoros.android-brandmessenger-sdk	brandmessengerui	1.15.4		N/A
com.khoros.android-brandmessenger-sdk	brandmessengerui	1.16.0		N/A
com.khoros.android-brandmessenger-sdk	brandmessengerui	1.16.1		N/A
com.khoros.android-brandmessenger-sdk	brandmessengerui	1.16.2		N/A
com.khoros.android-brandmessenger-sdk	brandmessengerui	1.16.3		N/A
com.khoros.android-brandmessenger-sdk	brandmessengerui	2.0.0		N/A
com.kloudtek.enterprisecloudconfig	enterprise-cloud-config-client	0.9.0		bf056319234d41a0926f9309c167023f88416e22
com.kloudtek.enterprisecloudconfig	enterprise-cloud-config-client	0.9.1		2ab419274a773a06446258abb7b37d6aaa45561b
com.kloudtek.enterprisecloudconfig	enterprise-cloud-config-client	0.9.2		1529fd60a24bfd91ad7ffca91c829cded03ad630
com.kloudtek.enterprisecloudconfig	enterprise-cloud-config-client	0.9.3		117869b840209a4255d62d3ff5c28f5976c87987
com.kloudtek.enterprisecloudconfig	enterprise-cloud-config-client	0.9.4		de4c5717a4f99277ebb6c323f992f2206bdd6624
com.kuaishou.koom	java-oom	1.0.0		N/A
com.liferay	com.liferay.document.library.api	1.0.0		a47a40b56e2db9eaa9d5089ce765d99befae6f94
com.liferay	com.liferay.document.library.api	10.0.0		617e124aa792e1e038fd093342df271730cf69a9
com.liferay	com.liferay.document.library.api	11.0.0		9d3b2e02a15d565185bc6b548cdc73a637fd7dcb
com.liferay	com.liferay.document.library.api	12.0.0		6123e15cea6868d2643a980655992df12c986515
com.liferay	com.liferay.document.library.api	13.0.0		faf2f7d8d4f0731e724c5c5c410cebd285288054
com.liferay	com.liferay.document.library.api	13.1.0		5735f2306de08dea7bc4d2020a28cacb14010821
com.liferay	com.liferay.document.library.api	14.0.0		18c8ec479071715d67aec8c00edb9674b827c854
com.liferay	com.liferay.document.library.api	15.0.0		733ddfaf8f63003bb7979d132df7bf506bef7a86
com.liferay	com.liferay.document.library.api	16.0.0		16db34f703504e0c9efad0936b92735a2066d914
com.liferay	com.liferay.document.library.api	16.1.0		11ad57741c9415eb0e643a185e748701475c9a3b
com.liferay	com.liferay.document.library.api	16.2.0		2a17adace168f495139822c4b2facef1abc2dc84
com.liferay	com.liferay.document.library.api	17.0.0		41cacbe0db1b5de0375442a993157df83538f80e
com.liferay	com.liferay.document.library.api	18.0.0		1b0829638864779b02b7572ef2b2a222f90b4042
com.liferay	com.liferay.document.library.api	19.0.0		2a14fdab43822fdce31d438f06da20619e47c4e8
com.liferay	com.liferay.document.library.api	2.0.0		11b955ce276ceed85d1907d385b81814a62ff9f8
com.liferay	com.liferay.document.library.api	20.0.0		b9ed71678d249e4638a392879310e785faefdbb5
com.liferay	com.liferay.document.library.api	20.1.0		0cd75f435a1ccf46f6b5ce55aa1fda747566849e
com.liferay	com.liferay.document.library.api	21.0.0		209feed56a15944bb72e4381517f3203a25e11f8
com.liferay	com.liferay.document.library.api	21.1.0		db414ed15eca963f02e2469400ba3b12c340e835
com.liferay	com.liferay.document.library.api	22.0.0		9e8b97ba1bfd92abd239743d047e87a8a929c736
com.liferay	com.liferay.document.library.api	22.0.1		66e88e86d7d5c13b6ed963fce05837a6205a9b10
com.liferay	com.liferay.document.library.api	23.0.0		0d1cf11e597ccbaa6e5a9346cd31021ffb0f7f87
com.liferay	com.liferay.document.library.api	23.1.0		7ca2fd5239e8c903b856e88e9c734b92f3e4dba6
com.liferay	com.liferay.document.library.api	23.1.1		1577bf40dedbb6957f13379679ab8d9ede7203bb
com.liferay	com.liferay.document.library.api	23.1.2		3bcb15954a86a27c1fbfccd6f60986c93e7e7125
com.liferay	com.liferay.document.library.api	23.2.0		d8ec4bf7b40fd82c2b0d5fcbb57c26f1738077bd
com.liferay	com.liferay.document.library.api	23.3.0		231b7ec4cc72d1325657b5c2fe8349b6bac8f1e6
com.liferay	com.liferay.document.library.api	24.0.0		199766ca7264e146a383bcfd8172d6e0e0baf280
com.liferay	com.liferay.document.library.api	24.1.0		17715b6d228b056767abf69d96c4c722324ea5cf
com.liferay	com.liferay.document.library.api	24.2.0		d9a2758f311d45534efc3f8d28c20be4dd4f4273
com.liferay	com.liferay.document.library.api	24.3.0		914241ff2ac387bce2a6b9c25c1b216dab9ed692
com.liferay	com.liferay.document.library.api	25.0.0		a65af6bff6dd51aac642670804b5e2064abfea45
com.liferay	com.liferay.document.library.api	25.0.1		072fb3206d4ff01ab36b7868477c4bb58eb29377
com.liferay	com.liferay.document.library.api	25.1.0		13830c576077a096721b9ebcc8bf584a38785db7
com.liferay	com.liferay.document.library.api	25.1.1		fa9c95da53ee86a503ac50eec75c3655bca1724e
com.liferay	com.liferay.document.library.api	25.2.0		dcff57257653e603a8b2884f06fa1204207dcf15
com.liferay	com.liferay.document.library.api	3.0.0		d8619148c959ae1cf5275d515c249e5bc3475aae
com.liferay	com.liferay.document.library.api	3.0.1		0b90e5695c54cce0c04873ffa4eb5177419d0e60
com.liferay	com.liferay.document.library.api	3.0.2		9e9ecc196d44a1b943a74ec68516a35de9a54ac0
com.liferay	com.liferay.document.library.api	3.0.3		787d71e39d3f9468d07a347cd9efdadd0e602975
com.liferay	com.liferay.document.library.api	3.1.0		69e455db3f46eec07bdbd7f31a1671ccb914d5b4
com.liferay	com.liferay.document.library.api	3.2.0		eb00a8a85f8972dd421bc48a2471d010b0d0c499
com.liferay	com.liferay.document.library.api	3.2.1		625caef959eee29ada71f6d0bedc8ea0f185ba6a
com.liferay	com.liferay.document.library.api	3.2.2		8db9b43edd22155795bdda06f84c2158ec7518c8
com.liferay	com.liferay.document.library.api	3.2.3		64e792c47771ee283203cfe536d1adfd1a39d554
com.liferay	com.liferay.document.library.api	3.2.4		0d8b54f14de21dbcdf05b180a7fea196df77b871
com.liferay	com.liferay.document.library.api	3.2.5		a6e674e2459e6e5bd7f6f2622249fa202e9db7af
com.liferay	com.liferay.document.library.api	3.2.6		9bc0e6a591e02900b47e2b71b18cae5e76acd525
com.liferay	com.liferay.document.library.api	3.2.7		d056b09a25de78057d2c5b25f3385f9424bf8910
com.liferay	com.liferay.document.library.api	3.3.0		5dbfe9156fc2d1a4689b71f902bb2b4a46600745
com.liferay	com.liferay.document.library.api	3.4.0		bd080452b925f0bdbc57ed5106561cb3a3fbefe3
com.liferay	com.liferay.document.library.api	3.5.0		a2ace9f7cba09d697e49f50d70b1e631980160ff
com.liferay	com.liferay.document.library.api	3.5.1		be08db6d8b4e062f6fb78948a18730197d28fb78
com.liferay	com.liferay.document.library.api	3.5.2		18bcf78a42252da73ad06cc47716826a51f2d44b
com.liferay	com.liferay.document.library.api	3.5.3		c1f71c33828473ca2d2cc08226e124dadeca57f7
com.liferay	com.liferay.document.library.api	3.5.4		a18e5a6aab5a9ba8b9e792a8df6cb4a135198c0f
com.liferay	com.liferay.document.library.api	3.5.5		7517b7cc9bf2ed9041f8f8168aa930c4efb2c32b
com.liferay	com.liferay.document.library.api	3.5.6		d79c0a8c4ef049e24992171bb5f6f41392510663
com.liferay	com.liferay.document.library.api	3.5.7		3623d54b99f8f970735ec2baf28de2f16a8dd24a
com.liferay	com.liferay.document.library.api	3.5.8		2452cce8dafd8d24cc70de5e4062a3aa6161da7a
com.liferay	com.liferay.document.library.api	3.6.0		8e8d941adf27ec13c77d8aff5751610c27690914
com.liferay	com.liferay.document.library.api	3.6.1		51390dff6e066108942aab5a49ea9e526a3c6519
com.liferay	com.liferay.document.library.api	3.6.2		c4744b93212bfe0f88da748c6f81d1b07f2c9f5d
com.liferay	com.liferay.document.library.api	3.7.0		806b5bfd4f20ede78dd522c42768324a0101a000
com.liferay	com.liferay.document.library.api	3.7.1		b6a80946b09a93f9b7fd2902d790fc61519e6dc9
com.liferay	com.liferay.document.library.api	3.7.10		8211fa458c3994f4df9f398c94dfe29d72107f15
com.liferay	com.liferay.document.library.api	3.7.11		9ae65eb66a1350d1a80e2f9e9041bf4bbc7ed7e2
com.liferay	com.liferay.document.library.api	3.7.12		c3afdc079eb3c726b771efe49700d11a1684e785
com.liferay	com.liferay.document.library.api	3.7.13		d91f41602affac205b1526b1f4de939551c5fddb
com.liferay	com.liferay.document.library.api	3.7.14		5fb963b93aa18b6d1ee2f4f4a8b841222e3d000d
com.liferay	com.liferay.document.library.api	3.7.15		0f59929df23b35abda8bdd5fd295642b4e5b7276
com.liferay	com.liferay.document.library.api	3.7.16		5cbd1f62d558299e1ff5a5e99434135de5367603
com.liferay	com.liferay.document.library.api	3.7.2		e15c751f6b4ee73be7b33db48a05dc588e641b36
com.liferay	com.liferay.document.library.api	3.7.3		34eeb2bdd5a3d554e6fa71114166f317d19ab4e2
com.liferay	com.liferay.document.library.api	3.7.4		bdc05b3368b1281adaf54885e5d4d6ebd7542f05
com.liferay	com.liferay.document.library.api	3.7.5		a613bbac35a56090edf8c7d82e45cd515ddb60a8
com.liferay	com.liferay.document.library.api	3.7.6		05e3a346c45c6f98daa17cec5d85a2cf1591b6ad
com.liferay	com.liferay.document.library.api	3.7.7		e9493417072d7bd8708afcd77f67f1e60f42fca5
com.liferay	com.liferay.document.library.api	3.7.8		23266c6f6ad544bb87bc504544eb008bf111606d
com.liferay	com.liferay.document.library.api	3.7.9		b8035ab77fabc7b1f54b094ef642f3f626c06ccf
com.liferay	com.liferay.document.library.api	3.8.0		4b33fedaf2da273f4327872e75eaae02fdcd36f8
com.liferay	com.liferay.document.library.api	3.8.1		27484d67e56b17422c52de07a419c1bd10c416b8
com.liferay	com.liferay.document.library.api	3.8.2		becdeb7ae608c753ce8ac385a2600e99008d4898
com.liferay	com.liferay.document.library.api	3.8.3		37c240ef4f46c95386cf81f5b262ba916c6f6c20
com.liferay	com.liferay.document.library.api	4.0.0		1e89c68936efe9b333f0777c272562c18e42fa3f
com.liferay	com.liferay.document.library.api	4.0.1		b285c77d70b83a0241d27877afecab908f703705
com.liferay	com.liferay.document.library.api	4.0.10		a8341fbc206bbd0d6fbbb12ee6fdc4bd57464187
com.liferay	com.liferay.document.library.api	4.0.11		c94e7b1ba9a1b23eb6513cf75953887f2a03c169
com.liferay	com.liferay.document.library.api	4.0.12		5d7a79e5adeda09944ea7ab199b38c7fd1b5fecd
com.liferay	com.liferay.document.library.api	4.0.13		fc46d445d9b0b51b87420eb9c9656eb0e2e97e4a
com.liferay	com.liferay.document.library.api	4.0.14		7825d1a122aa421d275dd1f9d896e836ecb256e8
com.liferay	com.liferay.document.library.api	4.0.2		e1a46c50c0cff4426f91fd148e9477cbbf3d9541
com.liferay	com.liferay.document.library.api	4.0.3		afce2730f07ff7e9879448c830721f575f888b97
com.liferay	com.liferay.document.library.api	4.0.4		f48b7fbf090dd0595a4ed59c7738da265688b688
com.liferay	com.liferay.document.library.api	4.0.5		d70c3b16e50b65c2432f0977148ec1b88715f046
com.liferay	com.liferay.document.library.api	4.0.6		96924119096ddffa0e851f2e7f845c37cffea558
com.liferay	com.liferay.document.library.api	4.0.7		c3ec3bd14b4ea61c86f155b3c6cc44456455eb77
com.liferay	com.liferay.document.library.api	4.0.8		37097a49266e8be02e3fa29ed6747b10a5febc38
com.liferay	com.liferay.document.library.api	4.0.9		3f84aebcd2e6ea9a9724eea6a9dc2154bfd11233
com.liferay	com.liferay.document.library.api	4.1.0		96292e4be19465f95b71e7cdf9c102271d87a4ec
com.liferay	com.liferay.document.library.api	4.1.1		e3c5afb450d2b490b663b8e302645b9ee329d2f0
com.liferay	com.liferay.document.library.api	4.1.2		62c9df3848d9415b2b186d4e44dfbc4821619853
com.liferay	com.liferay.document.library.api	4.1.3		f47ca50afde40e851e424f9e2135c6f831bb6f7c
com.liferay	com.liferay.document.library.api	4.1.4		cc423bc218e994b84a6917e2ced25d54224fd954
com.liferay	com.liferay.document.library.api	4.1.5		4aa3536e6a8a427a357fc74f0579aecb62d3a7e3
com.liferay	com.liferay.document.library.api	4.1.6		34408951e790237e395a43e7d864ab6d649ae249
com.liferay	com.liferay.document.library.api	4.1.7		048e464f5ab554038656eaf50fd149f230a5c569
com.liferay	com.liferay.document.library.api	4.1.8		342273cdd8663271a8e9c49e08dd236df628d3ec
com.liferay	com.liferay.document.library.api	4.2.0		5e8ee5e0a6bb144d702535d6a6f974ebaf27b262
com.liferay	com.liferay.document.library.api	4.3.0		8136b81bf3c3e2c5cefb240430c2fe5a656622d8
com.liferay	com.liferay.document.library.api	4.3.1		561e14e86fe5a2571affafa85c7af6946ce1843a
com.liferay	com.liferay.document.library.api	4.3.10		4e457508bc29c46546cf74e63e3d79bd5596e00e
com.liferay	com.liferay.document.library.api	4.3.11		3ccca97becb93da40c4d252536f89ea0b0f43341
com.liferay	com.liferay.document.library.api	4.3.12		73ffde3e0e7fdbc4299a956f11ab2f5c44947e58
com.liferay	com.liferay.document.library.api	4.3.13		7ae9cadf84eb00b86532483472f19e7c8081a713
com.liferay	com.liferay.document.library.api	4.3.14		697efe93e7a306c25277a5dbea404f8aff6a4d21
com.liferay	com.liferay.document.library.api	4.3.15		f163ce0801f1fc91efefc50a9ce75d053e48209a
com.liferay	com.liferay.document.library.api	4.3.16		7f02674dbac7af89da24dda4e0959889f72094a0
com.liferay	com.liferay.document.library.api	4.3.17		4b1a72864bad509fb0f514c2e9c262f9f7fc4136
com.liferay	com.liferay.document.library.api	4.3.18		f2035c64c1b51539be954c572198e5b8bd9d27e3
com.liferay	com.liferay.document.library.api	4.3.19		bb51103c7370c89883a763c55cb94804c7542f9e
com.liferay	com.liferay.document.library.api	4.3.2		1b82503fbe7f1e3337bdd75f9aab79c7e3f8c4c6
com.liferay	com.liferay.document.library.api	4.3.20		afb83369e03769115f6d54fc323155956798fac9
com.liferay	com.liferay.document.library.api	4.3.21		1cfbb1933287e672d7033896d3db52292ca55fe2
com.liferay	com.liferay.document.library.api	4.3.22		5c208fd027311480ec5ea91f972c172a9507d680
com.liferay	com.liferay.document.library.api	4.3.23		e98100e3ba45cc09dc619d10390c836ab88b35ca
com.liferay	com.liferay.document.library.api	4.3.24		24221f3623502d03943495d68425fbb99da7acde
com.liferay	com.liferay.document.library.api	4.3.3		01ab524075f8a73d11f676ba0660f026cff3089d
com.liferay	com.liferay.document.library.api	4.3.4		d7df9cc7b0279251e29b636acb6fa3acae9c8a20
com.liferay	com.liferay.document.library.api	4.3.5		b29f85f0663fed36516bdde3d3f32285e407b1a0
com.liferay	com.liferay.document.library.api	4.3.6		644a14c8ad37a5ec08f466c995189bda43009c53
com.liferay	com.liferay.document.library.api	4.3.7		fabd9cd4c89c8933b14425aebb858de8b9a95602
com.liferay	com.liferay.document.library.api	4.3.8		d8329b3003fae73ccbf3ac2d9d067145178525d5
com.liferay	com.liferay.document.library.api	4.3.9		c00f4d927e3a148a1a78957a0f3f55da827560bf
com.liferay	com.liferay.document.library.api	4.4.0		ce9474a4caaf145691a9217de13d182ea91578a9
com.liferay	com.liferay.document.library.api	4.4.1		84700d7830a4e556f2e61cad874cdcf4066afae4
com.liferay	com.liferay.document.library.api	4.4.2		ea614111716f47fbfc72e6dbe805aaa0de7273f0
com.liferay	com.liferay.document.library.api	4.5.0		5fec22f6d925c5d62dba7ba7fa9c722c17ff9968
com.liferay	com.liferay.document.library.api	4.5.1		c3b81bc47e8c3075f35cdf85177f1448b01836a1
com.liferay	com.liferay.document.library.api	4.5.2		21a18aefd98e9c370bc43f3e4ab12def04ab64bd
com.liferay	com.liferay.document.library.api	4.5.3		efc901ac8ef017c066faa1f360261252264eb7de
com.liferay	com.liferay.document.library.api	4.5.4		8abd53b8d1731dd3e61436159a457625b0911cc0
com.liferay	com.liferay.document.library.api	5.0.0		3d0e8b059998fac275e0b20e8204e705fe3d2a29
com.liferay	com.liferay.document.library.api	5.1.0		4cd145f5da01a011c323c89f156f1cfed1b9324d
com.liferay	com.liferay.document.library.api	5.1.1		ece3db1c8565a1133a3b909fba4a71116dcab705
com.liferay	com.liferay.document.library.api	5.1.2		4de4f0ed821260b1b9ed71efab7c6c23c6d116ef
com.liferay	com.liferay.document.library.api	5.1.3		efdea8bab27632fd8520aa6539fdbe467c5ee9f9
com.liferay	com.liferay.document.library.api	5.1.4		b42e3480cbb3811fa2e71e37790423a50256182e
com.liferay	com.liferay.document.library.api	5.1.5		8e6a25c8a3c6e5ff99c140343421d5c6987287ba
com.liferay	com.liferay.document.library.api	5.1.6		79a72ff3713b1196ec85bb9f8fc15606d6df0009
com.liferay	com.liferay.document.library.api	5.2.0		e67dc2902056d4f7cb555a8cff7f2b210c9a746a
com.liferay	com.liferay.document.library.api	5.2.1		e5c0e5f602513c83898c1f3373a4e9cd1f95946b
com.liferay	com.liferay.document.library.api	5.2.10		daa89c1b065c0873f10abd409ac943eba55d91a9
com.liferay	com.liferay.document.library.api	5.2.11		c7588994dbb04b5e78d1ddfc3cb96bb693007203
com.liferay	com.liferay.document.library.api	5.2.12		77cad4cd03f013114d472d00ee68c025dc3ebd72
com.liferay	com.liferay.document.library.api	5.2.13		ecb70e69099a7d22bde4ec9649b60d87e01a5e98
com.liferay	com.liferay.document.library.api	5.2.2		c0828b614ffd623cfba376fb6a570ad287cf3843
com.liferay	com.liferay.document.library.api	5.2.3		8ebf6f02ddd0ffbba680a13c229dcf6dfbe8226e
com.liferay	com.liferay.document.library.api	5.2.4		534b70c410c99399ec77918ff635f3d11f6c7092
com.liferay	com.liferay.document.library.api	5.2.5		21c0229ce6bdb23ddcb257ed5460852681083aa8
com.liferay	com.liferay.document.library.api	5.2.6		12280fa28f40715e081675aacdd35d94c98c7dd7
com.liferay	com.liferay.document.library.api	5.2.7		f82f89b9f066ff9b8bd720e7694d9208c1b4cc20
com.liferay	com.liferay.document.library.api	5.2.8		78ec4a21143c5fe76250cc861a33b6d2bb2461c7
com.liferay	com.liferay.document.library.api	5.2.9		9833dd1b2d6e60837f48489061865c5d5dc9799d
com.liferay	com.liferay.document.library.api	5.3.0		139452adb453ca5d4796af3f2bbe78e9f1649d15
com.liferay	com.liferay.document.library.api	5.3.1		a497204bbee0cbe3e9bc4d20265e0731aecd908f
com.liferay	com.liferay.document.library.api	5.3.10		a626d9b5b5d51ce9de15308a01f86c215f495091
com.liferay	com.liferay.document.library.api	5.3.11		b508fa566f30fdb0b733afeeaff556dfe87ca9e0
com.liferay	com.liferay.document.library.api	5.3.12		39a04d879a2e0ae439a92c5fff8724766649b959
com.liferay	com.liferay.document.library.api	5.3.13		cfbebd5f1923da9005c7bef515303bd6c6ef2a28
com.liferay	com.liferay.document.library.api	5.3.14		59a9b5750a7456e42367e320c2b7c6273dd69abe
com.liferay	com.liferay.document.library.api	5.3.15		48ee632cb7dc101b151e619567593c1dd7cb215c
com.liferay	com.liferay.document.library.api	5.3.16		a19f2c5e31397e6f3b75c38e22ae18ee41c27e71
com.liferay	com.liferay.document.library.api	5.3.17		25c1da75b4237b380321db0e75862b7d5fd06557
com.liferay	com.liferay.document.library.api	5.3.18		ff4c31da483bca3fbc97b715d8c7eec9346f9f25
com.liferay	com.liferay.document.library.api	5.3.19		c6c4bf1db3ec25e0207b235cb7d8d5d0464e4be8
com.liferay	com.liferay.document.library.api	5.3.2		1f6c77c7916ceab2ccef5e5dc08e502be2412fce
com.liferay	com.liferay.document.library.api	5.3.20		8877cca78d3bf404bb77b3b56db51f3f3029083e
com.liferay	com.liferay.document.library.api	5.3.21		b6689e69861ccb641b16d2eec67e877bde7ab0b2
com.liferay	com.liferay.document.library.api	5.3.3		1022735b17d62b9c91802e6f49b74a3d90cb80eb
com.liferay	com.liferay.document.library.api	5.3.4		e66b7975cffa48dab6cc7fe2a74fee42f8a217d4
com.liferay	com.liferay.document.library.api	5.3.5		39c55e4f2edf5c0b21033de2f0647690c430a606
com.liferay	com.liferay.document.library.api	5.3.6		f4236dd40485356717f52be488e3553177888446
com.liferay	com.liferay.document.library.api	5.3.7		7d434fc2d143e109314fce34c9995b4a2ceae743
com.liferay	com.liferay.document.library.api	5.3.8		208a06be16e8e5aa299524d3fd084405a42649fa
com.liferay	com.liferay.document.library.api	5.3.9		13baa17a712ef3fa7a975526d36d0d82c6bbac24
com.liferay	com.liferay.document.library.api	5.4.0		42d6669edf19df150892a5a57c8ead0a24130fa0
com.liferay	com.liferay.document.library.api	5.4.1		72396d133fbdb507bd85d35b4f444cd13320d171
com.liferay	com.liferay.document.library.api	5.4.2		40fb7fe6ef10e7f8078a5f16c80ed0a5e90bd8c1
com.liferay	com.liferay.document.library.api	5.5.0		a0b2d608b5abab7289bada3f402a66df1e882f7d
com.liferay	com.liferay.document.library.api	5.5.1		dd71dad5aca5e3662d59751a075846139ca2d150
com.liferay	com.liferay.document.library.api	5.6.0		a3236ea4589cf2cbb0ae8b7a4598ce487c50e3f3
com.liferay	com.liferay.document.library.api	5.6.1		10e85e624995e9f44b71a3cb7492bd445a443d22
com.liferay	com.liferay.document.library.api	5.6.2		1b4a2c5d5c94d21371f21b836e92b3abf2a95d03
com.liferay	com.liferay.document.library.api	5.6.3		bc0a06fa3290894a96754e2401df15809f012baf
com.liferay	com.liferay.document.library.api	5.6.4		cf527963163c71e3091533786d2a96b1b2336255
com.liferay	com.liferay.document.library.api	6.0.0		e4cd7039384dca39e50c98d85f9fb7940967a21c
com.liferay	com.liferay.document.library.api	6.0.1		85340b3146ff68e5ec5e5dd9c414932ea830a226
com.liferay	com.liferay.document.library.api	6.0.2		fed215d67cdf6d11f02d58a41c38731aca1eb1ae
com.liferay	com.liferay.document.library.api	6.0.3		2de67770b807e1b1eb9e393c30b2cb27c5e87373
com.liferay	com.liferay.document.library.api	6.1.0		9d8b367774092a1f6805b7dbc38344065a6491a7
com.liferay	com.liferay.document.library.api	6.1.1		b0ecb7200d11da0db75ba4ff3bb2dd1342b83037
com.liferay	com.liferay.document.library.api	6.1.2		2a2031e0f6eff9cc7549ca20af31f980a54415fc
com.liferay	com.liferay.document.library.api	6.10.0		52fe557274c1cba2a576c7b8001efd9f8caa1b75
com.liferay	com.liferay.document.library.api	6.10.1		9c40f6824e24777e49a31fd58920175075a6e5e9
com.liferay	com.liferay.document.library.api	6.10.2		5ab50d01507603a69d58c1c0a6989e035e082a94
com.liferay	com.liferay.document.library.api	6.10.3		4b59e4f39eeb60c7889c6ce4510afa9c6cc50776
com.liferay	com.liferay.document.library.api	6.10.4		1364e85acbadb5eb0a84759cac8b94b8dac91e0f
com.liferay	com.liferay.document.library.api	6.10.5		6058723e4ce0f35323d2b716e8bdd76efdf86b8b
com.liferay	com.liferay.document.library.api	6.10.6		9a0ec230400539f768aa38ea15796df7e26b0be1
com.liferay	com.liferay.document.library.api	6.10.7		20ace4f8f4c93ad260219a9ae8e1be75085dc29a
com.liferay	com.liferay.document.library.api	6.2.0		90e01c83a183ace15b4b79affb9290984ad17c98
com.liferay	com.liferay.document.library.api	6.3.0		8378d2202fc507836916944390732e8b23a18f72
com.liferay	com.liferay.document.library.api	6.3.1		4cbb6b33dbcb723c4941ab2a5df2c0a8946d8cb0
com.liferay	com.liferay.document.library.api	6.3.2		6582184b1cf6713e5fcda354f5cbf995a1bc0080
com.liferay	com.liferay.document.library.api	6.3.3		e0ef4b0b24f869715550b82a50e95d8ec617e38c
com.liferay	com.liferay.document.library.api	6.3.4		bff0873b93a00625a1fb4894ddde92ced6b98635
com.liferay	com.liferay.document.library.api	6.3.5		2e080a8dcd03289f94d455086ce04ed7f042ba1c
com.liferay	com.liferay.document.library.api	6.4.0		27cf4f519795d428152498c6bd833d79013dbc5e
com.liferay	com.liferay.document.library.api	6.4.1		10c3d349b6869e08b427ed32be3a9af2a57f014c
com.liferay	com.liferay.document.library.api	6.4.10		c3683333b250aebdf930a63ac4d335a58ef064a7
com.liferay	com.liferay.document.library.api	6.4.11		a555a947fcc45072280399246c6cce249b204ea7
com.liferay	com.liferay.document.library.api	6.4.12		237f6d3ad964ec1f9cd79f4ca1a4decf6965dc24
com.liferay	com.liferay.document.library.api	6.4.13		b478bf9660c939435543ca6747db0d027ff121f5
com.liferay	com.liferay.document.library.api	6.4.2		a2a0da8cad2c00df81fd94cd7b7b4cf2f0f8e244
com.liferay	com.liferay.document.library.api	6.4.3		6118e7c7d320557db454b9724d8205cfa1f996e0
com.liferay	com.liferay.document.library.api	6.4.4		5279d52bc95118746ea94699b97726ab0dc064ad
com.liferay	com.liferay.document.library.api	6.4.5		909b875580f4c1133dfb760354b62d050a467de2
com.liferay	com.liferay.document.library.api	6.4.6		c287ecda9920b97883bd938002a42263003f2704
com.liferay	com.liferay.document.library.api	6.4.7		eae1e4f5096b5182cd0baa17d068c108e61153bf
com.liferay	com.liferay.document.library.api	6.4.8		a8acc56e69c0263f9f90654ac812b3fe25e999be
com.liferay	com.liferay.document.library.api	6.4.9		a8961d4ca712523ddf4e02f42a9d8df5cec97127
com.liferay	com.liferay.document.library.api	6.5.0		8d26ac44317d644a01a00002a19e7068c7c3bedf
com.liferay	com.liferay.document.library.api	6.5.1		e4784f3726699994ce14dbe36c129aa9b8644bd7
com.liferay	com.liferay.document.library.api	6.5.2		22d2d16e8b9666076efb10423d222c0d4e8a7aee
com.liferay	com.liferay.document.library.api	6.5.3		05730eca6394e40cdcd2421c85c4c83387db4297
com.liferay	com.liferay.document.library.api	6.5.4		45a57bc733bf361685790b9125e93691f3cd1525
com.liferay	com.liferay.document.library.api	6.6.0		b2c71cf02e9627af40066ae26d53b9798ce36c71
com.liferay	com.liferay.document.library.api	6.6.1		7b51fc8f9cfebd969e762279329b11e3d25b6d06
com.liferay	com.liferay.document.library.api	6.6.2		b39880f1132465b9f3913857cc7a66c2bb35ba20
com.liferay	com.liferay.document.library.api	6.7.0		3518bd082d8fbe0d2d4f277b9dc621caefb057b9
com.liferay	com.liferay.document.library.api	6.8.0		09f697d1c13be58f87134bb43fdf6b58d52f803c
