au.gov.nehta	clinical-document-packaging-library	1.2.5		6402a9e676f98b8349044b5f8312fed538513801
net.kafujo	kafujo-core	0.3.0		417c16923e92c68d1f5a5a5253356759f62c20da
net.kafujo	kafujo-core	0.7.0		85d54ba2195cebf2bafe7e1f28736d818894adaa
net.kafujo	kafujo-core	0.8.0		c2d52ecb9281f38785b69e39b4cfcb378e88d282
net.kafujo	kafujo-core	0.9.0		7609d74d10ab7d457cecfdd1170d3a8488af0f2a
net.kafujo	kafujo-core	0.9.1		6a98d1305951af7b79dfef2a6ce5d9105fdd0106
net.kafujo	kafujo-core	0.9.2		57341693d097a23df42c9df5637ddc3f17974052
net.kafujo	kafujo-core	0.9.3		a61bb43488ff3989368080180c5bffe621b3bebd
net.kafujo	kafujo-core	0.9.4		55a19abf93a0b0200641a6945d9ad800f33fd1a4
net.kafujo	kafujo-core	0.9.5		745b5ca72ea4e13ffd142a0f50b74924dfd05800
net.kafujo	kafujo-core	0.9.6		c277210ffe8c34c425647156c5215b4855501ad2
net.liftweb	lift-testkit_2.13	3.4.0		2678a764d46dd5279c7a81818204713c848b2cc3
net.liftweb	lift-testkit_2.13	3.4.1		98e29ac32cc6b0fdbcfd1d030451e6db98ed64f1
net.liftweb	lift-testkit_2.13	3.4.2		3344e8e5542a4a727016599faca76d6c4609a7dd
net.liftweb	lift-testkit_2.13	3.4.3		1db5abf3540d16ee60816340b685e86ecbd8b4b2
net.liftweb	lift-testkit_2.13	3.5.0		408a845be1ecca4b30fb4b2dcffa862b0d3bc158
net.liftweb	lift-testkit_2.13	3.5.0-RC1		2bc1e29f21391644ca6ad76ca8839b35c11e5c40
net.liftweb	lift-testkit_2.13	4.0.0-M1		a0472e666babec83d92ebec888d72565fc27d80f
one.xingyi	json4s_2.12	0.2		1a6b828d818f7d4d86965162758e5713908ed0df
one.xingyi	json4s_2.12	0.3		9a6c176fc8e20366089601924651298c3356e96d
one.xingyi	json4s_2.12	0.5		48f0dc7f92740771b6afc0334a7cea99da6a902b
one.xingyi	json4s_2.12	0.5.10		c55e9eda2077a9e3db43bb1b31928fe613faed14
one.xingyi	json4s_2.12	0.5.11		6a1b95c01cd71dac66e8597e8bee9b222fe4beb9
one.xingyi	json4s_2.12	0.5.13		f2357934066404335a2681fb28e51586c6bac33a
one.xingyi	json4s_2.12	0.5.14		2b3c3dd2f17f207808a808c22b78b5272b532c32
one.xingyi	json4s_2.12	0.5.15		d1fb27ce933ee32e4bec5e7bce690dcd875720c3
one.xingyi	json4s_2.12	0.5.18		f0718b12daf409d52119e19cd5c7bcd733a8c2fe
one.xingyi	json4s_2.12	0.5.19		0dde70535cc29db6d3624c3f9d0bdb375bb1c45c
one.xingyi	json4s_2.12	0.5.2		f7b7c9c8cee5daf895b498a7473fdcbecacbae09
one.xingyi	json4s_2.12	0.5.20		dcae0d711f7fd96b394498262a2fe547ef54eaa9
one.xingyi	json4s_2.12	0.5.3		be3a8b04db0b891118ca53577dc80ef11eae4994
one.xingyi	json4s_2.12	0.5.4		dbcffedf7c3bfe519118cb37510f11098d86d977
one.xingyi	json4s_2.12	0.5.5		ff64f3d5863abfcdfd322a35c32dd0c7e74dea1f
one.xingyi	json4s_2.12	0.5.6		579b2b6f2298c925bf55aaf326618653c8d8e09a
one.xingyi	json4s_2.12	0.5.7		548e87d93a57b82443e3d73efb89353469e0e287
one.xingyi	json4s_2.12	0.5.8		e47ab40b79a252524ecbfff3f7cb40caa403ea64
one.xingyi	json4s_2.12	0.5.9		9b08a7c165fc97a4a2cad97262eb2969362da374
one.xingyi	json4s_2.12	0.6.0		1ad3dd6a2ad683e6c37324f302d53ab7bf6447c5
one.xingyi	json4s_2.12	0.6.1		97620167c650a9fe7a7b7d3243dfdce2fdbcc94d
one.xingyi	json4s_2.12	0.6.2		6438aa9e61910353ed4ce094d65361039a8ed177
one.xingyi	json4s_2.12	0.6.3		f0cd0ac5a8af7f2ab2e0623b36c1846e876b931f
one.xingyi	json4s_2.12	0.6.4		91768c38ac0514481b51ebd02b6f1b669aa1dd1b
one.xingyi	json4s_2.12	0.6.5		9b1bf68c6ebe124c77688e805c2c7a5bd992b80e
one.xingyi	json4s_2.12	0.6.7		f02ea23dc1a861bd7751934c7ee66e714ebf8706
one.xingyi	json4s_2.12	0.7.0		5fd9aea7973be74d4c89408412df8547fd019b8a
one.xingyi	json4s_2.12	0.7.1		54a9fdffb285cac73297e734eaf134d24bf8212d
one.xingyi	json4s_2.12	0.7.2		6152123176509f6082491241e3d967bd61d45c6a
one.xingyi	json4s_2.12	0.7.3		5c19df132164e6a143dbf291c57dd6837bf8d301
one.xingyi	json4s_2.12	0.7.4		81dda5250be4a4308f8ccb2eda78f2324d923770
one.xingyi	json4s_2.12	0.7.5		a770b8173ef3e1ea265cd919007139929f21dbb1
one.xingyi	json4s_2.12	0.7.6		d306894b08b7aa42c329f0032c6cbe1a41e93472
one.xingyi	json4s_2.12	1.2.10		b38423d6b5bfb48e3aec6668f77d8b6071cf531b
one.xingyi	json4s_2.12	1.2.11		5f8756b04d2399e82c3ebeffbfa7dafd8358eac1
one.xingyi	json4s_2.12	1.2.12		509c96734c17c94fcaeeec6f2286f92cdcf35dd7
one.xingyi	json4s_2.12	1.2.2		9dfc1bff2ed8b2152a4b233a5b30580a450fd2a0
one.xingyi	json4s_2.12	1.2.3		7882ce30d20a8de7109d8264e36e0e1698314282
one.xingyi	json4s_2.12	1.2.5		1cc121d7e31ee751e360c5f950754019f7394911
one.xingyi	json4s_2.12	1.2.6		1baf688eb02cfce9900dd1cac5512bfc6b20e475
one.xingyi	json4s_2.12	1.2.7		23493b9bcc286b8b0176490f10eebafa48771926
one.xingyi	json4s_2.12	1.2.9		1d6b6241c757f77eb691c9ceba1ae0cc7dd2853f
org.apache.james.protocols	protocols-api	1.0		9b350fb10854ebecc03e850dcb4d6f8f88853551
org.apache.james.protocols	protocols-api	1.1		4c1498cc40b7782d4a92651e4a5ba235fbac4e33
org.apache.james.protocols	protocols-api	1.2		f4f77fdef4adfbbd49cb0be71a630f4c31d8e380
org.apache.james.protocols	protocols-api	1.2-M1		5a43e959a17f96154e823451d047d844539e2696
org.apache.james.protocols	protocols-api	1.3		ff0a031349e01120d3faed288c22efc9aead9fe5
org.apache.james.protocols	protocols-api	1.4		f0768dd175bd79bb0deb392f7ce01d45e2502725
org.apache.james.protocols	protocols-api	1.5		dad738425e6cd9194237eca80b6753bc1f65dcea
org.apache.james.protocols	protocols-api	1.6-beta1		a228f6a35c0e5b1282c394eff8908cef0310428f
org.apache.james.protocols	protocols-api	1.6-beta2		e6d5514ec9588097b8f4e0ee0f872efb8843f8ce
org.apache.james.protocols	protocols-api	1.6-beta3		9a4a5aa8076c07824739733a1e352f8d20218b7a
org.apache.james.protocols	protocols-api	1.6.0		413b4d9b919ffdbaa9c0981f9a2587c9b1e4a410
org.apache.james.protocols	protocols-api	1.6.0-RC1		1aefd6b6e071b68eab7653055b7cad694ee13e1d
org.apache.james.protocols	protocols-api	1.6.1		41c593f035be1e9abad7533f804793371822ece9
org.apache.james.protocols	protocols-api	1.6.2		d233cab6d1e7327c638649706e59e69bafa7fdc0
org.apache.james.protocols	protocols-api	1.6.3		dec91cd50976ed282b992c7e32bf6d76d2a521e3
org.apache.james.protocols	protocols-api	3.0.0		622fbee3ead5b61ee841bee284124781741279d1
org.apache.james.protocols	protocols-api	3.0.0-RC1		98231993ffe35c0346a41b38a555f61ff730a619
org.apache.james.protocols	protocols-api	3.0.0-beta5		afff1c8e98cd6de93ddc7013d63c51d87eee866d
org.apache.james.protocols	protocols-api	3.0.1		2c023726cd5dfee690ca4d8d598cacb5d8031964
org.apache.james.protocols	protocols-api	3.1.0		b1aeb58406e18028b85845d2e654851de8dc1ba1
org.apache.james.protocols	protocols-api	3.2.0		115367f994ad7c26b393954d3115f7aabf062a5b
org.apache.james.protocols	protocols-api	3.3.0		f4aaa9ace5c4436baff7e643851abef6f3211903
org.apache.james.protocols	protocols-api	3.4.0		83a2e03350d19d6549877c0c4251779acb541868
org.apache.james.protocols	protocols-api	3.5.0		9598268ba36d50d9839415971306dfea1eb426ef
org.apache.james.protocols	protocols-api	3.6.0		4b88266ba79863d219ef69acd5e2d9f4f4510fd8
org.apache.james.protocols	protocols-api	3.6.2		6c219b7edcd9dcbe4221f576b21ba798bf80ccd5
org.apache.james.protocols	protocols-api	3.7.0		f36fde2c939c4c20430ed88718d84cd77ae3618c
org.apache.james.protocols	protocols-api	3.7.1		bd07247b77e78a3c1d062fd183612880f3383fa7
org.apache.james.protocols	protocols-api	3.7.2		279863aac469d01cb1199356037cc20f93d0c5ee
org.apache.james.protocols	protocols-api	3.7.3		273796fdbd4b18aaa0910420e5ce539e1183e06e
org.apache.james.protocols	protocols-api	3.7.4		9ac9e520c785a2ddeafd81fbd6ac0cd4fef7e1a2
org.apache.james.protocols	protocols-api	3.7.5		e98ec335d65665f3875c524646994ce2df771559
org.apache.james.protocols	protocols-api	3.7.6		9720519fe2fcfb586c1bb36408d449d956e1643a
org.apache.james.protocols	protocols-api	3.8.0		3efb387d591e094bad3211e5c0409bafe58a13b3
org.apache.james.protocols	protocols-api	3.8.1		c599c8e6b312bc19ff7c8d9cc0737a1f014bf52b
org.apache.james.protocols	protocols-api	3.8.2		dfd31a25f8b6f4e3a9480f31662bd317f13f88ed
org.apache.maven.surefire	maven-surefire-common	2.10		e10b1b1f469ca9bfd7c339e7b00a0606d1604aab
org.apache.maven.surefire	maven-surefire-common	2.11		6cc489e033f6ae3ee72338c2c4e610a2a03ac77a
org.apache.maven.surefire	maven-surefire-common	2.12		149016690186cb5d27bb5ed0b84cca84b1a7328b
org.apache.maven.surefire	maven-surefire-common	2.12.1		5ed4eb75073e005bffcded10c1e739675884fa3e
org.apache.maven.surefire	maven-surefire-common	2.12.2		c5b0b7e4e03c4101b796a4ed2973a62f9bc0baad
org.apache.maven.surefire	maven-surefire-common	2.12.3		9d22f669457878ff90aa8dff23c4b9e32fbe0338
org.apache.maven.surefire	maven-surefire-common	2.12.4		95c87b560b12e5217c40c408e643c49258c25ee4
org.apache.maven.surefire	maven-surefire-common	2.13		81f7ee5612135bc7b99b39dc4b944ec3058ff6a6
org.apache.maven.surefire	maven-surefire-common	2.14		123d15f6fda416372e9138df8c019514a0323423
org.apache.maven.surefire	maven-surefire-common	2.14.1		40f5d699d2ea1a5d9c93d66c0d9e87c27c6a49c6
org.apache.maven.surefire	maven-surefire-common	2.15		128473129a042edefbf878e0aa58278f5bb37c13
org.apache.maven.surefire	maven-surefire-common	2.16		003e167e12a08a3839c41b6606aa38302984a22c
org.apache.maven.surefire	maven-surefire-common	2.17		69b463eab349dcc0ffb002000b831d290a4e9a0d
org.apache.maven.surefire	maven-surefire-common	2.18		4ed2adf2f37b725ba9cf39778f54ec40683672ee
org.apache.maven.surefire	maven-surefire-common	2.18.1		9fff3ee116243c395aa42c9139499d6fe4ae7994
org.apache.maven.surefire	maven-surefire-common	2.19		e3d910423922a226c2e38bc2bfa68a86ae0e2647
org.apache.maven.surefire	maven-surefire-common	2.19.1		7066469213c9dc7212afbe0cc4774888140f7f36
org.apache.maven.surefire	maven-surefire-common	2.20		19bdb2bcd9bdd534e15aea51e18a1de69d64b30c
org.apache.maven.surefire	maven-surefire-common	2.20.1		3ebceec48c16c5b3822b0ad978736a75154c60b0
org.apache.maven.surefire	maven-surefire-common	2.21.0		8cce3f2a4ad7079e42292a3ee666ec5297de9972
org.apache.maven.surefire	maven-surefire-common	2.22.0		835192925d77f5bd75fae2b4da000a54f6c0be54
org.apache.maven.surefire	maven-surefire-common	2.22.1		1acb6da44a9daa8c5014b99694fa6399cca117be
org.apache.maven.surefire	maven-surefire-common	2.22.2		d22aaa69c65e96cd9d87f779e45df76fb5040108
org.apache.maven.surefire	maven-surefire-common	2.6		33ab194bf2cbf2722e4f05f89300bbd42124573e
org.apache.maven.surefire	maven-surefire-common	2.7		37a9d25f130e41740eed49b853a4a6bcd8e24c8a
org.apache.maven.surefire	maven-surefire-common	2.7.1		2c1816cc6d877767cb4587de1c908c090f19904f
org.apache.maven.surefire	maven-surefire-common	2.7.2		6ff2b3880e4be7bd8c90db54595a0726d69c26d9
org.apache.maven.surefire	maven-surefire-common	2.8		79b52f9809e6c0e13178f5d0f1ad26e69a6537b5
org.apache.maven.surefire	maven-surefire-common	2.8.1		50a727143135ac376480f4edd8e827f5c55c672a
org.apache.maven.surefire	maven-surefire-common	2.9		cbf4f5fe6e0470925041ed0f7735d8a62cadb827
org.apache.maven.surefire	maven-surefire-common	3.0.0		ac2d5956303c47244dc69f25fd1a64a52e1d8ab7
org.apache.maven.surefire	maven-surefire-common	3.0.0-M1		c1d8191ab4c46819fc2c2a9941a00e1238397553
org.apache.maven.surefire	maven-surefire-common	3.0.0-M2		6b6aa7cb9b9062336723ad417a990c47c3944acf
org.apache.maven.surefire	maven-surefire-common	3.0.0-M3		cf2883bafd82899bd0716f80025292182f3fc7cc
org.apache.maven.surefire	maven-surefire-common	3.0.0-M4		3bd8e003fe1677c66cdd598161fee15abea1c2c6
org.apache.maven.surefire	maven-surefire-common	3.0.0-M5		0245fdc7191e36a01c59c4e39b3d51da934cefe2
org.apache.maven.surefire	maven-surefire-common	3.0.0-M6		4f667a26a72599dd782b7c1516f6054326688e8e
org.apache.maven.surefire	maven-surefire-common	3.0.0-M7		48c5b076d536339675c7c7502ffb3558ed6bed71
org.apache.maven.surefire	maven-surefire-common	3.0.0-M8		7a5bb690082a9152d93335c2c5ff2a000a5c10ce
org.apache.maven.surefire	maven-surefire-common	3.0.0-M9		2521b11651c620b7b1a2d97f1eee321c3b870595
org.apache.maven.surefire	maven-surefire-common	3.1.0		7c1c5202b7587d914cacaf18995506f6b53ab780
org.apache.maven.surefire	maven-surefire-common	3.1.2		ba5a755640e257cbf884ac260641b723e07a9e0b
org.apache.maven.surefire	maven-surefire-common	3.2.1		f87d9b46e4d9d60e6e3c8ddde0f97f177e97210b
org.apache.maven.surefire	maven-surefire-common	3.2.2		f76740de8cbb4578348ff441e05b92112053f4df
org.apache.maven.surefire	maven-surefire-common	3.2.3		d2b1afbe237f80314f0610dae71ac7628e6699b3
org.apache.maven.surefire	maven-surefire-common	3.2.5		f571ddce1d2c4ae2d8f26081d6e95fa131dfde22
org.apache.maven.surefire	maven-surefire-common	3.3.0		1c9b9a3fe2f1f5a1c1c7d1530e9ce00bf6da8258
org.apache.maven.surefire	maven-surefire-common	3.3.1		c117e6e7a617818b132b16b4b307699f2c07d671
org.apache.maven.surefire	maven-surefire-common	3.4.0		b2164a10d3da5e5528229ecf54a953669da6d9cb
org.apache.maven.surefire	maven-surefire-common	3.5.0		27029109fe124d129205daa06429f7f12d36afdf
org.apache.maven.surefire	maven-surefire-common	3.5.1		b357ea0b854246be5f8ccbd7d3e34f1b9bb97dd9
org.apache.maven.surefire	maven-surefire-common	3.5.2		e05561c5dbcb1282147f7c8f2992f4e100e8e9c0
org.apache.maven.surefire	maven-surefire-common	3.5.3		ad5d607e98053054a1494503d9020a8789a4dfb9
org.apache.shenyu	shenyu-spring-boot-starter-plugin-apache-dubbo	2.4.0		41f02d02d3271c86ebe1f44feca505747d7d8765
org.apache.shenyu	shenyu-spring-boot-starter-plugin-apache-dubbo	2.4.1		bfd24b6fbb52741c0256baa039c1faf8793a8e40
org.apache.shenyu	shenyu-spring-boot-starter-plugin-apache-dubbo	2.4.2		ee6cf1271b678fb17ef14f0a7813c5e28e757d29
org.apache.shenyu	shenyu-spring-boot-starter-plugin-apache-dubbo	2.4.3		e1e5d0dc600418f11473e230285af4cd313f153a
org.apache.shenyu	shenyu-spring-boot-starter-plugin-apache-dubbo	2.5.0		2f16282fc128d0d0c875ef5ce8308c76c3612fcb
org.apache.shenyu	shenyu-spring-boot-starter-plugin-apache-dubbo	2.5.1		2bc7568493108803e5d405ac8af130cd5b067134
org.apache.shenyu	shenyu-spring-boot-starter-plugin-apache-dubbo	2.6.0		3fdd53e3dfd4d0e5eeb4f0b13f09d1b67f162aa2
org.apache.shenyu	shenyu-spring-boot-starter-plugin-apache-dubbo	2.6.1		1e87dabdf0c06caf4def0da7ea0fe383c5ae643f
org.apache.shenyu	shenyu-spring-boot-starter-plugin-apache-dubbo	2.7.0		92f07361a67407f090244e8b4edd99f41178a18f
org.apache.shenyu	shenyu-spring-boot-starter-plugin-apache-dubbo	2.7.0.1		cedb095f2d379e2e223bbdb46a25ab1ccd87b264
org.apache.xbean	xbean-spring-itests-126	2.4		52b5182eab3c2d2c32af7dd6a93db77c40eb1fb9
org.apache.xbean	xbean-spring-itests-126	2.5		514aab384ef57f5d45f2afafaf682d5760ba7313
org.apache.xbean	xbean-spring-itests-126	2.6		892dbf9e114e995685877c095a4bb4cd613c829b
org.apache.xbean	xbean-spring-itests-126	2.7		ed852147476d0428a424ced833b6dc8bd5aae68d
org.apache.xbean	xbean-spring-itests-126	2.8		9daacf80e5fafe5c572962cb7fe32f2d61ed9531
org.arquillian.algeron	arquillian-algeron-pact-provider-assertj	1.0.0		a5403ab15935d5a92a079ac393862a7296d6e079
org.arquillian.algeron	arquillian-algeron-pact-provider-assertj	1.0.0.Alpha5		06c379b827f6b3353fa5ec55191f20523433cb71
org.arquillian.algeron	arquillian-algeron-pact-provider-assertj	1.0.0.Alpha6		51700238f341af83aeae4094ebd46143b65a490c
org.arquillian.algeron	arquillian-algeron-pact-provider-assertj	1.0.1		9bae5c032e89a0e1d9b1d2f16cce5f7e355b577f
org.arquillian.algeron	arquillian-algeron-pact-provider-assertj	2.0.0-rc.1		4d308a52ca2e7edd6fedbf617a41cd04f628802a
org.arquillian.algeron	arquillian-algeron-pact-provider-assertj	2.0.0-rc.2		9e139dd152e016c12d6ec5e90df27201fc94ea65
org.arquillian.algeron	arquillian-algeron-pact-provider-assertj	2.0.0-rc.3		bfad1c0edd9f3131895e83351a9dfc7449d93eea
org.arquillian.algeron	arquillian-algeron-pact-provider-assertj	2.0.0-rc.4		4ef31c0296ef1a72ed22299269e772a285d94844
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.19.0		N/A
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.19.0	classes	a821d3fb86b83194f3978104766003e4ead5062b
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.19.0-alpha5		N/A
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.19.0-alpha5	classes	e4f92e0725a0e5d18be1a5b2ecfdf66dc20ce648
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.20.0		N/A
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.20.0	classes	b2ac1dd5daf929190ba3d1f4fc34f3b036d0d2c4
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.20.0-alpha1		N/A
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.20.0-alpha1	classes	03a884adc365e6f8870b1063d4066ca8aeaf6bb7
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.20.0-alpha2		N/A
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.20.0-alpha2	classes	a24584e608380986d8219f47b866ba099490a9ed
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.20.0-alpha3		N/A
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.20.0-alpha3	classes	5b40bf56c85c0051e7a4b5eaff2e6d793b301411
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.20.0-alpha4		N/A
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.20.0-alpha4	classes	2d93aacae070483e8aee7bd6e9a9bfef57487992
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.20.0-alpha5		N/A
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.20.0-alpha5	classes	5c0a1edc034aaa4dba9622555b26adbd7c11a3f6
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.20.0-alpha6		N/A
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.20.0-alpha6	classes	98c9a2e209a36a9b0ad6d073853de84ef2ca00b8
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.21.0		N/A
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.21.0	classes	8b01f07e20e349f5f02913b34b0fa10f0b79c828
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.21.0-alpha1		N/A
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.21.0-alpha1	classes	7c48949bea89734388ddcb69e954264aa7413420
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.21.0-alpha2		N/A
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.21.0-alpha2	classes	1882f1e56876d1a8cda9e7eefa91e0332e651c01
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.21.0-alpha3		N/A
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.21.0-alpha3	classes	cde55252c3ae8a6f0d6b95c0f59ae93459167a2d
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.21.0-alpha4		N/A
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.21.0-alpha4	classes	ff4b0bbfbcba0e58dc41108ca218154cb0ca105e
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.21.0-alpha5		N/A
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.21.0-alpha5	classes	7bf4256150f896eabe49fac4397ef7605c8ee2d0
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.22.0		N/A
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.22.0	classes	8ac59f424fa105682dbafd5a6c9d8e4a535c725b
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.22.0-alpha1		N/A
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.22.0-alpha1	classes	e2e3ac204c603b09da7748ecc20188fae47b2b35
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.22.0-alpha2		N/A
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.22.0-alpha2	classes	9a655a76225ca42157d181dd40f6960688f9cedc
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.22.0-alpha3		N/A
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.22.0-alpha3	classes	212979f16dcde0516b474069b89dd07a00fdc183
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.22.0-alpha4		N/A
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.22.0-alpha4	classes	459bf4808f17e34beb89dd01977c7a4b7e8b6d25
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.22.0-alpha5		N/A
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.22.0-alpha5	classes	ac5174c716550c5dac3376a2a681b90491db7b8a
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.22.0-alpha6		N/A
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.22.0-alpha6	classes	e2e1517c7254a18b36328ed265e7c9f5e02ceffb
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.23.0		N/A
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.23.0	classes	b950e417293a238d69410d42e974aeb869561f9e
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.23.0-alpha1		N/A
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.23.0-alpha1	classes	2f602831354fb860e2d30bc1bb8bdf873ba79a23
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.23.0-alpha2		N/A
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.23.0-alpha2	classes	2b553823f72d1e844a32eb6ca14ba2f41e5a9c36
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.23.0-alpha3		N/A
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.23.0-alpha3	classes	a0866dc6f2f0ddf6be92772408e5a4c58e5232ca
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.23.0-alpha4		N/A
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.23.0-alpha4	classes	751f9fe93e320381f53b9ce5c74320ec9c620ea0
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.23.0-alpha5		N/A
org.camunda.bpm.webapp	camunda-webapp-jakarta	7.23.0-alpha5	classes	e551d723ddd12620206a8911f9948ffe57b1fd22
org.cstamas.vertx.sisu	parent	1.0.0		N/A
org.cstamas.vertx.sisu	parent	1.0.1		N/A
org.eclipse.pass	nihms-data-harvest-cli	0.1.0		d45df26831f2d489839dec586f6c4425edad0511
org.eclipse.pass	nihms-data-harvest-cli	0.1.0	shaded	995f05c12c0da6b4fba4af4732bd774b774ea590
org.eclipse.pass	nihms-data-harvest-cli	0.7.0		aaa4123f2b1b78243f18ef384933cec29aa9c989
org.eclipse.pass	nihms-data-harvest-cli	0.7.0	shaded	39778e255ccdb8eca28c3c1e7bd81b7ed9b61acd
org.eclipse.pass	nihms-data-harvest-cli	0.8.0		3570f0fa355b79aaad060ae2a16a075c80237207
org.eclipse.pass	nihms-data-harvest-cli	0.8.0	shaded	d2f09d1439bea2b18dee3f235cb75eb63c9992f5
org.eclipse.pass	nihms-data-harvest-cli	0.9.0		24382129d809856cbae247d38682b769da0e4bde
org.eclipse.pass	nihms-data-harvest-cli	0.9.0	shaded	1f33b7078fb787433f4d5b094caf6bc7765468fd
org.eclipse.pass	nihms-data-harvest-cli	1.0.0		9ea3f6b8a083860bafd090e96ccb76f8f0355f15
org.eclipse.pass	nihms-data-harvest-cli	1.0.0	shaded	5864743ca7090f819afa13b888b576ca17e3b837
org.eclipse.pass	nihms-data-harvest-cli	1.1.0		02638e17da4df7c166b6a62a87fe0b7df605dab2
org.eclipse.pass	nihms-data-harvest-cli	1.1.0	shaded	0dea34912b0c7205b2e59d632b68f926b870c55c
org.eclipse.pass	nihms-data-harvest-cli	1.2.0		c897d388f721389c709b0caefa648d10b5d7d90b
org.eclipse.pass	nihms-data-harvest-cli	1.2.0	shaded	0e443174098b4c382e1bc869960f3a004daeaaa7
org.eclipse.pass	nihms-data-harvest-cli	1.3.0		c10b6015508f246f856bce4f5c1845ce90962809
org.eclipse.pass	nihms-data-harvest-cli	1.3.0	shaded	4a27b290e7f2697e7a78c12f5f279c2ba71a9e75
org.eclipse.pass	nihms-data-harvest-cli	1.3.0-RC1		c715b410dfa77ae611179b67d5bd541760c7fe0c
org.eclipse.pass	nihms-data-harvest-cli	1.3.0-RC1	shaded	9a78a33798b95c8bf36df2e6b322827b41a58f68
org.eclipse.pass	nihms-data-harvest-cli	1.3.0-RC2		9c5b85387c416728119ec9650202d066dab29967
org.eclipse.pass	nihms-data-harvest-cli	1.3.0-RC2	shaded	bb72448e97c0cb5ecfee85355c6b3d27fca01e83
org.eiichiro.jaguar	jaguar-aspectj	2.0-rc2		f32d2601e4bafc3afbf14e90676d1586be873383
org.eiichiro.jaguar	jaguar-aspectj	2.0-rc3		968aab89c54aecfe4f5076ee485c97f93ecf0263
org.eiichiro.jaguar	jaguar-aspectj	2.0-rc4		558cde7025b826f6b52ab52a100e82a82f00bb33
org.eiichiro.jaguar	jaguar-aspectj	2.0-rc5		f055d260dbfa46b1defaedbb66dbd78fc6e65d62
org.flywaydb.flyway-test-extensions.samples	flyway-test-samples-parent	3.0		N/A
org.flywaydb.flyway-test-extensions.samples	flyway-test-samples-parent	3.0.1		N/A
org.flywaydb.flyway-test-extensions.samples	flyway-test-samples-parent	3.1		N/A
org.flywaydb.flyway-test-extensions.samples	flyway-test-samples-parent	3.2		N/A
org.flywaydb.flyway-test-extensions.samples	flyway-test-samples-parent	3.2.1		N/A
org.flywaydb.flyway-test-extensions.samples	flyway-test-samples-parent	3.2.1.1		N/A
org.flywaydb.flyway-test-extensions.samples	flyway-test-samples-parent	4.0		N/A
org.flywaydb.flyway-test-extensions.samples	flyway-test-samples-parent	4.0.1		N/A
org.flywaydb.flyway-test-extensions.samples	flyway-test-samples-parent	4.1.0		N/A
