at.yawk.valda	valda-dexlib2	1.0.0		45a36e11d8d3a41d9a3d2e1d32a2c1f81e5ebf99
ch.epfl.lamp	scala-compiler	0.2.0-bin-20170605-fa9f8b2-NIGHTLY		e1e967601dc5de9bca8671b21c1f4f52ae9cef77
ch.epfl.lamp	scala-compiler	0.2.0-bin-20170606-6c20773-NIGHTLY		4303d6e5ba3868256dfb0e3ae020a08f2d298af2
ch.epfl.lamp	scala-compiler	0.2.0-bin-20170608-0c11376-NIGHTLY		842d56d0b75d18ab81ad308e2eb71fa42835392b
ch.epfl.lamp	scala-compiler	0.2.0-bin-20170609-c804620-NIGHTLY		a59d390997036003e12cee4ada55d2e88ec160d1
ch.epfl.lamp	scala-compiler	0.2.0-bin-20170610-4f77655-NIGHTLY		7f7efcdf3f4ed6b997da5830d7d49a9ef5883863
ch.epfl.lamp	scala-compiler	0.2.0-bin-20170611-0311967-NIGHTLY		d94ae015c6e32d7b4a3f73a64abe4a2e996c577e
ch.epfl.lamp	scala-compiler	0.2.0-bin-20170612-cee829f-NIGHTLY		07c18f9530350b8bbf2251d573182cbfb3f7f7dd
ch.epfl.lamp	scala-compiler	0.2.0-bin-20170613-243e439-NIGHTLY		eee184c8eefedbd6edf2fd2b42141d45b8b9d5c0
ch.epfl.lamp	scala-compiler	0.2.0-bin-20170614-8ddfcaf-NIGHTLY		935e673ec06f7798ab2558ce23852c8f8c1b478b
ch.epfl.lamp	scala-compiler	0.2.0-bin-20170615-21b3149-NIGHTLY		ed65b5d136f1ba7dbf8a087913f01f095f5cbbc1
ch.epfl.lamp	scala-compiler	0.2.0-bin-20170618-3330992-NIGHTLY		12aa957413f6c9a0c86e9ca4122a838a7d48ed64
ch.epfl.lamp	scala-compiler	0.2.0-bin-20170619-6ade705-NIGHTLY		f845ad6b42c77a2f0e5bbe61a2971fc225b7a6ca
ch.epfl.lamp	scala-compiler	0.2.0-bin-20170620-1d05796-NIGHTLY		1cce147ad75cece808034a4d1d8abb4c0242b17f
ch.epfl.lamp	scala-compiler	0.2.0-bin-20170622-7381e9d-NIGHTLY		7b3f2abddc1dea6406b6b635ea2d3baecead46e7
ch.epfl.lamp	scala-compiler	0.2.0-bin-20170624-281416b-NIGHTLY		5b15a9a3e4bb15eafe7ecf04873bf9cf7f32e379
ch.epfl.lamp	scala-compiler	0.2.0-bin-20170625-45e4030-NIGHTLY		8decb119169967fec85ddf7c47f1eaf677e00454
ch.epfl.lamp	scala-compiler	0.2.0-bin-20170626-618f826-NIGHTLY		7426fc15ef473c4019b8a7a3e055625da6435169
ch.epfl.lamp	scala-compiler	0.2.0-bin-20170627-bf1082d-NIGHTLY		381fe35bd00f676ca0f404ad78b2e51d9dcf6e72
ch.epfl.lamp	scala-compiler	0.2.0-bin-20170629-425c8c1-NIGHTLY		de0272746aee967292b713aff39fb9763001e24e
ch.epfl.lamp	scala-compiler	0.2.0-bin-20170630-3bfe849-NIGHTLY		61fa25554e09f37288c6283ef17315a7dc99f9f2
ch.epfl.lamp	scala-compiler	0.2.0-bin-20170703-e52095a-NIGHTLY		b95c0674084628a0da5dae1b490145d14b38e7ef
ch.epfl.lamp	scala-compiler	0.2.0-bin-20170704-0a7e6c9-NIGHTLY		41f8a1534d8483bed0bb69eb1528a3e18abe27f2
ch.epfl.lamp	scala-compiler	0.2.0-bin-20170705-7820b5f-NIGHTLY		a73a882c99181136bba33e2c431b12f9376c8382
ch.epfl.lamp	scala-compiler	0.2.0-bin-20170706-a9b7beb-NIGHTLY		15970f197324e46bed3ef9e46640f3138af5bfdf
ch.epfl.lamp	scala-compiler	0.2.0-bin-20170708-1392444-NIGHTLY		c696c946f9673a22935b63e1ecac2433afe4d6e2
ch.epfl.lamp	scala-compiler	0.2.0-bin-20170709-23e64a3-NIGHTLY		a99cdaf7db68d820e93afc601f4625e7a39bd8ba
ch.epfl.lamp	scala-compiler	0.2.0-bin-20170710-8a42e27-NIGHTLY		c15aec72a962f829fa05aef32fb1f7af09dff365
ch.epfl.lamp	scala-compiler	0.20.0		80ae003a51c9de570824a8b5ca77da338915e359
ch.epfl.lamp	scala-compiler	0.20.0-RC1		bb663c73e5baf20351b32b21ee500b0c6b08dbe9
ch.epfl.lamp	scala-compiler	0.20.0-bin-20190923-10091bd-NIGHTLY		eba04b698f5ab8ce7eec8db38cfdcc7c4eb61f25
ch.epfl.lamp	scala-compiler	0.20.0-bin-20190924-5bcb1ce-NIGHTLY		3a7571fc44a73e2e593b684a66b5ce056023eb59
ch.epfl.lamp	scala-compiler	0.20.0-bin-20190925-99e05f7-NIGHTLY		8fc7d76a09e4227612a5e829ba77d0f988b33168
ch.epfl.lamp	scala-compiler	0.20.0-bin-20190927-184f486-NIGHTLY		69072b338c38bebd4db7cbe8debacdbae1ea9c66
ch.epfl.lamp	scala-compiler	0.20.0-bin-20190928-6c8b4b5-NIGHTLY		2d010076e7e5c413fbd51b3a5af63b4d4b427503
ch.epfl.lamp	scala-compiler	0.20.0-bin-20190929-f168498-NIGHTLY		ac6868b664f986f7492bf8d70cf182bb75ed68c5
ch.epfl.lamp	scala-compiler	0.20.0-bin-20190930-09b45d3-NIGHTLY		b9640e43522957557c97fb22e7d95f4939438fcb
ch.epfl.lamp	scala-compiler	0.20.0-bin-20191001-0b10433-NIGHTLY		d49d207544aa761384f12ffb5140354dc90715a1
ch.epfl.lamp	scala-compiler	0.20.0-bin-20191002-e005473-NIGHTLY		477f6a59afc6d5c10f3eea171706166cefed155e
ch.epfl.lamp	scala-compiler	0.20.0-bin-20191003-15cece6-NIGHTLY		15b9713fe6d7c75da7c00619b9515998263e3ad0
ch.epfl.lamp	scala-compiler	0.20.0-bin-20191004-736af36-NIGHTLY		5c70d7d674ded1b48d449c5d7a0f61780242aef8
ch.epfl.lamp	scala-compiler	0.20.0-bin-20191005-d67af24-NIGHTLY		e3626558f08be4647c4f8c27b4b785cc8ccc1be7
ch.epfl.lamp	scala-compiler	0.20.0-bin-20191007-514334e-NIGHTLY		8b67fa3d595f8bbfc24bc162746dab9327cfa21d
ch.epfl.lamp	scala-compiler	0.20.0-bin-20191008-45b6ebd-NIGHTLY		f79446fc2be1089a93fb755abb875057a9abdaa2
ch.epfl.lamp	scala-compiler	0.20.0-bin-20191009-87f7a14-NIGHTLY		ebf0d75749eee8024775130aeb5cb7c910273a43
ch.epfl.lamp	scala-compiler	0.20.0-bin-20191011-082edca-NIGHTLY		1408c1ee7d3b1150d78a29b243d6f48f9cea19f9
ch.epfl.lamp	scala-compiler	0.20.0-bin-20191012-705f304-NIGHTLY		4ec3e96096c01aca155df5d3dcea24d8166c9c15
ch.epfl.lamp	scala-compiler	0.20.0-bin-20191013-0f7a85b-NIGHTLY		0380a9f751cc8d99eac7ac879f033ea1cfa565c4
ch.epfl.lamp	scala-compiler	0.20.0-bin-20191014-d61769d-NIGHTLY		5aa57a890e943f443d9e84199a1aaf7e6cb56eb6
ch.epfl.lamp	scala-compiler	0.20.0-bin-20191015-42e3ad4-NIGHTLY		c747d00774c8021e16d304d3e4060a391bdb32b0
ch.epfl.lamp	scala-compiler	0.20.0-bin-20191016-5e8e26f-NIGHTLY		2128af8805b6ac0bd18756134ae488b4f9263d0e
ch.epfl.lamp	scala-compiler	0.20.0-bin-20191021-0bf296e-NIGHTLY		3272d32dd18cc1b37f42a8f7d72160f820199008
ch.epfl.lamp	scala-compiler	0.20.0-bin-20191022-3166433-NIGHTLY		a13b02b22ba659e4b18b6a5b2f857553eaed7197
ch.epfl.lamp	scala-compiler	0.20.0-bin-20191024-1d5e6ed-NIGHTLY		c56c06deeb6ee2f13b2f4265f552806c797e37d7
ch.epfl.lamp	scala-compiler	0.20.0-bin-20191026-d2db509-NIGHTLY		e5a74d420f61476c767fa511b6f57f702bc448eb
ch.epfl.lamp	scala-compiler	0.20.0-bin-20191028-d06a5ff-NIGHTLY		879f60645c931eb72e4b393468e16b7c4b704a02
ch.epfl.lamp	scala-compiler	0.20.0-bin-20191029-d56060d-NIGHTLY		e18d2a54cea830721a09beae7a72593470ac9ecd
ch.epfl.lamp	scala-compiler	0.20.0-bin-20191030-1fe9555-NIGHTLY		710e0c1e9598de4133d36018baef74b12b800707
ch.epfl.lamp	scala-compiler	0.21.0		d7c3e868189ab30d6463dcd453a96dc1b76e4543
ch.epfl.lamp	scala-compiler	0.21.0-RC1		96ac5eab430ba3f9711942b89065b845ce9c37d2
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191031-9e7ec22-NIGHTLY		fbe773547d6f67dba6264edc3a210df099fbf9c3
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191101-3939747-NIGHTLY		3974bdb0ccddb750f2d71777953ef2c61dc044c3
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191102-7577342-NIGHTLY		00b20b48e27b19522cc07811622768941bb2bc61
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191103-332c831-NIGHTLY		6465b5717c460e059d828a3b985846c5d6523007
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191104-0e88077-NIGHTLY		5088fddaf7b4938a2f25d2d5e6e02090115f2477
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191105-22e64e2-NIGHTLY		6cdc730405943f27804cf22f58be83ffe34156fa
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191106-f44f09f-NIGHTLY		2e6611c6d680fa5c950d488312600f9c18d2a911
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191107-3cb93f3-NIGHTLY		647ecd528ea71f0d11e801b6fb8b26c472c970c8
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191111-bc87529-NIGHTLY		00b2a746675bf227489fe0fb30e7aaac10773007
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191112-1725a67-NIGHTLY		7205a468c06173c07da4667f9ec8a4be156d87ce
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191113-87ea7a6-NIGHTLY		269d8bd728aad3e029d222b6dd96e3dafc3a5cab
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191115-ca6b1c6-NIGHTLY		f447a6ca6205f8bf44b64f34a787c1563ee2eaa3
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191117-c395b23-NIGHTLY		53b3fd251b9993e334517f96781ec998dad3c230
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191119-5e47774-NIGHTLY		822f59f726d778fd048bc07dd0013015b917a43b
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191119-7c7fffa-NIGHTLY		2bc49a429dc1a4027069fcd0f728c082b6ccf1a2
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191120-c1e0e04-NIGHTLY		dfe6f212ff4773b61252a9134dc43cf31e8dafbc
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191121-a356535-NIGHTLY		7d5b44c725035b497f6a251296d82bdaa2ab8eb3
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191122-120f423-NIGHTLY		d3077fff040c73242e7f12c0f9835ec027c44adb
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191124-c5cc489-NIGHTLY		ad13a013045868b6dc22a353db8cfa9a06ec3045
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191125-a64725c-NIGHTLY		4bfeaa1db788ac9f40934386b51b602fb587b2be
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191126-4237152-NIGHTLY		fdd0194424d686f02af2be6ee1cb1bfb735e40bc
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191127-f1c701e-NIGHTLY		82dfb7ce93f8536d8c2da1b9c80e6f09e8bd90bd
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191128-6ae3df2-NIGHTLY		21104195e8348a8987c08e2437d9221b9c37291c
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191129-4adc435-NIGHTLY		ffd52edbb99ba1848919e65d418412b6ff591b06
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191201-65a404f-NIGHTLY		2a1efb2c3ea1df06e413b0419f13fcdc996f6a50
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191202-ccb7b13-NIGHTLY		7d7ab8db31b7a0e11624b44b014ab91a9b97f6e0
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191203-c900e88-NIGHTLY		8e6a73564095e6f53cc4465094ef137010b46a06
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191204-5a695a5-NIGHTLY		f5952be8962e446cbea98c4c8069588fcff08a9e
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191205-0a33ad3-NIGHTLY		940dfe2de2918ec8f295b58209edf0c06a8acbd8
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191206-d3a2d61-NIGHTLY		5e820e3f1377fe5e4ba6c935ff979d5724f8037e
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191208-122d759-NIGHTLY		3006008c6cadaf694ce7a059029f83033ec69014
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191209-0e761ea-NIGHTLY		24b00386db418b47c0af250936c20dafd168a26d
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191211-731ee3c-NIGHTLY		4d7f37b1d29cf099de6005e882bb38f3fc273a02
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191211-9bad8bc-NIGHTLY		6862cec1efea0fd0171a60c87db73420649b4920
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191212-debe978-NIGHTLY		c411c0d4c3f311f972abad1d0c5cb684d71e146d
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191213-3130729-NIGHTLY		8cf557774f679cf10525dace453bdcc7a82f6bba
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191215-2d2d3c0-NIGHTLY		00f2c9681207d38d37b60e6d5f11bb9592e489a9
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191216-2828fcf-NIGHTLY		93192a72bbfeb26e62c640029fae889b188fb3c6
ch.epfl.lamp	scala-compiler	0.21.0-bin-20191217-fa9a48e-NIGHTLY		95f59b2594255c0821d0cf6cedbd9c38384fe528
ch.epfl.lamp	scala-compiler	0.22.0		393c551c02cc26d17e23fbc24de49bf237807327
ch.epfl.lamp	scala-compiler	0.22.0-RC1		c80888b51b9c955d5efadebf57a815b1e3421e01
ch.epfl.lamp	scala-compiler	0.22.0-bin-20191218-35fbb34-NIGHTLY		b84ea4ebd82d32fe2907faf03608f3cbccf01a28
ch.epfl.lamp	scala-compiler	0.22.0-bin-20191219-394217e-NIGHTLY		37796df6190bca937458ddc98aceea72b4f7d196
ch.epfl.lamp	scala-compiler	0.22.0-bin-20191220-d45fea0-NIGHTLY		28582be04f07a41161c14be6be6440b179639d7e
ch.epfl.lamp	scala-compiler	0.22.0-bin-20191222-77ec689-NIGHTLY		09d62fcd4af53a4bdf1cd61a061cf205f3a44dfc
ch.epfl.lamp	scala-compiler	0.22.0-bin-20191225-2e3fbfd-NIGHTLY		5c86d6fd10e24c2ad9bfaa2aafb1c16037b4647e
ch.epfl.lamp	scala-compiler	0.22.0-bin-20191229-59152e9-NIGHTLY		323a4aae940777bbbb970840c37c1ce6868abf8b
ch.epfl.lamp	scala-compiler	0.22.0-bin-20191231-54a54d2-NIGHTLY		759ead430efc8612305993704c2df1e637da3b88
ch.epfl.lamp	scala-compiler	0.22.0-bin-20200101-283b095-NIGHTLY		078581850d435800774334d59cc4aad9e31a1432
ch.epfl.lamp	scala-compiler	0.22.0-bin-20200104-4b6d693-NIGHTLY		eed4650ee531d0a139478bc6e511f4abb694ec38
ch.epfl.lamp	scala-compiler	0.22.0-bin-20200105-255a538-NIGHTLY		b3b3192f4cd2517b76490f282cbf3f73e83e1a20
ch.epfl.lamp	scala-compiler	0.22.0-bin-20200106-47b62c1-NIGHTLY		53ab29e64889e3fa0dc063317aebca02c031e2ac
ch.epfl.lamp	scala-compiler	0.22.0-bin-20200107-21a5608-NIGHTLY		7eff969055931f2d16aa643ba9885561d1c4c460
ch.epfl.lamp	scala-compiler	0.22.0-bin-20200110-842e4c4-NIGHTLY		63312cc59faba5f392b0f656e6867ad07ffc74a1
ch.epfl.lamp	scala-compiler	0.22.0-bin-20200113-0f0d25c-NIGHTLY		c40bcae86eb1f3d81a36d1361f44e27cfe5e7ff6
ch.epfl.lamp	scala-compiler	0.22.0-bin-20200114-193f7de-NIGHTLY		81696bd552f83c0d51969f8be22a4c198be736b7
ch.epfl.lamp	scala-compiler	0.22.0-bin-20200115-83ab6c7-NIGHTLY		c100500745454041bda64086d708e996015fcd59
ch.epfl.lamp	scala-compiler	0.22.0-bin-20200116-9ab1842-NIGHTLY		2330b02a0146faae47b55539d5e87cccdff6645e
ch.epfl.lamp	scala-compiler	0.22.0-bin-20200118-754a552-NIGHTLY		632cc23bdd293904070c3e27b6c9ff4e10c1d498
ch.epfl.lamp	scala-compiler	0.22.0-bin-20200120-90a6448-NIGHTLY		a74afd07a0260f96603fc9b4266feda43d3045ff
ch.epfl.lamp	scala-compiler	0.22.0-bin-20200121-54ab00e-NIGHTLY		1941360df36ba36383c1fa7c842ddb55623ad24a
ch.epfl.lamp	scala-compiler	0.22.0-bin-20200122-5a86c1f-NIGHTLY		caa25c52e4a5f97da56ffb50c4f702651b9db46d
ch.epfl.lamp	scala-compiler	0.22.0-bin-20200123-9982f0d-NIGHTLY		0a2207c119462fa20432b2b9282de52eb4f68c63
ch.epfl.lamp	scala-compiler	0.22.0-bin-20200124-c4f6fee-NIGHTLY		c9a99d71967ed4b5aa49b09a4d1e1c9e9ddd8b69
ch.epfl.lamp	scala-compiler	0.22.0-bin-20200125-c8371e4-NIGHTLY		e0cbb6e6ff258d6b574936d0629ec2d8d7886273
ch.epfl.lamp	scala-compiler	0.22.0-bin-20200127-f00fa72-NIGHTLY		f1f680377a8020ce31b70af06e811df01468c187
ch.epfl.lamp	scala-compiler	0.22.0-bin-20200128-e7a0f80-NIGHTLY		1995b54119dc765e7047f8c3e77bc97eec581df8
ch.epfl.lamp	scala-compiler	0.22.0-bin-20200129-c1612fa-NIGHTLY		0d70c2d27c1c9094bd3780333b268b9be3e7a25e
ch.epfl.lamp	scala-compiler	0.22.0-bin-20200201-c4c847f-NIGHTLY		9a0cc0c9d09c517264ebc3f1ffc40f37095d835f
ch.epfl.lamp	scala-compiler	0.22.0-bin-20200202-c2478a3-NIGHTLY		5385b08c301285f05ff3590defe1b715833514a2
ch.epfl.lamp	scala-compiler	0.23.0		d99b72c6f583642d46bf7b1cf9bd9bbf66cb139f
ch.epfl.lamp	scala-compiler	0.23.0-RC1		f316651ab1c85180417243af14ceb59d11f27f20
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200203-2ced64f-NIGHTLY		0e4e8d428b07ece10cfe0f9aa8b98090f6bce153
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200204-46aec62-NIGHTLY		698b8d876ede8bc19cf7321e3b36983882e57366
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200205-3f919dd-NIGHTLY		e8c62c6a0a856897f9ddffec37e206553b75e61e
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200206-4d2ef01-NIGHTLY		119e23a572cc178a96f8c767039d2bde839b449e
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200207-5674066-NIGHTLY		217f45140cb76f52b75d63b748931e6fa7822909
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200208-ce39ddb-NIGHTLY		bf3f7a52ca87ae3ea43f6a1cd46521498e1b23f3
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200209-25cdd9e-NIGHTLY		919aa84a102610c3997a39d1770f9bed4303bc71
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200210-0dc07b0-NIGHTLY		c20dc1aa3326bb6bf0cbd7ddec704a94727974c6
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200211-5b006fb-NIGHTLY		53246d848aa1afff94e0b7e4b35ef3b4ed20296f
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200212-0aaa769-NIGHTLY		befb6462d009ca486df58c83f8430f9a6574f4a0
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200213-26de50a-NIGHTLY		18b67aa4c6c133fef4070b58c823930f82b8a7b8
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200214-5374d91-NIGHTLY		d0d63992f83d5f9ea4d064c6a5a2930749d6bbce
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200216-b4e037c-NIGHTLY		af1bcf48e61f21220f5be9dadb4d35f8062c75d8
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200217-e8fa408-NIGHTLY		b06fd3d7d85ba307e9fff67331beb25fbe00c635
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200218-98103a2-NIGHTLY		ed634c6c3221e4943f7a20e85dbcbdac6f708daf
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200219-dd7b841-NIGHTLY		17d503adbdce1a721e5e8475993cd027399c41b3
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200220-228e593-NIGHTLY		a56d8cfe0e760f6b2d7da18ea80124d9e53a69a3
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200222-811dc19-NIGHTLY		0f86ccdc2945d7a9c30e4c9a48287c35b1f61c95
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200224-3e68e93-NIGHTLY		1d6d32adbbf8869e2cba4423b1e357804806ab46
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200225-04d5068-NIGHTLY		27883b7ba247d87bb0d4da7e0fbdd2ee2519757f
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200226-1955f75-NIGHTLY		37a6363e5c070ceae80dc3a322ffbe94b2a668c2
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200227-63343d2-NIGHTLY		f0c776a5148d4767352a6d8deab7aa64707d01e5
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200228-d37a543-NIGHTLY		0bc34ad1b4f1455f2176400dce135698f4a97164
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200229-58a5620-NIGHTLY		f332df22689a6f1d71bec9700a344e04ccecc076
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200301-d989caf-NIGHTLY		1078ab4dea71a6e8727ee62571116a59e0e3c62f
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200302-f6e057c-NIGHTLY		525a3d5304fb27d4cd7b8367534ae0c39a2a1777
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200303-df0bb24-NIGHTLY		12092dcce2c2e1446ec4f67dcf0b3cca4fca8b5a
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200304-16c30fb-NIGHTLY		cf42798a22e57dbf213eb5169682e240d29e146b
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200305-84f2e41-NIGHTLY		6c5c4044368e18922054a14ef6056b8837673e5c
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200312-b64b8a9-NIGHTLY		435b6cdb772a41318179ad80aaacee4acb6db4d0
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200313-ea27651-NIGHTLY		b575226c870bd1fd0d99b05912dedd110c5bb4d0
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200314-b08d746-NIGHTLY		d1670f960d9e8dfd02eb70628607772766a56bcc
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200315-adc44da-NIGHTLY		f0fbda73852c08221ac5aaefde00095b753559e0
ch.epfl.lamp	scala-compiler	0.23.0-bin-20200316-6948038-NIGHTLY		fd0944989e7838e34fa3ad4a6db6140120165f16
ch.epfl.lamp	scala-compiler	0.24.0		5997ba31cb12bcccf2ecbb02f79fcb033f129cb0
ch.epfl.lamp	scala-compiler	0.24.0-RC1		179402730a87a1196ad10c1d9a364da199f7877e
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200318-7a4f8ad-NIGHTLY		d66308b525e847cbd2ffa18e4f27900bc84eac88
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200318-d9df0a2-NIGHTLY		78cd26bf3e53cefc2f3871027c5ae575d311c0ff
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200319-97c3a1e-NIGHTLY		3b9ca7a9a135ecb5c8705d9911925754ddbe1578
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200320-30f8c6f-NIGHTLY		29b7e53ae2799af02a9fbd142b96c931f745b4a5
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200321-4df9b6f-NIGHTLY		5edaeed740e04998e17113f43e3cb51641a76e56
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200322-42932dc-NIGHTLY		ddbd29ef8ce0b5a2c585302e5c9686d17eb3597b
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200323-16b74d8-NIGHTLY		9c9179e018b3d2ce288a1ac3cabf83cc0f0af75e
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200324-6cd3a9d-NIGHTLY		808736aff541ab3cc74e4101b9235d354141923a
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200325-37eec14-NIGHTLY		8fd50de9ec7ed9185f26a7081092e9d3adff9460
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200326-a324502-NIGHTLY		98675f4aea762c1396d6e717d96492897a4c5f40
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200327-64d6536-NIGHTLY		9bb20bf1ec25a04f397f1e5ef4411019eb4d0b63
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200328-3d17b02-NIGHTLY		2a0b31cdef3abcfff307e29364703266a782df61
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200329-2dfb359-NIGHTLY		6a11e5972a6bbf2977b8bb7af704c251bdf568f8
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200330-3eafc18-NIGHTLY		763c05ad22af0ba76bc517dfe627a4203b21c7e1
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200331-7a28eef-NIGHTLY		29df4d55832078325063d5ce86f8cb72b5cea340
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200401-0bd0fcf-NIGHTLY		d33d28733b8ddaee58cf7fa5050aefcfb300daeb
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200402-3e888f2-NIGHTLY		8ab5b229c6902ac76694b9969ff9857669ca906c
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200403-2c3212b-NIGHTLY		290a4a987c6ed40e25e64cf0c99f78272220f7e6
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200404-3d26c53-NIGHTLY		3db31bcbd9d5ed666fd2bd0ea1e64881e8fbe943
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200405-060a3ec-NIGHTLY		65ae6361b18db1f91d0690f5781ec0223ee6a19d
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200406-eff5496-NIGHTLY		e554a7495a0a2dcdfc9f5a699eba489f799f0b9d
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200407-2352d90-NIGHTLY		0342ed057d52d417d0e7b2390d9787b9b1f37f4d
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200408-4cc224b-NIGHTLY		693b95d369ce834365d00159d1fc0bbfa6403d1d
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200409-f64e879-NIGHTLY		b85cea0c59bf8b3108356d00875490b05bf3449f
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200410-85ab20f-NIGHTLY		5ce5bd0694864dfb67ea47daaaca7a5b412b72bb
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200412-bd1fff2-NIGHTLY		797f6028d90933d68fdf041053e15237cf77ee91
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200416-979d097-NIGHTLY		b683d6d993bcb48566b54c8fb53f3b7b956691f7
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200417-8884ec0-NIGHTLY		e413526fc3c3f3f1a9650f9ef245a9fa46842035
ch.epfl.lamp	scala-compiler	0.24.0-bin-20200418-06a118e-NIGHTLY		2d90423c6da3d600bad4d0d7fa894e9fd452b248
