ai.ancf.lmos	lmos-router-hybrid	0.1.0		aad2c8da54715d500e01f0f7d84e3bb51567a473
com.tairanchina.csp.dew	auth	1.5.0-RC		3ae8c75f42ad5012bd5b7d7b2618504e818ff853
com.tairanchina.csp.dew	auth	1.5.1-RC		47a494de3869202c1ef454678539e70e2b588be6
com.telenav.cactus	cactus-build-metadata	0.9.6-alpha		96864976d62ff18ed78a03622f05bd2501a21877
com.telenav.cactus	cactus-build-metadata	0.9.8-beta		7ebb38ee6fd00817dabf8126144f316bb9082a61
com.telenav.cactus	cactus-build-metadata	1.0.0		49d41c15b780c4a1e1e0cbf117c6441b4d906fc3
com.telenav.cactus	cactus-build-metadata	1.1.0		4044eabef55f7f70ddcd89ae281d2716f0342a2e
com.telenav.cactus	cactus-build-metadata	1.1.2		13b60b578c706481c3da9fc41efe5c6dd12242c9
com.telenav.cactus	cactus-build-metadata	1.2.0		3897c26cdcec7d56ef70acb1c59977431946b3b8
com.telenav.cactus	cactus-build-metadata	1.2.1		aea018e307d6d9a0c41bc1c7a516dd264a02f4a6
com.telenav.cactus	cactus-build-metadata	1.2.2		6876acfe70d0f56c61c7f8cbf8e596788dd1b4b2
com.telenav.cactus	cactus-build-metadata	1.3.0		0ae75b7bca4a65df6a7654f48e51328fbc5b93af
com.telenav.cactus	cactus-build-metadata	1.4.0		9e73cbe75ba2f43ae81dd6cef22ae5ff5deaec66
com.telenav.cactus	cactus-build-metadata	1.4.2		71362ac9326388a8192d21f3c2e92ee93fea1341
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+100-38b74dc3		eee311fba196bb9e764cd36fd4a43c4510c0d911
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+101-85aeeb43		ba6ebf23ec6d7050dcb1564feaa5629eb406a129
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+102-2bb95c14		b4114bafee45a2a71a4925b9e73238946df9d1c8
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+106-7592a007		3722c884571bb33d3c16cf3ca00de8c4b6e85dda
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+107-493bf9db		61aec3bbd368b061571b109b00cab242c3963a42
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+108-80f06196		a560d78f0774254e3226901f6556305124148455
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+152-3bb2a06d		19d6750cd82115f1f813fdbbbed8f4f4e61b04ed
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+153-ef1fcf88		a3773b3f2c7082cda08fc0f9b54d8549eefb301f
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+156-6e0caf53		decb8969554707608bdc54dba3f867634f6dec6e
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+157-eaf3f8cd		b6736246ec970b93d8c63b071ec453de03efc28b
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+158-7a50897d		1465ad5eb4650e07bf311848d1a887a63a1808e1
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+159-3a4afd9d		1e45e6a5838c08bd3566aa6c0d7a86866fd73269
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+160-df07f445		b38bd4a1f6ef30fcb4637e0fef2601976ea65b95
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+161-7a053ead		e9e665ef921b170db86d2787ca291b21fc59d940
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+167-da0deecb		8a23aaef14c9e663c45d4b1a3d8f2999b7bee6b8
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+168-7689f74e		741fd3f10e22bcbb9b7a0df4ad5d4793ea3a55c4
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+169-06da4042		c468df9e88d9a85d4258caa145574e761e0d64b1
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+172-cbfd198d		358bd57bb22a80f0875abf4562f29937b9ca5dd7
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+193-ad33c646		284fc4946296608a8c10886dca639e2ab6ad387f
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+195-57ba15b8		3b2086ce902243e5b2eeaae0cf4ff9fb023f610a
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+197-aad220b3		1c0c49d781d69b97568e8e937cfbcc32d70ca0b5
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+67-c054d010		62fac1598089c3ee2ee9b87b036cc373c6ca2e93
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+68-cc256309		0c0f7565ef55b2457f304d4e61b948a2a92ba1a7
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+70-7c89fec9		44decee0783da16eb3089252690b8b7cda21df4a
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+71-7aa6913a		c16d6f79ba95b59ed9b820bae016eef7dac9cc46
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+88-3de4b456		982051fce3a7803da8987d8962dbe2dbd4b6a687
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+88-4d22a7d9		7398af3be6c207310c8c7dc4ee05c7070817162d
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+89-2be76477		d0c64f9449af3d6218c8e461d115504b00d92245
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+91-690ca51c		d2f61d9cd47e5d09763ec3404456763bb30eb2b6
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+92-911a08aa		08ba6f714768cea35b498f68b3b087f651a5d224
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+93-283b8425		c4bcbfca322e1286eb20208efc3f7ed6d543cc7e
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+96-5a3533bb		5bfebe04d5ff9aef5946e44cce36447119389fbb
com.thoughtworks.binding	defaultfuture_sjs1_3	13.0.0-M0+99-185f259a		66647f22db271ae7589b78c289de72f075feffe5
com.xzixi	sftp-client-spring-boot-starter	2.0.0		b1f3a9678e4dbb24c14366ec172ced081b6251fe
com.xzixi	sftp-client-spring-boot-starter	2.1.0		849ba4e2010102f73bed44359790b2bd7809c669
com.xzixi	sftp-client-spring-boot-starter	2.1.1		e27ed16699fb1bfc7b9ae73bd2c6de5cfd0ca000
com.xzixi	sftp-client-spring-boot-starter	2.1.2		b5b4db5762863c92489a97e82b5bc3ca10ec225e
com.xzixi	sftp-client-spring-boot-starter	2.1.3		442193ef79abb8ef4b54bf895558ff61fdce9c4c
de.fraunhofer.iosb.ilt	FROST-Client-Dynamic	2.0		d4cba5b388fb5269f03beb247a78f50f934efda8
de.fraunhofer.iosb.ilt	FROST-Client-Dynamic	2.1		9e2e26dee420b33c66182f94c53b934ee8143375
de.fraunhofer.iosb.ilt	FROST-Client-Dynamic	2.10		1181ed3580ab48db1641b265ae05723e6f431b0e
de.fraunhofer.iosb.ilt	FROST-Client-Dynamic	2.11		e326a70f1dd8d81ed7122f4007a242bc259be0fc
de.fraunhofer.iosb.ilt	FROST-Client-Dynamic	2.12		4032bd3ac64f635201053db6fb20198da1f01308
de.fraunhofer.iosb.ilt	FROST-Client-Dynamic	2.13		0bc2c1c53f4b35488536e34e24cd9cadc016ca13
de.fraunhofer.iosb.ilt	FROST-Client-Dynamic	2.14		eb491450f2670ae9b9fa7f8a4b49062b54372288
de.fraunhofer.iosb.ilt	FROST-Client-Dynamic	2.15		4cd96b5f014b043ee56569881a471a23aedd07c7
de.fraunhofer.iosb.ilt	FROST-Client-Dynamic	2.16		a7c133dd297320baa308884b0ac4f9a6c199eca3
de.fraunhofer.iosb.ilt	FROST-Client-Dynamic	2.17		68e69148cf0dcb69829888c47bda7fa0c5695db9
de.fraunhofer.iosb.ilt	FROST-Client-Dynamic	2.18		c29ffc2d83ff2d8f9eb03b1a2f9f5fee35b27ad3
de.fraunhofer.iosb.ilt	FROST-Client-Dynamic	2.19		561488db4450408ac631148aa99c1866240d53b8
de.fraunhofer.iosb.ilt	FROST-Client-Dynamic	2.2		eb1364ced679bc0f314d7adc30525645243506ea
de.fraunhofer.iosb.ilt	FROST-Client-Dynamic	2.20		d572101e06cc71ca224486ee5e145c402ae65046
de.fraunhofer.iosb.ilt	FROST-Client-Dynamic	2.21		4d46e72a36a959f12b47840958b24c5e3d5b05db
de.fraunhofer.iosb.ilt	FROST-Client-Dynamic	2.22		c9a82134c794402f6f8402d6ee0c384edc6225d1
de.fraunhofer.iosb.ilt	FROST-Client-Dynamic	2.23		47c7a01426adbdc4b04dd84b6711e70e2ed8e25c
de.fraunhofer.iosb.ilt	FROST-Client-Dynamic	2.24		a10f5f20bb8d91c28a2b5d1f64723883aebdf8d4
de.fraunhofer.iosb.ilt	FROST-Client-Dynamic	2.25		5f81caf533ca18820d455871fc9e99bb4f66fb81
de.fraunhofer.iosb.ilt	FROST-Client-Dynamic	2.26		72ebdb620a98c9b488d96be52b755ca12a4714ab
de.fraunhofer.iosb.ilt	FROST-Client-Dynamic	2.27		b211363a29390e08b3ac250f351e77119d33c811
de.fraunhofer.iosb.ilt	FROST-Client-Dynamic	2.3		892456edbc9f16cf377edc61b650f6957278d48c
de.fraunhofer.iosb.ilt	FROST-Client-Dynamic	2.4		a894bf54d681681512d3763db02a6f522c6e5b85
de.fraunhofer.iosb.ilt	FROST-Client-Dynamic	2.5		73bb04c1c9c1882ebff5a1a4890ec420e5e43644
de.fraunhofer.iosb.ilt	FROST-Client-Dynamic	2.6		ef990b6eab3661e0d0679fbd2827ea5fee698a3b
de.fraunhofer.iosb.ilt	FROST-Client-Dynamic	2.7		912aa14762819e2510bc8a01e94a1ba921f7fb20
de.fraunhofer.iosb.ilt	FROST-Client-Dynamic	2.8		9fea1532de3991aeb3e975660a3145a5ef396403
de.fraunhofer.iosb.ilt	FROST-Client-Dynamic	2.9		679eb29cea986dbedca53b3e5e77fa5ba330e91e
de.kempmobil.ktor.mqtt	mqtt-client-iosarm64	0.5.0		N/A
de.kempmobil.ktor.mqtt	mqtt-client-iosarm64	0.5.0	metadata	7876b731667cf908fc9a672cacf001330a741ef8
de.kempmobil.ktor.mqtt	mqtt-client-iosarm64	0.5.1		N/A
de.kempmobil.ktor.mqtt	mqtt-client-iosarm64	0.5.1	metadata	c8d945aca52063dc60c6c267db49b51cff8b3874
de.kempmobil.ktor.mqtt	mqtt-client-iosarm64	0.6.0		N/A
de.kempmobil.ktor.mqtt	mqtt-client-iosarm64	0.6.0	metadata	e68a3d7f3b114ca1ffd2d8ab9dfac27a2f1e92a4
dev.holt	java-time-literals_sjs1_2.12	1.0.0		1cd05932f2c3d4f7ef245607221190af949e18fd
dev.holt	java-time-literals_sjs1_2.12	1.0.0-RC2		128c54be21515e83890b9e89c77c3a7d334cbfcb
dev.holt	java-time-literals_sjs1_2.12	1.1.0		e300451d23db0b8216409a00d1aecdc0cd3d3bf2
dev.holt	java-time-literals_sjs1_2.12	1.1.1		eb0398f68e652e3ebccac1ed53de14e32eefc7da
dev.zacsweers.anvil	annotations-optional-iossimulatorarm64	0.4.0		N/A
dev.zacsweers.anvil	annotations-optional-iossimulatorarm64	0.4.0	metadata	8262afaa7b8e589fd9feb518c493e42fd585f6c5
dev.zacsweers.anvil	annotations-optional-iossimulatorarm64	0.4.1		N/A
dev.zacsweers.anvil	annotations-optional-iossimulatorarm64	0.4.1	metadata	6d9ad26967a0b2754d29e3707960df5e93c2cfa0
int.esa.ccsds.mo	REACTOR_LIBS	8.0		N/A
int.esa.ccsds.mo	REACTOR_LIBS	8.1		N/A
int.esa.ccsds.mo	REACTOR_LIBS	8.2		N/A
io.bootique.logback	bootique-logback	0.11		c6c288b526acc5bd06af515e74fd71b252b22911
io.bootique.logback	bootique-logback	0.12		e415b8ec1867eee0abc2251463b80a5a5680eec9
io.bootique.logback	bootique-logback	0.13		1bbd7f100825ba79dd51eab4ff6bf6f54e15edf3
io.bootique.logback	bootique-logback	0.14		4a802b2bb42c40eb3d215ac8e5b48cbaa6560722
io.bootique.logback	bootique-logback	0.15		8a86824b8b77f87d05fd6ba6817f6423fdb6b546
io.bootique.logback	bootique-logback	0.24		a2edea63c4969b27329828168a31f143abac4239
io.bootique.logback	bootique-logback	0.25		cc570e68290416a29b22683b275323b176ef72f6
io.bootique.logback	bootique-logback	1.0		c4093d26846dc99e648ac1f3646a1d7cf6b15ad3
io.bootique.logback	bootique-logback	1.0.RC1		7e3d5139ed3f6b750cecde4549ab8b723f2ca906
io.bootique.logback	bootique-logback	1.1		99408e2823ec0853ce2082afbae7c4d6caa932a3
io.bootique.logback	bootique-logback	1.2		07ce68165c88390ca064a3146789961574172ae6
io.bootique.logback	bootique-logback	1.3		738e9ea9dd02a77138a77bfef0b12be700dbd334
io.bootique.logback	bootique-logback	2.0		90915b1ca40e661176bcfdd47d6c50d0de3af978
io.bootique.logback	bootique-logback	2.0.1		5a6a0df1c8230cec034dfefa421be03771ee3ba8
io.bootique.logback	bootique-logback	2.0.B1		2cd86ab59ad566c174c4fe573f6920ed20841759
io.bootique.logback	bootique-logback	2.0.M1		5e7d085aa89b2b6dc3c09769bacc3d86a149384d
io.bootique.logback	bootique-logback	2.0.RC1		42bc83b961022773f854de7524d7aa952349f034
io.bootique.logback	bootique-logback	3.0-M3		bd95e1f6b2a86d0ede8383d081efafc17c3dd10f
io.bootique.logback	bootique-logback	3.0-M4		8f756171eb170df2bf35b33900af9edefbe8ebc2
io.bootique.logback	bootique-logback	3.0-M5		18b4a4f2f5fd05b1ab6b6ec0d8867527bc6cab5f
io.bootique.logback	bootique-logback	3.0-M6		c2144f5f175644b093642146dfffea71713a242b
io.bootique.logback	bootique-logback	3.0-RC1		cbca0ed219523cf9daa24d75afca7c06f15511ea
io.bootique.logback	bootique-logback	3.0.M1		823cdfb2e44cf67c91b7d9689fc0b92314e4d2e3
io.bootique.logback	bootique-logback	3.0.M2		9950a1bab8502725cd530ac60b73a19c9b208bf8
io.fabric8.archetypes	karaf-beginner-camel-errorhandler-archetype	2.0.27		1ebbee95426a89257f165549ff1a5fa53f8ab8ae
io.fabric8.archetypes	karaf-beginner-camel-errorhandler-archetype	2.0.28		b09827c2541805c1458c6a4458bf7bc2513e31c8
io.fabric8.archetypes	karaf-beginner-camel-errorhandler-archetype	2.0.28.1		3e90e40d4322d740ba3809a91d82758017887352
io.fabric8.archetypes	karaf-beginner-camel-errorhandler-archetype	2.0.29		903a5b3e639ab2d1e49ac09e896650a308754e66
io.fabric8.archetypes	karaf-beginner-camel-errorhandler-archetype	2.0.30		8062fb0e231b5307d9d55110f812deea61b26bd8
io.fabric8.archetypes	karaf-beginner-camel-errorhandler-archetype	2.0.31		476bb2d9025eb8b16fad215127125bc97bf2bab4
io.fabric8.archetypes	karaf-beginner-camel-errorhandler-archetype	2.0.32		562894b1948bacfd9d61bac179c8be83d2b44a3e
io.fabric8.archetypes	karaf-beginner-camel-errorhandler-archetype	2.0.33		ce3c4c4bf6881c023cf9f1d01e351f24b37f9ecd
io.fabric8.archetypes	karaf-beginner-camel-errorhandler-archetype	2.0.33.1		98e209293fd44998963c19522025011ee12b5b43
io.fabric8.archetypes	karaf-beginner-camel-errorhandler-archetype	2.0.34		979a94da203ae3ab63faeb118810bed0b2424d4c
io.fabric8.archetypes	karaf-beginner-camel-errorhandler-archetype	2.0.35		60a5f6c2e5245254e2ec1eb98ab108c276040383
io.fabric8.archetypes	karaf-beginner-camel-errorhandler-archetype	2.0.36		e7aac062cc6869f681372ed3bfdff2b921f22a1c
io.fabric8.archetypes	karaf-beginner-camel-errorhandler-archetype	2.0.37		ac8fed8f1aea124ce288a9c1955efb464656e2a0
io.fabric8.archetypes	karaf-beginner-camel-errorhandler-archetype	2.0.38		cb11d031c2f47cd47cda863ca43b677f7aa978e1
io.fabric8.archetypes	karaf-beginner-camel-errorhandler-archetype	2.0.39		fe2506d8c0efe3ac8c3aa1e282ac08ad82fe12c2
io.fabric8.archetypes	karaf-beginner-camel-errorhandler-archetype	2.0.40		d6a0822d29d5b9226714cda86d0c064b124dacbc
io.fabric8.archetypes	karaf-beginner-camel-errorhandler-archetype	2.0.40.1		0f99a1a8b261d1e3bb255196c6095a5c6ff9f9f8
io.fabric8.archetypes	karaf-beginner-camel-errorhandler-archetype	2.0.41		422300406e843c650c5033ace76f5f9ebcc1585f
io.fabric8.archetypes	karaf-beginner-camel-errorhandler-archetype	2.0.42		7e808ac425b16db49f39005e5ddbe7c5473a8a40
io.fabric8.archetypes	karaf-beginner-camel-errorhandler-archetype	2.0.43		72e4c353303602183c965f1d443a50fba5bab132
io.fabric8.archetypes	karaf-beginner-camel-errorhandler-archetype	2.0.44		feee59d8825698d3e232dd2db0a3c96b223ffc8a
io.fabric8.archetypes	karaf-beginner-camel-errorhandler-archetype	2.0.46		8284a8b8008e2c11433e637b5859186f5c3755f7
io.fabric8.archetypes	karaf-beginner-camel-errorhandler-archetype	2.0.47		9beb001e24438da0a17e10526e43de4fc07321c0
io.fabric8.archetypes	karaf-beginner-camel-errorhandler-archetype	2.1.1		7759ad82165a38ad4ff1b7815f8053d6f6e9aca8
io.github.ajacquierbret	kotlinphoenix-android-debug	1.0.0		N/A
io.github.ajacquierbret	kotlinphoenix-android-debug	1.0.1		N/A
io.github.ajacquierbret	kotlinphoenix-android-debug	1.0.2		N/A
io.github.andreypfau	kotlinx-crypto-poly1305-iosx64	0.0.3		N/A
io.github.andreypfau	kotlinx-crypto-poly1305-iosx64	0.0.3	metadata	2925052a934b4fe9834a4283b861344aaad9a962
io.github.andreypfau	kotlinx-crypto-poly1305-iosx64	0.0.4		N/A
io.github.andreypfau	kotlinx-crypto-poly1305-iosx64	0.0.4	metadata	330028fa3d51bf36792e3e724144b41805c7f569
io.github.cdklabs.cdk_cloudformation	github-organizations-membership	1.0.0-alpha.5		700a9f97b9e0207cc619bf1db50a02566c0ad73c
io.github.cdklabs.cdk_cloudformation	github-organizations-membership	1.0.0-alpha.6		60ceadd51619b9d32354f8117b39faae8d948d53
io.github.cdklabs.cdk_cloudformation	github-organizations-membership	1.0.0-alpha.7		c61855787dc6addaecdc852b21e889446fb88bdc
io.github.cdklabs.cdk_cloudformation	github-organizations-membership	1.1.0-alpha.7		28315b89a322bf8f479b342daf48e2491168a8cc
io.github.cdklabs.cdk_cloudformation	github-organizations-membership	1.3.0-alpha.7		11b8bfccbbe59eae1228e99112b21fe3a8d951f4
io.github.davidgregory084	vertices-web-api-contract_2.13	0.1.0		13cd5bd3eccd4f1811d0fd7216fc55ae2ea20188
io.github.davidgregory084	vertices-web-api-contract_2.13	0.1.1		cb47021054761a0c63a0039f37e6ba256bec5a56
io.github.davidgregory084	vertices-web-api-contract_2.13	0.1.2		c6900382d45c22008fab83520a7a743061d211ee
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.1.1		9e901384d360bb42e35902b73025dcb445466317
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.1.2		39558f720960dbd109fa3572302217b9b97fbfb3
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.1.3		b1bf0f75c11c8f2f0944d26bca5cb34d5c35ef42
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.1.4		91cdfa4127c4f46a4fd6b89ec85f715e062a22a1
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.1.5		987ad3ad858a1891a80b22163441cbe1546b13dc
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.1.6		64afbb18c129143e56ab32bec6f7f3d4132732b2
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.2.0		82f697c32ab537d6e514be6ba1024a5eba842fef
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.3.0		1f890ae11f7623e10d113af802b4b447526d21a8
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.3.1		5ea333903fd9d20ecc4b74573bd5b2ad2c9989f7
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.4.0		45b76f279f39d19a1a60d124dffa69da313f6f61
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.4.1		f0c30531a1cfe74aa805701bf8dee116b6dc8e30
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.4.2		9163528d76eed36c5c37242218522fc1d90e44b4
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.4.3		390086ee2a5f0dbfbbf6c07bd39de9538fe40285
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.4.4		4264687378599f2fa0dc7b4ca53c845270c86823
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.5.0		0756b4f5ceeb6bf1039761ae6cc50eb853478d53
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.5.1		eba0bdd9665cf0ad878c46ebb399775a212b86b5
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.5.2		adc3dcecb1462a9d8e2192d73f7e8d506ff1898b
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.6.0		25517dfc4f63ca6a5cb35c4fb10c04cb5fe4160d
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.6.1		e9ee1015084642c08adfa7c81873bd27d9467d73
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.6.2		d7cfee5df28fb3657c9dd619dceef13c511d4498
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.7.0		3f11703e347ed227d6d7a6dfee55517a97fe71ee
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.7.1		65e8dd82f4a9bc56ef7bb854f87956fbaf5e2e93
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.7.2		bd56278c91560dab2badc84a1f95cf2333a38c4d
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.8.0		aed97875ba7daac0cbafd049232a1a6ff6606c51
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.8.1		bcb9c280cc6096033edea86a4335305e571ec162
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.8.2		1a450b84b570f71a835b4bc00e2b9cd918a8f397
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.8.3		4c64bc345ba777d8f32ebad963d24d711473a427
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.8.4		e55ad070d5cff8b5dbbc5d1f8aca984bcd7c0646
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.8.5		956f06edaeec1ba6f3d7cac05516d3ff30d96ceb
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.8.6		5b55e598b66b43209b45e38be3ecbb8e6815be4d
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.8.7		8d85d83921d4ea9f171bf4a617223f16125c0f46
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.8.8		de1e64527da285923613d01234cb6242f31b227b
io.github.fun-stack	fun-stack-web_sjs1_2.13	0.8.9		f30b43c88c49c5c7f0ccc5154cf9d046b6e48b62
io.github.kitlangton	neotype-tapir_3	0.0.7		72b9c96f2f18a6dfed88879dc6a52cb37a8ad936
io.github.kitlangton	neotype-tapir_3	0.0.8		25f46d0ac094781733538a956b9512f490dc5224
io.github.kitlangton	neotype-tapir_3	0.0.9		2ed06b5c42e11f2e2c6c06d3cd6426c1b429e770
io.github.kitlangton	neotype-tapir_3	0.1.3		476a33920ee8930aae8d4e3ee0c1601445bc7b17
io.github.kitlangton	neotype-tapir_3	0.1.4		fb5c939520112aec63247deb72ec3fc4939c29f9
io.github.kitlangton	neotype-tapir_3	0.1.5		35a73d2e35a1909af9b4a7f076a6e69ffafaeed0
io.github.kitlangton	neotype-tapir_3	0.1.6		e533e1574711c5ec6e3197e99e81da9302711e3c
io.github.kitlangton	neotype-tapir_3	0.1.7		c2640c3b630e6cf7e59fa184eff087010cb4d0b3
io.github.kitlangton	neotype-tapir_3	0.2.0		1a1aeac386f1adf326a31e2b0b288574a8f55698
io.github.kitlangton	neotype-tapir_3	0.2.1		57d3b9cedc4ff32c2f4208550b90d5d8d6e97db2
io.github.kitlangton	neotype-tapir_3	0.2.11		921716e07d4b2bcd45e714fa12a66dd64e4954e4
io.github.kitlangton	neotype-tapir_3	0.2.12		4ef6c416de0e4a974e62a026e43d8c47712a7920
io.github.kitlangton	neotype-tapir_3	0.2.13		bde42d1323dd9b63e26d1d62788f6c8e1ff43217
io.github.kitlangton	neotype-tapir_3	0.2.14		fd0306f288b7b190a5006a2bc0ef4f3b26f2eb88
io.github.kitlangton	neotype-tapir_3	0.2.15		ba4788aefe4fc70d43ed7af9389eb15905fcb3ea
io.github.kitlangton	neotype-tapir_3	0.2.16		7a7d4097a10db61d4bbbb1851ecfde8633ce9827
io.github.kitlangton	neotype-tapir_3	0.2.19		567814969f1abc25eaacbaf24245e17774fdebb1
io.github.kitlangton	neotype-tapir_3	0.2.2		dc50dfab112a7e4a696d3c09b86abcd7da505094
io.github.kitlangton	neotype-tapir_3	0.2.3		1bc3029c3b80e50527162f4ca1243d1c3fe48d80
io.github.kitlangton	neotype-tapir_3	0.2.4		1ec8ea4133491cd5f89270a3d725de8ee0943101
io.github.kitlangton	neotype-tapir_3	0.2.5		36b854026a64ecfe9ef9582b6dde9b9a5b0c8a6f
io.github.kitlangton	neotype-tapir_3	0.2.6		ccf70f50df0f55e7a0451c274b6e93c96f2d946d
io.github.kitlangton	neotype-tapir_3	0.3.0		b1ab51cb22b7b2706e19d3dfadd20444c9f9e92d
io.github.kitlangton	neotype-tapir_3	0.3.10		ac8f9050b85784e0f23fc6633a347c3a778a4728
io.github.kitlangton	neotype-tapir_3	0.3.11		6f84198c944e756cae68c15ddb383d85d0ae5063
io.github.kitlangton	neotype-tapir_3	0.3.13		345fc5f91f521602f6fa73324e85b62693db88da
io.github.kitlangton	neotype-tapir_3	0.3.14		ef604b3f9bf82822311b5d230da7c6f64224531e
io.github.kitlangton	neotype-tapir_3	0.3.15		2ada8a3c4afcd293e42e165303a25021fddaac7f
io.github.kitlangton	neotype-tapir_3	0.3.16		27764778fbe35d018358baf269c93bf918d905ab
io.github.kitlangton	neotype-tapir_3	0.3.17		d969ebfc5ae55e54e04136e61ed3e42e843fb1a8
io.github.kitlangton	neotype-tapir_3	0.3.18		657a62274dda73c7acfedbeecb8b9cda555ac817
io.github.kitlangton	neotype-tapir_3	0.3.19		01cdc101a14791ac39836b074d358bb4e619cbcb
io.github.kitlangton	neotype-tapir_3	0.3.20		38ff69133750bfa677fd87cee2a2d4cc33f979eb
io.github.kitlangton	neotype-tapir_3	0.3.21		de700b9403ffbe56e5cbc74c9cbf1351eaebda67
io.github.kitlangton	neotype-tapir_3	0.3.23		337fdff49f12241920aaff32350c721ce76fb13c
io.github.kitlangton	neotype-tapir_3	0.3.4		f2c194e76f983e9621f6228604e1b5513214ca95
io.github.kitlangton	neotype-tapir_3	0.3.5		9c0175ce2506000e45711c5ba134bc1929bb6b90
io.github.kitlangton	neotype-tapir_3	0.3.6		07ac908663c663afb3f9b78083a397370d12ddf1
io.github.kitlangton	neotype-tapir_3	0.3.7		2a3aa111a7b18f168c9f119c8e4ea902c0868037
io.github.kitlangton	neotype-tapir_3	0.3.8		a9e97c186ebb5263be82b5c2a7f548de32669620
io.github.kitlangton	neotype-tapir_3	0.3.9		58c5e8552056f895de25848adbdd560799a1389d
io.github.luca992	ipfs-api-watchossimulatorarm64	0.17.0		N/A
io.github.luca992	ipfs-api-watchossimulatorarm64	0.17.0	metadata	28c8a414b284d14010f70bbae02fa39c3e90b481
io.github.luca992	ipfs-api-watchossimulatorarm64	0.18.0		N/A
io.github.luca992	ipfs-api-watchossimulatorarm64	0.18.0	metadata	3717a7988b4d0713787e30f41f27f2b48c2b7113
io.github.luca992	ipfs-api-watchossimulatorarm64	0.18.1		N/A
