br.com.anteros.social	anteros-social-android-facebook	1.0.1		N/A
com.github.mizool.technology	technology-web	0.26		0448ec03dc7893f86e08d0b57698f8ae9dffe1c7
com.github.mizool.technology	technology-web	0.27		d4c577f8e540326110b31861bc246b0e4a2845fc
com.github.mizool.technology	technology-web	0.28		469d177f821b69e47924f30fa74864e0aa3cd181
com.github.mizool.technology	technology-web	0.29		f38e2ffd6452c669d34438dd5d122d1c1960695d
com.github.mizool.technology	technology-web	0.3		2ebe9d6d5b276aceccb6dc41e7b28abc4205851b
com.github.mizool.technology	technology-web	0.30		da5a6c839beea23140b64f9760b85af748057538
com.github.mizool.technology	technology-web	0.31		4c6f4b6b9864353b3fc1624eecc61485970253d6
com.github.mizool.technology	technology-web	0.32		947fd9e37741f4748a46f47a1f2b9b3d283ca1b5
com.github.mizool.technology	technology-web	0.33		2ed48842793c6a808593f2798ebb36a59748ef18
com.github.mizool.technology	technology-web	0.34		423e21690da85c6149116e7ad25fee740c0e0fcb
com.github.mizool.technology	technology-web	0.35		a229bdfbddc8649ee1db6cdd924b5ed4d9b884f5
com.github.mizool.technology	technology-web	0.36		1aa2c7919d87521002f78ddd6c6d78e005c36b1e
com.github.mizool.technology	technology-web	0.37		f7f63c48b01306f77c6bdb0d9018c934566c6be9
com.github.mizool.technology	technology-web	0.38		3ada334a43a53975644df75c5e269e98c5298303
com.github.mizool.technology	technology-web	0.39		85b75510bb9792216f32045f75081f65a18be60e
com.github.mizool.technology	technology-web	0.39.1		8c10ec88889ebad6e87a10bc368d30eb5670c6c1
com.github.mizool.technology	technology-web	0.4		89beeb43678efd47bbd57650e9de867a5d79e901
com.github.mizool.technology	technology-web	0.40		971b454c4744cefd80766c2af330cacacfdff712
com.github.mizool.technology	technology-web	0.41		51bc89c274b097e1833bbe7e4412e8b19d3f8e88
com.github.mizool.technology	technology-web	0.42		b94d84fa10a5b4161c84e9b4c61052f9606dd1b3
com.github.mizool.technology	technology-web	0.42.1		4d46fdde591b66bb12a67e735a49d1399174291a
com.github.mizool.technology	technology-web	0.43		1ca29f0516737022c21de1446e41e8b18b386dcb
com.github.mizool.technology	technology-web	0.44		e19cd5ce76d4bee7feca8e34a59401398a6ad4be
com.github.mizool.technology	technology-web	0.45		addcb7aee996bc2bc832368ee5b6e03a0f966fcd
com.github.mizool.technology	technology-web	0.46		49986395a2b24c40b21836e949c6c9466a9369fc
com.github.mizool.technology	technology-web	0.47		f513d63ee669443fdf27faf1c28ae8c5d288058d
com.github.mizool.technology	technology-web	0.47-TALOS		1d7578023939c74f976633d7a0421713425184a5
com.github.mizool.technology	technology-web	0.48		6721775cedbf7511374e14ff957d9c952ceb10a0
com.github.mizool.technology	technology-web	0.48-TALOS		393622d0d27091c52f6086b6c67102a6e89ec2ef
com.github.mizool.technology	technology-web	0.49		1c85c8544f0a1ea174dea96a4bfc5b83cf4bd83d
com.github.mizool.technology	technology-web	0.49.1		e2ddb0549106393cbff7f3bf7c53dafcd352991b
com.github.mizool.technology	technology-web	0.5		c6d11d235911956ad7449ec157960f9504cbdaac
com.github.mizool.technology	technology-web	0.50		16b5908f8422d6bdd2ec0e06fbffa08928f18b18
com.github.mizool.technology	technology-web	0.51		259daed31a4961637af90657862ee01c52a27f3f
com.github.mizool.technology	technology-web	0.52		5c32c647c86d741c565735c2a77e8714a6daa879
com.github.mizool.technology	technology-web	0.6		d5d7c1970080e274a85c1628cc2a3f6257cbf02f
com.github.mizool.technology	technology-web	0.7		d91d04f21d6951acf4ea875d2162d310392154b8
com.github.mizool.technology	technology-web	0.8		7e51500d2d005ee67bad71ca443d2a3cf94b1e82
com.github.mizool.technology	technology-web	0.9		377d727da03026a612af80009f61147d151f7147
com.github.mizool.technology	technology-web	1.0		63e1ff3cf72a85cdb34ed1030af97581ee8bfa5c
com.github.mizool.technology	technology-web	2.0		bd4baf47c151ae3b6fab8e959bbd301b632cfcc7
com.github.mizool.technology	technology-web	2.1		5e4c848b68afcbe207244b6f200626f8976de4b6
com.github.mizool.technology	technology-web	2.2		6f6ddf99051158581bf3e507b3b226d65daf5331
com.github.mizool.technology	technology-web	3.0		690b5540dd585bf6820f42b16af5f8950f228093
com.github.mizool.technology	technology-web	4.0		4f538dd1a8e685f2a5467a212f0c2d50f1285716
com.github.mizool.technology	technology-web	4.1		a0acb67b8a93f89f83faacdc2a9ba909419de4f0
com.github.mizool.technology	technology-web	5.0		af9cb4406f71d52b10719c7be4dd88467073cbd0
com.github.mizool.technology	technology-web	5.1		24cb79d7d3e7f7dfd68a36fabaf127536c9a9ad7
com.github.mizool.technology	technology-web	5.2		77fb94b62f6c57d29de9bc09a5745d9aa3e1e454
com.github.mizool.technology	technology-web	6.0		87d8c7930335ca3702e5b1b06d0013713f81ba3d
com.github.mizool.technology	technology-web	6.1		5adf731dccfc67a4860b49b7b60b824ed60f8669
com.github.mizool.technology	technology-web	6.2		9b7f4ba4dfe05a31f5248af60136f4ca83ca83af
com.github.mizool.technology	technology-web	6.3		01033699b45eac17fd250e6dc8cc2ae4285db103
com.github.mizool.technology	technology-web	6.4		4ad4a3bab1c507efba25e97354eb82da49dd6f40
com.github.mizool.technology	technology-web	6.5		1989821a67087e757102890e3b689b6b103669fa
com.gitlab.tguseynov.buildersourcegeneratorlib	builder	1.0		b1353406c2cfefcfb51d4b345f7d88d98d25429d
com.gitlab.tguseynov.buildersourcegeneratorlib	builder	1.1		a89d79c99de5f62522c982e35d239d5d960f297a
com.io7m.jpra	com.io7m.jpra.tests	0.6.0		e00df4a981e5794b6fdf2325b3b39beb05e947ab
com.javaguns.roses	email-api	8.1.2.1		653bd320ad56b7dd7d867df332848ab759d5b648
com.javaguns.roses	email-api	8.1.8		a37b2053733eb75403b1603b41af41a614d7e3be
com.javaguns.roses	email-api	8.3.0		e2dc6d12f15deab65917f70981272e07c00856e7
com.javaguns.roses	email-api	8.3.1		8077446da1932aa7ca84214ca9bb3700b91c2f38
com.javaguns.roses	email-api	8.3.2		a6e91a45b0491df27c8f60b6e7bb7b72b07639ac
com.javaguns.roses	email-api	8.3.3		4d84d4f1af83597703bf801742353597dca55a48
com.javiersc.arrow	arrow-continuations-watchossimulatorarm64	1.0.2		N/A
com.javiersc.arrow	arrow-continuations-watchossimulatorarm64	1.0.2	metadata	ca7812acbc80c11635ba546e824bd1515ef79913
com.liferay	com.liferay.object.rest.impl	1.0.0		331a9462bfa0fb04977f1ec54132d8ac0cd70029
com.liferay	com.liferay.object.rest.impl	1.0.1		fe78f65de50fdf567a0f02daaaa071ca164469fd
com.liferay	com.liferay.object.rest.impl	1.0.10		84213d8c596b21e0fc89dbd136bf97a8d843fb50
com.liferay	com.liferay.object.rest.impl	1.0.100		4e02d4579b3e7904e30beddee4d11f232dad5fb4
com.liferay	com.liferay.object.rest.impl	1.0.101		664f685171072ff72c3bb3db33a25af91a3a0a42
com.liferay	com.liferay.object.rest.impl	1.0.102		06f2331f632b7ee895a4a83023a4d44c3a4c93f9
com.liferay	com.liferay.object.rest.impl	1.0.103		28a6ec81fac2043e0d23796e12bcc54d13c7a518
com.liferay	com.liferay.object.rest.impl	1.0.104		3e1422fb590d205c81280197b9534721b3777721
com.liferay	com.liferay.object.rest.impl	1.0.105		1d8870291bfd05fe70589d500b54ea6fdebb37c3
com.liferay	com.liferay.object.rest.impl	1.0.106		fa7963ca5de40d43fb840d7ef355629705410737
com.liferay	com.liferay.object.rest.impl	1.0.107		d89b967c381ab242fd177fd5ed0ab8b64aabe0c8
com.liferay	com.liferay.object.rest.impl	1.0.108		8987a9e7ab258d9651b070d406072b455afc2f6c
com.liferay	com.liferay.object.rest.impl	1.0.109		99fb8409710c80bae3511a0f55210edc5c249c15
com.liferay	com.liferay.object.rest.impl	1.0.11		94dc2dd311e41722fc1ced5912cfd5cf7e99e396
com.liferay	com.liferay.object.rest.impl	1.0.110		255bed85cd911c17e15989615a30027a5190a768
com.liferay	com.liferay.object.rest.impl	1.0.111		0c8eafa661228ae72c6efbfc7957eba9c1ca9e0d
com.liferay	com.liferay.object.rest.impl	1.0.112		50d846c64230694d80d313471161cf64d5468c41
com.liferay	com.liferay.object.rest.impl	1.0.113		e4480764333a819db82765eb92427996a31fa98c
com.liferay	com.liferay.object.rest.impl	1.0.114		f6069b867813b1acf036483abf709415eadbefac
com.liferay	com.liferay.object.rest.impl	1.0.115		30a1a06f222fe4bdb6a36845a036e047864598f0
com.liferay	com.liferay.object.rest.impl	1.0.116		e1fe23daf7f8cb6ddba7f4451c1ffd6b053a4e10
com.liferay	com.liferay.object.rest.impl	1.0.117		16ad8706d1067e56ecef1cf582b535baf5c922b9
com.liferay	com.liferay.object.rest.impl	1.0.118		ca9536bd726d41403149adc088aadffbe5c93a7c
com.liferay	com.liferay.object.rest.impl	1.0.119		c87ed541a4ae68d3fb8a27e847445007b671ec1e
com.liferay	com.liferay.object.rest.impl	1.0.12		5d2db2142fff2fc28e32c7da74573eaf19874aa6
com.liferay	com.liferay.object.rest.impl	1.0.120		34d1ac0afa5e4a912fd3c96e102f08284fb86587
com.liferay	com.liferay.object.rest.impl	1.0.121		83774a31727f1710f23077d4085c1b338a4e4bb0
com.liferay	com.liferay.object.rest.impl	1.0.122		451c1a49487475e2bb1330c81aca19e7466e749d
com.liferay	com.liferay.object.rest.impl	1.0.123		e3be774415f920c4509d0c5a59a882e458c73d06
com.liferay	com.liferay.object.rest.impl	1.0.124		e1e9d324dd320bb9805a6d092b36954d98be1d40
com.liferay	com.liferay.object.rest.impl	1.0.125		285eca21413e08f6ebc3d0f272fe023b7fbe07a5
com.liferay	com.liferay.object.rest.impl	1.0.126		c0c05f013dcfa400f3b420029ef9646e3cf7147b
com.liferay	com.liferay.object.rest.impl	1.0.127		2216bdda7ee8adbf8a20a3c1bb96d998beb8087e
com.liferay	com.liferay.object.rest.impl	1.0.128		6c7ce1f8838580c935ff7bb5e3aa037f558bf440
com.liferay	com.liferay.object.rest.impl	1.0.129		f78065bd51485cab17836da12b02ef2405f63dd7
com.liferay	com.liferay.object.rest.impl	1.0.13		d11a75e0e45d18473373094eaea36679776914ab
com.liferay	com.liferay.object.rest.impl	1.0.130		2a001a61a6aa134fafd3d9e5f0fa7169567e82f6
com.liferay	com.liferay.object.rest.impl	1.0.131		a45b4f0840d7ee8273b27fdcd348464ebd93b699
com.liferay	com.liferay.object.rest.impl	1.0.132		682a359c9ddab587496fcf17ecad7c4fc8de3e0d
com.liferay	com.liferay.object.rest.impl	1.0.133		7a6cd72b2660d3bb4840c7d1de0ff28fe526271e
com.liferay	com.liferay.object.rest.impl	1.0.134		caed9a6c380136d161797bb6d9d82d31d1cff293
com.liferay	com.liferay.object.rest.impl	1.0.135		faf208747afab6234be6fe5b9c41c164c57b8285
com.liferay	com.liferay.object.rest.impl	1.0.136		e6532715437415c8ac4da57e8f90bac112cbef02
com.liferay	com.liferay.object.rest.impl	1.0.137		37a86fb2994d672568f3e0dc94fe9af9cbea1753
com.liferay	com.liferay.object.rest.impl	1.0.138		25211e0605667931a353c69c3259208435292094
com.liferay	com.liferay.object.rest.impl	1.0.139		64a91210b3c89f7602598b643da5372b29ae9d92
com.liferay	com.liferay.object.rest.impl	1.0.14		7ceadca885abf5e0a6eb1aa2e39114a976650a20
com.liferay	com.liferay.object.rest.impl	1.0.140		84176811c38402e635f46367465bac4c0146badb
com.liferay	com.liferay.object.rest.impl	1.0.141		a7006e38009b082fc5b0882ff1ea65f83cdabf20
com.liferay	com.liferay.object.rest.impl	1.0.142		4c6d85174e1fd51267ae776a2974b2fabc94e16c
com.liferay	com.liferay.object.rest.impl	1.0.143		79de447b0423094881b62732e3d955eaffdc61f1
com.liferay	com.liferay.object.rest.impl	1.0.144		e8e415dd4b4618923139915d3a26680c516c452c
com.liferay	com.liferay.object.rest.impl	1.0.145		84893b2a1d2ff5021a2002fea4e4c1daa6a238b7
com.liferay	com.liferay.object.rest.impl	1.0.146		2eae4ef5b1e90c9ca3f568e7fd1e50c2ab42779f
com.liferay	com.liferay.object.rest.impl	1.0.147		9ebf4383bd4ea1729791e72df98cf6b8463f75b1
com.liferay	com.liferay.object.rest.impl	1.0.148		70b2c54973c17773ee62335c4057f1ac26eb037e
com.liferay	com.liferay.object.rest.impl	1.0.149		5227b5481bea81b0531b2c5613f94f65db3fcbd0
com.liferay	com.liferay.object.rest.impl	1.0.15		032aaa5c994fbb1eabd041ea4b2693d4e288aa1e
com.liferay	com.liferay.object.rest.impl	1.0.150		6f7423e7c9c7e95ed9b4de9cacdac6752f21c7f5
com.liferay	com.liferay.object.rest.impl	1.0.151		51419e857a968e72e5825d3ee1b7a6238fef0a80
com.liferay	com.liferay.object.rest.impl	1.0.152		7f9b322ee0313c357034f93a732365ef813d2a60
com.liferay	com.liferay.object.rest.impl	1.0.153		6a940c3ddcf2389102e35da050f6e09bb2225ebe
com.liferay	com.liferay.object.rest.impl	1.0.154		d95016ec335a2b6ae2e81aaaf0b08f26ca756328
com.liferay	com.liferay.object.rest.impl	1.0.155		60172609f56f4661230565524a5b8e27ad824f54
com.liferay	com.liferay.object.rest.impl	1.0.156		5f655fab5e0e8180d1a885f6fb4c83c85a237af2
com.liferay	com.liferay.object.rest.impl	1.0.157		c5d10ea3faa8d25952d867706e6b1e6978359e12
com.liferay	com.liferay.object.rest.impl	1.0.158		0e0d9debaf9312ffd5f327c23765923f69822aa3
com.liferay	com.liferay.object.rest.impl	1.0.159		78fae6ac2243797866ff2a680e792fa3b3fca345
com.liferay	com.liferay.object.rest.impl	1.0.16		9c033d7e6d17986c0be82566de1993560a6e86ae
com.liferay	com.liferay.object.rest.impl	1.0.160		0c8084138751726d2837ffb826393a501abaf913
com.liferay	com.liferay.object.rest.impl	1.0.17		5eb8cf7f02c4ee4eb617999eb9e111a79745addb
com.liferay	com.liferay.object.rest.impl	1.0.18		eb528bb1b4f8301ab80713d01362aef2d54fc6e7
com.liferay	com.liferay.object.rest.impl	1.0.19		91d099292a79b1bd13af9754cafa31c875fdddf6
com.liferay	com.liferay.object.rest.impl	1.0.2		4dd3d6846a1d04da95fdadee3f8aafa47d918eb5
com.liferay	com.liferay.object.rest.impl	1.0.20		4b021376d4c0ae9957b9fb17706ad78cbe4f65f2
com.liferay	com.liferay.object.rest.impl	1.0.21		9f1c33558539f440a16f4c1b7c6fd85179775b89
com.liferay	com.liferay.object.rest.impl	1.0.22		5aa10776c1f72ebed19281ded15507b525c136cb
com.liferay	com.liferay.object.rest.impl	1.0.23		79c842ceb907cd32ac226a7841bbca0bd4031e09
com.liferay	com.liferay.object.rest.impl	1.0.24		5bae6f9ee3ba7666d6779ef0fcd0476dc2f815f2
com.liferay	com.liferay.object.rest.impl	1.0.25		e400c1754a96c19396113e304d69c369b4ad6afa
com.liferay	com.liferay.object.rest.impl	1.0.26		a2020eed43baae69122657afc701d45571ca374e
com.liferay	com.liferay.object.rest.impl	1.0.27		26770431c82c22c2de7e97c46f8ed10e75f164c8
com.liferay	com.liferay.object.rest.impl	1.0.28		d7356109994da7dd145398d539d19bdec80c6626
com.liferay	com.liferay.object.rest.impl	1.0.29		3930748ae58adbf13727ea5efb7240d3529706b7
com.liferay	com.liferay.object.rest.impl	1.0.3		0238e07db7e809f3b7ab615b0d0a6df0c569a276
com.liferay	com.liferay.object.rest.impl	1.0.30		23d3f5507ce07a025cac7b992f92a134ebb2e396
com.liferay	com.liferay.object.rest.impl	1.0.31		94f7c3eaca262aa105b47296a546bd0fdb5c19f5
com.liferay	com.liferay.object.rest.impl	1.0.32		70f67a810506f9a9a317ef79bf311c0d0c0e2f4f
com.liferay	com.liferay.object.rest.impl	1.0.33		e0f26c8ad5c9b293d90717ec103f143d1dca1227
com.liferay	com.liferay.object.rest.impl	1.0.34		1cedd5cba9773b058625873d5463568781a7595a
com.liferay	com.liferay.object.rest.impl	1.0.35		b168b186210e2398ce7af0198f982946f27bb2d9
com.liferay	com.liferay.object.rest.impl	1.0.36		0985fc21ba14e3025cf5190ef0cda8d8814441c0
com.liferay	com.liferay.object.rest.impl	1.0.37		7f7bfd770c18e6aa692de5168c27585ae4df108d
com.liferay	com.liferay.object.rest.impl	1.0.38		0258f0725cbc009bdf9f6175dd6c5dfaa802b3ef
com.liferay	com.liferay.object.rest.impl	1.0.39		ecf07baa54c11854efa910f5d7adec6013de669e
com.liferay	com.liferay.object.rest.impl	1.0.4		3d75e0afcaac080906706f2ea34948129ccb25bc
com.liferay	com.liferay.object.rest.impl	1.0.40		d043d53e04083eb5a94eb51c292f77d09d648489
com.liferay	com.liferay.object.rest.impl	1.0.41		cb8c1f5f235fd03a1701f60cf5fa820cb753d8e0
com.liferay	com.liferay.object.rest.impl	1.0.42		9f65e3fd2603f5cdb5e78b247e0e54de2996c7f2
com.liferay	com.liferay.object.rest.impl	1.0.43		4951de91c7daad49d30cccaa0b48ea5890d8ff08
com.liferay	com.liferay.object.rest.impl	1.0.44		0f44c2b85b050e37f69d7bba6163df50d6950682
com.liferay	com.liferay.object.rest.impl	1.0.45		15652790f71040a70dbd12ee4a528caab90d9682
com.liferay	com.liferay.object.rest.impl	1.0.46		4278a2d9d391499e95ef5aec469e90f458533b5b
com.liferay	com.liferay.object.rest.impl	1.0.47		42de6005877390376f1ca2f33920f8f25a93d883
com.liferay	com.liferay.object.rest.impl	1.0.48		649ef46f6e22ed39ede87bed3765c9a3cd374913
com.liferay	com.liferay.object.rest.impl	1.0.49		ea2fce19cb5f7589f831b3cb92d33af36638a353
com.liferay	com.liferay.object.rest.impl	1.0.5		f38035fe2574d7ca200d9a1750e3d93158a019a4
com.liferay	com.liferay.object.rest.impl	1.0.50		a691159d534227c4f1ed8bc7394b2fd49010ed20
com.liferay	com.liferay.object.rest.impl	1.0.51		0fcb6a77f97e18dc6b223594021dd5d4428fda0d
com.liferay	com.liferay.object.rest.impl	1.0.52		10de6ed81891c1b5aee66e7b3b74b2afb62c988c
com.liferay	com.liferay.object.rest.impl	1.0.53		b07d3ff8ff64c333f42777f731662e036e2b7e4d
com.liferay	com.liferay.object.rest.impl	1.0.54		71530629960795a61c53418705389221fd9d21f8
com.liferay	com.liferay.object.rest.impl	1.0.55		44087806a72533d508244c236a665d7b3c175e0f
com.liferay	com.liferay.object.rest.impl	1.0.56		c6b52f1fca401a0b3ea03ac21fbe0a034cf98a66
com.liferay	com.liferay.object.rest.impl	1.0.57		7ec626050d1000f6b3fc0227615056ff37cbc6ee
com.liferay	com.liferay.object.rest.impl	1.0.58		8b7ae54a0bc8ee6564fd89ec8f294ce0a3b3b756
com.liferay	com.liferay.object.rest.impl	1.0.59		ef7418d2d99e48f173d4df6ca074a1de8e250f38
com.liferay	com.liferay.object.rest.impl	1.0.6		aee07527c6f8bc6855c56591aa47f8d52b9e412c
com.liferay	com.liferay.object.rest.impl	1.0.60		8a31a6b041102cee2d85c05e5edf6dc7686f1815
com.liferay	com.liferay.object.rest.impl	1.0.61		c6f630a600b1c17df4313ec9ae0558229ddd3113
com.liferay	com.liferay.object.rest.impl	1.0.62		09878fe2ef0e791ef8b84296f5a752dfdb56e83e
com.liferay	com.liferay.object.rest.impl	1.0.63		1c3f362201063bf8b267019f02989cb68c98a43b
com.liferay	com.liferay.object.rest.impl	1.0.64		325e1a94e863d39d4f53699638edb883b51d685c
com.liferay	com.liferay.object.rest.impl	1.0.65		0e400ef52717e0f1c572226607a623f7721ddd92
com.liferay	com.liferay.object.rest.impl	1.0.66		0975c8eda5a4fd377533ea0c0bbc4c6f7fc05d4a
com.liferay	com.liferay.object.rest.impl	1.0.67		1768de3eab7e24ddacef444b41b06d37c5b1e00f
com.liferay	com.liferay.object.rest.impl	1.0.68		6199e8d6a791969a54dd1bbba48bf550c382d776
com.liferay	com.liferay.object.rest.impl	1.0.69		38e9a7fe2f1efb0f672ee09272d345a94716f7cc
com.liferay	com.liferay.object.rest.impl	1.0.7		37e98853de9551b8d9050c5f8808a1ebd174e74b
com.liferay	com.liferay.object.rest.impl	1.0.70		dc7dd983af2a5ac417f237b757a933617852a5fe
com.liferay	com.liferay.object.rest.impl	1.0.71		723775f19c199ac65fd4dfcadea1267edcaf2ca3
com.liferay	com.liferay.object.rest.impl	1.0.72		7e038916c52b04f98abd654c18fc9dfeb86e3cbf
com.liferay	com.liferay.object.rest.impl	1.0.73		0ca77cf26d24f64cae52fccf70717423d9173e53
com.liferay	com.liferay.object.rest.impl	1.0.74		eed1660c031db9ea33f1462d8d710652e4bfd892
com.liferay	com.liferay.object.rest.impl	1.0.75		25b60a2445ebaac944b7c42dff020a5a540feae6
com.liferay	com.liferay.object.rest.impl	1.0.76		d65eebad1abefa775dd79bd5766be4e6414aabe6
com.liferay	com.liferay.object.rest.impl	1.0.77		bc8b9b63a89a32cba5ead354017f69b0afaa3646
com.liferay	com.liferay.object.rest.impl	1.0.78		632ecf31713766661f1edd0265471e8151ed2018
com.liferay	com.liferay.object.rest.impl	1.0.79		c653351403dcbc74744113bb7b845a9c9344b4ab
com.liferay	com.liferay.object.rest.impl	1.0.8		2b789b7f4ff3c3d87b1e0bd2f405b33f5dbf9a79
com.liferay	com.liferay.object.rest.impl	1.0.80		bcf992300476ef9e9397a482185e88add93e9890
com.liferay	com.liferay.object.rest.impl	1.0.81		238d551415d4542f68a6eb32a39faf393f9c7b37
com.liferay	com.liferay.object.rest.impl	1.0.82		ae3ab71b8e8ff7e081ff2357e80340c2e2683c5e
com.liferay	com.liferay.object.rest.impl	1.0.83		22c00cb131e20a4f91ddb0a16aede5c336f852c1
com.liferay	com.liferay.object.rest.impl	1.0.84		33ab02e996366f4e24355ee255091de78e7bf310
com.liferay	com.liferay.object.rest.impl	1.0.85		c9ac5db532ab38dd1eaff065628ccbf0a8463b59
com.liferay	com.liferay.object.rest.impl	1.0.86		31eea96fa85a7e86921b29450cd2220789cc491a
com.liferay	com.liferay.object.rest.impl	1.0.87		fdbd1cbe5e302774c96b3571045ae8b778e20c9b
com.liferay	com.liferay.object.rest.impl	1.0.88		402912ec842a633c4453b92bd034bebf4a792558
com.liferay	com.liferay.object.rest.impl	1.0.89		d8c36dc7719e98f5ad2b27d17786bf71611c7607
com.liferay	com.liferay.object.rest.impl	1.0.9		0079b3b50b058c0bc71a4fbc373f497f34c203b8
com.liferay	com.liferay.object.rest.impl	1.0.90		e2217d614acda518ebe578fc34b525d20c7dc393
com.liferay	com.liferay.object.rest.impl	1.0.91		fab0c06e79a0479f0524cc1cc7edad6698da5668
com.liferay	com.liferay.object.rest.impl	1.0.92		6518f21657e05c784152635356b56aa7f2873da4
com.liferay	com.liferay.object.rest.impl	1.0.93		a01330c225ba64e1c47a408fe3383036a5289cde
com.liferay	com.liferay.object.rest.impl	1.0.94		544b46e35f53becab9a8088ef45e6fcfdc0d24bc
com.liferay	com.liferay.object.rest.impl	1.0.95		604a8b0d90536ee0c1645ed4750aaa868d177ce2
com.liferay	com.liferay.object.rest.impl	1.0.96		95a7cd9643625bc9ae8c1f2a16893e08bead9377
com.liferay	com.liferay.object.rest.impl	1.0.97		ff62e0d6e165d36d78746830651c4a1f73309e7e
com.liferay	com.liferay.object.rest.impl	1.0.98		a4e1dcb679853f52c5fd48dc3be487a5f707fe82
com.liferay	com.liferay.object.rest.impl	1.0.99		4624abdf59d0b8645bddcb8290e74047d4773001
com.liferay	com.liferay.portal.remote.rest.extender.test	1.0.0		075926702c177d8b4ddd20316a228a97cdce37af
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	1.0.0		4da497efe7281f1fe7c3da3280fb3027092251b4
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	2.0.0		eee9fc84610032fa3b34cd2c7759f35941bbc157
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	2.0.1		884c1bf6758bcb590358258142e70bea302920a6
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	2.0.10		888be7811128083e1d03e79fb3085ff94c6342b0
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	2.0.11		4d031b441c97b4d869b42bae13cd1ede97cbb7fd
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	2.0.12		628c013d4a60b4f7c9a2537c36ca2b28f8511543
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	2.0.13		c76ed89ec8584f0a6f3a69b64528eedd840af34c
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	2.0.14		229a814282f89ad023acbb9a401f74ccfea4c540
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	2.0.15		8241f6ba42d387ad44612d93cbf5aa30dfc89cbe
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	2.0.16		778788ca1d19549151767a1d4ca721e522d2fa3b
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	2.0.17		fe9a8fb10192c630a84a03d5d3876fe713dc96e5
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	2.0.18		457db0eff32009a9b7a1ab6a59b7799df2be52ca
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	2.0.19		f9a223fc985cd85212a6c4d9c25f996bf719f92c
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	2.0.2		6efaefe32d50159280b82924e3b60c0498ce14a9
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	2.0.20		3f598a6dd68b7f6ae6b773992b7bd02596653bdb
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	2.0.3		8fad2a40c2f48df1c245637564af5b58f9fb50bd
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	2.0.4		9a4bea017a99753a824f00cc47f42f0ace0b6d40
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	2.0.5		5104a1ef18c7f7e46f01a84bf60f943163b654f9
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	2.0.6		7205cdd89a600f1247c64e41cc12078b1194a200
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	2.0.7		a356ca8fdb585422871054c4f00797cd690977b1
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	2.0.8		901a939ac033261bf84ba75d3b43814383a12c18
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	2.0.9		b40810b5c365fbe33e17385605a98d54e992d045
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	3.0.0		f453804ed206442ea44b636c58da0402f7ac2d4a
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	3.0.1		cc3e2193b0c1c013a137fd9096601a4fc400cf1a
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	3.0.10		252b6729f8dd87e6ebd702edb3758bfb88b1a07b
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	3.0.11		d2ac2c61a8ad67e1bccc06694db6ee697f3a2a45
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	3.0.12		553f289a4fcf13400339971dfca8a0aa51bd01fd
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	3.0.13		009ac779866fd1253a462aae44c7a4243b16b8d3
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	3.0.2		4b7649dab5aff7f77131691534c9d59c6ed6d441
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	3.0.3		db48ee636528cd34f587d70f08a6313bfd196be7
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	3.0.4		ec6872450480bbf4623a563f35784c303e2abecc
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	3.0.5		6f0a3cd7562caf22cd49764060738d6f362c28e4
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	3.0.6		80921628c24a7340a54b5a9646620d04c801c7a1
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	3.0.7		31060947dfbe53d51b1c35c0c7ca6bffc6c1d9ea
com.liferay	com.liferay.product.navigation.product.menu.theme.contributor	3.0.8		e66c1d4303ec449bfee27e787cac292f4d08de2c
