activesoap	jaxb-xalan	1.5		6b10269457d75d4bd2a045e81cf620102f54692a
dev.restate	sdk-api-gen-common	2.0.0		b58bdcf4d746fac70206f03db9b38652f29435ae
dev.restate	sdk-api-gen-common	2.1.0		bdb53003464b3f5123860a3c7732f9cace2bfc2f
dev.temperlang	temper-core	0.0.3.2		a7ebd4d711e624418d2c960d96735bf6ba96dfd4
dev.temperlang	temper-core	0.0.4		3d89731af2a51ac7a1d1bb3c2531fb5a070d1eb1
dev.temperlang	temper-core	0.0.5		d874de8541af3b87b42a11e21e9df839b309e4b4
dev.temperlang	temper-core	0.0.6		372cccff4719ab005d5db823e0d1d22c7fb17562
dev.temperlang	temper-core	0.1.0		02379f8cfaa1f38ec7526629033cda7362bf7381
dev.temperlang	temper-core	0.2.0		7bdd3c77bd382cc1c29a27a96172574ce24f7771
dev.temperlang	temper-core	0.2.1		5f4b12d6df64cfde4b8e9e48b964faf2ea2e96ec
dev.temperlang	temper-core	0.3.0		eec3bc6ec757898ae05fa95a9a916618616b5b40
dev.temperlang	temper-core	0.4.0		a9d80ee93bb89d7b25b372a47df5df7f73d943ae
dev.whyoleg.cryptography	cryptography-serialization-asn1-wasm-wasi	0.3.0		N/A
dev.whyoleg.cryptography	cryptography-serialization-asn1-wasm-wasi	0.3.1		N/A
dev.whyoleg.cryptography	cryptography-serialization-asn1-wasm-wasi	0.4.0		N/A
fi.testee	testeefi-hibernate	0.6.0		e6ed184ce23870749fdb3dc09f383bc51cf69087
fi.testee	testeefi-hibernate	0.6.1		791f3dd6e982a577ab6b575eff621c17a09508f0
fr.sii.sonar	sonar-web-frontend-js	2.0.0		6d2cb7b453d28754c9345778581c2be521e1b43e
fr.sii.sonar	sonar-web-frontend-js	2.0.0-RC1		25bc6d9d2937d38994663008778b5f3e0305b13a
fr.sii.sonar	sonar-web-frontend-js	2.1.0		1851fc41417b09be06efc316705effd7764df6bf
info.bitrich.xchange-stream	service-core	4.2.0		2a259df250a9cb72c2acacedcc710a6cacd5685f
info.bitrich.xchange-stream	service-core	4.2.1		283556f41a5ed0b335c4ca69b21ee01c56027be7
info.bitrich.xchange-stream	service-core	4.2.2		0a26f3e0ebe05ad06ad7b507dffde0e03fccde9f
info.bitrich.xchange-stream	service-core	4.2.3		57b006f08fc9bd2a17736bb290575f8d38e4a3e2
info.bitrich.xchange-stream	service-core	4.3.0		9dde91dead21ea84b83a64f58232c5c308840c9a
info.bitrich.xchange-stream	service-core	4.3.1		24090a192ea588ffbda8c6508d90197bf6532ac7
info.bitrich.xchange-stream	service-core	4.3.11		5b4e62cc43d2401b04a1bc9b0fe33dbd1ce9c700
info.bitrich.xchange-stream	service-core	4.3.14		58d3a42866751372b78787a8cd7cdcd8f31a0bc2
info.bitrich.xchange-stream	service-core	4.3.15		38914a73ebc96fade9b93501b082ff833e8772f4
info.bitrich.xchange-stream	service-core	4.3.16		7511ba0fa41c8933fc8b78ebf60b070b77c41b95
info.bitrich.xchange-stream	service-core	4.3.2		091cc66fd293b42e6e2f6900318095d0385d31ad
info.bitrich.xchange-stream	service-core	4.4.0		2918fcd8d60e2f60dd3fc9ceb5a7d0e4532e388b
info.bitrich.xchange-stream	service-core	4.4.1		bf1afee780bb3b111576d2273c7f8274203187ea
io.bkbn	skelegro-hcl	1.0.0		0881d4b0ade30d2093d4d1abb31f82700a28b16c
io.bkbn	skelegro-hcl	1.0.0-rc		03052a34c44ef7716fe16b0bcc1e33e48fdbfaff
io.bkbn	skelegro-hcl	1.0.2		ccc073cc10dcc07d15ab35a757c3cf15bf04bd86
io.bkbn	skelegro-hcl	1.1.2		b174caf8f862c0822e4fe4799ec3eba6d69c9b0a
io.bkbn	skelegro-hcl	1.1.3		8a1ba3290896bb999741f746bca491679d94e27d
io.bkbn	skelegro-hcl	1.1.4		c8cf1a27caac4631efc420321ff7a7242738e0d4
io.bkbn	skelegro-hcl	1.2.0		ed2eb2ed08cc1a3652faf7dd58673b72bb0aa270
io.bkbn	skelegro-hcl	1.2.1		285057430dff834451c23db41f432e348d4ec629
io.bkbn	skelegro-hcl	1.2.2		f0a3f3e47a9278c33ad906cad2fc71955ec88a97
io.github.agora-snapshot	AgoraRte	3.4.2		N/A
io.github.agora-snapshot	AgoraRte	3.4.2.1		N/A
io.github.fornewid	placeholder-material3-iosarm64	2.0.0		N/A
io.github.fornewid	placeholder-material3-iosarm64	2.0.0	metadata	8d58a15c8eb32632bfed8aa34bc8c699c992705a
io.github.icodegarden	nursery-spring-cloud-starter-seata	3.0.0		c521e9c42286bca28cf79e947d0acd69837ae35c
io.github.icodegarden	nursery-spring-cloud-starter-seata	3.0.1		ce4e90cfa68f57d6b11d008ec7f13aee7e25d2cd
io.github.icodegarden	nursery-spring-cloud-starter-seata	3.1.0		b73d1804c53e0f38cf8b9acd4a336a96a2ad92cc
io.github.jeqo.dropwizard	dropwizard-kafka	0.1.0		82e196760eaf7d36c9a1502d77d5dfc24c69fbee
io.github.jeqo.dropwizard	dropwizard-kafka	0.1.1		f79ade63e80c2a3c7d49ab65ed379095d7f2a2ba
io.github.jeqo.dropwizard	dropwizard-kafka	0.1.2		885e06794233dde4caa8d2c11a1ad731876f28b9
io.github.nangongkuo	yflib-res	1.0.0-alpha01		N/A
io.github.nangongkuo	yflib-res	1.0.0-alpha02		N/A
io.github.nangongkuo	yflib-res	1.0.0-alpha03		N/A
io.github.nangongkuo	yflib-res	1.0.0-alpha04		N/A
io.github.nangongkuo	yflib-res	1.0.0-alpha05		N/A
io.github.nangongkuo	yflib-res	1.0.0-alpha06		N/A
io.github.nangongkuo	yflib-res	1.0.0-alpha07		N/A
io.github.nangongkuo	yflib-res	1.0.0-alpha08		N/A
io.github.nangongkuo	yflib-res	1.0.0-alpha09		N/A
io.github.nangongkuo	yflib-res	1.0.0-alpha11		N/A
io.github.nangongkuo	yflib-res	1.0.0-alpha12		N/A
io.github.shaunaksrivastava	payments	0.1.1		N/A
io.github.shaunaksrivastava	payments	0.1.2		N/A
io.github.swapnil-musale	Klibrary	0.0.1		N/A
io.github.verygoodwlk	ken-page-boot-starter	1.0		ffdcedf7a37e645e8587655a58e9997a6b94cf65
io.github.verygoodwlk	ken-page-boot-starter	1.1		8cee32514b0a1a1072e31cce5f89638bcb2a5351
io.github.verygoodwlk	ken-page-boot-starter	1.2		f8063cc4ba4ba791bcd8dc8dba8dbb894ecbb991
io.github.verygoodwlk	ken-page-boot-starter	1.2.1		bfb93af3e33418448de154bcc0aa25d13f089c65
io.github.verygoodwlk	ken-page-boot-starter	1.2.2		d3aef3e28ade4e01408edc1f380f7323bb92145d
io.github.verygoodwlk	ken-page-boot-starter	1.2.3		6361d896d2cd807f30d081fceceec777696af2bd
io.github.verygoodwlk	ken-page-boot-starter	1.2.4		eb063dad710f17af7ac49c29d9393f5002bc06cb
io.github.verygoodwlk	ken-page-boot-starter	1.2.5		99438464dbabf2a3771689a86475d4fb4203fbd2
io.github.verygoodwlk	ken-page-boot-starter	1.2.6		fcd30610d8bc31fbd511b6713aeae1d13b490f68
io.github.verygoodwlk	ken-page-boot-starter	1.2.7		b03ad1d8e28a07987eda55b97a8f0f2a2ac830f3
io.github.verygoodwlk	ken-page-boot-starter	1.2.8		00a6ecfc418538aac24fe7ec9bcb12045c5aaa8a
io.github.verygoodwlk	ken-page-boot-starter	1.2.9		f22fd2185169ebe28f473fae6fce70fd8849dc35
io.kestra.plugin	plugin-meilisearch	0.19.0		2af916422e56dfc6872d23dcfd07ecd15fb7ad87
io.kestra.plugin	plugin-meilisearch	0.20.0		cb944473e02d146fb7bbbc00f16684a640c8c2fc
io.kestra.plugin	plugin-meilisearch	0.21.0		8a1765924165cc1864dd3431c502b8515e0d78c0
io.kestra.plugin	plugin-meilisearch	0.22.0		35faefad01bd6fde3fe27af6efc8130e6bf6808d
io.quarkiverse.rsocket	quarkus-rsocket	0		f3ed4018285718164143906e64b7421e1a423504
io.vertx	vertx-tcp-eventbus-bridge	3.2.0		6f8a5362f41ff71abe775a3f8fa68bf84d50e8ee
io.vertx	vertx-tcp-eventbus-bridge	3.2.1		04cfaf15454a97d878ec7312393b8fda79b02313
io.vertx	vertx-tcp-eventbus-bridge	3.3.0		f079738b4a01e6a36fd5a6919c3969dd37d3e1a7
io.vertx	vertx-tcp-eventbus-bridge	3.3.0.CR1		10053f1aa8819fe45578fc4d5835ac24ecf8a2f7
io.vertx	vertx-tcp-eventbus-bridge	3.3.0.CR2		80c56c64ffdc19a8d9f66d2c768646dee7317b83
io.vertx	vertx-tcp-eventbus-bridge	3.3.1		6d0fbb66257b1b797df51a49e1534755648b54be
io.vertx	vertx-tcp-eventbus-bridge	3.3.2		fcc051a59cb86a8f508a04e7c3f574976c3ebd96
io.vertx	vertx-tcp-eventbus-bridge	3.3.3		a8ad62d2a45244a571b9f72efb8974b7a9974386
io.vertx	vertx-tcp-eventbus-bridge	3.4.0		924f2083c5e9485956fa8ec99d390161fe645400
io.vertx	vertx-tcp-eventbus-bridge	3.4.0.Beta1		f9bc15463ff85770c1f8ae64f47f6ff534aa1469
io.vertx	vertx-tcp-eventbus-bridge	3.4.1		431068aae7079f70849ef15451785b1dc8cb5db9
io.vertx	vertx-tcp-eventbus-bridge	3.4.2		4ebab146011104acc683cecdca24e75b1a643e78
io.vertx	vertx-tcp-eventbus-bridge	3.5.0		677cfb8eb026884236394c9946ee5ad4c81fdd78
io.vertx	vertx-tcp-eventbus-bridge	3.5.0.Beta1		06b6c5dfd6dbc26b10d6fda6ca72c6639f55d137
io.vertx	vertx-tcp-eventbus-bridge	3.5.1		76b339861873ce8c15cce14376fd0a7adbd5b0c0
io.vertx	vertx-tcp-eventbus-bridge	3.5.2		a5a5ba204d74e3326d9a36a57f4d2053f2ced756
io.vertx	vertx-tcp-eventbus-bridge	3.5.2.CR1		1157b0266f80b91e4b6bb2fe04b514230416a64a
io.vertx	vertx-tcp-eventbus-bridge	3.5.2.CR2		160f60e046d2bab0efc142b759e189ee1fba8ef0
io.vertx	vertx-tcp-eventbus-bridge	3.5.2.CR3		5bc5623757ee7734b4b0fbd13407684914302174
io.vertx	vertx-tcp-eventbus-bridge	3.5.3		17d9222dd1b66666848ff2ec242568168f2d6750
io.vertx	vertx-tcp-eventbus-bridge	3.5.3.CR1		621070d92e10dd375c390aefdcf9d2c022a0287e
io.vertx	vertx-tcp-eventbus-bridge	3.5.4		8f05b4aeae8fd8e7a177660a599f2fcdc1330245
io.vertx	vertx-tcp-eventbus-bridge	3.6.0		d90861e211ac64bab41d024c767ddf97d4530ead
io.vertx	vertx-tcp-eventbus-bridge	3.6.0.CR1		1556e56b98a2a55f8fd61686040c70d4cae0576a
io.vertx	vertx-tcp-eventbus-bridge	3.6.0.CR2		169c33d4d2d610151023005a350d894adcaa3ac1
io.vertx	vertx-tcp-eventbus-bridge	3.6.1		e6f29630b13bf6afd49ae439e3d6f79f0c41dec3
io.vertx	vertx-tcp-eventbus-bridge	3.6.2		4c9bc647d273a96f7ab86afe7802d340eb36b170
io.vertx	vertx-tcp-eventbus-bridge	3.6.3		64e251390631a770587bfcae36dd8888ccf35a0b
io.vertx	vertx-tcp-eventbus-bridge	3.7.0		f6cc937ae45100c588748e89f969d497171f5399
io.vertx	vertx-tcp-eventbus-bridge	3.7.1		c64e5a0021c24fc49718f265006c4edc237a4fac
io.vertx	vertx-tcp-eventbus-bridge	3.8.0		51da91bc0e4edf6d31ae01dc956a806d00963e5f
io.vertx	vertx-tcp-eventbus-bridge	3.8.1		f99a6081cb965c9a0ee7348b215bea15b67d8fdf
io.vertx	vertx-tcp-eventbus-bridge	3.8.2		999c8d0bb5d494b7e2145537eece5994f4443b60
io.vertx	vertx-tcp-eventbus-bridge	3.8.3		cffd0a2ba03f606cb43ed32a110492f2051dc83d
io.vertx	vertx-tcp-eventbus-bridge	3.8.4		6906b14028553c947b3d0fe02a291d34f35eaee7
io.vertx	vertx-tcp-eventbus-bridge	3.8.5		44e1219381e3ef63bf09cd1ad080a12742c8e75d
io.vertx	vertx-tcp-eventbus-bridge	3.9.0		f63e356411c10212d93f8ebb77c5cb5d33ab781b
io.vertx	vertx-tcp-eventbus-bridge	3.9.1		e351177b8f6fbf9f848d44ba892096ded69f7f5b
io.vertx	vertx-tcp-eventbus-bridge	3.9.10		64f6e61a753136cfffd55871ae3d2d715354b048
io.vertx	vertx-tcp-eventbus-bridge	3.9.11		67a8da8a4cf644194d9a9ccbdc76c99b9212817b
io.vertx	vertx-tcp-eventbus-bridge	3.9.12		46db30fd1f9b2752be4c7e11718f884359479e65
io.vertx	vertx-tcp-eventbus-bridge	3.9.13		7c1f434556641728988cf9800bec054817af12f7
io.vertx	vertx-tcp-eventbus-bridge	3.9.14		bca9dad1c63527882136f53e8b4662c8d20fb7a0
io.vertx	vertx-tcp-eventbus-bridge	3.9.15		ce74c0b50b91440ab945f79d60e27b89b7035eda
io.vertx	vertx-tcp-eventbus-bridge	3.9.16		e5d0b14144722bf3f4c7efb50d1447c5f54e1730
io.vertx	vertx-tcp-eventbus-bridge	3.9.2		71729c753c9d7199c58eb76efddd0095fbbb2e9f
io.vertx	vertx-tcp-eventbus-bridge	3.9.3		b876694ae9856d9c14a9a08b0d6a3e4c09c8ea01
io.vertx	vertx-tcp-eventbus-bridge	3.9.4		6d00b774bc2eef39fa01ec54b1a84ba67f10eeb9
io.vertx	vertx-tcp-eventbus-bridge	3.9.5		b6131dc45b47368051f47ecd326353cc02c971ba
io.vertx	vertx-tcp-eventbus-bridge	3.9.6		4dadd4f880139067c54be9ba3708634394d3c7f2
io.vertx	vertx-tcp-eventbus-bridge	3.9.7		c29edfd1f95bb96c9de9376ddc48fd6c28ed829b
io.vertx	vertx-tcp-eventbus-bridge	3.9.8		e8f7955d5e1290bfe8506eed56768c5166d72a45
io.vertx	vertx-tcp-eventbus-bridge	3.9.9		8835f9295ee9e824876346a47ec91613f4efe029
io.vertx	vertx-tcp-eventbus-bridge	4.0.0		fc5b0b09fa22e613180e0893b01721d6892fe7d4
io.vertx	vertx-tcp-eventbus-bridge	4.0.0-milestone1		25df4b3c65f9a1c2514e2a12a9810bc93e343591
io.vertx	vertx-tcp-eventbus-bridge	4.0.0-milestone2		042997c569a5cfab70e4288fdb615a5ecedb4881
io.vertx	vertx-tcp-eventbus-bridge	4.0.0-milestone3		31b56dfcad52d9e1ec2c05d4547bade44a47521a
io.vertx	vertx-tcp-eventbus-bridge	4.0.0-milestone4		bffc703d59275a1e716aaee454bea96870f13995
io.vertx	vertx-tcp-eventbus-bridge	4.0.0-milestone5		bbb75dccc8f15ed09db8fd5f9cade13aeb0d29eb
io.vertx	vertx-tcp-eventbus-bridge	4.0.0.Beta1		9ec5b191ce61fc7482697a6004c10eca93eba4f3
io.vertx	vertx-tcp-eventbus-bridge	4.0.0.Beta2		f1849e5bf86ef927c5c638b04b5cc90d726b3666
io.vertx	vertx-tcp-eventbus-bridge	4.0.0.Beta3		70cac3b06d9288b5e7ec4732f30889e4a11f6961
io.vertx	vertx-tcp-eventbus-bridge	4.0.0.CR1		794ca00ae93257884ea7586cea4458174ffd497f
io.vertx	vertx-tcp-eventbus-bridge	4.0.0.CR2		7953d4f000acc9900c245a54effb318ee528f281
io.vertx	vertx-tcp-eventbus-bridge	4.0.1		f2fc72ea34e078ee3aeef3882edd7f1dbc426b40
io.vertx	vertx-tcp-eventbus-bridge	4.0.2		aad89a43a6854c16955f68c4db3a8b870c435782
io.vertx	vertx-tcp-eventbus-bridge	4.0.3		4fc929c7977fb3f477935a1d7ee3987bfe86d7e1
io.vertx	vertx-tcp-eventbus-bridge	4.1.0		0098aa4393e4dec8925e2e8c66d560f91abc8a60
io.vertx	vertx-tcp-eventbus-bridge	4.1.0.Beta1		8a9f95a5515cc1b58e136b60a98dd4f7e17c7385
io.vertx	vertx-tcp-eventbus-bridge	4.1.0.CR1		68e96ff692a392da97835350ccbd775e9814a8c9
io.vertx	vertx-tcp-eventbus-bridge	4.1.0.CR2		0d6913aafdfe45bab77067dded7216d854bf4713
io.vertx	vertx-tcp-eventbus-bridge	4.1.1		5ae30ceec97deb131c6b86fbf67d48c333977e6b
io.vertx	vertx-tcp-eventbus-bridge	4.1.2		540b2f65f3c20c72151a70343696d9237fbfe2a2
io.vertx	vertx-tcp-eventbus-bridge	4.1.3		e21fe889a336e49c8c81f62ad137751668ad677f
io.vertx	vertx-tcp-eventbus-bridge	4.1.4		8ebdec19aab15f8ea36cd23a34b1084216f2fcd3
io.vertx	vertx-tcp-eventbus-bridge	4.1.5		9f9d2a8f44e09abeb66c2130ca0353bc99e7676f
io.vertx	vertx-tcp-eventbus-bridge	4.1.6		461bead65ede8978af0d2f4eaa7b219ac866eb6c
io.vertx	vertx-tcp-eventbus-bridge	4.1.7		9bfc017ecc7ff5e2ebf1df91fd797baefb1de7e3
io.vertx	vertx-tcp-eventbus-bridge	4.1.8		1886b545c08705b58c933eb39761ea5f406eee00
io.vertx	vertx-tcp-eventbus-bridge	4.2.0		b23ab3a366728829b339ed35c8e65ef8e1c624a2
io.vertx	vertx-tcp-eventbus-bridge	4.2.0.Beta1		d70cf7906ea9cc544fe96b0e9f844115eb89e59a
io.vertx	vertx-tcp-eventbus-bridge	4.2.0.CR1		7e92b7a4a2771dfa30977d2278b0ba666fe8ae1d
io.vertx	vertx-tcp-eventbus-bridge	4.2.1		93cae4629aa901892b77e400c263a65d5441c470
io.vertx	vertx-tcp-eventbus-bridge	4.2.2		2f1c1af639a224a55ddfeac624e39273a652a120
io.vertx	vertx-tcp-eventbus-bridge	4.2.3		f53fde15005dfe94391592781e7ec77abd9d2e33
io.vertx	vertx-tcp-eventbus-bridge	4.2.4		3b2c3ed7ccae121139c553444df4ac36f318abb1
io.vertx	vertx-tcp-eventbus-bridge	4.2.5		7233aa97a1b4e8ba58860d211dac84646caf552b
io.vertx	vertx-tcp-eventbus-bridge	4.2.6		c986f24a46a979ca9345f23fc570b91acdf82dac
io.vertx	vertx-tcp-eventbus-bridge	4.2.7		83cfd4165ce87698f7d8119866d3ec6adc645768
io.vertx	vertx-tcp-eventbus-bridge	4.3.0		4f36d7a526f5eb260260ac071fa182e08c871273
io.vertx	vertx-tcp-eventbus-bridge	4.3.1		5c40f49c20d5fd8e38d7b5f42a64bc9ccaca805f
io.vertx	vertx-tcp-eventbus-bridge	4.3.2		7a9b5e991167a72acc44d97831492648dd72d955
io.vertx	vertx-tcp-eventbus-bridge	4.3.3		7a5ba5e214d6aae9f97579ddda53732be5ed5f2e
io.vertx	vertx-tcp-eventbus-bridge	4.3.4		a191cbaef459f8d3498eb66a7cf2559a22949277
io.vertx	vertx-tcp-eventbus-bridge	4.3.5		e04aaf24fcac336a2439ef9aff56bd07197a5b4b
io.vertx	vertx-tcp-eventbus-bridge	4.3.6		705485102a6d74e0e9b0b8924581ec5e2fc25d5a
io.vertx	vertx-tcp-eventbus-bridge	4.3.7		fcb596428add10ac2c1c49ec7694fb723a3f19c3
io.vertx	vertx-tcp-eventbus-bridge	4.3.8		269c374c445d28dfc98345ab2fc8c874650c1a36
io.vertx	vertx-tcp-eventbus-bridge	4.4.0		386a2089df84e3aa6095e6beea7ff18b4a9e7fa4
io.vertx	vertx-tcp-eventbus-bridge	4.4.1		06d87335b8ee256a57fd4da9de57f46d751a2d62
io.vertx	vertx-tcp-eventbus-bridge	4.4.2		cdd7d4ee8ee422793d005991879eac9ce8010413
io.vertx	vertx-tcp-eventbus-bridge	4.4.3		0dbe8853a7add93ab7ce977ed19812c1457c2d42
io.vertx	vertx-tcp-eventbus-bridge	4.4.4		a37692c48aadfce28affde85ad580eabf087ae03
io.vertx	vertx-tcp-eventbus-bridge	4.4.5		681de353365762f689b437789bf46b728b69bcab
io.vertx	vertx-tcp-eventbus-bridge	4.4.6		4a2462611b2991911000bd8c36cd44c1c0004d5f
io.vertx	vertx-tcp-eventbus-bridge	4.4.7		26bd93629d20ec85d6796bde1c3dc589d7c40a81
io.vertx	vertx-tcp-eventbus-bridge	4.4.8		4e843588060992375ae503ba2e2d87ebcb511f65
io.vertx	vertx-tcp-eventbus-bridge	4.4.9		ab8699dcafaf4eee4120b31fcb5f5898f7e2d84d
io.vertx	vertx-tcp-eventbus-bridge	4.5.0		a8f79e30f8f185e267a4c2ca09f1776b146ef077
io.vertx	vertx-tcp-eventbus-bridge	4.5.1		9501c02dfb2cb9b2b9b81eb899b0766998877b1e
io.vertx	vertx-tcp-eventbus-bridge	4.5.10		d2eb3fd58a834c83e06befb2483263d3bb695686
io.vertx	vertx-tcp-eventbus-bridge	4.5.11		efb237684b82c3176369d94e52c703dc022a00ac
io.vertx	vertx-tcp-eventbus-bridge	4.5.12		f6d679ae83d51eb17409775066f531024185fd17
io.vertx	vertx-tcp-eventbus-bridge	4.5.13		d0399e1c86173c15e3de6b5429be84c74c5c4422
io.vertx	vertx-tcp-eventbus-bridge	4.5.14		094d14937c4d9e78ea8b9312a89bb0c83a62950a
io.vertx	vertx-tcp-eventbus-bridge	4.5.2		184fd34170fdca1a7729c04d2598af2537cb5f44
io.vertx	vertx-tcp-eventbus-bridge	4.5.3		7752943e61dd57496fdc628162fa395ab7ea3fcf
io.vertx	vertx-tcp-eventbus-bridge	4.5.4		80bc3d2ad31430a0c3acb45f09eb5ecb8cc5e0d4
io.vertx	vertx-tcp-eventbus-bridge	4.5.5		4ffd1577e8bde9a8e9052596c3f0c1086e770f8b
io.vertx	vertx-tcp-eventbus-bridge	4.5.6		9c69fe766fd659a8a1e8b4b944082cd404389f50
io.vertx	vertx-tcp-eventbus-bridge	4.5.7		40fad34943ba47abfbf53daec2a53d21f79ef071
io.vertx	vertx-tcp-eventbus-bridge	4.5.8		dc4ec20e43685e06eaa27ca82a3a702c0e3b43af
io.vertx	vertx-tcp-eventbus-bridge	4.5.9		fa763331322f270dc86d79cb03ded5c6a1a8b896
io.vertx	vertx-tcp-eventbus-bridge	5.0.0.CR1		10af12a58280bf59e7950f8dc8eb53fc44f6efb1
io.vertx	vertx-tcp-eventbus-bridge	5.0.0.CR2		5cd31d8fe59cc66ce9ed1023174b670f3c303fc1
io.vertx	vertx-tcp-eventbus-bridge	5.0.0.CR3		a66db770f32abe89a8e0243b097e6f486bf4551c
io.vertx	vertx-tcp-eventbus-bridge	5.0.0.CR4		3fae1074b7daf2b60da2d4ea124450e40091f7ec
io.vertx	vertx-tcp-eventbus-bridge	5.0.0.CR5		42ea36d47dc99bc099d0fc7ed3c5a9027961d4e1
io.vertx	vertx-tcp-eventbus-bridge	5.0.0.CR6		54dbd8725195666bd8be5c0209fba99ea03bb8cf
io.vertx	vertx-tcp-eventbus-bridge	5.0.0.CR7		60fff20ed3b05863f7d2bbfa64ef948833d2a1be
love.forte.simbot.component	simbot-component-miyoushe-villa-stdlib-iossimulatorarm64	0.0.1		N/A
love.forte.simbot.component	simbot-component-miyoushe-villa-stdlib-iossimulatorarm64	0.0.1	metadata	1f1d679a505e624d9eb27c9ea6eec287a6e95d45
love.forte.simbot.component	simbot-component-miyoushe-villa-stdlib-iossimulatorarm64	0.0.2		N/A
love.forte.simbot.component	simbot-component-miyoushe-villa-stdlib-iossimulatorarm64	0.0.2	metadata	2fa7026f17ec2d376952960a02c5b2f00fe75637
love.forte.simbot.component	simbot-component-miyoushe-villa-stdlib-iossimulatorarm64	0.1.0		N/A
love.forte.simbot.component	simbot-component-miyoushe-villa-stdlib-iossimulatorarm64	0.1.0	metadata	85f965e34738b118a9aef00f83da26f2de753557
love.forte.simbot.component	simbot-component-miyoushe-villa-stdlib-iossimulatorarm64	0.2.0		N/A
love.forte.simbot.component	simbot-component-miyoushe-villa-stdlib-iossimulatorarm64	0.2.0	metadata	d5896e17e6588eece7520d1857805e3b897c548a
monetdb	monetdb-jdbc-new	2.25		548903a69ef3ca5c0016d21ce9021d8268ef8926
monetdb	monetdb-jdbc-new	2.30		777ad0826610b64c1d0ddaf20c6f8f8331b43880
monetdb	monetdb-jdbc-new	2.31		179cc47aa16d87462b9595dbf6d02183492187d6
monetdb	monetdb-jdbc-new	2.32		a43a6b84975a9bd0b26005d61835070a65cf97d0
monetdb	monetdb-jdbc-new	2.33		fa229c7e69c2d825ad1131b535224c9a0ea87081
monetdb	monetdb-jdbc-new	2.34		cad8e6dc8d57e8e8f0bc5ef795c15e3bb0a71e87
monetdb	monetdb-jdbc-new	2.35		f86d0fa674e0a76056b3a1f297d05d7b98d94223
monetdb	monetdb-jdbc-new	2.36		55b3c4fea389d9d69297cfb882f6c0a0c4b44599
monetdb	monetdb-jdbc-new	2.37		d56fbe12d052c0f1dfc78c8a1906040482de1173
net.scalax.djx314	sbt-depts-djx314-plugins_2.12	0.0.1-M1038		7ac9383c5720f85446713e879baaad13a357b21a
net.scalax.djx314	sbt-depts-djx314-plugins_2.12	0.0.1-M1065		227643e6921c3098eb13b935ad5dea53832506df
net.scalax.djx314	sbt-depts-djx314-plugins_2.12	0.0.1-M1075		5eccedcf83ed36b950ebf57332b32cb3a9e3e40c
net.scalax.djx314	sbt-depts-djx314-plugins_2.12	0.0.1-M1125		6f018f72138cefa541a09e4a2e76a95d106fddb4
net.scalax.djx314	sbt-depts-djx314-plugins_2.12	0.0.1-M1487		3b5f0d49cd900b0e8ed4c554572b414b0c2ef21a
net.scalax.djx314	sbt-depts-djx314-plugins_2.12	0.0.1-M1496		38c167ac206a620e2a5327d0dd52f6ebe6f62097
net.scalax.djx314	sbt-depts-djx314-plugins_2.12	0.0.1-M1499		ef60740f30534b56bef207b272fe6c9c0dd5ee80
net.scalax.djx314	sbt-depts-djx314-plugins_2.12	0.0.1-M245		eb98f1d20aaa9ec6f4f277a1e5fb444fd61ef520
net.scalax.djx314	sbt-depts-djx314-plugins_2.12	0.0.1-M253		cc7baa696c7b82f53e234e6e324c22b868f4ae19
net.scalax.djx314	sbt-depts-djx314-plugins_2.12	0.0.1-M323		8524a7cb0e609cb71764e0d6c54b01190e036ce4
net.scalax.djx314	sbt-depts-djx314-plugins_2.12	0.0.1-M332		b28ca14e7544d77ae2958d4791b5c9868df92071
net.scalax.djx314	sbt-depts-djx314-plugins_2.12	0.0.1-M334		ef4dbca2b4d3d5f1ed1f15a5cf3650441fab44bb
net.scalax.djx314	sbt-depts-djx314-plugins_2.12	0.0.1-M337		e0eef74232c95f2bc7fd8402f7d15fefb0804e18
net.scalax.djx314	sbt-depts-djx314-plugins_2.12	0.0.1-M338		a879d40c595fa7c3426e5ed772cd9816d0892466
net.scalax.djx314	sbt-depts-djx314-plugins_2.12	0.0.1-M339		2b5dce68ed5d5127ac21ca21701748aecaca534e
net.scalax.djx314	sbt-depts-djx314-plugins_2.12	0.0.1-M346		1696e9507923aa8e4ab537b210e43fdf40f65d0e
net.scalax.djx314	sbt-depts-djx314-plugins_2.12	0.0.1-M350		e3c441c813f155649b259bd3602c73a6b109644a
net.scalax.djx314	sbt-depts-djx314-plugins_2.12	0.0.1-M365		33d53d716e8a80643ed8c68579739e004f7075c5
net.scalax.djx314	sbt-depts-djx314-plugins_2.12	0.0.1-M402		477ff99d3f7172931a35ab1883a6c842759db942
net.scalax.djx314	sbt-depts-djx314-plugins_2.12	0.0.1-M465		7d29b570e0f28380f6e2c8ca7ae7bf981d45d09d
net.scalax.djx314	sbt-depts-djx314-plugins_2.12	0.0.1-M614		f0453777c1f3a6716088399f0a95052a6b85d752
net.scalax.djx314	sbt-depts-djx314-plugins_2.12	0.0.1-M617		a6387a6ff1578159276e13076fe54ae749d0b650
net.scalax.djx314	sbt-depts-djx314-plugins_2.12	0.0.1-M643		3c1aff2bf8e86acd5a64b411c864dc1f653dfb21
net.scalax.djx314	sbt-depts-djx314-plugins_2.12	0.0.1-M704		aaee18fa0642d3037fad981b6aa2cb1bc299477d
