com.clever-cloud.pulsar4s	pulsar4s-zio_2.13	2.8.1		7ba8dc4e21ef29720a7eeb880614aa047359996c
com.clever-cloud.pulsar4s	pulsar4s-zio_2.13	2.8.2		ed30932c551de667826c2f429f917e20dfa4dd8f
com.clever-cloud.pulsar4s	pulsar4s-zio_2.13	2.9.0		a3d4dbfe79c4e7146083f29968b42b037c9a615a
com.clever-cloud.pulsar4s	pulsar4s-zio_2.13	2.9.1		7e37e63e2ec38c11ed16cccf41e409834c5a33ea
com.clever-cloud.pulsar4s	pulsar4s-zio_2.13	v2.8.2		36db278133cc16c92ab25cb1a1ba602ea129c78a
com.clovellytech	cats-scalacheck_2.13	0.2.0.1		ab0dddd7dde5f1220c43adc802f3113f35c17b42
com.farao-community.farao	gridcapa-task-manager	0.0.1		N/A
com.farao-community.farao	gridcapa-task-manager	0.1.0		N/A
com.farao-community.farao	gridcapa-task-manager	0.2.0		N/A
com.farao-community.farao	gridcapa-task-manager	0.3.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.0.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.1.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.1.1		N/A
com.farao-community.farao	gridcapa-task-manager	1.1.2		N/A
com.farao-community.farao	gridcapa-task-manager	1.10.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.11.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.12.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.13.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.14.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.15.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.16.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.17.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.17.1		N/A
com.farao-community.farao	gridcapa-task-manager	1.18.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.19.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.2.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.20.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.21.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.21.1		N/A
com.farao-community.farao	gridcapa-task-manager	1.22.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.22.1		N/A
com.farao-community.farao	gridcapa-task-manager	1.23.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.24.1		N/A
com.farao-community.farao	gridcapa-task-manager	1.25.0		N/A
com.farao-community.farao	gridcapa-task-manager	1.26.0		N/A
