br.com.anteros	br.com.anteros.client.mqttv3.repository	1.2.2		N/A
io.fabric8.forge.distro	distro	2.3.9		N/A
io.fabric8.forge.distro	distro	2.3.90		N/A
io.github.adempiere	cashflow	3.9.4		e6933704516c8b5c1b9cfe4138fb269971286338
io.github.adempiere	cashflow	3.9.4-develop-1.0		aa22df3769e6305db4bd9558dc9eae44e8c69379
io.github.adempiere	cashflow	3.9.4-develop-1.1		132551c358fb451477dee76bb911bc77314d6293
io.github.adempiere	cashflow	3.9.4-rc-1.0.1		aedc585f7bd7011460ebfff0b6bf13b3267dd3ed
io.github.adempiere	cashflow	3.9.4-rc-1.0.2		bcf9eb7bc0938b84902b1fc4c5900e00cd1be48e
io.github.adempiere	cashflow	3.9.4-rc-1.0.4		d9714d06db51241f7327e5e90526fb9204880159
io.github.adempiere	cashflow	3.9.4-rc-1.0.6		d5667f1d192e94af9dc4d196fc8b06578f45d762
io.github.adempiere	cashflow	3.9.4.001		4418c1468724cc03acd8e832281d3c12a156549c
io.github.adempiere	cashflow	v3.9.4.001		ec18cdfc8e371ffe14b0399c6ec6f81fc9d58160
io.github.alexzhirkevich	cupertino-native-desktop	0.1.0-alpha01		3e07ea97d6e6e4313f661d8ddd0da4f047908315
io.github.alexzhirkevich	cupertino-native-desktop	0.1.0-alpha02		55d6b0c89d0bc306590b9b24bc616b14d68cd60b
io.github.alexzhirkevich	cupertino-native-desktop	0.1.0-alpha03		51fd7bdbf167dcd6965c33f83cef63f4e2d474a9
io.github.alexzhirkevich	cupertino-native-desktop	0.1.0-alpha04		f97a525268396080fbbe56c652644cf0460bf3a9
io.github.aliyun-sls	android-gradle-v7_0	0.1.0		c98da349b41850246e55d748c909f8c892689769
io.github.aliyun-sls	android-gradle-v7_0	0.1.1		ffe834e26a9fcf2047d7678ce7d17b55715e39ca
io.github.aliyun-sls	android-gradle-v7_0	0.1.2		e9ddd5239a498b234e982cc9c902101ad177c289
io.github.aliyun-sls	android-gradle-v7_0	0.1.2-beta.1		3e59ce8822d1f85497ebcf1ee60834914614bf13
io.github.aliyun-sls	android-gradle-v7_0	0.1.2-beta.2		27b1a2a19ab0e206ff791f30ab79804a79647475
io.github.aliyun-sls	android-gradle-v7_0	0.1.2-beta.3		da24b8606b331d36671648f92e2d5cc66117aaa8
io.github.aliyun-sls	android-gradle-v7_0	0.1.3		790c64be34a012f165fd75059ca009a3315a9043
io.github.aliyun-sls	android-gradle-v7_0	0.2.0		90dda6ade6c5ea8f3f8a875ccb47b8e806afa5ab
io.github.aliyun-sls	android-gradle-v7_0	1.0.0-beta.1		77af42e28899f1ad817b536581e9ba84cf1c1523
io.github.aliyun-sls	android-gradle-v7_0	1.0.0-beta.2		a0db03fd73f98a2c24cd66f9c85b3b30c4835aa4
io.github.aliyun-sls	android-gradle-v7_0	1.0.0-beta.3		82fb637305b7c591e5ed41932fa38131c242515c
io.github.aliyun-sls	android-gradle-v7_0	1.0.0-beta.4		1e768fa7b60aed965134827ebb5a95a6c6d93ed6
io.github.aliyun-sls	android-gradle-v7_0	1.0.0-beta.5		767fbd9e2e4798f68e150bf9479bccb925fa6a80
io.github.aliyun-sls	android-gradle-v7_0	1.0.0-beta.6		0ab739f3539e200095e400fde2a647727162afaa
io.github.aliyun-sls	android-gradle-v7_0	1.0.0-beta.7		cb11b079ad7526ee7cad7df354b991355adce2eb
io.github.aliyun-sls	android-gradle-v7_0	1.0.0-beta.8		bba32109ebc49dc600699ab0dfe2c77d20f8cbb3
io.github.cozodb	cozo_java	0.1.7		ac3e5abcf43a63e4bc18a884df97b190f325410e
io.github.cozodb	cozo_java	0.2.2		ec205be845b971c96c337c59a283d779f28405dd
io.github.cozodb	cozo_java	0.3.0		175c872d23fe650c2abe9ea3232a2355c97c0700
io.github.cozodb	cozo_java	0.4.0		1fc399ccd017607f7c7c4ba458afbe58a8b80f1f
io.github.cozodb	cozo_java	0.4.1		410f57a4592785c68a827e96e02653167a51ab58
io.github.cozodb	cozo_java	0.5.0		3bc2c1949785bd01f1671132c3b5a26cd531ebde
io.github.cozodb	cozo_java	0.5.1		5206ffbbc96927b5e67cec3aec21891ddc4cb13c
io.github.cozodb	cozo_java	0.6.0		f7cc8f9b319b9433f694c7fcb705797bf3789966
io.github.cozodb	cozo_java	0.7.0		85463623bfa6598235ebb0cfcf2ddf83103d2daa
io.github.cozodb	cozo_java	0.7.1		754dcaa22978bdce132cd0255fc384d259870115
io.github.cozodb	cozo_java	0.7.2		c99b90b92d5b731a314e9f932c6abc6af11ec1ff
io.github.cozodb	cozo_java	0.7.5		65a214f617b26eb861c6447edf35d10eebd0e921
io.github.gmazzo.codeowners	matcher	2.0.3		5b5d6bdfda861bc1c15207a601415e62db21f712
io.github.gmazzo.codeowners	matcher	2.0.4		83a7cf4c43b5088bdec98244c5db24018ddbcfa4
io.github.gmazzo.codeowners	matcher	2.1.0		6b6460b68722c29090d5258030b0f447705e27e7
io.github.gmazzo.codeowners	matcher	2.2.0		faf8247e4198884574bce6679886ae9fd4bb82fa
io.github.gmazzo.codeowners	matcher	2.3.0		6cb4dd2e92df9e69505ae1bc9c9d3e2876213b93
io.github.gmazzo.codeowners	matcher	2.4.1		4f0dcb2ad8e4d5f447a58d271de406927d5ed0eb
io.github.gmazzo.codeowners	matcher	2.4.2		45f6f7939907b12b30a28fabd15b29c1f0ac226d
io.github.john-tuesday	measure-test-watchosarm32	2.0.0-alpha05		N/A
io.github.john-tuesday	measure-test-watchosarm32	2.0.0-alpha05	metadata	13ebab34e03ba2895ad22f43684f307060df62d4
io.github.openconnectors	connector-kafka010	0.0.2		fa74187641f4192f84ca4468b25cd249021d358a
io.github.openconnectors	connector-kafka010	0.0.3		463b454c29c3332507d3f2a2cdc89758de584c45
io.github.ulitol97	comet_3	0.1.0		3633effd5b40eae3fc31d994b1fb7ab4d1ec4e84
io.github.ulitol97	comet_3	0.1.1		44654d3746d3461cb4adee2bb107027a2209ef12
io.github.ulitol97	comet_3	0.1.2		0f684f7aaae760a8f32b7329aa2f43e62d812727
io.github.ulitol97	comet_3	0.1.3		73034af1039cba7bdfd6717fc1933c0faafed3fc
io.github.ulitol97	comet_3	0.1.4		e7ccc537779bbefc7b2410ad8e01bc472c2b6aa8
io.github.ulitol97	comet_3	0.1.5		9385ba5803523328b9e01b54a1123135d01873af
io.github.ulitol97	comet_3	0.1.6		1bd047dbecc67ad367c03a8f8590c7f712b63e0a
io.github.ulitol97	comet_3	0.1.7		5aefba8a8fb5ce94c0173a3ab9c780305276c3e7
io.mraa.at.upm	upm_groveelectromagnet	1.2.0		N/A
io.mraa.at.upm	upm_groveelectromagnet	1.3.0		N/A
io.mraa.at.upm	upm_groveelectromagnet	1.5.0		N/A
io.mraa.at.upm	upm_groveelectromagnet	1.6.0		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	18.0.0.3		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	18.0.0.4		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	19.0.0.1		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	19.0.0.10		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	19.0.0.11		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	19.0.0.12		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	19.0.0.2		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	19.0.0.3		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	19.0.0.4		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	19.0.0.5		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	19.0.0.6		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	19.0.0.7		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	19.0.0.8		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	19.0.0.9		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	20.0.0.1		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	20.0.0.10		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	20.0.0.11		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	20.0.0.12		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	20.0.0.2		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	20.0.0.3		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	20.0.0.4		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	20.0.0.5		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	20.0.0.6		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	20.0.0.7		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	20.0.0.8		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	20.0.0.9		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	21.0.0.1		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	21.0.0.10		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	21.0.0.11		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	21.0.0.12		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	21.0.0.2		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	21.0.0.3		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	21.0.0.4		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	21.0.0.5		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	21.0.0.6		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	21.0.0.7		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	21.0.0.8		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	21.0.0.9		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	22.0.0.1		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	22.0.0.10		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	22.0.0.11		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	22.0.0.12		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	22.0.0.13		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	22.0.0.2		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	22.0.0.3		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	22.0.0.4		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	22.0.0.5		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	22.0.0.6		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	22.0.0.7		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	22.0.0.8		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	22.0.0.9		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	23.0.0.1		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	23.0.0.10		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	23.0.0.11		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	23.0.0.12		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	23.0.0.2		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	23.0.0.3		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	23.0.0.4		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	23.0.0.5		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	23.0.0.6		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	23.0.0.7		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	23.0.0.8		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	23.0.0.9		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	24.0.0.1		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	24.0.0.10		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	24.0.0.11		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	24.0.0.12		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	24.0.0.2		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	24.0.0.3		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	24.0.0.4		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	24.0.0.5		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	24.0.0.6		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	24.0.0.7		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	24.0.0.8		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	24.0.0.9		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	25.0.0.1		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	25.0.0.2		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	25.0.0.3		N/A
io.openliberty.features	com.ibm.websphere.appserver.mpFaultTolerance-metrics	25.0.0.4		N/A
io.openliberty.features	ejbHome	24.0.0.10		N/A
io.openliberty.features	ejbHome	24.0.0.11		N/A
io.openliberty.features	ejbHome	24.0.0.12		N/A
io.openliberty.features	ejbHome	24.0.0.8		N/A
io.openliberty.features	ejbHome	24.0.0.9		N/A
io.openliberty.features	ejbHome	25.0.0.1		N/A
io.openliberty.features	ejbHome	25.0.0.2		N/A
io.openliberty.features	ejbHome	25.0.0.3		N/A
io.openliberty.features	ejbHome	25.0.0.4		N/A
io.swagger.core.v3	swagger-maven-plugin	2.0.10		4d5edb43390ce55d0fe77027b999b096b47142f8
io.swagger.core.v3	swagger-maven-plugin	2.0.5		6b3817d3b00d36cd54a849f63286061387d776c9
io.swagger.core.v3	swagger-maven-plugin	2.0.6		e75cd531c2fe125bea369ed2bab89b00a31d27ef
io.swagger.core.v3	swagger-maven-plugin	2.0.7		2920f3189b61ca4fcb25b87af21b5df5a9d695f0
io.swagger.core.v3	swagger-maven-plugin	2.0.8		1c6bf915488c73c516b53a89c7d0d67e2ef33053
io.swagger.core.v3	swagger-maven-plugin	2.0.9		301adadb8465cf03abf357e570b7f04854c062b8
io.swagger.core.v3	swagger-maven-plugin	2.1.0		f4d4bfa180010e691e034381d4cfdff089357188
io.swagger.core.v3	swagger-maven-plugin	2.1.1		da6aa7d30145e15ee2fd27f184115907a7e4c2e2
io.swagger.core.v3	swagger-maven-plugin	2.1.10		bddbcc1317821d2dacb26720d6e1c828cbe90beb
io.swagger.core.v3	swagger-maven-plugin	2.1.11		7da7d3e7d12c3ed15fa506ea850d7ad20c0e0935
io.swagger.core.v3	swagger-maven-plugin	2.1.12		6fb4a1ce1ee569e6624bc21d0cb26895cf4a73ff
io.swagger.core.v3	swagger-maven-plugin	2.1.13		1b67237b08cab961d6f779e128379850f01b7855
io.swagger.core.v3	swagger-maven-plugin	2.1.2		3a195a31a8c22c88c4abfa2bca10779fc1896536
io.swagger.core.v3	swagger-maven-plugin	2.1.3		a8cfa965993b93d452b7ea36b0aeb44c204d1f6f
io.swagger.core.v3	swagger-maven-plugin	2.1.4		dc36b42f2a426000052a4e3ed1503771ffd26baa
io.swagger.core.v3	swagger-maven-plugin	2.1.5		bed6671c1f879e4ccc907532cbaf506a92f53727
io.swagger.core.v3	swagger-maven-plugin	2.1.6		4b382a457989a224b3fa36f3bdbee5ccc74e63df
io.swagger.core.v3	swagger-maven-plugin	2.1.7		db34404fc888e70a015834096cd0271260535a59
io.swagger.core.v3	swagger-maven-plugin	2.1.8		05fd23e4c2bd483b3d070757f0cb47cd2f861d03
io.swagger.core.v3	swagger-maven-plugin	2.1.9		082ce10e852dd818b7ff5af11fe716b92508603d
io.swagger.core.v3	swagger-maven-plugin	2.2.0		8fbb6bcdf9a5bc74222381603d90dfdc7cc041bd
io.swagger.core.v3	swagger-maven-plugin	2.2.1		994a2d19f03b84b088f6131696131d936d51ba14
io.swagger.core.v3	swagger-maven-plugin	2.2.10		5b17b758cc3ef5e0a2cd87d66d2fef973d8782bb
io.swagger.core.v3	swagger-maven-plugin	2.2.11		9f1381adcf69500d0367bd31452e8f5b0361a1bd
io.swagger.core.v3	swagger-maven-plugin	2.2.12		30097ed8df0f05a257eb313ab3ffd9c0c18cd7c8
io.swagger.core.v3	swagger-maven-plugin	2.2.13		236fb34b7b041651f9e8a996aa509b48d34b6eb3
io.swagger.core.v3	swagger-maven-plugin	2.2.14		cacc75c2d586292b00aa948400d8f59383befef7
io.swagger.core.v3	swagger-maven-plugin	2.2.15		ba53c5eb3d1b5ee4bbe4529b530a479c7538cdf0
io.swagger.core.v3	swagger-maven-plugin	2.2.16		6e18123243f9b6c5ba55859d47e4dabfdb66018a
io.swagger.core.v3	swagger-maven-plugin	2.2.17		0ba8309a2c3e4ea6243ebf24d752d2c805f29d86
io.swagger.core.v3	swagger-maven-plugin	2.2.18		c95669e51e3057b3aa89ca49cbea593c25e27253
io.swagger.core.v3	swagger-maven-plugin	2.2.19		a9b65d4c7f16ea67f9041c50cb0f12dce8fc1e45
io.swagger.core.v3	swagger-maven-plugin	2.2.2		770c056c398d8a092e43cdbb4120f037b94aef52
io.swagger.core.v3	swagger-maven-plugin	2.2.20		7229c5c02af24422c31fcc192de27bab732692b2
io.swagger.core.v3	swagger-maven-plugin	2.2.21		6a1d02761df3874b76bfa734de6f7eb0af035c1b
io.swagger.core.v3	swagger-maven-plugin	2.2.22		b73ee679370581143cfab22e2e55a6ada4bcb136
io.swagger.core.v3	swagger-maven-plugin	2.2.23		87376e00ed75f7c861d74c5b869b7aba2eeeef8b
io.swagger.core.v3	swagger-maven-plugin	2.2.24		de48e0db6e61e4186d42f304c2a9031cddc063cc
io.swagger.core.v3	swagger-maven-plugin	2.2.25		f10829aec4f524dcdc38f507a261260279c8f267
io.swagger.core.v3	swagger-maven-plugin	2.2.26		22b7e7ab5b8e40ed13a6207630a33dd7ced521ae
io.swagger.core.v3	swagger-maven-plugin	2.2.27		aa92ad9855baa8f83a7e3ec7c8667610baa6d723
io.swagger.core.v3	swagger-maven-plugin	2.2.28		cba25947bb86db6615aa857592ec39ad92746628
io.swagger.core.v3	swagger-maven-plugin	2.2.29		bf3036cb7e5337d98313e409e8040daf8b66e2dc
io.swagger.core.v3	swagger-maven-plugin	2.2.3		c2b53a4b9788389546efbc06e32f7262870fa0f0
io.swagger.core.v3	swagger-maven-plugin	2.2.30		bf10f539ff11639c79b6ceed9256ba2c60493952
io.swagger.core.v3	swagger-maven-plugin	2.2.4		888004a2fff123b84fccef7431023d5de6b80c27
io.swagger.core.v3	swagger-maven-plugin	2.2.5		818fa9248560f9854ba798c967d2fddb19a9370a
io.swagger.core.v3	swagger-maven-plugin	2.2.6		94a00e749dc10029e64941c82975397616f062e6
io.swagger.core.v3	swagger-maven-plugin	2.2.7		6f682647f62d7cda088c19954d35b4d5fc3ff0f3
io.swagger.core.v3	swagger-maven-plugin	2.2.8		f014c6cfd020ac369fc8187d6fdd4f3b2b1c7d18
io.swagger.core.v3	swagger-maven-plugin	2.2.9		ef9df9d815f983b198039ca9f6a30355b3793e20
me.magicall	web-springmvc	1.1.0		b629d5fc853ade9e38881844f0c9005047e562ec
me.magicall	web-springmvc	1.2.2		7293e9dbec1f101e545ff3680f860dd6437f9aef
me.magicall	web-springmvc	1.2.3		b35d37a0ddb8d53f3a9a5d82a763b22c7b12becd
me.magicall	web-springmvc	1.2.4		9a17e30a6d6f12d14e7d115ec55bc5ef571ac3a9
me.magicall	web-springmvc	1.3.0		d8962eb2f92064020f6988649cf463d38e851c92
me.magicall	web-springmvc	1.3.1		742dd562c10c365e45991667771f000a01ef4771
me.magicall	web-springmvc	1.3.2		56461b35bfe48b1167cd0763bde5ba91332a45b4
me.magicall	web-springmvc	2.0.0		85ccd0e3a9be19d02087ba07dc12649bb39c3f03
me.magicall	web-springmvc	2.1.0		b940232bc89d498db459c8fecc4cba673e8935c9
me.magicall	web-springmvc	2.11.0		6bb1597229157a926e10426fba09f69b4f881758
me.magicall	web-springmvc	2.13.0		8a5d1248fb5f38226c108d771207703787505807
me.magicall	web-springmvc	2.15.0		25c196a29b825d0571157b13831ba9241f8f75c4
me.magicall	web-springmvc	2.2.0		cad0966c65bb1a00416f2bb9e4d91019300d38bf
me.magicall	web-springmvc	2.5.0		8ab6151db18f8e2274de0911ef57baf369f64cb6
me.magicall	web-springmvc	2.6.0		c0705e14e7245fdc1fe38bedb319daf7678fc4a4
me.magicall	web-springmvc	2.7.0		40bf6cfeff6b51a03d64e7da4671d1a041a5b339
me.magicall	web-springmvc	2.8.0		edbf9c34edb9c3cc6054ed20dbc6ab5e6c016805
net.dongliu	xhttp-parent	2.0.0		N/A
net.dongliu	xhttp-parent	2.1.0		N/A
net.dongliu	xhttp-parent	2.1.1		N/A
net.exoego	scalajs-jquery3-compat_sjs1_2.12	1,0,0		5232db33371440d54781990e9946e142f4728f56
net.exoego	scalajs-jquery3-compat_sjs1_2.12	1.0.0		9ea6a632318f081d8187ae893d6d158dbac59c8c
net.exoego	scalajs-jquery3-compat_sjs1_2.12	2.0.0		7169cdbc6a479d920fd9a54ba524aeafe9a637b7
net.exoego	scalajs-jquery3-compat_sjs1_2.12	2.1.0		e79159c70a6014f70661df9cba45f58d9c064517
net.exoego	scalajs-jquery3-compat_sjs1_2.12	2.2.0		da0525f30e72a6f001cee28b2b6fe514ae4c30c9
net.frogmouth.chronyjava	java-chrny-candm	0.8		1aac44b38f1a15c92c5bdf00adc7893cef7568e4
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	1.5.0		d7bb9649e1dab5bed9c160722ed50998535d9d09
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	1.6.0		308c16dafcc9676e5a694ee508a8d110d5639ad7
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	1.7.0		2c337318fc66d67e3594fa7aab7b8e91afdc0508
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	1.8.0		2f84416dfb90f96fbe2f6831b221e70b9292c4c3
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	1.8.1		d5d6cf73f2c77c76011fdd582527b3912096a834
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	2.0.0		c822327b1e6caa898f653608064094a282567a3b
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	2.0.0-M1		1734baa1669cf1325992efbf15bfdcaccf05b71a
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	2.0.0-M2		6e7cf900e19517d3a9d410b2db26db389907e901
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	2.1.0		2e813fd8fb2ac77b210172b97042937c44d263c2
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	2.10.0		6667510dee9b2f15862cd533f46f4e7c1a9a9318
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	2.11.0		f3ff1f3d7d9f78f13e28f591328f2904cb9aa50a
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	2.12.0		a4abc98c9296761f336b20c32739a9fbccb9c13d
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	2.13.0		954df104fc0ea204e8a477423ce9e00444cb5d77
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	2.13.1		5749f8c57cc48146933afabe21f5a127560b22ef
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	2.13.2		b19a61fd55672d6a1a031cfaae1d7a7ad16976f5
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	2.13.3		db2b8f68af572c914f02e433c354334e5c4b0d4b
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	2.14.0		2ee7b948bb7a6e2f1b865a5c03d8e1f11850a93c
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	2.15.0		981588894d75fcaa33afdcc47d83aab2e64d0958
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	2.16.0		86639987374a89a5d3de4cd59a582653d4e40740
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	2.2.0		db13a5b1b403e8e90e9bd5e9c2f7fdf0142d41fc
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	2.2.1		7ad27125f3fa471ace446fb305f7bfbf72d59ea3
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	2.3.0		60b5297b5e392a58a4ab6ff4ff2863b7f90732d1
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	2.4.0		e7192a79110c5fec8ae05c2836bdb4bb0f279267
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	2.5.0		b2af2592ab31d10d377f40c434a06adc25381d49
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	2.6.0		bc2a2807529880d72cdcbafe8588b1db484961dc
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	2.7.0		204d6bb62d3ac69548ffa7e3b18bb067ec21dc74
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	2.7.1		26a3cbe785e302df8e2757d9c6bbf4f798a05c8f
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	2.7.2		ec20cbe049219be9418ec08bc232979b23569078
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	2.8.0		b6ea6e3acc1bcdb4e55162cbd9bbc69f21e8d557
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	2.8.0-M1		2b206e427347d8a2c820705ff341017e616dce4d
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	2.9.0		12a661c3df77282ff01204d2dcf8740cf0091c78
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	3.0.0-M2		172ca12e598c744d3759eace3be00ff8e7d2e7ea
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	3.0.0-RC1		8efbdadce3870d87c30e0dd63e83ca7e293a1540
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	3.0.0-RC2		1f598a6cb433f94da6d39b0897f5105a2b641998
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	3.10.0		968411a60f4a61939a5c7fde7f5d1a6e78606707
org.apache.camel.quarkus	camel-quarkus-integration-test-google-bigquery	3.11.0		588a5e68177308ddf5e79c47a2ae8da9a1cc1270
