ch.cern.spark	spark-token-provider-kafka-0-10_2.12	3.0.1		c2417422c31b183ab9544f65630b2ef4aaeeb12a
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk17-20250404		a420c2ee61125a86b4ebf2fa20fc48c9f2618594
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk21-20240911		701ce42a1dbfcc48be1fd3a891626f43317e2dbd
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk21-20240912		a5f2758cc8834ba79c3808915cbecd3310aa172c
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk21-20240916		52f4e7a40d9e3cd76f18ee81543250f118e5814a
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk21-20240925		774bb74c2e964c17c7f76dc328dcf90aead0e78a
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk21-20240930		a142895620af955b053b41485535f079580d96bb
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk21-20241009		fdedbdc89d01a8572add6cda3650ed0994c44adb
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk21-20241010		43d34e5564857f6f78c29c6a82bf676c2cf4c781
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk21-20241015		16ae16a5ed1bd35ce30d8b1921026aeec55b2396
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk21-20241016		2e6df59dba20cc619be64e1ac16695ab7d348988
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk21-20241018		279d2dd7096b2886d359dee57779da46373f4e39
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk21-20241022		305500569b68792f67ab362a4d2ff35b30f08918
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk21-20241025		deb03730c974638d2a8b98222aeb161c7342b036
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk21-20241203		88f574fdd712e7566a2f4a21cd38c0776028f5e4
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk21-20241231		81c7b6639e8c4015e4554467362e066d6b26a379
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk21-20250102		502ff89aa4877e3c475f5031ae2d7f9456b5c3ba
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk21-20250108		041fe6c845c3183bf6082d035b42769c678f21f0
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk21-20250109		4704b508bc8c2402ec682e5a62ec841cc186834e
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk21-20250212		8eeb332e8018fd730961ce221c9e5a2c0162d69f
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk21-20250312		db9732ab1aec8e30b0b44c298ad6a02ff932ca35
org.anyline	anyline-data-jdbc-memfiredb	8.7.2-jdk21-20250404		4520fc4365a8111abeef53c2d04d61146b33e86e
org.apache.camel	camel-ahc	2.10.0		d51760601247efaa8ee9c4ed3bd226d396b42541
org.apache.camel	camel-ahc	2.10.1		c1ca513a07cb0d428f787c65a40e17fd832f9f82
org.apache.camel	camel-ahc	2.10.2		149b4588d19135c0b13684ad6c8dd6397c54a4ec
org.apache.camel	camel-ahc	2.10.3		e4e8d1c4741ac059e0c940dd1964308602d6c7f2
org.apache.camel	camel-ahc	2.10.4		b947ca38b7cef58398d579285028bc74e6231943
org.apache.camel	camel-ahc	2.10.5		35d8b8ff1a6e2df1999db083d695c09829235df2
org.apache.camel	camel-ahc	2.10.6		97d86d33b26f033337fb1b90db0b36aad5c47917
org.apache.camel	camel-ahc	2.10.7		ae42302329840ed475b03f1707db2624735cc168
org.apache.camel	camel-ahc	2.11.0		8792b7a21bbd237c086af9cd621ef73e641497dc
org.apache.camel	camel-ahc	2.11.1		6abfc99dd0aaa173f8e0095142bcf745cf400c0e
org.apache.camel	camel-ahc	2.11.2		b29d8d2e29764dcf2526139dec2ec098f1852d52
org.apache.camel	camel-ahc	2.11.3		4686bb1d78c4432f7547548ed41fcafaa71acc3f
org.apache.camel	camel-ahc	2.11.4		3ca2190df1393f89d3095fcbd39350bdae1c097e
org.apache.camel	camel-ahc	2.12.0		ec4d0968232563622af13b9c82c328d75822a8fa
org.apache.camel	camel-ahc	2.12.1		d72f45cbe1eee4592e02eb5435c389acf7e648c4
org.apache.camel	camel-ahc	2.12.2		4c36ec2e7ece4f692720d8fc1f7fc739f3b43f94
org.apache.camel	camel-ahc	2.12.3		69bec4b8196ca3ef07c0277aecd94754a28bd5f6
org.apache.camel	camel-ahc	2.12.4		1d69fb924293f6091d3cc101c7997d4b2825c954
