cn.spring-up	spring-instance	0.1		03af2df8f492cdc30119741e1d73253005a6632a
com.pragmatickm	pragmatickm-all-book	1.4.0		b0d2b5fb1a11c82ec96fcd28893d3eeb8b30b999
com.pragmatickm	pragmatickm-all-book	1.5.0		9ebdd0c368602776c800691a35cd534d0105b98e
com.pragmatickm	pragmatickm-all-book	1.5.1		3e695fb98c500d72b93749d9846d662693eb9409
com.pragmatickm	pragmatickm-all-book	1.5.2		cc8ff33faa964227b23a7e4f37a472c10854ca42
com.pragmatickm	pragmatickm-all-book	1.6.0		ec77c7dc7ffdf51b0557b170599780db41acf23a
com.pragmatickm	pragmatickm-all-book	1.6.1		3720440bf91390195ef373f5988c370c32275a38
com.pragmatickm	pragmatickm-all-book	1.6.2		5d75cc42fa7c0be1c5788b48d6080805416e21e0
com.pragmatickm	pragmatickm-all-book	1.6.3		72ab813d28fdd019d4d00002dc47fe5341d87b75
de.chandre.admin-tools	admin-tools-dbbrowser	1.0.0		c66e9d421f14efa6c4018f6278c9fe41e4ae74da
de.chandre.admin-tools	admin-tools-dbbrowser	1.0.1		62eaa6111746e8df68b692e15b4628a041ac2754
de.chandre.admin-tools	admin-tools-dbbrowser	1.1.0		6fb8b482979050a009527ec478458cb97eb823c9
de.chandre.admin-tools	admin-tools-dbbrowser	1.1.1		3f3d0c63d7a70c25002953f08b8ed7d1e48a0231
de.chandre.admin-tools	admin-tools-dbbrowser	1.1.2		4d792420e82c159b92b5013a8c6b20b0b4d3231e
de.chandre.admin-tools	admin-tools-dbbrowser	1.1.3		bee27b8eeb83f1ada5970625d3ccd158443390eb
de.chandre.admin-tools	admin-tools-dbbrowser	1.1.4		b08118860692b1840a2653af4a227a45562c559d
de.chandre.admin-tools	admin-tools-dbbrowser	1.1.5		4ead755e348e19abe5bf390bd2014eaa5d077785
de.chandre.admin-tools	admin-tools-dbbrowser	1.1.6		c65f55bdecad06f392ff715b4cb5fbdba1bc4cf5
de.chandre.admin-tools	admin-tools-dbbrowser	1.1.6.1		b954d4b76c8ac7fd85e4f6f410827de904e91b61
de.chandre.admin-tools	admin-tools-dbbrowser	1.1.6.2		ab112646086cda076d47abb7faa24b687e884d88
de.chandre.admin-tools	admin-tools-dbbrowser	1.1.6.3		897bc8f7c1b498792506f499e7ce01d4422a2a5b
de.chandre.admin-tools	admin-tools-dbbrowser	1.1.6.4		8ceb075e5e92a5b11f27539c44f65f3effeca57f
de.chandre.admin-tools	admin-tools-dbbrowser	1.1.6.5		0d5ee40622aa20daf1d03512bf26981af1c45ce4
de.chandre.admin-tools	admin-tools-dbbrowser	1.1.7		3eb6f3477943ad531b7474aceb3775388aec5de8
de.chandre.admin-tools	admin-tools-dbbrowser	1.1.7.1		e4d39c7948a26ec3900de13cfa8222d05fd2c988
de.chandre.admin-tools	admin-tools-dbbrowser	1.1.7.2		1d3b15ff7fed11749732eb71465794c6fba11868
de.chandre.admin-tools	admin-tools-dbbrowser	1.1.7.3		8b0b5d23ff0e4d0e6a5fba981b3d85f73e2eeff1
de.malkusch.validation	validation	0.0.1		f9b06700ebfc503ce3568711cb36e56e9f958002
de.malkusch.validation	validation	0.1.0		e6f1136be9f4eb8d5748af6f36fcedd25f3ea825
de.malkusch.validation	validation	0.2.0		79ce6f96098b81ffe6e6ef8460cdf3f4316ced07
de.malkusch.validation	validation	0.2.1		412b521dc685927ad355c479f1cd53d3927d35c2
de.malkusch.validation	validation	0.3.0		fe1f767a617e1ed21787ef65cf31f2450c52739c
fun.easycode.snail-cloud	snail-boot	0.1.0		2a7550384997500c20b1307164780e43dd6bddf7
fun.easycode.snail-cloud	snail-boot	0.1.1		7a69c4299b301db68946125847b52222d62f441e
hu.icellmobilsoft.jaxb	openapi-jaxb40-test	2.0.0		9af91a8f3d8acdbabcbda44a4f0951292987e1e8
hu.webhejj.junit.stdio	junit-stdio	1.0.0		728efcdab4c361c9e7a73800568e351fc919225a
io.amient.affinity	example-distributed-graph	0.1.0		a96c1756ba440c78c71170239103247db0f93b37
io.github.andreypfau	kotlinx-crypto-crc32	0.0.1		60f5a99309383b8fdd11a55a4e30eda4f7e855df
io.github.andreypfau	kotlinx-crypto-crc32	0.0.2		d075cd829bbd848d441346c1594e5494828e1e84
io.github.andreypfau	kotlinx-crypto-crc32	0.0.3		4ae97171cfe4672677d1dc249f5513a48ab4d275
io.github.andreypfau	kotlinx-crypto-crc32	0.0.4		ad542866715f05384592f295d842120e80135a92
io.github.baked-libs	dough-data	1.0.0		c1d386e8453f91d852f60591e21301dc5079fb10
io.github.baked-libs	dough-data	1.0.1		323c15b3dc139492cbbdbbdd51be76915effa62d
io.github.baked-libs	dough-data	1.0.2		397fdc5d090c577d8c235108f147b5dcd72ad82e
io.github.baked-libs	dough-data	1.0.3		e0c19e94dc29213042911cd5f80b700cf206dbbd
io.github.baked-libs	dough-data	1.1.0		d1643614c9fbba10fd5c568a2c74d2d5d9dfd90c
io.github.baked-libs	dough-data	1.1.1		ea25f8fccb8404aa6d00c64a1a32d312fccb427e
io.github.baked-libs	dough-data	1.1.2		f92a238500ad14a9149bf7f24462c31f9bb03de1
io.github.baked-libs	dough-data	1.1.3		59b2aea08bd678564a2a884cb1d7c2f632fa1a3b
io.github.baked-libs	dough-data	1.2.0		44bc8376619de68b3bb3019b33df5c42253c1405
io.github.dpbm	qko	1.0		74ee13d5991d8d7aab81756e525298fe39797907
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.1.0		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.1.0	metadata	2172e9749065f31e1604414d1a5ac23f39de0257
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.1.0-alpha-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.1.0-alpha-1	metadata	bbe753f3a974211692f2916fb7be3bdd5f0bc4d0
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.1.0-beta-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.1.0-beta-1	metadata	61f9114b11ed76429292ec245a4c0922439a4ee7
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.1.0-beta-2		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.1.0-beta-2	metadata	990d5fab2eb3656323add2cde2bd1fa80cd08390
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.1.0-rc-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.1.0-rc-1	metadata	b55f7cdeb6630f8f136185c218c17a35036c0a82
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.1.1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.1.1	metadata	807a50a799f30f93fd811bff0f55a8f89f6e761f
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.1.1-dev		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.1.1-dev	metadata	cf1ab61b7918cc99a50c463f96402bf8368e3ab3
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.1.1-dev-2		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.1.1-dev-2	metadata	9b002fe6e2cb571e0b07a4c2ea0599a87f0cde63
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.2.0		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.2.0	metadata	d49858e9f914083dcb3b1d29b6c193d1c5441fa6
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.2.0-alpha-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.2.0-alpha-1	metadata	579406247cac0aa09796f003d1605be59be99d60
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.2.0-alpha-2		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.2.0-alpha-2	metadata	bc86938f055aba54f527748e835c0d704d4ecd6f
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.2.0-alpha-3		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.2.0-alpha-3	metadata	1c00c92157f2892ec48fed09d780700e2a3cb3c1
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.2.0-krollback		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.2.0-krollback	metadata	349980241a35433695bb9db53e595576c9deabd6
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.0		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.0	metadata	898db091a98ae4a82322fd95f632f403796c6b27
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.0-alpha-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.0-alpha-1	metadata	cfc7fcca8e4caa1ecbb609a739cbd578b3bd9689
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.0-alpha-2		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.0-alpha-2	metadata	2fb008c90e5cb357d81bc2557df26ffce9924c47
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.0-alpha-3		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.0-alpha-3	metadata	ec59bbfecbea12b6e5d47f695c88357573d1f10e
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.0-alpha-4		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.0-alpha-4	metadata	bb1adef24a7bc2d7468c0f2ee62305ac85675041
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.0-beta-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.0-beta-1	metadata	59f6cf6ce0e6621530a1d0e9f965dbfa9f7462f4
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.0-beta-2		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.0-beta-2	metadata	8eee5f8ac2b397bbe5778ea224bd839f05b813a7
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.0-rc-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.0-rc-1	metadata	ae34138822f809e2b4802352243455c5abfdffa2
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.0-rc-2		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.0-rc-2	metadata	7dc3984721f3d5eebb6525536a1333569f60e0f1
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.1	metadata	10a32fa898773715f3eb5edc745f7cf52781229c
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.1-rollback		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.1-rollback	metadata	38bf0fb4958e7dfc95493a1b8998dbc95931dfe9
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.2		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.2	metadata	40daac55151df110e7d0c99b4a8c1b2e1463b929
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.2-dev-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.2-dev-1	metadata	649ec126c5f7c0028275e28b0d68235aedd81745
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.2-k2		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.2-k2	metadata	2fe9164a0426eecdd1f953ced7dd808fa9f99e11
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.2-no-port		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.3.2-no-port	metadata	4af9a5e0140dc6592d944e1cfc2cb485a1ae29c8
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.4.0		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.4.0	metadata	06d53bcae46762faf90b88f3cc341fe50695b000
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.4.0-rc-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.4.0-rc-1	metadata	8381bf254111beebc7f4001783f7313f96770c02
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.4.1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.4.1	metadata	d5594b73efd02d12141906d1f9cda533900d31a4
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.4.1-rc-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.4.1-rc-1	metadata	6cb15c1fc18397c7b581deb1efc262e05cf8b5c2
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.4.1-rc-2		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.4.1-rc-2	metadata	bb254ef4e1782afcc360bb195be7847f9bb73585
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.4.2		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.4.2	metadata	e51bce225f9baa7244e0e5b840b3dfe8c88305a3
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.4.2-dev-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.4.2-dev-1	metadata	f1b568e04015cb72673e2a541d8a2ced0bb70a63
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.4.3		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.4.3	metadata	463daf69e8530025a835b7fd0c2dd6f20ad5cae7
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.4.4		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.4.4	metadata	e3d0e492ad8feca2164212d00f2dab81d423fb13
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.4.5		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.4.5	metadata	51e6d5d75407ab7c0c8ad98629421a9bd2d7e75c
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.4.6		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.4.6	metadata	b50a2fd14a272d0be9c07c88cfdfc8c9fd22706b
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.4.6-dev-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.4.6-dev-1	metadata	066ec974772f0b0a7c016971e193df1bcd51527c
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.4.7		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.4.7	metadata	cb01ca1b78bfca74f05a0767994565e69b43b94f
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.4.7-dev-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.4.7-dev-1	metadata	b08c204dba6479e73103590e1d3ca290c222ce41
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.5.0-alpha-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.5.0-alpha-1	metadata	427f1fc03ab2ae75f6b53f821375f69957d4c176
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.5.0-dev-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	1.5.0-dev-1	metadata	c1d9d67b4415ea0eabca3ed560799f6e6b1bad5b
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.0.0		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.0.0	metadata	84a4cace44c0030fafe5ebe93f6a790cba638a75
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.0.0-alpha-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.0.0-alpha-1	metadata	f746fde5097bf519d28e7884f2b8d2e94831abd4
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.0.0-alpha-2		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.0.0-alpha-2	metadata	7d78746068a3547576d75a7c113cb39d329f6ead
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.0.0-beta-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.0.0-beta-1	metadata	f2e9035c4cdedb9444aaa0079eddc6c7dfb8736d
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.0.0-beta-2		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.0.0-beta-2	metadata	7eadd1711c1a925639bb05515883a4c9c48d9da0
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.0.0-rc-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.0.0-rc-1	metadata	8e5f6b0d39f58302ace7ce6a7100c3651d41f053
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.0.1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.0.1	metadata	bd442bb1e7f8a17f0bbff6b1d029b1d14780201f
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.0.2		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.0.2	metadata	530a8d8a6ec217fdfba8991f5fca10aa0b848ca7
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.0.2-dev		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.0.2-dev	metadata	20d62a25333cb91eaf662fe648e34a7356385261
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.0.3		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.0.3	metadata	3743f0444d7162e58705447e514cedaa97432e1d
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.0.3-dev		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.0.3-dev	metadata	75a39087c045cfd8a3a161a27a1bbf6848fa41ce
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.0.4		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.0.4	metadata	f892663d0a7d2a06d4654de20efbe57e5dc6a4a1
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.1.0		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.1.0	metadata	4553efb949edba0b232ff77bf8ecd6a730917750
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.1.0-alpha-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.1.0-alpha-1	metadata	2c8ba6e5a2d3bb1991c6bb496c9547a8cd2c808c
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.1.0-alpha-2		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.1.0-alpha-2	metadata	b7ee104a62d567e704f203ad4f933f299730ce0d
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.1.0-dev-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.1.0-dev-1	metadata	55f83b0f0bddf5c5bc2c257850f8647b6ba26a81
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.1.0-rc-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.1.0-rc-1	metadata	62003a4bcbb3229b7302bd3cac294cfb57f0150c
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.1.1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.1.1	metadata	9982be568fafb42b9f0955841b45448b23b449a6
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.1.2		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.1.2	metadata	d9f8014b78ba4a054230c4a854d5cd521f52c0a3
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.1.3		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.1.3	metadata	34573bad8e05891f0a3200b21eb0c115b9652022
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.1.4		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.1.4	metadata	110df94cdfa18a7f1a97287950bea559df382ec9
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.1.4-dev		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.1.4-dev	metadata	a1efaaeff936cf3b99cf4b982bb957f09dd576aa
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.1.5		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.1.5	metadata	d275c53d5fccc80f4b207c67473cf4342292d6e4
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.1.6		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.1.6	metadata	0d3cf49041757645ec0e9420dbcd33d0d7d013c2
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.1.6-dev		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.1.6-dev	metadata	d597ea87b5062f656b405d79dc39531dd6c9b52d
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.2.0		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.2.0	metadata	fd87b44fe505e19b26e9a439259c9ac4f378ec81
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.2.0-alpha-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.2.0-alpha-1	metadata	5871f60d078a4673c2d60fa1ea95fd449002a0f9
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.2.0-alpha-2		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.2.0-alpha-2	metadata	47ec02c39e650524e586cd98647c08b093ab1d76
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.2.0-coil3-dev1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.2.0-coil3-dev1	metadata	9fb95b45a9f59fe7f0ac6a5b83d9ed1130f378f9
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.2.0-rc-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.2.0-rc-1	metadata	39fad75a329d315b936f96bfe5bafd3bbc08df32
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.2.1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.2.1	metadata	87e67619a809c5226763c55eb4d61ea84f519f08
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.2.2		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.2.2	metadata	435a98d814b65f2a7bb3969749183834e3749aec
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.2.3		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.2.3	metadata	f8faeaa668abbe3bf6f8db69a5e99837b99da95d
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.3.0		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.3.0	metadata	12dcc3ef5038ca600d2ae50ab440f7b2cdb2714d
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.3.0-beta-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.3.0-beta-1	metadata	e311dd5237f01387b0af783f2951ab8952b2259d
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.3.0-beta-2		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.3.0-beta-2	metadata	d9efbac0e100f6f7b5edf294398ea695e215cfbb
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.3.0-coil3d1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.3.0-coil3d1	metadata	fe6063278c25fca0603d11cbf6e91db326dcf693
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.3.0-rc-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.3.0-rc-1	metadata	72a7000e5577b28a0d32d2ba87c6b2763d4dee80
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.3.1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.3.1	metadata	69f3be65a765f42dc852afd240f4a32a8ce60d97
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.4.0		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.4.0	metadata	8880822a1dca460dcebcab55b5999f36b4da7e32
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.4.0-beta-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.4.0-beta-1	metadata	0945b39e427b58fb3cee5867fc690f0eb46857ff
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.4.0-dev-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.4.0-dev-1	metadata	ab3b47df509e2cec65efbd573dde350d36b8e153
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.4.0-rc-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.4.0-rc-1	metadata	af1f894e92cfcc77447ebc9dfb391b1f4b2b8449
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.4.1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.4.1	metadata	7915835d9fb52afb037378600772652742ccf57d
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.4.1-dev		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.4.1-dev	metadata	eddf2783e3fdd15cbbb0575fd8f875403d4971c8
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.4.1-wasm0		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.4.1-wasm0	metadata	9261263933976ad93e71a96b29a32c8be0827ff3
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.4.2		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.4.2	metadata	b1f671537cecce05d42cda78c07a045f016f6160
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.4.3		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.4.3	metadata	5f8bf792cad4a4e88c2fe49091f6065c41170b90
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.5.0		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.5.0	metadata	597d696ce7fcbff4e92bcab877f11539b68fa494
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.5.0-beta-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.5.0-beta-1	metadata	e3e98ee8eceab13008342e6d58b6da1bc541bf36
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.5.0-beta-2		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.5.0-beta-2	metadata	bfc6d702647138d9940686dcdf29e2d28c733c8c
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.5.0-beta-2-coil3		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.5.0-beta-2-coil3	metadata	bf495cfd6f2c74f3b521791898c069a3bed8657e
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.5.0-rc-1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.5.0-rc-1	metadata	5c4a5d063b19e7cb30f2159b90d61659795da7a3
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.5.1		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.5.1	metadata	aa2909b2347105ba678057e4175987b157b026b2
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.5.2		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.5.2	metadata	9a3b97c4b7a6ecbc069ce3465610ec5444e0db03
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.5.3		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.5.3	metadata	7a5905bfe10994b266d08fbd759614956503f3ae
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.5.3-coil3		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.5.3-coil3	metadata	6a4a3b113ae6c003644e97bb37b56bcae0c74816
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.5.3-wasm0		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.5.3-wasm0	metadata	3f283b1f0b377445f2c5641ebdfe1faee5b873c8
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.5.4		N/A
io.github.jan-tennert.supabase	gotrue-kt-macosx64	2.5.4	metadata	02bf88a412414099138cc90500b56cae16c174fe
