biz.paluch.visualizr	visualizr	1.0		addbffc22b90edae36f64790d3b55fe9b4a23ff2
com.spinoco	fs2-cassandra-test_2.11	0.4.0-M2		e1332a02f2e6f8eb9c65e284f88a47024144bb7d
com.tecsisa	constructr-coordination-demo_2.12	0.5.0		383b7387d73de09acc5ae3d274402ac2e9486c84
com.typesafe.akka	akka-sample-cluster-experimental_2.10.0-RC5	2.1.0-RC4		N/A
com.typesafe.akka	akka-sample-cluster-experimental_2.10.0-RC5	2.1.0-RC5		N/A
com.typesafe.akka	akka-sample-cluster-experimental_2.10.0-RC5	2.1.0-RC6		N/A
com.yayandroid	TheActivityManager	1.0		N/A
com.yayandroid	TheActivityManager	1.0.1		N/A
com.yayandroid	TheActivityManager	1.0.2		N/A
com.yayandroid	TheActivityManager	1.0.3		N/A
com.yayandroid	TheActivityManager	1.0.4		N/A
com.yayandroid	TheActivityManager	1.0.5		N/A
com.yayandroid	TheActivityManager	1.0.6		N/A
de.sciss	equal_2.13.0-RC1	0.1.4		5469aaafcccaa91482e1b9893fa50d5357ad82fe
de.sciss	mellite_2.13.0-M5	2.30.0		ffdac8d15537d8276909d3cef50d7d21ead89328
de.sciss	mellite_2.13.0-M5	2.31.0		d8693780e933028f8c9719e17c5d792028b58260
dev.chopsticks	zio-schema-optics_sjs1_2.13	0.1.10		22004e6f1eafe3ea79a1cc659ef0e11ee5e8734b
dev.chopsticks	zio-schema-optics_sjs1_2.13	0.1.11		97c06e9a005be9c81e63991b4a125c688e96b5e2
dev.chopsticks	zio-schema-optics_sjs1_2.13	0.1.12		6bccdb9e9ad8f19cf4c80d5404a1d32959130ee1
dev.hnaderi	portainer-client_sjs1_3	0.0.0		14b621fe1465bf2f0f3da61c8a44cc8d8b2f4f29
dev.hnaderi	portainer-client_sjs1_3	0.0.1		09c5e2bcecf193d70fc77f9048b3db9f8c3a6be1
dev.mayuna	simple-java-api-wrapper	1.0		cef91900afa6e31d2de7e821ffb02be1f7a09025
dev.mayuna	simple-java-api-wrapper	1.0.1		N/A
dev.mayuna	simple-java-api-wrapper	1.0.1.1		ede28c6e309ec0c91bd7d1c1c63418ea25f47fe5
dev.mayuna	simple-java-api-wrapper	1.0.2		5e2c2bc7d7c71b8107de44fd408725cc40c69ee2
dev.mayuna	simple-java-api-wrapper	1.0.3		4a66f0d519420b3696ddf94b6212f5c8c057e1f0
dev.mayuna	simple-java-api-wrapper	2.0		65b4a8b7b5549f6597d21a58e1d1417c5f1917e7
dev.mayuna	simple-java-api-wrapper	2.0	all	fea50383ea440daac3f1bede2fa6aa2c891d3b50
dev.mayuna	simple-java-api-wrapper	2.1		34c397636c50da6eb4613c66c892425dd354c111
dev.mayuna	simple-java-api-wrapper	2.1	all	b4908bb0cefc6ad416b9e38a20d98710a637dd5a
dev.mayuna	simple-java-api-wrapper	2.2		83906d5484ef667fc9a2446b18b64546c5800e23
dev.mayuna	simple-java-api-wrapper	2.2	all	14ee6e2fb1670d917ce73ad6b2c74adad6df5d08
dev.mayuna	simple-java-api-wrapper	2.3		e5c5c8081569ec9db53222322a40bdadf06af551
dev.mayuna	simple-java-api-wrapper	2.3	all	73c35c68a182f3f97b205952d4a0bbe0730c5b62
dev.mayuna	simple-java-api-wrapper	2.3.1		f5f7ddce67aea638fceea92e70c82541ae45e0ba
dev.naoh	lettucef-streams_2.13	0.0.11		9fe0d77cfa1ce8dfbcc4c9c9c097f3e21e36b68e
dev.naoh	lettucef-streams_2.13	0.0.12		b20222128c8d6c7598a383c5ecc0099ce5335bcc
