com.digitalpebble.stormcrawler	storm-crawler-archetype	2.5		74d9150053eaaeed823ce2cfbd0eec655b8322c4
com.digitalpebble.stormcrawler	storm-crawler-archetype	2.6		6a8c58536f92e0580cdf175583e05eaed3b8c27a
com.digitalpebble.stormcrawler	storm-crawler-archetype	2.7		523ba8cdb275b340dd8644fd780296b033febb3b
com.digitalpebble.stormcrawler	storm-crawler-archetype	2.8		befeb85fd4df46684025d5cc6fe3150cb881dc18
com.digitalpebble.stormcrawler	storm-crawler-archetype	2.9		0277a140f59b6c062b7dfa0dc4d31f6377dac6fc
com.github.cafdataprocessing	worker-policy-boilerplate-worker-handler	1.0.0-3		ecc6a2d32fee22bb99bbf50d2db1d5f998eb81af
com.github.cafdataprocessing	worker-policy-boilerplate-worker-handler	1.1.0-21		72b4f2968f69f65e82f3591dcdb20c5a1cf9e511
com.github.cafdataprocessing	worker-policy-boilerplate-worker-handler	1.2.0-43		32d1aaa46f7664f25fbfd97be17e1f2d3ffc5471
com.github.cafdataprocessing	worker-policy-boilerplate-worker-handler	1.3.0-48		442869e8544b92a571763896ad99b1fa75093fb1
com.github.cafdataprocessing	worker-policy-boilerplate-worker-handler	1.4.0-60		ef4e53a031d73af114f4a3a029eac3e674d15e49
com.github.cafdataprocessing	worker-policy-boilerplate-worker-handler	1.5.0-84		cdc68bf02cbd6e69b30e1f06eaf1fa8e7ca6d061
com.github.galigator.openllet	openllet-core	2.5.1		633bd666b0a535dc212501c67add597d703c8cf0
com.github.galigator.openllet	openllet-core	2.6.0		508be4b47db878a6aa682b16f3b814e1e9684eaf
com.github.galigator.openllet	openllet-core	2.6.1		43bec0d74a90ac8c79e97e6832bcf42ba7f6a2f3
com.github.galigator.openllet	openllet-core	2.6.2		5c91d5a13dac6028a6dfe43ccefb96807677777b
com.github.galigator.openllet	openllet-core	2.6.3		1cb99100ee65c914e25926eac817a3afb5923c85
com.github.galigator.openllet	openllet-core	2.6.4		a43975bb09bb8ad396ae633c37a7b1579a44473b
com.github.galigator.openllet	openllet-core	2.6.5		42e2ea4b2155be53e26d98d97e05938f658b7c68
com.github.jinahya	kftc-financial-institution-info	0.0.4		92b58e373abf79f480b00e2011f745f5f24efe3a
com.github.jinahya	kftc-financial-institution-info	0.0.5		defbdf87f341f184ce58901a70983e7a06282bf7
com.github.jinahya	kftc-financial-institution-info	0.0.6		00d62570240c87381582eee1089a571e77fa07ae
com.github.jinahya	kftc-financial-institution-info	0.0.7		0951b3b13f8d74d3640a6dd9acf435014d6016b6
com.github.jinahya	kftc-financial-institution-info	0.0.8		f2caabb18c7f5ba38eabf03b610046640a34bdec
com.github.jinahya	kftc-financial-institution-info	0.0.9		110110555615ca7ce0bf2008bc8a148ec1c416b1
com.github.jinahya	kftc-financial-institution-info	0.1.0+20240505		93832dbf34fa6cae355b336f5c44d7957c54994d
com.github.jinahya	kftc-financial-institution-info	0.1.0+20240509		2d07d18aaf30d1a35d310e64672fc417e359a1d5
com.github.jinahya	kftc-financial-institution-info	0.1.0+20240514		1adaed4c5510d7d160c58568f4884879aecab688
com.github.jinahya	kftc-financial-institution-info	0.1.0+20240517		a4d07f919584d64b24cd78e8417bc78a58dc12c7
com.github.jinahya	kftc-financial-institution-info	0.1.0+20240603		4450f9b93ac9aa56add4a9cbdf6dfdd8a76e88d5
com.github.jinahya	kftc-financial-institution-info	0.1.0+20240617		a05d98d59a7737df8bd162ae4cc4ccc920d6ba10
com.github.jinahya	kftc-financial-institution-info	0.1.0+20240703		f33e1cce6f46d42eef9cd749267805d38e428b78
com.github.jinahya	kftc-financial-institution-info	0.1.0+20240802		39f380933c86c2640c72e13a048929eadc288370
com.github.jinahya	kftc-financial-institution-info	0.1.0+20240923		66752356e28877a23c5eb0182596e7964a1ceeb5
com.github.mliarakos.lagomjs	lagomjs-scaladsl-api_sjs0.6_2.11	0.1.0-1.5.1		cebd9c698ead00ce546cbc6ca52d9b6896fe577b
com.github.mliarakos.lagomjs	lagomjs-scaladsl-api_sjs0.6_2.11	0.1.0-1.5.3		0a4fdf96b92774a16eb67140b83534dce92155fd
com.github.mliarakos.lagomjs	lagomjs-scaladsl-api_sjs0.6_2.11	0.1.0-1.5.4		6ef80a256edd5f9daf63ff84830762b8a37609bb
com.github.mliarakos.lagomjs	lagomjs-scaladsl-api_sjs0.6_2.11	0.1.1-1.5.1		56201379a8a1f3093bd746c39e95ecce15d2fc67
com.github.mliarakos.lagomjs	lagomjs-scaladsl-api_sjs0.6_2.11	0.1.1-1.5.3		d0f9fd1a12ac9c2c2e535a627f1bdecf0e939a9b
com.github.mliarakos.lagomjs	lagomjs-scaladsl-api_sjs0.6_2.11	0.1.1-1.5.4		9062eca3d32bc9ca470a0676c8efaabc6aae49cc
com.github.mliarakos.lagomjs	lagomjs-scaladsl-api_sjs0.6_2.11	0.1.1-1.5.5		67b9fc5ba2efc398e960f7089f9cd47b8fcc9439
com.github.mliarakos.lagomjs	lagomjs-scaladsl-api_sjs0.6_2.11	0.1.2-1.5.1		331399962bfd4eb33d9fe78f8f18a08417d2876a
com.github.mliarakos.lagomjs	lagomjs-scaladsl-api_sjs0.6_2.11	0.1.2-1.5.3		cdb8bc78d8534e855a46fd3f70e3de955c510b86
com.github.mliarakos.lagomjs	lagomjs-scaladsl-api_sjs0.6_2.11	0.1.2-1.5.4		010fe684769c9bdf38ae9ad00727fe53cfa887f4
com.github.mliarakos.lagomjs	lagomjs-scaladsl-api_sjs0.6_2.11	0.1.2-1.5.5		1344ce3b44c32adc9bd585a5c64936d577bef206
com.github.philcali	scalendar_2.7.7	0.0.3		14a2abf2df8a30ca834b164767156e95e038c3bd
com.github.philcali	scalendar_2.7.7	0.0.4		N/A
com.globalmentor	globalmentor-text-directory-vcard	0.5.0		7b3b7ec295a6e51a878261eb4f7a55a0b570bcd4
com.globalmentor	globalmentor-text-directory-vcard	0.6.0		ed7f436338ad04fb93ad3f7ec30896231cdf0e71
com.globalmentor	globalmentor-text-directory-vcard	0.6.1		54030e8af8074687546591868c441353916d36b4
com.globalmentor	globalmentor-text-directory-vcard	0.6.2		ca93ccae0393e3f6f0316f6fde9e9dae1139d7a4
com.globalmentor	globalmentor-text-directory-vcard	0.6.3		5b6d60d234f862c10ab8876b1e3ec44c862ef911
com.gluonhq	charm-down-plugin-compass	3.0.0		0a72e020b09e01435d210558393cbd0b2f13caa7
com.gluonhq	charm-down-plugin-compass	3.1.0		b7a2a59e03d8f4ce37284490200678393a6124b9
com.gluonhq	charm-down-plugin-compass	3.2.0		067d328d9534504f21bfbdd1e0741d85dbf80c63
com.gluonhq	charm-down-plugin-compass	3.2.1		859d5935a49643230c9754a358f04394ede351d7
com.gluonhq	charm-down-plugin-compass	3.2.2		bc3163b410df75721c8ee4b7f028685405278306
com.gluonhq	charm-down-plugin-compass	3.2.3		6dfc88e24a333b562527822e7dc0a85654cb45f7
com.gluonhq	charm-down-plugin-compass	3.2.4		6971c4617d6c5887c1c6fe8b693d5b2118954f20
com.gluonhq	charm-down-plugin-compass	3.3.0		c4e307b119db218f93828a67fe9e56f296599835
com.gluonhq	charm-down-plugin-compass	3.4.0		aa332579fe6da6ca4854840170bec13268df3ba5
com.gluonhq	charm-down-plugin-compass	3.4.1		f097dea754dd31a530c9315bcead3c99bd8872fe
com.gluonhq	charm-down-plugin-compass	3.5.0		ac51cf5c228f3e683277f5087137695067f915fc
com.gluonhq	charm-down-plugin-compass	3.6.0		10729fd6e2fe9ecc413ac11f953701b6044cfad6
com.gluonhq	charm-down-plugin-compass	3.7.0		1be691b1a9eb82669b97ff80e5b3015aec48ed17
com.gluonhq	charm-down-plugin-compass	3.7.1		e48f91a9af4ee3fcaeaecf0384114992007cf55b
com.gluonhq	charm-down-plugin-compass	3.7.2		14f48f7e0ab189f7393c53ba93e1194ea26092d6
com.gluonhq	charm-down-plugin-compass	3.8.0		9a83f81638912ca27c8e07ef9a791286be6a0e00
com.gluonhq	charm-down-plugin-compass	3.8.1		5d51f0e1ee0e9634685f3627cefa297f135f1398
com.gluonhq	charm-down-plugin-compass	3.8.2		0bd903e3600e8475cbab3c8943b507bf4d5a2089
com.gluonhq	charm-down-plugin-compass	3.8.3		8a69c470be3a1004d8b6618e5fa04c21c52b5159
com.gluonhq	charm-down-plugin-compass	3.8.4		c22bc1cf2ccb4c16940fa97a5d70ea61a8211dc1
com.gluonhq	charm-down-plugin-compass	3.8.5		df6e2cd0a059fcbc1ed9bace6bbe99fbbee7a625
com.gluonhq	charm-down-plugin-compass	3.8.6		6308e801fe40da840f2efe634efa93886da40424
com.heydocther	uikit-iossimulatorarm64	0.0.1		N/A
com.heydocther	uikit-iossimulatorarm64	0.0.1	metadata	a15351e7efebfeca1d036591f582df5d8b498f4f
com.heydocther	uikit-iossimulatorarm64	0.0.2		N/A
com.heydocther	uikit-iossimulatorarm64	0.0.2	metadata	14651118b304c2950f1f5446ebe8c15addd7e552
com.heydocther	uikit-iossimulatorarm64	0.1.0		N/A
com.heydocther	uikit-iossimulatorarm64	0.1.0	metadata	8c833fa1b47c2a52483e0f0382a60aa42dd0ae54
com.heydocther	uikit-iossimulatorarm64	0.2.0		N/A
com.heydocther	uikit-iossimulatorarm64	0.2.0	metadata	4d7fd412b56ac6d652e12fa830e487d0f7c915b8
com.heydocther	uikit-iossimulatorarm64	0.2.1		N/A
com.heydocther	uikit-iossimulatorarm64	0.2.1	metadata	f88686b748d2760faf78e9b8470b6b5dc7218708
com.infinum.plugins	error-plugins-iosx64	0.2.0		N/A
com.infinum.plugins	error-plugins-iosx64	0.2.0	metadata	69382672a21a571a0e45597c07c5a77ffa390e89
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	0.0.1		ac6f88856e6465114e87d111a2e3a18369628acb
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	0.0.10		f2717822cc0ff779324c0fa435b25b6e580be5c9
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	0.0.11		c735bfd76dde7a85807c510e29e36b0b5ceee631
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	0.0.12		82b85bbf093eca2906900d816cd2841020113574
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	0.0.13		d7d9e6e8da4d7612c057e48d70c75a6ffa5c160f
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	0.0.14		eafaa01936b4246b38ca87a9c26b76610e150414
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	0.0.2		8897639ef6b9adbc08eb8d30d7d8c203168f0898
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	0.0.3		4d1afaccaafcea62de569054dc00f5612f05e491
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	0.0.4		b3ecbc50daa614f4aa95bc572059e129d64162f0
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	0.0.6		270056b7dc67daf9c394d8e86f463302a0a4b9fe
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	0.0.7		1f234cfa8e2eb8a4b86b71af0e9a3e47cdcae65d
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	0.0.8		d801da954b47dcfc4a7eb44256276db26da170b3
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	0.0.9		41b314ee714dd45bad379054b50faffdbd165f25
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	1.0.0		6d24b28cced79b5109960aadbd554698398e5274
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	1.0.0-beta0001		8a29279bb68f7e3cc1c40b26ea9123356f7a1ca0
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	1.0.0-beta0002		a300f04a2f3a9947146668daa65d0c824a35f4dc
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	1.0.0-beta0003		599e4d94475d1eb0cf4b2356eff9af116e5070e1
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	1.0.0-beta0004		69b782b3ac87de28aa69962bc3889e4c02ea3e4f
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	1.0.0-beta0005		cd8c532d7a9fa336bde99e1ebef14b98f73daaf2
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	1.0.0-beta0006		7c6ab238f976fb7a81b6fb59031ae09d8c9dfa67
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	1.0.0-beta0007		c867628cbc6efaa878acd658a4bf1af600177475
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	1.0.0-beta0008		84dbfa26896cc52b1d5be12d727917f65cd67147
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	1.0.0-beta0009		7ef40b9dca7b4c5158f7be42537e5485f3af2f52
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	1.0.0-beta0010		611644bd1da9a1b835ee0c78e197a1d1dda96d3d
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	1.0.0-beta0011		4a8db9a0addd618d9861654f5aea6cbf97102a0e
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	1.0.0-beta0013		cfa2a99f451c507529899dc787efc74357aeff01
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	1.0.0-beta0014		d7aa6667a556270eee86c2c8ce667a82219aff8a
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	1.0.0-beta0015		4dde024cd50a811f5c6c49c65e5f5e2e4e5c295a
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	1.0.0-beta0016		9fb435fed884d13c185a97b45f1b6991f3d865d5
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	1.0.0-beta0017		8f4f9a01b4fe305886203e3336745473f2116e4e
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	1.0.0-beta0018		f65ed2ba046bb753a9c26eadbb86150c3106b845
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	1.0.0-rc0001		b6b91b67430ea08d3ba78d5a1421b9ecf3c6180b
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	1.0.0-rc0002		ddb868fe4e2a6b18e56cde68ad0904813f40e7b7
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	1.0.0-rc0003		8bdec6065e976e95f4d66959628eed24c067a6bc
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	1.0.0-rc0004		b45c6b04f0e35fba6a73e0053f4d2a532c7cbba0
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	1.0.0-rc0005		911b31ea6ea0cbcea781c9888f3b8ae5ecc426b7
com.io7m.idstore	com.io7m.idstore.protocol.admin.cb	1.0.0-rc0006		55f090be867e55af0d832616f08c452c25f135d1
