com.guanmengyuan.spring-ex	spring-boot-starter-webflux	1.2.5		2d5691ad4a95b6909e866d0fc8285bd295a52e75
com.guanmengyuan.spring-ex	spring-boot-starter-webflux	1.2.6		2878a4d56c5416777c7935113d66eadf90c95fa8
com.guanmengyuan.spring-ex	spring-boot-starter-webflux	1.2.7		a791e93a56f78b3383961135f6f3db00aa75fbf8
com.guanmengyuan.spring-ex	spring-boot-starter-webflux	1.2.8		a2d8cf70e26658f851e8fc0b95e3a9e350a9b2a0
com.guanmengyuan.spring-ex	spring-boot-starter-webflux	1.2.9		9aaffa3905773cbe34997510a3b0816c273d8f82
com.impetus.kundera.client	kundera-cassandra-ds-driver	2.11		f57e1ceb0db71ed8a7e83de5185ced3aabd2c2b3
com.impetus.kundera.client	kundera-cassandra-ds-driver	2.11.1		bfd5c59048e58ca5a49b834cb9680a429737b168
com.impetus.kundera.client	kundera-cassandra-ds-driver	2.11.1-1.x		15d102f80a8bb8845a393dee80c8457700ddafe3
com.impetus.kundera.client	kundera-cassandra-ds-driver	2.12		023f305e6b87196beb85a6fb1bf69f3028ba5225
com.impetus.kundera.client	kundera-cassandra-ds-driver	2.12-1.x		0a84e3d917ac4c2f007ea40409d9c8633cf91954
com.impetus.kundera.client	kundera-cassandra-ds-driver	2.13		d496acfedfc8a86de7261afec40f263d156122ad
com.impetus.kundera.client	kundera-cassandra-ds-driver	2.13.1		f5d7a390406fc774690ab6e7ba5e126a4b8bc995
com.impetus.kundera.client	kundera-cassandra-ds-driver	2.14		9f3d16e1e49a9f3a2eb828333df7f0a964d1333a
com.impetus.kundera.client	kundera-cassandra-ds-driver	2.15		1804172908bbe9aed409383fbcedd7ea8a1c2cd4
com.impetus.kundera.client	kundera-cassandra-ds-driver	2.15.1		31067438e425fa94fda590213387fc43b02053d0
com.impetus.kundera.client	kundera-cassandra-ds-driver	2.16		8326561968c6ebc34b9658026286716212d82b09
com.impetus.kundera.client	kundera-cassandra-ds-driver	2.17		99fd82537e0ce065e6692b2d8617b3ac45b6b0e5
com.impetus.kundera.client	kundera-cassandra-ds-driver	3.0		522ff559965f6e10260329b3f3147ffe961b6394
com.impetus.kundera.client	kundera-cassandra-ds-driver	3.1		992719729b7627513bf16bfd628573c1abaf1933
com.impetus.kundera.client	kundera-cassandra-ds-driver	3.10		4e3928b6d2a1e618a7b4f66f97d85c07b4ad8945
com.impetus.kundera.client	kundera-cassandra-ds-driver	3.10.1		ae416365f675ddd1a3150e0b2a01314eeea30f36
com.impetus.kundera.client	kundera-cassandra-ds-driver	3.11		7feb0cae686ba50f0ff475fbcd876ab2a4082f17
com.impetus.kundera.client	kundera-cassandra-ds-driver	3.12		f56d3233b682541a3f947666fdcf37716382c884
com.impetus.kundera.client	kundera-cassandra-ds-driver	3.13		140df7e1f5dfe5242bda5b892e203f7fd473cee8
com.impetus.kundera.client	kundera-cassandra-ds-driver	3.2		d57f46ef30db986c67ea04eb3fa5b73be0eb2f9f
com.impetus.kundera.client	kundera-cassandra-ds-driver	3.3		91270e51ce231429f1d333be0bb60f82b87a93b9
com.impetus.kundera.client	kundera-cassandra-ds-driver	3.4		4f4e63880177877f28e0422e171b520066a5fb93
com.impetus.kundera.client	kundera-cassandra-ds-driver	3.5		3388a5f003e100ea0a275e9ccf583f9ddec1200e
com.impetus.kundera.client	kundera-cassandra-ds-driver	3.6		cf0cc10773fe8adac66b1c87b14759bb1598f241
com.impetus.kundera.client	kundera-cassandra-ds-driver	3.7		3ed8405dc52bfe53ac7d8d99cdb38b8a3af9f0d5
com.impetus.kundera.client	kundera-cassandra-ds-driver	3.8		f1c1ecb13aeaebf05a6fb96ef43ee3b8095b242f
com.impetus.kundera.client	kundera-cassandra-ds-driver	3.9		9cc00f55411ef1ad1f5d3dac01f49e45d16bfcd6
com.impetus.kundera.client	kundera-cassandra-ds-driver	3.9.1		6b83a8a91bc82084687aeb64cb5811b752250cba
com.jwebmp.jre11	jwebmp-angular-touch	0.62.0.1		88463aefa2381550395f73e79c63fa12c717a086
com.ksc.mission.base	logger	1.2.0		94ab8e65838f4883de39b42da9c27698689826d4
com.ksc.mission.base	logger	1.2.1		875b85863457d09c7d8c3e081f0bd80ae67e777d
com.ksc.mission.base	logger	1.2.2		3ea8574c60f96f5329139d2d028088dc27f9a7b3
com.ksc.mission.base	logger	1.2.3		19ebac5392f0637c9b5f9266d3a955144a4cde37
com.ksc.mission.base	logger	1.2.4		6487a04734c8e93b0f7c8a864e81eff2a9492832
com.ksc.mission.base	logger	1.2.4.12		a7b0f3e756d93a36b53e3a964cbc690a0f09f93f
com.ksc.mission.base	logger	1.2.4.2		1174d7753570578efd6de5e29c0c71dd3b8451a7
com.ksc.mission.base	logger	1.2.4.3		20fbf4eef555b9de2f4f6ac4bbf133e23fc85126
com.ksc.mission.base	logger	1.2.4.4		67b5046195fc54f590ecf8120b7a1268da0fbf54
com.ksc.mission.base	logger	1.2.4.5		192b4335f1dabe0d712d063c85ddbdd8b8c2a570
com.ksc.mission.base	logger	1.2.4.6		35a6eec39dbcd1bbb57de615aa908e7c33f9a551
com.ksc.mission.base	logger	1.2.4.7		6878547308e55637b52b60674406238aee747545
com.ksc.mission.base	logger	1.2.4.8		f0869e12281d7094362e6380bf5b8a0430e91e4b
com.ksc.mission.base	logger	1.2.4.9		66ed2e8209657f18b6855db7cafa393e101c477b
com.ksc.mission.base	logger	1.2.6		433117b45ae997bae55454be5b47d6ea64656789
com.ksc.mission.base	logger	1.2.6.1		06292722e7c568c87413b96bfe8f6d6e9c1d92d8
com.ksc.mission.base	logger	1.2.6.3		a5174c40e9ece3ba5fd37bf487bc56c9cec9a6b4
com.ksc.mission.base	logger	1.2.6.4		3499345ab3bc14d53aa98bdad16e1fabb4f3074b
com.ksc.mission.base	logger	1.2.6.5		f12423558b5ba0ad41b3797495f0d0b7049537fe
com.ksc.mission.base	logger	1.2.6.6		c49227940e3f2e874e7dc1d44fc7adb096bf0cd0
com.ksc.mission.base	logger	1.2.6.7		e1e852308243a07234abb4d700ad87aac03058cc
com.ksc.mission.base	logger	1.2.6.7b		1b8bcb443da40c4a0d8c87a30cd40e0e631dc235
com.ksc.mission.base	logger	1.2.6.7c		d2c8e7038b84dddbb71cace0b5ced76c0b788c4f
com.ksc.mission.base	logger	1.2.6.7d		fe39d75173a05d9bd3d11663243f5b77543b9cea
com.ksc.mission.base	logger	1.2.6.7e		094324905a26a27a70ecfd89651a26d6ece2fcb5
