com.vaadin	vaadin-details-flow	23.0.9		ab5c796d3e3448d26aedb0d7dd0e1e5addf4822a
com.vaadin	vaadin-details-flow	23.1.0		55410fbfef14d994059e5bc9d2daa48aa1f345ac
com.vaadin	vaadin-details-flow	23.1.1		f6f3117c8bdbe19156ad42090c4078a179545686
com.vaadin	vaadin-details-flow	23.1.10		36ff50a9eab0895614433b028a2f12b821fd1a8d
com.vaadin	vaadin-details-flow	23.1.11		460b6e7e096e85e4e113bde1b1340d8a3f03e9b8
com.vaadin	vaadin-details-flow	23.1.12		bb401b43212b572b66ed2a8dbe8d44f3fdd92e7d
com.vaadin	vaadin-details-flow	23.1.13		e13cbeacb730a1ecdddab4858f42bb570c772a9c
com.vaadin	vaadin-details-flow	23.1.14		74e066f9827d46a288491dc8dcd5c6ff8d111694
com.vaadin	vaadin-details-flow	23.1.15		9ebf20e44052d768ef60cb6d2952dc38f6180777
com.vaadin	vaadin-details-flow	23.1.16		f59bdecad7e7de388581fddb901c7f5013a13bd2
com.vaadin	vaadin-details-flow	23.1.17		bc3944e70adf5fad73ee44c3474f4fd3ab08ba40
com.vaadin	vaadin-details-flow	23.1.2		0115e249ccfed3d7b0bd702a0ae81cf9702d2507
com.vaadin	vaadin-details-flow	23.1.3		dbf08415d0a373880058af311aef8d196dc2bbf6
com.vaadin	vaadin-details-flow	23.1.4		55eecb3c644be8c22a49bcdbd935df803a56c256
com.vaadin	vaadin-details-flow	23.1.5		c7f27dac57b94544fffd3489099f14fd3c8bc511
com.vaadin	vaadin-details-flow	23.1.6		f118c58900ef197187316eaaccc0f31550ffc578
com.vaadin	vaadin-details-flow	23.1.7		598f5d2740df2b33b579a24ab9c0a62524a4826d
com.vaadin	vaadin-details-flow	23.1.8		e98b120b9f067ff4048b76cba3679a6fa59997bf
com.vaadin	vaadin-details-flow	23.1.9		5b1c90dd83bf72b93ebb441f1d32beac6d83699f
com.vaadin	vaadin-details-flow	23.2.0		bee50a75cd339b7cdfbb9131ac37307092777e25
com.vaadin	vaadin-details-flow	23.2.1		d719e2a672ce25ac967fd24fd7c2ec840a13fbee
com.vaadin	vaadin-details-flow	23.2.10		52bbafdcf4cccbc99a5cbb3c615f5f66ee997366
com.vaadin	vaadin-details-flow	23.2.11		0c5fb0a2a9f042596dd5ed2d92d9155086e5d8e8
com.vaadin	vaadin-details-flow	23.2.12		60f97419d15f9f0f45dec51ef3c9f7183c46c3c0
com.vaadin	vaadin-details-flow	23.2.13		9629ff6b616e9fc0dd9a67e04ce340f9c88e9b27
com.vaadin	vaadin-details-flow	23.2.14		8b7a88cc0c8e505293d654a555183aeafb7153dd
com.vaadin	vaadin-details-flow	23.2.15		3139d8e1cd459e6c3e61cd8edf94fdd089c85375
com.vaadin	vaadin-details-flow	23.2.16		8161b69e89c0335ad9856a7c5575e79c84a4f0ba
com.vaadin	vaadin-details-flow	23.2.17		7ca5b714bc79e4f4549a9b0330bca4c7dc13e7b5
com.vaadin	vaadin-details-flow	23.2.2		51cb311b188c2eb6fde12cb8239009c0d2f3cbc9
com.vaadin	vaadin-details-flow	23.2.3		5492d84b171729f63a7c1ffd17633cabc93bada8
com.vaadin	vaadin-details-flow	23.2.4		1ae2c65988e541ee6156bef466cf1ffde4234f53
com.vaadin	vaadin-details-flow	23.2.5		6c7a50ec4f9a37b271882f668c6af5f18996dd28
com.vaadin	vaadin-details-flow	23.2.6		0aa4a4293c726ac6eb74803b1c80ebff8012ad6d
com.vaadin	vaadin-details-flow	23.2.7		8ddfefcd061f73e66f93fa127bea889387631809
com.vaadin	vaadin-details-flow	23.2.8		0ee712c499d537fc338c10a4c79cb436acfa6c34
com.vaadin	vaadin-details-flow	23.2.9		bd0a63fe2d46e4697436c6e288dfc5f13b7c3f68
