be.vlaanderen.informatievlaanderen.ldes.ldi	ldi-core	2.12.0		N/A
com.vaadin	vaadin-text-field-flow-demo	22.0.19		fe68ef4910e7f73b4ab798e7ba86098d32fce85a
com.vaadin	vaadin-text-field-flow-demo	22.0.2		8dfb0c5668b3b042f8e94cbaed9b663a994111b0
com.vaadin	vaadin-text-field-flow-demo	22.0.20		5b2e281574ad1505afd1c1c171412d059f5cec76
com.vaadin	vaadin-text-field-flow-demo	22.0.21		5b9ccbc6cbf1dc1ddda04e7cecc24ab550c20788
com.vaadin	vaadin-text-field-flow-demo	22.0.22		514509fb0d4b6a0a9b990c0cabc054b4af4e9a31
com.vaadin	vaadin-text-field-flow-demo	22.0.23		bf49797e9bc0604ef2322abefcd60171cbd8156a
com.vaadin	vaadin-text-field-flow-demo	22.0.24		d4231abb151df3b1069fe9a627c636f9798312fd
com.vaadin	vaadin-text-field-flow-demo	22.0.25		f365b6d0782b3ec8d69773138b7730dd68b36a04
com.vaadin	vaadin-text-field-flow-demo	22.0.26		d473aa6e4b1520b3e04f13de8fa196e7d8c67559
com.vaadin	vaadin-text-field-flow-demo	22.0.27		2dc09b63f558b5aaabe73ef139b1d1ca63c9c9ac
com.vaadin	vaadin-text-field-flow-demo	22.0.28		5e803c3eed387606f92bbc88e46636a28702c61a
com.vaadin	vaadin-text-field-flow-demo	22.0.3		7f955b3c93b23cc0fadc14e9e4253cb7bc3a464c
com.vaadin	vaadin-text-field-flow-demo	22.0.4		3606b90dd3dc2c5385bc6e9fba47e9b6072f52e4
com.vaadin	vaadin-text-field-flow-demo	22.0.5		e2781e8a67953b7ed37164e8ed24c28167666c9a
com.vaadin	vaadin-text-field-flow-demo	22.0.6		6fe8d050ab16286e1859942cff79368ee6f3e259
com.vaadin	vaadin-text-field-flow-demo	22.0.7		d7236626ed2d34da78ae7c69615025fffaeb1a7e
com.vaadin	vaadin-text-field-flow-demo	22.0.8		164376056b89987a266d7cdba575898938d48e26
com.vaadin	vaadin-text-field-flow-demo	22.0.9		705464dd6b3a2816c04065fff3f90f7e5e92f3c0
com.vaadin	vaadin-text-field-flow-demo	22.1.0		52e44caa374afe008566aa438d91ef8895042765
com.vaadin	vaadin-text-field-flow-demo	22.1.1		01c793e53d565adf8af41c52d8ee0521d3133b08
com.vaadin	vaadin-text-field-flow-demo	22.1.2		3ac1c025bcb9cb6b7c4a2126e943fed02bc505cd
com.vaadin	vaadin-text-field-flow-demo	22.1.3		cd33663b8b51c43025fd35c9690c8df18400d232
com.vaadin	vaadin-text-field-flow-demo	22.1.4		8f30978b005da4b4419f7e50a0602925a6e82d83
com.vaadin	vaadin-text-field-flow-demo	22.1.5		510948c7e92105caa9a2844940c3e1f72ecc4b61
com.vaadin	vaadin-text-field-flow-demo	22.1.6		fb187241c72e783a000c8db3985771425172cb1e
com.vaadin	vaadin-text-field-flow-demo	22.2.0		9a747ea345c0adf6a3dbbc5a2f6a310de9b86541
com.vaadin	vaadin-text-field-flow-demo	22.2.1		0c51e07b43a7596f2b46a66f718aee89968df12b
com.vaadin	vaadin-text-field-flow-demo	22.2.2		aafc226bb8bb642498ebeeee9c76e0c5cd95b227
com.vaadin	vaadin-text-field-flow-demo	23.0.0		c2d1023974ef38539b7d7b199b57b0ea77b75ab9
com.vaadin	vaadin-text-field-flow-demo	23.0.1		320aa6489eab4dfae0b8781b2e394fcf037144ee
com.vaadin	vaadin-text-field-flow-demo	23.0.10		0da5e7b54c81bfbe537957a6a63fda0e4ae35387
com.vaadin	vaadin-text-field-flow-demo	23.0.11		0e51ca5d254235eba2987d5248f3b86b64bd4549
com.vaadin	vaadin-text-field-flow-demo	23.0.12		096ff5063c6111ddd7cf5981343a7daee7b41f4c
com.vaadin	vaadin-text-field-flow-demo	23.0.13		506868b9f03d770d0481ff5aba6bf45de28713ab
com.vaadin	vaadin-text-field-flow-demo	23.0.14		1b3fb586e315a1d1a289524481072de7cdfca569
com.vaadin	vaadin-text-field-flow-demo	23.0.15		bc9b5750c88f29e00074397505b9e35a6f45dc2b
com.vaadin	vaadin-text-field-flow-demo	23.0.16		013a0b2a403c3f06ea1a0c497044d6172d639717
com.vaadin	vaadin-text-field-flow-demo	23.0.2		3d44bde612d8fcb18d211bfd649cb9134112a76d
com.vaadin	vaadin-text-field-flow-demo	23.0.3		9935e0869112bab6dccef8538a74306d637967fd
com.vaadin	vaadin-text-field-flow-demo	23.0.4		612c043463ffb0d38587bbf497b5a4ecbd8810b2
com.vaadin	vaadin-text-field-flow-demo	23.0.5		78935aa6b84fd536205e6f91ac4ef187fca55e97
com.vaadin	vaadin-text-field-flow-demo	23.0.6		57ff4968cf8d5cae914c3bdf7907bfd6e455a1a6
com.vaadin	vaadin-text-field-flow-demo	23.0.7		a9366605fb81a9e27bb8ba0df65955e99ffc5140
com.vaadin	vaadin-text-field-flow-demo	23.0.8		4d0338140117f526431ef1c50f74b17a30831aac
com.vaadin	vaadin-text-field-flow-demo	23.0.9		0a8afce285504b92d8d46f9534ae3fc00f6266e5
com.vaadin	vaadin-text-field-flow-demo	3.0.0		0fc612b208ba6cd71221e3d550f129e9cdb6bedd
com.vaadin	vaadin-text-field-flow-demo	3.0.1		b27890b5f549b268937ce34a6be1d5c816e9d8ab
com.vaadin	vaadin-text-field-flow-demo	3.1.0		46956cb2e57d03db5b51ca8ccdb504123f977c3c
com.vaadin	vaadin-text-field-flow-demo	3.1.1		f1c3adde6dcecdb7743db6661169edd68728253c
com.vaadin	vaadin-text-field-flow-demo	3.1.2		81e3839bda37af57ba521e51f03111bcacb01a7e
com.vaadin	vaadin-text-field-flow-demo	4.0.0		2057aa4078396feb18b8f12f7ed222955996d24a
com.vaadin	vaadin-text-field-flow-demo	4.0.1		7c73208b7336d69aa246c48c57579b51de29a775
com.vaadin	vaadin-text-field-flow-demo	4.0.2		cd9d578a819e8d1003e361cdf9ebb4049f28c625
com.vaadin	vaadin-text-field-flow-demo	4.0.3		adb0e23676c9df3a06b7f74238f75b95a0471ff9
com.viridiansoftware	java-class-parser	1.0.0		a05e438ef02685235a65f0735aff3dffe8459172
com.viridiansoftware	java-class-parser	1.0.1		4181e5d985b3d530084ce07fbf24dbbf5db55d12
com.viridiansoftware	java-class-parser	1.0.2		da10692dbe13ed073b1fc1e8939d5f6173b061d8
com.viridiansoftware	java-class-parser	1.0.3		f6f310d234287c69434c4fc178199268dbdc3ea1
com.wgtwo.api.v0.grpc	annotations	0.1.0		1d811f9474fa9c43ac31e655c7af92ffeddac855
com.wgtwo.api.v0.grpc	annotations	0.1.1		0bf48688c4f88d13b462a4b0a114803787060cd4
com.wgtwo.api.v0.grpc	annotations	0.1.10		32665e5c8bb1900eb760246e825226be398e3654
com.wgtwo.api.v0.grpc	annotations	0.1.2		796e7a77e8295615f339ce0666bc46790dcf72a8
com.wgtwo.api.v0.grpc	annotations	0.1.3		3591136935b2400cee4495fdd651039e0cea848a
com.wgtwo.api.v0.grpc	annotations	0.1.4		02cc9d2db24cfcfed0dbaca0cf99a15ae497e5f8
com.wgtwo.api.v0.grpc	annotations	0.1.5		3f4071a2b3aa574ad0319f2113b0678857e321a7
com.wgtwo.api.v0.grpc	annotations	0.1.6		a8b2d2bfc36d31b49326ec19fe98d570e060a239
com.wgtwo.api.v0.grpc	annotations	0.1.7		b4d1620a13fbdd20ee413768ba51675c8629423d
com.wgtwo.api.v0.grpc	annotations	0.2.0		c87eb407316f79a89a3aa256c5ae9d1e3fba2e9a
com.wgtwo.api.v0.grpc	annotations	0.3.0		7b4f6d566e7a1b10c50fb392fa5373265a5ec96d
cool.scx	scx-logging	0.0.1		3ffcc6dc1d9da6d86eb9be440d94c4a2626c5892
cool.scx	scx-logging	0.0.2		704fae1327ceeac891e45359f5bfdaa973949b56
cool.scx	scx-logging	0.0.3		55b60673d5fa12a244f30eeb0890a9eef42bbcc3
cool.scx	scx-logging	0.0.4		45885d7c1f9a7a75d7d438e855c55001eecab7ab
cool.scx	scx-logging	0.0.5		196436eed1f2109c7aaa781d4bf50f8d956cf52e
cool.scx	scx-logging	0.0.6		b826ad9ec75c9c1e3ec3828dc15c12b1751d6628
cool.scx	scx-logging	0.0.7		d8ec37457aa45d6758121496175b657382c5ed74
cool.scx	scx-logging	0.0.8		e9835b93afaf94c0ecd4ef3b156b7daa7d8a7f2a
cool.scx	scx-logging	2.0.0		fe5fc70f65d1b769e4b751155be3499da7e46138
cool.scx	scx-logging	2.0.1		39bda72d2ac2488fe1de9cf1cccdbaa49031fbec
cool.scx	scx-logging	2.0.10		e7d31d365f9c171ba8542f7cc08c75d4d33ee245
cool.scx	scx-logging	2.0.11		d54ce3a54718ed3fbf53a30d1a1a070064f0be7d
cool.scx	scx-logging	2.0.12		ed1148a5ef407c7c0f904695a190c07eeb3bbfca
cool.scx	scx-logging	2.0.13		68a62711bc9bde5bd49d7d073a72e82909f74bf0
cool.scx	scx-logging	2.0.14		fd869d39ff70e952ea8d33140ba49eb170a59d68
cool.scx	scx-logging	2.0.15		4ba5114c07aef988d27265b1afc6bdf5f9867e5d
cool.scx	scx-logging	2.0.16		9aa96530ad8aad138effaa95fa3e307c083e6814
cool.scx	scx-logging	2.0.17		0e34d0b2b13de9c1f153021f331b451545596999
cool.scx	scx-logging	2.0.18		a1b7676de1e9d1d9dedcdae238282b0816c33fe3
cool.scx	scx-logging	2.0.19		6a1c0f5c7841ef35c96e7ff737b021837f78dfcf
cool.scx	scx-logging	2.0.2		09a9ee45c1d12106dc69b7aaf1ffa5d2b050ed0d
cool.scx	scx-logging	2.0.20		e5baea4924355e1235fffd3779efba41d6c74b82
cool.scx	scx-logging	2.0.21		3eda342ca9f49a5923e7500286511eb5d0cb1272
cool.scx	scx-logging	2.0.22		bc886094a83194fad11408f9980857f2ddbbbc05
cool.scx	scx-logging	2.0.3		b38e024bf60575891a0e3dc8e1bdff3c05acb2b1
cool.scx	scx-logging	2.0.4		308aa7e4d0c44e161d354d08018babf9ca652818
cool.scx	scx-logging	2.0.5		ecdad6e7887943da6d58e070e81d360fe55463ec
cool.scx	scx-logging	2.0.6		43640d6659de94351a2e967176c1c4daab1ea0f4
cool.scx	scx-logging	2.0.7		b02e542881d3c24dbeaa0766b3ad35c0e610ad8e
cool.scx	scx-logging	2.0.8		3a33050da6c28a861359819266b7c30cbc3636f4
cool.scx	scx-logging	2.0.9		5a793d75c1b049675387bf7eeced1d2fadc36a04
cool.scx	scx-logging	2.1.0		e5adeb516785aa007da6d4563eaf41e6b17c2f4c
cool.scx	scx-logging	2.1.1		c5ef6876a955bde11136cfa10687b8bcec9e6bd7
cool.scx	scx-logging	2.1.2		6d65415f5496c24c3591c26c3020bd86249e3810
cool.scx	scx-logging	2.1.3		5e5401dbd1d2c6406f72b2a91acb80713ce68fc6
cool.scx	scx-logging	2.1.4		e5ce877b33610d4d181fe9a86ebbdaa7a6e9b8bb
cool.scx	scx-logging	2.1.5		9ad79e10cf5890567edfc7abd4a7c56c64f178cb
cool.scx	scx-logging	2.2.0		e4691879463073a0faaa44b5426cf653d4faa92b
cool.scx	scx-logging	2.2.1		61cd1c34a056bf036a4d3b97c8964a73ad67106b
cool.scx	scx-logging	2.2.2		c42b0ab0989d6b5abd00c6584820c5512499bfb3
cool.scx	scx-logging	2.2.3		c3e0dbb09d4f3abf929dd482e59a6081b7329b3e
cool.scx	scx-logging	2.2.4		0e25cc0c78e3e792f53490560578c43e9bb26e34
cool.scx	scx-logging	2.2.5		9aa4b6ce369b39d53c0e7d0f64ed040129978689
cool.scx	scx-logging	2.2.6		aaef8fa673fa271d805a4c5c29a96479cd17a19a
cool.scx	scx-logging	2.2.7		7843798b24eea56f2ab7482fa784757698fd1201
cool.scx	scx-logging	2.2.8		c4ba0f4f3c85271a9a5667d36310dc4b68467eb4
cool.scx	scx-logging	2.2.9		fdf6fbfb69940a34631f3d837a54c498ee5052ec
cool.scx	scx-logging	2.3.0		63f974a1e6399a86c559e3a311827c2a5111e193
cool.scx	scx-logging	2.3.1		7d50239e3d5a24e2d2e02e8c48623388c1acef5f
cool.scx	scx-logging	2.3.2		2150000b639c4b565fbc32be6dfeb5a83fd7df65
cool.scx	scx-logging	2.3.3		7753adc24417a07c54c4771215b3e3873d879685
cool.scx	scx-logging	2.3.4		05d9aa90f481897a1f32669a6fca2bb9a2d0a814
cool.scx	scx-logging	2.3.5		970f1d98f98cb942a6c6e83fb7be42dec71aa838
cool.scx	scx-logging	2.3.6		553532437778e56ae7775283e97c798f2fc29d79
cool.scx	scx-logging	2.3.7		17296796f1ece734c920c01252acbb3e2d4dc0a3
cool.scx	scx-logging	2.3.8		b7b0bd26e83be836e779dfff220c6eb5e0497c01
cool.scx	scx-logging	2.3.9		7905bfa8261562184deb453efcd5bcbdc6b28704
cool.scx	scx-logging	2.4.0		7d2e26d78ca11c6dc467f9c478534e66171979b2
cool.scx	scx-logging	2.4.1		1d4c8a5f75f356bb5f63372423f3491e449196fa
cool.scx	scx-logging	2.4.10		63edeaeb67bc998572268086f6fda8daaa156552
cool.scx	scx-logging	2.4.2		c3409cbb2f70c54691ae70aba33b3932dd77a79c
cool.scx	scx-logging	2.4.3		e483a078247520c7f4269d4a147efd98d7540b73
cool.scx	scx-logging	2.4.4		7d06ad137f6b878f951297a837f6cb4a62152761
cool.scx	scx-logging	2.4.5		7afb3a85cb349391142456e9e01f354beba38ee2
cool.scx	scx-logging	2.4.6		5bbde23fb0c08c7e17acb6e36509e8affd83afe9
cool.scx	scx-logging	2.4.7		ba5b2988a737e82d18586c6541606ea00cf0aac1
cool.scx	scx-logging	2.4.8		29c765db22685c567dae69d764a2f0c6b359c070
cool.scx	scx-logging	2.4.9		e389c1a92eaee10a45dbffa98773dd0863cdffe1
cool.scx	scx-logging	2.5.0		91270b6c4e27030db186d801be0680234b103423
cool.scx	scx-logging	2.5.1		91cdc40624f208b0c832e1e31045d5268bbdf51b
cool.scx	scx-logging	2.5.2		bb02fe68e45a4b950a0f4e7313fb9b677ea9df8f
cool.scx	scx-logging	2.6.0		c9da52cdc8bb6f49c845e3898562acb3bc120037
cool.scx	scx-logging	2.7.0		9b1f0f4628c61016e9e4fa1ae0eee3ef6b6b9494
cool.scx	scx-logging	2.7.1		141e1641d04cb158037465855d602044a7c90b1d
cool.scx	scx-logging	2.7.10		51f845b8a9cc73cee07056365b27ef2d985f9b26
cool.scx	scx-logging	2.7.11		fe21b4af7cd1f91c22c5cce3304bd5af4048e206
cool.scx	scx-logging	2.7.2		be854bd4f10bf3319d0ca7af8bb50962628fe78f
cool.scx	scx-logging	2.7.3		46a1d53bea83b17250961b3c3ed4490e5a566b6e
cool.scx	scx-logging	2.7.4		046a088cc8944c3ced82a9358a016c42688e095b
cool.scx	scx-logging	2.7.5		4a24f269df5e5f6a7767612ba07839e0dcf2184e
cool.scx	scx-logging	2.7.6		853121c332af8583a397e100d9149fc819a40171
cool.scx	scx-logging	2.7.7		ff1932f710ce431b4173876bbe3fc78653374d4c
cool.scx	scx-logging	2.7.8		523f9659c2aae8bb05bd2efec92fb074f4c4b5cd
cool.scx	scx-logging	2.7.9		8cd948ed87b3751e6f4eee10eb274f4d0ef27522
cool.scx	scx-logging	2.8.0		3242eb05f1c7ada2b324dbab43b6e8614af1cf10
cool.scx	scx-logging	2.8.1		cab54628a1dc2afdae61f51cbeb08fad45064fbe
cool.scx	scx-logging	2.8.2		c72b34d57dd1a7dae36ced8ad25e72d2717edc98
cool.scx	scx-logging	2.8.3		4eed1915fe951106b6ab1be9761d5574513371ae
cool.scx	scx-logging	2.8.4		6139d701f04f98f633a76033537e0f319a4d9162
cool.scx	scx-logging	2.8.5		d36320e9e4016073db780780d8940c9ce9630d3e
cool.scx	scx-logging	2.8.6		23b6cb43f314a819232e8965df07e556ce23cabc
cool.scx	scx-logging	2.8.7		976bde36d2d67208c53830e8f762db6a1967b209
cool.scx	scx-logging	3.0.0		289fd895c9aeb1455e6e2c6b7eb68b14717e41cd
cool.scx	scx-logging	3.0.1		a91b9a66bf3af72892cb873c8288e30fd9366c23
cool.scx	scx-logging	3.0.2		81063f92c7e485218c118037faf39ccbaad1a826
cool.scx	scx-logging	3.0.3		ad6170621039857bdf87b4dd30e18d6f011631b3
cool.scx	scx-logging	3.0.4		95e1f26c18d6e6f669b2c928f42ae4c9a8e001ef
cool.scx	scx-logging	3.0.5		c5e49f4b0025d6da027775abbde2817d8aecca49
cool.scx	scx-logging	3.0.6		86477e6f473b7cc9988f6adc461ae1ed6857b65f
cool.scx	scx-logging	3.0.7		ac3f2e0a74cd4cbb73a558f4259882544fa278ed
cool.scx	scx-logging	3.0.8		45973b4c27c3ff02f227a8ac11e80597e495b7b8
cool.scx	scx-logging	3.1.0		527c0a7832569d2d5c9b6e00d92e7df6bbe336bf
cool.scx	scx-logging	3.1.1		7ed7bae62357eef6f9cb972a758c8fd98520c45c
cool.scx	scx-logging	3.1.10		3e161b4a149ab970efe1a73480fe88492e23d804
cool.scx	scx-logging	3.1.2		f0b433c3a2034b1e32660f77a7746f6c51b044e5
cool.scx	scx-logging	3.1.3		f62dde71252deb04a232c00513b62ed8baca32f6
cool.scx	scx-logging	3.1.4		ec1d56a3367ab479b09b01d9f7e92369e5a254eb
cool.scx	scx-logging	3.1.5		640acbc892a7ae713fd1a1108b648d4808c3cdf1
cool.scx	scx-logging	3.1.6		01b1d381fa934aa041e9f5ec01330b802e54868b
cool.scx	scx-logging	3.1.7		a624ce8fce4a244a57de0f0ea67b545ea9d8cf29
cool.scx	scx-logging	3.1.8		fada2c094b19b1476f7b5d154f46b9c27d683f78
cool.scx	scx-logging	3.1.9		16d2162175aaafb3a91c3570ac9974124613f835
cool.scx	scx-logging	3.2.0		5b2f2390778b6d8b8a9bbe83247d99ebfcf1472c
cool.scx	scx-logging	3.2.1		502d7429fd822acadedcb4c455909d32c98a62b4
cool.scx	scx-logging	3.2.2		6adf7a3b54a897867c65b070c02f9526d605e6e3
cool.scx	scx-logging	3.2.3		655f512148a1e46b9b69c911228351c245fba211
cool.scx	scx-logging	3.2.4		7ec0f6ad114cabd50ae3ae2b57199a1fb9aaf7ba
cool.scx	scx-logging	3.2.5		ecf5e18f2434450d7a71c88d884a5d021e6520f6
cool.scx	scx-logging	3.2.6		ee5b0de9885a21a95f5cfeebca4d81b42dc78d65
cool.scx	scx-logging	3.2.7		1d5d66abea4d382f958c4acaa724edcd8a2926bb
cool.scx	scx-logging	3.2.8		93e00a21c807cc9f7cd8d99f0820ace016c29538
cool.scx	scx-logging	3.3.0		18b364cf5bd20bc9e2dff61ff93b63cb98b513dc
cool.scx	scx-logging	3.3.1		2036e579e871d852605bafb882da2f2aa8283b51
cool.scx	scx-logging	3.3.2		53c73f9aaf5cde32572240c9940e4ebd63e123fe
cool.scx	scx-logging	3.3.3		4e1c5e529b75ff54f54ca0a56ca4bb3d0a22accc
cool.scx	scx-logging	3.3.4		33786093bb721e0c3d53d0c1ab04f35156380d2c
cool.scx	scx-logging	3.3.5		38a862bd3cfa9d03c5e1652613767ec3d69c738a
cool.scx	scx-logging	3.3.6		68f448f1466666bb617b40c287a956feb6893095
cool.scx	scx-logging	3.3.7		ae8765f9e3296eb89cbca67fb4472cd11ff8d59e
cool.scx	scx-logging	3.4.0		74ad5356f4a73f2e8cd35641e139793af588743d
cool.scx	scx-logging	3.4.1		48d0d398fc79e792aed4cd68bc435e7599048e7b
cool.scx	scx-logging	3.4.2		5fd88bcebb715f39494719ae18eb5b307631698c
cool.scx	scx-logging	3.4.3		2e87c52576b8341443904ab985fee310c4ffed5a
cool.scx	scx-logging	3.4.4		12ee7daeb48084af13f75e6e402d69829c95a65c
cool.scx	scx-logging	3.4.5		4af51c0ccb197f0ef98c93b2e4320c97b395a4fa
cool.scx	scx-logging	3.4.6		973c302b00705dfa20c3cc6b44bc55aa906da264
cool.scx	scx-logging	3.4.7		fb8d6faf3d0765e9a48ed041d2a68657d3593c18
cool.scx	scx-logging	3.4.8		2e03cb5263f4a5becd97f3809a3e6a2ba8dfb552
cool.scx	scx-logging	3.4.9		54becee747c7de0ac1720128f8c4ddd333b1d87e
cool.scx	scx-logging	3.5.0		2e76071676eaa55b630e7f7ab8860f6eac538b5a
cool.scx	scx-logging	3.5.1		c3752ea5312de8ee9f656bdbfbca527ce62e55c3
cool.scx	scx-logging	3.5.2		8cf6b5b0b9914f846dc807fd6692bd031128a600
cool.scx	scx-logging	3.5.3		a3336d9d9c88ea41276e448274b86ad362abad6f
cool.scx	scx-logging	3.5.4		647d98e02bd87238b2bd89d8b842839a8d210476
cool.scx	scx-logging	3.5.5		36e76c8842b2a7244eda6b9c5a613f0a6b0406fd
cool.scx	scx-logging	3.5.6		1349263580508f4581dc07b6761f272a9bd9a020
cool.scx	scx-logging	3.5.7		f5d7f0d57af30c91907df481cd2caf59810edae9
cool.scx	scx-logging	3.5.8		a5f4ec8d0bac2bee934d563cb8d45464e4bb6401
cool.scx	scx-logging	3.5.9		fd6823ccd04bb8b3326c9591323a84fb1f74b078
cool.scx	scx-logging	3.6.0		01e92f6b2156436434d2a79d8ae1f88f4b1ecfbe
cool.scx	scx-logging	3.6.1		27636dc699f83419ecfdde826e3546268ad34be0
cool.scx	scx-logging	3.6.2		1a95c18c31ab85d658309ee3eaeee5555ebb5b86
cool.scx	scx-logging	3.6.3		9e096d40e11f8519bd85fd3813981597b8738184
cool.scx	scx-logging	3.6.4		81d9b6b9cc3d373ffd25faf87c7729271843e73a
cool.scx	scx-logging	3.6.5		97e3bb8b9c2d9c11f0e0cc43365d2dce9e056288
cool.scx	scx-logging	3.6.6		fd82d344db21d71161556b26a58cdfff778d836f
cool.scx	scx-logging	3.6.7		57f2ca1388c1329d54b9748b99ea87ef874a0738
de.digitalcollections.commons	dc-commons-web	1.0.0		ac5f5e13d676c4553c074e90c28c4d00c3db5edd
de.digitalcollections.commons	dc-commons-web	1.0.1		f42854637534d70fe6243090b0df1e9814b8a602
de.digitalcollections.commons	dc-commons-web	1.1.0		6d764df8caf6991306e55a0dc0cbdde268edab5d
de.megaera	medeia-refined_2.13	0.10.0		66eb04eee9f0bd79bb8b821d9ae4519e46b4abae
de.megaera	medeia-refined_2.13	0.11.0		a25e443e7ff2a9d75fb1f09d2eedcc5f7dfb5d13
de.megaera	medeia-refined_2.13	0.12.0		d79bb7086681140888a6a24f40bb025670bb6a9b
de.megaera	medeia-refined_2.13	0.12.1		3c1fcd56b629d53bd3b1c084a2f6ed772dbd1398
de.megaera	medeia-refined_2.13	0.12.2		b5c1a148b3e048dec6f8a498a9e3ed33832ebf99
de.megaera	medeia-refined_2.13	0.12.3		4610d6696dab1bb80cd1801cc7ac7687f5ae3dee
de.megaera	medeia-refined_2.13	0.13.0		ee6fa3c11626833c5181db92ae9366887883e736
de.megaera	medeia-refined_2.13	0.13.1		13130f3ce7cf87f6569a6681686b7a48e3e57c39
de.megaera	medeia-refined_2.13	0.13.2		671cef1bed3af1d49190c5511eb90acff10183b5
de.megaera	medeia-refined_2.13	0.13.3		f3ae55b73217fceaa2b961c407584cc485585d9d
de.megaera	medeia-refined_2.13	0.13.4		8e5f396aa698606af39083c5bedac88115b3904a
de.megaera	medeia-refined_2.13	0.14.0		b5c6ddadb2ada83e54871464d8087ad9ddb18d55
de.megaera	medeia-refined_2.13	0.14.1		2b7986c2588ed0591d4409af34cd859f6f3b3593
de.megaera	medeia-refined_2.13	0.14.2		97ec8c3a0002e4919ad3a15e8311201cb1a0e12f
de.megaera	medeia-refined_2.13	0.15.0		731f660ec7853983b415c14afcdb53bd57a456d9
de.megaera	medeia-refined_2.13	0.15.1		fc6f06a3248d07b8d8edb37c973fcb917f18a85b
de.megaera	medeia-refined_2.13	0.5.0		5a063f264728c2d4310045349d20b3ae9e08fab1
de.megaera	medeia-refined_2.13	0.5.1		f25d7e5ae61d6c79203f3eba73d333a7e325d338
de.megaera	medeia-refined_2.13	0.5.4		0e91b02d813a3b61907b772aae1f8f0273f4d98d
de.megaera	medeia-refined_2.13	0.5.5		a6ca1e3bbb9235a5bac0f721527bec1fdb27d935
de.megaera	medeia-refined_2.13	0.6.0		11b6696bde1ae9975a86eb186c96db4c1e58c13b
de.megaera	medeia-refined_2.13	0.6.2		2f76a452e80582f1f1c4f026091c850eb5714e75
de.megaera	medeia-refined_2.13	0.7.0		bc9604146e977eb2e2c2a00f4c6bf00fd22b0ac9
de.megaera	medeia-refined_2.13	0.7.1		dd628f116d09b104b884fac06e19580158cbe167
de.megaera	medeia-refined_2.13	0.8.0		b171bc999f3a3dff9d5c166ce67922d468ab35fc
de.megaera	medeia-refined_2.13	0.8.1		981451b5f577403fcfd963a844080345572fc559
de.megaera	medeia-refined_2.13	0.8.2		5b4b826345493d624445b85d352294507979bbfc
de.megaera	medeia-refined_2.13	0.9.0		edd2894fa703e0cd232353705937d1b412431e40
de.megaera	medeia-refined_2.13	0.9.1		05a62cff7611c5fa5e22cb5f4b27aa4b37cc466b
de.megaera	medeia-refined_2.13	0.9.2		142f4c799365e34f5ecb20a7f9f98e6eb7e82854
de.megaera	medeia-refined_2.13	0.9.3		be7f60645e39b2d5daf395c7d9115207e13b345e
de.megaera	medeia-refined_2.13	1.0.0		5fd84cba3eb8d03a5307d1fb6e470fe2e67fe0f6
de.megaera	medeia-refined_2.13	1.0.0-RC1		de76dc5759697a99c52bb43d2f56d6d6dc2d7209
de.sciss	lucreevent_2.9.2	1.3.0		e9c768085c6a35bea4eea740c0c05223e1188bd6
de.sciss	lucreevent_2.9.2	1.4.0		af56549e2f08b83271b00ac8156fb3c29ea232e8
de.sciss	lucreevent_2.9.2	1.6.0		0a0d92bcdefcf18b0736fdf9953d24e16aba71ed
de.valtech.aecu	aecu.examples	0.9		N/A
de.valtech.aecu	aecu.examples	1.0.0		N/A
de.valtech.aecu	aecu.examples	1.1.0		N/A
de.valtech.aecu	aecu.examples	1.10.0		N/A
de.valtech.aecu	aecu.examples	1.10.1		N/A
de.valtech.aecu	aecu.examples	1.2.0		N/A
de.valtech.aecu	aecu.examples	1.3.0		N/A
de.valtech.aecu	aecu.examples	1.4.0		N/A
de.valtech.aecu	aecu.examples	1.5.0		N/A
de.valtech.aecu	aecu.examples	1.6.0		N/A
de.valtech.aecu	aecu.examples	1.7.0		N/A
de.valtech.aecu	aecu.examples	1.8.0		N/A
de.valtech.aecu	aecu.examples	1.8.1		N/A
de.valtech.aecu	aecu.examples	1.9.0		N/A
de.valtech.aecu	aecu.examples	2.0.0		N/A
de.valtech.aecu	aecu.examples	2.0.1		N/A
de.valtech.aecu	aecu.examples	3.0.0		N/A
de.valtech.aecu	aecu.examples	3.0.1		N/A
de.valtech.aecu	aecu.examples	3.1.0		N/A
de.valtech.aecu	aecu.examples	3.1.1		N/A
de.valtech.aecu	aecu.examples	3.2.0		N/A
de.valtech.aecu	aecu.examples	3.3.0		N/A
de.valtech.aecu	aecu.examples	4.0.0		N/A
de.valtech.aecu	aecu.examples	4.1.0		N/A
de.valtech.aecu	aecu.examples	5.0.0		N/A
de.valtech.aecu	aecu.examples	5.1.0		N/A
de.valtech.aecu	aecu.examples	5.2.0		N/A
de.valtech.aecu	aecu.examples	6.0.0		N/A
de.valtech.aecu	aecu.examples	6.0.1		N/A
de.valtech.aecu	aecu.examples	6.0.2		N/A
de.valtech.aecu	aecu.examples	6.0.3		N/A
de.valtech.aecu	aecu.examples	6.1.0		N/A
de.valtech.aecu	aecu.examples	6.2.0		N/A
de.valtech.aecu	aecu.examples	6.3.0		N/A
de.valtech.aecu	aecu.examples	6.4.0		N/A
de.valtech.aecu	aecu.examples	6.5.0		N/A
de.valtech.aecu	aecu.examples	6.5.1		N/A
de.valtech.aecu	aecu.examples	6.5.2		N/A
de.valtech.aecu	aecu.examples	6.6.0		N/A
