ch.epfl.scala	sbt-web-scalajs-bundler-0-6_2.10_0.13	0.16.0		74d4fb9dfe6b13606f98b1c9b99b70bf144d6049
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	1.1.0		878a2b74848a41aec40488aef0e4fc835657c29a
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	1.2.0		19fa105f78192cf23c3684e8e9fd0f91b104e48c
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	1.3.0		7453299a6f54846ffa902dab8cf1861c1d7ce3fb
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	1.4.0		d19570d33a353cb541e8c283ead936645ed8abcc
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	1.5.0		ba3647a9e161370aa9166280ae498fe905948e07
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	1.6.0		93dac163a19f791894fe94b2825651633cac5b41
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	1.7.0		c5a66839b0733e9dc00dc87e3c74c038d7575dc2
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	1.8.0		c68eee67f63acc4aa9cdecce889a3139b70938f2
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	1.8.1		4d7a6e32c31bf73edc5d6ec47bbc1da480a2ca34
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	2.0.0		89e5e9acb38c28f48e0bfb37d04c1014181b2918
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	2.0.0-M1		c95abed3ed8036ddb1da9115ec0c59414024de82
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	2.0.0-M2		3e37ca408ce1f3fea0b17fd55ca701d9ecfa996f
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	2.1.0		ed5931dbccf7d7c8cd8ea63c4f3671630d3fa6c0
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	2.10.0		384ab8ebb5d20a64f3e80a323a97435a34efe9a6
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	2.11.0		e2bc832ebc6fb4cdd8947cc45e8176c73fd68764
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	2.12.0		f22f991b7d4d1c0987d026dcdd30e6c4f0ded711
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	2.13.0		73447c95fef74516896d48a1d043193d017f9ee9
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	2.13.1		ac1d3720ff2d9d72dbc67f7b0f8aafd6e1a2e491
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	2.13.2		f99c23a2590a32a334a3a428c3432c17b8e925ba
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	2.13.3		3fb2921fab6b22057176a9277f81d55537a3edc4
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	2.14.0		7a64cc4d30a05510188748854efa9fc4a5974254
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	2.15.0		b1960a3acb4fe5015547f089f5d5a51defecef72
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	2.16.0		04d5002ed3f4f81fd184cb237170a376951dde93
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	2.2.0		e0fc3e9afc958f545ef74d4a7cf550c25d7fbb26
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	2.2.1		1ddf381c964d3588169a262f51c501856610c5a5
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	2.3.0		32ee117ad736daeab77a9dd81085f874bbe2c38a
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	2.4.0		26a891446bf01e82b0b1ad67c73955a752b1b082
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	2.5.0		d7cbf18931323546b4d2a57f5293da600062e9ba
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	2.6.0		fee08925d3af08ca2c26df758576c1f61fef254b
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	2.7.0		b8ebeeb03456c182dc49d10cea9261dfb415c966
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	2.7.1		25c19d7727195e39698d2ba03593113e3a52266d
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	2.7.2		3de1c15301d594ae8dcb18ebe3cc6edc0ae0d4c1
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	2.8.0		d0588e3405cfaea1b71ab772c98fe06ad0d22e27
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	2.8.0-M1		f5b29e4e1aae3020384b40881ab98203e1127ff1
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	2.9.0		deec3a2b86ed42a24fc0f60a33b04f33c7fb4413
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.0.0-M1		2b82575379cbde826f5ca11314fe85ee63527b47
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.0.0-M2		4918448bcb27339a998066d52e390cdfc6eb0b3d
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.0.0-RC1		1c5ef77f0d0fd6e6ad448e6a94c5917fa8245db7
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.0.0-RC2		2012f5b3f7743c8cd68867de5bf359a0e3943e4c
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.10.0		01bb2c6c6f9dad3674bc7bd6bacd33fb5667cc36
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.11.0		fd5c47127879ce1f88a1eae5ded227b5691fcc98
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.12.0		c1ff231f27d8a665d9dc0868393b19637315823b
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.13.0		2cc2f4bd2cf6f8ea036bebb45f41a4b63a386e2c
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.14.0		27313f5708109233896f9b68f5f5eb6d3c591f47
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.15.0		964667353ae4e0906c23f50c0dd759b7d598d60d
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.15.1		3d00e78d6dbc9c7aa9d9f3d7a0dbc6474bfd310c
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.15.2		8eae4c20ca09a76de0a0a771cfff5e761c33cbc2
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.15.3		1abf8aa10e75906e40205da3c4f278c589240f0b
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.16.0		ddb5d1adbabed05a2ef6f243d0c6dad19cb5f64d
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.17.0		eca19ad5a88c62771b67c9118fd2a94dc25f8535
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.18.0		7b88133806d3c6d4b77503a409803706c0b636d5
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.19.0		65fb8d2907271672fa81c1bb1e466671545b67e2
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.2.0		5ca2730eae362c51d2e951bd652f6a4ec8f8f4fc
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.2.1		6c941d5e63591eab19ab9ab430e322c66d165c09
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.2.2		66a3d64b6a7ec5391f8bf988c03cf2a422a37d4d
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.2.3		db0966d776f7ee1a2780fc41fe2ce6ff19ca465c
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.20.0		80b18a1030467582b4e70da34cce5d22c8686d63
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.20.1		5d726c125d2be3d23b6ccb37af51bfa5d392c82a
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.22.0		c3c5a13fc5ff4231403f8cfe18b532e11ebf813f
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.4.0		420d6b87d0c97326e35123d43797c477af5d2ab2
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.5.0		bc325c89c81d0e3b4540ecda992ecbed654a13d0
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.6.0		9eac10fa957cf6936ee8bacd0fe8137032569117
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.7.0		4db296664af5a72ed6cb655c039b4c9503fafffd
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.8.0		df0530260501251b88a731a0744a071a884f9602
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.8.1		7606df1ca59f950eb6c5bbc863fd241f0e62968d
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.8.2		97db06ac6886c12930a8b0d4a1296d732e3add3d
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.8.3		b6f3f528346907c06ee61762e852f6d5deb11b7a
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.8.4		0274bdb4fe8021ef83e4de7a2b04856fc9d60824
org.apache.camel.quarkus	camel-quarkus-integration-tests-support-custom-type-converter	3.9.0		33f5c9b88156f126609f44128d4e2e7dd0f800ea
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	1.0.0		29c9d98076a98d07a522f5275d34ea9c25a7596d
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	1.0.0-CR2		c687cd1f06aa18ddf0ac30f0c3e4dfb3f8d532f1
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	1.0.0-CR3		7e2c2e24f49cb8082a0784581f68be9f92a07506
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	1.0.0-M6		baddba78ccb89afb80ec7319a6fd8078d9522865
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	1.0.0-M7		acf0eaa6aad28c0d48fc6eb913008c60ea75c83e
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	1.0.1		0b6cb0e1bfb50f159f6f299461c3471ca2f1543b
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	1.1.0		59cf47cd9a3c68096c13a59dc0a7e9600f15b91a
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	1.2.0		8eec512e52568e2a96ee9cf5f3857753d150e152
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	1.3.0		5dc8ed8d8e83f5d83880d4fcd31c739d3f167e74
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	1.4.0		f9abfefbe0095144a2c654543d986d976f7613ef
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	1.5.0		6c62b6e9a0fccb49d88318e591bab655ef558597
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	1.6.0		26310b3dd44a5e545ca78a1d9023f2c364dcd9a1
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	1.7.0		c75af9dbf9b6180530a3e84220a7a2b55f50b63e
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	1.8.0		e1d34f46204b606d9c811fdd3155bcf4a33618d5
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	1.8.1		f4be381b31468f3de44dfaa2a542c5b7be6dd4eb
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	2.0.0		7e9a0bcf2c8035a2c5feae0d6b35338a6cb260a9
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	2.0.0-M1		5c531a4c0a6ee5822528d0f67e6bf5ff821e2573
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	2.0.0-M2		169cbc3c06d4fb8ec033868047bf813ad988b776
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	2.1.0		422994a885d7470b8463a61724046286fb0a056b
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	2.10.0		e58f9241ec1e59319c0aea756284b5daf31d0f98
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	2.11.0		256e60a2d052ec8c319bd176c87d0f12ad430349
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	2.12.0		a230f1836432a002fb20d17ceab65be41a02e830
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	2.13.0		4ec7ce7f96a9bc145c3536ce9927120fa3a54aac
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	2.13.1		86a92d7ba2cdedf271db013c30540c345810f1eb
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	2.13.2		bb4d51d636e4de54ba5a973b18e817d043e35a3f
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	2.13.3		f61702c9388da4ac675b8ec368bd609033ea56bd
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	2.14.0		5ed4f71fa1213632faeb49d744d2cfdf840c65b5
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	2.15.0		36bfa650141f91b81e8038c75ccc53f7861aabdd
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	2.16.0		2b836263223189a2603ca821a4458ad8c31742b7
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	2.2.0		375207d580a3e5bc7f87d8176dab3c9d65bbe76d
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	2.2.1		ac393f0ae1697dcb1f5b58b7aa4bfdd7922f15de
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	2.3.0		53e2cfb0f3b8fa51d9caee653e4bfac65fb086fa
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	2.4.0		3d49a2e0c79bfce7dd53368e9b71f675b3f735ff
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	2.5.0		1f759cc6135bb1e2b360c0b3bdb52d4cba3f786e
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	2.6.0		608175e5f76b8b2364ebb3910591f0a0cfe8fe55
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	2.7.0		2ca596520253ad61355432a236009f27bd078657
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	2.7.1		1d93797096e1c9784fa9e5ac249bc02e23621f3a
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	2.7.2		b44f1933ddc7de62b9ed058a85a644594cb4c3e2
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	2.8.0		442815283bf7219a9fc9c60236387a06f6e294e7
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	2.8.0-M1		6d1d39a2fca59590553540749db4c16be6f9e905
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	2.9.0		739af918f1a1571b38fbe670d3b57490bf7ab78c
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.0.0-M1		67a5b09612018791dadae1ee2e5ccf60d1de31e7
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.0.0-M2		e5a4ea3a3a81447e700e3c66c8b0938db088b776
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.0.0-RC1		10080e3dce5a584e624be92c3b5543e593176e78
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.0.0-RC2		fa06efc69a1bab558d9b13beb4b62a1500af44ce
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.10.0		4fa167129c878f21c3621007821b2e10f20b12d3
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.11.0		fe7d4594d3b4661ed951404e1838268071f03a87
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.12.0		15ec08df0be1cb8d9afa7aa46d2080c2028c1390
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.13.0		55ae3de8fcbda44f6b6122c7e85ec6c53e5a0287
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.14.0		3c7747c1229963dc668bd60953191dada4666c41
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.15.0		4091a89ad9cf82850ba2e2666aad89d0f3b81adb
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.15.1		a3eb70cce7cf793508cb46d0a9767f0d5f5ebc09
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.15.2		57f2c5cc3c3e7333299bc6b6940336150a1a0340
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.15.3		24f73acec880dfa877e086c6d71d339bafab725d
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.16.0		cfdb04c4c1eac7f17d632f33a5cfb83ee0c9ae9f
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.17.0		d666c819b988cc3be604b25e52cd27f1cff09c57
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.18.0		09259697b493214dd061444b1ff0ec6264c1fa94
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.19.0		2d3fffab458aa0474fb8441d3a079b9f2be60c4c
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.2.0		aaf51fb57a1a401fe899b86a3b73ee15dfd49dde
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.2.1		9033153ae078076251f5fb941fcfa951b3eb8622
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.2.2		daea8e029dc78ef358f6c5ba31ba6ee375a24dfa
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.2.3		2a7578a99cb779362f557f1a471655a53fae6392
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.20.0		8cee3a5ecb2cd3a427d2cfe7a5f1169227f3c964
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.20.1		917dee9787517491945bb743b97544627f192f05
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.22.0		9d0a0a7240ff480084508f1fa53813a4d25e14af
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.4.0		328c7b6e2791bb647772c52d5249fd070c6568ec
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.5.0		e64a32a46b4fab20877e09b2f834a202504599f2
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.6.0		cf8cee4ae557cef62351fba5ede4efdd5df131b6
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.7.0		8dd194c5b4e64f92e46940d1ebe69393bd0eb6ac
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.8.0		43206ba0edc5260f61bd451af4cf6980594d7743
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.8.1		1b777f12941570c3098af4b4a2175f59fde1d9c8
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.8.2		796b16784c6311e8e83a9f07e93959f09875e269
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.8.3		c5ebebe6c2000ce02a63f39b9b767227ea88f841
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.8.4		2ce203e16fe2fce2987a5b9ab0d9a88d4cc6a54d
org.apache.camel.quarkus	camel-quarkus-support-google-http-client	3.9.0		82ae3676cbf13e62e3e6acd9bbefee105003aba9
org.apache.directory.studio	org.apache.directory.studio.connection.ui	2.0.0.v20150606-M9		6ad73bfbcbc3340809b2df675e777dd36b171fe3
org.apache.directory.studio	org.apache.directory.studio.connection.ui	2.0.0.v20151221-M10		4fbe80e827cb11a6f05b2522b0a9404132e00620
org.apache.directory.studio	org.apache.directory.studio.connection.ui	2.0.0.v20161101-M12		e4f694d3acb05f3577fe1ad9180b8177fad8b7a4
org.apache.directory.studio	org.apache.directory.studio.connection.ui	2.0.0.v20170904-M13		e0e68a752625899be7773cdc21adf0230acb45bd
org.apache.directory.studio	org.apache.directory.studio.connection.ui	2.0.0.v20180908-M14		04e5417341dc353f58614c91a16324f5a5a35def
org.apache.directory.studio	org.apache.directory.studio.connection.ui	2.0.0.v20200411-M15		9dbefea8f9cca9bb73ccecec6e0e1b4f8c342d50
org.apache.directory.studio	org.apache.directory.studio.connection.ui	2.0.0.v20210213-M16		0f89fd20c8598fc611fdfe0d02210e9caef51d71
org.apache.directory.studio	org.apache.directory.studio.connection.ui	2.0.0.v20210717-M17		319b594899c3120f71e9db36ffaab253441f523d
org.apache.karaf.features	static	4.0.0		N/A
org.apache.karaf.features	static	4.0.0.M3		N/A
org.apache.karaf.features	static	4.0.1		N/A
org.apache.karaf.features	static	4.0.10		N/A
org.apache.karaf.features	static	4.0.2		N/A
org.apache.karaf.features	static	4.0.3		N/A
org.apache.karaf.features	static	4.0.4		N/A
org.apache.karaf.features	static	4.0.5		N/A
org.apache.karaf.features	static	4.0.6		N/A
org.apache.karaf.features	static	4.0.7		N/A
org.apache.karaf.features	static	4.0.8		N/A
org.apache.karaf.features	static	4.0.9		N/A
org.apache.karaf.features	static	4.1.0		N/A
org.apache.karaf.features	static	4.1.1		N/A
org.apache.karaf.features	static	4.1.2		N/A
org.apache.karaf.features	static	4.1.3		N/A
org.apache.karaf.features	static	4.1.4		N/A
org.apache.karaf.features	static	4.1.5		N/A
org.apache.karaf.features	static	4.1.6		N/A
org.apache.karaf.features	static	4.1.7		N/A
org.apache.karaf.features	static	4.2.0		N/A
org.apache.karaf.features	static	4.2.0.M1		N/A
org.apache.karaf.features	static	4.2.0.M2		N/A
org.apache.karaf.features	static	4.2.1		N/A
org.apache.karaf.features	static	4.2.10		N/A
org.apache.karaf.features	static	4.2.11		N/A
org.apache.karaf.features	static	4.2.12		N/A
org.apache.karaf.features	static	4.2.13		N/A
org.apache.karaf.features	static	4.2.14		N/A
org.apache.karaf.features	static	4.2.15		N/A
org.apache.karaf.features	static	4.2.16		N/A
org.apache.karaf.features	static	4.2.2		N/A
org.apache.karaf.features	static	4.2.3		N/A
org.apache.karaf.features	static	4.2.4		N/A
org.apache.karaf.features	static	4.2.5		N/A
org.apache.karaf.features	static	4.2.6		N/A
org.apache.karaf.features	static	4.2.7		N/A
org.apache.karaf.features	static	4.2.8		N/A
org.apache.karaf.features	static	4.2.9		N/A
org.apache.karaf.features	static	4.3.0		N/A
org.apache.karaf.features	static	4.3.0.RC1		N/A
org.apache.karaf.features	static	4.3.1		N/A
org.apache.karaf.features	static	4.3.10		N/A
org.apache.karaf.features	static	4.3.2		N/A
org.apache.karaf.features	static	4.3.3		N/A
org.apache.karaf.features	static	4.3.4		N/A
org.apache.karaf.features	static	4.3.5		N/A
org.apache.karaf.features	static	4.3.6		N/A
org.apache.karaf.features	static	4.3.7		N/A
org.apache.karaf.features	static	4.3.8		N/A
org.apache.karaf.features	static	4.3.9		N/A
org.apache.karaf.features	static	4.4.0		N/A
org.apache.karaf.features	static	4.4.1		N/A
org.apache.karaf.features	static	4.4.2		N/A
org.apache.karaf.features	static	4.4.3		N/A
org.apache.karaf.features	static	4.4.4		N/A
org.apache.karaf.features	static	4.4.5		N/A
org.apache.karaf.features	static	4.4.6		N/A
org.apache.karaf.features	static	4.4.7		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.10.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.11.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.11.1		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.11.2		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.11.3		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.11.4		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.12.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.12.1		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.13.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.13.1		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.13.2		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.14.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.15.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.15.1		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.15.2		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.15.3		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.16.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.16.1		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.16.2		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.16.3		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.17.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.18.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.19.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.19.1		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.20.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.21.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.22.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.23.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.23.1		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.23.2		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.24.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.25.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.26.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.27.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.28.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.28.1		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.4.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.5.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.6.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.7.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.7.1		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.8.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.9.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.9.1		N/A
org.apache.nifi	nifi-confluent-platform-bundle	1.9.2		N/A
org.apache.nifi	nifi-confluent-platform-bundle	2.0.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	2.0.0-M1		N/A
org.apache.nifi	nifi-confluent-platform-bundle	2.0.0-M2		N/A
org.apache.nifi	nifi-confluent-platform-bundle	2.0.0-M3		N/A
org.apache.nifi	nifi-confluent-platform-bundle	2.0.0-M4		N/A
org.apache.nifi	nifi-confluent-platform-bundle	2.1.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	2.2.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	2.3.0		N/A
org.apache.nifi	nifi-confluent-platform-bundle	2.4.0		N/A
org.apache.servicemix.bundles	org.apache.servicemix.bundles.jencks-2.1	4.0-m1		54c258bfa669960be36f7b31a0d2330aea5c83d6
org.apache.tamaya.ext	tamaya-osgi-injection	0.4-incubating		94ac040807b1d0be4d9515b5a5a93e8011cb974f
org.brianmckenna	wartremover_2.11	0.10		bb405f1534a5a0c9f7b25f09222a8ae7d4ebdd7b
org.brianmckenna	wartremover_2.11	0.11		9708756d3f6210440f7773f19f99e77e4caf607b
org.brianmckenna	wartremover_2.11	0.12		83824972e56843a4d3dd389b02ea02f747a61857
org.brianmckenna	wartremover_2.11	0.13		a30b06ec9bb4daa8fcc0c560d67443b935ee5ff5
org.brianmckenna	wartremover_2.11	0.14		1ed53907951b22c3f8d5d02fffc11825aa84914e
org.bytedeco.javacpp-presets	cuda-platform	10.0-7.3-1.4.3		4372adc69557fffebbb7864963c692407b0ed92d
org.bytedeco.javacpp-presets	cuda-platform	10.0-7.4-1.4.4		8ba6f485ad41ce44129b85c24568b95839a8d113
