com.lihaoyi	ammonite-repl_3.2.2	3.0.0-M0-72-21dc3ed9		fa1a3df69f2c8743980d038a3b66a2842b9dc493
com.lihaoyi	ammonite-repl_3.2.2	3.0.0-M0-73-3e75635d		46dd01ad8398aeaeac34402a69a69c6d46aac766
com.lihaoyi	ammonite-repl_3.2.2	3.0.0-M0-74-c58df82f		57fa96382fc22f230df615871acd1fa7c6f9bd29
com.lihaoyi	ammonite-repl_3.2.2	3.0.0-M0-75-95b58dcd		0d1b3d344fd5908cb303b101f3c000a88c6b9f6b
com.lihaoyi	ammonite-repl_3.2.2	3.0.0-M0-78-a38fbac7		285a844c257809b103a7f88163af46a9dd9f2b41
com.lihaoyi	ammonite-repl_3.2.2	3.0.0-M0-79-25cb55d6		9811ba1a62f9a2d3fa5d2fb6d5c3a533f5f362ab
com.lihaoyi	ammonite-repl_3.2.2	3.0.0-M0-80-0c6cb10c		6a060234f60a64f325e4e627c6700599b845846a
com.lihaoyi	ammonite-repl_3.2.2	3.0.0-M0-81-8d9ea548		7ec62aadf2ae0e94ba82a8eeba9b6a852bb4fe96
com.lihaoyi	ammonite-repl_3.2.2	3.0.0-M0-82-3e0b9472		2722f8909071725b6a7b83c26ed5bb638c42b93c
com.lihaoyi	ammonite-repl_3.2.2	3.0.0-M0-83-c70bfdfb		17ee92c8e627fc4454a04232ddf4b0a7de571e56
com.lihaoyi	ammonite-repl_3.2.2	3.0.0-M0-84-0b53d8cc		af3a635ee8ea1c89daede81e6b255e4d614e865e
