activesoap	retroweaver-rt	1.1	-	e796b959c4d32e69271d5516d7e5c59e4ac7c713
com.github.rest-driver	rest-client-driver	1.1.44	-	19b688f1eaf60ae7ff5dd685cf0ede2280b770b6
com.github.rest-driver	rest-client-driver	1.1.45	-	570019f0e77e21a7d354b89c92a7cf8e2383a192
com.github.rest-driver	rest-client-driver	1.1.5	-	6f200cf3d48ed4669b160857f8b142c2c9f9aba0
com.github.rest-driver	rest-client-driver	1.1.6	-	8a69d9a245ba96f62c357e214a1803d06e2ad4ba
com.github.rest-driver	rest-client-driver	1.1.7	-	47d3c75b8bb47dc299eac4eef19e386406d9ccd3
com.github.rest-driver	rest-client-driver	1.1.8	-	fb2ceaa457f7f2a9f345943b77b2474bb5b83876
com.github.rest-driver	rest-client-driver	1.1.9	-	fa63b0624b1abdc6760939ddd923c1a4a651cb27
com.github.rest-driver	rest-client-driver	2.0.0	-	c6de3b247ef56208ed65e94f9d433338e029f3b9
com.github.rest-driver	rest-client-driver	2.0.1	-	c60929ff9f97c59eeb2b0d4166d7a6ccc601e1c6
com.github.restup.test	up-test-repository	0.0.1	-	100a70d7db78065d62df6627f5faf9923601f9b1
com.github.restup.test	up-test-repository	0.0.2	-	7febf8ca22a8ff2d81f906a5fe4284f6938c1fd9
com.github.restup.test	up-test-repository	0.0.3	-	c62137eb4fd7e007014264221598f84accfb2ee9
com.github.restup.test	up-test-repository	0.0.4	-	56f154839ea71ae24e31363e6324c45ca58fa1d9
com.github.restup.test	up-test-repository	0.0.5	-	466d5c2e60517e201c45a3ba4f67bd720f5af2af
com.github.rnett.krosstalk	krosstalk-kotlinx-serialization-iosarm64	1.0.0	1.0.0-metadata	4528e1c946802ed454a4632c3c30d223061bb83d
com.github.rnett.krosstalk	krosstalk-kotlinx-serialization-iosarm64	1.1.0	1.1.0-metadata	0cba8457af9a9cd1530e43c73caf1c4482ee9a16
com.github.rnett.krosstalk	krosstalk-kotlinx-serialization-iosarm64	1.1.1	1.1.1-metadata	e19e06d793110018193d2254a06aa145bc18734b
com.github.rnett.krosstalk	krosstalk-kotlinx-serialization-iosarm64	1.1.2	1.1.2-metadata	ec458dab1d33d4c1fdec13c60fdf3403a2c49194
com.github.rnett.krosstalk	krosstalk-kotlinx-serialization-iosarm64	1.2.0	1.2.0-metadata	5da8da6f2f71c3d17971fce876922d95cb33b4b1
com.github.rnett.krosstalk	krosstalk-kotlinx-serialization-iosarm64	1.2.1	1.2.1-metadata	da57ca810ad6e6cc894cb8f730a6d975beb038c4
com.github.rnett.krosstalk	krosstalk-kotlinx-serialization-iosarm64	1.2.2	1.2.2-metadata	0722334ab7bfebe71a717a9efb5dce4381c53e84
com.github.rnett.krosstalk	krosstalk-kotlinx-serialization-iosarm64	1.2.3	1.2.3-metadata	963f7e540edb752989c15fb9ffe15f7c93fbfdc5
com.github.rnett.krosstalk	krosstalk-kotlinx-serialization-iosarm64	1.3.0	1.3.0-metadata	faa0abac35516ce43a1fadae3964ce7517a8ece5
com.github.rnett.krosstalk	krosstalk-kotlinx-serialization-iosarm64	1.4.0	1.4.0-metadata	a8f486611bf585974177d6a7f0cd5aa77c7a2163
com.github.sanskrit-coders	wiki-tools	1.0	-	e69933b54e5d54fb7f9a1634209df68d88de0bf3
com.github.sanskrit-coders	wiki-tools	1.0	1.0-jar-with-dependencies	ef876f8ac854c9608d7f70e04b7124ce9a11d116
com.github.saphyra	cache	0.0.1	-	51cc89c8da7dd70aedbdc57d1b9a4f801ad17d8c
com.github.saphyra	cache	1.0.0	-	02baab2150636ade7eb2ba533599c394c8210023
com.github.saphyra	cache	1.0.1	-	d4005b6272db4454df7deba30964d53c6deae51f
com.github.saphyra	cache	1.0.2	-	749ae61aab506e8ac4a3b6a6a578f9239fc0eac6
com.github.saphyra	cache	1.0.3	-	16ca19b4e05f74d9f7c36d63c49b517a8c64a44d
com.github.saphyra	cache	1.0.4	-	1f74e1e310c8cc9573239789763592afb45dd080
com.github.saphyra	cache	1.0.5	-	b68a40b36a5f7af086fd1da38fd1c26296600289
com.github.saphyra	cache	1.0.6	-	e4a871eb877714b7ba82975559ea5cc10b37faa3
com.github.saphyra	cache	1.0.7	-	787d3ba28e6609c7610b44179c2fac51ccb9a239
com.github.saphyra	cache	1.0.8	-	337dc807729bf3c1cbc084c4c194e6ad23356e57
com.github.seratch	ltsv4s_3	1.1.0	-	6c509de5c3fda359d868f177aea66d1b88ffba70
com.github.stephanenicolas.dart.v2	dart-processor	2.0.4	-	4d2727fd5f5c67c3eb55ae65b8d4191187946118
com.github.takezoe	blocking-slick-32_2.11	0.0.10	-	54331023cca6cd35c24fdb1f958e9946cb1d300b
com.github.takezoe	blocking-slick-32_2.11	0.0.11	-	984e9e90d92c4082adf66a233142c7eba835409a
com.github.takezoe	blocking-slick-32_2.11	0.0.12	-	1f194ab2ceee0e66bc0f2ea321fb706e2cb5e464
com.github.takezoe	blocking-slick-32_2.11	0.0.5	-	b4ab8b21628198336020ecbd92cde1845c3275a4
com.github.takezoe	blocking-slick-32_2.11	0.0.6	-	1b0811caad619c0a13ba75a694d4d584e0b42a09
com.github.takezoe	blocking-slick-32_2.11	0.0.7	-	2f6e2abaf0afe10d08eef0f3031b78d8bfc675d8
com.github.takezoe	blocking-slick-32_2.11	0.0.8	-	fc2625447f1861159d15cafa26f2c0b05c48c6bb
com.github.takezoe	blocking-slick-32_2.11	0.0.9	-	dfd2fcfa8ca32179a83d9da2cf58008d596c0d48
com.github.tototoshi	play-joda-routes-binder_2.12	1.2.0	-	6dff070f50f2f8a3e7ecc1e644ac7c02f1b03a2e
com.github.tototoshi	play-joda-routes-binder_2.12	1.3.0	-	27ede46dcabbdd530781786b24a1a664de12b03d
com.github.tototoshi	play-joda-routes-binder_2.12	1.4.0	-	7335adbcf582b5245b51a129727f2e67f7840cef
com.github.upthewaterspout.fates	fates-explore	0.1.0	-	0643db7cb0374e48fe876ca9292f8cecd5e63b66
com.github.upthewaterspout.fates	fates-explore	0.2.0	-	f2402f72c6af7226d166128bb9aab0486a389551
com.github.upthewaterspout.fates	fates-explore	0.3.0	-	aa01edcd2b151f20f9b3997ffceaa325dc6c5463
com.github.xuwei-k	optparse-applicative_sjs1_2.11	0.8.2	-	d734507c71be6873701bef62b4430f7cd4b27776
com.github.xuwei-k	optparse-applicative_sjs1_2.11	0.9.0	-	d3218a50b005abf1ba42e188fa0ed836040e02de
com.github.xuwei-k	optparse-applicative_sjs1_2.11	0.9.1	-	ad15d5d096b50d5edd10b6eb04156ce4ad265c83
com.github.xuwei-k	optparse-applicative_sjs1_2.11	0.9.2	-	efd84349b5d0df1a921662b32fdba836093b6300
com.github.xuwei-k	optparse-applicative_sjs1_2.11	0.9.3	-	ff48cd0c6077f0d9dfac172a5e81fb21e306f747
com.github.yingzhuo	carnival-spring-boot-starter-password2	1.0.0	-	4cab246f692be643eb5591f4b6552b0272508e15
com.github.yingzhuo	carnival-spring-boot-starter-password2	1.0.1	-	8bf43cdbeddf8be625d3ae29c2ad2c87e355c982
com.github.yingzhuo	carnival-spring-boot-starter-password2	1.0.2	-	fab85772cf5d45957f52fd96bf2171197ad3a660
com.github.yingzhuo	carnival-spring-boot-starter-password2	1.0.3	-	6f744bea121d94f517511125ac8c37424354e27c
com.github.yingzhuo	carnival-spring-boot-starter-password2	1.0.4	-	11f576eb832184bb9756b523daf29efd6fcdd994
com.github.yingzhuo	carnival-spring-boot-starter-password2	1.0.5	-	91a783191cf9488172883be2534ede28ebb2a80b
com.github.yingzhuo	carnival-spring-boot-starter-password2	1.0.6	-	f9fcd958b2dfea04740af12c0818abe50fe48941
com.github.yingzhuo	carnival-spring-boot-starter-password2	1.0.7	-	e52b253fa75fcc84426f05bd2b28432ed8c99559
com.github.yingzhuo	carnival-spring-boot-starter-password2	1.1.0	-	156d92af6dedbbfb61ed470256864b999671a16c
com.github.yingzhuo	carnival-spring-boot-starter-password2	1.1.1	-	5515af38388dcb8fa538bc88495b837eb710e128
com.github.yingzhuo	carnival-spring-boot-starter-password2	1.1.10	-	f3604442acd45f6132b97bdcf6e3c247aec0a0e3
com.github.yingzhuo	carnival-spring-boot-starter-password2	1.1.11	-	028c1e661947f63671b2933c5cdbffdabcf7eaa7
com.github.yingzhuo	carnival-spring-boot-starter-password2	1.1.2	-	c9fba0b40ade147ef41539df8d3a5c86770e1086
com.github.yingzhuo	carnival-spring-boot-starter-password2	1.1.3	-	64cfdca0db2c247067c961f59432efdeeabad545
com.github.yingzhuo	carnival-spring-boot-starter-password2	1.1.4	-	5a8c888a0ef16d0491a77b500e815f0dd5b66464
com.github.yingzhuo	carnival-spring-boot-starter-password2	1.1.5	-	c447eae471f5f5207517477e2e17423b61d9fa72
com.github.yingzhuo	carnival-spring-boot-starter-password2	1.1.6	-	c2b48b693f8aeba9282aa4cd532b56067ae68200
com.github.yingzhuo	carnival-spring-boot-starter-password2	1.1.7	-	c4bbc36fdb60260c95483a44c37fe8bdff8d9b12
com.github.yingzhuo	carnival-spring-boot-starter-password2	1.1.8	-	1ea20b9a7b713f9b8d4ed8442be2ace12c96e240
com.github.yingzhuo	carnival-spring-boot-starter-password2	1.1.9	-	5e986db682197f58459a0886ff11e734a8efe095
com.gluonhq	charm-down-plugin-browser-android	3.0.0	-	9267f90ef7ead617ebf3ca80bae3184df5166d96
com.gluonhq	charm-down-plugin-browser-android	3.1.0	-	9de89052b8d76c1968cd79f5b05e276574ddfe2d
com.gluonhq	charm-down-plugin-browser-android	3.2.0	-	a03ddc56e4e7fa68b8f3962ebbd4fcf1579a9a3b
com.gluonhq	charm-down-plugin-browser-android	3.2.1	-	7c580f0e7146106537c11fcbbde3e67b5bb06a98
com.gluonhq	charm-down-plugin-browser-android	3.2.2	-	aa2b07a1ca2ac95c7530a2bfec020d688f025704
com.gluonhq	charm-down-plugin-browser-android	3.2.3	-	b405110b5a5f44a26fb404c1a46446ed80be551e
com.gluonhq	charm-down-plugin-browser-android	3.2.4	-	00c50e92f81983ac7bf6e7f4601afbf46648a69e
com.gluonhq	charm-down-plugin-browser-android	3.3.0	-	0f4b817258a54ab047b41debca74e89e17000ab4
com.gluonhq	charm-down-plugin-browser-android	3.4.0	-	bfe11b773f15a5399d1e6ce675f252bd3533e3f7
com.gluonhq	charm-down-plugin-browser-android	3.4.1	-	767bec188c40b8357779627ef4aa6f2c3ff8d1a4
com.gluonhq	charm-down-plugin-browser-android	3.5.0	-	120cecd4575603b3b7b1c8d6d3e60d475d62a63d
com.gluonhq	charm-down-plugin-browser-android	3.6.0	-	71c5113f63e3db36a360e4237d55aa3de6e2bcd8
com.gluonhq	charm-down-plugin-browser-android	3.7.0	-	28e852aefd216cfb749cfe2ee1a9d84d851f6c21
com.gluonhq	charm-down-plugin-browser-android	3.7.1	-	17922f2770373299c4ffb7c26c55a69c9c1d8478
com.gluonhq	charm-down-plugin-browser-android	3.7.2	-	2db220ef9a0b381a106d1b0865186905e228baac
com.gluonhq	charm-down-plugin-browser-android	3.8.0	-	ff9199f2a97c3d06829db0c780514574d68acc5d
com.gluonhq	charm-down-plugin-browser-android	3.8.1	-	5288a93cd6a1a9f9cdbfcc1679716c9197b0e88b
com.gluonhq	charm-down-plugin-browser-android	3.8.2	-	f8098f5b4180ef893a60e701263dcbb46a809d00
com.gluonhq	charm-down-plugin-browser-android	3.8.3	-	bed02de0bc44f5f576267fe9174e20fc9fb55de8
com.gluonhq	charm-down-plugin-browser-android	3.8.4	-	675a3c2af0efcf7de97e863ec4601808c553226c
com.gluonhq	charm-down-plugin-browser-android	3.8.5	-	1cd3de3d60adf77eb87ddfb0eec9821f903ea339
com.gluonhq	charm-down-plugin-browser-android	3.8.6	-	bb8b59bac6ccff69d3ead2d7388eddbeef1286a6
com.google.cloud	google-cloud-compute-spring-starter	4.10.0-preview	-	d1f005a916b397cb701b41db22d13064b9c49841
com.google.cloud	google-cloud-compute-spring-starter	4.10.1-preview	-	0ea4d6181d153686e9fec86461a2b6b4aa759344
com.google.cloud	google-cloud-compute-spring-starter	4.10.10-preview	-	e4616135011a73195247995dd1bb8eb366034d32
com.google.cloud	google-cloud-compute-spring-starter	4.10.11-preview	-	da73869fbda79a4a54719bcf1fb18a8b2636ce20
com.google.cloud	google-cloud-compute-spring-starter	4.10.12-preview	-	af9e25448f9527bd342698354c49656a0d0b76cf
com.google.cloud	google-cloud-compute-spring-starter	4.10.13-preview	-	230c768bfa42598d1714fae3e72ec9d0963bf197
com.google.cloud	google-cloud-compute-spring-starter	4.10.14-preview	-	42fab02ff42ce06d1ed55fba454939d813c4df76
com.google.cloud	google-cloud-compute-spring-starter	4.10.15-preview	-	cbd1ac815b0afa1dc4e79c3ee9b52a1c08459f6a
com.google.cloud	google-cloud-compute-spring-starter	4.10.16-preview	-	62f1176cfa8632b79f04eedcf7694cc28da49272
com.google.cloud	google-cloud-compute-spring-starter	4.10.17-preview	-	23131a228cf990533523cbf1fbe613a308ddbd03
com.google.cloud	google-cloud-compute-spring-starter	4.10.18-preview	-	61983053a7865d7920f3e419638e197a6ae5de54
com.google.cloud	google-cloud-compute-spring-starter	4.10.19-preview	-	fc9e4a9af05cf272e227af3adbaa7284448245d8
com.google.cloud	google-cloud-compute-spring-starter	4.10.2-preview	-	8e7093cf00bdf592638d80e4438707d4f763d9b3
com.google.cloud	google-cloud-compute-spring-starter	4.10.3-preview	-	0879e678f6c95c98b7ca0a254ed1bb45d1c42321
com.google.cloud	google-cloud-compute-spring-starter	4.10.4-preview	-	2e783525a14754792ab31e61658a9985fde4ceb5
com.google.cloud	google-cloud-compute-spring-starter	4.10.5-preview	-	457261f0b70af90bc7ea2d50dba4f2f5d1150c04
com.google.cloud	google-cloud-compute-spring-starter	4.10.6-preview	-	e256d7ad33812d7e2f49ca16ac17380f3d9cadfd
com.google.cloud	google-cloud-compute-spring-starter	4.10.7-preview	-	4948ac780913105ab47ee80aa65d439a7617aed1
com.google.cloud	google-cloud-compute-spring-starter	4.10.8-preview	-	d15badbb03efb126da4e982bf5d44e8ee602365b
com.google.cloud	google-cloud-compute-spring-starter	4.10.9-preview	-	3cedb4a6ed1d5ee0badac7e0b52cb5c8978bbbab
com.google.cloud	google-cloud-compute-spring-starter	4.5.0-preview	-	49bb0b8fd8d81c5d464f50ec21f7896e9148232d
com.google.cloud	google-cloud-compute-spring-starter	4.5.1-preview	-	92f1f8d76333d5ce9ae9c02bfa3e0c9ea6156aa1
com.google.cloud	google-cloud-compute-spring-starter	4.6.0-preview	-	b6408eeae7edbd0eca5dcdcee2e905b46ff6a875
com.google.cloud	google-cloud-compute-spring-starter	4.7.0-preview	-	1f4322527db54c18767c3978646fab0c4c2c4054
com.google.cloud	google-cloud-compute-spring-starter	4.7.1-preview	-	db36cc267749fabe850695d4cbbac241c24a569d
com.google.cloud	google-cloud-compute-spring-starter	4.7.2-preview	-	2165046d44bebfa309cfcfb82f2259b614fa8982
com.google.cloud	google-cloud-compute-spring-starter	4.8.0-preview	-	67e4958db3e0c1ff45ca762af35cd6b240d5e179
com.google.cloud	google-cloud-compute-spring-starter	4.8.1-preview	-	d1b8d2373cbdbcdce72298b9bbcd81876cdf37ae
com.google.cloud	google-cloud-compute-spring-starter	4.8.2-preview	-	dde1ac9f7fbd1b922da3b5b34864e83594205118
com.google.cloud	google-cloud-compute-spring-starter	4.8.3-preview	-	16fe0259e39fb29afa50366b0d12e5285b31cb99
com.google.cloud	google-cloud-compute-spring-starter	4.8.4-preview	-	c8f46d9b0d27868dc53348f627ee1cd5c06133f3
com.google.cloud	google-cloud-compute-spring-starter	4.9.0-preview	-	c81e8afa14889136a92dedd1424778a1d3782b4d
com.google.cloud	google-cloud-compute-spring-starter	4.9.1-preview	-	10a3d457c5f0038f54fc9c02f32fca1b04ef07f3
com.google.cloud	google-cloud-compute-spring-starter	4.9.2-preview	-	7e65cefc48404074782190b50b40e3af98f28a8d
com.google.cloud	google-cloud-compute-spring-starter	4.9.3-preview	-	f3846382268fd2abe20582704818314dfadf347f
com.google.cloud	google-cloud-compute-spring-starter	4.9.4-preview	-	fa77fefff9b9e689f0b5a98e152299ad45741aeb
com.google.cloud	google-cloud-compute-spring-starter	5.0.0-preview	-	e4f284d1763a52b7e74b3dfe7a0d2de31520b7ad
com.google.cloud	google-cloud-compute-spring-starter	5.0.2-preview	-	84a8f456afbc18913540ca824216c3debbabef2b
com.google.cloud	google-cloud-compute-spring-starter	5.0.3-preview	-	b4a585ce802077adf006bbbc8d8bb00ed62f731c
com.google.cloud	google-cloud-compute-spring-starter	5.0.4-preview	-	8825ffa45c5bdface5944fabc1a1fdf879346c2c
com.google.cloud	google-cloud-compute-spring-starter	5.1.0-preview	-	f944e0629aeb1ccc6a663346b4de420c729bab3f
com.google.cloud	google-cloud-compute-spring-starter	5.1.2-preview	-	73e2c0a60e130d3c3b0c4bf8561bf3d4e209a738
com.google.cloud	google-cloud-compute-spring-starter	5.10.0-preview	-	53240d32e8868472c514babcee7aefbb8fc3cf0e
com.google.cloud	google-cloud-compute-spring-starter	5.11.0-preview	-	d5fdb14891280e20517b123ffe3194391c701d42
com.google.cloud	google-cloud-compute-spring-starter	5.11.1-preview	-	56b0186e3f4f08283435b9cbb8c488a2e6479c36
com.google.cloud	google-cloud-compute-spring-starter	5.11.2-preview	-	dfb3cb65b6bc155c8fa650dd35b356fc5759511a
com.google.cloud	google-cloud-compute-spring-starter	5.11.3-preview	-	7723c5d4ed8b6b364e5bab6b65c0b1641c704bcf
com.google.cloud	google-cloud-compute-spring-starter	5.2.0-preview	-	14364c9ae04af82c2ebfb5972077e22cbc62a889
com.google.cloud	google-cloud-compute-spring-starter	5.2.1-preview	-	0552168c951985bc885c49a25e031cf7e4126ebe
com.google.cloud	google-cloud-compute-spring-starter	5.3.0-preview	-	2000967c08814c54353b7af95c211af517f42e74
com.google.cloud	google-cloud-compute-spring-starter	5.4.0-preview	-	00e64754f0e7096321dba4c9ddd38db0d4c4e41f
com.google.cloud	google-cloud-compute-spring-starter	5.4.1-preview	-	0b0c30137004c894463aa6d1325e7908b44d68ec
com.google.cloud	google-cloud-compute-spring-starter	5.4.3-preview	-	afa412fe597fb0adeec7259e9d3d75d65628e90d
com.google.cloud	google-cloud-compute-spring-starter	5.5.0-preview	-	3bc2ec44d679e9a22f1cf6bf5e7c5a9ecf1379a5
com.google.cloud	google-cloud-compute-spring-starter	5.5.1-preview	-	2dc44b8f73ec15edb9411c7ea53423764aefd3b5
com.google.cloud	google-cloud-compute-spring-starter	5.6.0-preview	-	59cf7bb13810f40f2dba874e2d8ad51f20cbde1c
com.google.cloud	google-cloud-compute-spring-starter	5.6.1-preview	-	7226358ede73157f05df99d105b845bc17d8f3d7
com.google.cloud	google-cloud-compute-spring-starter	5.7.0-preview	-	8fdf98cf82ad753732b4765e97613c32db4af75d
com.google.cloud	google-cloud-compute-spring-starter	5.8.0-preview	-	fef7047b85e58eed5a62268528c46311ec059b4c
com.google.cloud	google-cloud-compute-spring-starter	5.9.0-preview	-	776197afc8087f7b725133361baf33aa2fef4a7f
com.google.cloud	google-cloud-compute-spring-starter	6.0.0-preview	-	c8ed24d0fc55c54c072c04bbcf51d2c3414a964b
com.google.cloud	google-cloud-compute-spring-starter	6.0.1-preview	-	fd1702cea800a7a81986b06883b53313893990b7
com.google.cloud	google-cloud-compute-spring-starter	6.1.0-preview	-	be771c11a0ae3b5d778278c00a7ed7fa813bab98
com.google.cloud	google-cloud-compute-spring-starter	6.1.1-preview	-	d843a42e7f32da11a60fcb74d30b1526cc09f415
com.google.cloud.spark.bigtable	spark-bigtable_2.12	0.1.0	-	157e85ff4afa41d4ac71e9a5f13d44b8e1562e13
com.google.cloud.spark.bigtable	spark-bigtable_2.12	0.1.1	-	9957219b8cf3e1a370507c6bc84a4e86f8c04d65
com.google.cloud.spark.bigtable	spark-bigtable_2.12	0.2.0	-	f83fc0505cbbff3c30c6b467fc307230a87e3582
com.google.cloud.spark.bigtable	spark-bigtable_2.12	0.2.1	-	50e8ad478196d6e70d8dc9c40cb8343912642d07
com.google.cloud.spark.bigtable	spark-bigtable_2.12	0.3.0	-	7de6ecb826ea4ebe90e9a96e2e31f8eeb5904041
com.google.cloud.spark.bigtable	spark-bigtable_2.12	0.4.0	-	37c39489a4d15a33340267b976751502207c2484
com.graphqlio	websocket-framed-java	0.0.10	-	3dd7ab0377b3b18f5298ad860c586712ef30eb64
com.gregmarut.commons	android	0.1-RELEASE	-	14f97e712cd998499b6778a81589fac817f8e7a4
com.gregmarut.commons	android	0.2-RELEASE	-	e062aa3ffb123a388c5bf9e0c327235be3eb1685
com.gregmarut.commons	android	0.3	-	b458547557785c9895559f66b7a685c2e87cf082
com.gregmarut.commons	android	0.4	-	22b0f6e13ef15b4e3be285753d66924d6f9cabcc
com.gregmarut.commons	android	0.5	-	b665df637b6a7a321f1ec0d944a9da08017fc669
com.gregmarut.commons	android	0.6	-	c9ef7f3e80ae245643a4d9494e3e7d2002e43e2f
com.gruelbox	xchange-coindirect	4.3.16.1	-	eb0d17b216da8b617cc802e88a9651175ee0e83a
com.gruelbox	xchange-coindirect	4.3.17.1	-	cbd35eee06b73bbb8e0e8f097763fcaeb487e9c5
com.hadoop.compression	hadoop-gpl-compression	0.1.0	-	ad10051177baf30a34c62a2cd647efc9b87a18b1
com.helger	ph-bc	9.1.2	-	5f67c0793057eeb68d34f882da176f8946df205a
com.helger	ph-bc	9.1.3	-	90a39a5d10e89aff8ee803427868b51376cb8717
com.helger	ph-bc	9.1.4	-	9c5bc495f56658d8c069be042af384db3dcb75be
com.helger	ph-bc	9.1.5	-	388587fd3db74f225de343240ba5ce1d6b45e74e
com.helger	ph-bc	9.1.6	-	2f12fa16a601968268497cce342b9274f00a875a
com.helger	ph-bc	9.1.7	-	31fd3d18a73a6c0b42bb2322990d65f0e8ce9ebf
com.helger	ph-bc	9.1.8	-	c68f45aa3ff20b932a70d4cc2bcc493e2d401ad2
com.helger	ph-bc	9.2.0	-	bde82f8ec926772829f25cf7f149e3cebcf9fe09
com.helger	ph-bc	9.2.1	-	74a55454a143e8681b621d05309b424cf3c8ae86
com.helger	ph-bc	9.3.0	-	5d86636492ac18964df61e50c17556b4d759f115
com.helger	ph-bc	9.3.1	-	3aa99f7612f7ed79119af09d3e1fe191bf2f7532
com.helger	ph-bc	9.3.2	-	b807f932e0733afc094ea26fc2efe867c30bd5bc
com.helger	ph-bc	9.3.3	-	047d7656156d4b13c47eefe61795803125a305b8
com.helger	ph-bc	9.3.4	-	22da7ddae30badba9259daa079060fd5aa92331d
com.helger	ph-bc	9.3.5	-	9ad39fe271d9c352b2e76a1a03d6c26911d7439d
com.helger	ph-bc	9.3.6	-	d93788a54f5808a3da4db7d18f92abf2698464ff
com.helger	ph-bc	9.3.7	-	9c5002d73636d5dc1afd2382db413c5ba9b04675
com.helger	ph-bc	9.3.8	-	611e7e5dc181b15048a19a021e77493c12cc6398
com.helger	ph-bc	9.3.9	-	d7a061e254eb1724630305d2a857a3c57fe31fc9
com.helger	ph-bc	9.4.0	-	11ad421a93e7e7a45b231b414393defdfbfb5c50
com.helger	ph-bc	9.4.1	-	3b5a524a5e55feeb465900fe095c482539a39675
com.helger	ph-bc	9.4.2	-	5e77c6b8960ea61dc40d8c93e1621663409523b4
com.helger	ph-bc	9.4.3	-	b1fa1de875d30b8e4f8f102b565e0daff1f9caaf
com.helger	ph-bc	9.4.4	-	6eb416ebebb32a2b5ad6f4b5cda23c72580cc253
com.helger	ph-bc	9.4.5	-	1c22f3a7d408c1bb8eafbf2dcaff9cf6bf6d948f
com.helger	ph-bc	9.4.6	-	adefe861365775f0e7e6767dc042cd2a34cecc8a
com.helger	ph-bc	9.4.7	-	9c37ff21962361c72e8768ce483034522b8189c1
com.helger	ph-bc	9.4.8	-	845b76eb8f2fccbf93b14988700c402ac0c7805e
com.helger	ph-bc	9.5.0	-	40efdb1d9e979ce699042135440cf079e01aefee
com.helger	ph-bc	9.5.1	-	a2fdc4cf4dae45d3f3aded0ffc9b52e0d7ff416a
com.helger	ph-bc	9.5.2	-	ba3879304cde2067f8ce3f26bf1a8b07011c71f4
com.helger	ph-bc	9.5.3	-	0fe96446b39b4b4d5acdb2e4cb08caf924ab50ef
com.helger	ph-bc	9.5.4	-	46cfa65d20b552d0306c1771b1ecfc37fb4ba9a6
com.helger	ph-bc	9.5.5	-	2f31fc2cff3ff6d15c791b7b239412eb13b0ce80
com.helger.toop	tc-api	2.2.0	-	895d0b84902da2eb00613227fd6b990f52f5a32e
com.inaos.jam	jam-test	1.0.0	-	041db2d0f656a55888e1ba3250572113568fa94f
com.inaos.jam	jam-test	1.0.1	-	521bf1ef311b029f361d69d18d270bb9f7bc7ec7
com.inaos.jam	jam-test	1.0.10	-	759f1b9fbbc01cac14bc2c8bd542655a16d2e5e8
com.inaos.jam	jam-test	1.0.11	-	614ae02392be228cad22037cc61eff997993a14c
com.inaos.jam	jam-test	1.0.12	-	df4fee9946cdfc92a16014ae865dc712bdbdecb4
com.inaos.jam	jam-test	1.0.2	-	a2ecfe9ee7653554274158539ad6edac47f88f35
com.inaos.jam	jam-test	1.0.3	-	0ae5965183e0b93321a01de79a856b7e97fc18ec
com.inaos.jam	jam-test	1.0.4	-	042f278bab071c06755e5e675f3166e97ba3f813
com.inaos.jam	jam-test	1.0.5	-	4b62bcb78dab9636a8785b6a4bcd35b3d8a4d0bf
com.inaos.jam	jam-test	1.0.6	-	6b073c925187992fb67660fd080352bb17ffedbc
com.inaos.jam	jam-test	1.0.7	-	6713193f57d917d509fa07b3c120a5b18e3ef42f
com.inaos.jam	jam-test	1.0.8	-	7f801cd6ebfc505bfdae888d294ee5af081b72ab
com.inaos.jam	jam-test	1.0.9	-	6b498f2ba06bbdc65639121a782c47536e29d079
com.iohao.game	light-redis-lock-spring-boot-starter	17.1.0	-	0910ca38e8af886a530785c51df966099d104c21
com.iohao.game	light-redis-lock-spring-boot-starter	17.1.1	-	62a31b071f0c870b60a52c8d74923620324e344e
com.iohao.game	light-redis-lock-spring-boot-starter	17.1.10	-	597a90d5a1af666590495c539862151b8b39120f
com.iohao.game	light-redis-lock-spring-boot-starter	17.1.11	-	5b4d680cf551a36cdc3dac20079bb970d4b5b490
com.iohao.game	light-redis-lock-spring-boot-starter	17.1.12	-	8045c60d58086bad6d82e22bc5ec038806b86065
com.iohao.game	light-redis-lock-spring-boot-starter	17.1.13	-	aa8d66d8b6f531cd23ebbc5898fe904d94fbf736
com.iohao.game	light-redis-lock-spring-boot-starter	17.1.14	-	f91b3bc5299c9e2de4189abffb432435c35819b3
com.iohao.game	light-redis-lock-spring-boot-starter	17.1.15	-	0222165d22b35d458f5d3adf0a5f45224b90ac45
com.iohao.game	light-redis-lock-spring-boot-starter	17.1.16	-	ceda570ecbdf7587189264cdebf973e25440e413
com.iohao.game	light-redis-lock-spring-boot-starter	17.1.17	-	04528921dcbef92dd20730b57818a352c1580cc1
com.iohao.game	light-redis-lock-spring-boot-starter	17.1.18	-	0fa6b3b63fb29e32886045d356046259fd00b422
com.iohao.game	light-redis-lock-spring-boot-starter	17.1.19	-	3e945e9182260b841c88794bcdc9877b153f3bf5
com.iohao.game	light-redis-lock-spring-boot-starter	17.1.2	-	3a9ad4e2aa4880e927338285b63b68155904207b
com.iohao.game	light-redis-lock-spring-boot-starter	17.1.20	-	9d551ed38d8837a74b1f52a8d05a111e6a6cbdd6
com.iohao.game	light-redis-lock-spring-boot-starter	17.1.21	-	ce3c8f7817fef5df0067e0db71c68aa10dafed8d
com.iohao.game	light-redis-lock-spring-boot-starter	17.1.22	-	0204832e459de2d4976d9c2d68b5ddcde9af2059
com.iohao.game	light-redis-lock-spring-boot-starter	17.1.23	-	b73f0672eeeccf580bc0abb32f32b07a333693e2
