beehive	beehive-netui-tags-template	1.0-alpha		107d9b918241826488bcf34a6a1cee5b7a142d70
com.51degrees	device-detection.shared	4.4.20		c4e81bbc6cb1fd477d09e4e8321e7b71e56eb479
com.51degrees	device-detection.shared	4.4.200		eba3a6db073a7b1a9f75892e8d3500d5733eb17a
com.51degrees	device-detection.shared	4.4.201		18c3442aad4debba784aa0cf964b4a52419ef443
com.51degrees	device-detection.shared	4.4.202		e2cdf420da2e14560cb6184c9a56b4c29e9536ad
com.51degrees	device-detection.shared	4.4.203		55fa161ab865f16973e22dfba5fd1c74fa43f982
com.51degrees	device-detection.shared	4.4.204		8de548a07e2943906aa870b3977ed6197724df08
com.51degrees	device-detection.shared	4.4.205		ea12a1026ccf81f662acbfa6da8cbb4c7825fd41
com.51degrees	device-detection.shared	4.4.206		fbd8e12efff83e49006eea79781f3cbb3eadb4d3
com.51degrees	device-detection.shared	4.4.207		c94a7d2442947d4b7f3183482bf6a1e426c9b614
com.51degrees	device-detection.shared	4.4.208		ad27228ae18b36e62b2f063e01eb17fb2607999a
com.51degrees	device-detection.shared	4.4.209		60e2392b1cccb3b849e730cafed4e3972f2a29c3
com.51degrees	device-detection.shared	4.4.210		ced4b8975ad11947a0f9133a1e3834b2db8b0bc0
com.51degrees	device-detection.shared	4.4.211		a9bf686f98f3c581c9fd9ece86fa81458cc95913
com.51degrees	device-detection.shared	4.4.212		5053100db57e320932fd296e19ec84145b022b28
com.51degrees	device-detection.shared	4.4.213		c3a4dccfbc00dc96d81a2c330c2700e1f958ee9f
com.51degrees	device-detection.shared	4.4.214		a4c8f8562fd9facbe823ffb31c69b324e1638c35
com.51degrees	device-detection.shared	4.4.215		b681488f0d290593296017d8e65b410082c6a711
com.51degrees	device-detection.shared	4.4.216		464b3ecc5682b0df6fde413da5a05b107420db26
com.51degrees	device-detection.shared	4.4.217		6d008ae04bb7ca3e94d1ee696f0fe28946c77002
com.51degrees	device-detection.shared	4.4.218		47731e665577521e347697f0f44232f2d3c78847
com.51degrees	device-detection.shared	4.4.219		e72a26e4d9a48f59650d4c5c59a877cf4654dd9e
com.51degrees	device-detection.shared	4.4.220		58c52a3005ad074a6b98eeb9536b80776bd837db
com.51degrees	device-detection.shared	4.4.221		99dabd9acbf96c8bb7ffa9cb9dd1f6f175e26b9a
