at.released.cassettes.plugin.unwrap	at.released.cassettes.plugin.unwrap.gradle.plugin	0.1-alpha01		N/A
com.pongsky.kit	spring-boot-starter-storage-oss	3.6.0-2.4.13		562ea4baa3d3f9e1ba73763d15a88b1bad80f901
com.pongsky.kit	spring-boot-starter-storage-oss	3.7.0-2.4.13		29cd9b8bf47f57e9582cae075129d518f3770004
com.pongsky.kit	spring-boot-starter-storage-oss	3.8.0-2.4.13		bd7e7648c3cb746d0daee3b6cddb3d8d211f3d28
com.pongsky.kit	spring-boot-starter-storage-oss	3.8.1-2.4.13		b4c0a11b2756fe7c41a8045d985d02a79855d6b7
com.pongsky.kit	spring-boot-starter-storage-oss	3.8.2-2.4.13		2c20d60d051b8060f704573a90074457048a5aa8
com.pongsky.kit	spring-boot-starter-storage-oss	3.8.3-2.4.13		4fadcefcde118e24832c4d764931a3a91ffa1cd5
com.pongsky.kit	spring-boot-starter-storage-oss	3.8.4-2.4.13		0e2423fa7c9e5da56d1abace1e279ebf6ae82c30
com.pongsky.kit	spring-boot-starter-storage-oss	3.8.5-2.4.13		e581d3801d5ad5871e4b74aabfae42deb1e9c66b
com.pongsky.kit	spring-boot-starter-storage-oss	3.8.6-2.4.13		28a1ca37d561acff680d0cc2e000557eae44b4bf
com.pongsky.kit	spring-boot-starter-storage-oss	3.9.0-2.4.13		1b7eb66d15bb678d4b46421f0161fbc8f0e477f7
com.pongsky.kit	spring-boot-starter-storage-oss	3.9.1-2.4.13		f7bef951157ae3f3791dde78b4c40987236cf9da
com.pongsky.kit	spring-boot-starter-storage-oss	4.0.0-2.4.13		964305920930cdf7c0b932a3706f04d17d18264b
com.puravida-software.asciidoctor	asciidoctor-themes	3.0.0		670c4b9d1a982258fa83437f6c9bace9efdeac4c
com.robertlevonyan.view	Picker	2.1.0		N/A
com.softwaremill.sttp.model	core_native0.4_2.11	1.3.1		f8dc4adaa72b7df5fd27ca34f1e4336738152b49
com.softwaremill.sttp.model	core_native0.4_2.11	1.3.3		6af128cb652037097c69597232be11f6c99ca1ec
com.softwaremill.sttp.model	core_native0.4_2.11	1.3.4		cf0af0db2d28a728167597205e1e450fb7bf856b
com.softwaremill.sttp.model	core_native0.4_2.11	1.4.0		b0b640d4697170fc2b2d804c73737506900c279f
com.softwaremill.sttp.model	core_native0.4_2.11	1.4.1		408dd98fdc59a49f1ab0503f2f3291ac1395bfdb
com.softwaremill.sttp.model	core_native0.4_2.11	1.4.10		bd0a812f76f73cad04b7b970a482aa59f764007f
com.softwaremill.sttp.model	core_native0.4_2.11	1.4.11		a5ce1c8b557750a74fc95be2d48d10a6823d044b
com.softwaremill.sttp.model	core_native0.4_2.11	1.4.12		19f57b2678780af3516830a29bcfd5cab5d547b6
com.softwaremill.sttp.model	core_native0.4_2.11	1.4.13		09677c8ed10fe2376aa0ad01267b96e881a93e3c
com.softwaremill.sttp.model	core_native0.4_2.11	1.4.14		9c4524bfc11e229cc533cb1fdb8a9c847bef9111
com.softwaremill.sttp.model	core_native0.4_2.11	1.4.15		cf0a483bc29d1f6ea0f7e4f843b13a74457e7272
com.softwaremill.sttp.model	core_native0.4_2.11	1.4.16		614df9fe3ad4e8cda81adaa2f87f5b13d534e714
com.softwaremill.sttp.model	core_native0.4_2.11	1.4.18		27562d53323532d620c1cc17666547b2cb396b85
com.softwaremill.sttp.model	core_native0.4_2.11	1.4.19		eeeb317d34eff36fe8ca00a35493e40d891718f0
com.softwaremill.sttp.model	core_native0.4_2.11	1.4.2		403fdd56e2f80dd546dbf8ca3a749ea3235dd9a5
com.softwaremill.sttp.model	core_native0.4_2.11	1.4.20		344d9897d90de694b3d0daeadc7b5b5b66f32076
com.softwaremill.sttp.model	core_native0.4_2.11	1.4.21		5deb6ab10024407ddf5ced66e152ab6a44e27900
com.softwaremill.sttp.model	core_native0.4_2.11	1.4.22		d13d572f2313e6f15b053625a73f5403cac335c7
com.softwaremill.sttp.model	core_native0.4_2.11	1.4.23		d587e70c3370660df94b3377dc5288f5cb4b5469
com.softwaremill.sttp.model	core_native0.4_2.11	1.4.24		185c5deafda32ae173103c4bdeec60173072c5f2
com.softwaremill.sttp.model	core_native0.4_2.11	1.4.25		b651cdf0f3a4bbde1d59f6662c9ed93b83fc0f31
com.softwaremill.sttp.model	core_native0.4_2.11	1.4.26		e61423b719715b826e010f618adc8bcd4566e494
com.softwaremill.sttp.model	core_native0.4_2.11	1.4.27		2a3d5973e604ba4a42e744bb0db8032763af9473
com.softwaremill.sttp.model	core_native0.4_2.11	1.4.3		590adffbb521894bae979b3b1cde9c8ce4d7632f
com.softwaremill.sttp.model	core_native0.4_2.11	1.4.4		ff37ce21d969313f2cc6bcb773853a6c815ded34
com.softwaremill.sttp.model	core_native0.4_2.11	1.4.5		6c954055e8eb3189ae5a42fdcebdb0381beea7b8
com.softwaremill.sttp.model	core_native0.4_2.11	1.4.6		56b311b326027020cf50e957f1dcf1f0d2bb3af8
com.softwaremill.sttp.model	core_native0.4_2.11	1.4.7		45d37bfe336ef0497212a6aa6ff8c573527b175b
com.softwaremill.sttp.model	core_native0.4_2.11	1.4.8		d075b2a4d7427768b112d69323c20ff623646270
com.softwaremill.sttp.model	core_native0.4_2.11	1.4.9		4a9e8add293f7b22c89c88c0d4da4c155011ebcd
com.softwaremill.sttp.model	core_native0.4_2.11	1.5.0		f4f71bfc525758d4b8b720158dcd12564c4f7d2c
com.softwaremill.sttp.model	core_native0.4_2.11	1.5.1		19d827572c527e07047d468af6cdb30073bf33b6
com.softwaremill.sttp.model	core_native0.4_2.11	1.5.2		9c3a3c5a7141fd577c484e50cbb093a4cd9b3128
com.softwaremill.sttp.model	core_native0.4_2.11	1.5.3		62578180492d441211d7516cf65cda2bf2484497
com.softwaremill.sttp.model	core_native0.4_2.11	1.5.4		02fa723087fb5003b53180d7830fa8f12c39c05c
com.soywiz	korlibs-charset-wasm-js	6.0.0-alpha2		N/A
com.streamxhub.streamx	streamx-flink-submit	1.0.0		f65f1bcf4da215d9726ec52671588cb4c7ea05a0
com.streamxhub.streamx	streamx-flink-submit	1.1.0		ea0edce22f39b4864dd91e3ed64e4e05054bed27
com.streamxhub.streamx	streamx-flink-submit	1.2.0		N/A
com.tonylawrence	funk	1.0.0		bccb5c0dcbee04cf6cd2ff3f38be06da3487f3c1
com.tonylawrence	funk	1.1.0		1a9ae474e9cdf3a452e1fcc8dbc619885c3f9740
com.tonylawrence	funk	1.2.0		e3f76de6c3c377fd3acb638bf752a3ee1f27f496
com.tonylawrence	funk	1.2.1		2d89e9979051c99646864bf98799c6f2b1c52cb6
com.tonylawrence	funk	1.2.2		2f436f205ce705a00e82f16525053a303c4df432
com.tresata	akka-http-spnego_2.13	0.5.0		59cb4c0c06494e419eb2f8620944dcbbb57c652c
com.typesafe.akka	akka-protobuf_2.13.0-RC3	2.5.23		f98dad89ac38275e021768ed34156d2802398e69
com.varabyte.kobwebx	kobwebx-serialization-kotlinx-jvm	0.20.1		a546d7b98a0d2c2d02e64186d2ac276fdc522140
com.varabyte.kobwebx	kobwebx-serialization-kotlinx-jvm	0.20.2		a546d7b98a0d2c2d02e64186d2ac276fdc522140
com.varabyte.kobwebx	kobwebx-serialization-kotlinx-jvm	0.20.3		a546d7b98a0d2c2d02e64186d2ac276fdc522140
com.varabyte.kobwebx	kobwebx-serialization-kotlinx-jvm	0.20.4		c7fff53d2b711277f980035d851181405b3296be
com.varabyte.kobwebx	kobwebx-serialization-kotlinx-jvm	0.20.5		c7fff53d2b711277f980035d851181405b3296be
com.varabyte.kobwebx	kobwebx-serialization-kotlinx-jvm	0.20.6		c7fff53d2b711277f980035d851181405b3296be
com.varabyte.kobwebx	kobwebx-serialization-kotlinx-jvm	0.21.0		c7fff53d2b711277f980035d851181405b3296be
com.varabyte.kobwebx	kobwebx-serialization-kotlinx-jvm	0.21.1		c7fff53d2b711277f980035d851181405b3296be
com.yoctopuce.archetype	commandline	1.0		7c97deec27fdcb0ca97b6ee1d71b0a7324ad45d5
cool.lazy-cat	orm-base	2.0.0		c88c81458f904fd2d899a719dc2b771c7c1004e5
cool.lazy-cat	orm-base	2.2.0		41faceabc63de96dba7f395194e1b1e5ea9fc9c8
cool.lazy-cat	orm-base	2.3.0		4757d6f795886e3c4b4c7b5d6a614933ce6a8ac9
cool.lazy-cat	orm-base	2.3.1		92a730a0c52776f5cc1db271af51b86ecc5101e4
cool.lazy-cat	orm-base	2.3.2		9599fad4af82ac535b926f6d306bc17f601701a5
cool.lazy-cat	orm-base	2.4.0		169468a4e36e8ce9c7dbe73557aac89f8d902419
dev.atsushieno	alsakt	0.1.4.3		23e05da9621524589d8d864b9e25fea0449d4e54
dev.atsushieno	alsakt	0.2.0		5ab5f6041ce1ccb34a9d0117f3da33e6ad6c94e4
dev.atsushieno	alsakt	0.3.0		245a6919d829fe20354455e8cc331918909b6335
dev.atsushieno	alsakt	0.3.1		9430601524bed8e6da686f1f64f9f9f8bc8ed766
dev.atsushieno	alsakt	0.3.2		d3c33bed40e1fd868973dacfc734e5361c895558
dev.atsushieno	alsakt	0.3.3		bf19ea9d83b1346a1add0eb5265f639cb9931db0
dev.atsushieno	alsakt	0.3.4		564fc02040671d3f5ef8fe201b5e1bd5329cbe99
dev.atsushieno	alsakt	0.3.5		5dea4d2c98f34654ce52c298c147d4c8df21b043
eu.scasefp7	scase-wp5	1.0.0		N/A
eu.scasefp7	scase-wp5	1.0.1		N/A
eu.scasefp7	scase-wp5	1.0.2		N/A
eu.scasefp7	scase-wp5	1.0.4		N/A
eu.scasefp7	scase-wp5	1.0.5		N/A
eu.scasefp7	scase-wp5	1.0.6		N/A
eu.scasefp7	scase-wp5	1.0.7		N/A
eu.scasefp7	scase-wp5	1.0.8		N/A
eu.scasefp7	scase-wp5	1.1.0		N/A
io.aeris-consulting	catadioptre-java	0.3.0		5d42c4075b252ac1fda0d196fdcc95346f7cf72c
io.aeris-consulting	catadioptre-java	0.3.1		df3505091e11870401db1eb3b693297a0559d448
io.aeris-consulting	catadioptre-java	0.3.2		c7b60d10292d70d5202faa84d5bc89a6b35e2be1
io.aeris-consulting	catadioptre-java	0.4.0		33bf281e185729bf93699ec2c3cc6f9c0f9c3e2a
io.aeris-consulting	catadioptre-java	0.4.1		3da2fbea0d2eca4095a82c1e5885c53921bb9165
io.aeris-consulting	catadioptre-java	0.4.2		676a257564b8b69a10188dbffce2f02a8465d5f6
io.aeris-consulting	catadioptre-java	0.5.0		1fa5bd1e0a0d5fe4f39751ec3b16a0994a3ccca2
io.aeris-consulting	catadioptre-java	0.6.0		489000aad9146553372b902eafa44ff7a68a9da1
io.aeris-consulting	catadioptre-java	0.6.1		f17c56286e876e5aaa5f1dc0adcdb830cdd23813
io.aeris-consulting	catadioptre-java	0.6.2		bfb8406322e3ea99d958f6999a71c0ea5e0a2bfa
io.aeris-consulting	catadioptre-java	0.6.3		16f468f660c00ee4f7dff35d83d624f1797eb8e7
io.gitee.kingdonwang	task	1.0.0		ae85de7023d2a725c9070a430bc938d6a4587878
io.gitee.kingdonwang	task	1.0.2		b1846a1096b91493b9b680c3b6950eb467ca4400
io.gitee.kingdonwang	task	1.0.3		a74b1cc7ec0eedbdb41d564039ae04f5f661d54e
io.gitee.kingdonwang	task	1.0.4		e375d968bbfb913578206d646bf5b8fa17d83d77
io.gitee.kingdonwang	task	1.0.5		9d2b54b633e852c5b2117e1ec80074dbda43e013
io.gitee.kingdonwang	task	1.0.6		56aae1bf2959f901dd7952320aba7059cc0d2b1c
io.gitee.kingdonwang	task	1.0.7		0f7306ca4eb063032cbb19442ed6518ffd2ecbf3
io.github.blackmo18	kotlin-shopify-authentication-jvm	0.1.0		dd3de98182f3475fc3942f67eb5a837058966ecf
io.github.coteji	coteji-source-java	0.1.0		45936ebd0771af8bdcfda55daaaa5d219e6aec62
io.github.coteji	coteji-source-java	0.2.0		fea1df8ccd3ce84e571435063456981a10d1f5d9
io.github.coteji	coteji-source-java	0.3.0		ef747fdb370cc2e2986126e58a464b3307bc9e90
io.github.devngho	kirok-svelte-binding-jvm	1.0.1		298897615b1780664058431b1ccf44e226c47a8f
io.github.devngho	kirok-svelte-binding-jvm	1.0.2		ac32e6b04b0eda168fe52525868af8d1aad0e048
io.github.devngho	kirok-svelte-binding-jvm	1.1.0		38ee9349dd1c5f0cb519322cfca36e82d799a68d
io.github.devngho	kirok-svelte-binding-jvm	1.1.1		8ead5bd33aaa4c352091004d8460f9cd7ef499f7
io.github.devngho	kirok-svelte-binding-jvm	1.1.2		f8170d0180e1ece65cfc061a8124ece9fef45573
io.github.devngho	kirok-svelte-binding-jvm	1.1.3		f8170d0180e1ece65cfc061a8124ece9fef45573
io.github.devngho	kirok-svelte-binding-jvm	1.1.4		a73be4eff5bdcf223a02b8ab44c8c93d69b6d6c4
io.github.mixpush	mixpush-oppo	2.1.1		N/A
io.github.mixpush	mixpush-oppo	2.3.1		N/A
io.github.mixpush	mixpush-oppo	2.3.2		N/A
io.github.mixpush	mixpush-oppo	2.3.3		N/A
io.github.mixpush	mixpush-oppo	2.3.4		N/A
io.github.mixpush	mixpush-oppo	2.3.6		N/A
io.github.mixpush	mixpush-oppo	2.3.7		N/A
io.github.mixpush	mixpush-oppo	2.3.8		N/A
io.github.mixpush	mixpush-oppo	2.3.9		N/A
io.github.mixpush	mixpush-oppo	2.4.0		N/A
io.github.mletkin	builder-generator-maven-plugin	1.2.0		f8b44ddbbba15b7a2d9eabff717074246251c0b9
io.github.mletkin	builder-generator-maven-plugin	1.3.0		48ad830f5b2a12e9da1f3c78ea140d2e4bb0d200
io.github.mletkin	builder-generator-maven-plugin	1.4.0		b59f90c56b16125135fbf8361184afbdca184342
io.github.mletkin	builder-generator-maven-plugin	2.0.0		eda959a5f8693ff3a1dce5d58ac1e903d9714c72
io.github.mletkin	builder-generator-maven-plugin	2.1.0		476b0a887386e9f543719d687a62a256da42a7a0
io.github.mletkin	builder-generator-maven-plugin	2.1.1		66d0bed598c5a77b62e3590aa59d2e8140ecbcbe
io.github.mletkin	builder-generator-maven-plugin	2.2.0		e2dc9953bf02337be59adb84d3507648a8d94736
io.github.mletkin	builder-generator-maven-plugin	3.0.0		8dcf722bdbbfc192628ad08ffb13e5428bdd3caa
io.github.mletkin	builder-generator-maven-plugin	3.1.0		dc2acfcfbb22d09f338bbfc931ac78bb5ba16b04
io.github.mletkin	builder-generator-maven-plugin	3.1.1		36e07c02cbe58407529240512cb3aea46503dfcc
io.github.oliviercailloux	pom	0.0.1		N/A
io.github.oliviercailloux	pom	0.0.10		N/A
io.github.oliviercailloux	pom	0.0.11		N/A
io.github.oliviercailloux	pom	0.0.12		N/A
io.github.oliviercailloux	pom	0.0.13		N/A
io.github.oliviercailloux	pom	0.0.14		N/A
io.github.oliviercailloux	pom	0.0.15		N/A
io.github.oliviercailloux	pom	0.0.16		N/A
io.github.oliviercailloux	pom	0.0.17		N/A
io.github.oliviercailloux	pom	0.0.18		N/A
io.github.oliviercailloux	pom	0.0.19		N/A
io.github.oliviercailloux	pom	0.0.2		N/A
io.github.oliviercailloux	pom	0.0.20		N/A
io.github.oliviercailloux	pom	0.0.21		N/A
io.github.oliviercailloux	pom	0.0.22		N/A
io.github.oliviercailloux	pom	0.0.23		N/A
io.github.oliviercailloux	pom	0.0.24		N/A
io.github.oliviercailloux	pom	0.0.3		N/A
io.github.oliviercailloux	pom	0.0.4		N/A
io.github.oliviercailloux	pom	0.0.5		N/A
io.github.oliviercailloux	pom	0.0.6		N/A
io.github.oliviercailloux	pom	0.0.7		N/A
io.github.oliviercailloux	pom	0.0.8		N/A
io.github.oliviercailloux	pom	0.0.9		N/A
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	0.10.0		b3451d922c8dda06ac55d98a244ec4a6f71782d0
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	0.11.0		52dc00c7ca031a16d5538bddaf8bf2623f0d3ab7
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	0.12.0		de9830724cef7fbdeb166d9dd5dfec38e62a9614
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	0.13.0		13390c537721d46f882b325144d6b81d59be794c
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	0.14.0		a8cb3dfe390264c29db9a77aa428441556a4c5b0
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	0.14.1		a973b79941e725cb18fd9ee14234cae4ea0f2b20
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	0.15.0		d133953744bb8bc0b7d45a9dfb7a69eb9826b3d2
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	0.16.0		aaa7c1dd8391b7159aef5f085053efc5bfa35b30
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	0.17.0		54883f58b6ef9a2e90300925916efba91e930394
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	0.17.1		e7fa7f6cd58f0653089c38877691f516d48103f1
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	0.18.0		99c798c3307c3ea52bb40a3d2ff493a181f108ed
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	0.19.0		82932fed9919fabaa2026553c8bb00afdf807b16
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	0.19.1		f63c916daf6a98f7476c3ea7f4b702dee913729e
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	0.19.2		70d8fd632d42380ee3f5422effc1e1533bb4fad8
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	0.2.0		b7a53191e3134d090c780204374dd3556bb6d643
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	0.3.0		de4654a704d79d28b19c8c8cf476434a8b81912f
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	0.4.0		a4a579beff3adf4d4e697b76922e8430c196faa0
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	0.5.0		f52071c7904879edf090db30d81a09bfaf557f60
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	0.6.0		15e38d0ed326c3bedf99040f76a850d6ea42cab5
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	0.7.0		ab2bf05c363fc9f62aa4e3f5192920076f62933c
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	0.8.0		a2f66bb40d64fd32f261f065cd2f91fe0805b447
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	0.8.1		2ea79d890865a4520b8899224cea33b218de03c2
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	0.9.0		67714d56144afdeed363bdf0c08590dc96ea1664
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.0.0		44fd2985599a7588da6e0e77e074905d5f135076
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.0.1		7b49d5fdf74ee4abf8169c5ac7167c39d65f6a7f
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.1.0		a762dc642db7341d49abb83517144b9481b88f64
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.10.0		b70cec704a8369fae74ea0b31d72d1f0b6f192f1
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.10.1		8cf1e77eb7bfcfe941524cf2635ae75e9e8c4b75
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.10.2		347bddb1f23fe8da210eca0bcb47e1c2d84dfcfd
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.10.3		ac648dfeeff34d85d42d104931dd62cb7b2f2432
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.10.4		072fc3bd1eb5e9bdf2146fb008e9bee05bf8aadc
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.10.5		e36ae72e10a22fd978711d612f64ad17e604dffb
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.11.0		aa7340719a95299bcd62384c4dbbd45844ab70b2
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.11.1		dbd7db346c1523d84e083640aec72254a44b17d2
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.11.2		57388d5f051738820a9f24e55e8bf6a9d83dd205
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.11.3		1b098bd9d30cb97b3b47fe4962ce14709546f372
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.11.4		76592cc8e1855623d9947e71908d01ca35012fc1
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.12.0		b111da7b3791391ab4ec639c09edeef8805fa101
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.12.1		f3f7487d3296e2b4da8e5c19f5c812c5bdc1fac7
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.12.2		7ee4a2955cabc85caee16446321ff1b972c14b4d
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.12.3		0922220c6944c58614917ee4f5b24a0aae3b3d48
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.12.4		5e75ea0113b3bc427f4ce37d051737a7707ef7bd
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.12.5		06846d40e2816396746af47b8d6d38bf0f71aec0
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.13.0		50ae4faa514325835cadbed1bf18ba9fac964734
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.13.1		a424c95c780b4099b0834318ec91c67d465da213
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.13.2		5732b8de1e8b2fd130f9ffb941cd7e15ad2e51c0
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.13.3		abea668892c3863c3f02be6887f658ff92b739ce
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.14.0		60b58cb21cf8aebae2e23cfb88b6e7e6d1716094
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.14.1		60178c7fc744dfc637c9bff5e89005a46827b7de
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.14.2		0c06b144a4f4549a5b9a0da1bfb7895217a86481
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.14.3		ba9df963aeeb6ccf24d71d23e867bd6cad243d2d
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.14.4		fc2e6dbeea38497f2c7c181ae0eb330b97febc8e
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.15.0		68832fc57631d97bffbb968d23f3640abec5648e
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.15.1		37b5e545d8c83d7e3f13670d990b15d92275f9ae
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.15.2		2b057e9d150f7d54320c23fd59e4e52da8edf211
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.15.3		894c78ca0a8c6a33783b1392a043d6baffa71730
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.15.4		cb916fec1ebc2b3394bd621fca8e7108bc84d154
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.15.5		44b5b2fa84f7abdaf36c340d8ff308df0f1079fb
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.15.6		dc0c7bb05284bea3710207dfff57fc74e5f99b5c
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.15.7		134e443a23b954bd1e91a04b238060fea9374d2f
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.15.8		a5d88fa68280dcc0fd64ce62ebb0cddfc667b69b
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.16.0		8390eb3bde41d2783f63817d37c679333713c6c2
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.16.2		bab8cdffaf24521e084ab6059af2bd64cfb827d2
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.16.3		a141c9575bb5c59485b20391a1f157c2086d4b33
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.16.4		a15ab62a97629b93568ef199f272fdb852e36a3e
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.16.5		b5008f6ccec8b2b7abbe52712127e888ef3ca523
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.16.6		71c5bf11c3c2b110027bafd229167875ab4f8310
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.2.0		2a5ce5a184327dff26f72d4fec1f3e1b5eee198b
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.3.0		915598763d6d46747919859c0bd7bdc962754575
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.3.1		98afa1e41c5ae5020d8a46c842bceca0ca76010f
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.3.3		d683d38c1543cddc0cebe05490ffeaa2333aeed0
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.4.0		32a74d3f48b29c0abc9bff796b81a76b556c2679
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.4.1		6e8523f357ba605f4b07c81eea19fe57a890c540
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.5.0		8e75c2c1aa7fac7b4842e1b748d0a7936c7e54d2
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.5.1		9a871495856ab61fbbb43a439339f209441300aa
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.6.0		0152f5a532b6ae1607ac86a9f2d7fed7fc9980cc
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.6.1		acd56e67c43676a40e627210a066a19aeac8b796
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.7.0		a905d15db37b059c6b5b38307fc72204660df541
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.8.0		20089892e7134a9fe8f26df79ff0707fe9c90a5b
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.8.1		7c07db97e4d4d1125e3e1dbc092cb648eefb9025
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.8.2		95c62fa88d9eb65ad6a0d81069457cc845b672ed
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.8.3		5c42f29877e3a30a0cad6a57ca4113bc9cee7365
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.8.4		5faf8e9936268af24151ea47e7e527ff96233569
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.9.0		8d1716e20f5d3695658d113ed5076a3d8f8d6575
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.9.1		2285ae15c00f7af78ffb40e5a11d2cf85347bce3
io.gravitee.gateway.http	gravitee-gateway-http-client-vertx	1.9.2		50dd15d43ee523c5678745edd5e6da0897418fe4
io.janstenpickle	trace4cats-testkit_3	0.12.0		78b491f9b7bc963ee29db16145922bc90328b332
io.janstenpickle	trace4cats-testkit_3	0.12.0+111-8d6ea03c		9b464763b7ca36ca6bc8d602d09a7c6769b357cd
io.janstenpickle	trace4cats-testkit_3	0.12.0+65-90737804		550abae4d2fe238b4cbabf8e9cd0f8394aa24477
io.janstenpickle	trace4cats-testkit_3	0.12.0-RC2+17-d73c7ff3		ee4dabe89779d9d5f7be5e439107667d5de4b217
io.janstenpickle	trace4cats-testkit_3	0.12.0-RC2+18-2de6b68e		8da4babf4e1e45fe04bdffd13b5cfab61b7a31c8
io.janstenpickle	trace4cats-testkit_3	0.13.0		a2dc180bfd08d4e2a57407e086a3c897ccbec8c1
io.janstenpickle	trace4cats-testkit_3	0.13.1		0dc679227cfda7a2f529bc40b97dbf64cbedfa86
io.janstenpickle	trace4cats-testkit_3	0.13.1+101-e3262b46		6eb97cfeeed95ad850e0526a6e63b35076053514
io.janstenpickle	trace4cats-testkit_3	0.13.1+106-d0c19130		6da631a5d86e886cd3cec33b9772a5430748689c
io.janstenpickle	trace4cats-testkit_3	0.13.1+108-e5f14927		83b1e994c1116ac040953be4d621c9db46ea9f21
io.janstenpickle	trace4cats-testkit_3	0.13.1+110-f0adea73		d010d0546bde31365b126bd6ed73229a3acd06bb
