au.net.causal.shoelaces	shoelaces-assorted-integration-tests-container	2.0	-	44a0e2813586047b264e16fdb63ecfa7366d40b9
com.guicedee.services	org.apache.cxf	1.0.15.1-jre8	-	3deb9eb324571ccf895611994f1214151f1b82c3
com.guicedee.services	org.apache.cxf	1.0.15.2	-	c448ce64ff8fc5f1c6cff758ca60e565ecc8d9a7
com.guicedee.services	org.apache.cxf	1.0.15.2-jre12	-	7b4b16452273808c04dc790dece1181921d28649
com.guicedee.services	org.apache.cxf	1.0.15.2-jre14	-	9d73d21e7f405003773667fba7587b2a9bd27c24
com.guicedee.services	org.apache.cxf	1.0.15.2-jre8	-	7f0ac5ea8d9f713601f4429551d067934565fdcc
com.guicedee.services	org.apache.cxf	1.0.15.3-jre14	-	b93d58f1c7fbe031353bbdda95ce34818a1285a7
com.guicedee.services	org.apache.cxf	1.0.15.3-jre8	-	e58dd3d6020e89b91694b562dff1bbecf36a2fcd
com.guicedee.services	org.apache.cxf	1.0.15.4	-	5b77bfc2df9760b23c086e412d31928ef51f723f
com.guicedee.services	org.apache.cxf	1.0.15.4-jre14	-	9b6e71ef39dd29160ac6f39e667e45f13c47f418
com.guicedee.services	org.apache.cxf	1.0.15.4-jre8	-	16805e931ce3084f8a74ea79d662ede5453178d6
com.guicedee.services	org.apache.cxf	1.0.15.5	-	adc524d6ff1b4c468462915686fa1e4d491237e8
com.guicedee.services	org.apache.cxf	1.0.15.5-jre14	-	21ad7bc567c2b40636d368c93c75665d986b58f0
com.guicedee.services	org.apache.cxf	1.0.15.5-jre8	-	3840f79b666d9407c247893ae6bc64fd5c1c3e0c
com.guicedee.services	org.apache.cxf	1.0.16.0	-	237339cd94ab6436962f18ae3904cbc8582961b3
com.guicedee.services	org.apache.cxf	1.0.16.0-jre14	-	fb1b3c28a9253baabf011fef94aeddbc3c8e398b
com.guicedee.services	org.apache.cxf	1.0.16.0-jre8	-	c185fafd8502c22196af67bdbc7ac302d38a79ff
com.guicedee.services	org.apache.cxf	1.0.17.0	-	72a6acd9fbc88050802f8f65f26b04434430b0f5
com.guicedee.services	org.apache.cxf	1.0.17.0-jre14	-	d3d14938264acd6086d5aa357aa6a768b1aaffd7
com.guicedee.services	org.apache.cxf	1.0.17.1	-	8993d5cf98d1db60e92eac593479a2f2f6af1c74
com.guicedee.services	org.apache.cxf	1.0.17.1-jre14	-	a08763b5754931e71badfb0c951f42f6a6f4bc0d
com.guicedee.services	org.apache.cxf	1.0.17.1-jre8	-	952794ad241a9e0551320385ad66a12ae74dfb57
com.guicedee.services	org.apache.cxf	1.0.18.0	-	1835c5a1fdb42c0e901312aae57ebf17f0e02072
com.guicedee.services	org.apache.cxf	1.0.18.0-jre14	-	2bb648ec5dfc8666ad668c39f2f51131cd0cfab6
com.guicedee.services	org.apache.cxf	1.0.18.0-jre15	-	f43ac9dc34fdda1fa52c15498901dcaa5b7eb290
com.guicedee.services	org.apache.cxf	1.0.18.0-jre8	-	1cbf025dca60d4dde4f5f2a9412415fd503d44af
com.guicedee.services	org.apache.cxf	1.0.18.1	-	92edf6900570d5e623aad38f74be802ea563606d
com.guicedee.services	org.apache.cxf	1.0.18.1-jre14	-	974289452aa5b00bfdbcbc00cb302978725d2181
com.guicedee.services	org.apache.cxf	1.0.18.1-jre15	-	4b59da62829db2113302b9358e33a6fe860a635b
com.guicedee.services	org.apache.cxf	1.0.18.1-jre8	-	cdf253a169e771f3b8451e5418a6fbf21ba8fb84
com.guicedee.services	org.apache.cxf	1.0.19.0	-	4eaa789f7b46041cb6302c83ce1f0711ff3f9aa5
com.guicedee.services	org.apache.cxf	1.0.19.0-jre14	-	96a18df51e5c4eeac0e273d8352ff27c309b20fb
com.guicedee.services	org.apache.cxf	1.0.19.0-jre15	-	422f8d9a744bd9df0206a3efe2ea82aad8561582
com.guicedee.services	org.apache.cxf	1.0.19.1	-	140394a4e9f73e67bf67b87986324f6446d528ec
com.guicedee.services	org.apache.cxf	1.0.19.1-jre12	-	26ca4ddc6a4cdfda277281b2ef146d522e501866
com.guicedee.services	org.apache.cxf	1.0.19.1-jre13	-	0222b7eb1a1a96fd0eee887b2d85ce46e09f0be3
com.guicedee.services	org.apache.cxf	1.0.19.1-jre14	-	ca60fafb81d8e30cabeb12ca56e8bc6e7318c387
com.guicedee.services	org.apache.cxf	1.0.19.1-jre15	-	d4d9dab12f4d6380f6e3668aef26f268110deb21
com.guicedee.services	org.apache.cxf	1.0.19.1-jre8	-	62dd85d6203ebbc971c135d5680e8594356a3709
com.guicedee.services	org.apache.cxf	1.0.19.10	-	430f34f4678a3d6babd347b13befa4c9b9c54822
com.guicedee.services	org.apache.cxf	1.0.19.10-jre12	-	6d336b4068fd0838107ef332183d9fea48993361
com.guicedee.services	org.apache.cxf	1.0.19.10-jre14	-	f0732da694d62e9a9694f30394be23b7f2c840df
com.guicedee.services	org.apache.cxf	1.0.19.10-jre15	-	e1acc9d363049131f9108797981905e5a46769f0
com.guicedee.services	org.apache.cxf	1.0.19.10-jre8	-	35e53375276f3c1c253873ea5fc3553b2eb24060
com.guicedee.services	org.apache.cxf	1.0.19.11	-	996b8844a6ccca1b9639ea26f2a3cb7c50b593c3
com.guicedee.services	org.apache.cxf	1.0.19.11-jre14	-	f8e1384629e9046194a9ba132722202badb5df22
com.guicedee.services	org.apache.cxf	1.0.19.11-jre8	-	904d8b9e224cb209742236b932d92ee132f478e5
com.guicedee.services	org.apache.cxf	1.0.19.12-jre14	-	3c59e91c0dfe771db2476276e98a3ba458c95258
com.guicedee.services	org.apache.cxf	1.0.19.12-jre8	-	3e95af83b0c5ad97fec0827c269d3647183f1274
com.guicedee.services	org.apache.cxf	1.0.19.13	-	8af3a5bc84b90343a8f38ac2f1acf532a5581a97
com.guicedee.services	org.apache.cxf	1.0.19.13-jre14	-	fbca21b291935ccdbac640664b34b3566563927c
com.guicedee.services	org.apache.cxf	1.0.19.13-jre15	-	9aee3d6ba0d72df5ebc4c4c717520838469cf0b5
com.guicedee.services	org.apache.cxf	1.0.19.13-jre8	-	c697f5ce5c48245fea4a54fddc5f79164bdd8e4c
com.guicedee.services	org.apache.cxf	1.0.19.2	-	518b88120b63909c559f4e06f8cc39ce6b5299a3
com.guicedee.services	org.apache.cxf	1.0.19.2-jre13	-	249aebe191652564b8bf94f6361d50866bd05b94
com.guicedee.services	org.apache.cxf	1.0.19.2-jre14	-	592e17d616117f2c02ba3f6ae113fd117e974240
com.guicedee.services	org.apache.cxf	1.0.19.2-jre15	-	eae92151121147a957ff93fe4ee966d583d39b8b
com.guicedee.services	org.apache.cxf	1.0.19.2-jre8	-	a60486bfd14e8d4764ed7be885fa3b969dceb6d2
com.guicedee.services	org.apache.cxf	1.0.19.3	-	4737c91a27e439f37093adb0a9b386bd09068ae1
com.guicedee.services	org.apache.cxf	1.0.19.3-jre13	-	ec93e89ff2ecd99a321670a80afa723112f97d7e
com.guicedee.services	org.apache.cxf	1.0.19.3-jre14	-	f8d2dc3b0e21cfea921cdbb7cf86b3689e2bcbbd
com.guicedee.services	org.apache.cxf	1.0.19.3-jre15	-	c8307be2e6c777757eb2b99b82cfacca5dffa146
com.guicedee.services	org.apache.cxf	1.0.19.3-jre8	-	e69ab7fcc9ff8c01c16ddd6cdb57404564c95055
com.guicedee.services	org.apache.cxf	1.0.19.4	-	73c321a045f294d032df29787f31784d0c4d0493
com.guicedee.services	org.apache.cxf	1.0.19.4-jre14	-	431a88fb2861292e87f0c63e1baf507964186136
com.guicedee.services	org.apache.cxf	1.0.19.4-jre15	-	756d1d1fc6ca00b20ecc8eebb0c211c36c036f02
com.guicedee.services	org.apache.cxf	1.0.19.4-jre8	-	99aad849dfa78eb0b7570a8a7751e700eadcef09
com.guicedee.services	org.apache.cxf	1.0.19.5	-	08d9bb85a0e60dbb99d9929374c03c1627be6f1a
com.guicedee.services	org.apache.cxf	1.0.19.5-jre14	-	fa6f9ff5cb97090dc7241f13bd7a1fba86cfca3e
com.guicedee.services	org.apache.cxf	1.0.19.5-jre15	-	f0c578d35b320a32dc78b0bd3665943578329f0c
com.guicedee.services	org.apache.cxf	1.0.19.5-jre8	-	0cb3d569e8395750b2c09036b9d7fc4216ed82f9
com.guicedee.services	org.apache.cxf	1.0.19.6	-	e478ddff814ff8ecd2672f570ec26686ae12e2c1
com.guicedee.services	org.apache.cxf	1.0.19.6-jre14	-	f1debeddb9788c0a397a5cfe8b3cfcf332294c1a
com.guicedee.services	org.apache.cxf	1.0.19.6-jre8	-	a3b4a9c4ea156a465414120666dcb4f31d999e57
com.guicedee.services	org.apache.cxf	1.0.19.7-jre14	-	5f01b671b3c8b08ca77ee765a592bad6080efdc8
com.guicedee.services	org.apache.cxf	1.0.19.7-jre8	-	2d0c51ce41674846e8999c01b4f8bd069002b7af
com.guicedee.services	org.apache.cxf	1.0.19.8-jre8	-	6d9e9935e9185280ed7b6bbd1ae7c54a12f27001
com.guicedee.services	org.apache.cxf	1.0.19.9	-	f8a64d73247e85653d2f80c2c06d69d01b059599
com.guicedee.services	org.apache.cxf	1.0.19.9-jre13	-	7fe6484fb8bc6a21d234a2a5a3724d4655b9f0d9
com.guicedee.services	org.apache.cxf	1.0.19.9-jre14	-	75b38403f7a8a9d91264cdd838fa0012261b98a5
com.guicedee.services	org.apache.cxf	1.0.19.9-jre15	-	a697120284a9927c35b8a35d9db0ea3336a64680
com.guicedee.services	org.apache.cxf	1.0.19.9-jre8	-	f175dc9a35a14c9d344aad47e60159c8a7e65043
com.guicedee.services	org.apache.cxf	1.0.2.0	-	34e1e9a18a5922b199be79ebe7d6124a7403173b
com.guicedee.services	org.apache.cxf	1.0.2.0-jre12	-	6ad7ffe4d35708f18e4a1ce03c3d34aefc894672
com.guicedee.services	org.apache.cxf	1.0.2.0-jre13	-	71d1827be62f15fb52a5425b74db1113174803fa
com.guicedee.services	org.apache.cxf	1.0.2.0-jre8	-	a475ef8a7f6665b46586715b4aed01eee41cba5a
com.guicedee.services	org.apache.cxf	1.0.2.1	-	f457bb26f1f98b0d2228dcec26d7d9e87535bbd7
com.guicedee.services	org.apache.cxf	1.0.2.1-jre12	-	50f6bb48c95d31e00109fce418348b490600b182
com.guicedee.services	org.apache.cxf	1.0.2.1-jre13	-	e745010a86949bc835e2eb3149b755fd7a05b304
com.guicedee.services	org.apache.cxf	1.0.2.10	-	0ea6b78ca6d0e0eda9df698062ea563dae0f5bed
com.guicedee.services	org.apache.cxf	1.0.2.10-jre12	-	7fa07dddc90e11ca1821d078da99c3d3ddca4b6a
com.guicedee.services	org.apache.cxf	1.0.2.10-jre13	-	9238f8a8f06ec4015851f8d1b7768c4931cf7d15
com.guicedee.services	org.apache.cxf	1.0.2.11	-	92b9f45db7dcd598c61bf3222cf8bc2bcaf93df3
com.guicedee.services	org.apache.cxf	1.0.2.11-jre13	-	ce9b8fe8fee83ac38a4034d4acbdf8b7e2276777
com.guicedee.services	org.apache.cxf	1.0.2.12	-	8905a25010a86d43d61d4367ef83c0a475d26f40
com.guicedee.services	org.apache.cxf	1.0.2.12-jre13	-	1cc3c4546e7be29e3971c18ff7a978eae0c6559e
com.guicedee.services	org.apache.cxf	1.0.2.13	-	625a8b14ca316db0c0210e8918034c0911704bb6
com.guicedee.services	org.apache.cxf	1.0.2.13-jre13	-	77c7e8c2a407bcb1d9ff2de78133f02c22ea30d5
com.guicedee.services	org.apache.cxf	1.0.2.14	-	ee8fc0d22b7defb151bbcd61966731e1894cd9f1
com.guicedee.services	org.apache.cxf	1.0.2.14-jre13	-	3971d53132abb1967a3c6e05e21f26c2aed335ce
com.guicedee.services	org.apache.cxf	1.0.2.15	-	7cbd9902ff699c1e4e20876286e6f0b582b51487
com.guicedee.services	org.apache.cxf	1.0.2.15-jre13	-	1bd322b59e67fbede0ff82efec27d5169d2174f1
com.guicedee.services	org.apache.cxf	1.0.2.16-jre13	-	4fa345e7e978a6a5282fb3ab3b2bdb16620f0f33
com.guicedee.services	org.apache.cxf	1.0.2.17-jre13	-	dfd48479d1d19e1f45f4b27f4c75b9b4136ad580
com.guicedee.services	org.apache.cxf	1.0.2.18	-	c190bcbe35d8dc864ce17c132daf2cb793d14e31
com.guicedee.services	org.apache.cxf	1.0.2.18-jre12	-	fb5a5c030690b0f93aa72b013d4aaadf770a672b
com.guicedee.services	org.apache.cxf	1.0.2.18-jre13	-	e79e8c4d3ec50691d970b33084d6849768124723
com.guicedee.services	org.apache.cxf	1.0.2.2	-	048e4a45f579fbc737c46a2a046823fc3c3fe61d
com.guicedee.services	org.apache.cxf	1.0.2.2-jre12	-	441bb6f7b77fbbb0b21a87693270219bbe7da7d4
com.guicedee.services	org.apache.cxf	1.0.2.2-jre13	-	3480b51378933b7185961a6220cbda3db0393a1e
com.guicedee.services	org.apache.cxf	1.0.2.2-jre8	-	2b2d8f6ff389fd7a790cd47180015f95a6bf94f8
com.guicedee.services	org.apache.cxf	1.0.2.3	-	28c812bfafb9420864a425ebb0d89bbc3e89f119
com.guicedee.services	org.apache.cxf	1.0.2.3-jre12	-	aeaa4e4b5a6d242416e4b3d28c36e617ff2bc9aa
com.guicedee.services	org.apache.cxf	1.0.2.3-jre13	-	9c6f646dd46dac97254c9fe262d5af00713df947
com.guicedee.services	org.apache.cxf	1.0.2.3-jre8	-	1bb361d3fb13ba97e1314ac0537ee669b184d66f
com.guicedee.services	org.apache.cxf	1.0.2.4	-	e996e45d1a105faee0497e313384b1fa7ae6230a
com.guicedee.services	org.apache.cxf	1.0.2.4-jre12	-	cb9ea4975fbd311e421f9e429c2da41431cf0f4b
com.guicedee.services	org.apache.cxf	1.0.2.4-jre13	-	0a18cea367884619a5ae580016c5e6c033330b98
com.guicedee.services	org.apache.cxf	1.0.2.6-jre13	-	ae668e0ed9e157d2b1bdaf77020a64b26409a668
com.guicedee.services	org.apache.cxf	1.0.2.7-jre12	-	c162989552a0d5002c1d5809b39e520fe973b378
com.guicedee.services	org.apache.cxf	1.0.2.7-jre13	-	4a5ba09f985ed96d6cf558eba864ab2c1483bb6a
com.guicedee.services	org.apache.cxf	1.0.2.8	-	c0643988fb7c139c6d650d744f2875fbcc922856
com.guicedee.services	org.apache.cxf	1.0.2.8-jre12	-	f2ca4612e7b17f1e5946a6ac7f51c234488314e8
com.guicedee.services	org.apache.cxf	1.0.2.8-jre13	-	54a1503c08b4290884a1ffa2a9d45bb380fda778
com.guicedee.services	org.apache.cxf	1.0.2.9-jre12	-	4b6fba874d3eddde02754f78412c0207efc7ff34
com.guicedee.services	org.apache.cxf	1.0.2.9-jre13	-	890b3535b7d88c717a51acdf9006c51eafa73c4c
com.guicedee.services	org.apache.cxf	1.0.20.0	-	2a6001ea8aaee3ea74a463e09f965140c9027014
com.guicedee.services	org.apache.cxf	1.0.20.0-jre14	-	c13e9302bae085dad0d7227874320e2c7f6a413e
com.guicedee.services	org.apache.cxf	1.0.20.0-jre15	-	860a201abd44c184230b484a13e4a6fd79686808
com.guicedee.services	org.apache.cxf	1.0.20.0-jre8	-	4d20afca8d5e071794c48277ced04490fac65d0e
com.guicedee.services	org.apache.cxf	1.0.20.1	-	42a86222bbe910c184e8961f619d2fd34ff65b11
com.guicedee.services	org.apache.cxf	1.0.20.1-jre14	-	730f9129ea107190738aada437c149aa0b0ec406
com.guicedee.services	org.apache.cxf	1.0.20.1-jre15	-	adf5aec96df2036c310c4e9ad340a0ec51fef956
com.guicedee.services	org.apache.cxf	1.0.20.1-jre8	-	c110c2fd5647432f0e3103d982388671d67ff852
com.guicedee.services	org.apache.cxf	1.0.20.2	-	7ca72f6daeb1f33ea0fe5650a93c3268427b1388
com.guicedee.services	org.apache.cxf	1.0.20.2-jre14	-	3c833998eccdd85def84781195591dced0754aa9
com.guicedee.services	org.apache.cxf	1.0.20.2-jre15	-	d1ffe0d4b75df5e0a1ef9b12c80ffcc9b21418ba
com.guicedee.services	org.apache.cxf	1.0.20.2-jre8	-	68754e0615695817a41adbd2273996e1816c1339
com.guicedee.services	org.apache.cxf	1.0.3.1-jre13	-	3fe55089e1167ed0f26d8d66e41c445b9f7c1064
com.guicedee.services	org.apache.cxf	1.0.3.2	-	8b34a381476a0eb71a4e3cd69f52a00cb5d6a5d4
com.guicedee.services	org.apache.cxf	1.0.3.2-jre13	-	1bd709acd2545ecea99f48eac20a783d9f75c6bd
com.guicedee.services	org.apache.cxf	1.0.3.3	-	90d5841a4a9fb11b603387020b92bff7607b778b
com.guicedee.services	org.apache.cxf	1.0.3.3-jre12	-	507f7b038dbb73a1bb7e19495174a99950c15ba0
com.guicedee.services	org.apache.cxf	1.0.3.3-jre13	-	9852b68b732edede532820398f745bcd18a32db7
com.guicedee.services	org.apache.cxf	1.0.4.1-jre13	-	0947234fac820a42103719d7012d89cb5ff332d6
com.guicedee.services	org.apache.cxf	1.0.4.2	-	41282010441bdb5bdfb3856821260df8b6f40fd2
com.guicedee.services	org.apache.cxf	1.0.4.2-jre13	-	f9f3bf8e2b6932fa57743471b667bee692f73ff9
com.guicedee.services	org.apache.cxf	1.0.4.3-jre13	-	b7f43567571e2084dc531f2d82e895fe1de7b6d2
com.guicedee.services	org.apache.cxf	1.0.4.4	-	9eaa575c2450466a5eb11975e9e038742979c3cc
com.guicedee.services	org.apache.cxf	1.0.4.4-jre13	-	6930f5467c5cceaa454cb3d457a94b8fe42e1765
com.guicedee.services	org.apache.cxf	1.0.5.0	-	77125d9e61ea181037347ec9b45b2e85ca72b97a
com.guicedee.services	org.apache.cxf	1.0.5.0-jre13	-	c97789b029d76c2489785dd1b21ad01a7f021dfe
com.guicedee.services	org.apache.cxf	1.0.5.1	-	1050c271fb8173f1c773b6646f4fae1e704577a0
com.guicedee.services	org.apache.cxf	1.0.5.1-jre12	-	1a4b8a67fd5657e9600d02929ac9940aa135be13
com.guicedee.services	org.apache.cxf	1.0.5.1-jre13	-	613c5331524ff4f36c1dd4f8cebb58ba37ab46dc
com.guicedee.services	org.apache.cxf	1.0.5.2	-	92ae554c5c1eceaef1c4932f414169d63f9e320d
com.guicedee.services	org.apache.cxf	1.0.5.2-jre12	-	9b2a39dca6ed5dfd873de16b66257d70e953320e
com.guicedee.services	org.apache.cxf	1.0.5.2-jre13	-	1b2e19f6b002f60c9cea83e457bcca21d1462346
com.guicedee.services	org.apache.cxf	1.0.5.3	-	d13a5647cc9cb450b149e185e0fff1ee8a0c35e4
com.guicedee.services	org.apache.cxf	1.0.5.3-jre12	-	db337d8943d1e14c9feeaf5690d9b84d53dd8282
com.guicedee.services	org.apache.cxf	1.0.5.3-jre13	-	a7a9224f59dfb62f3e9869abc2b93717888ab312
com.guicedee.services	org.apache.cxf	1.0.5.4-jre13	-	8d1931b6d52fc1dcee362c35b43d47a219c7cf26
com.guicedee.services	org.apache.cxf	1.0.5.4-jre14	-	23e43a747d004c7942f61121b1d2700d50155a03
com.guicedee.services	org.apache.cxf	1.0.5.5	-	f142685e4489cc412e948fddf3460c02459bf4e5
com.guicedee.services	org.apache.cxf	1.0.5.5-jre12	-	722c5adc0b184f731b9486662b1cc4a7757f931a
com.guicedee.services	org.apache.cxf	1.0.5.5-jre13	-	273d0c57d48d1102580881c6a91d839912fa5833
com.guicedee.services	org.apache.cxf	1.0.5.5-jre14	-	53fdde4cc2ba96947b536f2f43b923fb6ca78de6
com.guicedee.services	org.apache.cxf	1.0.6.1	-	0ee4d708e584748632ca46fb9369376077906ed8
com.guicedee.services	org.apache.cxf	1.0.6.1-jre12	-	5225f9c2880e2365af109b770ba4dae1397f631e
com.guicedee.services	org.apache.cxf	1.0.6.1-jre13	-	3753d4042d61914955c124d7bacc57c40d10b647
com.guicedee.services	org.apache.cxf	1.0.6.1-jre14	-	6746bb8e868caed8597430b76c139e37d5539002
com.guicedee.services	org.apache.cxf	1.0.6.2	-	e5781d2cf74173954691495558302c97745ad5ed
com.guicedee.services	org.apache.cxf	1.0.6.2-jre12	-	ab3cb84764d06f9892c97eab2e927367d5d252b8
com.guicedee.services	org.apache.cxf	1.0.6.2-jre13	-	39da3093bc3f86ce96a79ee7dd29a71e7b2d3e1a
com.guicedee.services	org.apache.cxf	1.0.6.2-jre14	-	6f4307855bcdd1d6c3ef21b8033dfb5399e32319
com.guicedee.services	org.apache.cxf	1.0.6.3	-	78642ffd7e34d00807d86219825703524d7264e5
com.guicedee.services	org.apache.cxf	1.0.6.3-jre12	-	0b112cd3d0f2876935118d36ede0f9a2e271b414
com.guicedee.services	org.apache.cxf	1.0.6.3-jre13	-	5b6cb7e5ab0719a612db01dffa4a41e49fa30bf0
com.guicedee.services	org.apache.cxf	1.0.6.3-jre14	-	feab2f9cd381b8dbe3d272d4c971d36c538c3b39
com.guicedee.services	org.apache.cxf	1.0.6.4-jre14	-	99be05d4c83d607881d73fd28cf2239393d1623d
com.guicedee.services	org.apache.cxf	1.0.6.5	-	e126ef627cadd6ed210f8b282ae3e6f1baa92d23
com.guicedee.services	org.apache.cxf	1.0.6.5-jre12	-	3219e6bf474a6e8dfc29e31e5696ab6e02de0c46
com.guicedee.services	org.apache.cxf	1.0.6.5-jre13	-	de4d4c4125215e697106682af90a644ff873242d
com.guicedee.services	org.apache.cxf	1.0.6.5-jre14	-	b686933f44f91f398ebfc9dd390c3d35b89eda78
com.guicedee.services	org.apache.cxf	1.0.6.7	-	04b6a9f8d4d8f9a701f5b80e52d8da4a4e3261f6
com.guicedee.services	org.apache.cxf	1.0.6.7-jre14	-	9373206985f52a25b1bd152aca70a7f46b76fa74
com.guicedee.services	org.apache.cxf	1.0.7.0	-	4282b90ac08c6803bacc8db758a9642a39e33d80
com.guicedee.services	org.apache.cxf	1.0.7.0-jre12	-	e790c27bbe20453e6620da4339b9f9e5e066c88c
com.guicedee.services	org.apache.cxf	1.0.7.0-jre13	-	d6d1a06df85eb32e138d6c6f58355cd19f512a41
com.guicedee.services	org.apache.cxf	1.0.7.0-jre14	-	f45fda85fcfc45852eb435239f005313c9ceba01
com.guicedee.services	org.apache.cxf	1.0.7.1	-	91f43ec979afc1349299e10426da5682b9f4d889
com.guicedee.services	org.apache.cxf	1.0.7.1-jre13	-	60bb37e93cf0df0995c107fd6f5c49279a12efb7
com.guicedee.services	org.apache.cxf	1.0.7.1-jre14	-	7118afa23ec91a6c72e8b6ae67214f7fc586cc43
com.guicedee.services	org.apache.cxf	1.0.7.10	-	5edeb4d9114b1786948947f37c8ec2e5f3032b29
com.guicedee.services	org.apache.cxf	1.0.7.10-jre13	-	3a5fa05460f065eb823979447bb99b354ef9b04e
com.guicedee.services	org.apache.cxf	1.0.7.10-jre14	-	5be71d1e61651f671a120d26069d65cfb8080772
com.guicedee.services	org.apache.cxf	1.0.7.11	-	5f2c6e952612e4e10fd9ac76d65d79978ff2a0d6
com.guicedee.services	org.apache.cxf	1.0.7.11-jre14	-	27f95ceab3c5562aeaadfe03d04e2a45ab66437f
com.guicedee.services	org.apache.cxf	1.0.7.12	-	b1640fba1d5fdde59cd0cd533bb75116122d70e7
com.guicedee.services	org.apache.cxf	1.0.7.12-jre12	-	085c555a04d1530696b69b7b9946db1679fc409f
com.guicedee.services	org.apache.cxf	1.0.7.12-jre13	-	471c8eb8aed2b145cf3c92e5d93488e41c1f13dd
com.guicedee.services	org.apache.cxf	1.0.7.12-jre14	-	baaff0b0a222d025ee03c06214c7be079b2e4d8d
com.guicedee.services	org.apache.cxf	1.0.7.2-jre14	-	a0876fd404af6114be8b63d77f2ae35d877b2123
com.guicedee.services	org.apache.cxf	1.0.7.3	-	419f19fe98b642021573a4164fb8616d40e8aefe
com.guicedee.services	org.apache.cxf	1.0.7.3-jre13	-	dc90c5f2cefb491d977c07ee60e76991d786940f
com.guicedee.services	org.apache.cxf	1.0.7.3-jre14	-	5ab1de97b6db8a8d81be7f7b4c56f0d2b5bbc498
com.guicedee.services	org.apache.cxf	1.0.7.4	-	a96c012b9dce7e972dd439d3de83623a12e8311b
com.guicedee.services	org.apache.cxf	1.0.7.4-jre14	-	9ebb77facf1a0745583d7e5de5183e084f34ad8a
com.guicedee.services	org.apache.cxf	1.0.7.5	-	fa9d9aab086c1fff1c4499e26d16bf90fcee8d0b
com.guicedee.services	org.apache.cxf	1.0.7.5-jre14	-	80175730b13549276a16001f4bcd7a699ace0296
com.guicedee.services	org.apache.cxf	1.0.7.6	-	32783ca755dd5b5519b801d01a82e0c288d4d0e8
com.guicedee.services	org.apache.cxf	1.0.7.6-jre14	-	8cdc239d12eecbccfea4ab04db3404c2790759e9
com.guicedee.services	org.apache.cxf	1.0.7.9	-	31afe80b56a87d78370967e955e3ce1a362e165c
com.guicedee.services	org.apache.cxf	1.0.7.9-jre14	-	daac596660ce1c77238ab19c8add02baf277b94c
com.guicedee.services	org.apache.cxf	1.0.8.1	-	533d1e56132fb527db7fa74db70eaf6f9d1c462c
com.guicedee.services	org.apache.cxf	1.0.8.1-jre14	-	77206e71d101fb15864c01736e8d36c3072db960
com.guicedee.services	org.apache.cxf	1.0.8.12	-	1e971244dd35d747f7bf4b3978d049fe8f6b2aaf
com.guicedee.services	org.apache.cxf	1.0.8.12-jre12	-	6e671b6675df3492c2ace918883f02175246e1a5
com.guicedee.services	org.apache.cxf	1.0.8.12-jre14	-	a48f2e003ffaff8bd5022e912aad03a17f4d18e6
com.guicedee.services	org.apache.cxf	1.0.8.16	-	f33c9927eab09f7e5aefbf927fbeb01a67c16da8
com.guicedee.services	org.apache.cxf	1.0.8.16-jre14	-	5d8267d1e37fd99e490483402e7ca1007d89eee8
com.guicedee.services	org.apache.cxf	1.0.8.18	-	bb2a06a060d6fc1f39ee16a36a2148310e98a33e
com.guicedee.services	org.apache.cxf	1.0.8.18-jre14	-	3a3af3fa0cd373b0cba2a485181d9561b25c3b5a
com.guicedee.services	org.apache.cxf	1.0.8.2	-	1be17da3e2dd405a452d76c024a5923719c354c3
com.guicedee.services	org.apache.cxf	1.0.8.2-jre13	-	c92ee487f22b0bd09891e27421252ab75278f752
com.guicedee.services	org.apache.cxf	1.0.8.2-jre14	-	7e53ec074ceee8cfbdd64ff2dfb1043908ccaf18
com.guicedee.services	org.apache.cxf	1.0.8.3	-	039faa63ef51222c03c5d6cf250b73626e6b8529
com.guicedee.services	org.apache.cxf	1.0.8.3-jre13	-	159b78d385530dcfa5b2755ac6d837bcf3f13ac1
com.guicedee.services	org.apache.cxf	1.0.8.3-jre14	-	c08a090b9f9871a030999bb1a9349d1115aaca17
com.guicedee.services	org.apache.cxf	1.0.8.4	-	a41b4ef4f3be34da19d9fbf8a8e54e8f7452d9ff
com.guicedee.services	org.apache.cxf	1.0.8.4-jre12	-	f348e418ba414e880d3ccd2e902fb5e5e0626526
com.guicedee.services	org.apache.cxf	1.0.8.4-jre13	-	1b262fea8a2af26e4342eec9e94d41d0029b7178
com.guicedee.services	org.apache.cxf	1.0.8.4-jre14	-	2dbc8c06cc0a93037c47f159cd7c5c0b774732b5
com.guicedee.services	org.apache.cxf	1.0.8.5	-	d819b8b93fb76b8e18bf3f9be1b8852637778117
com.guicedee.services	org.apache.cxf	1.0.8.5-jre12	-	f332e5b98717b1a892a01d8692ab6dce956e080a
com.guicedee.services	org.apache.cxf	1.0.8.5-jre13	-	b2248965e7a3b0499ee398183d135fdab095d76c
com.guicedee.services	org.apache.cxf	1.0.8.5-jre14	-	30d7ff14321cc4aa010db69c11144c06d49ed544
com.guicedee.services	org.apache.cxf	1.0.8.6-jre14	-	19fa56bc86a4bdd80cf7abeccb9a03c1715ee16a
com.guicedee.services	org.apache.cxf	1.0.9.0	-	f19caf2a7f1ad5357b97d6c11ff1e4449753d73f
com.guicedee.services	org.apache.cxf	1.0.9.0-jre14	-	877f2d478c209f5b2665e429dad6956b04aec989
com.guicedee.services	org.apache.cxf	1.0.9.1	-	697964add68fb8fa647ad44a7a96d480af90463a
