ai.grakn	redisq	0.0.5		00d32ab8e0ad1dad3415071c7934b4c02ff566f0
com.amazonaws	aws-java-sdk-neptune	1.11.434		179984b8d02da630794f7ff0520d75bb6bd9861c
com.amazonaws	aws-java-sdk-neptune	1.11.435		d6c9d5a983b73e595dfd014c7b4e47b77c811073
com.amazonaws	aws-java-sdk-neptune	1.11.436		9a58ae14c7f72d72a9435d55eded4dc7991cd82f
com.amazonaws	aws-java-sdk-neptune	1.11.437		b58ee296829009c4448a5fb8d5ced89897147cf6
com.amazonaws	aws-java-sdk-neptune	1.11.438		91ff6aa140d330df5d5fa8e1c64538ee1eafaed7
com.amazonaws	aws-java-sdk-neptune	1.11.439		1eb2316675e6c67be139f5cc85133db5c1b773a3
com.amazonaws	aws-java-sdk-neptune	1.11.440		144504ddea6e2e55ef367beadba4f54c401ec1e1
com.amazonaws	aws-java-sdk-neptune	1.11.441		61bdb23a042203319d3b8868225ec6bd5bb2d13b
com.amazonaws	aws-java-sdk-neptune	1.11.442		40333d34078c465da44c680e193cf7e9aa8b3745
com.amazonaws	aws-java-sdk-neptune	1.11.443		f9425d87849242a16d0a5aa5533a5e19753225cc
com.amazonaws	aws-java-sdk-neptune	1.11.444		99d5560520a237a0c1234d3c9679ddfd1702328d
com.amazonaws	aws-java-sdk-neptune	1.11.445		590e52b526f8d4fa47ddaaa36fd26ef41fe3f4f2
com.amazonaws	aws-java-sdk-neptune	1.11.446		1140d147962bdbc72fbf51e260db5d97870a6f84
com.amazonaws	aws-java-sdk-neptune	1.11.447		da8f685a7dd8b04a3f414b05cd547bf22a23bfcb
com.amazonaws	aws-java-sdk-neptune	1.11.448		ea63733e73f7b8b8b616be859da6b833c7f35f52
com.amazonaws	aws-java-sdk-neptune	1.11.449		80de0570ca39ae1fa8985204bc82ed2c818e04b2
com.amazonaws	aws-java-sdk-neptune	1.11.450		4eab8f4bd4d1a6957fbd20809f1f2dcd11c4cdcc
com.amazonaws	aws-java-sdk-neptune	1.11.451		a914c37eab3baf2b11537ee9735f84dfdb685e78
