biz.paluch.visualizr	visualizr-parent	1.0		N/A
com.google.api-ads	ad-manager-parent	0.2.0		N/A
com.google.api-ads	ad-manager-parent	0.3.0		N/A
com.google.api-ads	ad-manager-parent	0.4.0		N/A
com.google.api-ads	ad-manager-parent	0.5.0		N/A
com.google.api-ads	ad-manager-parent	0.6.0		N/A
com.google.api-ads	ad-manager-parent	0.7.0		N/A
com.google.api-ads	ad-manager-parent	0.8.0		N/A
com.gruelbox	xchange-bitcoincharts	4.3.16.1		b4138005028d1631003bec4bf19e96a678fe4ec0
com.gruelbox	xchange-bitcoincharts	4.3.17.1		686d185bd30fae4bb62a152429f0f09e39cab3ee
com.gu	cross-platform-navigation_2.11	1.0		dcb286660136deba77818d151e40c2fdc42a7d41
com.kerbaya	plugins-parent	1		N/A
com.kerbaya	plugins-parent	2		N/A
com.kerbaya	plugins-parent	3		N/A
com.khubla.cbean	cbean-riakkv	1.0		8d9c5c9be68f6668375e99812331cab6c36afb49
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.0		3f3b98eff5b00f9fc553f4bf70ac5c433125f407
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.1		a46dbdaf8e358bd1de8db3c815b827fd9a710cda
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.10		7ad5b1b706f5a39b287284eb15835e114e2b7ad4
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.10	jspc	cb914e8f2c22190605f8e5047a20d255e689a7c7
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.11		cc9446f22bc88c3716bcadf6d167019ddc6d26da
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.11	jspc	0fb6b06c1396dfb29ecfca6e7718695ce47e7ab7
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.12		c3a7a1e10b86f6ec835b335b1a05ea2ef172e0e3
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.12	jspc	44692aa469df2bc7f9f24cd659afd4e041b9505c
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.13		1c91aec1a348b1f1d8f27aa9f1f6c894f639ccc1
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.13	jspc	761fbb978ead0da8ec0ecfaaa084e8edd8b531bb
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.14		51dc38b3bee70ad76ac6857a2a3f87d8298e7ef6
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.14	jspc	a435f9f96f7322d13aa60ac20481d99926f74399
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.15		a9e041ab39b424a72ca9b71e4c0be4039e746082
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.15	jspc	71e9e70b6640e705b934a156e89478b22cb943f0
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.16		a5520ffde2dedd9cf753231a1266012d7da3a2f6
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.16	jspc	47f41931b2d31203970a633a675d075561236ffa
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.17		41f63384c2ad57c6c3a2ad8534c6186761205a98
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.17	jspc	c0bec5e272373187f98b5670eb1b9e79d9ffd088
com.liferay	com.liferay.knowledge.base.item.selector.web	1.0.18		4b52584ce9c3e29f43bfa32be56991d3aa567758
