com.linkedin.pegasus	r2-int-test	3.1.1		ec0dd2a5f557328a1f339a8e8c9070e8dea26954
com.linkedin.pegasus	r2-int-test	3.1.2		17e1193c9ce36bb1441cb2542b6d161c7aec120f
com.linkedin.pegasus	r2-int-test	5.0.19		fcdda6d91473f9a7591271bdfdd0476138ae794e
com.linkedin.pegasus	r2-int-test	6.0.12		7e1295793b7bcf2481153d5a434d747b2bdb227f
com.seanproctor	data-table-jvm	0.10.0		a48e8c7912f8a3120352c08a6d3ea07d60f827a4
com.seanproctor	data-table-jvm	0.10.1		0a83a79843add7a4f459dd0ad4029a6565ec1199
com.seanproctor	data-table-jvm	0.11.0		d7c70168ce976c229a67613c484480179b86d625
com.seanproctor	data-table-jvm	0.11.2		6f784b72fe8cb4c3b314e6507e2ac9e441a01430
com.seanproctor	data-table-jvm	0.11.3		3af75c079f1eb68d2cc585437b5293222930f475
com.seanproctor	data-table-jvm	0.6.0		bbaf182f4b07fa95cb6039ba9de8c5d1db5dceab
com.seanproctor	data-table-jvm	0.7.0		9aa4aa2119c8614c993c5b370f90392986039f56
com.seanproctor	data-table-jvm	0.7.1		9301f1a5dd0f156eeb9aa3508f55382a4d2e3e36
com.seanproctor	data-table-jvm	0.7.2		37df5a257ee54f28e18a9a617f034288f83be1dd
com.seanproctor	data-table-jvm	0.8.0		ad8303d969baa3dbe3174ab95c4737e01a415ede
com.seanproctor	data-table-jvm	0.8.1		b3b9a086a01a657035023e73af35f3eb9eda14f0
com.seanproctor	data-table-jvm	0.9.0		61e41512a28a22cd09a13b8e9e76e2050240cf62
com.seanproctor	data-table-jvm	0.9.1		e08eb5cf234a7c45f3b565223f436968f0432429
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0		21d331a0ea5bfba846df3a812ff4722f280f5180
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-M1		20fe97d8be9bd84877dfd68365319300b3be4cfd
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-M10		74becb15be8f31d1470eeb23849e08312c771e4e
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-M11		c7a0289c6056b125e83e16980c8514580ed46596
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-M12		7fd9ec1607270bd8f2d943e5cc7106f64d0d746f
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-M13		ad00cf4f46b932d6f63d3957f2cd1e2f04aa1965
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-M14		38061da8d3e632ae00403b54eea50154a6b2f1d8
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-M15		c859e11b5bfee9ef1e0cd3ef17ef312480a833a9
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-M16		b111b1424b74caea54e8d265637f82bdc43aba1f
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-M17		50772d9c6fffb52b52afe15ca92ba657913139a4
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-M18		45c18850e8606379dbd2407c097de143824da9f5
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-M19		e931accd80773eb9df1f3531a03b0d07e48e3ead
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-M2		fb24000d7dcbbcc2682fd079d4b8b2b686c4767f
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-M20		dd49812711909f8f3444ed70b371ba5b63873e42
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-M21		540eef22561f79a0eaba5439d3d8f2725bac0836
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-M22		1a19c80bbae1f6921b872dbe24c06c120774d514
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-M24		f20128a9565e2cc23d918af959d4f900261feba2
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-M25		502ae5f07f43ffb95860ca02da66d8471420807d
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-M26		dd38ebec3b49ff5643c93b4a72ce944e5aac309c
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-M3		92a99f7c7ce536c233afe140f31542eeefd829c5
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-M4		c6d5aa6c6caf57b2cf240b59fe2d2537932a8fb1
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-M5		89933ce2aa4b6174ebd8fc07a7ab68121d848af4
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-M6		0a288d3ca25f7c46d0b1d0f4e04ccb4b93dca65f
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-M7		8b003b57ee58ef2ad9405dfad62ffd2f7555caea
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-M8		903645bcb269a689af69e8dabd2b2c0f2b3f6570
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-M9		29e2dfa62b28244842d5c190fef5c69d88cb9468
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-RC1		67501742ce692e8b470686d7c3947023f810968b
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-RC2		021241a55ef7be97501c2ba78bb9f63a0102ab35
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-RC3		a66c726088a23f93bde39ecaf33992da8faace8c
com.softwaremill.sttp.client4	catsce2_2.13	4.0.0-RC4		aa1ff1d003e6ecbf00410829caee5becf5735c7c
com.softwaremill.sttp.client4	catsce2_2.13	4.0.1		2b87ce7c976956f0ac013836fb1255c38949ef3f
com.softwaremill.sttp.client4	catsce2_2.13	4.0.2		e020b395e2aeae45b2fd6d6c3b35fe3c0b090076
com.softwaremill.sttp.client4	catsce2_2.13	4.0.3		881a63b32fdf6af64cc82a0fdba9ae610729d9ae
com.twitter	util-slf4j-jul-bridge_2.12	17.10.0		0ea7903fa14869efd4c03c76b119d449a2c519d4
com.twitter	util-slf4j-jul-bridge_2.12	17.11.0		7364fcf85ca968ad7ecd86245d295dd248af8f1e
com.twitter	util-slf4j-jul-bridge_2.12	17.12.0		e369f671c4a1c3c94a8239a6c655c0044b9436aa
com.twitter	util-slf4j-jul-bridge_2.12	18.1.0		d4aa446f439391e958365e36031e4101efe1d518
com.twitter	util-slf4j-jul-bridge_2.12	18.10.0		109448b811120b204d47d96b666270b8ea29c622
com.twitter	util-slf4j-jul-bridge_2.12	18.11.0		91a2d8a74c32cd0c53de44ccd06c90114006b01c
com.twitter	util-slf4j-jul-bridge_2.12	18.12.0		8c6cc392a710f04309ef41e2a4315d67781d7f12
com.twitter	util-slf4j-jul-bridge_2.12	18.2.0		b20c170467581ddafc79985e2085a85b45be2c83
com.twitter	util-slf4j-jul-bridge_2.12	18.3.0		8a488155a4c84e81c5222ab1a7b53dd10032fc20
com.twitter	util-slf4j-jul-bridge_2.12	18.4.0		1d2eec7603f9ba0fb6f4a9c2bc7db8a025030d5a
com.twitter	util-slf4j-jul-bridge_2.12	18.5.0		67f8a18c702786d3cdeeb10eb81a5cd099f4bff3
com.twitter	util-slf4j-jul-bridge_2.12	18.6.0		a1191b5b612c243d849745b9ccca29bcb6252c11
com.twitter	util-slf4j-jul-bridge_2.12	18.7.0		ab9745ad26e5e6447fbecba95549fae9d20352f3
com.twitter	util-slf4j-jul-bridge_2.12	18.8.0		088ea4882f0a9ef551effe1a4efa9b1d1870066f
com.twitter	util-slf4j-jul-bridge_2.12	18.9.0		7db9c12d3683585328e152af34202c23490eabd4
com.twitter	util-slf4j-jul-bridge_2.12	18.9.1		8e2ebbf42f1da6675f72baeda8b69642975de4ee
com.twitter	util-slf4j-jul-bridge_2.12	19.1.0		79fd1a76f2163ebc365930247e57037f487bcfc7
com.twitter	util-slf4j-jul-bridge_2.12	19.10.0		ecd763548ff6452b99efbf71674cad47acb915d5
com.twitter	util-slf4j-jul-bridge_2.12	19.11.0		800ca6705681b8a8e2b55a9c5b6dc398bccb8938
com.twitter	util-slf4j-jul-bridge_2.12	19.12.0		36296a80958a2dd56d7a7579bd7afd7868477180
com.twitter	util-slf4j-jul-bridge_2.12	19.2.0		5a481d2bc24d52a8a04af2d2a3c35c83c25263cf
com.twitter	util-slf4j-jul-bridge_2.12	19.3.0		ada8f7dc545bfdecbe04f6314a2d7e9773b1693a
com.twitter	util-slf4j-jul-bridge_2.12	19.4.0		762da4646ebcbc0efd7d9451fa36c10fce655fa6
com.twitter	util-slf4j-jul-bridge_2.12	19.5.0		bc021a41f63e2454e3490e93cca8dffe0a427fa9
com.twitter	util-slf4j-jul-bridge_2.12	19.5.1		0e893e0023fcf01fd93b405b3fb2f919023c3204
com.twitter	util-slf4j-jul-bridge_2.12	19.6.0		494b8cd3f294dc8bb0b5bb7b10091e420d15b103
com.twitter	util-slf4j-jul-bridge_2.12	19.7.0		8b60cf1fcc3c532b7e358c5abe88707e07283ed7
com.twitter	util-slf4j-jul-bridge_2.12	19.8.0		70e3e25062910737ea255325a171f332b0f9940b
com.twitter	util-slf4j-jul-bridge_2.12	19.8.1		a52c282b92f23872a7eb08f8221d72ece94b3c9f
com.twitter	util-slf4j-jul-bridge_2.12	19.9.0		b1ed4bac4f5e2df4916930f5e1f3ee93cc52d62c
com.twitter	util-slf4j-jul-bridge_2.12	20.1.0		962864031a7b9ec965e13c3905855be9b6269017
com.twitter	util-slf4j-jul-bridge_2.12	20.10.0		72572c6d86ebb03f08ca671a60a9e105f0089650
com.twitter	util-slf4j-jul-bridge_2.12	20.12.0		3ce4d57193703ea59bf7f46e1ac1e0d1c757ef00
com.twitter	util-slf4j-jul-bridge_2.12	20.3.0		c120dbb0329195dd5365a333466f89c89b4a6bb2
com.twitter	util-slf4j-jul-bridge_2.12	20.4.0		cfdeb2f06575c0c815993fa785c75364aee5c7e7
com.twitter	util-slf4j-jul-bridge_2.12	20.4.1		d4f014025e288201da47b97c3dc6aaaee1b7157d
com.twitter	util-slf4j-jul-bridge_2.12	20.5.0		7f33321309e5b18b2b9bf14ccf84961ad13f3603
com.twitter	util-slf4j-jul-bridge_2.12	20.6.0		751251bbb269d0d20abb2232a5fef131caf70097
com.twitter	util-slf4j-jul-bridge_2.12	20.7.0		7bfdabafff744998a599054578ee5c2601f9c122
com.twitter	util-slf4j-jul-bridge_2.12	20.8.0		408157c1375996d222ed651bf9916f9472f68b28
com.twitter	util-slf4j-jul-bridge_2.12	20.8.1		de51d0bec74474ce81ba025481b911ee0fdb46e3
com.twitter	util-slf4j-jul-bridge_2.12	20.9.0		94ee8a87108e87446bfa473a3477847e4a9efea7
com.twitter	util-slf4j-jul-bridge_2.12	21.1.0		9a29e7266e43326c09a3343e11233b1565e1853f
com.twitter	util-slf4j-jul-bridge_2.12	21.10.0		e756684ca356e60ad949a17ba1fb2029bdb55a3b
com.twitter	util-slf4j-jul-bridge_2.12	21.11.0		18b28752898d5fd760dd39c6c759ba3cfc2c6221
com.twitter	util-slf4j-jul-bridge_2.12	21.12.0		738ec828fa81c6e59991587894d237a81da048da
com.twitter	util-slf4j-jul-bridge_2.12	21.2.0		ab829ec9c28d662725de3bafb990fd087ed57fc1
com.twitter	util-slf4j-jul-bridge_2.12	21.3.0		2d68c712f1c90b42f2024d19915906f2ffc48d69
