ai.basemind	client	1.0.0		N/A
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.0.0-beta-1		N/A
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.0.0-beta-1	metadata	a5e3b9c3f609f9596f08686353fee9b36d4c2c97
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.0.0-dev-1		N/A
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.0.0-dev-1	metadata	47b31739402e47170e2f867adfc40ef5183fbd29
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.0.0-rc-1		N/A
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.0.0-rc-1	metadata	d4cc5a843b6c18bc7e1e389d89a0302d758f97d1
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.0.0-rc-2		N/A
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.0.0-rc-2	metadata	ac56d201b4ef8de7023b08495032a52194a1c8c9
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.0.1		N/A
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.0.1	metadata	749387225c5619c90433bd9a79f715c0b17c25cb
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.0.2		N/A
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.0.2	metadata	5eefd87a72e3e76da42b57f1d1f9880b7cd3bab5
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.0.3		N/A
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.0.3	metadata	cb15a34ddd8b330936e2559b81c989b0c1f24903
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.1.0		N/A
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.1.0	metadata	a705c7f447575804c48a548b040d1755551f0b30
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.1.0-beta-1		N/A
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.1.0-beta-1	metadata	0af55ec9956ead4d6e391cf2de95353735863b42
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.1.0-beta-2		N/A
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.1.0-beta-2	metadata	4b5fde82e5c6f3d076d87df88f43ce6b6d084fe9
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.1.1		N/A
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.1.1	metadata	13da60fc8bb031c66ce61ec1f8441cbbceb1795b
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.1.2		N/A
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.1.2	metadata	0e21b81faa85c6cceec4157e8049bcc5834b55ea
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.1.3		N/A
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.1.3	metadata	9480da91b056c077bb4c00050158a0728e5422b5
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.1.4		N/A
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.1.4	metadata	f1571e168ee44a4975d22058002da57d82b0b6c0
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.2.0-beta-1	metadata	c138d4283f198e52e5cb6bc4617e87b1fb646b09
io.github.jan-tennert.supabase	postgrest-kt-watchossimulatorarm64	3.2.0-beta-2	metadata	528a0981915462351db5d1202c1ae35ca795f513
io.github.nethibernate	faketime-maven-plugin	1.1		4461ac2405700795b72e73655a42312234bb00ce
io.github.nethibernate	faketime-maven-plugin	1.2		453bf5c6e96ad969a6552f449b39dc4c9d0a550c
io.github.nethibernate	faketime-maven-plugin	1.3		edbc8ac7dcbfd76d421564d1aaf259b28e8ea8f6
io.github.nethibernate	faketime-maven-plugin	1.5		4ada9fcf8ba6849bf49d49ca9dca8cee5c4f1041
io.github.nethibernate	faketime-maven-plugin	1.6		f6b5ff54839d282200e22b042722636395e8d1dc
io.kpeg	kpeg	0.1.0		53c68da9f0fa6b8aa0a06044f8a6a196a7ac1e2c
io.kpeg	kpeg	0.1.1		82ebcf5db681efef5366fa12dbc775966a0d49dd
io.kpeg	kpeg	0.1.2		23946ced32932e3014a5f2be7fb0c6f4a73baa4d
io.ktor	ktor-client-json-linuxx64	1.1.1		908d42d1f3ba96250f7e9a34b40432bbd2db64fd
io.ktor	ktor-client-json-linuxx64	1.1.2		e8f424ec897904e8a97aedb5469b0937fe6ad74d
io.ktor	ktor-client-json-linuxx64	1.1.3		342052586c5b2128b6cd0a561ece7dcf8dd4a08f
io.ktor	ktor-client-json-linuxx64	1.1.4		d1d96e6a4e115ecf58160fc31ca7bf1261ebb609
io.ktor	ktor-client-json-linuxx64	1.2.0		de364d4b6b584e57c85495f313bf0bea897c4951
io.ktor	ktor-client-json-linuxx64	1.2.0-rc		79ed31eab1f23c6827fe5624b66a52df49895041
io.ktor	ktor-client-json-linuxx64	1.2.0-rc2		b01ef4b3833e60770557cac4238a4af12367b369
io.ktor	ktor-client-json-linuxx64	1.2.1		998c60845c444124dcd58f533981d43c98b424fa
io.ktor	ktor-client-json-linuxx64	1.2.2		c62805a9e3c60395ba6e84c36da0a3e98c735cea
io.ktor	ktor-client-json-linuxx64	1.2.3		ecaf43a83a99eeb3cb783a9ede7f249357b37c9b
io.ktor	ktor-client-json-linuxx64	1.2.3-rc		819c4d78f783873185586eb10f2dddcff2bf8658
io.ktor	ktor-client-json-linuxx64	1.2.4		5145abfc8b4cd4b346d2d3ce217ffbc95cc6a7df
io.ktor	ktor-client-json-linuxx64	1.2.5		58571a7b0b6b6c15564e6f52869853a4a6ceeba7
io.ktor	ktor-client-json-linuxx64	1.2.6		4c8ebe0f88337ef4cabf59ef2a512f520c68bac8
io.ktor	ktor-client-json-linuxx64	1.3.0		dc12f66dd0824cd7020dd64a0d8b509847c29288
io.ktor	ktor-client-json-linuxx64	1.3.0-rc		59b30fcb76e7af0e02c55d3f7f00e32c63cc73a6
io.ktor	ktor-client-json-linuxx64	1.3.0-rc2		30d37db8470e8881ed4ef34ae4579b5702517ad5
io.ktor	ktor-client-json-linuxx64	1.3.1		e995bc7941722c298c722c70132411431fb7db27
io.ktor	ktor-client-json-linuxx64	1.3.2-1.4.0-rc		02851ff594f7c5d193101712a9fd767027eb73c6
io.ktor	ktor-client-json-linuxx64	1.4.0		58ec1b23087a729fed2097e233595dd74d2a3ca2
io.ktor	ktor-client-json-linuxx64	1.4.1		a49c7355884b86e3ac2b591e3ec2b234e7eb895e
io.ktor	ktor-client-json-linuxx64	1.4.2		3f1cef6ac58b182fa95aaf84cc65eb7c3ed2d616
io.ktor	ktor-client-json-linuxx64	1.4.3		80c74cbf1dd1587518e54e4afbab6c64e5f702bd
io.ktor	ktor-client-json-linuxx64	1.5.0		98564c1441f235a432e7e114fa0276d457af497d
io.ktor	ktor-client-json-linuxx64	1.5.1		6f6d8ec1ee037ddf001dc9955ab26b7041011b30
io.ktor	ktor-client-json-linuxx64	1.5.2		5cb0312eb7b26c617d77a9de73447bba37fd59ff
io.ktor	ktor-client-json-linuxx64	1.5.3		87b01ba32e0fa8532afba087c4f567d7a5505731
io.ktor	ktor-client-json-linuxx64	1.5.4		3c57830f88502110cac5ba9dd92f320ae5c6ebcb
io.ktor	ktor-client-json-linuxx64	1.6.0		ef5cdbfbcd7eaf8c8da1883d5db8bd6ff866b605
io.ktor	ktor-client-json-linuxx64	1.6.1		18ff4d8b7d691017a24389caf592a00f6e02fe68
io.ktor	ktor-client-json-linuxx64	1.6.2		765e703039852f7bfcdc7c1db4abf4b6a76401c5
io.ktor	ktor-client-json-linuxx64	1.6.3		f7ff86a63b548a05efe4c9f142044e3e9cad6d0f
io.ktor	ktor-client-json-linuxx64	1.6.4		d646f287ee64fa4a4447cd485cbd3e76b34e1140
io.ktor	ktor-client-json-linuxx64	1.6.5		8bc29b5bf486f3276a26f96faa5ae341eea34a8d
io.ktor	ktor-client-json-linuxx64	1.6.6		5e4a81c56216f6e04cd9a8fbb212d8be71e77b7f
io.ktor	ktor-client-json-linuxx64	1.6.7		96bbf4d2ada30c603f2f4baf7dea0f07b30655e7
io.ktor	ktor-client-json-linuxx64	1.6.8		ae30b18a22516aaeac85fae829db735492d963a3
io.ktor	ktor-client-json-linuxx64	2.0.0		e564a227d37b3bd94e70350ebcef383eac3c71ab
io.ktor	ktor-client-json-linuxx64	2.0.0-beta-1		376976fc7fae8378675dd2c742b2c8ad1b8dde5b
io.ktor	ktor-client-json-linuxx64	2.0.0-rc-1		e4a1dc291d91a417a1a6b29390c1ecde6f2af815
io.ktor	ktor-client-json-linuxx64	2.0.1		0a517bf02772abf53d9a81cf38a59b01e176cd52
io.ktor	ktor-client-json-linuxx64	2.0.2		257f43ec65bb403d948ecd8c6a7fe0ce804ee6e5
io.ktor	ktor-client-json-linuxx64	2.0.3		854c8a4e00b84dc9ff7ab06643fef4379bc2b0e3
io.ktor	ktor-client-json-linuxx64	2.1.0		6f0cabb734201d7350677aed5cf9fc7e3be3c93e
io.ktor	ktor-client-json-linuxx64	2.1.1		bb63c0db68d7482074e39b15d9dcfbf399cb673c
io.ktor	ktor-client-json-linuxx64	2.1.2		2e7239839ae5cc0aa9a4c3c1e0f12396e5c4165a
io.ktor	ktor-client-json-linuxx64	2.1.3		c79cb0f8b10efc5b774fad05166ddf64c716ad1f
io.ktor	ktor-client-json-linuxx64	2.2.0		9a37cfc392da33a5d3da352586b59c53df61914c
io.ktor	ktor-client-json-linuxx64	2.2.1		9e132331a58cc41e49c00f2dc024c880eed38924
io.ktor	ktor-client-json-linuxx64	2.2.2		965ba25115c573e7ead644fe07e3f74bb69f40f4
io.ktor	ktor-client-json-linuxx64	2.2.3		8cb7ed0cb382e29709798541a4aa1ecfe1cafc70
io.ktor	ktor-client-json-linuxx64	2.2.4		dfbb0129d8c5e057775027223ac085b63281150f
io.ktor	ktor-client-json-linuxx64	2.3.0		8e70c53f9e41d63d313be4b188226e501d44b3ed
io.ktor	ktor-client-json-linuxx64	2.3.1		2dfb4fdbe6c92ef9212b7c166e3c1a1c52e01ab6
io.ktor	ktor-client-json-linuxx64	2.3.10		8f0070cb492e528623704fb948582f822cccf130
io.ktor	ktor-client-json-linuxx64	2.3.11		9bceca1d118a7f3d7312212b45f96271d5780f66
io.ktor	ktor-client-json-linuxx64	2.3.12		dad772f4208ef6ed5258a9a3bda638b1e5a0b44a
io.ktor	ktor-client-json-linuxx64	2.3.13		9ea48f4d2ec39d093b3aa6de827778aad8459cd6
io.ktor	ktor-client-json-linuxx64	2.3.2		8574d19ce1582477a34067a6e64249ec9c6a1bb2
io.ktor	ktor-client-json-linuxx64	2.3.3		e6dc25da4e61e30ddc314250b2b2c643698e2e60
io.ktor	ktor-client-json-linuxx64	2.3.4		8fdb4ad768eb917e71d0274c45dc05cd90d10546
io.ktor	ktor-client-json-linuxx64	2.3.5		04df377a61e2eeb6a38b9935aad2dfca3d7b0b10
io.ktor	ktor-client-json-linuxx64	2.3.6		ba82a74712164988a5faee24bd8318d09c982d9f
io.ktor	ktor-client-json-linuxx64	2.3.7		1305131a8368959a282fcb47451b16b7ea8981ed
io.ktor	ktor-client-json-linuxx64	2.3.8		1c0f9035f97734cf1df228ba7b2384919fdf6b80
io.ktor	ktor-client-json-linuxx64	2.3.9		36e4393274a5299892f03f9a03c0f104462e6ad9
io.ktor	ktor-client-json-linuxx64	3.0.0		e658dedd4e1df9270fcecb5c81b8a981a73040cf
io.ktor	ktor-client-json-linuxx64	3.0.0-beta-1		28daab8980457e80e6f848f0f9bc7bc47130a871
io.ktor	ktor-client-json-linuxx64	3.0.0-beta-2		fca269e916a2c1748f1de3edaa0924416783bb32
io.ktor	ktor-client-json-linuxx64	3.0.0-rc-1		f7fa066a97bb6eb7653c215ac3159ab192c796b2
io.ktor	ktor-client-json-linuxx64	3.0.0-rc-2		cf5b5e8096223e8417550ebcfd266c3210ce5e19
io.ktor	ktor-client-json-linuxx64	3.0.1		eb858a66f03868ba0636c5f11d5cfe61f8164bb1
io.ktor	ktor-client-json-linuxx64	3.0.2		a53c845de7fae246be1e316dc91b1b96e8e13c94
io.ktor	ktor-client-json-linuxx64	3.0.3		29690be6c1cc18547c2fa78a58a0ac8e57ac57ec
io.ktor	ktor-client-json-linuxx64	3.1.0		9c7456da174d38dc8cfa227d13bfbbe79543366f
io.ktor	ktor-client-json-linuxx64	3.1.1		482ab5f3c87fe74b6fe2f74562430124b26ffa8b
io.ktor	ktor-client-json-linuxx64	3.1.2		b5141a6ca75d01942d9837f14fcbe505968d503f
io.ktor	ktor-client-json-linuxx64	3.1.3		5cbd04d9c56ebd11631e9656ba910e2c2249b991
io.monix	minitest_sjs0.6_2.13.0-M4	2.2.0		0952abfb96e26278cac163d529341b6ea22ff410
io.monix	minitest_sjs0.6_2.13.0-M4	2.2.1		cee2a6fc22f2484c7f930417477ec5d3fbacbb09
io.ocfl	ocfl-java-parent	2.0.0		N/A
io.ocfl	ocfl-java-parent	2.0.1		N/A
io.ocfl	ocfl-java-parent	2.1.0		N/A
io.ocfl	ocfl-java-parent	2.2.0		N/A
io.ocfl	ocfl-java-parent	2.2.1		N/A
io.ocfl	ocfl-java-parent	2.2.2		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.0.1		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.0.2		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.0.4		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.0.5		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.0.6		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.0.7		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.1.0		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.1.1		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.1.10		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.1.11		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.1.12		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.1.13		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.1.14		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.1.15		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.1.16		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.1.17		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.1.3		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.1.4		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.1.5		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.1.6		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.1.7		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.1.8		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.1.9		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.2.0		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.2.1		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.2.2		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.2.3		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.2.4		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.2.5		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.2.6		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.3.0		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.3.1		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.3.10		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.3.11		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.3.12		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.3.2		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.3.4		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.3.5		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.3.6		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.3.7		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.3.8		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.3.9		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.4.0		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.5.0		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.5.1		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.5.3		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.5.4		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.5.5		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.5.6		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.5.7		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.5.8		N/A
io.opentracing.contrib	opentracing-spring-cloud-parent	0.5.9		N/A
io.qtjambi	qtjambi-multimedia-native-linux-arm64	6.7.3		a13832c1f460e15263ae2873a9469e50e9f4dc9a
me.adkhambek.pack	validators	0.0.1		73623425fa68dfc826edca20a7f3b9105651eaf7
me.adkhambek.pack	validators	0.0.2		b15924091dbb1613e3e0760c2c677c480fe4ad69
me.adkhambek.pack	validators	0.0.3		1a249efaa250a91f47fa8015d01cb648cb34350d
me.nathanfallet.usecases	UseCases-jvm	1.0.0		c3eeebbe9fed6ddda49db3aa7d34d90fc4be7ae5
me.nathanfallet.usecases	UseCases-jvm	1.2.0		48ba22499f763c8ecbef7476d216cf204d64599b
nl.colorize	colorize-java-commons	1.17.5		4a7b3284f146c5dacf276ff5e77f7c65580bb6b8
nl.colorize	colorize-java-commons	2017.3		bf09557389e86de223f7ae9a4beb6da70ce6742a
nl.colorize	colorize-java-commons	2017.3.1		9ca8b3f9e5e5eb002d059e53d0ace924e635fb92
nl.colorize	colorize-java-commons	2017.3.3		511b8c6cb99a3a391a323a9210c4e7fe1b25dc23
nl.colorize	colorize-java-commons	2017.4		faf64c35343c41b65b01cc61b966db4e902bc811
nl.colorize	colorize-java-commons	2017.6		238af77709e472688aed18fd04c958498ccaf20e
nl.colorize	colorize-java-commons	2018.1		49cb4de256aa5847fd5eaa895624cf4db11ae747
nl.colorize	colorize-java-commons	2018.5		50bf872a3de53bda858b76a1ee0d0b91940c832f
nl.colorize	colorize-java-commons	2018.5.1		73a684446fbcb1e42652d18ecfa625bb5b3302b8
nl.colorize	colorize-java-commons	2018.6		bba99a36a286fbdaae8992db12a6bd5fb77bc511
nl.colorize	colorize-java-commons	2018.6.1		a68d7b54b5cc216a8bcf8c55412c273cc326d14b
nl.colorize	colorize-java-commons	2019.1		2af62afe0e937eab5312b9d6ccffd4865ddb291c
nl.colorize	colorize-java-commons	2019.1.1		e125b55c3b93362c346014bbc7b011199104ea25
nl.colorize	colorize-java-commons	2019.1.2		e0003eb8424bbc02a7b8eaf518f7f25b5c4578a6
nl.colorize	colorize-java-commons	2019.1.3		7ee943a85701f2d06f911e71e4df4602e84a39e0
nl.colorize	colorize-java-commons	2019.1.4		bd1298f718261734cdd2fde15e1b0ac48a2c6266
nl.colorize	colorize-java-commons	2019.1.5		8fbdc2ce209303ffe1d3878257a673de29545d3d
nl.colorize	colorize-java-commons	2019.1.6		176dcebb86e849451cd58354ff8ab29c82277326
nl.colorize	colorize-java-commons	2019.1.7		2f161ea3b64ba28d2299dc9a0f70a24f6be8b213
nl.colorize	colorize-java-commons	2019.2		d345b860efaec78d239dd9a79bffc1e6a75f948c
nl.colorize	colorize-java-commons	2019.2.1		433197d2596aa061478d2681af43c5b832779fc3
nl.colorize	colorize-java-commons	2019.2.2		7845af48a99bfafcb810068c2812a117c12cab13
nl.colorize	colorize-java-commons	2019.2.3		43d98e15ac430804841bbf6522ce08b28b0a1bab
nl.colorize	colorize-java-commons	2019.2.4		d121bdb597f0c14e569ed403c3076e4ca93a104a
nl.colorize	colorize-java-commons	2019.2.5		dad277c7fda7c80d40b02f64a03ff3bdf4d49621
nl.colorize	colorize-java-commons	2019.2.6		71aaebc59f1967385eecd032fa17308c296e40d0
nl.colorize	colorize-java-commons	2020.1		34fe02b641f63d6ff8f00eaa6b58fa4aecffa9e4
nl.colorize	colorize-java-commons	2020.1.1		d11fa087fbb0757c91ea6c5377407eeefa7d93e8
nl.colorize	colorize-java-commons	2020.1.10		b558a760b9f9cb644f77febce525717a31ccd3a6
nl.colorize	colorize-java-commons	2020.1.11		0d454d18f79a6f3cc7516fb8649df454ae8b7dd6
nl.colorize	colorize-java-commons	2020.1.12		e407791087bb93efaa99a8f19583dbb77ddef36c
nl.colorize	colorize-java-commons	2020.1.13		14183ce25565f7b07d65a26caea01a18258aae09
nl.colorize	colorize-java-commons	2020.1.14		5f2f74d68223c5315648cc7cd78c68cbc2572fad
nl.colorize	colorize-java-commons	2020.1.15		f58b42de4ef1ceb972c181188ec18ccc6e49e5d8
nl.colorize	colorize-java-commons	2020.1.2		5a98497c173c8696c5be536875460afbf1a544f4
nl.colorize	colorize-java-commons	2020.1.3		54efb1ae3ffcf05cbc73f58e89666b63a8709aa1
nl.colorize	colorize-java-commons	2020.1.4		8005f776e785b7e01cd2e210ea090d722116a9e4
nl.colorize	colorize-java-commons	2020.1.5		069c87078184c6eff48b6c55e64f681feeecf2ac
nl.colorize	colorize-java-commons	2020.1.6		e20d2b63a2e9754436099c4af47499fe7d240262
nl.colorize	colorize-java-commons	2020.1.7		73a4fc4069ed069550e68f0f239b117c3d948b54
nl.colorize	colorize-java-commons	2020.1.8		a8e1341fb3ff3575115d3f07f209ab37643090a6
nl.colorize	colorize-java-commons	2020.1.9		5d98bb93a72bfb9292c872877af35231900e09a5
nl.colorize	colorize-java-commons	2021.1		1ec7c5c91391f95c999b2bc065b4275f78daac13
nl.colorize	colorize-java-commons	2021.1.1		ef9ab5d25a695be9793ba8134e4be7d03779cfd1
nl.colorize	colorize-java-commons	2021.1.2		24575e3b7a13d23209b2440d4b459e6d7daf8fe4
nl.colorize	colorize-java-commons	2021.1.3		9602ee6f0ab9420245abbf77ec028b8ac9127ef9
nl.colorize	colorize-java-commons	2021.10		3e681e1fa1eaec649cc5e13b932a7fc633a6b660
nl.colorize	colorize-java-commons	2021.11		6219603e59d4521934e0eb6a8f6aac3034fbc08a
nl.colorize	colorize-java-commons	2021.12		cd8e925e13933afc3ee66f6989fa16cbe3f25b0e
nl.colorize	colorize-java-commons	2021.13		ee1fa1ff2f82e140c4e0faaa7a95fc40eef9eabb
nl.colorize	colorize-java-commons	2021.2		71b72735a04774633b285679b0b1ba5f6e94478c
nl.colorize	colorize-java-commons	2021.2.2		931941d20fc322eb1fb4097dafae52e7a365836b
nl.colorize	colorize-java-commons	2021.2.3		a50001415f375d65d2cd1a306c55189c87c0557a
nl.colorize	colorize-java-commons	2021.2.4		c3e99141548f1f31e844c157eb598a35df2efaab
nl.colorize	colorize-java-commons	2021.4		5c333f64a5ea0136f36e036500e039a815378750
nl.colorize	colorize-java-commons	2021.5		5ad4fce1250de05ac795691adfce2f9154a5f1da
nl.colorize	colorize-java-commons	2021.6		4417b4769ebe17fe921bd78136249036ee3df00e
nl.colorize	colorize-java-commons	2021.7		9868ee83ea0e561a5f2d57774f74930be2692ecc
nl.colorize	colorize-java-commons	2021.8		a2aaf6ef65a6c86734f6f836e817ccbadf12393e
nl.colorize	colorize-java-commons	2021.9		6dd3c1cca2b629298c3037751832da8e957f331d
nl.colorize	colorize-java-commons	2022.1		c3f9977410245c5873a1c5c87957960270c68c14
nl.colorize	colorize-java-commons	2022.10		a9f51ac692c10b55b98360bf6540d56515355f7a
nl.colorize	colorize-java-commons	2022.11		659c18c015c891c1c68c1af0c8576bac4a788405
nl.colorize	colorize-java-commons	2022.12		0d708096ff19bfcfbe461b942871a3e38738062c
nl.colorize	colorize-java-commons	2022.13		a35272f380dc62b59dd30786f162cc8a85b00ede
nl.colorize	colorize-java-commons	2022.14		806485a983652453efd9c280ef8dc1288f5ba191
nl.colorize	colorize-java-commons	2022.15		fbd39184741d062706f80ca46097a1766cedfdc3
nl.colorize	colorize-java-commons	2022.16		daf1c9b3af09467cd60d74bfd09d292900c3f51f
nl.colorize	colorize-java-commons	2022.2		7a89ee66884e20158fdeb3ef2196ba016074f16d
nl.colorize	colorize-java-commons	2022.3		e2d86949f8522fa6d6022480418e164bed09b1be
nl.colorize	colorize-java-commons	2022.4		5e4679269c0b10dd9d61466632385599c6b740b6
nl.colorize	colorize-java-commons	2022.5		c8b358c3f569099cdc1732a992513340990619f7
nl.colorize	colorize-java-commons	2022.6		79e4e2732c17bacabafdb40bdffaacf77f4933b0
nl.colorize	colorize-java-commons	2022.8		93f3b72a545d2e2a6d5c38cf4b0cf6ed83068977
nl.colorize	colorize-java-commons	2022.9		244e94eb8597dc44293e0f2c18c28281bf4e794a
nl.colorize	colorize-java-commons	2023.1		988c5887f4c38e4ea35cf0121de69268ee7792f1
nl.colorize	colorize-java-commons	2023.10		652c368df0e6066a8578ff49ac407cbf6d4392b9
nl.colorize	colorize-java-commons	2023.11		f65034f75af3a6b7327ed24e4f9ad6da62403d02
nl.colorize	colorize-java-commons	2023.12		aa14383519e9ecd42cf51739fb64bf3bcb52c00e
nl.colorize	colorize-java-commons	2023.13		9363a7d690b615a3baccb75dcc651a2594efe185
nl.colorize	colorize-java-commons	2023.14		2f7482ceeca2fcf0217cf830df1065546912f4d2
nl.colorize	colorize-java-commons	2023.15		886b541b78f4a3d2564a1078985522296ee080a1
nl.colorize	colorize-java-commons	2023.16		0a8de8d19120821b2f9ab260f182240e4e6f9014
nl.colorize	colorize-java-commons	2023.17		2c5458df57ad6f28d11da21d1d154ba47294bf64
nl.colorize	colorize-java-commons	2023.18		427c66ae7b2f80bd92f5d6d0e90d4e11a478b390
nl.colorize	colorize-java-commons	2023.19		03163c4c1aee73d564517331aa3751df43ea8fe2
nl.colorize	colorize-java-commons	2023.2		e88def4fa714ac423105e95d49de5820e8b36079
nl.colorize	colorize-java-commons	2023.2.1		15b7d3692de4fd0afe250fea7421bd0309b7de34
nl.colorize	colorize-java-commons	2023.3		267b49703af3ec1224de4438c0d74b6d78457ca2
nl.colorize	colorize-java-commons	2023.4		d538a9d2c015f59ffbac6559f647ca8d08c27396
nl.colorize	colorize-java-commons	2023.5		0e4d1b84f1a9d53a10190fd41ee6dc5fd3f436f4
nl.colorize	colorize-java-commons	2023.6		b6d1dc977f416e35e180e71bad736f5f53350f12
nl.colorize	colorize-java-commons	2023.7		c59ee4f0658eec07c3203053439f27872c0ce177
nl.colorize	colorize-java-commons	2023.8		10183c8746cbee975492e11b053f03cd8abb1b84
nl.colorize	colorize-java-commons	2023.9		9ffea8de70be9f874c9ceffb9a2a6daa6a51656b
nl.colorize	colorize-java-commons	2024.1		b251ccc37a98349900c53f2efb2ad5a9e82eb544
nl.colorize	colorize-java-commons	2024.2		ef144c8af44d112c1284f32882f10e2fffa918ca
nl.colorize	colorize-java-commons	2024.3		ecaee9da772ad84032d0ad2e595994361a683cea
nl.colorize	colorize-java-commons	2024.4		f1abde07af9385f64003f8f986bd33b23ec25858
nl.colorize	colorize-java-commons	2024.4.1		8e2bb190f51a55e8fd89772c4c13bc5f3e47516e
nl.colorize	colorize-java-commons	2024.4.2		ad7c998cd0f888d5f6eb077ac32a6facb816f1b2
nl.colorize	colorize-java-commons	2024.5		e80b89eb35e9b5aec6c405a3118420a5322072fa
nl.colorize	colorize-java-commons	2024.5.1		b9cf30f532818bff4f4a12d3355fc544abb4bfb4
