com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.12.11		1fee6043262c876daaffe1b1112f22df842e2b8c
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.12.12		7890f35b42f17532d16ea29e42b70dfc955c1f46
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.12.13		206f006a4d81351f417ade3ccb0bc20a160a186e
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.12.2		42ef8609a96878988784d9763f66313dbc7cae83
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.12.3		60f9bd456c07fc646657e8fc53763792e6335eac
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.12.4		d7a91181190704fca28890207aedd51894ccfa43
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.12.5		f41cdca3c834b8ffa6c49e64dc5054e5b3f256eb
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.12.6		31d545c6755981d962e56c078ecceeddd5000856
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.12.7		57b31ac00b0bb0ec8d76eda034253be1f1908c88
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.12.8		ceaff5da53cd026b8ef7c980c1a2c0efa66d3505
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.12.9		b8f3db5d11b3bc1353e4aa7db517846054d4a340
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.13.0		73ef9c955c9015cd19937add04e925ce5f698e94
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.13.1		c885957184ba8abdc44c0acee2d15db6228a0aff
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.14.0		afd9c6742cd70a4c6c89ff18ad1690040f86a928
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.15.0		ccca43343de58251c8f3b02756914e36481bebd7
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.16.0		3df12c0fcdc69749fc87fda18ba2458863a637f3
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.16.1		38ae1da698dcc548066e2ab6de87269c16fcd5bb
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.16.2		07074c18a50e1de73cd83e2f4eea095fa3808554
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.17.0		54a2d779191768d4c8328a764f67d9b5e7ff6bf3
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.18.0		426e88b2747ad5e1544cb9e7ac316993fb6357e4
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.19.0		b9bac4cb643a9d5844987fad667d37c8f7359335
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.20.0		d7d624f0ed301820b6d6b290f2bd3e9846b34dae
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.21.0		99b1e8cfe9663ad7b35fc5b6f1201f7e5aaf349b
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.22.0		5c1c87fa63bcaaef272cd27dcbab9a3d20392653
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.23.0		27fa5282a5fd343582b599c009751a8d4289254b
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.5.0		9e65a32b8732a475dd9f829bd7ae62975674ebc9
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.6.0		88599774678a55432269811303fd3c0f6654aaf1
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.7.0		74b3233f159fdbb712505d4af2408f3917163ab3
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.8.0		eb06e4f367c2f41586426c7f7f95d03868585a91
com.nepxion	discovery-plugin-strategy-starter-opentelemetry	6.9.0		1c94807fa7807645046a0b82d4cd16d3e956c16c
com.networknt	eventuate-testjdbc	0.1.0		47297b5906ff6f186ca6e992028f18b30de75a1e
com.networknt	eventuate-testjdbc	1.3.1		8ded65ae9f89fcd558dd26f5a485f05d5b654bb7
com.networknt	eventuate-testjdbc	1.3.3		57802e362d245cd56376e239e823a67f9997848d
com.networknt	eventuate-testjdbc	1.3.4		725ee7909e319ef9c644676e98edf4afaf150f8c
com.outr	profig-macros_2.12	1.1.0		e914bff6daeff8c897b9043de921d369ca9d69ff
com.outr	profig-macros_2.12	2.0.0		e8d6f1f782388a7174daa99c9615011d542e17fc
com.outr	profig-macros_2.12	2.0.1		db929ab6ea0b140ee1963c7e078e77e6d0019272
com.outr	profig-macros_2.12	2.1.0		c33d3915d918cff3448ce9f29948ce2f6e467f8e
com.outr	profig-macros_2.12	2.1.1		7c0074f88baa24df0a45578e0f25759336db2c29
com.outr	profig-macros_2.12	2.2.0		601bf11d3ec2843b55e7d4eb128a0594f1045790
com.outr	profig-macros_2.12	2.2.1		126e85b5dccc9fe3b5860e472afc64f8a40b060b
com.outr	profig-macros_2.12	2.3.0		efc42bd44e05f0da8c9fc740c71473b98ddf46c2
com.outr	profig-macros_2.12	2.3.1		5a700f5c0499978139ed14fe70143f349d954180
com.outr	profig-macros_2.12	2.3.2		37a2a475d68dc271c6c2d3fb78a3d5c56f0aaf9e
com.outr	profig-macros_2.12	2.3.3		38c2a251c7184e43e5ab9e10af4218ce122d3f9a
com.outr	profig-macros_2.12	2.3.4		ecca2f7e714a0c9dea375f02f914d2130ba0bed9
com.outr	profig-macros_2.12	2.3.5		65cbc551446b233d1bfd72a1142a3976bc242be0
