com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.47.0		b916ad01d35bb1594a6bd6f7ebe86bf493facd38
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.48.0		178e301b877f28f6267cd78d84a59809c0faa9c1
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.49.0		530cc4ab5d45dff9a1be3ce64ae77e929ea820f5
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.49.1		2d42954570060f6f6e42e5bdce76aef673869379
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.50.0		4ad81d22fc37d04a07494e8160678fbffb26d6cb
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.51.0		120b64546e82e799ed57cfe2562418fe18621a4b
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.51.1		89c74c21c1b569ce26d51e217c856c9d95dae818
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.51.2		6bf3c09cde91f7de9818597dc57ea5a9463f6ea7
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.51.3		13c9a48a5aedfc70faeedf29bfdd794981038ea2
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.52.0		1738beff98ec8d44f17e02a4a75979bebdb0ac44
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.53.0		5cb7e74ec167e1fd1a3f3c1476079f79d775b074
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.54.0		bce9ef6737d9786ad8ca4a2bd528762bff0175e9
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.54.1		15c68be5f061ec33aa824d7b65df4a8ddcf69d50
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.55.0		a0586353d110ba327c229d91ce529d1e6f56293a
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.56.0		a96b35daa90f82abf36fa0c6685c3496c25534f5
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.57.0		d3dfa0536ee8eaf34bbfa9939f0922990c62f4d9
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.57.1		56c2829945daa2951f012f2209c41e4c033ccb24
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.58.0		63e83f2deafa4738d91998f10f6c7a2f24853252
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.59.0		5fd0c0dd8029521468e0eedd520654e3f6a2951a
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.60.0		412dde05e6de9bd9e792f6e574ae64578ac74f76
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.60.1		105d428df435862313f941b118b9d7da4aebeab4
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.61.0		e83cd5f30cd154bbd6fdaafd613f6c432f3c5e6d
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.61.1		f5141562822ae43d1662c62972cbbcbb0e9b3ea2
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.62.0		a53d97e74149857d3b8400ec2b59c51d0ad6defb
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.63.0		cd095517227556a08d2beec095aee44f4455de2d
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.64.0		6cb011a0c82e486a9e6e3a0b69d8d7c520a1b9a5
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.64.1		a38d4d97622879805b3180a466c71e0d73660f41
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.65.0		7a9229ce055b36c6c1f2821705dd601200dfd044
com.oracle.oci.sdk	oci-java-sdk-certificatesmanagement	2.65.1		9efecaaa35e218a3a4fd262870ea1cbc959f4a87
