am.ik.tsng	tsng	0.1.0		73ba4e1b65c13440b14ac1082e69b7e710c2271c
com.bumble.appyx	utils-interop-ribs	2.0.0-alpha10		N/A
com.bumble.appyx	utils-interop-ribs	2.0.1		N/A
com.cyrusinnovation	stop-stubble-plugin	0.0.1		d70d98f971a3b755eb520389637b6b0b5026459b
com.cyrusinnovation	stop-stubble-plugin	0.0.2		c1b3897febeb8bdd01b0641cb2a7cf3015de7ac3
com.driver733.mapstruct-fluent	processor-spring	1.0.0		08ff32eaa8ea7e60473172bf7be441e9723a4d0d
com.driver733.mapstruct-fluent	processor-spring	1.0.1		f49b32507c3d0759335805609c2ad0f8f4221cd4
com.driver733.mapstruct-fluent	processor-spring	1.0.2		bd41e167e2b395033d59e1918a27fa7599ec40c6
com.driver733.mapstruct-fluent	processor-spring	1.0.3		7bf04c1b5f9dfb0bff512597459faeb756b75b96
com.driver733.mapstruct-fluent	processor-spring	1.0.4		b06a0cb9438c002be4d6b61339180ae57e062295
com.driver733.mapstruct-fluent	processor-spring	1.0.5		26a10183a95a3703f4a8b691400ea94817e21a18
com.driver733.mapstruct-fluent	processor-spring	1.1.1		6dabea47ebd134ba81d4a93a8b0fcd81660e3af2
com.dshatz	ktorfit-koin-lib-android	1.0.4-kotlin-1.9.23		N/A
com.dshatz	ktorfit-koin-lib-android	1.0.4-kotlin-2.0-RC1		N/A
com.dshatz	ktorfit-koin-lib-android	1.0.5		N/A
com.dshatz	ktorfit-koin-lib-android	1.1.0		N/A
com.freeletics.gradle.multiplatform	com.freeletics.gradle.multiplatform.gradle.plugin	0.10.0		N/A
com.freeletics.gradle.multiplatform	com.freeletics.gradle.multiplatform.gradle.plugin	0.10.1		N/A
com.freeletics.gradle.multiplatform	com.freeletics.gradle.multiplatform.gradle.plugin	0.11.0		N/A
com.freeletics.gradle.multiplatform	com.freeletics.gradle.multiplatform.gradle.plugin	0.12.0		N/A
com.freeletics.gradle.multiplatform	com.freeletics.gradle.multiplatform.gradle.plugin	0.12.1		N/A
com.freeletics.gradle.multiplatform	com.freeletics.gradle.multiplatform.gradle.plugin	0.12.2		N/A
com.freeletics.gradle.multiplatform	com.freeletics.gradle.multiplatform.gradle.plugin	0.13.0		N/A
com.freeletics.gradle.multiplatform	com.freeletics.gradle.multiplatform.gradle.plugin	0.14.0		N/A
com.freeletics.gradle.multiplatform	com.freeletics.gradle.multiplatform.gradle.plugin	0.15.0		N/A
com.freeletics.gradle.multiplatform	com.freeletics.gradle.multiplatform.gradle.plugin	0.16.0		N/A
com.freeletics.gradle.multiplatform	com.freeletics.gradle.multiplatform.gradle.plugin	0.17.0		N/A
com.freeletics.gradle.multiplatform	com.freeletics.gradle.multiplatform.gradle.plugin	0.17.1		N/A
