dev.zio	zio-macros_native0.4_3	2.0.10		e3870994c9849e10fddcdc3a56ac777160452457
dev.zio	zio-macros_native0.4_3	2.0.11		0820126929576b98cd702568ca0accb9a7b3bf12
dev.zio	zio-macros_native0.4_3	2.0.12		3e1ca99a6555b2c546e47e902595f21ef2a1cf2a
dev.zio	zio-macros_native0.4_3	2.0.13		f7a44e29616785bb29f59a97fd739edbaec81e96
dev.zio	zio-macros_native0.4_3	2.0.14		5d45b23cdc577bed2dadbc4c810ccc2fb5fd2d9c
dev.zio	zio-macros_native0.4_3	2.0.15		9c3a33c82e0d466d55520d8d8d6f77ca0c72bf03
dev.zio	zio-macros_native0.4_3	2.0.16		980239e77451a00741f10a773938c01761677c56
dev.zio	zio-macros_native0.4_3	2.0.17		39b94355726519aacb9b57567c95100a171c70f4
dev.zio	zio-macros_native0.4_3	2.0.18		8d6c8ddda65b359e431de0e18bb1b761ac854a3f
dev.zio	zio-macros_native0.4_3	2.0.19		65b2705d5fa9929b9bc24cbd6e1217b1149e9e1e
dev.zio	zio-macros_native0.4_3	2.0.2		6c2ba8df3b0067d010379f36cd569ed6c0416d6b
dev.zio	zio-macros_native0.4_3	2.0.20		e30d06eaf5d2fd572b0944b8f48b90d2b200a7b2
dev.zio	zio-macros_native0.4_3	2.0.21		88b9b07fe375598c02c7f06c7f6ec0cbd927d8cf
dev.zio	zio-macros_native0.4_3	2.0.22		1f8dd04e80e65488ce3710a5243b0d4f65342c89
dev.zio	zio-macros_native0.4_3	2.0.3		91930adec36d0a4874763f87971be32419915353
dev.zio	zio-macros_native0.4_3	2.0.4		c4047e88f2cdf62f2a900dd7d66656880890b56e
dev.zio	zio-macros_native0.4_3	2.0.5		df72b86070bd528ca40b8ab1e21aa458f7fe1d08
dev.zio	zio-macros_native0.4_3	2.0.6		9150024603a1980a3188169ef3c74d9b3ee367a8
dev.zio	zio-macros_native0.4_3	2.0.7		4531a109f4a4e45ecce774125875f10743092873
dev.zio	zio-macros_native0.4_3	2.0.8		48bce7b16c3645d0307b5f71175da42001c76050
dev.zio	zio-macros_native0.4_3	2.0.9		9009b9706149185c78758ee1f049932d0618ed28
dev.zio	zio-macros_native0.4_3	2.1-RC1		9c3b9af5a6f481985511eca7a75c85b0d42e40b1
dev.zio	zio-macros_native0.4_3	2.1.0		4b255a048e8bcb15cb464e4a4218b584b7793bf5
dev.zio	zio-macros_native0.4_3	2.1.0-RC2		b437d1368557bc71c9e7e955fefaa17bd1a54754
dev.zio	zio-macros_native0.4_3	2.1.0-RC3		6b06ff36591bbee3a7ca6a130a798147c0adf9d8
dev.zio	zio-macros_native0.4_3	2.1.0-RC4		7e74331d16d7a36635e445e65349df499fb19804
dev.zio	zio-macros_native0.4_3	2.1.0-RC5		9731b268670579022d7613b1f959597a9bb44176
dev.zio	zio-macros_native0.4_3	2.1.1		29e523a9d5437900ac8c9a80af48212499dbb859
dev.zio	zio-macros_native0.4_3	2.1.2		d9cc1ac54739b406121edc3e9e6d75f9090c1575
dev.zio	zio-macros_native0.4_3	2.1.3		6bea76edbb5d25a5060dfb40eb7e78a5995aced9
dev.zio	zio-macros_native0.4_3	2.1.4		17d5fe9bad9f55723b838acd13e49761ad63f9c5
dev.zio	zio-macros_native0.4_3	2.1.5		da810611778c72481e60c56f4ff77705e92c8387
dev.zio	zio-macros_native0.4_3	2.1.6		cee7b51c4e3c2cfff575107f5077f59e2c52a23d
dev.zio	zio-prelude-macros_3	1.0.0-RC10		c8d0ef3400ecb9daaac213e0832b23f66aed67b7
dev.zio	zio-prelude-macros_3	1.0.0-RC11-2		6a3fb21728b34a66a1ef71462b83b68b7bdff73c
dev.zio	zio-prelude-macros_3	1.0.0-RC12		ced5de7207f183123f08c0e688cc4f4213132839
dev.zio	zio-prelude-macros_3	1.0.0-RC13		4404606a9969062fb4d534a6335dac853e8d0906
dev.zio	zio-prelude-macros_3	1.0.0-RC14		1e4025bab366525107dccce46b0db0b66030d7e0
dev.zio	zio-prelude-macros_3	1.0.0-RC15		22cd167db7dc17fbd8729c33a088567b119ce636
dev.zio	zio-prelude-macros_3	1.0.0-RC16		0ee819be16aa1d33d68531db187c867de1c3b768
dev.zio	zio-prelude-macros_3	1.0.0-RC17		edd6559575b356fe203448a22c53b521e80f55e8
dev.zio	zio-prelude-macros_3	1.0.0-RC18		fc779367840003eee258057ccf7df39eb3890b13
dev.zio	zio-prelude-macros_3	1.0.0-RC19		0187b2883be3814a254b180f8380cf73cd594933
dev.zio	zio-prelude-macros_3	1.0.0-RC20		2530d21da7b585fd9ce6a77a5285d2a035bb5e7a
dev.zio	zio-prelude-macros_3	1.0.0-RC21		e41a5e6f50a67d6173a61c5de2c9fd86bfbdf967
