at.released.cassettes	cassettes-common-xdg-linuxarm64	0.1-alpha01		N/A
io.kotest.extensions	kotest-extensions-koin	1.3.0		914e73b57a708e11f6ab6af7ff113c7f0fca3ac3
io.kotest.extensions	kotest-extensions-koin-watchosarm64	1.2.0		N/A
io.kotest.extensions	kotest-extensions-koin-watchosarm64	1.2.0	metadata	958b9eb125796e87a6432792c27af255010a5399
io.kotest.extensions	kotest-extensions-koin-watchosarm64	1.3.0		N/A
io.kotest.extensions	kotest-extensions-koin-watchosarm64	1.3.0	metadata	ac32e1edf378507ab8d4a37748d5db5bf984cf45
io.monadasync	monadasync-stream_2.10	0.1.0		64b96a2fa321a6d1313ca11680ab05d1d3130d55
io.taig	taigless-storage-http4s-server_3	0.12.10		25a3063186828face642537408548cd353d7605e
io.taig	taigless-storage-http4s-server_3	0.12.2		ba1c15a16f58cb4e7b7c5b1fefe180e7135e6d35
io.taig	taigless-storage-http4s-server_3	0.12.6		ddb42bddac1c0aa96ce8b2877ccec2d0839d7726
io.taig	taigless-storage-http4s-server_3	0.12.8		750136ff017ccd40ca7cb270cc8e2569e7860a16
io.taig	taigless-storage-http4s-server_3	0.12.9		73660139e5dc71d2516304418276763b5891a422
io.taig	taigless-storage-http4s-server_3	0.13.0		4fdcaa5108a91dd77e7b225db72459f7c3214727
io.taig	taigless-storage-http4s-server_3	0.13.1		388719639004c01aa16fca3e9ccf8c6eb2fb61ed
io.taig	taigless-storage-http4s-server_3	0.13.3		07f45af50bffa4d42598d0e74be3f7de1cd145aa
io.taig	taigless-storage-http4s-server_3	0.13.5		cc0bec5f11a01067f248b4d16502f0a19ba0d731
io.taig	taigless-storage-http4s-server_3	0.13.6		afefe32ef4ddec1f0628fa36b87e41a8de039dcc
io.taig	taigless-storage-http4s-server_3	0.14.0		7286acc099e096ccfbd015b285b9c33ccbd38250
io.taig	taigless-storage-http4s-server_3	0.14.2		8769478291066adfa6ef2213595d9ac6175ed112
io.taig	taigless-storage-http4s-server_3	0.14.3		c125f98ff15c1c2e68fae9fb9b7d5b7f2a38d48e
io.taig	taigless-storage-http4s-server_3	0.14.4		394a179290f8c3319ea4e81786f42d70cdf92652
io.taig	taigless-storage-http4s-server_3	0.14.5		f4f25ecaf454f6241902fb6039b3618936e80a28
io.taig	taigless-storage-http4s-server_3	0.15.0		6c4031a6dfacb9b0730486a3e619aa36039744e8
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	10.10.0		ac751aaa6f0c6b61e52c18d2311c3da4318902ef
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	10.11.0		c9cc16ff67dc9ca5b2858a1007b26183325f4fd3
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	10.11.0-1		b6a002eab3194879f0c6b6d008a9851c1e8d02de
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	10.12.0		d9d9615da0f374155ead10af1665b1cfc7d9f29c
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	10.13.0		6788a2acd9f885e566b4320f815e726778616fc2
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	10.14.0		f476677288c2be19514f6ca020a31e6f4442b2a6
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	10.15.0		ae124f9ff8ca9a1d65a9d1e4c91557dbbea9db8b
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	10.15.0-1		6d2cfd1589dd7245c0ae5c5b2af72905a4e51307
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	10.16.0		042fe220beba78632ada129f88f7df06f4785b95
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	10.17.0		67bed0fc8a47bf2d0e79ee6a88ac595b216acf51
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	10.18.0		a360ff6eeb84091883f606e287759d17ebed55c7
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	10.19.0		c58e294cc74cc4177814b8c971824ce6816369e7
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	10.20.0		a4e97a35961e66c519a6df97894d30e2ea5ed65c
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	10.21.0		1ed69a716bcfe25f6bf12b0c569eb7a1c41a3a19
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	10.22.0		e64c45b22e95144cf738510bc0df0d9dadc7f498
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	10.23.0		4e332eb8fcf90271578e684f228e60144657f9b0
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	10.4.0		c6df4956d0a28d76863eaaf249ce14269627d5a3
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	10.5.0		e7168952462d8aafe614fbddf9f3c5558735edd5
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	10.5.0-1		a3009d748844a3363b6826d30575498f7c7be9b7
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	10.6.0		859bb9f673b2168057871050d2313b98968302dc
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	10.7.0		7049e579913b3aff71ac467dd7937783372e2e87
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	10.8.0		4b6541d132d7783538899cbfee095c94c156edcb
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	10.9.0		9616c9a6c09b7c7bbe862835b9044ac529ed1bd3
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	11.0.0		e4cf55a9844df072fdcce4a3c577bf7d030400fe
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	11.1.0		74244aeab4caad4eaf8a157f58f66f68ee33023f
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	11.10.0		34503fffab592698b8845183053fe4bb8c29d628
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	11.10.0-1		b50766cbde42d2ecf44dc3982cdc18d992a71766
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	11.11.0		fa1b3070e288bc8494b0702dbc21a87d8111c202
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	11.12.0		eb702b39c9ea02606447fdc82c297f9de30905c8
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	11.13.0		c6f2433de4e92d050662afecd481a7454a34f24f
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	11.14.0		ed4a14747732a4fa89f542c71564725122ee354b
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	11.15.0		cf3d9649130e2e89c75bb6c91d31896672891399
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	11.16.0		9f89244fdb3ed6267e7403603b4b5756c8bf06a5
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	11.17.0		d6671192c620e8ac064145e2136e0e40d987b69b
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	11.18.0		35148e402e90e38edb186025e3b591ea34e46986
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	11.19.0		0fdb73eb4b1b9f9b0770cbc52dd4066a4d7ce129
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	11.2.0		56223cd8cc2a742d150f95fb4d4c0e777e91e197
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	11.20.0		f59473c33c4692a10674822c0d8c3d92c1e8694b
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	11.21.0		c0c1269a512ec5bdcaf747f05fbf1a56d617bab2
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	11.22.0		adddf8c3c57e6b62b793cdce5e8a2f98111e65c9
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	11.22.1		8fa76c1fdf9230b945f8aec7eb39704dda931a5a
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	11.3.0		be014bcb47b380df0e9c53ef2f6d062048a990f7
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	11.4.0		f04dba16ccdadfba89ba7bfd22845c8de59e55b6
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	11.5.0		0db5a49f5dd03c6b471170b0726ca72f9cde43d7
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	11.6.0		7a09499900d8cb93a091e9348ffc99720aee8424
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	11.6.0-1		a45757cacbf6593ff40f254c0a72e5fee959665e
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	11.7.0		c218e6e8ca653972e5cffa03116b26893066e7b3
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	11.8.0		b5af4ae75b6715352f4b85fd4ff41e63ca6ad3d1
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	11.9.0		d4c33b1d87f327c739547ed36b274e7400036eef
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	12.0.0		88660c4dca3786561aa05c32b5588e1c73ce41ca
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	12.1.0		a5b5b4aa408cfbc526082b79610ac220a2ebdba0
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	12.1.0-1		c30972c5f57c1c7f811a843db119dc594ee91fa5
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	12.10.0		e8b08d28f01b62e4423ab218202504bf9c04abc5
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	12.11.0		ba980452a665537c0856b859be41b7b8e8d50956
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	12.12.0		cf911a480f4e23b947c78d44c7691dfc33771341
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	12.13.0		1a0b6f39dcd18318b0daa8b44812bdb851026773
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	12.14.0		b7b2af95341a05943302dce6e7e91451e32510fc
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	12.15.0		608ad8a059f656cd55856d697950f7c3316655a9
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	12.16.0		ba36676102cdf4872c511d273c345dee8dfdd8a5
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	12.17.0		770f480036693d5c76abd07096ce907972c0b55a
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	12.17.1		d01ac43035a7450d6df9ffc69604420bb5802b4a
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	12.18.0		64dfa328cfdeb058e2ba424a28e9aa05217533ec
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	12.19.0		f3f21147c1526aa3f02ab7bc8aa7e9693c52b115
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	12.2.0		bf060f4e252a06f8e35ab436cbe99dca4fe24a37
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	12.20.0		827211ddbec3382202591b568d52d2a5a00c2ffa
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	12.21.0		45bb3acf7238f3c204be703bc07b8532a9f64625
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	12.22.0		befae6f1378ed485105bc66138da78201c998ea5
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	12.3.0		53b24f478fcdb7ae1720414b6b85995f27d0ddec
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	12.4.0		1c1cec8585ff82eed7b6e7bd099be42b0219f139
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	12.5.0		341f258266e44c71efb8b9a4236c7ac295cbb89e
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	12.5.0-1		170b68de5746275f5ec0209ee875e05318cf6ea6
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	12.6.0		b5de7bd89e7dfcc87b35e777e3ae49e1fa5e5b45
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	12.7.0		18edc6f23607baaeaa3548ea87a0e4e28234f1e9
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	12.8.0		fb25559f25afe937808cf6c49431c463277528fe
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	12.9.0		a9cf2502c0ccfa3c0ba74e7f277b1df8a31fe18b
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	13.0.0		c9874fedef15f370fb9c410e84d6962bbddbdfe8
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	13.1.0		a4e16826cd1ab8c8d732b3f47993d8de4ac63591
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	13.1.0-1		1f6d94907aa4473483a3873fe0e74b6f53501738
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	13.10.0		73ac9318fdaa24eedf0e69779398c8ed277ac2c5
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	13.11.0		8e535bd08010135876e38ee81ca172d8b0d1ad63
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	13.12.0		e174ed66297527718520cac76a689a69dd326ff1
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	13.13.0		152687cebca624883ed5c33916bea838b661731e
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	13.13.1		c9e987e8b474810a76752786d11692ff56b94052
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	13.14.0		6fdf4ab608e7db99cbbb9b8891d8088149fb75e9
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	13.15.0		c55e4d7019213eb779d4ad6175f5d13e076815a4
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	13.16.0		ad01d23d35391708d4d5cf073cd674713d1acf0e
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	13.17.0		d9ac3ccd2153ea882e29424af2090e7808046fef
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	13.18.0		82cd73fb9f10390787b87295513bcaa7e2f36921
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	13.19.0		9c165838de7f72ba1d3dbec973e6f41c6164c37c
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	13.2.0		01252737fcaa9f640efcc1293380e3121fa6bbbd
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	13.20.0		efa64dadf699b961a59758c5fd25d37ea9521c03
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	13.3.0		378e4ee1f5c63023d5df25000eb0cfcc9312cb72
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	13.4.0		37e715949197e04d3dac354cb4cbf47788336016
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	13.5.0		9f2154832747dd2c660297489237a6b0ee4a02ae
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	13.6.0		f1e1507ee8d0cce89abb57b3aa618e752d860113
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	13.7.0		0ce7215c537335babb665793be6e1cc1e61a1d28
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	13.8.0		903f828a289cafe30e708cfc6e7edb6d7333c342
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	13.9.0		e8d900422947ae917c8225093c660dfeb63a726e
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	14.0.0		dd8f04abeb9a4d2a58683fa6234c1b42c927b9b0
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	14.1.0		88906d3af0bb137b5c3a7bdac6a2f9e7597cc60b
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	14.10.0		dfc766c69fb78b1414ebf7e44b9ce7010b534819
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	14.10.1		63719bc8f8712bcb6d2bb68b6c7e7cb9433d874c
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	14.11.0		0227e58e6c548ff4cb6cbf5ce81f407aebc10632
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	14.12.0		aa97501b5e996536c306899d582437598999f1a4
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	14.13.0		4d9d98b0de7ab7080bcdc1e576e821510f0b87c4
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	14.14.0		4f5b90fab85e43b3bc54eb040aab28dcf64b1ad6
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	14.15.0		48d5895bb63f498916951a9c38cb2b1a0d29a5b2
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	14.16.0		074a8b9651f829b782c6f7d6bd935e788479770f
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	14.17.0		bfcf47caec96a56fb173d00c80ba9588b8543cb8
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	14.2.0		94dcf68c446814411b6ae810398671d2adb5e122
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	14.3.0		ff5bfc3d3cd06c2807e3cb0185579988d7a6a305
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	14.4.0		f8a03ac1856d08d1ab77bc5ac21da32c06cada94
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	14.5.0		5aa1509f11875d6b2a77214a78116fda4e40c530
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	14.6.0		d782278121656ec49c51caed4b2b38a437007366
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	14.7.0		a56b6b9be5a2d302234cf7b60b4064adb52510f9
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	14.8.0		66701efc0b86c540a04b4a3d324fc9f04ddc9002
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	14.9.0		1e005a98a0d4348c97fe4a8b029b3ebaa1010f32
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	15.0.0		5721ce7fe5728b4a6000ca8cf9d446ee647f0ff1
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	15.1.0		aea366d71a267f743be51a57cc7d42c0912a73fd
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	15.10.0		350063098686350cad3c9f0642a73ec666abec08
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	15.11.0		b663bf9196924be8157b370354214b56f69b3b5f
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	15.12.0		7db51790172677be726bf295135781f61a2121bb
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	15.2.0		d2e8c7bcac97ac5859211da8bba5318dae984a64
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	15.3.0		eb56fb3f3ecf967e2a1a6bf93e61fd808335d3d7
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	15.4.0		f278328fee18f0a8d343677f90f93dcf2aae45f1
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	15.5.0		09c78decae504e2f4258dac86d4cab5a3c09ba91
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	15.5.1		bbc7cd36e9835a23283126307803d53ef662232f
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	15.6.0		01f2263113d4f4a7b5954c566a89dba2a3d66e35
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	15.7.0		420965d734ee23daa619425ea4b2542c97cb7535
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	15.8.0		6c3b7bc7a51c2e8bfad96799d40eb1e03dc25a88
io.zonky.test.postgres	embedded-postgres-binaries-linux-amd64-alpine-lite	15.9.0		b8d5f196e0401454f6f9643206acd9578eb566b0
javax.servlet	jsp-api	2.0		e6def06602b51b1d9be51f6c3fcdf163ecd01644
javax.servlet	jsp-api	2.0.public_draft		N/A
me.frmr.newrelic	lift-newrelic_2.12	1.1.4		3a516a8f35cffa0759cdbbeb130493c55bdec0bb
me.frmr.newrelic	lift-newrelic_2.12	1.1.5		61edc335149760bc2f6f0d3035fbaa83067ba63b
me.frmr.newrelic	lift-newrelic_2.12	1.1.6		5699e70848af796a05ad5445106e17de98dc562e
me.loki2302	socialauth	0.0.1		2294ace31d6cfe5b6168417a938f336b058549f8
net.luohuasheng.framework.components	basic-framework-components-dbinfo	1.1.0		6825c49a65aa3f6faf3fa996d4bf5f1d723e11ca
org.apache.camel	camel-xml-jaxb-dsl-test	3.10.0		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.11.0		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.11.1		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.11.2		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.11.3		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.11.4		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.11.5		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.11.6		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.11.7		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.12.0		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.13.0		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.14.0		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.14.1		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.14.10		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.14.2		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.14.3		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.14.4		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.14.5		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.14.6		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.14.7		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.14.8		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.14.9		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.15.0		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.16.0		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.17.0		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.18.0		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.18.1		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.18.2		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.18.3		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.18.4		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.18.5		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.18.6		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.18.7		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.18.8		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.19.0		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.20.0		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.20.1		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.20.2		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.20.3		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.20.4		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.20.5		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.20.6		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.20.7		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.20.8		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.20.9		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.21.0		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.21.1		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.21.2		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.21.3		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.21.4		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.21.5		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.22.0		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.22.1		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.22.2		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.22.3		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.22.4		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	3.9.0		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.0.0		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.0.0-M1		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.0.0-M2		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.0.0-M3		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.0.0-RC1		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.0.0-RC2		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.0.1		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.0.2		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.0.3		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.0.4		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.0.5		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.0.6		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.1.0		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.10.0		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.10.1		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.10.2		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.10.3		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.10.4		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.11.0		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.2.0		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.3.0		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.4.0		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.4.1		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.4.2		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.4.3		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.4.4		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.4.5		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.5.0		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.6.0		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.7.0		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.8.0		N/A
org.apache.camel	camel-xml-jaxb-dsl-test	4.8.1		N/A
