africa.shuwari	version-zio-prelude_native0.5_3	0.5.0	-	265f4efeabe0ba0fad4cba7c52e11c063fbc069c
app.softwork	kotlinx-serialization-csv-iosarm64	0.0.3	0.0.3-metadata	29ba6248508bb9a49ac62e7c57d78a07408f5262
app.softwork	kotlinx-serialization-csv-iosarm64	0.0.4	0.0.4-metadata	7eb2c54a902771f84b90ea7cc1def8a299644184
app.softwork	kotlinx-serialization-csv-iosarm64	0.0.5	0.0.5-metadata	fb24348910466c0a0090e1765ce3736daa0490dc
app.softwork	kotlinx-serialization-csv-iosarm64	0.0.6	0.0.6-metadata	58c4d50c3c13c8b71b99d968fa44fffeb8ddfbd9
app.softwork	kotlinx-serialization-csv-iosarm64	0.0.7	0.0.7-metadata	a1942bff3c2b57eecccc9d7d3fda1c5613d9afda
app.softwork	kotlinx-serialization-csv-iosarm64	0.0.8	0.0.8-metadata	c6f3898c2d0cd1cdba9cd49205dccf3667a0b1d8
app.softwork	kotlinx-serialization-csv-iosarm64	0.0.9	0.0.9-metadata	5eeed49af20e0e9dd900d1e01537fc220269e7e0
app.softwork	ratelimit-watchosx64	0.2.1	0.2.1-metadata	f64515060eb25cd404380848cc93ea87c62f1eb0
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	1.1	pact-jvm-provider-sbt-1.1	9ea810b859865bfab835edcf510c2aa70ea6b787
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	1.10	pact-jvm-provider-sbt-1.10	3a61f2f237b4b4544dac8ba4130c18688f4ab17d
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	1.11	pact-jvm-provider-sbt-1.11	d80c9132b99724ffea922af9bde004bbf9e800bb
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	1.12	pact-jvm-provider-sbt-1.12	647876bd3eb2464d4eeb2b8d935549b6f0b98d27
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	1.2	pact-jvm-provider-sbt-1.2	4a0273fa302355459102f96baf7f7f188da25213
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	1.3	pact-jvm-provider-sbt-1.3	7f6658c022263072d52e9260276e8742e073819a
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	1.4	pact-jvm-provider-sbt-1.4	89b9e292f5428a0432a30ded5d6a0532e68fd44b
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	1.5	pact-jvm-provider-sbt-1.5	07ee6899b96125436343fde30744af97003cf966
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	1.6	pact-jvm-provider-sbt-1.6	9fb61d9b814bb6e6e13424f4c98da69ba0edac4a
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	1.7	pact-jvm-provider-sbt-1.7	b68a59873bf196ac5ef22b1d02c253e4f81d5fad
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	1.8	pact-jvm-provider-sbt-1.8	e069de08bd98c44cf71eb5b75361a2eb719dcc7f
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	1.9	pact-jvm-provider-sbt-1.9	3e739d2e85db6daca24c28a566ed8f5d22a33b93
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.0-RC1	pact-jvm-provider-sbt-2.0-RC1	c6ef43c048aae18a055f2f09990d3527728a3d29
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.0-RC3	pact-jvm-provider-sbt-2.0-RC3	7aa3e04a0a73429652cbcc928a5fcc2f9ad1e5f7
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.0-RC4	pact-jvm-provider-sbt-2.0-RC4	5d5ee66d271b11d15fcb39933a1360dc528ca997
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.0-RC5	pact-jvm-provider-sbt-2.0-RC5	56a656d18f1e830ab1e593956421a810b244d6cf
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.0.3	pact-jvm-provider-sbt-2.0.3	6f36fa7f9f2ac1a5cc2c342cf41c95cb264b8749
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.0.4	-	fb3269c3ba45963cb676b90507edc4eacd34500b
au.com.dius	pact-jvm-provider-sbt_2.10_0.13	2.0.4	pact-jvm-provider-sbt-2.0.4	b968e92b214dcc3e65e1434aa61dccc46347f9f1
