at.bestsolution.fx.test	at.bestsolution.fx.test.rcontrol.sample	0.0.1		968f23c73fcd9dc19ae069436e67cc24affa0544
com.github.music-of-the-ainur	http-almaren_2.11	0.1.3-2.4		7f068d03798206a9bc928b6795ca7e9dbdad3b3b
com.github.music-of-the-ainur	http-almaren_2.11	1.0.1-2.4		b76b8439f5ed09086192a93ebf8b764834c98f89
com.github.music-of-the-ainur	http-almaren_2.11	1.1.0-2.4		8deacde51f54df7cae439acd38cfdd875a060794
com.github.music-of-the-ainur	http-almaren_2.11	1.2.0-2.4		bf24b1d16da353c4e9a30d497294f7d64fc201ed
com.github.music-of-the-ainur	http-almaren_2.11	1.2.1-2.4		84333afec50d470156e5066812f1c6b97e29aa80
com.github.music-of-the-ainur	http-almaren_2.11	1.2.2-2.4		5c3ab4c5a1a36dd375c9d6645bce9abc13d1e635
com.github.music-of-the-ainur	http-almaren_2.11	1.2.4-2.4		fb664804a17999b52c8111d3dbe7600ee7e1ba02
com.github.music-of-the-ainur	http-almaren_2.11	1.2.6-2.4		e4aa1f37b92184a2562bf2140b1b46da6f95f292
com.github.music-of-the-ainur	http-almaren_2.11	1.2.7-2.4		2fe8fb6d82a87bb4e3bce36942e8d3697cedab23
com.github.music-of-the-ainur	http-almaren_2.11	1.2.8-2.4		aeb9dd145fb24bccfb1d44a6a4d14d2046d75d9f
com.github.scopt	scopt_2.10.0-RC3	2.1.0		5b013f2e5001e1f0c16993805e76c4c792dac6b8
com.jayway.restassured	scala-support	2.6.0		63adf0f7191fa50fef5ca57e4105d3e2e80493b2
com.jayway.restassured	scala-support	2.7.0		4c20daf3e0a773a544fafe41b4f1d39e89062399
com.jayway.restassured	scala-support	2.8.0		bdc297f71ca57e8c1ef748ea4d548ae00f5a6cf3
com.jayway.restassured	scala-support	2.9.0		5cd33893f3f70b25612a12e5d2ff06709a6655cb
com.kmwllc	lucille-tika	0.2.0		aa6594b168d27c981d949f24ca44328730ea2572
com.kmwllc	lucille-tika	0.2.1		9325dd644ee532d1f6067039c2ccc934d609beb8
com.kmwllc	lucille-tika	0.2.2		aaf9c26baa3a058308389f6744150c509245443a
com.kmwllc	lucille-tika	0.2.3		0709025e58cc2dde439812373337a07f614a54c9
com.kmwllc	lucille-tika	0.3.0		baa85343c9ae4ba61a6ada80ed05aa02828c923a
com.kmwllc	lucille-tika	0.4.0		a375937732934a69593b555cbdf6467b00067499
com.kmwllc	lucille-tika	0.4.1		ac794084d18b2ba4144b943a8522a46f0422dd02
com.kmwllc	lucille-tika	0.5.0		064710811b798861013b7594374629741d72c5fc
com.kmwllc	lucille-tika	0.5.1		9d5e3c4a1855f4c1f70baf1d5cd7a24a7ccf817b
com.kmwllc	lucille-tika	0.5.2		c169ff27e2d0b4c0215d9094c907adf26d823f96
com.kmwllc	lucille-tika	0.5.3		29588c70301eae59799ebd9b68d59c1f46dc2bd1
com.kmwllc	lucille-tika	0.5.4		9c0b16eb7c69bd53c6aa72f450261a607fc78898
com.kmwllc	lucille-tika	0.5.5		9298098367cd03e340ecf88fdab6c73625d5dfa0
com.kmwllc	lucille-tika	v0.2.4		d0934e3d86c6ce7ac30a19e6dc83d149a5874481
com.lightningkite.lightningserver	server-dynamodb	0.2.3		9627bc1a5e6734d955b8bd3691484c90b62848a3
com.lightningkite.lightningserver	server-dynamodb	0.9.0		41ba4d380b1ff60bd9988f298c30b9ba16a04d34
com.lightningkite.lightningserver	server-dynamodb	0.9.2		41647ea7f4bf499cf7ec1e19f78c14bf4b8e060a
com.lightningkite.lightningserver	server-dynamodb	0.9.3		938d03bc321d8f8a4e23372301bfceabd74f41a2
com.lightningkite.lightningserver	server-dynamodb	0.9.4		a2a47393fb712cc0ea1def7724149b150d1cc47f
com.lightningkite.lightningserver	server-dynamodb	0.9.5		9be1d27ca195c775eab3f18600ef5433f928a2cb
com.lightningkite.lightningserver	server-dynamodb	0.9.6		26b537a0d91e8f637c7807f3a900e17fd337e169
com.lightningkite.lightningserver	server-dynamodb	0.9.7		17ed4b1baf2a5f2e53f794e5a4cb24a7cf3fb50b
com.lightningkite.lightningserver	server-dynamodb	1.0.0		89b074495fb3f5b5d9360a0bcf89e2c3b47a8e05
com.monkopedia.ksrpc	ksrpc-ktor-websocket-shared-jvm	0.7.0		427539d999da358f3e5f4460d648fbcea8890f98
com.monkopedia.ksrpc	ksrpc-ktor-websocket-shared-jvm	0.7.1		427539d999da358f3e5f4460d648fbcea8890f98
com.monkopedia.ksrpc	ksrpc-ktor-websocket-shared-jvm	0.7.2		71915083694f1005d48eff8c490278ead5881bc3
com.monkopedia.ksrpc	ksrpc-ktor-websocket-shared-jvm	0.7.4		ff73f1ee7a7a2f22134a72a80b506ec638002d25
com.monkopedia.ksrpc	ksrpc-ktor-websocket-shared-jvm	0.8.0		f459e2bc54301f7a30a576394b3eb79a7a013188
com.monkopedia.ksrpc	ksrpc-ktor-websocket-shared-jvm	0.8.1		5edc8d66215c57887d6feee98bf7743c4b699537
com.monkopedia.ksrpc	ksrpc-ktor-websocket-shared-jvm	0.8.2		a958382b6ee068493ba4a0909683e9096714e5f2
com.monkopedia.ksrpc	ksrpc-ktor-websocket-shared-jvm	0.8.3		a958382b6ee068493ba4a0909683e9096714e5f2
com.monkopedia.ksrpc	ksrpc-ktor-websocket-shared-jvm	0.8.4		a958382b6ee068493ba4a0909683e9096714e5f2
com.monkopedia.ksrpc	ksrpc-ktor-websocket-shared-jvm	0.9.0		2233e024ba49feff9067a22515031661e4b8daee
com.monkopedia.ksrpc	ksrpc-ktor-websocket-shared-jvm	0.9.1		2233e024ba49feff9067a22515031661e4b8daee
com.monkopedia.ksrpc	ksrpc-ktor-websocket-shared-jvm	0.9.2		5b6d14d35eb10f7f2d8c22794861dd5f4944b5a2
com.monkopedia.ksrpc	ksrpc-ktor-websocket-shared-jvm	0.9.3		5b6d14d35eb10f7f2d8c22794861dd5f4944b5a2
com.monkopedia.ksrpc	ksrpc-ktor-websocket-shared-jvm	0.9.4		dbe147be74cca07b813a8f904bb5a281bd55bf62
com.monkopedia.ksrpc	ksrpc-ktor-websocket-shared-jvm	0.9.5		dbe147be74cca07b813a8f904bb5a281bd55bf62
com.netflix.conductor	conductor-test-harness	0.0.4		9a8541d95e9af94c7e44556661e1053cc26e7151
com.netflix.conductor	conductor-test-harness	1.10.0		a314c676dc150621ee6640630683d67d59a1fdef
com.netflix.conductor	conductor-test-harness	1.10.1		613c953e92003161f3e3d437b65a29ff13889882
com.netflix.conductor	conductor-test-harness	1.10.10		771881a9e25fbe2048f64fa9904c2732d2472c11
com.netflix.conductor	conductor-test-harness	1.10.11		4f90e95d228f4a062d52a977f964b50e762d1030
com.netflix.conductor	conductor-test-harness	1.10.12		6812614f5eb1800134e12368c06b11deaac0df1e
com.netflix.conductor	conductor-test-harness	1.10.13		6f3f17988ba3df2847803a22ac5d8498f2de6913
com.netflix.conductor	conductor-test-harness	1.10.14		329a0d568373b44aa0e9629a51fb79b434d094b4
com.netflix.conductor	conductor-test-harness	1.10.15		f735b72122bab82058ea9686ce7c947f0e0a0e5f
com.netflix.conductor	conductor-test-harness	1.10.16		6b351567135d20bc16ca483933307577c3a0a8b6
com.netflix.conductor	conductor-test-harness	1.10.17		4dd99f533df747eb99740e881b4f8b3fed6685ab
com.netflix.conductor	conductor-test-harness	1.10.18		6a0f7e08adcdff640760634c8408a24cf8dc6487
com.netflix.conductor	conductor-test-harness	1.10.3		839b216dc34a631d3ba7ddc00d8dcae59dbec73a
com.netflix.conductor	conductor-test-harness	1.10.4		6250e59246dacb407dfb433cb338d6b2d412ce7d
com.netflix.conductor	conductor-test-harness	1.10.5		a2bf0cf881aeb0c103ed82fcb7f62dd7dd996973
com.netflix.conductor	conductor-test-harness	1.10.6		77cd72047f2a0483c933c7a602b3d37f581b065c
com.netflix.conductor	conductor-test-harness	1.10.8		c1ce3a99b37ee00d4ae8d450757d1dd14cc19c86
com.netflix.conductor	conductor-test-harness	1.10.9		866dadd471f0278208dcb8d7feace09dd1b44d7e
com.netflix.conductor	conductor-test-harness	1.11.0		389e93a6170705a455f8649c106d0d5d003facc7
com.netflix.conductor	conductor-test-harness	1.11.1		944f3101b1e41d3b0ec8517af3f1ab4de0b36f15
com.netflix.conductor	conductor-test-harness	1.11.2		643c5961703e34c06e19bcba0d9f2b629dac920f
com.netflix.conductor	conductor-test-harness	1.11.3		b9064790b97a15c4389dd5a6de2e28151d591883
com.netflix.conductor	conductor-test-harness	1.11.4		ab006fca079fdcc2b21c3fbc95637f3b2d448f98
com.netflix.conductor	conductor-test-harness	1.11.5		4c69001d77e925260f9097870d03009f71bcd676
com.netflix.conductor	conductor-test-harness	1.12.0		5b089813f28047bfbcf89106cfa6f39dc42fbcdc
com.netflix.conductor	conductor-test-harness	1.12.1		7116bd305bfe67ed6d03896fff2b2299673beccb
com.netflix.conductor	conductor-test-harness	1.12.11		5933406a565f7f7cca5e4c7a95dbdaa7c30c237f
com.netflix.conductor	conductor-test-harness	1.12.12		dc151742e113f1c19d3cb9475407c125bc63b3db
com.netflix.conductor	conductor-test-harness	1.12.13		d6d48e64421ad76c1c7c5d8a388837ca309131b0
com.netflix.conductor	conductor-test-harness	1.12.2		684c00f83f11dcc2deda1cdd5edbcc48890dc7e4
com.netflix.conductor	conductor-test-harness	1.12.3		1977d20bbeb29f586ea1437e71103baab116c755
com.netflix.conductor	conductor-test-harness	1.12.4		1a8863314b59a397615a829cf823ec70d8a2f1ab
com.netflix.conductor	conductor-test-harness	1.12.4-rc1		3a3f1d9475bc8716d2ac1a38f887e8ccaf883e4d
com.netflix.conductor	conductor-test-harness	1.12.4-rc2		e1d777d9039c017e9d5fc743de7b02e79659d5c3
com.netflix.conductor	conductor-test-harness	1.12.4-rc3		c5b08def324588484a8f84572b934ac994a1355b
com.netflix.conductor	conductor-test-harness	1.12.5		3449abe1c5ef55c75a3b1e8fd1058e4c3621b6ba
com.netflix.conductor	conductor-test-harness	1.12.6		669528a3131ff60443033064ef7d4b9275871cd0
com.netflix.conductor	conductor-test-harness	1.12.7		85beda8345582539f22c04c47536563ef8714854
com.netflix.conductor	conductor-test-harness	1.12.7-beta		5041181dd61f7d46f834ca8bf48bc597d04125cc
com.netflix.conductor	conductor-test-harness	1.12.8		0516e83f8ba46dfa1017ab27ba64b9a7ea8f9c99
com.netflix.conductor	conductor-test-harness	1.12.9		30620b54a64a0029a900993f126e483f814d39c9
com.netflix.conductor	conductor-test-harness	1.5.0		c464ea7e678c1529918a091b2febfaf523b6305e
com.netflix.conductor	conductor-test-harness	1.5.1		67f64b87eb770c4d3891778d542db71a4612c9f0
com.netflix.conductor	conductor-test-harness	1.6.0		0268fb3c27afda149a9ec06faafcbc789eb93488
com.netflix.conductor	conductor-test-harness	1.6.0-rc1		6df80b857662349ba2124e874389499cfe1d3b15
com.netflix.conductor	conductor-test-harness	1.6.1		bf3adea2e9a8791b6d3f129109ab26d1182fe72e
com.netflix.conductor	conductor-test-harness	1.6.1-rc1		d8fc67b1ccbf95c3c16f03b447d8ad9cffda844e
com.netflix.conductor	conductor-test-harness	1.6.2-rc1		f50ba1653ff7b2ff33c891580394cb98a45cff58
com.netflix.conductor	conductor-test-harness	1.7.0		5dca2cdfed1342803436948f5c4f5a70fdc41d90
com.netflix.conductor	conductor-test-harness	1.7.0-rc1		64ad23a3ed5fc6841b359da74883601d25b353c0
com.netflix.conductor	conductor-test-harness	1.7.0-rc10		4a3cdc921ab09ba5224a49ed1ce5d10c51e2eea6
