com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.0.11.2		0670473a9cd5bab41b6f12c8ae94b8577e83d0e0
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.0.11.3		06552df77075b045c8e735f0623c5ce995a281ec
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.0.11.4		a3757a6d151929ff946d7936e546b0e317891525
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.0.12		68d2281ac11a1191a28632fd0e65cd9642bfb44d
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.0.13		f23917d4cc513a5b38800bb52edb1ee477adf235
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.0.14		21ae836f52a132e5ae0d821cfe6cc2f289e4d792
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.0.15		816ad1795a0620b5cb6ee47c5e6dd461f63c70dd
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.0.16		375d00800616353905f02d6dd939780a2d06e322
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.0.17		119b517455608ffaf6ec5ce321d9c0831dc1aaff
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.0.18		2ccb1d6884b55f1e28e38eaa72dc7ff5df3994f4
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.0.19		9ed63903bb62d7e235ea7c87b4b0b3e92837765e
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.0.20		eaed1dc7de020af08e8d633243d8ec9a8adeb2d7
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.0.21		cc3de029d88cd53691af358e136a67ed7a352632
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.0.22		27bda3bff1c4598891eb01306a859b9f627cc4f5
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.0.8		aedebe993a908833cace26ea8edee4286dd634aa
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.0.9		de7b1cd43642dbf77dfcb7f5f659f4c9b2d477c2
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.1.0		4e9398af43cedcac979b1ca491fa85a05e626e4e
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.1.1		828ef0a8a17fcd99f41fdb22f24935b8ceb028ba
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.10.0		f9ba23a6a230e20a6833faf4930cf773791bdb96
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.10.1		8082f7f8735a4877e6d424b5d58317401f76e323
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.10.2		ee3bcd204a4284835bbec86fb7da3da3cac8d368
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.10.3		ba31487b078a3c8471330facf9cecb9eb85f8e29
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.11.0		e44c2f232e178e06c336f4770c032476e3fa9f6a
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.11.1		4ced983773710b073b252389af4de884ef54bd11
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.11.2		d2ac136f3a6825a20d9a306fba4ef3223b58bec7
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.11.3		ebd74ab8a6d1fc62c9f00b22bacb7017d1ef899a
com.gitlab.cdc-java.perfs	cdc-perfs-ui-swing	0.2.0		4fbfc82314b6d51c9c7da52568a0064b3bd60375
