cc.rbbl.game-of-life	game-of-life-lib-native	0.2.7		N/A
dev.zio	zio-json-interop-scalaz7x_2.12	0.7.6		b6c9f0a2933d8b55a90a6a79fc4564eacca71cf2
dev.zio	zio-json-interop-scalaz7x_2.12	0.7.7		48f74b974b8367dbe4207d9719b95ff0423772af
dev.zio	zio-json-interop-scalaz7x_2.12	0.7.8		b3b620e3ac14198044623cd29684492190d5cebb
dev.zio	zio-json-interop-scalaz7x_2.12	0.7.9		0f90a6ffbc27a94420c34665d04b807974d4179b
eu.crydee.uima.opennlp.resources	en-ner-time	1.5		46ab5bcafe04f8bb0ffed42d8cf8a3dd226eaf6e
eu.crydee.uima.opennlp.resources	en-ner-time	1.5.0		26b951e7477ecca736067af4055720a44b77dfb3
io.github.BeardedManZhao	DiskMirrorBackEnd	2024.02.21		234f4ae3385ccd3b2e992d16d88315c61b1395ee
io.github.BeardedManZhao	DiskMirrorBackEnd	2024.03.25		a7c2a4cff396e385561ffaa6ad63328b2d10ad71
io.github.BeardedManZhao	DiskMirrorBackEnd	2024.03.26		2129fa655d0a11748703c5181d48d6a369c4817c
io.github.BeardedManZhao	DiskMirrorBackEnd	2024.04.12		3fc5eea85aad2d963845d5b553a9bcc2259c9058
io.github.BeardedManZhao	DiskMirrorBackEnd	2024.11.05		123bad8a3950936ae6787d9f83391a1ac03b0165
io.github.BeardedManZhao	DiskMirrorBackEnd	2024.12.03		0ce98a9181d9052084f3a4da74b2f81bd9d7479e
io.github.BeardedManZhao	DiskMirrorBackEnd	2024.12.05		94d889d663b25668419fbe312b6431fcc635c8a6
io.github.alexandrakomkova	validator-kmp	1.0.0		3a42a6266ac426d0892f8c6d6a6381fea6fb7251
io.github.alexandrakomkova	validator-kmp	1.0.1		852d634731d7a7413956e6fcf2114a97e4721925
io.github.alexarchambault	concurrent-reference-hash-map	1.0.0		6bfb9c5ff63279caf551dc14993d1ca11b9e5452
io.github.alexarchambault	concurrent-reference-hash-map	1.1.0		712a20adc0fd0fed951d863d1f28ed00c3b303b1
io.github.awxkee	jxl-coder	2.2.0		N/A
io.github.awxkee	jxl-coder	2.2.0	release-sources	f5459880d9097245fb62373186334dc988bc3b65
io.github.awxkee	jxl-coder	2.2.0-beta02		N/A
io.github.awxkee	jxl-coder	2.2.0-beta02	release-sources	f5459880d9097245fb62373186334dc988bc3b65
io.github.awxkee	jxl-coder	2.3.0		N/A
io.github.awxkee	jxl-coder	2.3.0	release-sources	df120b229f66d5703246d109660225d67637b66b
io.github.awxkee	jxl-coder	2.4.0		N/A
io.github.awxkee	jxl-coder	2.4.0	release-sources	75677ffeaccadaa04bc57c973042721c0d7c0380
io.github.awxkee	jxl-coder	2.4.0.1		N/A
io.github.awxkee	jxl-coder	2.4.0.1	release-sources	75677ffeaccadaa04bc57c973042721c0d7c0380
io.github.awxkee	jxl-coder	2.4.0.2		N/A
io.github.awxkee	jxl-coder	2.4.0.2	release-sources	75677ffeaccadaa04bc57c973042721c0d7c0380
io.github.awxkee	jxl-coder	2.4.0.3		N/A
io.github.awxkee	jxl-coder	2.4.0.3	release-sources	e2f36666bfc9953d4db38f1da312c42faf09c121
io.github.awxkee	jxl-coder	2.4.0.4		N/A
io.github.awxkee	jxl-coder	2.4.0.4	release-sources	e2f36666bfc9953d4db38f1da312c42faf09c121
io.github.awxkee	jxl-coder	2.4.0.5		N/A
io.github.awxkee	jxl-coder	2.4.0.5	release-sources	0a8ee7c9e876d39b1989f759f26dd5d880dc7525
io.github.awxkee	jxl-coder	2.4.0.6		N/A
io.github.awxkee	jxl-coder	2.4.0.6	release-sources	0a8ee7c9e876d39b1989f759f26dd5d880dc7525
io.github.awxkee	jxl-coder	2.4.0.7		N/A
io.github.awxkee	jxl-coder	2.4.0.7	release-sources	8bcef7292d9b7bd05b08f44842cc4ed55e5f47fa
io.github.chiraggupta95apr	tas-email-plugin	1.0		7e0a30411d8af26bfc10047e4664e78a643aebd4
io.github.copper-leaf	kudzu-core-iosarm64	1.0.0		N/A
io.github.copper-leaf	kudzu-core-iosarm64	2.0.0		N/A
io.github.copper-leaf	kudzu-core-iosarm64	2.1.0		N/A
io.github.copper-leaf	kudzu-core-iosarm64	2.2.0		N/A
io.github.copper-leaf	kudzu-core-iosarm64	2.3.0		N/A
io.github.copper-leaf	kudzu-core-iosarm64	2.4.0		N/A
io.github.copper-leaf	kudzu-core-iosarm64	2.5.0		N/A
io.github.copper-leaf	kudzu-core-iosarm64	2.6.0		N/A
io.github.copper-leaf	kudzu-core-iosarm64	2.6.0	metadata	1b2809f2482b8fd004a3f1c08f89833008db61b6
io.github.copper-leaf	kudzu-core-iosarm64	3.0.0		N/A
io.github.copper-leaf	kudzu-core-iosarm64	3.0.0	metadata	78b4cc73f29a5734bca19c8a5aa9bb6d7adb5cf9
io.github.copper-leaf	kudzu-core-iosarm64	3.1.0		N/A
io.github.copper-leaf	kudzu-core-iosarm64	3.1.0	metadata	239f686aa67c48a64c5030af06fe1120337c291d
io.github.copper-leaf	kudzu-core-iosarm64	4.0.0		N/A
io.github.copper-leaf	kudzu-core-iosarm64	4.0.0	metadata	4d55d99461c76dbc5f72a73e69f0b6609c3b368b
io.github.copper-leaf	kudzu-core-iosarm64	4.0.1		N/A
io.github.copper-leaf	kudzu-core-iosarm64	4.0.1	metadata	b53b7c37b52f0dd19707966ddc65f90099f4ed47
io.github.copper-leaf	kudzu-core-iosarm64	5.0.0		N/A
io.github.copper-leaf	kudzu-core-iosarm64	5.0.0	metadata	f50e13ab1ba11e876196344a91918714c91d6bd7
io.github.copper-leaf	kudzu-core-iosarm64	5.1.0		N/A
io.github.copper-leaf	kudzu-core-iosarm64	5.1.0	metadata	6f9b9ce90045581fa005dca7fb4947dcd695c572
io.github.copper-leaf	kudzu-core-iosarm64	5.2.0		N/A
io.github.copper-leaf	kudzu-core-iosarm64	5.2.0	metadata	f12af562815e33406796705c20f361aa60bf530e
io.github.copper-leaf	kudzu-core-iosarm64	5.3.0		N/A
io.github.copper-leaf	kudzu-core-iosarm64	5.3.0	metadata	d441fa18f34f01e5e044caed87b3c4fb34dcfa57
io.github.copper-leaf	kudzu-core-iosarm64	6.0.0		N/A
io.github.copper-leaf	kudzu-core-iosarm64	6.0.0	metadata	339cee5b4d7354c719edb9a945a051b6c16c6cc4
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-RC01		N/A
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-RC01	metadata	21089e8a80a5bfe137ae0464fcdad122eb53d973
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-RC02		N/A
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-RC02	metadata	7f9490fb1a53d46243d48a0f3e1196212009aad1
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-RC03		N/A
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-RC03	metadata	210f38133b68c74900ae4adee654e81df3f54747
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-alpha01		N/A
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-alpha01	metadata	7d7329f98e7951b2aee5efe2ff3a5087c361eba5
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-alpha02		N/A
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-alpha02	metadata	3e286e1965dc73a16eaa02f87324f6947f964cbf
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-alpha03		N/A
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-alpha03	metadata	daf6001b060f13b952fe7ced7d65f473991363f2
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-alpha04		N/A
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-alpha04	metadata	141ae0d1bee1a6bdedccaff1d045381bc323f8f2
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-alpha05		N/A
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-alpha05	metadata	dd1a4a4e1a672f5b876215167663e93eb34b5574
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-alpha06		N/A
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-alpha06	metadata	103c2ab2330f19a71d9d79c79716f06b6687799d
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-alpha07		N/A
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-alpha07	metadata	609312578c86278223cb282b045a77aed024d2eb
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-beata01		N/A
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-beata01	metadata	0eedc25416802c721d621d02820889af6f5c7525
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-dev01		N/A
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-dev01	metadata	6df1411e056aef713d926ce368a1ed1771936ac4
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-dev02		N/A
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-dev02	metadata	6df1411e056aef713d926ce368a1ed1771936ac4
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-dev03		N/A
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-dev03	metadata	6df1411e056aef713d926ce368a1ed1771936ac4
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-dev04		N/A
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-dev04	metadata	009434b11332bba90bd360294a053922b24530ad
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-dev05		N/A
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-dev05	metadata	d05ae38f93ec51ad4cb8d48c370ec2f4fb38891c
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-dev06		N/A
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-dev06	metadata	509717f5e1162d19ebc7bb5f4c6ecf239a6b39b3
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-dev07		N/A
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-dev07	metadata	45041959525a76865c7d224b8921cf80e8118311
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-dev08		N/A
io.github.izzzgoy	event-thread-core-iosx64	0.0.1-dev08	metadata	28f1ba8d2661640fe1249c6f17cf1cd27c4bb210
io.github.izzzgoy	event-thread-core-iosx64	0.1.0		N/A
io.github.izzzgoy	event-thread-core-iosx64	0.1.0	metadata	eb6fe4fe07a74b3ddd8f88768cc538d4e1b87e3a
io.github.izzzgoy	event-thread-core-iosx64	0.1.1		N/A
io.github.izzzgoy	event-thread-core-iosx64	0.1.1	metadata	38c8ca098473efff629ef2419f1387e3d0c38af1
io.github.izzzgoy	event-thread-core-iosx64	0.1.2		N/A
io.github.izzzgoy	event-thread-core-iosx64	0.1.2	metadata	3c56e9125a19e2060bc957c708221f8d444e0552
io.github.izzzgoy	event-thread-core-iosx64	0.1.3		N/A
io.github.izzzgoy	event-thread-core-iosx64	0.1.3	metadata	801b117e53838b4c40c9e631d4f5401a5275cda4
io.github.izzzgoy	event-thread-core-iosx64	0.1.4		N/A
io.github.izzzgoy	event-thread-core-iosx64	0.1.4	metadata	5bdddae6180dc8fbe1855c6708f5956c4aca8864
io.github.izzzgoy	event-thread-core-iosx64	0.2.0		N/A
io.github.izzzgoy	event-thread-core-iosx64	0.2.0	metadata	d0b78e9f3f0e3746fcc323697b145bf61abab354
io.github.izzzgoy	event-thread-core-iosx64	1.0.0-alpha01		N/A
io.github.izzzgoy	event-thread-core-iosx64	1.0.0-alpha01	metadata	bf05a5c23a3054f712635f922a5101600035cf8f
io.github.izzzgoy	event-thread-core-iosx64	1.0.0-alpha02		N/A
io.github.izzzgoy	event-thread-core-iosx64	1.0.0-alpha02	metadata	2ae00fba964aa51135fa51cc154521c56d7e03f6
io.github.izzzgoy	event-thread-core-iosx64	1.0.0-alpha03		N/A
io.github.izzzgoy	event-thread-core-iosx64	1.0.0-alpha03	metadata	0d5eb2f26d5fd95e908d1ff9a2f7c6aa58e1951c
io.github.izzzgoy	event-thread-core-iosx64	1.0.0-alpha04		N/A
io.github.izzzgoy	event-thread-core-iosx64	1.0.0-alpha04	metadata	1236970c8080c71082a1d320257f9b97ef6cc988
io.github.izzzgoy	event-thread-core-iosx64	1.0.0-alpha05		N/A
io.github.izzzgoy	event-thread-core-iosx64	1.0.0-alpha05	metadata	8d2267c3f40bdaa7d14336863a623f2631e7a6c8
io.github.izzzgoy	event-thread-core-iosx64	1.0.0-alpha06		N/A
io.github.izzzgoy	event-thread-core-iosx64	1.0.0-alpha06	metadata	8b7f9026f2ee7a264466593f3141e4da8428f81f
io.github.izzzgoy	event-thread-core-iosx64	1.0.0-alpha07		N/A
io.github.izzzgoy	event-thread-core-iosx64	1.0.0-alpha07	metadata	2e016e2c25aa4615ce4e3d5b04781227c0a2bb19
io.github.izzzgoy	event-thread-core-iosx64	1.0.0-alpha08		N/A
io.github.izzzgoy	event-thread-core-iosx64	1.0.0-alpha08	metadata	6dab8dce8873ffd75e2b3dcf416c9ffcafa7a100
io.github.izzzgoy	event-thread-core-iosx64	1.0.0-alpha09		N/A
io.github.izzzgoy	event-thread-core-iosx64	1.0.0-alpha09	metadata	cff6e880cccd45ebb251e4781c76f77308334b06
io.github.izzzgoy	event-thread-core-iosx64	1.0.0-alpha10		N/A
io.github.izzzgoy	event-thread-core-iosx64	1.0.0-alpha10	metadata	5f0b487696462f1f83e87baf39fb106a25f03286
io.github.izzzgoy	event-thread-core-iosx64	1.0.0-alpha12		N/A
io.github.izzzgoy	event-thread-core-iosx64	1.0.0-alpha12	metadata	d010ac639f790cdff3495f6b8110a2621b4be28f
io.github.izzzgoy	event-thread-core-iosx64	1.0.0-alpha13		N/A
io.github.izzzgoy	event-thread-core-iosx64	1.0.0-alpha13	metadata	09bd6481fd70a66b1ae937905de1e1c9040efa96
io.github.izzzgoy	event-thread-core-iosx64	1.0.0-alpha14		N/A
io.github.izzzgoy	event-thread-core-iosx64	1.0.0-alpha14	metadata	7c43070f8e326b02f0100c8009954211636d1475
io.github.kamilszewc	totp	0.1		e7858d6c8f4ff393d425b5c1b2088e43588928ae
io.github.kamilszewc	totp	0.2		dbdde188d0ed19e0c66e99463efea49a6a3d2b2a
io.github.kamilszewc	totp	1.0		1131e20eeb9111526f6e90de779b4463c0d61b3a
io.github.kamilszewc	totp	1.1		0f5a746cbbca9de83264053bf257b204d15cffa8
io.github.kamilszewc	totp	1.2		b9340153ff918ddc03b1913c2c2c55fccf17fe7b
io.github.kamilszewc	totp	1.3		d2bf02e9e3566ce8749331665d9a67a0ad5ddddb
io.github.kamilszewc	totp	1.4		c3a1840cffc8788181db9a873ffaa0a607a1cdfe
io.github.kamilszewc	totp	1.5		0f3e58e81c7b7b1fcc4c3cc7cfa0133b8b318af2
io.github.kamilszewc	totp	2.3		65533cdc5cecbf86a8b3b11cb05d7bef6573759f
io.github.kamilszewc	totp	3.0		49091a3aaf73a7244fb5dd79b2888aab855f4088
io.github.kamilszewc	totp	5.0		bd9400cdd5277034811495b690d735a7966606b5
io.github.kamilszewc	totp	6.0		a13f53e1860440314743016512b4641aef297773
io.github.kamilszewc	totp	6.1		63cd04b2d5aa5e6d37492fe660819c54d3543647
io.github.leedongjun1	dj-pagination	1.0.0		18ea4576200175a727453fc18a061b2a8f7f56ea
io.github.majianzheng	jarboot-client	2.3.0		7e7909db6aab150023d4f13d4a350b58c8bd9da2
io.github.majianzheng	jarboot-client	2.3.1		ce0abffca6f5c5aef5bcc76d5ae1b3090f7d7247
io.github.pablobastidasv	kc	1.3		62cba8297296f605dde1bd834ba53b02efdf7e27
io.github.qsy7.java.examples	java-agent	0.1.2		a8bbd3a3a22fd5a1359b20ff99877dfdd355009d
io.github.qsy7.java.examples	java-agent	0.1.2	shaded	ff5082959d32d46842f91614ed3bf34802f4e343
io.github.qsy7.java.examples	java-agent	0.3.2		78cd126fe6d14fcef15769d032681f272999858d
io.github.qsy7.java.examples	java-agent	0.3.2	shaded	4314033ade6f67aa955e87e5fdbd3d8ffd93f939
io.github.qsy7.java.examples	java-agent	0.3.3		88b96da9dfe45c1ec1302e944b2646986a4c2b46
io.github.qsy7.java.examples	java-agent	0.3.3	shaded	7615511cf4839b3fcb7c238b21734e63bfd31560
io.github.rw00	rw-spring-boot-starter	0.0.1		6684cf5177554d64f8a119f8526bf130fc01f305
io.github.weihubeats	mq-idempotent-spring-boot-starter-rabbitmq	1.1.6		21bd707c5dd819b61aab716fc2a412f9a7ae0a8f
io.github.windedge.table	table	0.1.0		1ff38c02be4a162420a1757c6d55efb6414dc3f3
io.github.windedge.table	table	0.1.1		93b4c3d94738eaa4fb328b8f57ae1b88a74e0d19
io.github.windedge.table	table	0.1.10		1af9de4962ba5d3b4c1fa1f8313bc3cb1674b0db
io.github.windedge.table	table	0.1.3		93b4c3d94738eaa4fb328b8f57ae1b88a74e0d19
io.github.windedge.table	table	0.1.6		c8d1069952ab356b716b2c3c6797b14bd4479d05
io.github.windedge.table	table	0.1.7		c8d1069952ab356b716b2c3c6797b14bd4479d05
io.github.windedge.table	table	0.1.8		eb89c092112c1d3e6c2611eb8d54eb47d5f4c6b5
io.github.windedge.table	table	0.1.9		8cdbc089bd1f545666f15c8f36287390d8494955
io.github.woody230.ktx	compose-ui-intl-android-debug	5.0.0		N/A
io.github.woody230.ktx	compose-ui-intl-android-debug	6.0.0		N/A
io.github.woody230.ktx	compose-ui-intl-android-debug	6.1.0		N/A
io.github.woody230.ktx	compose-ui-intl-android-debug	6.2.0		N/A
io.github.woody230.ktx	compose-ui-intl-android-debug	6.3.0		N/A
io.github.woody230.ktx	compose-ui-intl-android-debug	6.4.0		N/A
io.github.woody230.ktx	compose-ui-intl-android-debug	6.5.0		N/A
io.github.woody230.ktx	compose-ui-intl-android-debug	6.6.0		N/A
io.github.woody230.ktx	compose-ui-intl-android-debug	7.0.0		N/A
io.holixon.axon.testing	axon-testing-jgiven-core	0.0.1		5220f2d1076d9af2af38b371756fbbb018626882
io.holixon.axon.testing	axon-testing-jgiven-core	0.0.2		5e7489e89d8fdb45e0b1c36ae6994d81b43c2a63
io.holixon.axon.testing	axon-testing-jgiven-core	0.1.0		e9a4a5f590b2f946b989989cd312bfdc796f1af9
io.holixon.axon.testing	axon-testing-jgiven-core	0.2.0		b8845c6a883a890df8444b298edb0267f5657b3f
io.holixon.axon.testing	axon-testing-jgiven-core	0.2.1		89c7262e54d79d730862f48771c93edb2a58ec68
io.holixon.axon.testing	axon-testing-jgiven-core	0.3.0		1bdcf797db56833821dae1e47bc69c4cd560a725
io.holixon.axon.testing	axon-testing-jgiven-core	0.4.0		837be488a0f3156c41dea622c4a29fb94ca6086d
io.holixon.axon.testing	axon-testing-jgiven-core	4.7.4.0		1896fa4de1f4f314f5dd095b8e46dd5dcd689ee7
io.holixon.axon.testing	axon-testing-jgiven-core	4.8.0.0		5dd34660391d29c5d55c00510c4ebee06c3411d7
io.holixon.axon.testing	axon-testing-jgiven-core	4.8.0.1		de08d4d74a517842bd00c5706398942f20e65f69
io.holixon.axon.testing	axon-testing-jgiven-core	4.8.0.2		8c6c1e8c139aba3354362007efd6ae826b5b4acd
io.holixon.axon.testing	axon-testing-jgiven-core	4.8.0.3		8a6e74efb0a1a90a2bceba7627977e7bdb9577fb
io.holixon.axon.testing	axon-testing-jgiven-core	4.9.0.0		d6bb4207be5da0993bf590426a6fb08a78347ad8
io.iteratee	iteratee-monix_sjs0.6_2.11	0.10.0		1877305f879e57beb3f60bf53a98f6ea7d93c457
io.iteratee	iteratee-monix_sjs0.6_2.11	0.11.0		3da5fdef98121a75f2be8d12895dbdcefb4ba91c
io.iteratee	iteratee-monix_sjs0.6_2.11	0.12.0		c16f76fe2b8ec57a19e0f711f8e10b2b4262260a
io.iteratee	iteratee-monix_sjs0.6_2.11	0.13.0		fb8492d69b85a6700672efbc96256e9e0f6a2665
io.iteratee	iteratee-monix_sjs0.6_2.11	0.14.0		17822c8fd81d82e80c9ce64c188fd7d6e7447dd9
io.iteratee	iteratee-monix_sjs0.6_2.11	0.15.0		8f858e351490a1f6886738de14599272d379b1c1
io.iteratee	iteratee-monix_sjs0.6_2.11	0.16.0		5794a2ca082e0ef9115e2983539fe2c37194e10f
io.iteratee	iteratee-monix_sjs0.6_2.11	0.17.0		5089ffa030fdf09dbd6076e96c9721b13deb8dfd
io.iteratee	iteratee-monix_sjs0.6_2.11	0.18.0		8dc8ecf0a035303c693ec4300eec2831378940b2
io.iteratee	iteratee-monix_sjs0.6_2.11	0.18.0-M1		4b9994b2da54b809681ca038b8e720a669f1fb56
io.iteratee	iteratee-monix_sjs0.6_2.11	0.18.0-M2		3a01c78e2a6fc85b0b0e35f677812eff574c919d
io.iteratee	iteratee-monix_sjs0.6_2.11	0.18.0-M3		ee568c644c53c5e90baa0472d35752eb8205524d
io.iteratee	iteratee-monix_sjs0.6_2.11	0.5.0		ce1a580e0101fb5ee8d57b0c9d571700b274374c
io.iteratee	iteratee-monix_sjs0.6_2.11	0.6.0-M1		9e6ecbe355431039fc65a05c51afe578538c62df
io.iteratee	iteratee-monix_sjs0.6_2.11	0.6.1		39303c1216ae5e2158dcf580d1248e219487d7c5
io.iteratee	iteratee-monix_sjs0.6_2.11	0.7.0		3075c904a8f0867a1803b09d428ada6e17223831
io.iteratee	iteratee-monix_sjs0.6_2.11	0.7.1		0466ac96f659f4fe340de3cd99484e616c7c5467
io.iteratee	iteratee-monix_sjs0.6_2.11	0.8.0		0d5b25ab61a5d0d8f41f13f16e1cd7c6577be26b
io.iteratee	iteratee-monix_sjs0.6_2.11	0.9.0		900b3a7f34d515c6ff2375d91b658b336ef3623c
io.ktor	ktor-server-servlet	1.0.0		eb7f61c771544da4de6a2b13ffd7bf312b48fa40
io.ktor	ktor-server-servlet	1.0.0-rc		657fa5b1a6fb3638316f760d7940c852de8f45b9
io.ktor	ktor-server-servlet	1.0.1		52f308850d2309c60f9180920b205193e3135beb
io.ktor	ktor-server-servlet	1.1.0		e136bc05a63243bfd5b276e33a4570e229d3f660
io.ktor	ktor-server-servlet	1.1.1		3fa4b769558709b537af04b9a7f7f44a1d36e652
io.ktor	ktor-server-servlet	1.1.2		843d2bfa22dbca72257bec2e073f75194c26540f
io.ktor	ktor-server-servlet	1.1.3		ba1928e0fb7095d22605594c09fad5bbf2ed3989
io.ktor	ktor-server-servlet	1.1.4		4e5ca2d1a3b9f210fba4d9dfd3c77cea2436c017
io.ktor	ktor-server-servlet	1.2.0		057f280cf9c1070415d4ba116bc45d7136454551
io.ktor	ktor-server-servlet	1.2.0-rc		7822dc4bc88e2d68493ca6dafebf4795bad4b8ba
io.ktor	ktor-server-servlet	1.2.0-rc2		517a66e2695087f3968155aeb0fb32c3d7ef0490
io.ktor	ktor-server-servlet	1.2.1		b10dcf9d736d2231555d720ddeea7aa7b25a4e2b
io.ktor	ktor-server-servlet	1.2.2		95b6aaa2dabce30a9cd80c6abfa7a25a0a9c95fd
io.ktor	ktor-server-servlet	1.2.3		0d42561c7f982d73a2c7b451ccbecbbae1b59b32
io.ktor	ktor-server-servlet	1.2.3-rc		c1843f3541e54d6ba92f41a4acc136e5484cfb22
io.ktor	ktor-server-servlet	1.2.4		ab564c00aed4a3fae2303a0e5470ec9d5666ab7b
io.ktor	ktor-server-servlet	1.2.5		34f238cc0652d3de510c783f021c1b61ea2720d0
io.ktor	ktor-server-servlet	1.2.6		d2c2f7cfe6e6a1fe5f6c22ab26228a2f705e61f9
io.ktor	ktor-server-servlet	1.3.0		388989571cdb78839d275b6fec817277fc07ea94
io.ktor	ktor-server-servlet	1.3.0-rc		bb9f92450011890932b79890d43695ac46e64897
io.ktor	ktor-server-servlet	1.3.0-rc2		5bed18496b45ee2305268bbe7931cf8ba9481fba
io.ktor	ktor-server-servlet	1.3.1		312f1bf72284987dd387534014e9089e61531a25
io.ktor	ktor-server-servlet	1.3.2-1.4.0-rc		c8b5caf1b4ceee96e212f440ebca9a2457acda0d
io.ktor	ktor-server-servlet	1.4.0		498ba8802a8c41b6cba124b85c8550f22ef3c369
io.ktor	ktor-server-servlet	1.4.1		36837ff6c4ac59521195a916db34166e7bc51e90
io.ktor	ktor-server-servlet	1.4.2		b7a0b47efb565e2092958dd3d22e2c3e9985271f
io.ktor	ktor-server-servlet	1.4.3		82dbcd2b686f796dff2937b87dd0c10bf7ecf4be
io.ktor	ktor-server-servlet	1.5.0		62a0435b68b5c0f50a34aed9bea1c8a7564481c7
io.ktor	ktor-server-servlet	1.5.1		c5d0e4e023471d060facb13620bdbb35bf80c05d
io.ktor	ktor-server-servlet	1.5.2		acce05324efafde28cf14d638486a3700b94894a
io.ktor	ktor-server-servlet	1.5.3		1150cb45130bdd196e7f2dffc892ec8b65046bf7
io.ktor	ktor-server-servlet	1.5.4		ea7c8a76af38e40b9abbc1d0f463115c21336675
io.ktor	ktor-server-servlet	1.6.0		59b7c9e7b7611289fd02024d0fdbd73a0abf2705
io.ktor	ktor-server-servlet	1.6.1		cae091c231b1b0c560a7cc61616d2f3f0c2af049
io.ktor	ktor-server-servlet	1.6.2		99d2587ba694e5ca8f78b09d79ca824c63e19aca
io.ktor	ktor-server-servlet	1.6.3		48952cc6537684a9ddb81ef0aa0675bfdc0daa84
io.ktor	ktor-server-servlet	1.6.4		e67902cbab674e0ab60d2335310f88e0224e3b1a
io.ktor	ktor-server-servlet	1.6.5		f9bc9ab2894aa36f907d47439d7bc85b6122cebf
io.ktor	ktor-server-servlet	1.6.6		c8db9fbc4f77e720b14661579acac9f16f0cd283
io.ktor	ktor-server-servlet	1.6.7		37935f4886526b51ef646bdbb51df61c769c5b46
io.ktor	ktor-server-servlet	1.6.8		069e9c53fe7363397320cdf20f039ae4af2b60a4
io.ktor	ktor-server-servlet	2.0.0		a1dd07c2790bb34ce1a30db96945f1328a7c7c1c
io.ktor	ktor-server-servlet	2.0.0	all	aa0a0d0a2a7e45f3795485e867698b569a69167a
io.ktor	ktor-server-servlet	2.0.0-beta-1		a863dfd8bbd5d81d4317aa8205189506f2e18125
io.ktor	ktor-server-servlet	2.0.0-beta-1	all	bbae46f165d43e90f797a94a9cc11487a4c4e4ea
io.ktor	ktor-server-servlet	2.0.0-rc-1		a9f3c65c2ca7273a47c8c6496f92e09461b06e9e
io.ktor	ktor-server-servlet	2.0.0-rc-1	all	ee0f6476d645c5365951477edb160ce906ccda4c
io.ktor	ktor-server-servlet	2.0.1		dc6ffa2044c4a5aecebea5087453800e81461292
io.ktor	ktor-server-servlet	2.0.1	all	12ae97f97d37f20d6a71f681046bac68640e730c
io.ktor	ktor-server-servlet	2.0.2		33085705291eee12933e52b3f78c1e6a92a50d83
io.ktor	ktor-server-servlet	2.0.2	all	e068f5e6d618b8fb4e26a850ae9e6e37407ac511
io.ktor	ktor-server-servlet	2.0.3		9fea501503c2293727e7ba37ba2c9577892a482b
io.ktor	ktor-server-servlet	2.0.3	all	e4123f0b9e2c21eb210568f01eb038ae8dc2df66
io.ktor	ktor-server-servlet	2.1.0		515bdac3c86eaad86d43daeec350b22d08b09c91
io.ktor	ktor-server-servlet	2.1.0	all	b8fc11137ac4c6dad04b3b07b2e3130ff6b41468
io.ktor	ktor-server-servlet	2.1.1		e61670da96765476526f9678daffd371ce7fbabb
io.ktor	ktor-server-servlet	2.1.1	all	7fb26ca31e8f9dd66e528401770610e15d6c56f3
io.ktor	ktor-server-servlet	2.1.2		d5a472b082566116db142676e479ef7a5d8b0369
io.ktor	ktor-server-servlet	2.1.2	all	c79fb9d862c66d1643806ac293ae4e98f0b7ffcd
io.ktor	ktor-server-servlet	2.1.3		92405b0780f3e7740e2bd6f5cbf32275291f0c22
io.ktor	ktor-server-servlet	2.1.3	all	85f26916d8bc689e92d72a5c43be638b56edd142
io.ktor	ktor-server-servlet	2.2.0		be3dfea69a4ec8eb42791dce9bd0ca1e98f68ca1
