biz.netcentric.aem.ops.healthchecks.migration	hc-migration-better-deployment-handling-package	1.0.0		N/A
com.twitter	scrooge-core_2.10	3.20.0		7897268f608f9542cc7eb4f696d9bdd23194e325
com.twitter	scrooge-core_2.10	3.4.0		1995e0b002d124dd79151519bc59a08772e361bb
com.twitter	scrooge-core_2.10	3.5.0		68f2d46cddaade8f25674943f81443ef99f09060
com.twitter	scrooge-core_2.10	3.6.0		1ca5be8847823bfaff4780f4eb16b38456b9cebe
com.twitter	scrooge-core_2.10	3.7.0		0d282bfd275ad7eed25d4464b1acb597adc3787c
com.twitter	scrooge-core_2.10	3.8.0		fdc143d3be118e43c526328ed7af59a9b7de7fd2
com.twitter	scrooge-core_2.10	3.9.0		2e1043718507629334d96cc0499d6eaceb2669ba
com.twitter	scrooge-core_2.10	3.9.1		ce4957755060ccc23eb510f6e3569aebd39fc6ae
com.twitter	scrooge-core_2.10	3.9.2		83297cfd821280fabf3e47ed175db2619c80b8e2
com.twitter	scrooge-core_2.10	4.0.0		f1957ae2df7ea623edecb74f6355d6cd6efd90bf
com.twitter	scrooge-core_2.10	4.1.0		47885c3362e2d5250abf0d3ba7e45796d61d82a3
com.twitter	scrooge-core_2.10	4.2.0		b80cc95e17d90a1edbb3f60b22458d4faa8d4d40
com.twitter	scrooge-core_2.10	4.3.0		5feb76d02ce3cf1d0490381f11210dd17ae55462
com.twitter	scrooge-core_2.10	4.5.0		d38ffa33f27f7d302518bb2639ac49bd26b5de2c
com.twitter	scrooge-core_2.10	4.6.0		e96b393d18a8fdb743314b6041186e9b13ececde
com.twitter	scrooge-core_2.10	4.7.0		55ec86e5a40f2a0b57bb1f557fb9ee67d7f31b81
com.viliussutkus89	samplelib	0.0.1		N/A
com.viliussutkus89	samplelib	0.0.2		N/A
com.viliussutkus89	samplelib	0.1.0		N/A
com.viliussutkus89	samplelib	1.0.0		N/A
com.viliussutkus89	samplelib	1.0.1		N/A
com.viliussutkus89	samplelib	1.0.10		N/A
com.viliussutkus89	samplelib	1.0.2		N/A
com.viliussutkus89	samplelib	1.0.3		N/A
com.viliussutkus89	samplelib	1.0.4		N/A
com.viliussutkus89	samplelib	1.0.5		N/A
com.viliussutkus89	samplelib	1.0.6		N/A
com.viliussutkus89	samplelib	1.0.7		N/A
com.viliussutkus89	samplelib	1.0.8		N/A
com.viliussutkus89	samplelib	1.0.9		N/A
com.viliussutkus89	samplelib	1.1.0		N/A
com.viliussutkus89	samplelib	1.1.1		N/A
com.viliussutkus89	samplelib	1.1.2		N/A
com.viliussutkus89	samplelib	1.1.3		N/A
com.viliussutkus89	samplelib	1.1.4		N/A
com.viliussutkus89	samplelib	1.1.5		N/A
com.viliussutkus89	samplelib	1.1.6		N/A
com.viliussutkus89	samplelib	1.1.7		N/A
com.viliussutkus89	samplelib	1.1.8		N/A
com.viliussutkus89	samplelib	1.2.0		N/A
com.viliussutkus89	samplelib	1.3.0		N/A
com.viliussutkus89	samplelib	1.4.0		N/A
com.viliussutkus89	samplelib	2.0.0		N/A
com.viliussutkus89	samplelib	2.1.0		N/A
com.viliussutkus89	samplelib	2.2.0		N/A
de.adorsys.opba	opba-api-security-signer-generator-impl	0.20.0.2		e76b18990348f662fe793c73d46aed477008db07
de.adorsys.opba	opba-api-security-signer-generator-impl	0.20.0.2-RC1		271bfcb45fdd7d39207755b1289a516cbce4c024
de.adorsys.opba	opba-api-security-signer-generator-impl	0.30.0.1		6e53d82b4a519be7c4eb9fa87e26a1579713ab9d
de.adorsys.opba	opba-api-security-signer-generator-impl	1.0.0		b661e54a065180fd5f5d8d20907fd1b10c1e844f
de.averbis.textanalysis	parent-pom-typesystems	3.21.0		N/A
de.averbis.textanalysis	parent-pom-typesystems	3.21.1		N/A
de.averbis.textanalysis	parent-pom-typesystems	3.21.9		N/A
de.averbis.textanalysis	parent-pom-typesystems	3.22.0		N/A
de.averbis.textanalysis	parent-pom-typesystems	4.0.0		N/A
de.averbis.textanalysis	parent-pom-typesystems	4.0.1		N/A
de.averbis.textanalysis	parent-pom-typesystems	4.1.0		N/A
de.averbis.textanalysis	parent-pom-typesystems	4.2.0		N/A
de.averbis.textanalysis	parent-pom-typesystems	4.2.1		N/A
de.cau.cs.kieler.klighd	de.cau.cs.kieler.klighd.ide	2.3.0.v20230606		bb798cfe18318e3e30d12dca2048a52ddbd05474
de.cau.cs.kieler.klighd	de.cau.cs.kieler.klighd.ide	3.0.1.v20240410		68f12459436a242b52ce71a22f18fdd1f39fadd2
de.cau.cs.kieler.klighd	de.cau.cs.kieler.klighd.ide	3.0.2.v20240507		27e5b98cd13cb447c49ba532bc19c54cf57eecda
de.cau.cs.kieler.klighd	de.cau.cs.kieler.klighd.ide	3.1.0.v20250428		a54489a66614ea6bb49afa39ad3a21932aef9130
de.sciss	optional_2.13.0-M5	1.0.0		b3965c8ba264026c2b55c1bad456770f560af817
dev.fitko.fitconnect.sdk	core	1.0.0		b79be4a1e9b09a2341c6a738c35650e1e530e149
dev.fitko.fitconnect.sdk	core	1.0.0-rc.1		f7b56deba5ab7dbe4d4a7317a7b0b6c383631e78
dev.fitko.fitconnect.sdk	core	1.0.0-rc.2		53662aa707b6b735d80ae1cc8846f2292c68e207
dev.fitko.fitconnect.sdk	core	1.1.0-rc.0		c222d894d351bae48cd53dc8a143960435eca8cc
dev.fitko.fitconnect.sdk	core	1.1.0-rc.1		d91830e76d400264e889d0a9ed5d0af2c0c60e5a
dev.fitko.fitconnect.sdk	core	2.0.0		78d0c0e9289e1ac63f942d5dbc701fe8c9bee19c
dev.fitko.fitconnect.sdk	core	2.0.1		15ee5752917ba359718874aaa62d8eaa115ec21e
dev.fitko.fitconnect.sdk	core	2.0.2		93fc2c44c0bbfdea1a9e48fb0bc0ba93af0a6ffe
dev.fitko.fitconnect.sdk	core	2.0.3		e4487a46351699ac1ed126e80bb213a6be18db8b
dev.programadorthi.routing	kodein	0.0.19		66e639de941895737de0943f9d7261739a13a3c9
dev.programadorthi.routing	kodein	0.0.20		66e639de941895737de0943f9d7261739a13a3c9
dev.programadorthi.routing	kodein	0.0.21		66e639de941895737de0943f9d7261739a13a3c9
dev.programadorthi.routing	kodein	2.0.0-alpha01		dd99b91ef6dcdd9527122cfad41717498dc522f3
dev.programadorthi.routing	kodein	2.0.0-alpha02		dd99b91ef6dcdd9527122cfad41717498dc522f3
dev.programadorthi.routing	kodein	2.0.0-alpha03		dd99b91ef6dcdd9527122cfad41717498dc522f3
io.arrow-kt	arrow-effects-extensions	0.9.0		a4bdb77deda85f061e86eb4cf049e3950ab4851a
io.contek.warlock	warlock-client	1.3.0		80067a8dd75e34150f49f7f1800be18ad0c94d0c
io.crashbox	ustats_3.0.0-RC2	0.4.3		7cefa59274f494b63e4143a22b618b684b8d63e3
io.fluidsonic.json	fluid-json-coding-jdk8-metadata	1.1.0		7658ad02fbbc3c9216f239826a98de5fa3abcd83
io.fluidsonic.json	fluid-json-coding-jdk8-metadata	1.1.1		7dbeec3e9b38067e97d64417352948c9ef687653
io.fluidsonic.json	fluid-json-coding-jdk8-metadata	1.1.1	all	57783437cfa3e62432daf00f2effcdaffa5b8e8b
io.github.osobolev.app-delivery	apploader-common	5.3		f8087f994f8eda1cfa1cc218c7eb4f0c520bc80a
io.github.osobolev.app-delivery	apploader-common	5.4		16a2facf39f473da8833c8753e5c8ed9b8610a08
io.github.osobolev.app-delivery	apploader-common	5.5		2511a81f73c77e7818d66e8c01ca7950b44c8234
io.github.osobolev.app-delivery	apploader-common	5.6		d7e0748da4a6aa8a9093a7d4b545dd50eae8fe13
io.github.osobolev.app-delivery	apploader-common	6.0		c529fe0b2da5401fa45dbb80e0aa9ae5ada0494f
io.github.osobolev.app-delivery	apploader-common	6.1		b6e4fb13490773161e665d4fb3ffae5997c161a7
io.github.osobolev.app-delivery	apploader-common	6.10		8946939e9c22bcf9ff799f96f25781a91660d4e8
io.github.osobolev.app-delivery	apploader-common	6.3		bf4a6a8f310b56647c0e6f969c5cac2a535b87d8
io.github.osobolev.app-delivery	apploader-common	6.4		bbab3dd3b64fdbe1fea25e22c0a7cc01d93a77e6
io.github.osobolev.app-delivery	apploader-common	6.5		5562da51f2e46ac348b021e3800d9de47b7d7187
io.github.osobolev.app-delivery	apploader-common	6.6		cca27d4f2ef7a0e9bd4fd899e52ec3787a3a6d85
io.github.osobolev.app-delivery	apploader-common	6.7		d7e4600f30322338e9bd3d4a90c0ce664f56d1a0
io.github.osobolev.app-delivery	apploader-common	6.8		b2f990060f57c7d2d9d36d4e16c990393e829724
io.github.osobolev.app-delivery	apploader-common	6.9		54e776440586674b53135aae761c25c14bbd652d
io.github.osobolev.app-delivery	apploader-common	7.0		ba27c0238906f0627ac07e5819dfa7351f8589bf
io.github.osobolev.app-delivery	apploader-common	7.1		50d6857d8d8a02b46eb2987eb696fb9bb0ff3ace
io.github.osobolev.app-delivery	apploader-common	7.2		e8864b2db82102d0fd3b74016fafb7cdb325012f
io.github.osobolev.app-delivery	apploader-common	8.0		a1a9424905adadf6ab67ec060c82aa35e7cc9b05
io.github.osobolev.app-delivery	apploader-common	8.1		51d9191b35d0223a45ce7ce86a47926ddba9d4a5
io.github.osobolev.app-delivery	apploader-common	8.2		e45f3e27ce2d4ededd30681b3958f9378f04f3af
io.github.osobolev.app-delivery	apploader-common	8.3		e6acaa957e2f5d60b6a59bcb0b7924482de8b97b
io.github.osobolev.app-delivery	apploader-common	8.4		cd54a135d68a1cda0df47fe019c3c65b2526b6f2
io.github.paopaoyue.ypp-rpc-generator	io.github.paopaoyue.ypp-rpc-generator.gradle.plugin	0.0.1		N/A
io.github.paopaoyue.ypp-rpc-generator	io.github.paopaoyue.ypp-rpc-generator.gradle.plugin	0.0.3		N/A
io.github.paopaoyue.ypp-rpc-generator	io.github.paopaoyue.ypp-rpc-generator.gradle.plugin	0.0.4		N/A
io.github.paopaoyue.ypp-rpc-generator	io.github.paopaoyue.ypp-rpc-generator.gradle.plugin	0.0.5		N/A
io.github.paopaoyue.ypp-rpc-generator	io.github.paopaoyue.ypp-rpc-generator.gradle.plugin	0.0.5-jdk8		N/A
io.github.paopaoyue.ypp-rpc-generator	io.github.paopaoyue.ypp-rpc-generator.gradle.plugin	0.0.6-jdk8		N/A
io.github.paopaoyue.ypp-rpc-generator	io.github.paopaoyue.ypp-rpc-generator.gradle.plugin	0.0.7		N/A
io.github.paopaoyue.ypp-rpc-generator	io.github.paopaoyue.ypp-rpc-generator.gradle.plugin	0.0.7-jdk8		N/A
io.github.therealmone.tdf4j	lexer-module	1.0.0		b6f0d44b715870840f8daf6c0258d5643ce9944f
io.openfuture	spring-boot-starter-sdk	0.0.1		cabf4f50548d8b8c04e3e2dfdcad834ff9f1e438
io.smartcat	cassandra-diagnostics	1.0.0		N/A
io.smartcat	cassandra-diagnostics	1.0.1		N/A
io.smartcat	cassandra-diagnostics	1.1.0		N/A
io.smartcat	cassandra-diagnostics	1.1.1		N/A
io.smartcat	cassandra-diagnostics	1.1.2		N/A
io.smartcat	cassandra-diagnostics	1.2.0		N/A
io.smartcat	cassandra-diagnostics	1.2.2		N/A
io.smartcat	cassandra-diagnostics	1.2.3		N/A
io.smartcat	cassandra-diagnostics	1.2.5		N/A
io.smartcat	cassandra-diagnostics	1.3.2		N/A
io.smartcat	cassandra-diagnostics	1.3.3		N/A
io.smartcat	cassandra-diagnostics	1.3.4		N/A
io.smartcat	cassandra-diagnostics	1.3.5		N/A
io.smartcat	cassandra-diagnostics	1.3.6		N/A
io.smartcat	cassandra-diagnostics	1.4.1		N/A
io.smartcat	cassandra-diagnostics	1.4.10		N/A
io.smartcat	cassandra-diagnostics	1.4.4		N/A
io.smartcat	cassandra-diagnostics	1.4.7		N/A
io.smartcat	cassandra-diagnostics	1.4.8		N/A
me.nathanfallet.makth	makth-macosarm64	1.2.3		N/A
me.nathanfallet.makth	makth-macosarm64	1.2.3	metadata	ac71d2c8b84fedad4c194a3f424661d677a8b435
me.nathanfallet.makth	makth-macosarm64	1.2.4		N/A
me.nathanfallet.makth	makth-macosarm64	1.2.4	metadata	8561f85431d6012ce08f8cef64aa894d394b376d
me.nathanfallet.makth	makth-macosarm64	1.2.5		N/A
me.nathanfallet.makth	makth-macosarm64	1.2.5	metadata	f3f70dc82a343de7d5421219f6071693ffd5fb3f
me.nathanfallet.makth	makth-macosarm64	1.2.6		N/A
me.nathanfallet.makth	makth-macosarm64	1.2.6	metadata	437f536dd3a37dcd5854cc25d1d3be6c37809703
me.nathanfallet.makth	makth-macosarm64	1.3.0		N/A
me.nathanfallet.makth	makth-macosarm64	1.3.0	metadata	bca8802fae9bd6158e5173166a4eca96b626900b
me.nathanfallet.makth	makth-macosarm64	1.3.1		N/A
me.nathanfallet.makth	makth-macosarm64	1.3.1	metadata	b7bf61171fa508f7ac1af8a947667db83c3598f0
net.open-esb.admin	openesb-rest-api-war	1.0.2		N/A
net.open-esb.admin	openesb-rest-api-war	1.0.3		N/A
net.servicegrid	jp.go.nict.langrid.client.test	1.0.2		d4c2487605b55cb938958b57033781f92685daa1
net.servicegrid	jp.go.nict.langrid.client.test	1.0.3		cee6bdda4c79aeb98f1c472ca013f7bee787b7a3
net.servicegrid	jp.go.nict.langrid.client.test	1.0.4		9ce07dcace584b509fe6c841e500ed3accce4243
net.servicegrid	jp.go.nict.langrid.client.test	1.0.5		e14f80e22c637bf6c3d6dfa0ed925acb114f8aa7
net.servicegrid	jp.go.nict.langrid.client.test	1.0.6		f2ed34e18079065ade1af50783cf2236f57ff20c
net.servicegrid	jp.go.nict.langrid.client.test	1.0.7		f5b0e7301901e126a0f1a89951f565467d304d7d
net.sf.okapi.steps	okapi-step-repetitionanalysis	0.35		3a10acf7d25909a4569d9e1b6fd753d2ce0dcf9c
net.sf.okapi.steps	okapi-step-repetitionanalysis	0.36		47027e0853413359bc377ff9cebfd9b01cad8acf
net.sf.okapi.steps	okapi-step-repetitionanalysis	0.37		6ddcd0860cc4f32515cdcac29ba9005f31e4aff1
net.sf.okapi.steps	okapi-step-repetitionanalysis	0.38		a3fe6d3c705d24e027fcce2ebc8746c1ed181596
net.sf.okapi.steps	okapi-step-repetitionanalysis	1.39.0		32bd7a9ec858dca61cd1f940903278c92e1da056
net.sf.okapi.steps	okapi-step-repetitionanalysis	1.40.0		3b20ce219d27c034632eee694cca3ae5a36f4c6e
net.sf.okapi.steps	okapi-step-repetitionanalysis	1.41.0		3a97f4e7bf8e47cb60f3d3a40c943f06bfdbe4bb
net.sf.okapi.steps	okapi-step-repetitionanalysis	1.42.0		1072facf7cfebb5571c2fb1daf464b62d1bc777f
net.sf.okapi.steps	okapi-step-repetitionanalysis	1.43.0		d3e31889b8a0b3583317f5d0572670be77930e64
net.sf.okapi.steps	okapi-step-repetitionanalysis	1.44.0		94346fa7fbc1ea0f328f011d3212d4be71963bc8
net.sf.okapi.steps	okapi-step-repetitionanalysis	1.45.0		8c7ebcd658416d6955dcf183a4bbc3b52e6f182c
net.sf.okapi.steps	okapi-step-repetitionanalysis	1.46.0		c7f0ce9adf6fc6e5ebce487504deb44f756e9393
net.sf.okapi.steps	okapi-step-repetitionanalysis	1.47.0		441cca60c202836e380ddfde79ae576665371262
net.sourceforge.dynamicreports	dynamicreports-googlecharts	2.3.0		d7c432779872e21bdb04b91f1383bce56247e8ba
net.sourceforge.dynamicreports	dynamicreports-googlecharts	2.3.1		419c3b57633c1349fc29cac45b553cc9d2948e12
net.sourceforge.dynamicreports	dynamicreports-googlecharts	2.3.2		584b6071a93de2e8e1b50b324c0960c4a53d5789
net.sourceforge.dynamicreports	dynamicreports-googlecharts	2.3.3		960ecfce748969748105962420aad13226c1ff30
net.sourceforge.dynamicreports	dynamicreports-googlecharts	2.3.4		b6ea8cf214b1b069cda28159a95b797a6e60d891
net.sourceforge.dynamicreports	dynamicreports-googlecharts	2.3.5		eb04d25ed00dd492460420f71f41da935fa8f319
net.sourceforge.dynamicreports	dynamicreports-googlecharts	2.4.0		a52d5c101effe796b51b59e6b0b505b0e930efed
net.sourceforge.dynamicreports	dynamicreports-googlecharts	2.4.1		55d039b0e2e922c37dcfe5be9639e1ce56bd1b17
net.sourceforge.dynamicreports	dynamicreports-googlecharts	2.5.0		99aaf415233fee171e64ce55208baa1b2c446a97
net.sourceforge.dynamicreports	dynamicreports-googlecharts	2.5.1		2275f1f99cf201105a136e5bd68a243eb1670706
net.sourceforge.dynamicreports	dynamicreports-googlecharts	3.0.0		2679bfa04abec0c68b81470f1b70be290c5916a3
net.sourceforge.dynamicreports	dynamicreports-googlecharts	3.0.1		25071084858d171361ee45b5ed440bb9920ecca7
net.sourceforge.dynamicreports	dynamicreports-googlecharts	3.0.2		303f70723c022a2fca7123f15e3cddd29ef194d2
net.sourceforge.dynamicreports	dynamicreports-googlecharts	3.0.3		265b151e1e240ce2031eccdbc06c65cf96151164
net.sourceforge.dynamicreports	dynamicreports-googlecharts	3.0.4		1dff22c0e45a9e04fcb4087c2d022ad4057438df
net.sourceforge.dynamicreports	dynamicreports-googlecharts	3.1.0		2086d344e7178859627eeba7012a057a1797676e
net.sourceforge.dynamicreports	dynamicreports-googlecharts	3.1.1		3d051c47ab9aa614dfe47d09a1200c78f108f040
net.sourceforge.dynamicreports	dynamicreports-googlecharts	3.1.2		8856dfc6c9272e72cc6dc87a2b5ab579b645b665
net.sourceforge.dynamicreports	dynamicreports-googlecharts	3.1.3		98b08fcbd5d2a95ccf7dacf939d2a407779001ff
net.sourceforge.dynamicreports	dynamicreports-googlecharts	3.1.4		70fd9e5a89e313d02fea571c90a24b9c24e3c514
net.sourceforge.dynamicreports	dynamicreports-googlecharts	3.1.5		88b105bcbacfd430f724c866b8327c8eead58929
net.sourceforge.dynamicreports	dynamicreports-googlecharts	3.1.6		80e7fd2359bdc3e51b8d4c2904c7f76e7e6e693f
net.sourceforge.dynamicreports	dynamicreports-googlecharts	3.2.0		e76bf540d3e9d27201621ea5e117eb54f21126d7
net.sourceforge.dynamicreports	dynamicreports-googlecharts	3.2.1		7942cdb49eace0e1b1dad8e1f3b45e09d5df8571
net.sourceforge.dynamicreports	dynamicreports-googlecharts	4.0.0		1772ce7d1854f15b7ddccaf9063bdc46e36b0a3b
net.sourceforge.dynamicreports	dynamicreports-googlecharts	4.0.1		369e84698da5c8f4097465036d7f922bdd97eeb3
net.sourceforge.dynamicreports	dynamicreports-googlecharts	4.0.2		a509149f170e6fa8a2bbe1abffcb35f4fcd9a29c
net.sourceforge.dynamicreports	dynamicreports-googlecharts	4.1.0		2c45af06c57c2b740efaed2d5cad27d4183805c4
net.sourceforge.dynamicreports	dynamicreports-googlecharts	4.1.1		c2f76859041f35fbd7d5914ddd0d24695c2311fd
net.sourceforge.dynamicreports	dynamicreports-googlecharts	5.0.0		dde7e84ebd9e2419702d48d0019abd4f1efdac1c
net.sourceforge.dynamicreports	dynamicreports-googlecharts	5.1.0		f31a0d06c0ae6185270997d9ee2fee85122f74fb
net.sourceforge.dynamicreports	dynamicreports-googlecharts	6.0.0		baad71f559555df48c523945fcf05bb6d17f6ad1
net.sourceforge.dynamicreports	dynamicreports-googlecharts	6.1.0		24258a821390720839d2cc7f48de1c953c8f1498
net.sourceforge.dynamicreports	dynamicreports-googlecharts	6.11.0		3a63089dffb4dfd83031a7f65c08378afc1c61c1
net.sourceforge.dynamicreports	dynamicreports-googlecharts	6.11.1		7aa11cfa2e6c3a3b3f8de708ec1b0ae238bdd4c0
net.sourceforge.dynamicreports	dynamicreports-googlecharts	6.12.0		37088309f594ac6d5139d84ea953804870f1a954
net.sourceforge.dynamicreports	dynamicreports-googlecharts	6.12.1		44f16b5b3e9b4ac212f7e6ad648ec4b5fa1413de
net.trajano.auth	jaspic-tester	1.0.0		N/A
net.trajano.auth	jaspic-tester	1.0.1		N/A
net.trajano.auth	jaspic-tester	1.1.0		N/A
net.wetheinter	xapi-jre-reflect	0.3		4628f42715119a2f18f86f50ca6ba3fab644cb95
org.apache.cxf.systests	cxf-systests-transports-ssl3	2.7.16		49c9c85489a52bb550dcb1328211d086d0588d45
org.apache.cxf.systests	cxf-systests-transports-ssl3	2.7.17		9efb1700a40b6b4a551aeef6c67a58daa52765e2
org.apache.cxf.systests	cxf-systests-transports-ssl3	2.7.18		b76ef67afa66c9fef4cf19eb5d98f69ffc768369
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.0.10		1b4d635a309ab5a1c492ae3c4229f20bf34057e9
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.0.11		5102ead82ab408c758730d4d08925266299b8b63
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.0.12		27fbb4d534f0cdb7d69919c54fc8bfea11cd3ea8
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.0.13		d040a488226a7a5535f90a5fc780813345fec4fd
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.0.14		2c01c1ff5fa7911d4c7e047494ec73502d6cbbdd
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.0.15		e75e7ee51a38ae7bd67d53d3d2705e37bb40f7cc
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.0.16		c011fcb2661912aa229cc16e98a8533e3e4d82a0
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.0.5		7209c75624139ce9791f8cb7f1ffcc427edf0236
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.0.6		299ecacc7c1bf59cf621fb4842bad9a88934b76f
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.0.7		944dad2aacb3256fc1c3eda7c0c72840a345c4a5
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.0.8		34cff51c7d24b23613565dd7bc8ef3f4dceeb205
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.0.9		0dee175e37271d849087895fad6ae4a837b57d5a
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.1.0		34fea509bbc4cfb771b1c75492bcd9b0457f3436
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.1.1		1c359467fa3930dc4732275242958d614dc148b4
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.1.10		342dcfd24437199f60fd88b3ca57e8f90c6dcf44
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.1.11		5196f88a7d8bd6343bfba2d7eec22a4db91144c7
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.1.12		7af0265ae948bf64364c18f0a0208ed248457ef5
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.1.13		cc792f752e170a44480f36586fef53ff1ff2acda
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.1.14		51631275d223fc2448c9a4cb5db72d1b956616c7
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.1.15		ca300c09fcf042b68d8f497388cfaa839c4f004c
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.1.16		3c9569c3e1709b260389a6ff11d4f740dbc475ec
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.1.17		576ab929f96f869428274a6b09b808e27bef72e7
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.1.18		55df0474e1f74223184345f6609c1b187a1feaac
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.1.2		4cfe3e277069ce2c74606064cbd78796b2e90365
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.1.3		ea0da0c70e36c9aaa9dd5960bd1b1b68cac4265a
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.1.4		ebaa88bdde818d88ed450719b684722e72807f6b
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.1.5		4561df6700cf4f5d975f5256d34229b14e732774
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.1.6		dc58dadb4af08d994ee9123dcbba42a7543a373c
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.1.7		59517ebba4e7b9a95b137eaa06300d0799750d97
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.1.8		b3fef02d2917fc4af650f4da206b2eebe3b23b9e
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.1.9		3ebda14dce351726b06ba3216b6b878fb97ac410
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.2.0		22baddb819accf8a1b630e8340702cff7bcfd252
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.2.1		1bb78709454692460e91430da73329a3328187d4
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.2.10		afb993ed8412060e6c81ba5efe75c7c85405af2d
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.2.11		3d8738e18f1699fdc26edac1b670e03ff6e4781d
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.2.12		4fbfdc9ef25fea104b9eec683ef118e8b86e2ef5
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.2.13		a18b6c00f29135f656ddcac7ed8c9ff4687a4ff2
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.2.14		87cf6b487dcd401dad9f34afb2a7b465e8e7097d
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.2.2		06e1a3da536f8575232c9909f64f8fea9ca47eb5
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.2.3		e43eff68097f12eb2b65e99a3550f2fe2ddf5455
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.2.4		ca2601568c8b8631387e96a679ffab8cdf42e80f
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.2.5		ee0186194a08ebf92b6669e2e6c12c4950cb91e3
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.2.6		7e3418c73eb4bba800870438db8a36a1d1101464
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.2.7		201addfcc90d1021d7e9ea39caa2291e410b1bdc
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.2.8		6c2c4369b3081d5cb14ea477a4ff52e7d50afbf4
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.2.9		5823bf9639e33e5c05a44955d698fa0ce72c23ca
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.3.0		b57c24a2d3410fcdc2d72dc3446b418b7f2daf7d
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.3.1		893ba87f43eb4aad853b96f92b027e5f529b69a1
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.3.10		a50c48f9a424d734fe5d041d652d7a0774e3caf1
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.3.11		bc6b516198a36a2da57a047db37ed59ca05e766b
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.3.12		678af419afe59b0966292814e1a8d8f19ac2c700
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.3.13		76092aa6f68adae9c69e4fbb14b94d001a6ebc92
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.3.2		6e99f106eb4988bc3c7a0cc76831511a8a0d4fcf
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.3.3		e18269410bf83e9508c4bee11962c60a4a7c1a8d
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.3.4		50cedcabee9d2d4e84135ffd67acee3e7e2e4991
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.3.5		7bb985214a97537d1bc9f83ea7f0f4f4075b0503
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.3.6		548efda10c30308144a03a35656c101086f2eb03
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.3.7		654c16199eb55ef2b0f8a5fd3254b61efd418ec3
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.3.8		c21c33cd2bf5750b2d67ac6ca83ca366db0cba0a
org.apache.cxf.systests	cxf-systests-transports-ssl3	3.3.9		0cd0256f1d4dff0f02d190fcb825bebc9f83ed26
org.apache.httpcomponents	httpmime	4.0		9ded70b76b604f4b4b499cb15a6f7cd4ce490ba0
org.apache.httpcomponents	httpmime	4.0-alpha3		23db062dcdbfa1eb9de380287ffc4244aeb7ebaf
