com.liferay	com.liferay.headless.admin.site.api	8.0.0		54ba8505a74c8266c3ffd9e8b4b6a445771ad976
com.liferay.commerce	commerce-theme-speedwell	1.0.0		N/A
com.liferay.commerce	commerce-theme-speedwell	1.0.1		N/A
com.liferay.commerce	commerce-theme-speedwell	1.0.2		N/A
com.liferay.commerce	commerce-theme-speedwell	1.0.3		N/A
com.liferay.commerce	commerce-theme-speedwell	1.0.4		N/A
com.liferay.commerce	commerce-theme-speedwell	1.0.5		N/A
com.liferay.commerce	commerce-theme-speedwell	1.0.6		N/A
com.liferay.commerce	commerce-theme-speedwell	1.0.7		N/A
com.linshuaishuai	erjia2-core	1.0.0		dc03bd517eef3d6f731817a32e722df6366f09d8
com.lucendar	gateway-core	1.0.0		aa7e442606044580b403dce856f4353ec123e120
com.mgmtp.perfload.core	perfload-console	4.8.0		3367ea1f8c0b79faa72d78068bc33d87a750f3ca
com.milesight.beaveriot.integrations	beaver-iot-integrations	1.1.0		N/A
com.milesight.beaveriot.integrations	beaver-iot-integrations	1.1.1		N/A
com.nbsaas.boot	generate-gates	1.0.1-2024		N/A
com.rbkmoney	shared-resources	0.3.7		edd4cfac8e2a5127ec56efad2bb6ccddb47bfe5f
com.rbkmoney	shared-resources	0.3.8		b65065da886e27c5fdac88adaf02dc004b4cb749
com.rbkmoney	shared-resources	1.4.0		4048c87b10e6933d05b561f30ba60ff0ee942e7d
com.teamscale	teamscale-client	16.0.1		8d40b57667ad7b79b846a62a8d5986d3579441cd
com.teamscale	teamscale-client	17.0.0		25433a4caa60668fe9766641c680e1224bb96b1b
com.teamscale	teamscale-client	18.0.0		25162ea2285af02a07e92b8cba5d46f1da78384d
com.teamscale	teamscale-client	19.0.0		8edece6fb5d29d8cebc038da892ac59e36ca2a42
com.teamscale	teamscale-client	20.0.0		39857c5e36222ffe2af02938dda2c6d023cd95b0
com.teamscale	teamscale-client	21.0.0		2b3cfdddbdf714139e6b205c803dd9afd7069f03
com.teamscale	teamscale-client	21.1.0		2f319096703120c970f52c4ca28e202b64d7e951
com.teamscale	teamscale-client	21.2.0		c49b80572fac049911457d0045ce2661420c5624
com.teamscale	teamscale-client	21.2.1		662251dfbc046bc776636ad4ba1061197c0f2221
com.teamscale	teamscale-client	21.3.0		d827110ace1f65dc1d73c0594db10c8a178b138b
com.teamscale	teamscale-client	21.4.0		62fa405f2d631d1836a904d3d515a6194301707b
com.teamscale	teamscale-client	21.5.0		e92eb5f3f14b26bb342f5d10c725e739b048329d
com.teamscale	teamscale-client	21.6.0		0eb2d11529074022f4bb25aab92b6d6e158b5d83
com.teamscale	teamscale-client	21.6.1		0e6fdad49c0e9924b2d5a4e3c44e5a9f34738010
com.teamscale	teamscale-client	21.8.0		1c049280c9fa82a595aca7c1af382f7c0cc51039
com.teamscale	teamscale-client	21.9.0		6c7cf56814e28f33f28bd993ecd08ff4384353c9
com.teamscale	teamscale-client	22.0.0		1baa76fa8bdecc931507d8a2e4563feceda651ea
com.teamscale	teamscale-client	22.1.0		597a8253c7bc6b1ba557aa0a32813540ed89f18c
com.teamscale	teamscale-client	22.2.0		931c7fad0684cebe68bf4aed83257bb27cb85edb
com.teamscale	teamscale-client	23.0.0		2531d12fd0a3a272d7d3900f84d4e4b8cac6d63f
com.teamscale	teamscale-client	23.1.0		5bf485f08573643716c58fe53f01270974b7700c
com.teamscale	teamscale-client	23.1.1		5617527039870162f8359463eab6f71c622ad86d
com.teamscale	teamscale-client	24.0.0		812c88e1b90d847bac964ca3e6558687d00c2218
com.teamscale	teamscale-client	24.0.1		a70c1d419ae5d648c7e50471d00c8a243f256bc5
com.teamscale	teamscale-client	24.1.1		7ad9e2da2d143a7ebf3242445cc38fc8f81e8efe
com.teamscale	teamscale-client	25.0.0		44f2d7aa50d9c599aec90a206aa7ab0177444f19
