be.vlaanderen.informatievlaanderen.ldes.ldi.nifi	archive-file-out	2.12.0		N/A
com.github.albfernandez	juniversalchardet	2.1.0		ef008103add87c4efda8ffcf55da4be05aff58b5
com.github.albfernandez	juniversalchardet	2.2.0		564d4cb8b4731307234f5609b60590753d3a6ab2
com.github.albfernandez	juniversalchardet	2.3.0		48441094fd92f5eb5d60ab0193a76151ebd48633
com.github.albfernandez	juniversalchardet	2.3.1		b1ce802fda542588195d2500b44a6f51d9748ada
com.github.albfernandez	juniversalchardet	2.3.2		c1fa05bda7640c2eeff2a14f9e19cdedc8ce430e
com.github.albfernandez	juniversalchardet	2.4.0		2c4171a0accd36c11c5097ac1fe804dbbbfcd158
com.github.albfernandez	juniversalchardet	2.5.0		423123a1ddfe458d07948bc09cfa0170037a9e3d
com.github.life-labs.leisure	framework-dependencies	0.0.1.RELEASE		N/A
com.github.life-labs.leisure	framework-dependencies	0.0.2.RELEASE		N/A
com.github.swiftech	swiftboot-shiro	1.2		135490911829f0de52521bcb96616f2e50095f14
com.github.swiftech	swiftboot-shiro	1.2.1		c7c5a452147c5ff8748e6aeb6a706adeddd2fa39
com.github.swiftech	swiftboot-shiro	1.3-beta1		c71aef19371a36c5c9b60d09bd7c38290f4ca515
com.github.swiftech	swiftboot-shiro	1.3-beta2		647cf23ee4ffee7bf16e8d9b307fe58fcd7c5f6b
com.github.swiftech	swiftboot-shiro	1.3-beta3		67bb8dc8b689811a5bf7f9ae9b15fa2212610adc
com.github.swiftech	swiftboot-shiro	2.0.0		202b975fa8e43618e4a622a6844cfaade5ea659b
com.github.swiftech	swiftboot-shiro	2.0.1		eea20ed65aadc2eb21ce6e5a6335313f3c084261
com.github.swiftech	swiftboot-shiro	2.0.2		00caabc2779ad47562fb00f74edec654e7a4e06a
com.github.swiftech	swiftboot-shiro	2.1		d6bbb9ad0456860eb7f3309da3abfbb3e185fbf9
com.github.swiftech	swiftboot-shiro	2.1.1		d53d1c3266ae0eba0c079e7e38f296a0cf496e81
com.github.swiftech	swiftboot-shiro	2.2		34aaf8bf30fc423454640f48f9dd9ace165b6c32
com.github.swiftech	swiftboot-shiro	2.2.1		7fd0badcf39d9162ae034beea155d89522e90e43
com.github.swiftech	swiftboot-shiro	2.3		0628fa8f89f2d932c7892eb5a7c8c5003e3abf92
com.github.swiftech	swiftboot-shiro	2.3.1		c7249dfe0de206a9fca05140ada2099510485b3c
com.github.swiftech	swiftboot-shiro	2.4		295e8bb3373f48a6c0fb4a12d973182c70d27013
com.github.swiftech	swiftboot-shiro	2.4.1		1fa8099a9a59930fe6a7f33888f30a04c82a9d99
com.github.swiftech	swiftboot-shiro	2.4.10		68b2f5673bc18e0ea56b9dfdf9791869290c1c0c
com.github.swiftech	swiftboot-shiro	2.4.2		44e54c1ebf0b04151132276652cdc8efcde10819
com.github.swiftech	swiftboot-shiro	2.4.3		09eccb78b0d9332ddee43d51c94d3de56f4afe2b
com.github.swiftech	swiftboot-shiro	2.4.4		c10b1647df726d6adfa0319ff34da8fe8f87cb81
com.github.swiftech	swiftboot-shiro	2.4.4.1		12dce5c04ad4324f0df497964244bd13d8d0f481
com.github.swiftech	swiftboot-shiro	2.4.5		256fd6735acd8786d8801ea874daf4100f15a094
com.github.swiftech	swiftboot-shiro	2.4.6		9cd6f0691fcf7ff61275819308d1521c1fb0e159
com.github.swiftech	swiftboot-shiro	2.4.7		f3115d4df753b29c043c38d405eefd8a5e3a548e
com.github.swiftech	swiftboot-shiro	2.4.9		e07c83c8aac6ca4023f5f199cef6f5dae0a29b97
com.github.the-cybersapien	recyclerELE	v1.0		N/A
com.gonitro	avro-codegen-runtime_2.10	0.2.5		e9a746b773ca5606a5ca61a9abef07f586da20c5
com.gonitro	avro-codegen-runtime_2.10	0.3.0		50473cb2dcf1804b9b2b30d7baaaba1be45cfdae
com.gonitro	avro-codegen-runtime_2.10	0.3.1		531db293790f46e9bf9022134b8795c4422275b3
com.gonitro	avro-codegen-runtime_2.10	0.3.2		05b48d0fce9ee9887614b6de907affd823478837
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.100.0		500f5ccc01ad9526ae5e80d277e83d9540b38762
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.101.0		ed8a59242aaf103579412235f4823e055798d315
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.102.0		ea596ce13381b80e0c05fd8a874fd9a050dc8d90
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.103.0		55eacaa0f7fe9010aefd1d7521423ea5c3ffac16
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.104.0		3044217f0a879ff7193832e79dbcecd159528ad5
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.105.0		46a05ac7bff212df04d1dba767d9eac851235da1
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.106.0		186c4c1e767737308cb57e722c38b2af2e80b228
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.107.0		069003715bfb021e96c1d915750b6159179db1d6
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.108.0		784ff581ca92183dffd0be27772e454a4ef35e83
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.109.0		c25bb82683d8923849d9f8334dff52e964239242
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.110.0		96b9325746dd1f8166b3d21ed153fe06bed07d87
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.111.0		003aa7b19e4df43abd3739661ea36a4aeda21cd4
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.112.0		28034d6ecc6dad3d6939632f0f4db3e1a1a7b12f
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.113.0		8120b55efbee9092d28ddde64dc33f5b5bd65b04
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.116.0		da24be15ae6a7df234d7598aa01e5687a3806e0b
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.117.0		a9812541545a38eb3ed268a24fcba7ea725269b1
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.118.0		0aee6fe74718263f5f8ff69e6013c6a0f24882b6
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.119.0		d400ae0ba653776d0b91edf0a472d80c3a406fd1
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.120.0		871034e2eb55f927c7fbe52506167d57f421d979
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.121.0		d689afc587638edefd45ecd42091b6aa073f0e6c
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.122.0		af16948567ecb3a1d71b0ed18520978cead1518c
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.123.0		d301f875a9bbb5556e5113f29ba1badfa16296d9
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.124.0		2427e1163b38b316e0d835add4ec9a9e70f5b569
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.125.0		ce80f8bfc30058e21b81e5ea91043d027b72c4f9
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.126.0		729ba271fbfd6439f723e3d05d85826e4a1b1a30
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.127.0		a99f85415e3913f1f0d3fb931e3cd5b2aa8ce03b
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.128.0		ae590811040f79610e610990ae51d9c86646cb80
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.129.0		21c11ef4fec5e01d1d1c23725dcb71f448824971
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.130.0		144e36152c0d3310615128806a88e66089e6cc52
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.131.0		49a8120ef113ca44ce2d420bec5c985903cd5444
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.132.0		604e752e7233ee16341559651593cd1ca28c1f4b
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.133.0		ead2ebde8548d06990affde6de55eeeb137b6022
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.134.0		2eab59c2aee3a17fd9de8108d904650c6ef49ba9
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.135.0		d105cd875551bca079bd49d3918c0bc40ec09187
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.136.0		eeddbe63f7ea85d989cd112851e63405c112c518
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.137.0		aaf3288b87b9cab35cedccf2bf9b016432813939
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.138.0		07dbcd1e912eb6162c8ab729bf935c82ba2a4b78
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.140.0		9689af05ca0abf8ea222aa725052898b3d310067
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.141.0		4c0c2fd6c9bd3db55c7759194a8372b43c0635f5
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.142.0		7ae0f7ca0eb7cd2b89b1a92db267dc41e2ab1a06
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.143.0		f656c2cf8375c7b0ab65708857750876c695d482
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.144.0		82c7f3a7928afb2946f9ef4ea3ad110e9d666d15
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.145.0		a7febfb184b3ddaef57ef9555e514e564eacf323
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.146.0		bfbb400491295231e8abc25e8035cd9b8fe78ee7
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.147.0		34c3f74828aef50df3301c2ea9e048cf198358a6
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.148.0		1fd51ff61713c3222075f82343213e31b9f568e2
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.149.0		14ae9f3d2f360d7263c6e13a56fa06229a9f43e6
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.150.0		9b5eb3e40d703c60debe957774d5b47131f7f354
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.151.0		0652b4e67d03fe3032601024010fd7bb7178b1e8
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.152.0		8e8040a2c75296d4ac68adbb0fc1a3c93c47018e
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.49.0		e02689cc869a59e15f3579c21431c5f22947f6ac
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.50.0		609859a1aca6944a60243c83a1a9d979bcc70fff
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.51.0		10540667b36fa06ba0a129d507a9fb46d0912611
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.52.0		0e35dfd5f1cc47a3b81b8b4074e56a3feeda249c
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.53.0		b9cbc485076cc4df1f7a6a6eab94c7fd4eef8990
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.54.0		301157ad15e802007c7659c102ee28da4ff909b1
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.55.0		4975124868230715ee2d24ea0c050997efcfc235
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.56.0		d0166d884a13cb25d92bf1cbdc75f977a54484d9
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.57.0		af8100032e70e8ed4cf4130e7b521be2cd08561d
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.58.0		6b91d93b86b8134700a39fcddaf5cc445710d296
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.59.0		1e1ae0d4a241a92afdcaf1a29be12b17e94f5faa
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.60.0		ba76955533b95ebfcb872e5200cf3304f5d02a13
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.61.0		2630ac95e6322972362c9511b5a33e738b7a59b9
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.62.0		b50cb9d60b52ffd05140c6b4c9d59851257da597
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.63.0		7e2b4ebb2adaeac00f6809b464495a8b2e12858f
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.64.0		acb21fa99ff188d3fc35305aad845ac1170faecf
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.65.0		33a49549de0637527382cf0738eb9b898ba11023
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.66.0		b46084fe88f167074b67ba47a0d8150958933516
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.67.0		28c0b55e26f6d26a1a6c6bfff3ebcd3c52856d67
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.68.0		447021fd69d17a20d71c39ba08cb8620c48b0274
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.69.0		66c316411705e64783d04ce67cb1331b99ceace5
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.70.0		74e7724f2bc95d6edcfba6fdef8450a6ddde7f52
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.71.0		fe09ad325bd0c0d7bc8eae03628e3cac5344e0f9
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.72.0		0197db795a24096eefd367eb92f92f9400d5fdd7
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.73.0		fce930ffed722df93a0c94bf7d1355fae13a3012
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.74.0		ca5bd84f827cf74fdce05b33ce126dcea5db1edf
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.75.0		afa07e54c6da875fee81ff3436f33131f3da3432
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.76.0		9ceba6261653793db69233e49ce92e826335d5f2
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.79.0		5ce658b16b737b9615f02f6820a7953b4f1d7ed0
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.80.0		a247858e88623295fa01086a2ec6632a10c44a18
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.81.0		f261a95a2f8ff5528e2ba2cd65242244f245bde0
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.81.1		3e7cd99362c70684df5c963c23859b386d6331f4
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.81.2		f76b77e90f046209df074abd1d63df9669f117f1
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.82.0		1ffe978c342738f4ea63dcf10cf5ffd3d44adc85
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.83.0		ad7d097592a4be49098fd7bbb3b0561aa063b2d6
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.84.0		eec8a30a73c1f8c2a8aba919198f1f136152c757
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.84.1		c11755b813e49b04620f02173956e89c04235942
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.85.0		8bf6c089f889caa3cc5f8fdb26a3130d4f56b55d
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.86.0		1131209045757997ef640d086268f8603615bf2a
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.86.1		2443dc8b29018c7bb8246bc3b7e3e34f1a46546a
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.86.2		45d36427d51fe355823dccf251caeced86d3ec04
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.86.3		539ec4478081489fe4c3250d0774776f4b938bcd
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.87.0		02d0af611fba4230993b2707ce0d4bef861d6119
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.87.1		d6c33e9d5088cd28321bca7ddadb048a47fefac9
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.87.10		baf919aae0473231466d32320fc41f3f945d387d
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.87.11		54820866ad89bcecb8b87be50c69327c33ee34a7
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.87.3		528fa63849d4282f5dfaff4b6b79b61e6d951b68
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.87.4		ce5c12d05b20b5eba3836a38f1c35135e2bc91a5
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.87.5		f17d098403fad60b7ac77b38c84951bafce9a0fc
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.87.6		c84a3e0a6e51648a8aec0da5428b3a327f646270
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.87.7		684c3c27710ef0a334d664b56f9fe93f37e3b73a
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.87.8		69a9c70fcce1cd5d997452c763e88e65ce4b4c96
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.87.9		5785a843e0753deb671c321d43de6f7aaee3e997
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.88.0		a3a69e01af04fa956912802fe8ba4610839f130f
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.88.1		a9a584a120513aeae42b54611d246410d8308d6c
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.88.2		4055352f219c1e893ed8744b5d2e9159788e3791
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.88.3		2e0bf59e4f53932d7ba6101d60833286e08cd451
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.88.4		130aba96098c821d260b539ccb8603e9dccc1ca5
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.88.5		6049f52695d8b05dbcac34395d09ffb8efdb0ffd
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.89.0		9315a798eff8d6c2016a9ee7701ff9d73a8079c8
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.89.1		12ce1badc05f45a6a4096634b754c1aaeee07c44
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.89.2		d037b0fcb79366f4a5d3e54fde60eaf167c5119f
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.89.3		e3354c1b5b2d23f472940f90d2aa5bcd044a72b2
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.89.4		69a4a97389a2b1559699871259b4cb2a863172ea
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.89.5		1cc4c29eeb9a03c5c15c658408579a0dbbb341e9
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.90.0		b6bf8c401e30fb579c4c31ace30078bf7ab64cc3
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.90.1		d5465c855fd4224fa199613e91dde0145babdcb2
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.90.10		f7a606fb7f97e7e72722f0ced2693e0475f0f6be
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.90.11		c8bf4b5342c03232231611b2ac2edf5eda9a9b8f
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.90.12		771379436369391344ab048a5c4bd80713c23825
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.90.13		b2c2637229e21d59cc6002e8b18cd4356eb21b34
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.90.14		9a42d14cae4dc2e525bf7060f1b20828d7104e81
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.90.15		4b7f3c6ecd2122f6b851fd250e2c8bc5233ead53
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.90.16		a863a1f883d2b3e019b201497607a63288d8f5cb
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.90.17		facca01493c4269aada71632f20901a153300f0f
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.90.18		8bc001ee65a51142e2bf8dd5024ab876dad4c8b5
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.90.19		02068466cd59d2f4791120647eb5846ecbae8419
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.90.2		32061e69be2473ca617ba316b6c0bdbbcf96602a
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.90.20		819e97cc8a5a627c140d18229ae8cab86fa6bb20
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.90.21		6288844d015198a22242f6a97e6c946ed669985e
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.90.22		9e88080977769b150f891009b684093ab2510c59
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.90.23		17cc93480fcbbe889439fd66873510f6a38e189f
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.90.24		f53f9ed8e0862bd5be3b7e4f3298861176ec44b4
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.90.25		14231ee65c68c16f32a66ec4bcd7e42fa6d75ad1
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.90.26		ec4c3e8319423305823b003b712d8a251f11b04c
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.90.27		6eee2a87e72dbba13a3f0dac5755fa23cd15c246
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.90.3		ad27869be5befe9d84eec02ae62df484204815ca
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.90.4		a67ce109088e36674dc98ed844c8a995b9792d21
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.90.5		8e559a03f8e5a8bdb3b787a5f82999504665498f
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.90.6		139c4e3ae54ad3e1d2f08d5acb5a76003c8b4a63
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.90.7		6f439d30c123c84c14067a8eef5bc6b83a9ace9f
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.90.8		a2909490b7f2930b9d2a12f71021795047314c6a
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.90.9		82d6b25d36a4d0074100d093d7a4df2e9a671224
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.91.0		332211e91b6af9c384f536c4d58c8f633ec94f37
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.92.0		056b7d00c8af590bb5239e875eaa190499af487b
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.92.1		ad35fdd2e723bfd226640d6fde65860da3894ccd
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.92.10		f90e53dab4993e47d7ad69fa0ba2042212a467ec
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.92.11		88010e1b801f1a1a723dfc39ba1e8d7ec2c6779a
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.92.12		ab5d7f408615562a30c614080d3b6c3b8b4908c4
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.92.13		325859b2a3b0873602dba0655379a30e8453be3c
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.92.3		59ffd600a6af7bdbe4bd86b71f405d2d54f2e50a
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.92.4		ba1ed293f7dc8271af19b8d4fd019a852d198e0d
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.92.5		fc855aed5fdafcf1b87c0c087cffbf034d4179eb
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.92.6		e3b969a7a9a0bc3e4516cfd2e496738136e2bbee
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.92.7		d3eafb26b7ed2c6d3e732063a210dad14ea1426f
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.92.8		72318079c356017274f97baa5a264bcf45b80a6d
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.92.9		e8670bfcf06f688bb6c4479b4d0c925d34c4e395
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.93.0		fcec87e9baa1ee9bd7b0f5198728ffd60cfd8860
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.94.0		36dd085a950021ce085033a52099c19b058c7f54
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.95.0		fe288228ddeb1dfd2c54e9420b9fec8f412d63aa
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.96.0		a9144fbed3d46f15112d67942ea5790e5b65bc54
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.97.0		8bfce8a566a3cee2eacf136a716e8dcc00999eff
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.98.0		f7c7d3ca5cfa118dc7285aedf13c121f66859781
com.google.api.grpc	grpc-google-cloud-video-intelligence-v1p3beta1	0.99.0		c37d8b2f2f9edb116562b081c191a1dda7e9bc0f
com.groupon.odo	proxyaggregator	1.0.0-beta.10		N/A
com.groupon.odo	proxyaggregator	1.0.0-beta.11		N/A
com.groupon.odo	proxyaggregator	1.0.0-beta.3		N/A
com.groupon.odo	proxyaggregator	1.0.0-beta.5		N/A
com.hurence.logisland	logisland-docker	0.10.1		N/A
com.hurence.logisland	logisland-docker	0.10.2		N/A
com.hurence.logisland	logisland-docker	0.14.0		N/A
com.hurence.logisland	logisland-docker	0.15.0		N/A
com.hurence.logisland	logisland-docker	1.0.0-RC2		N/A
com.hurence.logisland	logisland-docker	1.1.0		N/A
com.identityx	IdentityXRestDef	1.0.0.21		30915a7267d3a39e948ee26129a1b1045922061b
com.identityx	IdentityXRestDef	1.0.0.37		2cdddddd285e9034c9f83c28b408fa848e4a7cb9
com.identityx	IdentityXRestDef	1.0.0.52		7567d289f90f2a8d43a58af126f46c4f96a50a57
com.identityx	IdentityXRestDef	4.2.1.0		48255a9a6abce2cbc5b788635bcc95abc4ba0db5
com.identityx	IdentityXRestDef	4.3.0.0		35582849e9758001599997b1e539d4996d33074d
com.identityx	IdentityXRestDef	4.4.0.10		5e8880b2789c9105a56267dfdd96a11766540dc9
com.identityx	IdentityXRestDef	4.4.0.14		6aa75ee0cf83270fd0ecf4597f053bd882ddab65
com.identityx	IdentityXRestDef	4.4.0.6		41ff0148fddc69f9413d25477bdd35bb857f2d26
com.identityx	IdentityXRestDef	4.4.0.7		14bba3f2457ca350b6a53cb69527134eb78a9b36
com.identityx	IdentityXRestDef	4.4.0.8		fca485639afcdb474f99713d23dcb3fe823c8e1f
