au.id.tmm.tmm-scala-collections	tmm-scala-collections-scalacheck_3	0.2.0		8150b2b354d3fc3bf5cd9054bdfc341b54aca868
com.javax0.jamal.jamal-snippet.2.7.0.com.javax0.jamal	jamal-engine	2.7.0		9b0608f76651d8ac8818ac9ea8ad150da8d1b1ff
com.kik.config	ice-parent	1.0.0		N/A
com.kik.config	ice-parent	1.0.1		N/A
com.kik.config	ice-parent	1.0.2		N/A
com.kik.config	ice-parent	1.0.3		N/A
com.kik.config	ice-parent	1.0.4		N/A
com.kik.config	ice-parent	1.0.5		N/A
com.kik.config	ice-parent	1.0.6		N/A
com.kik.config	ice-parent	1.0.7		N/A
com.kik.config	ice-parent	1.0.8		N/A
com.kik.config	ice-parent	1.0.9		N/A
com.liferay	com.liferay.portal.security.audit.storage.api	2.0.0		49828b34b7ac8c1c0faae8aa76c4c1bb1d7f7f6f
com.liferay	com.liferay.portal.security.audit.storage.api	2.0.1		384ab262a83157c13880f0606220ef471ebcf838
com.liferay	com.liferay.portal.security.audit.storage.api	2.0.10		28280e57cc3b8448086a10fb0f8708c97176dd99
com.liferay	com.liferay.portal.security.audit.storage.api	2.0.11		360ac1fbeac13c9cf189070d900ab7de63af1dae
com.liferay	com.liferay.portal.security.audit.storage.api	2.0.12		5d8b2b416b335e0d3beb1aeb11547d70e9125fa4
com.liferay	com.liferay.portal.security.audit.storage.api	2.0.13		c99191945c260bff95aeb8e047a190eec2ee026e
com.liferay	com.liferay.portal.security.audit.storage.api	2.0.14		2ef15f5bebeed3ddbbd597a8f668aa94872c4dab
com.liferay	com.liferay.portal.security.audit.storage.api	2.0.15		50b06869385bdadf5e6dda7745ce89dab9c7d840
com.liferay	com.liferay.portal.security.audit.storage.api	2.0.16		fe52a6769af935bda33a2ef5d604c7f9f4302f3e
com.liferay	com.liferay.portal.security.audit.storage.api	2.0.17		0f71f312987cc7421d71fc3a173bd1721b46c076
com.liferay	com.liferay.portal.security.audit.storage.api	2.0.18		f4fc61a3f0a9307b71472f457aff97f1907c4898
com.liferay	com.liferay.portal.security.audit.storage.api	2.0.19		ed814ff6e130d26b6a16fb48d47696ae143a73f3
com.liferay	com.liferay.portal.security.audit.storage.api	2.0.2		eb32daf4a3f8c1c38cf1395ed0e9dc6fa38aee27
com.liferay	com.liferay.portal.security.audit.storage.api	2.0.3		cbb71ea012051e57217364318c879c503cde9e74
com.liferay	com.liferay.portal.security.audit.storage.api	2.0.4		5e235ed5fdc1ffd843554b7d90b28ccee95402da
com.liferay	com.liferay.portal.security.audit.storage.api	2.0.5		3c2cd77bb0a4e3a36f89d75410f14cd167695fd3
com.liferay	com.liferay.portal.security.audit.storage.api	2.0.6		d56f16f9e9b143627094f07ca3abebdce6cbc0c2
com.liferay	com.liferay.portal.security.audit.storage.api	2.0.7		c5f4abf91da543794dd52fe0e2545a9918c9a1a0
com.liferay	com.liferay.portal.security.audit.storage.api	2.0.8		6da73d214bd7a54518ef5fab358124b1ab2e8f34
com.liferay	com.liferay.portal.security.audit.storage.api	2.0.9		5063cb6b20257bd8329b616fd4c5d4fe97065f1d
com.liferay	com.liferay.portal.security.audit.storage.api	2.1.0		9a906be39125e83fd399e8cef8991b3944013335
com.liferay	com.liferay.portal.security.audit.storage.api	2.1.1		12699c7c00d0aea3ae7e4ff9e1902648dbf5528d
com.liferay	com.liferay.portal.security.audit.storage.api	3.0.0		3b5e453d07b316a12195734c2711b54ca014f2a2
com.liferay	com.liferay.portal.security.audit.storage.api	3.0.1		7a69a8ccd47ce6edf44172dc70a224f2d344f73b
com.liferay	com.liferay.portal.security.audit.storage.api	3.0.10		2dd37e561b2d71be4904a66156d215ee6574bcc8
com.liferay	com.liferay.portal.security.audit.storage.api	3.0.11		a7319bb264ea6ed43092b04da5eccff7278de890
com.liferay	com.liferay.portal.security.audit.storage.api	3.0.12		06c997164af80a401a24b74c47eaa68d01863810
com.liferay	com.liferay.portal.security.audit.storage.api	3.0.13		f528f13dfd4de639d018ded2080530b25ee89ca0
com.liferay	com.liferay.portal.security.audit.storage.api	3.0.14		11e6f4c48d39f03303e51b6e715d5ff76217ca30
com.liferay	com.liferay.portal.security.audit.storage.api	3.0.15		eff98b8a048c24ebcb27504dbec949ea05f314f1
com.liferay	com.liferay.portal.security.audit.storage.api	3.0.16		3427c39558a10adab649341c654ad7a1726c5c0a
com.liferay	com.liferay.portal.security.audit.storage.api	3.0.17		96044a24b6b0f2ceb187b1ee3fe84e4f2f61fd88
com.liferay	com.liferay.portal.security.audit.storage.api	3.0.18		677a05b221f3d7dc92ed7a999685b5a4a0b0c13c
com.liferay	com.liferay.portal.security.audit.storage.api	3.0.19		d70d32b5ce794a603ab963b4b81fd2b085aa00f0
com.liferay	com.liferay.portal.security.audit.storage.api	3.0.2		d49d1c22596524f3199f7cc69525af0ec4b003c1
com.liferay	com.liferay.portal.security.audit.storage.api	3.0.3		915925f027813f00bc08f4ce76e6fe5f121a74fd
com.liferay	com.liferay.portal.security.audit.storage.api	3.0.4		f830d891f76ff49d74cf3451ee60733ea40ce002
com.liferay	com.liferay.portal.security.audit.storage.api	3.0.5		638cd915782d72793b9ddf4686e8d3887ee81729
com.liferay	com.liferay.portal.security.audit.storage.api	3.0.6		b06d1f35719e775b46e1faff847dadeb59eaec28
com.liferay	com.liferay.portal.security.audit.storage.api	3.0.7		e28aae01fd94109d603b67914d25f84860622675
com.liferay	com.liferay.portal.security.audit.storage.api	3.0.8		32263b3cda6ebcee26d59d3eee06bc912f5b7ff4
com.liferay	com.liferay.portal.security.audit.storage.api	3.0.9		bbd8ab5e3c0bd6fbe56c495405d9dbdd6fdb6b83
com.liferay	com.liferay.portal.security.audit.storage.api	3.1.0		7d0b34978df89eae88f90b30b486b02e5ab9c7b0
com.liferay	com.liferay.portal.security.audit.storage.api	3.1.1		857c9051eaacac67250c4a56e748bb47fc0683b9
com.liferay	com.liferay.portal.security.audit.storage.api	4.0.0		8767326833abd0b08bd34ce2b8f8cb35d30e89da
com.liferay	com.liferay.portal.security.audit.storage.api	4.0.1		d8604ef2ac175821f426a8f773f29a9c19a98d3e
com.liferay	com.liferay.portal.security.audit.storage.api	4.0.10		440644886c4f38ca84e434dd67a62cc717d6697a
com.liferay	com.liferay.portal.security.audit.storage.api	4.0.11		ddc9f84545518c854fb32e6330b15b91eb4711f1
com.liferay	com.liferay.portal.security.audit.storage.api	4.0.12		a21c14c9a8040e384361b23c366f8b4a67d75668
com.liferay	com.liferay.portal.security.audit.storage.api	4.0.13		184a55d8d25cb2fce8e5f8ef7e415a1531b4b6cc
com.liferay	com.liferay.portal.security.audit.storage.api	4.0.14		aac7a2d93349ac58f8b6c34830c3aeb13f73392f
com.liferay	com.liferay.portal.security.audit.storage.api	4.0.2		9d8e0131ae2eda32ada626a9d332b2caacd796df
com.liferay	com.liferay.portal.security.audit.storage.api	4.0.3		3ec0f50e0b48144043b695014f5292e610671e13
com.liferay	com.liferay.portal.security.audit.storage.api	4.0.4		18bed607ad991dbe0207dd68cf9cd7954f4172f3
com.liferay	com.liferay.portal.security.audit.storage.api	4.0.5		a42b11c2d9deed44ab2b1fa89b7f7444f1b23180
com.liferay	com.liferay.portal.security.audit.storage.api	4.0.6		683429d0b73db1c4aa46e5912253b41a8bcfb209
com.liferay	com.liferay.portal.security.audit.storage.api	4.0.7		a92b43f8b749a4667b068ebc890ce0c66f5b3d21
