com.bradcypert	Ginger	1.1.1		1cbfee4b28ef9055cbe15517a66ba2466ad54da2
com.bradcypert	Ginger	1.1.2		509f78048afb33ba9bb2f0bce225e662262cda0d
com.byteshaft.requests	requests	0.5.2		N/A
com.cibuddy	servers	1.0.0		N/A
com.craigburke.document	word	0.1		622653e09a6bd3bf5c3a66462a6eb9d10a5faed7
com.craigburke.document	word	0.1.1		6dadf7b53112f8824c8366950642dcd5ec54031c
com.craigburke.document	word	0.1.2		fa519f30e45c6404fb3ad699a90204553a35e9fe
com.craigburke.document	word	0.1.3		4e54a1f9147c1e52459a8772d8e7fde5771fad8b
com.craigburke.document	word	0.1.4		9ceacd8196e938064767353082b62f7406fe2050
com.craigburke.document	word	0.1.5		b29ebace1d8c0e2cfa5d5c8fb74ccccdca702b67
com.craigburke.document	word	0.1.6		4c23b04a91e446968dc52208fc3e7fa488f1376e
com.craigburke.document	word	0.2.0		5bbb953ee13b40be8fda82a49da398f63e97229a
com.craigburke.document	word	0.2.1		5373ee23ae4cefc76654630dd5ddad21bd043b84
com.craigburke.document	word	0.2.2		376c2df2dad33840f5f95399c6bbca1584660ee8
com.craigburke.document	word	0.2.3		d316d0a15dd814d4fd61cfe494f059988cfe65be
com.craigburke.document	word	0.2.4		ab20f3a79a943eaa243fa22d4e1a59c836cbf55b
com.craigburke.document	word	0.3.0		aff4c37276073d04765d2f6062317202416af027
com.craigburke.document	word	0.3.1		ee39dda0f47077de680b1c8759cc8fff1cd1f4b2
com.craigburke.document	word	0.4.0		471549f7f3d8040a9526d21f688add3f5919c3d2
com.craigburke.document	word	0.4.1		b0e29f24e0c7a64f14de7a121f7d7adda3f8eb7d
com.craigburke.document	word	0.4.10		5fd8b8277f958720f372532f7c684b14b4ea6405
com.craigburke.document	word	0.4.12		c317ce1f286d246a4a2bda974851313b75e60b99
com.craigburke.document	word	0.4.13		056cd3288c15f86d1a0cddbd58b408eeadf3fa5a
com.craigburke.document	word	0.4.15		22c56b5c5bf79342f499ad1fb99f418f1b56e844
com.craigburke.document	word	0.4.2		ef3e69e000ada91e120119b67801494faa372100
com.craigburke.document	word	0.4.3		192eea3cae2f93dac6e02e16ed9f7b072f3310ea
com.craigburke.document	word	0.4.5		de1ef350cf6e24398980543bc6ed554a96c92afa
com.craigburke.document	word	0.4.6		c9a590c9f987abec114c4b0ed18bf695b8ed9a55
com.craigburke.document	word	0.4.7		6a4be45a87f433fd69d1346593e7d627e15281af
com.craigburke.document	word	0.4.8		c5fbb66b4bc7c69d68b0d0dbd7e4438bdfc77145
com.craigburke.document	word	0.4.9		bb206f57065b664447dffd5b4457171ee69b4928
com.craigburke.document	word	0.5.0		6d50d7a00b0a73551b0a91c4a9d2e0ff07ad036f
com.farao-community.farao	farao-commons	1.0.0		2d7e4dfd533f3a4d84756f030febd7de066b78b5
com.farao-community.farao	farao-commons	1.0.1		8e646692c040c9ba7032b57ee7d11283dd2450df
com.farao-community.farao	farao-commons	1.0.2		947db4322ff409ace7e6ca46cccef6ec1804c123
com.farao-community.farao	farao-commons	1.1.0		46f87246a12b27e1620e62f85401c172659c9352
com.farao-community.farao	farao-commons	1.2.0		e29f98e85718db63711a99cff792a9c755ff9a5e
com.farao-community.farao	farao-commons	2.0.0		f0b707275c77bde7e78fccac158fdeb69a830ec0
com.farao-community.farao	farao-commons	2.1.0		9f3811cb46bd15fde8568d610c13f1ee36f8feeb
com.farao-community.farao	farao-commons	2.1.1		bf554597e34b18ae7ad2c95febc30e22e3131cfd
com.farao-community.farao	farao-commons	2.2.0		517c72daec711e07a8f1d31abc9e841924a4e515
com.farao-community.farao	farao-commons	2.2.0-RC1		1d67687486e6745e7f6aa3de782ee54d30abc3a9
com.farao-community.farao	farao-commons	2.3.0		98a474e16b6ddb51fc7cd625bb61afac38ed2ede
com.farao-community.farao	farao-commons	2.4.0		eb6d23232e272386059c1515d2f04b0bd5d16d20
com.farao-community.farao	farao-commons	2.4.1		8095701ffacbe7a341a862c1ae8136d8977666fa
com.farao-community.farao	farao-commons	2.4.2		c7e30764e2dc41b8e3109aae2eb617d002643c4f
com.farao-community.farao	farao-commons	2.4.3		6c247ad69006d864af5e614ad4b011d7b1534761
com.farao-community.farao	farao-commons	3.0.0		7dda178847cdbc5a89d650ccdd7572f5f70c61eb
com.farao-community.farao	farao-commons	3.1.0		76cb3d4cf7d084a0bcd02be4243e6b4e1282658a
com.farao-community.farao	farao-commons	3.2.0		f4524a29637dd663984d71201d07c086cb0933ca
com.farao-community.farao	farao-commons	3.3.0		646c8ca423dbbd26944fdc75edad13b1b539673a
com.farao-community.farao	farao-commons	3.3.3		1994a8ce291abf66170eee5f19c8fa05d6a73e05
com.farao-community.farao	farao-commons	3.4.0		a1e7801c553757c40a6c059598bb01cfba5f6d8d
com.farao-community.farao	farao-commons	3.4.1		e920a488e15e4850854185b5b009ebed09b6fd38
com.farao-community.farao	farao-commons	3.4.2		c00775b5982c65f778b0570970a1400c0cfc6a6a
com.farao-community.farao	farao-commons	3.4.3		569c165351902a7e7e2c6c6391de6470df84bca1
com.farao-community.farao	farao-commons	3.5.0		92e51e88341d34f93ee71619bc8d0cdbd589b7b2
