avalon-apps	avalon-apps-hsql	0.1		f253c9debc737dcecb7a325879f525d00edc331e
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.4.3_0.14.0		6efe02f4f81c4319dd31dc8a104ffd9cbce5643f
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.4.4_0.14.0		1858135be699dc751ae92f2931f40e4eb887ae2d
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.4.5_0.14.0		819dc5ab8a46138b4c32fb9fd4a09fe777f5b370
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.4.8_1.3.0		47b085fdfbc28b6969eae2c31d06bb3c622e6796
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.4.8_1.3.4		524a083cf5b4a8a02f4ac1a78bf9d4efc3f3c339
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.4.8_1.4.0		9ca7f0c4c1f9266b0c1613e0344b5df8f2d94053
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.4.8_1.4.2		b602b19e4de0fbc520d8d024cb7931fd7a13459f
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.4.8_1.4.3		c5cbc8d9d7a2fca6c4643ba784b53d488c1848b8
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.4.8_1.4.4		277a26f3cbe36e98d895bff2ff6cbabfdf2d4a46
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.4.8_1.4.5		5bbdafb23d8dc5b1840033f5d8134df78aba1959
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.4.8_1.4.6		5e5ddaf7ef8b57fe54b71075e334b11358a9a1f2
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.4.8_1.4.7		975adf577f8061d7d385bf7c8c2ad19374733bb9
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.4.8_1.5.0		03243d8a1370480b1c914c48d888204ca10410af
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.4.8_1.5.1		bbc21ec49ac1c816aaddc896326b89bb6980dc34
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.4.8_1.5.2		63207c0b072435c86f3c0a9ef6b8c1bdf7115deb
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.4.8_1.5.3		fc344bff9aca97c95e715bedb63d1d46ec1d3206
com.holdenkarau	spark-testing-kafka-0_8_2.11	2.4.8_2.0.1		c65f4ac7cd4cd686c40338ee6d65d10514989e5f
com.oracle.microtx	TmmLib-jakarta	23.4.1		5a79faac5edace514869091afb74923aa0620e83
com.oracle.microtx	TmmLib-jakarta	23.4.2		6264593711b7b1bbe0716cc19f79bc6232d859bf
com.oracle.microtx	TmmLib-jakarta	24.2.1		cc30b5805a8d5b3df7d64550b7033dc64c22f5f2
com.oracle.microtx	TmmLib-jakarta	24.2.2		99f5b2842098cb983fe9c20f5a150a2a2ec653af
com.oracle.microtx	TmmLib-jakarta	24.4.1		59247e21ffbfe4d4de0dadf3031b4430bc68f794
com.rollbar	rollbar-sender	0.5.0		34be79e83edeac5805ef6d6d5d142bbbc36be1aa
com.rollbar	rollbar-sender	0.5.1		dbe9ea4dfc5b9147291b874a810c7a1a026d173b
com.rollbar	rollbar-sender	0.5.2		1cbc15c00d7234f5e1807a6058b542a76843e4f0
com.rollbar	rollbar-sender	0.5.3		fe8a04cff5ecf73698ec289b0b074a549b0a405f
com.rollbar	rollbar-sender	0.5.4		ac3c69e4b08159989a73fa9dd075e28d455fa78f
com.rpiaggio	clue-scalajs_sjs1_2.13	0.1.0		1ea02a1df6c7f3e4f38431e12f2649eaa6083030
com.rpiaggio	clue-scalajs_sjs1_2.13	0.1.1		f70709b514f93d4c9d01833292b35493f0a212c2
com.rpiaggio	clue-scalajs_sjs1_2.13	0.1.2		83250eeb8be15ca4aae3774ecced3aa6897fd718
com.seanproctor	accompanist-snapper	0.28.0		2469a0d587feba2d8eee88c45cc434f3c5ac44e5
com.seanproctor	accompanist-snapper	0.28.0-0.1		2469a0d587feba2d8eee88c45cc434f3c5ac44e5
com.starxmind	wizard-sms-aliyun	0.0.1		04c5ca7cac36c64bf8d58fdd611399d2a6eab7b8
com.xkcoding	soap-server	0.0.1		1309a55039009a953f731595b0371d697635b2e2
com.xkcoding	soap-server	0.0.2		3d1d691dc5287d715afe04cbbfbbabafb23ff3e9
io.gitee.yunlongn	yunlongn-retry-schedule	1.3		90b6d7b25a80cbe07fbfd59a875470ec0c67198b
io.github.bdluck	dustpan-dynamic-common	1.4.3		e90b503f5b69d9fa5b01ca85a7878856ad3520a8
io.github.bdluck	dustpan-dynamic-common	1.4.4		ac1517f0ff7050bf8b061fcfdd73542e459ce541
io.github.bdluck	dustpan-dynamic-common	1.5.0		611bd2625bd33f3241183766905753012be11325
io.github.bdluck	dustpan-dynamic-common	1.5.1		e834ddf879022b2847e4c9b6436f420ea03fa663
io.github.bdluck	dustpan-dynamic-common	1.5.2		9e7c1430c4ba9b7b09ebedc6cd19614a712df7bf
io.github.bdluck	dustpan-dynamic-common	1.6.0		e08f7355ad8ff7e78b744220e42ff23b0f944c6b
io.github.bdluck	dustpan-dynamic-common	1.7.0		b492116c5a71e9572a01b666a468bc7beddc5f77
io.github.finagle	featherbed-core_2.12	0.3.0		7b2cd395f99a033071c4b7ff9a2b33d10a051120
io.github.finagle	featherbed-core_2.12	0.3.1		59fe541e7c550068ca286443bca00d3817cdd7bf
io.github.finagle	featherbed-core_2.12	0.3.2		315e5184bc6f996427e4d793a3b2e29b120ad79d
io.github.finagle	featherbed-core_2.12	0.3.3		01e84d06dc0f7e819f921e072d4ce911c1f78a21
io.github.lijiahangmax	orion-ext	1.0.1		540f5499f31bbb6f748fdc25ddf3d3d43e28fe79
io.github.lijiahangmax	orion-ext	1.0.2		6c6fc7c2dd24bc172d873a9212e57d13c49a4815
io.github.lijiahangmax	orion-ext	1.0.3		250fea0716961f3b26871feeea2f3b513319b60e
io.github.lijiahangmax	orion-ext	1.0.4		b939fcc39ea6ccd5852bc39fcf506dbd5186c483
io.github.lijiahangmax	orion-ext	1.0.5		1d0ee6e25ad6059c2412d89be7bfcc08e7935a10
io.github.lijiahangmax	orion-ext	1.0.6		3570ce811392693562b289fd2afacaf4565eb1f5
io.github.lijiahangmax	orion-ext	1.0.7		2d97f19071dc056262de9d88448cdc8ab678fa84
io.github.lijiahangmax	orion-ext	1.0.8		ef186bdc1fabf43ac793c8c8d97de52571b66b4a
io.github.lijiahangmax	orion-ext	1.0.9		49f56ceb87a4cdd55379878e0c1e98fc79574191
