org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.0.0-RC2		9182de0843b79581ae16403cc8ac4aca62a14898
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.0.1		270e616dd182d224e10110c74f5bc7b06aedeb56
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.0.2		6a8fb37ba5a51b5ec229da36d355899c1debc623
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.0.3		28a76d58045a70cb1790440377deb2743ea43d2d
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.0.4		6b9c5fd79d9e65bc2c9c15d03d1edb5ce8f01e73
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.0.5		1e763e3620deb094d43c30647f57b39332b052f1
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.0.6		c164bdacab452b54484a0e1e109f64e93df90964
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.1.0		1ce23a4f24b441ea46b09b801963c13c1066e8c6
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.10.0		8c25fa34cc2123be33345a5804b312eaec744181
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.10.1		0ceb5eebeb9d9b70b53935c49b6d23cecd2c3619
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.10.2		c73e325b4020e0cecbf2295f966071e8f8f0cf05
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.10.3		aa16aa6231532067ca6e2e48829d48622f610bc2
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.10.4		8e39ddfa45347ad1d29f7b61c94e16f7dae386a5
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.11.0		4e59db0184ca4cbb106a2d7227e58b84a44299c2
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.2.0		c5e0e79f7b854d3b7a487142268e69f1ad1ec85b
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.3.0		0952bdedaec3b3ea14affb60599ef3b3a3cf8bf8
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.4.0		405e8967caf9481b281a1d104ebfe2d95077876c
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.4.1		81e34e23585d8b9bbdf534f5237ad7ff7b9b1192
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.4.2		7f4b4e79c1e8a48381c78501348462a4ecf9ddb3
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.4.3		60ca7b2bf8f2587581a298eb2da8d07ebe60abcb
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.4.4		6e9fe574e5ce0714e40ee7e3c0dd35c98dd60bdb
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.4.5		2c7c180247e02948f1a224c5a41dda49a41fd763
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.5.0		18c6d8fb385d21a0a2149a4b6c1b0edfa188c111
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.6.0		5c82567b70a1f12dcbb678d2e81a731d5be3cef0
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.7.0		bca429b608eb520573f03211a2492a4c44e51a4d
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.8.0		1a9a7961654b553244cac5adc1986787b86ad6f4
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.8.1		3035ecf9eb7b77eb4df9248f519da0f3fb9067f7
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.8.2		c352f8585951fb6584884779973a9ed16562e667
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.8.3		5556c6b52d7256ddb8397430118040989be10aae
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.8.4		9bcc9a171e35d81feebc756e4809f00fe23bea9e
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.8.5		94b66cb32b17067a78ff829492ec06ce3576dc14
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.8.6		7b7b9b5d68ffea7ea2c0beea491f6b5bb8087679
org.apache.camel.springboot	camel-azure-cosmosdb-starter	4.9.0		3529730a8105828f0fccd0e9983d169392200d4d
org.apache.cayenne	cayenne	2.0.3		64d6940a67e0021cd60b616815e1687ce0644300
org.apache.cayenne	cayenne	2.0.4		97db1f817e04d4cfc03c5010e127dba349d74b25
org.apache.cayenne	cayenne	5.0-M1		4605041a0f71656fe99fcdbdc96a69284aa1b2d8
org.apache.clerezza.scala	script-engine	0.1-incubating		934346398f727208da543fca453eb01e4781ddc7
org.apache.clerezza.scala	script-engine	0.2		84f1ce423ff8a93432275e3852c400997e84b145
org.apache.clerezza.scala	script-engine	0.3		7f3438b7be36fb1987fd9019d962ca0e2a3d07a3
org.apache.clerezza.scala	script-engine	1.0.0		74e2fcf372ef5308ed654c18b2941f4f5a36ae9a
org.apache.pulsar	pulsar-connect-rabbitmq	2.0.0-rc1-incubating		4dcabcec1195f49d3ba7f9c7a3b51c5fc8b1aef1
org.apache.pulsar	pulsar-connect-rabbitmq	2.0.1-incubating		3377e8f86abaec0ae29bba32c88fed709b886637
org.apache.shardingsphere	shardingsphere-infra-database-testcontainers	5.5.0		8489f6e881d1011a728dfdeeb2d0cb25aeecf49f
org.apache.shardingsphere	shardingsphere-infra-database-testcontainers	5.5.1		e60591dd46feed7bc021f38e900e139bdd56aa2c
org.apache.shardingsphere	shardingsphere-infra-database-testcontainers	5.5.2		cfcd858ca1f204ea1689dc423148ad6b9b6dd021
org.apache.taverna.commandline	taverna-commandline-launcher	3.1.0-incubating		dc5e2538db4305d0e21f3370eff5ef4672c30865
org.commonjava.indy	indy-depgraph-model-java	0.99.0		71011683f5e4d207624d7999b58d193f1a1eba5e
org.commonjava.indy	indy-depgraph-model-java	0.99.1		db16d70dfddfc85b789ad7999af6007c1cb10005
org.commonjava.indy	indy-depgraph-model-java	0.99.1.1		8bd3102a37ede771821884d6130622c5f72de769
