au.net.causal.shoelaces	shoelaces-jersey-client-integration-tests	2.0		N/A
de.dagere.kopeme	build-tools	1.1.13		c461d95462b7121f5c7696ebf6cd62114b62e7e1
de.dagere.kopeme	build-tools	1.1.14		903b6d2069380fa78d7d111ea91e8d34c826bf50
de.dagere.kopeme	build-tools	1.1.2		afa015e37ba53cb6b1f35046fa7c80988d7bc7fb
de.dagere.kopeme	build-tools	1.1.3		461a5c13142bdad14958211500e03f9ad224a802
de.dagere.kopeme	build-tools	1.1.4		6d9d6ede56c8266a133c0bca258c2601b43827a7
de.dagere.kopeme	build-tools	1.1.5		197a2eddc2b3490a697a07554c848114a1916b4e
de.dagere.kopeme	build-tools	1.1.6		fdd08933d69b7b764516272371660ba67314bd90
de.dagere.kopeme	build-tools	1.1.7		0de3cea15b8dedddf37e61675af61e66ba7fc8bc
de.dagere.kopeme	build-tools	1.1.8		454503f81c805cf27bdd8f4be299e57b70ed4827
de.dagere.kopeme	build-tools	1.1.9		fa38352053e157820ef1a8a6917ad7be6745fed6
de.dagere.kopeme	build-tools	1.2.0		c04a77a2e5ddae7e20b9b4adb84c78cf34b6d475
de.dagere.kopeme	build-tools	1.2.1		e2823f941cd9649da148bd6c3afbc87a71850171
de.dagere.kopeme	build-tools	1.2.2		a48bc8f093615eedc513e5591ac7ea6cb88792c0
de.dagere.kopeme	build-tools	1.3.0		a40321c4f54e12d4aba3303ec117cd38f138e2af
de.dagere.kopeme	build-tools	1.3.1		6b6c3c6474457020a2a610c0f9d0918d390c8713
de.dagere.kopeme	build-tools	1.3.10		fa89f77053cdc025ece43cf1cce2699a259333b8
de.dagere.kopeme	build-tools	1.3.11		2c5c075682de8f8f8601cf97b26b5a9d60cadce8
de.dagere.kopeme	build-tools	1.3.12		6b8cdc6336dde0c6783022aedd1d4651188350b7
de.dagere.kopeme	build-tools	1.3.13		0d24943aabe537187de2ec0db6bc12256f9da8e4
de.dagere.kopeme	build-tools	1.3.2		c2b83697365b464480199bfd02c0829b088b26a7
de.dagere.kopeme	build-tools	1.3.3		2d2555ce32e6577aa0bf2891879b022478e98be4
de.dagere.kopeme	build-tools	1.3.4		ce8777441621a3f05aa98e71929f6da0f56e20ef
de.dagere.kopeme	build-tools	1.3.5		92b8478de62323262069917a440957fac355b82e
de.dagere.kopeme	build-tools	1.3.6		69d4a51cbda99eba6784b26fa8f55c6efa13b1fc
de.dagere.kopeme	build-tools	1.3.7		6b6b0a9dc8ca71203afc81d0dabac92a1e09ee49
de.dagere.kopeme	build-tools	1.3.8		26a9c3ab83ff8ae095c66e6f7a836bbf489a8afb
de.dagere.kopeme	build-tools	1.3.9		4c213c7b295f6965bc129893965f342287d70d0d
de.dagere.kopeme	build-tools	1.4.0		d84162372c8460658310d8177722f9244d3e8c52
de.dagere.kopeme	build-tools	1.4.1		e2464e8d20bf6bf9216146171b7abace120d0152
de.dagere.kopeme	build-tools	1.4.2		a3a5e1e9b44a5eff6703504cfeaa9a0c357bd73b
de.sciss	topology_sjs1_2.13	1.1.3		f5e5f3c8e6d260041524d452a4d465f4e14cf291
de.sciss	topology_sjs1_2.13	1.1.4		e7033bac66db911664b9ec7885aa5e858fc5d37f
dev.icerock.moko	test-robolectric-jvm	0.6.0		1b2fb8473cb0c2ac231bb894696b5579fdf3aa36
dev.icerock.moko	test-robolectric-jvm	0.6.1		803010f6de8a4faa2c52bfc22a355171df5afa95
guru.zoroark.tegral	tegral-openapi-dsl	0.0.2		a2b7a22d30e5a191d181cb20d1de8c2347a32443
guru.zoroark.tegral	tegral-openapi-dsl	0.0.3		6087079ef89486b1b1cd030803e58c154ee60c0b
guru.zoroark.tegral	tegral-openapi-dsl	0.0.4		1983a5dc60f7ceb76c4f4886391bffb0771800d4
io.burkard	aws-cdk-scala-cassandra_2.13	0.1.2		0f72f2bbc31a8e3c2bd8e8d1b53420e769b7933b
io.burkard	aws-cdk-scala-cassandra_2.13	0.1.3		5dcf46e9b607298a3efa1171aa298c8f98e2cda6
io.burkard	aws-cdk-scala-cassandra_2.13	0.1.4		8d053284ec1870b0de07feacdf002c0b880a0cf1
io.burkard	aws-cdk-scala-cassandra_2.13	0.1.5		b56a52d5b08107877ab75c2bc76c5e51a0446247
io.burkard	aws-cdk-scala-cassandra_2.13	0.1.6		1bcee2582663f43b591f9238c8d1217a6ad73188
io.burkard	aws-cdk-scala-cassandra_2.13	0.1.7		79a2b2a8fb9ff3f0929795f9257b5f27dcd9f0e8
io.burkard	aws-cdk-scala-cassandra_2.13	0.2.0		119c67171a1fabf490beab9c30ae34a8aa755199
io.burkard	aws-cdk-scala-cassandra_2.13	0.3.0		7d5d5fd1c06f3e63665e827d1c1a92213b2f115c
io.burkard	aws-cdk-scala-cassandra_2.13	0.4.0		3b9618389774e8cbae4eea42ede31c10ffbcdb8f
io.burkard	aws-cdk-scala-cassandra_2.13	0.4.1		4e0fed59cfef610d4bbd3da69433d98a26e69836
io.burkard	aws-cdk-scala-cassandra_2.13	0.5.0		4d0e5873024b968956746c16c10ad0428d1b1aa8
io.extremum	extremum-datetime	2.1.19		cf1375f5f48d650435101b0f5ed2a053ddc96c98
io.extremum	extremum-datetime	3.0.0		9b4a3f2e0b6247b00e1905f79961ab62a50b1845
io.extremum	extremum-datetime	3.2.0-rc.1		bb86f4231fc2507bc52cbbfc334af63ea429c3b3
io.fluentlenium	fluentlenium-coverage-report	6.0.0		da0b005231353a24b85127a481a5d6de1e96cb00
io.github.ilankumarani	library-app	0.4.0		N/A
io.github.martinancevskicl	library-iosarm64	1.0.0		N/A
io.github.martinancevskicl	library-iosarm64	1.0.0	metadata	7a6b8b0ecfbc38309e6b4f94c94abc25f386ec86
io.github.projectunified	uni-hologram-spigot-picker	3.0.0		a3e7d309412f8ac5379bb8140e456f91ad1ae8d0
io.github.projectunified	uni-hologram-spigot-picker	3.0.1		120ed6c6cf0014eea4f9b03555dc63538ef3be9e
io.github.projectunified	uni-hologram-spigot-picker	3.0.2		9632ab4c3b582b86e1f5ed6f7ef757ce32906605
io.github.projectunified	uni-hologram-spigot-picker	3.1.0		b0885d3b40a27d3a4db629dfd03e3174718074e5
io.github.ronghuaxueleng	annotation-utils	1.0		99ce84e4176478f097b6203cc2f809abe8921d09
io.github.ronghuaxueleng	annotation-utils	1.0.1		093b8167395e208559c553a87769152cb9f270e9
io.github.ronghuaxueleng	annotation-utils	1.0.2		5a39dbf850a99f568fc37efe6f6c9a44daca5cb8
io.github.ronghuaxueleng	annotation-utils	1.0.3		62336d49732fe0f07d665de4f0f6d77c7f8cc5bc
io.github.s4nchouz	spotlight-onboarding-desktop	1.0.0		f73dd2cf818d2b50c97f213ae98068ce99809125
io.github.s4nchouz	spotlight-onboarding-desktop	1.1.0		959ee5465d1f8cd02f68be9a76899eba151bd9fb
io.github.s4nchouz	spotlight-onboarding-desktop	1.1.1		959ee5465d1f8cd02f68be9a76899eba151bd9fb
io.github.zhaohaoh	es-plus-annotation	0.0.1		ba405de978fda9ab845beb4a644bb2d0ad2fffe7
io.github.zhaohaoh	es-plus-annotation	0.0.2		1ee350b792b63c7c2abdabdb4e243931bec13fc7
io.github.zhaohaoh	es-plus-annotation	0.0.3		3a871b0fbad1afb9c7b001dda9a98cda0543327b
io.github.zhaohaoh	es-plus-annotation	0.0.4		a1c6a3cee219ef2489d8960b8843c541ea8fd214
io.github.zhaohaoh	es-plus-annotation	0.0.5		bf76be682dd413a9757137f1e6addbfc4f675b7b
io.github.zhaohaoh	es-plus-annotation	0.0.8		8cd3eae44b1ee238744afc5bd8b9d55c21bc0729
io.github.zhaohaoh	es-plus-annotation	0.0.9		063d7f4687a5278cc434226dec4a3446ef74e48d
io.github.zhaohaoh	es-plus-annotation	0.1.0		8db3379a7f592e4e615957b3935f94cb2f2e88cd
io.github.zhaohaoh	es-plus-annotation	0.1.1		e50a382ef9ee06f5432fc5974b73ebbd9a49226c
io.github.zhaohaoh	es-plus-annotation	0.1.11		c1d78e18a1b389ac22e55cf0cfa51b7ab378f81f
io.github.zhaohaoh	es-plus-annotation	0.1.2		af37ce7fe254bd96d08d463d8b65fbab86b4e783
io.github.zhaohaoh	es-plus-annotation	0.1.21		f71f95a7b4e5bd6e8e9f08c9747e6ede3d5545dd
io.github.zhaohaoh	es-plus-annotation	0.1.22		e62b4056ab958c520c1cf27b4a96a59390efefef
io.github.zhaohaoh	es-plus-annotation	0.1.23		620f5350dc2fab7e02ad34518747405d23af587d
io.github.zhaohaoh	es-plus-annotation	0.1.24		e25aaa411452caae1e3053303582328076b71e6d
io.github.zhaohaoh	es-plus-annotation	0.1.25		5d8a1649ac40b02d8936c196b9adb70108119329
io.github.zhaohaoh	es-plus-annotation	0.2.0		2dfc5f4e2710b456b15404dcdc1f80da185d9569
io.github.zhaohaoh	es-plus-annotation	0.2.1		198fc71a086af4eddc8854c6c77a8d68d932547e
io.github.zhaohaoh	es-plus-annotation	0.2.2		77751dbf038d14ac09a0f374f0e4450f418009e7
io.github.zhaohaoh	es-plus-annotation	0.2.3		760eee5332c071a9f6df14c0230dd7279a915ea0
io.github.zhaohaoh	es-plus-annotation	0.2.4		97b3460efae62c2a81f663342d61f03cc6b10f07
io.github.zhaohaoh	es-plus-annotation	0.2.5		8247ab7ed259deb5ef9d489032b50aca35b894c6
io.github.zhaohaoh	es-plus-annotation	0.2.7		ccd6baca69620e15fd09bae1f19d2c3f8a75cfb1
io.github.zhaohaoh	es-plus-annotation	0.2.8		82fe5408a6bdd75705811f6a46b7029a8b8378fc
io.github.zhaohaoh	es-plus-annotation	0.2.9		67cedf26717e7732e05b58941966bb1e6a598d70
io.github.zhaohaoh	es-plus-annotation	0.3.0		e3fc36234b405f4e8cfd8f7b863087ac0611c7ca
io.github.zhaohaoh	es-plus-annotation	0.3.1		9dcdc44420f1beac4616989354c390848e92049e
io.github.zhaohaoh	es-plus-annotation	0.3.2		c0ec4d26b0aa93c5a008086a43a3d7846506e630
io.github.zhaohaoh	es-plus-annotation	0.3.3		0bfdfc77c52dc4903c5c89ddba2e30673437cc00
io.github.zhaohaoh	es-plus-annotation	0.3.5		ca9909340405dcadd56deb3306b15382fbc595bc
io.github.zhaohaoh	es-plus-annotation	0.3.6		f24cab148280d2584994f462b5f3f5179c8c7616
io.github.zhaohaoh	es-plus-annotation	0.3.7		086f40f14e51ca7811a6050e37608e6d1d5b822c
io.github.zhaohaoh	es-plus-annotation	0.3.8		f2f244ef781558ef730b61578f10d8fc94769543
io.github.zhaohaoh	es-plus-annotation	0.3.9		49882361039897753cde5fc6fa29b75c00d294ab
io.github.zhaohaoh	es-plus-annotation	0.3.91		be0ee018e4486bc7740bc3bf343700632a9669d5
io.github.zhaohaoh	es-plus-annotation	0.3.92		dd2c20c6a70658d052b6e99641e3bed64b580354
io.github.zhaohaoh	es-plus-annotation	0.3.93		d2f556ae1887955fe2c1ebb97eb11f913e2bb922
io.github.zhaohaoh	es-plus-annotation	0.3.94		f02f23db53c2e92e606acbcd064590e3b51ef256
io.github.zhaohaoh	es-plus-annotation	0.3.941		c33bd1ae4e6cffb9e71c0bc418ddf6bc6ca3fe88
io.github.zhaohaoh	es-plus-annotation	0.3.95		c116724666db3dcf5144c0e040b239b49489be77
io.github.zhaohaoh	es-plus-annotation	0.3.96		b352eac47e6f6020eff21641853b69e4fd62f4d4
io.github.zhaohaoh	es-plus-annotation	0.3.97		fe0d23d5c561081d359328805577b226dfe276a0
io.github.zhaohaoh	es-plus-annotation	0.3.98		3625a71c54a58a2db08e1640181ff1884c29815e
io.github.zhaohaoh	es-plus-annotation	0.4.0		c372de7b3a80aa02abb1abfe4439639df4061015
io.github.zhaohaoh	es-plus-annotation	0.4.1		0134d6575341dee1e09a96be05b02e4665ebf927
io.github.zhaohaoh	es-plus-annotation	0.4.2		322594e44040ae5b5ca5d16158224dbcce4afa72
io.github.zhaohaoh	es-plus-annotation	0.4.3		a2c60aecff647cbeb323ed80a2a172d4a08126cb
io.github.zhaohaoh	es-plus-annotation	0.4.4		2264ad13ece969fd37880071d5b9bb98a9134588
io.inpher	mill-services_2.13	0.2.2		00fa887e5d22ea2bea32d0eb3dfdd38c3cdde9de
io.laserdisc	tamer-s3_2.12	0.10.0		b2858219acfd9d9d70087d0706ff6c65c8771091
io.laserdisc	tamer-s3_2.12	0.11.0		67bab0c13f3a3c0577420bfb01e50aa2d681b73f
io.laserdisc	tamer-s3_2.12	0.12.0		d18d07db883968e591ff21b193f4c831a415d4be
io.laserdisc	tamer-s3_2.12	0.13.0		d681fc9c23591add0596b922fdb13859b0af2658
io.laserdisc	tamer-s3_2.12	0.14.0		f3dd1ee96c46133550161b44463b374873367741
io.laserdisc	tamer-s3_2.12	0.16.0		bdd51c26b71a9fd3f73b2e7415f1bc5dc4bc2d4d
io.laserdisc	tamer-s3_2.12	0.16.1		933997e45ab11dd50b5cd5eb84de6e16fe47aa0b
io.laserdisc	tamer-s3_2.12	0.16.2		6f12625c826e866cba02fd832b9ef030ebf9d185
io.laserdisc	tamer-s3_2.12	0.16.3		8ad36753e783808461f9484f8f8361c6200ecf59
io.laserdisc	tamer-s3_2.12	0.17.0		8a01bb27e4fdab2c66db439f3fa4d438f796aed4
io.laserdisc	tamer-s3_2.12	0.18.0		a1ddb976b6718e4d8ed26035149247e5876f2352
io.laserdisc	tamer-s3_2.12	0.18.1		cd18765051628176f3bd4bbfe6cc2d5346832f6f
io.laserdisc	tamer-s3_2.12	0.18.2		781022df0c2043d3611c5bd3fa097a8d52d8c25b
io.laserdisc	tamer-s3_2.12	0.19.0		349b46e33639dacdaefdba36aeafa32fc7a5b9e6
io.laserdisc	tamer-s3_2.12	0.5.0		f91af8593b125ec87ac216980dc0b6d7ed2d2231
io.laserdisc	tamer-s3_2.12	0.5.1		1e406c8ce0f072848005dcee0ff8936eb66ccdbc
io.laserdisc	tamer-s3_2.12	0.6.0		dbbc97521831b37945da0e5df7d393361ff7c98d
io.laserdisc	tamer-s3_2.12	0.6.1		42458a5fcf1263b32a83d4a8dbe2298265f136f3
io.laserdisc	tamer-s3_2.12	0.7.0		d7c45099935b3e95ea2740ba081d0f5ea646cb75
io.laserdisc	tamer-s3_2.12	0.7.1		03d9fd631a70faadf373b50887abc189fc408315
io.laserdisc	tamer-s3_2.12	0.7.2		90a1287c5dcb9e76c498659852d6327eafc737aa
io.laserdisc	tamer-s3_2.12	0.8.0		0215a1ac3316fd9c16ae8f4586b107d81e4147d9
io.laserdisc	tamer-s3_2.12	0.8.1		5f8a8023dc49fd4f83a74430954c4ba19128ab4a
io.laserdisc	tamer-s3_2.12	0.9.0		f276c91f6732260e40f23559b8edb849fa058711
io.micronaut.data	micronaut-data-document-processor	3.10.0		4bc65aff48d74f7774b5cd3c834559eb3f9228db
io.micronaut.data	micronaut-data-document-processor	3.3.0		3e78a5d2e23249f108a875e2e883704bc3e6abf3
io.micronaut.data	micronaut-data-document-processor	3.3.0-M1		62393a4a307766716cbf7d3ef12452eb53e15d26
io.micronaut.data	micronaut-data-document-processor	3.3.0-RC1		830ef01dcc5d3cfa54ba173be5b5de86f58d9f23
io.micronaut.data	micronaut-data-document-processor	3.4.0		1ec167284df3cffcab23ff8ae0d8065759881ceb
io.micronaut.data	micronaut-data-document-processor	3.4.1		db0ef00f91cd1d73893e41e7bd9edf3bd23948f4
io.micronaut.data	micronaut-data-document-processor	3.4.2		9422b68fbefc45c88baa8e054aa90cffe2d40a70
io.micronaut.data	micronaut-data-document-processor	3.4.3		6a98d1dbd681e50b235fc7ea4f30442012079f3b
io.micronaut.data	micronaut-data-document-processor	3.5.0		3834ba43b4600c17309be1c7f8c0addb18b246e1
io.micronaut.data	micronaut-data-document-processor	3.6.0		a2e88a0000c25f2a02922d60e64c327fa10ed41b
io.micronaut.data	micronaut-data-document-processor	3.7.0		2fa6029e5f9ecaa5fcf8bbffd3b44b9d595a1260
io.micronaut.data	micronaut-data-document-processor	3.7.1		e05a1f8826fac7a9ecd3ac3df0b8e08bcf92195d
io.micronaut.data	micronaut-data-document-processor	3.7.2		09e9950817f286499b7cb2d41d6f3195965c6a8f
io.micronaut.data	micronaut-data-document-processor	3.7.3		611044f216fce462d9f35a714872c044be1c7177
io.micronaut.data	micronaut-data-document-processor	3.7.4		fb587d3a9e2afdd6d11a78b8d4802ddf435c3ede
io.micronaut.data	micronaut-data-document-processor	3.7.5		e5e4553d61fa3be9b59af89282e9013455a7016d
io.micronaut.data	micronaut-data-document-processor	3.8.0		5b27010c2a27a5fe5ac4e352590a62840cab69c1
io.micronaut.data	micronaut-data-document-processor	3.8.1		5ac348bab20cc596ee37f02710237bd29040e017
io.micronaut.data	micronaut-data-document-processor	3.9.0		a0f9e470c60690a944ecb8a7a044a1440e90acc5
io.micronaut.data	micronaut-data-document-processor	3.9.1		eaf2aba310aeafea72d5d642e02d3044510cd627
io.micronaut.data	micronaut-data-document-processor	3.9.2		25657bf8247f190ad62931bb67c99dcea2ef742a
io.micronaut.data	micronaut-data-document-processor	3.9.3		aa3ec69e0afd1d68d92f9c7945a3c154b4425a83
io.micronaut.data	micronaut-data-document-processor	3.9.4		d4ba410e4f13bf133be370cb57ea965637a46a47
io.micronaut.data	micronaut-data-document-processor	3.9.5		a64b92a8b58b0c5b4e25375eafdead97c742f0f1
io.micronaut.data	micronaut-data-document-processor	3.9.6		64dcc3ab7e0791940cef1d50fbe24da63d7ebcaa
io.micronaut.data	micronaut-data-document-processor	3.9.7		b8ed6e39cee55f3ce257757ae9f26b8909e6d12d
io.micronaut.data	micronaut-data-document-processor	4.0.0		d12327566f44e4216eb7b23523afeec0ece209ce
io.micronaut.data	micronaut-data-document-processor	4.0.0-M1		cbe63c1550651a48f32fd8548fb46737d3fc109f
io.micronaut.data	micronaut-data-document-processor	4.0.0-M10		904c814f0d54206822b8c8a11a2ee351eed94dc5
io.micronaut.data	micronaut-data-document-processor	4.0.0-M11		144a5729bdd8ee03632b1af8c41e8216252912c5
io.micronaut.data	micronaut-data-document-processor	4.0.0-M12		2ea244aec4e702038025586a5b1375cc74cfb8ab
io.micronaut.data	micronaut-data-document-processor	4.0.0-M13		eb99643fdfe84633f6e5fc44b4e777bb579a114d
io.micronaut.data	micronaut-data-document-processor	4.0.0-M14		443c1d92091cf859c968b6e62f6cc2dee7ff7f86
io.micronaut.data	micronaut-data-document-processor	4.0.0-M15		3973d968332c551e5b1e65769de41b52bdbd25c1
io.micronaut.data	micronaut-data-document-processor	4.0.0-M2		62214a7a33f36590ca8906fbc4ef3236cd74e54c
io.micronaut.data	micronaut-data-document-processor	4.0.0-M3		45e0a28a1f4c019bc240db89a074b7d9a98e7a66
io.micronaut.data	micronaut-data-document-processor	4.0.0-M4		bc8d123770658ad680bbe2ddb9f97e673b6e2935
io.micronaut.data	micronaut-data-document-processor	4.0.0-M5		00ad1e4afa36bbcec730c6e745eae0319ac6934b
io.micronaut.data	micronaut-data-document-processor	4.0.0-M6		4fa72b3ed6752655df597062b8f09fd9d85018ec
io.micronaut.data	micronaut-data-document-processor	4.0.0-M7		a150a04e53d0b7d30ecd2cb5d7eed1823fdfef3d
io.micronaut.data	micronaut-data-document-processor	4.0.0-M8		da246af92266184d24c6b3749d988ca59bda1252
io.micronaut.data	micronaut-data-document-processor	4.0.0-M9		f0642ac24ff582764685bd8d57ac77470091ead4
io.micronaut.data	micronaut-data-document-processor	4.0.1		3735ac62ccd417afbfc1468b8cc6a8aba7ac96c3
io.micronaut.data	micronaut-data-document-processor	4.0.2		968ecbf09f33e5787a986641ca5783c58fa1a1de
io.micronaut.data	micronaut-data-document-processor	4.0.3		e1ce787c437b864a4e4c9625443b748d8d2b7396
io.micronaut.data	micronaut-data-document-processor	4.0.4		236144414a6bacd84f91c6582667a4ade3e650c3
io.micronaut.data	micronaut-data-document-processor	4.1.0		faf8384be02f57cc23e0625886d45b2354db9219
io.micronaut.data	micronaut-data-document-processor	4.1.1		31446e334e4f229208db32d9882334b0d2316fc1
io.micronaut.data	micronaut-data-document-processor	4.1.2		fc98bfeb1d40193500058126e54a9501dac5db51
io.micronaut.data	micronaut-data-document-processor	4.1.3		bee51caa9937dd4eb11ed3499c5ed2c433ffe62b
io.micronaut.data	micronaut-data-document-processor	4.1.4		0ee8793748cdbbabb8759c450761137d19d5ed1e
io.micronaut.data	micronaut-data-document-processor	4.10.0		96a8cf45967c4aae393ff231f23715e2cb47ab13
io.micronaut.data	micronaut-data-document-processor	4.10.1		391c8c6457ac78d6efda72d4eb931c08c251ed5a
io.micronaut.data	micronaut-data-document-processor	4.10.2		e0ea9e5f823e1ba5b44967562338670a60664ddd
io.micronaut.data	micronaut-data-document-processor	4.10.3		74a20aff3961bcefcb6d9ec1b68b0e5e7f288807
io.micronaut.data	micronaut-data-document-processor	4.10.4		97eda6fff2882a9f61cfaa8591508a7d0b9903cb
io.micronaut.data	micronaut-data-document-processor	4.10.5		b6239eeb712099ee83b6b460bbf837ee1e0a1afc
io.micronaut.data	micronaut-data-document-processor	4.11.0		69b65a78363865520d79e203acb6d957f8b1faa0
io.micronaut.data	micronaut-data-document-processor	4.11.1		6f90989b9e5558973ee774dce0e7a6eb976e6d59
io.micronaut.data	micronaut-data-document-processor	4.11.2		f29aacf97e781060d65e19e7e799ed7e07990332
io.micronaut.data	micronaut-data-document-processor	4.12.0		367feb66afa80a86f270686ec3ffca6a4d23ae83
io.micronaut.data	micronaut-data-document-processor	4.2.0		1490d7039f1b9d4f21aed1b31a9d411682c3fddc
io.micronaut.data	micronaut-data-document-processor	4.3.0		449408843edae459c634417b642e58864a27af81
io.micronaut.data	micronaut-data-document-processor	4.3.1		5e39dd6e6459f97f4db8c4c5bebf69ebe78c9327
io.micronaut.data	micronaut-data-document-processor	4.4.0		36ba2974be51d004784de77515b120622718f62d
io.micronaut.data	micronaut-data-document-processor	4.4.1		6f8fee77e3410aa968ba687c27d5c7679f4d10fb
io.micronaut.data	micronaut-data-document-processor	4.5.0		6658bb3ee3770b2127fbcb1ccc60d7f28aa3edd5
io.micronaut.data	micronaut-data-document-processor	4.6.0		8b3caa0e58c89bb3ace351de34b7ae932f959188
io.micronaut.data	micronaut-data-document-processor	4.6.1		46e992da3f7190533f3dc9de600ed6e26048adcf
io.micronaut.data	micronaut-data-document-processor	4.6.2		5fc53c820472d5af74b1923c65f15640be7a3884
io.micronaut.data	micronaut-data-document-processor	4.7.0		c6edad5a6a3b38a1af4aaf296c2078ecb4400370
io.micronaut.data	micronaut-data-document-processor	4.7.1		7386ea07ea7887db5b1a40d8bb8a6f14662dbedc
io.micronaut.data	micronaut-data-document-processor	4.8.0		7b0a047ee13209ec1606c5ec367cce575a7ab1fe
io.micronaut.data	micronaut-data-document-processor	4.8.1		31c255254abb3883c60c1cdc33e6e2269e0643d8
io.micronaut.data	micronaut-data-document-processor	4.8.3		72ed83e7cb08011921a768e71e60400439406b0f
io.micronaut.data	micronaut-data-document-processor	4.8.4		0e172972617b685938c389fad23d160867656135
io.micronaut.data	micronaut-data-document-processor	4.8.5		ab9df955cad9652107ca50f1eb78afc9504c36bb
io.micronaut.data	micronaut-data-document-processor	4.9.0		8fb699e9f465aea6cfcef181adc1031b103a36c3
io.micronaut.data	micronaut-data-document-processor	4.9.1		f98fda9a536b9153166e4c6a63aebf6618f3a9d9
io.micronaut.data	micronaut-data-document-processor	4.9.2		612643d933cf25b4de2ba6ab5c3c95c0ab22adb0
io.micronaut.data	micronaut-data-document-processor	4.9.3		c1526ed480d2ad7523b72f3ac651e7d4a3520dd6
io.micronaut.data	micronaut-data-document-processor	4.9.4		4c14f8fb735c245499a776e227cb68118c49f630
io.micronaut.data	micronaut-data-document-processor	4.9.5		0e21f986506a5ac24d16bd3f720757096a572a1e
io.micronaut.data	micronaut-data-document-processor	4.9.6		4422cd76206856b521cf449fc15193c4b4377e06
io.micronaut.data	micronaut-data-document-processor	4.9.7		5b75d8fe4ec1dc8a231d4f5acd00aae1db024efd
io.seata	seata-http-jakarta	1.6.1		3167b98cbba1ef3f9b4749020732a900e8d7285e
io.seata	seata-http-jakarta	1.7.0		fe38c8fa5253e3959b7a6f2e4476b8185cf266d7
io.seata	seata-http-jakarta	1.7.0-native-rc2		35d85bde43c7440c284e3c681c95ffa1dfcfc257
io.seata	seata-http-jakarta	1.7.1		10ae7b3edb63279afbcc1e73d52dab58fe364743
io.seata	seata-http-jakarta	1.8.0		e0722c8cd826342ef91780dcaf792fa6d1f07038
io.seata	seata-http-jakarta	2.0.0		20a2cebc55b5ebe1b10fcf5873fbea662e6f7694
io.suzaku	boopickle_2.11	1.2.6		666c9d543bc838012319715add7f21b7e18f88de
io.suzaku	boopickle_2.11	1.3.0		cbc4bd7bf7e7600c0bac9b478d2d9b7bf45c7975
io.suzaku	boopickle_2.11	1.3.1		547bee0cc40389870aa704c42bc1311370e70e9e
io.taig	taigless-registry-in-memory_2.13	0.0.10		a4db39fcc526d0d94abb02681f3f6faada9f3a10
io.taig	taigless-registry-in-memory_2.13	0.0.11		4d6766493bf2e0fdd294f83ac9c2528c02e9ba2c
io.taig	taigless-registry-in-memory_2.13	0.0.2		b2e9e730d9b80a7c525a0ca3d0c6db24fc4b7c8e
io.taig	taigless-registry-in-memory_2.13	0.0.3		e11722e196346bdcafb59a78d3d7bf09110b68f5
io.taig	taigless-registry-in-memory_2.13	0.0.4		5a8c2c712db213e6b576fcf24c7b8f7a52555835
io.taig	taigless-registry-in-memory_2.13	0.0.5		6f0824946bd717af3f9ec26154aff6ff2aa91636
io.taig	taigless-registry-in-memory_2.13	0.0.6		dfba96d0fc187f4b60c041fd6557f7961115700a
io.taig	taigless-registry-in-memory_2.13	0.0.7		d498fb8baee4612ed00d88f0623bbd1263623b0d
io.taig	taigless-registry-in-memory_2.13	0.0.8		ab2b04fa4fb0ceb653877754990ea3adaef76afe
io.taig	taigless-registry-in-memory_2.13	0.0.9		6f021b7fe08ba9fd4b8bfb670a2f64dda7288f74
io.taig	taigless-registry-in-memory_2.13	0.1.0		19e82feda53ec54e0c8a65c76e17bbc6fdfe261e
io.taig	taigless-registry-in-memory_2.13	0.1.1		ba0eefeecb396c9eb3b09c6835f84c45d5922ea2
io.taig	taigless-registry-in-memory_2.13	0.1.10		2e45504b7c8bc51352cf9bbe0c0ac455ed7e9fda
io.taig	taigless-registry-in-memory_2.13	0.1.11		18d0cbc4787075b504ad6b75e57c050024e20bfb
io.taig	taigless-registry-in-memory_2.13	0.1.12		c56afc479d381a0c1a055558834acd95be8d512d
io.taig	taigless-registry-in-memory_2.13	0.1.13		8088e012be605505b55d7be9141ed98bcc9d236b
io.taig	taigless-registry-in-memory_2.13	0.1.2		9e985054570c506be87acdcc2a1fe675571fe042
io.taig	taigless-registry-in-memory_2.13	0.1.3		00e7fffeb8c7bac83c5ff66aec3e6e0f16355f79
io.taig	taigless-registry-in-memory_2.13	0.1.4		bf2f5bd1dcef80231a76e2d2be3080d7b92f6a16
io.taig	taigless-registry-in-memory_2.13	0.1.5		62b16120535dfcfe346f6c3214069ead65b60d72
io.taig	taigless-registry-in-memory_2.13	0.1.6		c99c4962578a33f090079bb4871d27ba3c604a64
io.taig	taigless-registry-in-memory_2.13	0.1.7		9304dfb3995d5e6f428e71b8db618905ed6b28be
io.taig	taigless-registry-in-memory_2.13	0.1.8		61a305c2e5c6b8140a871029531335657a615543
io.taig	taigless-registry-in-memory_2.13	0.1.9		3bbfb5a0504b8d3f5948ba7fc5641b36301d3b84
io.taig	taigless-registry-in-memory_2.13	0.10.0		df3d6db13bdaed59bad047c1d056e9b313d37bd9
io.taig	taigless-registry-in-memory_2.13	0.10.1		c7251db572128a511ffce86f7a56b19e52f1e739
io.taig	taigless-registry-in-memory_2.13	0.11.0		1762a88ede0477c80cedfbbec433b0e5a2cab9b2
