cc.co.scala-reactive	reactive-web_2.8.1	0.1		906e210cfef063412dfdcc32af1c350bae37f25b
com.pep1	pep1-commons	0.2		0b309ac337742e721e103ad21be738e45a885e36
com.pep1	pep1-commons	0.3		f72383961c761f45759d9d92dc632516ed830217
com.pep1	pep1-commons	0.4		c18d7f0a07387e2801cbff676abb8de4804644d4
com.pep1	pep1-commons	0.5		199842f6054698a6b494682a702306c99fbd6bdf
com.pep1	pep1-commons	0.6		a035f4afd35d4225d61dcaf15f628b6adb6cfb39
com.pep1	pep1-commons	0.7		83745acec51c615a62c46482eff2a16f61fe66f1
com.pep1	pep1-commons	0.8		ab0ed7b50bc892e8a43e0c4a168a67e23d1f67dd
com.pep1	pep1-commons	2.0		63ac9345b9095f3768570db80753e22ac5e2db08
com.pep1	pep1-commons	2.1		1b09e582e6ebd03acd041d0c74bde6091a6602d4
com.powsybl	powsybl-ucte-util	3.5.0		06fda461b9805a9a73ccb52192df74a312d21c1e
com.powsybl	powsybl-ucte-util	3.6.0		b0cca61e810ed91d9e3c14a0dfb757f37c9a3fc2
com.powsybl	powsybl-ucte-util	3.7.0		71b8ec3642fe61d40e97627029b0e95dba3bdf47
com.powsybl	powsybl-ucte-util	3.7.1		45aa52e7d2978261e295f6c3436e6b05e634492d
com.powsybl	powsybl-ucte-util	3.7.2		ed27808d0a1a974da1c85f5d47718dcccda9de14
com.powsybl	powsybl-ucte-util	3.8.0		7531a510305aff99d51c4e3a83b9f6c614a75d58
com.powsybl	powsybl-ucte-util	3.8.0-RC1		5580e82b177b69e05a6741054b78071aaade4580
com.powsybl	powsybl-ucte-util	3.8.1		cf956823f8f216c28f1f0a8c4dea4035ec2923eb
com.powsybl	powsybl-ucte-util	4.0.0		95de175d48888894be2252c1a9382fc2ae453206
com.powsybl	powsybl-ucte-util	4.0.0-RC1		6fe1941c27df103e6d4ce45f30855791bf4d5e40
com.powsybl	powsybl-ucte-util	4.0.0-RC2		08f40c37f60b15751313dfe18fc3987c5d2a2272
com.powsybl	powsybl-ucte-util	4.0.1		8da681fc9af8d578fea2fe93f1c5a7f86a0ef541
com.powsybl	powsybl-ucte-util	4.1.0		1de83446d5a038f6623b511ccefea50476ef8b1f
com.powsybl	powsybl-ucte-util	4.1.1		3f8a3bcc10e582cef1bf316b8f8cadad915ed7b1
com.powsybl	powsybl-ucte-util	4.1.2		1923d55c3380c428987840213bcb6eead09f9c59
com.powsybl	powsybl-ucte-util	4.10.0		780f1e21923e223b59bf01535c89fd36a08d2dce
com.powsybl	powsybl-ucte-util	4.10.0-RC1		e129875ef36623e1a8f41d5afa4d776ba60d3d6e
com.powsybl	powsybl-ucte-util	4.10.0-alpha-1		1b5e28a261bb7426304ed8781f0f1c6400b45982
com.powsybl	powsybl-ucte-util	4.10.1		5b6bf840581a05e157ebeea305d89e9f05aa1a82
com.powsybl	powsybl-ucte-util	4.10.2		4405586a8f93e5a7f0ac94134a864ad3f09ead9f
com.powsybl	powsybl-ucte-util	4.2.0		71b2974c79d4e6d8769a399007827a5114173838
com.powsybl	powsybl-ucte-util	4.2.0-RC1		6bfc7abe07b6db9e3842def023c1ce65cfd70199
com.powsybl	powsybl-ucte-util	4.3.0		032448a3a93e834b6c67c2b50679e4104029ab7c
com.powsybl	powsybl-ucte-util	4.3.0-RC1		6df834c0afd017f557848f47733bba32e84896de
com.powsybl	powsybl-ucte-util	4.3.0-RC2		84b9ace73ed0b1bc950ba52a6c59bbae0a67993d
com.powsybl	powsybl-ucte-util	4.3.0-alpha-1		08a2180cbd970f4fb913ddce3482e06f4c5dcf35
com.powsybl	powsybl-ucte-util	4.3.1		b04d86ac2524a2b7dd29a638614062052729ca90
com.powsybl	powsybl-ucte-util	4.4.0		3dc2855389efd81200ba3c490dbcc4dd546a33d8
com.powsybl	powsybl-ucte-util	4.4.0-RC1		8ec021f5ef1c5edcfe50adf9d70a94ebb1af88fd
com.powsybl	powsybl-ucte-util	4.5.0		c94825bfe22dfb8b16e1d1aa38ed7cb5df7a346e
com.powsybl	powsybl-ucte-util	4.5.0-RC1		81ab4e387e8cf7b6c9caaadeb2ec3ed79c503ace
com.powsybl	powsybl-ucte-util	4.5.1		9e38d3496dc6839e80817b62f2be97f7fb466b62
com.powsybl	powsybl-ucte-util	4.6.0		e544793b2a71df84aafe4587c91868af080b0e6d
com.powsybl	powsybl-ucte-util	4.6.0-RC1		c5a948f6ac7e738dfdaf5394e01c8e6b01634d28
com.powsybl	powsybl-ucte-util	4.6.1		2d546ba803945d67179b304dd3de9b8bf95f9952
com.powsybl	powsybl-ucte-util	4.7.0		982dca3caa9e8449b9fdbc750409c6225c67b249
com.powsybl	powsybl-ucte-util	4.7.0-RC1		52351bbd8441602148cb2c4cb5a4624400a334ac
com.powsybl	powsybl-ucte-util	4.7.0-RC2		936c0353c54e3512664f965241e49130f8160d5d
com.powsybl	powsybl-ucte-util	4.8.0		0003f55e03c488ebe0cfdd533ed0f5db3b6a6768
com.powsybl	powsybl-ucte-util	4.8.0-RC1		0571cc97059ab34a5a4dd638ff98d27df6f66127
com.powsybl	powsybl-ucte-util	4.8.0-RC2		183838f7c7bb78421d38cc77d9632d2c846c3eff
com.powsybl	powsybl-ucte-util	4.9.0		e62d50e6bbd2f0005cb8c45f4c951d0ce3ff4d5c
com.powsybl	powsybl-ucte-util	4.9.0-RC1		87155ad7d826b851b3a0e81753ef040c7df4cecb
com.powsybl	powsybl-ucte-util	4.9.1		68a8ce5b13d9cc270f6d8728ab015ac47084cbea
com.powsybl	powsybl-ucte-util	4.9.2		261236a553885deae16f758d738abdc13ddc2603
com.powsybl	powsybl-ucte-util	5.0.0		542a5dea627c558e2ec4df67c9038da8a5b09627
com.powsybl	powsybl-ucte-util	5.0.0-RC1		6ac8af2bc8b5e589acb1ac7524399ec26d100432
