ai.eye2you	usbCameraCommon	2018.10.2		N/A
com.liferay	com.liferay.asset.test.util	5.0.1		a438446e0d2515ef96ac2cbf993fb28efff393e7
com.liferay	com.liferay.asset.test.util	5.0.10		9b03b57a5467b940da12683237c985f66068c622
com.liferay	com.liferay.asset.test.util	5.0.2		a23c54b935a4562c884cb5f8505a39c6b7a77374
com.liferay	com.liferay.asset.test.util	5.0.3		7da12a70d953f3d126d525e8e5c3ba20fcf3a6fe
com.liferay	com.liferay.asset.test.util	5.0.4		70f46c66759320e12899ce755a242955ffe1fafa
com.liferay	com.liferay.asset.test.util	5.0.5		649a8d4e08bad760f664795770b22b2fbff2f9e4
com.liferay	com.liferay.asset.test.util	5.0.6		4720e3de8b60ccce98324d1157648db172f4dcb6
com.liferay	com.liferay.asset.test.util	5.0.7		6ffa61d666e14e0d58fb11d044569b7f6db9ffd8
com.liferay	com.liferay.asset.test.util	5.0.8		de0595380ba612b753cb9bd854c8889f09ed4914
com.liferay	com.liferay.asset.test.util	5.0.9		e9406c3c4d194fd73c151426260ddef9c32d174b
com.liferay	com.liferay.asset.test.util	6.0.0		33530a89bbf45f47175dca3a59f0451784d349fc
com.liferay	com.liferay.asset.test.util	7.0.0		486fdedd056e7cb4a04cbd21f40048c8192c7133
com.liferay	com.liferay.asset.test.util	7.0.1		02147b73cfde4987bfc9a7ea9f7c55e4288ccc2f
com.liferay	com.liferay.asset.test.util	7.0.2		89c6454f0d226b72c87504ff70900355b84d1f85
com.liferay	com.liferay.asset.test.util	8.0.0		4fa421b95fe7fb29c82e53a4e9190d0e5c74b0b1
com.liferay	com.liferay.asset.test.util	8.0.1		9f58fb5431711cd30e1b1ed9530be5af84c14f46
com.liferay	com.liferay.asset.test.util	9.0.0		293708a8896adc39f2f035ca6f48d59a62eb91ea
com.liferay	com.liferay.asset.test.util	9.1.0		05bb8911fbfe304224b822493e014674df97cbb4
com.lihaoyi	ammonite-cross-3.2.1-terminal_2.13	2.5.5-17-df243e14		6279ea5f0acbcce05e6bc58123a1306505bbbbcf
com.lihaoyi	ammonite-cross-3.2.1-terminal_2.13	2.5.6		6850a4195f7072538118ecaebec3df5a8e40aebf
com.lihaoyi	scalatags_sjs1.0-RC2_2.13	0.8.4		a26dec03119240dabaaec3af3f2b07faa1e81248
com.louiscad.splitties	splitties-views-dsl-ide-preview-android	3.0.0		N/A
com.louiscad.splitties	splitties-views-dsl-ide-preview-android	3.0.0-beta02		N/A
com.louiscad.splitties	splitties-views-dsl-ide-preview-android	3.0.0-beta03		N/A
com.louiscad.splitties	splitties-views-dsl-ide-preview-android	3.0.0-beta04		N/A
com.louiscad.splitties	splitties-views-dsl-ide-preview-android	3.0.0-beta05		N/A
com.louiscad.splitties	splitties-views-dsl-ide-preview-android	3.0.0-beta06		N/A
com.louiscad.splitties	splitties-views-dsl-ide-preview-android	3.0.0-rc01		N/A
com.louiscad.splitties	splitties-views-dsl-ide-preview-android	3.0.0-rc02		N/A
com.louiscad.splitties	splitties-views-dsl-ide-preview-android	3.0.0-rc03		N/A
com.neko233	condition-engine	0.0.1		5243eb7c3103b251c9a2feab7c49ccb6bba5feac
com.slack.circuit	circuit-runtime-screen-tvosx64	0.23.0		N/A
com.slack.circuit	circuit-runtime-screen-tvosx64	0.23.0	metadata	9cd04478b1b85d9faf2b21cb107bc4171475674b
com.slack.circuit	circuit-runtime-screen-tvosx64	0.23.1		N/A
com.slack.circuit	circuit-runtime-screen-tvosx64	0.23.1	metadata	f81e83d614bbe17739962a66fda1fc3bdcad98f5
com.slack.circuit	circuit-runtime-screen-tvosx64	0.24.0		N/A
com.slack.circuit	circuit-runtime-screen-tvosx64	0.24.0	metadata	4574593047f8fb88fd3ddf205150ba90c62e7d73
com.slack.circuit	circuit-runtime-screen-tvosx64	0.24.0-alpha01-compose17		N/A
com.slack.circuit	circuit-runtime-screen-tvosx64	0.24.0-alpha01-compose17	metadata	b66ec9e6d030d3e98521b15248a0bdee0f79e9ca
com.slack.circuit	circuit-runtime-screen-tvosx64	0.25.0		N/A
com.slack.circuit	circuit-runtime-screen-tvosx64	0.25.0	metadata	aff04a47e1d115a01aa559f73cff29c170fad564
com.slack.circuit	circuit-runtime-screen-tvosx64	0.26.0		N/A
com.slack.circuit	circuit-runtime-screen-tvosx64	0.26.0	metadata	ccf4724b6c28921ff66b9214e2e9d71516fc75a6
com.slack.circuit	circuit-runtime-screen-tvosx64	0.26.1		N/A
com.slack.circuit	circuit-runtime-screen-tvosx64	0.26.1	metadata	5736e6a25952085658b22e9378036b34eda6974a
com.slack.circuit	circuit-runtime-screen-tvosx64	0.27.0		N/A
com.slack.circuit	circuit-runtime-screen-tvosx64	0.27.0	metadata	d685403c39ed100d004f5ae34880a0e357667dec
com.slack.circuit	circuit-runtime-screen-tvosx64	0.27.1		N/A
com.slack.circuit	circuit-runtime-screen-tvosx64	0.27.1	metadata	d685403c39ed100d004f5ae34880a0e357667dec
com.softwaremill.magnolia	magnolia-examples_3	2.0.0-M2		285ac426ab39eebc40a9edd97308c950118ddef9
com.softwaremill.magnolia	magnolia-examples_3	2.0.0-M3		1da96613abdeabd8e7bf52d3a433bec853ca11e3
com.softwaremill.magnolia	magnolia-examples_3	2.0.0-M4		c1dafd12721a8ddc8c11768eeb16863102cae726
com.softwaremill.magnolia	magnolia-examples_3	2.0.0-M5		4cc770f4ff475bc1bc354fbbb3ae15b8a9216eb1
com.softwaremill.magnolia	magnolia-examples_3	2.0.0-M6		281c834a6e275a53ddda74bbf26e5c364e981388
com.softwaremill.magnolia	magnolia-examples_3	2.0.0-M7		9e77e2b0308a7880699bff169055ebfae961b89f
com.softwaremill.magnolia	magnolia-examples_3	2.0.0-M8		fdb8ce3982050dc60f00e8b8b034cd4b3caf9f96
com.softwaremill.magnolia	magnolia-examples_3	2.0.0-M9		9ee2e6d05185cf207e1f6b1c868a0fffceeb245e
com.streamr	client	1.0.0		2e9b4d47564774e6e33b95d254a7a0cc28009f70
com.streamr	client	1.1.0		386007e577bcf8e2e193f4bb93f9e16e8bedaa34
com.streamr	client	1.1.1		100efcd02ffead7f299f958d7f444ff927acdce1
com.streamr	client	1.1.2		b5904e0570cffef59486e8827e3db6314d81ca30
com.streamr	client	1.1.3		76bf22d03af62c91c294c04783acb8a1ee04329d
com.streamr	client	1.1.4		718f1ce477566128942187d47e13dfe39e64327b
com.streamr	client	1.1.5		001ec7374191bfc9c2c343f6e488d38e574b6568
com.streamr	client	1.1.6		33848049b0129a359ac7b9b514e96edb2101b699
com.streamr	client	1.1.7		779217eb14351f78102737b34e7e7e8d835ac670
com.streamr	client	1.2.0		d358ecc5dca020b8758839485cad00aa08f898cf
com.streamr	client	1.2.1		ad9da8c13b1b9c7357dc7d983eb09e609c7cf3bb
com.streamr	client	1.2.2		9353256260d377c6c67173f15b9dbed3a1bceb75
com.streamr	client	1.2.3		6686b20a4f2100e85efa178aee785b74db99e264
com.streamr	client	1.2.4		d5bad464b99488f0813c780de115e8b4c7bea8e4
com.streamr	client	1.2.5		c8e40454a44a9404c0b1467ee7a1933e276e3dd2
com.streamr	client	1.3.0		14cb628bfe82bc7d829d624408c227e0268452c9
com.streamr	client	1.3.1		015426ca1254b4708bb13fc74bebece0d550d351
com.streamr	client	1.3.2		b44f50260204794b20faeacede48459b17abfdc2
com.streamr	client	1.3.3		afe84a1335ddadb92797fc8d05497fe3e82bdcdd
com.streamr	client	1.3.4		992541bc9f3984e1626590d13bbd3cfb9c2e0b6b
com.streamr	client	1.3.5		58daa0e4d1533d6a56df9a33fa34c76598b6bceb
com.streamr	client	1.3.6		dfb3389e04bf5705ca17eb6074a76f8a6d170fd1
com.streamr	client	1.4.0		1507862bf06422f128c9727c1bb96cad06ce68a8
com.streamr	client	2.0.0		9edf902d53b131afd7c03df38a30b3e2e5d1b092
com.streamr	client	2.0.1		e84273eaddfd8d833da01f65bb1c9dcd13d818d3
com.streamr	client	2.0.2		a6d50a3735cd5b06f9c0751078082e83c4df7522
com.streamr	client	2.1.0		0272659490c36d50bbbff8eba2283cd7293dab93
com.streamr	client	2.2.0		946cc61c4431f0b24960f6ae064e59896d46c2bb
com.streamr	client	2.2.0-beta.0		6933de8cfc4beee85f5b3e6c3377ecbd4ce80f97
com.streamr	client	2.2.1		a2c3f0f524ea52d82537bc79998c87ff1aa888a4
com.streamr	client	2.3.0		b574e225cf8094309fb9e354d8d04512e4cafc83
com.streamr	client	DU2-alpha.1		4e9013e956fa7ca5b046a9f873cd2fd155b59ef0
com.twitter	summingbird-batch_2.10	0.1.0		f0483bdc97c829ba3af76ae83d1395aa47a52f85
com.twitter	summingbird-batch_2.10	0.1.1		d2e6fbcd6d8042d5c69b5376a1f3b80915baabac
com.twitter	summingbird-batch_2.10	0.1.2		c56c7d6ac33c964d114fd7ab3bf2f12d93553241
com.twitter	summingbird-batch_2.10	0.1.3		99f6d9832d373afa4577014487b4b26af69a5d9b
com.twitter	summingbird-batch_2.10	0.1.4		936754659eff2deafc92067facbd4b794400bdd7
com.twitter	summingbird-batch_2.10	0.1.5		e2431c8e475c3a97189141fdabb209e51fc2ba85
com.twitter	summingbird-batch_2.10	0.10.0-RC1		372e83ab140d40a7a61183104859ae166b323034
com.twitter	summingbird-batch_2.10	0.10.0-RC2		f0841455e4bb185c5681a0825cd1c72e231ba093
com.twitter	summingbird-batch_2.10	0.11.0-RC1		3269861513e32d88c8807c8ed54f395fc10929b3
com.twitter	summingbird-batch_2.10	0.2.0		c47ddfdb8087c335ace8d1e003c18ba204d1652d
com.twitter	summingbird-batch_2.10	0.2.1		fc23073e009eca4ff4c1e9ca6636a557a9ddc925
com.twitter	summingbird-batch_2.10	0.2.2		39a651b2d0caa6c1a113ef0514aa7d05ae468970
com.twitter	summingbird-batch_2.10	0.2.3		73b31eebbf48c1e5e511f64bdb62752f129fb186
com.twitter	summingbird-batch_2.10	0.2.4		68093510539a2963410a44d4d0d8822af035389a
com.twitter	summingbird-batch_2.10	0.2.5		699edf701e09f52fb63a9dd15b00c62010ba6052
com.twitter	summingbird-batch_2.10	0.3.0		6b4ba6df8763baa8d3699d5984caff58600c6078
com.twitter	summingbird-batch_2.10	0.3.1		2dde735de751553041f2119cb8d2675996bcd9aa
com.twitter	summingbird-batch_2.10	0.3.2		837222477b5638d12715eeb7574643b11dc1d823
com.twitter	summingbird-batch_2.10	0.3.3		75cf0653a4254c887ff51aedce804f610752d7dd
com.twitter	summingbird-batch_2.10	0.3.4rc1		5d2d5b9df6ac6524da0641bd44e2cde2f731be5a
com.twitter	summingbird-batch_2.10	0.4.0		cba294096735307cad6bcf231cac9fb43c79d805
com.twitter	summingbird-batch_2.10	0.4.0rc1		e0e85696ea6457381f4b986599050968f0486e16
com.twitter	summingbird-batch_2.10	0.4.1		348042b971f208c500f6ed6138f09e1e81084746
com.twitter	summingbird-batch_2.10	0.4.2		4ffb4a955187a511f7edf45e357725af2cc4f69d
com.twitter	summingbird-batch_2.10	0.5.0		a4957a8028a0ea20803aef5a927edd3f41e0beca
com.twitter	summingbird-batch_2.10	0.5.1		a1b8423b13942ab5cb75ccfc1d76c691cdebfce8
com.twitter	summingbird-batch_2.10	0.5.2rc2		372a3db5f500f1b207300bc464a521c1cd93e658
com.twitter	summingbird-batch_2.10	0.5.2rc3		fb34c9fc9268f87e49940018251e7e312ab2c447
com.twitter	summingbird-batch_2.10	0.5.2rc4		df41330f7935c8137571a656792181be48f50ccd
com.twitter	summingbird-batch_2.10	0.5.2rc5		4beb408c9a0f5d27b16f98b96115a0e32ec87e9b
com.twitter	summingbird-batch_2.10	0.5.2rc6		6a0f9bc0a26b3af791e4dc1da4d31d8867f78180
com.twitter	summingbird-batch_2.10	0.6.0		44e3c3f2bf29db902bcc1a1053b322affbd1cd87
com.twitter	summingbird-batch_2.10	0.7.0		36a796bb443b2d5ec691a7b8169bb0aed646068f
com.twitter	summingbird-batch_2.10	0.8.0		c7348f103165d15d97b009a3de8b22137d178fc4
com.twitter	summingbird-batch_2.10	0.9.0		5668c0a806dd653f1ea6322bca0bf33db8e73547
com.twitter	summingbird-batch_2.10	0.9.1		840b4edca3c38b9b6f677c2b7b0d81fdb0f583a8
com.webank.wedatasphere.linkis	linkis-ujes-enginemanager	0.9.1		16db2dab736157a9b1e4422b2588e614e1b5c1ae
com.webank.wedatasphere.linkis	linkis-ujes-enginemanager	0.9.2		abe1f004449e18c650cdf44e43a624f248e62d9f
com.webank.wedatasphere.linkis	linkis-ujes-enginemanager	0.9.3		f17d1a3e6afe0b675cf34ab6e4b3fcbe5f55fbe9
com.webank.wedatasphere.linkis	linkis-ujes-enginemanager	0.9.4		19b6ba6340ea29323ff422d5dfc694d61a753196
de.dentrassi.eclipse.neoscada.ide	org.eclipse.scada.configuration.component.generator	0.3.0		c2876590b2e9ed41c98e756112ea37e74ab9c2e4
de.jensklingenberg.kotlinmaterialui	lab	0.7.1		f14e0840acccea1ef250f0a7b92663e5ec1d5956
edu.umn.biomedicus	nlpengine	2.0.0		07d11ea7eaffd7108af94d394635ef4856a9bb07
edu.umn.biomedicus	nlpengine	2.0.1		a960de2bae5553f688ec84fc9d67775beced1cca
edu.umn.biomedicus	nlpengine	2.1.0		0a3a519a7bd2aa19362543d9ad86bf0cb0d629db
eu.agrosense.server	farm	14.02-beta		2690a3939fe3ea3a65f9505a92752522ad5f899c
eu.agrosense.server	farm	14.04-beta		45c8e5ae982cef36554b1f0eda0870669bb780c8
eu.agrosense.server	farm	14.06-beta		8ad1c0a4933fc7b7ffe00a55f84b058797430865
fi.sisujs	cbot	0.7.0		84d83d38d49551680d650a5c269f449aa78ff546
fi.sisujs	cbot	0.7.2		0541bbea1f43d91c84dcd69dd04e65d2b148f7f1
fi.sisujs	cbot	0.8.0		fbfbf19ed7cd961befde46d9928d231c0acf3c83
io.github.Caratacus	mybatis-plus	1.0.9		ae19ac2bb110f587cdd7f137c0b35e20231fe857
io.github.Caratacus	mybatis-plus	1.2.1		7dc5c0207bda1de66e09f52e435b532372371bdc
io.github.Caratacus	mybatis-plus	1.2.2		4bf9e89ad23e862d6ce2d7650b3586b838e17eba
io.github.Caratacus	mybatis-plus	1.3.2		757ad2bc330efc76339f32a9cb2a2a878dbb92af
io.github.azirzsk	deploy-demo	0.0.1		c73e659bbd673634bf1dc562f5f8faa6902e2416
io.github.fengshenyanyi	com.leo.android.library.logcat	1.0.0		N/A
io.github.jyllands-posten	play-prometheus-filters_2.13	0.6.0		993cfaf1847f4371beadcca5e93f5b58320d577d
io.github.jyllands-posten	play-prometheus-filters_2.13	0.6.1		60da343863c193b7a3a46a3dcc58ee6ad0f9aaab
io.github.jyllands-posten	play-prometheus-filters_2.13	1.0.0		3c78891ee67ea72e7e37bab9887b10087aead45c
io.github.jyllands-posten	play-prometheus-filters_2.13	1.0.1		767c4f615e2f898bd1020fb765b04a8e8135a5ff
io.github.jyllands-posten	play-prometheus-filters_2.13	1.0.2		6bd08f67ef335e3ec93e9cea11a8d4193b06674a
io.github.microcks	microcks-kube-api	0.0.1		cee5d77495f4eca89073aaa9635979b72b4ae7d4
io.github.microcks	microcks-kube-api	0.0.2		90e13612dee73f008cc5930ff31cd77e64fb5d6d
io.github.microcks	microcks-kube-api	0.0.3		97d999dfaf3052a1bf0c2b10ee06c601b1706805
io.github.mohammedamehry	AmazonUltimateAds	1.1		N/A
io.github.mohammedamehry	AmazonUltimateAds	1.2		N/A
io.github.mohammedamehry	AmazonUltimateAds	1.3		N/A
io.github.mohammedamehry	AmazonUltimateAds	1.4		N/A
io.github.mohammedamehry	AmazonUltimateAds	1.5		N/A
io.github.mohammedamehry	AmazonUltimateAds	1.6		N/A
io.github.mohammedamehry	AmazonUltimateAds	1.7		N/A
io.github.mohammedamehry	AmazonUltimateAds	2.0.0		N/A
io.github.mohammedamehry	AmazonUltimateAds	2.1.0		N/A
io.github.mosssi	ossrh-demo	1.0		4d851e560f31047e3e17ca48660fb87651aaae96
io.github.roiocam	json-facade	1.0.0-RC2		46357936da6e1a783aaade146be12e96678f2263
io.github.roiocam	json-facade	1.0.1		884d9c66389f50500f34d03a42cf986652486faf
io.github.shuigedeng	taotao-cloud-starter-schedule	2022.09		f3aca3fa3be9beaaa9943f073e9bd68263e3e268
io.github.shuigedeng	taotao-cloud-starter-schedule	2022.10		c416183df8d8b8133a3dd8aab4e9cfbf4665c294
io.github.zhanghongbin	zebra-common-starter-sms4j	1.0.3		1154aa6733260075708bbda633e9e23a728cc6e5
io.ktor	ktor-client-json-tvosx64	1.3.0		dbef939d0032e102594f017a1a7e5da7eb825454
io.ktor	ktor-client-json-tvosx64	1.3.0-rc		44f03b4f47466cff2390c918b8ebd9b600133727
io.ktor	ktor-client-json-tvosx64	1.3.0-rc2		500ddf529755ecd518514aba80f78b7653fbf4fd
io.ktor	ktor-client-json-tvosx64	1.3.1		ff4fa34ab33c22694d4b10a80110c6699215bc3c
io.ktor	ktor-client-json-tvosx64	1.3.2-1.4.0-rc		a00e795149d344bbd891f8f31cfe77035bc0c9c7
io.ktor	ktor-client-json-tvosx64	1.3.2-1.4.0-rc	metadata	b7187e83a97c27621a079dd713210b1edcd8c2f1
io.ktor	ktor-client-json-tvosx64	1.4.0		af80b8aa81eb71a093657509fd2d7a6cfa773231
io.ktor	ktor-client-json-tvosx64	1.4.0	metadata	925626165bb52f3833c241d99b3b3f4baa05315b
io.ktor	ktor-client-json-tvosx64	1.4.1		465f9e186807aae361a3b436c16a48874a09b512
io.ktor	ktor-client-json-tvosx64	1.4.1	metadata	c0b839cec8daf857a0b003fc462e9c393b0d9f95
io.ktor	ktor-client-json-tvosx64	1.4.2		e662a82d584261dd56b276059309ec220d877516
io.ktor	ktor-client-json-tvosx64	1.4.2	metadata	6342ce33807e6cedd9214daed84047575383b49d
io.ktor	ktor-client-json-tvosx64	1.4.3		93553d856f5c2d12cd4b1f8e94b1980b3dd4f5dd
io.ktor	ktor-client-json-tvosx64	1.4.3	metadata	6f8935cb2ee871f9c452fa08fa2845ca1282fc54
io.ktor	ktor-client-json-tvosx64	1.5.0		4046cbb80d1ce70fb049fbacde5b0a0f1cec48c1
io.ktor	ktor-client-json-tvosx64	1.5.0	metadata	2948d0d3f9b6d56bfb24ab74b919abcfab1a87b6
io.ktor	ktor-client-json-tvosx64	1.5.1		c26c5e0c3ebb24c2c04783b424d27818f5541187
io.ktor	ktor-client-json-tvosx64	1.5.1	metadata	d24ebd19d7116524da22ae5848ef0cccb6c6b4f0
io.ktor	ktor-client-json-tvosx64	1.5.2		eb7c63dc196e1f269f58a31f56fe628c1b475f3d
io.ktor	ktor-client-json-tvosx64	1.5.2	metadata	6d1c7c00c40497aec875b2d8b4ef5ebb17e72121
io.ktor	ktor-client-json-tvosx64	1.5.3		287025b4df8d4e5e3c547e4ebb2ffb9744e339f5
io.ktor	ktor-client-json-tvosx64	1.5.3	metadata	77aadbd2bdf3a928525f20311eb67fb8ba560a28
io.ktor	ktor-client-json-tvosx64	1.5.4		e8621a1d807e902d600a27e91434441661ea8a1b
io.ktor	ktor-client-json-tvosx64	1.5.4	metadata	9a62937b6174a63862ce5d0621edbb50d885a8a3
io.ktor	ktor-client-json-tvosx64	1.6.0		96a1622a2473f1136af1ba553ceae6ac0ccff27a
io.ktor	ktor-client-json-tvosx64	1.6.0	metadata	46fb1dc0a68c6aa6b423b6fc1bd2fbc9e3ab4325
io.ktor	ktor-client-json-tvosx64	1.6.1		bf376840468c8a990efae2c52ca6a4eb0cf4401c
io.ktor	ktor-client-json-tvosx64	1.6.1	metadata	1cfa8eb2c2ff6d557cc3370eb7bea2101d997736
io.ktor	ktor-client-json-tvosx64	1.6.2		835076221698e5569403018bdd7f0701ef0fb3d0
io.ktor	ktor-client-json-tvosx64	1.6.2	metadata	db6b7ec8d0283995a5c93e9b854bc0eb832d0ef4
io.ktor	ktor-client-json-tvosx64	1.6.3		cf4ba8b1ecb82c7abc8a0c56758feed5889daa48
io.ktor	ktor-client-json-tvosx64	1.6.3	metadata	c9cc8079b8dc54e76e3da030d7bd1f9e2965f76a
io.ktor	ktor-client-json-tvosx64	1.6.4		4218b022de1b6a406504249e82298c17f51b1fe1
io.ktor	ktor-client-json-tvosx64	1.6.4	metadata	ddfbaf273ac31751aba4fa8e527b0512d0e411b2
io.ktor	ktor-client-json-tvosx64	1.6.5		a1b5dc9d328f21e4239b96175fee8195ed19a1e0
io.ktor	ktor-client-json-tvosx64	1.6.5	metadata	a1b5dc9d328f21e4239b96175fee8195ed19a1e0
io.ktor	ktor-client-json-tvosx64	1.6.6		3cd25f8c20c8d43426688c30cb1e9b0250c10a1c
io.ktor	ktor-client-json-tvosx64	1.6.6	metadata	6f28ab955710545413914c6ffcbac5f2a26897c1
io.ktor	ktor-client-json-tvosx64	1.6.7		e9faebf0dd4c2b57124625fb87fe7dd76da842a8
io.ktor	ktor-client-json-tvosx64	1.6.7	metadata	9a84cca9b61d17e748f577e9ac309c4b0fbf8f2f
io.ktor	ktor-client-json-tvosx64	1.6.8		e90f7bcc0ac0b5444cad1bd53bb7eaaf5b4d808e
io.ktor	ktor-client-json-tvosx64	1.6.8	metadata	dc8678c3252a01f955e552b6a7f0e5dad69991a1
io.ktor	ktor-client-json-tvosx64	2.0.0		b0b76ef99da30e2e95580334f5b634bed1cee359
io.ktor	ktor-client-json-tvosx64	2.0.0	metadata	f14feea2a87e0b1d24d3521880f930a30e220750
io.ktor	ktor-client-json-tvosx64	2.0.0-beta-1		17bb2217245cc243447bf4f22f94aea0aa918c5d
io.ktor	ktor-client-json-tvosx64	2.0.0-beta-1	metadata	d497e664fedbb640ffbeab91c40dbfcbeafae3cc
io.ktor	ktor-client-json-tvosx64	2.0.0-rc-1		aa24176ea474039b035035dc7cffd979ac46d5e0
io.ktor	ktor-client-json-tvosx64	2.0.0-rc-1	metadata	c8bf2e9887da6565560f1be994a79814331e4168
io.ktor	ktor-client-json-tvosx64	2.0.1		e78ccfb264ebec1dc9c25f1ca8c1e1e3eaa438eb
io.ktor	ktor-client-json-tvosx64	2.0.1	metadata	e28fec162b6e1c656c88accda42b4049d29c7ab7
io.ktor	ktor-client-json-tvosx64	2.0.2		3e35c9dfa6ab1d84455074cc442b981bf417277a
io.ktor	ktor-client-json-tvosx64	2.0.2	metadata	7be8ed06683453cb438d525543ec452a8baa5784
io.ktor	ktor-client-json-tvosx64	2.0.3		2cf5070036eb4503e28403575653afbd6debca40
io.ktor	ktor-client-json-tvosx64	2.0.3	metadata	1248a04624c16c279762ccc29adc380ebb1346ad
io.ktor	ktor-client-json-tvosx64	2.1.0		e4280ade4c8a6813954728ac77cc349ad1883336
io.ktor	ktor-client-json-tvosx64	2.1.0	metadata	fd3d24a15202981d292c5f222ee8ab9e841faae2
io.ktor	ktor-client-json-tvosx64	2.1.1		198c1337633a2413d6044462639c3dd1f3a0bb4e
io.ktor	ktor-client-json-tvosx64	2.1.1	metadata	81e91f935699d2d6da8b4b64f6e2b89ab1a54f5c
io.ktor	ktor-client-json-tvosx64	2.1.2		5a69257dd37f361e5f030333bc7e5ff6684dd3ed
io.ktor	ktor-client-json-tvosx64	2.1.2	metadata	4d8b1b3fa24bf23105e7902c8d2ea7028caaf783
io.ktor	ktor-client-json-tvosx64	2.1.3		8918baf0e54afef8c8b1fbf5951921e36a31079d
io.ktor	ktor-client-json-tvosx64	2.1.3	metadata	f7dc1808fe0c25f2ddfe8a3c532a8f4348edb9f7
io.ktor	ktor-client-json-tvosx64	2.2.0		215188ccb6bcaced909b9fff89b746c0a7c024c9
io.ktor	ktor-client-json-tvosx64	2.2.0	metadata	2b99ae1e1cc73993d28412f50f500096dd56b213
io.ktor	ktor-client-json-tvosx64	2.2.1		0498010af7c9ac9751e0c7b31c6ad256ce38be27
io.ktor	ktor-client-json-tvosx64	2.2.1	metadata	d3a773fc2ecf099f3701d8e70eb47387bd5a9b71
io.ktor	ktor-client-json-tvosx64	2.2.2		c82ca70f9e20ca804254c5be0a3abee074f5f674
io.ktor	ktor-client-json-tvosx64	2.2.2	metadata	3ac7b94921dcbe43732ce7c8de309ba52ad78181
io.ktor	ktor-client-json-tvosx64	2.2.3		a8259f42e361b7ecc4a74e432c4feafca4315926
io.ktor	ktor-client-json-tvosx64	2.2.3	metadata	531b03b0887723f31d09bb5e325abae004f9debf
io.ktor	ktor-client-json-tvosx64	2.2.4		829c53ad229c5bfa7090f4a4c232a1685e95b99c
io.ktor	ktor-client-json-tvosx64	2.2.4	metadata	18106914860fa59cfecaad0eb363f29d3b4f03d2
io.ktor	ktor-client-json-tvosx64	2.3.0		60831e5236c0b186a57645bba266b94cbcd8b2e7
io.ktor	ktor-client-json-tvosx64	2.3.0	metadata	419efe1faef4ea4b44359f3e8071de3bbc604e1a
io.ktor	ktor-client-json-tvosx64	2.3.1		35d0cf50d7ba9c0d70d41c362c962bfc1f0711e3
io.ktor	ktor-client-json-tvosx64	2.3.1	metadata	38d568361e6ae3ac243cbccd76c25c1927e6cb59
io.ktor	ktor-client-json-tvosx64	2.3.10		7f4f1840526c4a265bcd71ec247b971e5c396663
io.ktor	ktor-client-json-tvosx64	2.3.10	metadata	35844f2b773eee8357b6e15de8a9ea07427f0c4a
io.ktor	ktor-client-json-tvosx64	2.3.11		7a71a7961f17921eaad593b4c90fc0426f4a2b68
io.ktor	ktor-client-json-tvosx64	2.3.11	metadata	4e9272857557f9b275d3a24503ef8c94cf9db9a6
io.ktor	ktor-client-json-tvosx64	2.3.12		af4cc3910cfeda59da49e1207beea0b7968baa4d
io.ktor	ktor-client-json-tvosx64	2.3.12	metadata	8970513309452ce28ab71423842e1c4f48d2b21b
io.ktor	ktor-client-json-tvosx64	2.3.13		e52c5c77e99aa7d54730535a6b972b8b5f8d0eac
io.ktor	ktor-client-json-tvosx64	2.3.13	metadata	ea98d66744cc5de077fcee65906dfbed8d0903e9
io.ktor	ktor-client-json-tvosx64	2.3.2		c2e26e49a05b8aaa05d19d00fadcba94a8446f4f
io.ktor	ktor-client-json-tvosx64	2.3.2	metadata	4cf6f4f317644fa9dca18c03ab8965385480eccf
io.ktor	ktor-client-json-tvosx64	2.3.3		addac3b5f50942cf4a2d24b8c7e1b2ba0d63125f
io.ktor	ktor-client-json-tvosx64	2.3.3	metadata	f2b6dc4136250cd79a2c8e205c155b17e31cfd9f
io.ktor	ktor-client-json-tvosx64	2.3.4		8d0f25dccef8b0c768a490392c3622e24ed8f455
io.ktor	ktor-client-json-tvosx64	2.3.4	metadata	5eca17fce01373a74f4f4702d30f93fbbeb8041c
io.ktor	ktor-client-json-tvosx64	2.3.5		e18d05ad1ee2dffb74a9ba89f567c453e4d10086
io.ktor	ktor-client-json-tvosx64	2.3.5	metadata	6acf111582a97042ccfb8c1e081ef9673a1700df
io.ktor	ktor-client-json-tvosx64	2.3.6		c108cf8b5317400637868e4fc1ab361e4738382d
io.ktor	ktor-client-json-tvosx64	2.3.6	metadata	3238cdc0d32ac3ca4218de4e2a8ff01fc63f5e9a
io.ktor	ktor-client-json-tvosx64	2.3.7		8034d53e4a76142eee57f217dcd5ded4788aa8d6
io.ktor	ktor-client-json-tvosx64	2.3.7	metadata	6f7ec83d18a1c0763e558dc05274a58c4abd61e6
io.ktor	ktor-client-json-tvosx64	2.3.8		9fc5ed0a6314d16fb88ec97d202283591ba52f9b
io.ktor	ktor-client-json-tvosx64	2.3.8	metadata	2b688a93d83b21836e9a9b827f498644d98382e1
io.ktor	ktor-client-json-tvosx64	2.3.9		2c28106b94d061ed01ccf485685497583066ae1c
io.ktor	ktor-client-json-tvosx64	2.3.9	metadata	e9fd1219f31d5a8e03787acdc45c3be528680960
io.ktor	ktor-client-json-tvosx64	3.0.0		c852fca91e110a7e173c0022c985377e5d384927
