academy.alex	custommatcher	1.0		db8fadf4836f39012608b5fd3cfe09f275bd6cb5
aws.sdk.kotlin	savingsplans-jvm	1.2.3		395640c7e485720ca88ce992b89c67f0a299a22c
aws.sdk.kotlin	savingsplans-jvm	1.2.30		762b70d2855787531aab3c7ee029a1d4ddfdfabf
aws.sdk.kotlin	savingsplans-jvm	1.2.31		8328e67f98dbbc85c5e06e45c3e5f8be51fb77ae
aws.sdk.kotlin	savingsplans-jvm	1.2.32		c974a31df7372b98b8e25c9a788558a82ec985d5
aws.sdk.kotlin	savingsplans-jvm	1.2.33		b825691d409fd40b74e1e34e13bdeb751cb2f2de
aws.sdk.kotlin	savingsplans-jvm	1.2.34		3f2ef4519f3774794f323004a8fef6da34376689
aws.sdk.kotlin	savingsplans-jvm	1.2.35		920d9343d16022936316924c586f88c4d560fc4f
aws.sdk.kotlin	savingsplans-jvm	1.2.36		504f795c61446003e606f6189934d4f302c30331
aws.sdk.kotlin	savingsplans-jvm	1.2.37		99780bde8a0cdb7fee14aa0f7434156a86b4d717
aws.sdk.kotlin	savingsplans-jvm	1.2.38		be76a3a3e021dd055827ea745a3692dda41af34d
aws.sdk.kotlin	savingsplans-jvm	1.2.39		d2cad8bf7bce666200190476a0074b47af364561
aws.sdk.kotlin	savingsplans-jvm	1.2.4		12fbc363dd1b31d8bbc3b86b324b527ce1a87722
aws.sdk.kotlin	savingsplans-jvm	1.2.40		d460773d0278e949dda62ea0cf16b37e045ae416
aws.sdk.kotlin	savingsplans-jvm	1.2.41		15eb5127f278a2a3873b196856a643bfc2898f07
aws.sdk.kotlin	savingsplans-jvm	1.2.42		064fa807510081b04fe831d4b5f74dd766c3a9d1
aws.sdk.kotlin	savingsplans-jvm	1.2.43		2132718e7f703026d62b26b1a75c392cdf28fd7e
aws.sdk.kotlin	savingsplans-jvm	1.2.44		fa21d98d20ff8fac2e81c95a7331710ee31d1305
aws.sdk.kotlin	savingsplans-jvm	1.2.45		24f26a39c8ae3dfb3b7fa555b64c8bc7b2f15734
aws.sdk.kotlin	savingsplans-jvm	1.2.46		ddb21667f1aaa7542981b42d984b7b06a6726825
aws.sdk.kotlin	savingsplans-jvm	1.2.47		74146d3154a57a0c1fabcd832bcefcc4da56cd21
aws.sdk.kotlin	savingsplans-jvm	1.2.48		8ae2ad8a98413cfbeeb7ce41cc4c209f3c267aed
aws.sdk.kotlin	savingsplans-jvm	1.2.49		bbdd0a53358d6351224814c7f3fe5e7caf86db73
aws.sdk.kotlin	savingsplans-jvm	1.2.5		0a963af84ce4e656547ee478cd73c50875065fd4
aws.sdk.kotlin	savingsplans-jvm	1.2.50		477ede82bee30b077404f95eaf60c2fa8941cbed
aws.sdk.kotlin	savingsplans-jvm	1.2.51		24e6926ed3a27522a3f2a642327cf90a82fe59a3
aws.sdk.kotlin	savingsplans-jvm	1.2.52		80933830b9e6e72aa109e8f91f78ba54d3f556a7
aws.sdk.kotlin	savingsplans-jvm	1.2.53		109550e4ca346dfbc8915c157712535c05146a8a
aws.sdk.kotlin	savingsplans-jvm	1.2.54		46a4c403b05399ae6f8c5ee316610bef94a375f0
aws.sdk.kotlin	savingsplans-jvm	1.2.55		bb7a81642d386d1c2daac7e07f0f2706039a7907
aws.sdk.kotlin	savingsplans-jvm	1.2.56		0cb1d4ac314c28566d17142a7246d75f2605d749
aws.sdk.kotlin	savingsplans-jvm	1.2.6		ee89aee9e4422fae4a4717424bf6282105195fd1
aws.sdk.kotlin	savingsplans-jvm	1.2.7		8b763b0e5231f5a4e8ca43a2268f318819202fd4
aws.sdk.kotlin	savingsplans-jvm	1.2.8		f0f2bfe2327a96a031a41c8f0a46f51a4cd186ba
aws.sdk.kotlin	savingsplans-jvm	1.2.9		b2039f2912bc1d1e2ebdf18847b95dfd1ac8adb1
aws.sdk.kotlin	savingsplans-jvm	1.3.0		e469479da89991cd3d936bd9b3266f0a3b00410a
aws.sdk.kotlin	savingsplans-jvm	1.3.1		84963b13bb981600d6499568fcc77986b23e6513
aws.sdk.kotlin	savingsplans-jvm	1.3.10		6c096cabf20099b05957c2a1b4dd6812aac9faf2
aws.sdk.kotlin	savingsplans-jvm	1.3.100		e5645ef67355fb8b1b8a8f00ab25f625b6f329a5
aws.sdk.kotlin	savingsplans-jvm	1.3.101		2b65ef216f172a855030c0ff27839e6e3859511b
aws.sdk.kotlin	savingsplans-jvm	1.3.102		7efbc59115899546d8dc29ed97e0608a935fe8e3
aws.sdk.kotlin	savingsplans-jvm	1.3.103		338bf7f5fb3848edfca65bd6924942827c96989e
aws.sdk.kotlin	savingsplans-jvm	1.3.104		3f27d26d999ec014afa4dca1f254348e97764eaf
aws.sdk.kotlin	savingsplans-jvm	1.3.105		1b392bf5e0912fe2c19c78c863d98ce7ee0598d6
aws.sdk.kotlin	savingsplans-jvm	1.3.106		262a9a6fc8a9c0b401870fd7c8ca450d26b9c935
aws.sdk.kotlin	savingsplans-jvm	1.3.107		f31ec2474e1f820adcd855d47b4a3ad8daa6bf14
aws.sdk.kotlin	savingsplans-jvm	1.3.108		8798a4a0eda29c9770feecee0c6fd1e1955b2ae1
aws.sdk.kotlin	savingsplans-jvm	1.3.109		a1e5308c28dacc107a78e77e7539c94fbefcca4a
aws.sdk.kotlin	savingsplans-jvm	1.3.11		914102e1a3bc29b06e1982cc938497288535999c
aws.sdk.kotlin	savingsplans-jvm	1.3.110		bb76589979c2ea455e746595daa328801a3e7364
aws.sdk.kotlin	savingsplans-jvm	1.3.111		d9345fc4739d1577e721c427f0ae0404b07a159b
aws.sdk.kotlin	savingsplans-jvm	1.3.112		74a2e1e2336b45ee199d4c1bc4c8d42974483c9c
aws.sdk.kotlin	savingsplans-jvm	1.3.12		6c83106d66f5eb7dea4f0f6f4e8105b2778c2413
aws.sdk.kotlin	savingsplans-jvm	1.3.13		a37cc3fba22b78efd241897966fada01d5fc1002
aws.sdk.kotlin	savingsplans-jvm	1.3.14		c67c16c641aedcacb02c5b8cb4590f72359bac21
aws.sdk.kotlin	savingsplans-jvm	1.3.15		bb4f8662c006769da582021a6d82fbe1beef3c5e
aws.sdk.kotlin	savingsplans-jvm	1.3.16		af8b2d8111d919b75f33fcb79117fc3dda2d5a69
aws.sdk.kotlin	savingsplans-jvm	1.3.17		91ec5ab630b45e0a124eb4cfae9aff4ad3c84ad5
aws.sdk.kotlin	savingsplans-jvm	1.3.18		0832a12f6dee2eca060eec2f2a26f4d10af2bcf6
aws.sdk.kotlin	savingsplans-jvm	1.3.19		d4c78a13c97831946e71a7ac6cd8f4824a42f9ea
aws.sdk.kotlin	savingsplans-jvm	1.3.2		a5cda5cea8035e771475407b1bd5a360a3509ca6
aws.sdk.kotlin	savingsplans-jvm	1.3.20		86bd586fd8c5b4b68a430cb3ec15b409fb959928
aws.sdk.kotlin	savingsplans-jvm	1.3.21		c47cc0d519df1e0ab25653c9154be302a1a2e5d3
aws.sdk.kotlin	savingsplans-jvm	1.3.22		29076528aa6458ac614642ab07b7e1587675f044
aws.sdk.kotlin	savingsplans-jvm	1.3.23		b589f376805823eca197ff9ae55ff47d2ad8f1ec
aws.sdk.kotlin	savingsplans-jvm	1.3.24		4022d4235b5366c70792d231220f9d4b7de6e33d
aws.sdk.kotlin	savingsplans-jvm	1.3.25		a3859dfac90d20238a0c9cf60e14b26fbd0f18d2
aws.sdk.kotlin	savingsplans-jvm	1.3.26		e25eab07098c56c93d62519ec616d8959a580259
aws.sdk.kotlin	savingsplans-jvm	1.3.27		99de7fa91c50b2078a59e73a0c4b0017e1af22de
aws.sdk.kotlin	savingsplans-jvm	1.3.28		1435ee5a1eea678a5648c9c93127754acb437fe1
aws.sdk.kotlin	savingsplans-jvm	1.3.29		6447815632e9a88bc08b43f7c2bf11199946eed9
aws.sdk.kotlin	savingsplans-jvm	1.3.3		b1a3e0077de81a0769b5ce9da705f2e20e3468d7
aws.sdk.kotlin	savingsplans-jvm	1.3.30		3f9b2c8b131c03534f0431cd6475ba5df68fe56e
aws.sdk.kotlin	savingsplans-jvm	1.3.31		dbf9a2d6996374966e858dba723c99d03e23d2ac
aws.sdk.kotlin	savingsplans-jvm	1.3.32		6d4b2642fce3e2339b08054a03a8bb6915e66392
aws.sdk.kotlin	savingsplans-jvm	1.3.33		55d5c6888e39ca920b6f2c5631a9b85bb96eea9b
aws.sdk.kotlin	savingsplans-jvm	1.3.34		850ac377c2f071b1d0f32121ff1a40d6809f78d1
aws.sdk.kotlin	savingsplans-jvm	1.3.35		b9144c1af92694842bff34f5a4f9c22a2b5e930c
aws.sdk.kotlin	savingsplans-jvm	1.3.36		acc1446682815ce6b78a492db979a3520f3f804e
aws.sdk.kotlin	savingsplans-jvm	1.3.37		935187fd2a37ec954398cfdd4a41163f2e262598
aws.sdk.kotlin	savingsplans-jvm	1.3.38		0e60630d93eaa5844b8128093c91201a5b792428
aws.sdk.kotlin	savingsplans-jvm	1.3.39		ff448dce0ad8d8eec678b4155aa41cd173e54570
aws.sdk.kotlin	savingsplans-jvm	1.3.4		b80d6abb7b0c2c41c69ed4a420e150d95b155f04
aws.sdk.kotlin	savingsplans-jvm	1.3.40		a3795e46fac9f468998cc91d8b9232b5b19a917a
aws.sdk.kotlin	savingsplans-jvm	1.3.41		d0d033dda46260021f26220a508ca68ada110fef
aws.sdk.kotlin	savingsplans-jvm	1.3.42		4423c97fd8aced31875cfb1f5abb9ef02cd393fb
aws.sdk.kotlin	savingsplans-jvm	1.3.43		6d6fd44beef22ca210efd161d0afcd783a3d08e8
aws.sdk.kotlin	savingsplans-jvm	1.3.44		c3e12e6d41009480d1fe79c48ea63692c4d1fe1b
aws.sdk.kotlin	savingsplans-jvm	1.3.45		ca6e0aab712c006066f2b9a8e7fc48f547fc70d7
aws.sdk.kotlin	savingsplans-jvm	1.3.46		81c6861595ee7ca3c638044c0b7da2f07e05d5fa
aws.sdk.kotlin	savingsplans-jvm	1.3.47		ab49e211885677779def792e88f40bd0697de999
aws.sdk.kotlin	savingsplans-jvm	1.3.48		efa1ca5d9522737de03780b4ecdcd376cc4f3e70
aws.sdk.kotlin	savingsplans-jvm	1.3.49		fcef71cb00faf5234eb6c020c412b762ef003ff2
aws.sdk.kotlin	savingsplans-jvm	1.3.5		eddf3a46c4013d40e69173513a728879dd9235f4
aws.sdk.kotlin	savingsplans-jvm	1.3.50		bacf5530278973a97875f3df08f257979e39b1a6
aws.sdk.kotlin	savingsplans-jvm	1.3.51		35ec06a80ef80397c4840d9bbc804e42345cb483
aws.sdk.kotlin	savingsplans-jvm	1.3.52		08876e247ce77b9242d7c2cb99d133b7e70e78cf
aws.sdk.kotlin	savingsplans-jvm	1.3.53		199dabcc3956c70ee0e3cb2a163da46148b1ec86
aws.sdk.kotlin	savingsplans-jvm	1.3.54		22d938ffc7a833a3840f8126bfe9a6c8990b8840
aws.sdk.kotlin	savingsplans-jvm	1.3.55		e4a4dbcd08e0e47d5f0b9fa50da7a5da031dae74
aws.sdk.kotlin	savingsplans-jvm	1.3.56		3089678608ce3ec4c6e4d38ef722650847ac8f9a
aws.sdk.kotlin	savingsplans-jvm	1.3.57		c16eb89e06c909c52d579af1f81ef264ee13944b
aws.sdk.kotlin	savingsplans-jvm	1.3.58		f5164e870af89731a28090b0cd882030f21129d2
aws.sdk.kotlin	savingsplans-jvm	1.3.59		a49dd2ba4caba880861ab1fca93f121572845f09
aws.sdk.kotlin	savingsplans-jvm	1.3.6		eff3e2743f9fd2bcffdbaccf926807795e5817e4
aws.sdk.kotlin	savingsplans-jvm	1.3.60		f19bb07780c710960ba33960251d92646af50f96
aws.sdk.kotlin	savingsplans-jvm	1.3.61		2db81201e9b45b169f441ff3f0685c7a7ffb7c82
aws.sdk.kotlin	savingsplans-jvm	1.3.62		5a3eb88b01af2bf18aa919561569193509677a7a
aws.sdk.kotlin	savingsplans-jvm	1.3.63		574dea18574add6fb7bfbfea0d2d6d78061ea14d
aws.sdk.kotlin	savingsplans-jvm	1.3.64		11084c7afad997d7fdb63abcfc0ae7c288589a80
aws.sdk.kotlin	savingsplans-jvm	1.3.65		dceff3d72442a2e8d4deae0d2b0e60ca6aa401c0
aws.sdk.kotlin	savingsplans-jvm	1.3.66		ba7b9f4c74229bae2d05f93b9b6337a7f3dc02b3
aws.sdk.kotlin	savingsplans-jvm	1.3.67		3c19475627c50efb7371ebc33795ed82e74e4b5b
aws.sdk.kotlin	savingsplans-jvm	1.3.68		0f470aabff8a14fb8095a60ed1078a02716eaab2
aws.sdk.kotlin	savingsplans-jvm	1.3.69		b1850330a31c85e275c69ab9f71466fd71d22bcf
aws.sdk.kotlin	savingsplans-jvm	1.3.7		d9d1d7d385acb803bf6e5b3890eb16d3fb3efc66
aws.sdk.kotlin	savingsplans-jvm	1.3.70		b95c6f26a3f31925511a8e66f1d2c2c57fb14772
aws.sdk.kotlin	savingsplans-jvm	1.3.71		07e08fea75359f89c0b210668ac9ea26e60d632f
aws.sdk.kotlin	savingsplans-jvm	1.3.72		95355a32f4a2a86cc1dc163516a35d43a6b7e09e
aws.sdk.kotlin	savingsplans-jvm	1.3.73		c9851017303994a790ffdcc5bd33e2a016aae768
aws.sdk.kotlin	savingsplans-jvm	1.3.74		3b7125dd93694b4b8271d2430a38330486b0d666
aws.sdk.kotlin	savingsplans-jvm	1.3.75		95e6db61dfe2c478691daee8da7c23bd1d3b103d
aws.sdk.kotlin	savingsplans-jvm	1.3.76		2f98b062acbbbaad52e9446d80d32bc7feba40fc
aws.sdk.kotlin	savingsplans-jvm	1.3.77		d2575832adb14fbb52d19299c6b65fba7b88171a
aws.sdk.kotlin	savingsplans-jvm	1.3.78		51af980fc5949d63e02ecedad5455646df2d20f1
aws.sdk.kotlin	savingsplans-jvm	1.3.79		7aa95d30acb1065ffd93f5147e945f3a93a612dd
aws.sdk.kotlin	savingsplans-jvm	1.3.8		c7769505b6c97777d5ae91d2aa2a37487e7aa777
aws.sdk.kotlin	savingsplans-jvm	1.3.80		aadc920ddb03914494bb1f6a52aad288654ee1f3
aws.sdk.kotlin	savingsplans-jvm	1.3.81		6499f15fa562c380267256f02ba0efc831b2e21c
aws.sdk.kotlin	savingsplans-jvm	1.3.82		9e955fc164a88ac2cf47f198de56071b2454fd26
aws.sdk.kotlin	savingsplans-jvm	1.3.83		a4b61583703fe63277c4ee8b3138cef86f8abe3c
aws.sdk.kotlin	savingsplans-jvm	1.3.84		4c96cdd60b7c943d985fb81163f37469de26cde3
aws.sdk.kotlin	savingsplans-jvm	1.3.85		edff08abff98e5469fc8dec6ba07c748e635659b
aws.sdk.kotlin	savingsplans-jvm	1.3.86		9b19beaadee0d77105da75666b5b09b2a35a33ba
aws.sdk.kotlin	savingsplans-jvm	1.3.87		aa7e92dd9fe819720f11ae41b97afd660c813619
aws.sdk.kotlin	savingsplans-jvm	1.3.88		62d99db55e3fd2d68f7fc946c436c52c925d5a3b
aws.sdk.kotlin	savingsplans-jvm	1.3.89		e7b9e498808827041e699232fa720dd49a2bec5b
aws.sdk.kotlin	savingsplans-jvm	1.3.9		add88bcf8a17b7a8886da53d503b0b8dc13d8b2c
aws.sdk.kotlin	savingsplans-jvm	1.3.90		0060b2a54caa5d3228657f577837508428c3b4d7
aws.sdk.kotlin	savingsplans-jvm	1.3.91		0904b058d0d7bcbe7d9b4067a0ea072564c8fc8d
aws.sdk.kotlin	savingsplans-jvm	1.3.92		b0da47ac4de4198004d07deedbcb5a20ba9a788a
aws.sdk.kotlin	savingsplans-jvm	1.3.93		d9408895373a09fe9d73103b278b7e1e7ad10798
aws.sdk.kotlin	savingsplans-jvm	1.3.94		ea50082743e79f580e4364fee4844cf2dfa2187c
aws.sdk.kotlin	savingsplans-jvm	1.3.95		051346c30ddfdde4337b7636a824517a61e7af30
aws.sdk.kotlin	savingsplans-jvm	1.3.96		e9247887194e916b698b6b5d3934a5605858d517
aws.sdk.kotlin	savingsplans-jvm	1.3.97		f5a52edf6b0d5c8a3ac22bb23cb4e0f9ad42a919
aws.sdk.kotlin	savingsplans-jvm	1.3.98		63b5064c29e4e0a5a214034d15947bc4f5ab9bd5
aws.sdk.kotlin	savingsplans-jvm	1.3.99		71b16777d0a2e69e10ebc4b15c33da2b651f4be8
aws.sdk.kotlin	savingsplans-jvm	1.4.0		b2fe23d937fdbeb8e7c3b0816ff7f7a3b003db17
aws.sdk.kotlin	savingsplans-jvm	1.4.1		0460cf95953f3604046e899a05ddc3d24d0a5bd3
aws.sdk.kotlin	savingsplans-jvm	1.4.10		1cd182f3c715dec25f116dfac3998a85f7c05ef5
aws.sdk.kotlin	savingsplans-jvm	1.4.11		69efcebf5eb3021caac1858a0a4f7f62e4c0fb63
aws.sdk.kotlin	savingsplans-jvm	1.4.12		e0d8cd43f9c8c9868fd8533cf45e5366d5ad4aed
aws.sdk.kotlin	savingsplans-jvm	1.4.13		a706e37517b64bdf66196a4f619eb3d9009a03b4
aws.sdk.kotlin	savingsplans-jvm	1.4.14		0b75ba09ca3e4e2e602decc5dfefdd01a9cb04b5
aws.sdk.kotlin	savingsplans-jvm	1.4.15		73a1a706fcfd9e2c38a9f8a98fb0364bc30c8e56
aws.sdk.kotlin	savingsplans-jvm	1.4.16		0ffccac0c5b035cf86e71781e611515183646fb0
aws.sdk.kotlin	savingsplans-jvm	1.4.17		cea175dbc38fd86cfb74007336c0d7afe1c0a5e7
aws.sdk.kotlin	savingsplans-jvm	1.4.18		f4c43c2e006cf4fc5fda9b0c0e88ad1071ee6078
aws.sdk.kotlin	savingsplans-jvm	1.4.19		f2837d2a96c27894c6227487ba2ffb8d7841b511
aws.sdk.kotlin	savingsplans-jvm	1.4.2		7ae0e51788f9f800e25426fda5b265946ba04798
aws.sdk.kotlin	savingsplans-jvm	1.4.20		f2405a01a756d3867c437d76f85f4deaa7eda2b9
aws.sdk.kotlin	savingsplans-jvm	1.4.21		a5516f744eba92abf311d39695b79be243f59591
aws.sdk.kotlin	savingsplans-jvm	1.4.22		e744093f7f5611498eebcb9c988d4044b53ba79f
aws.sdk.kotlin	savingsplans-jvm	1.4.23		3f7b766e23d788cb42aa67e3561473ab066587e2
aws.sdk.kotlin	savingsplans-jvm	1.4.24		8651f6f1b72c0193c5be3256a07687834f49e673
aws.sdk.kotlin	savingsplans-jvm	1.4.25		a97b06524cd5b3d15d48fb1d82df7aed276a87bc
aws.sdk.kotlin	savingsplans-jvm	1.4.26		c04d986457e447276e17b91f5433fd809e8b67a6
aws.sdk.kotlin	savingsplans-jvm	1.4.27		ec73161eb0edae039d0564054ff7ec82e9fc89db
aws.sdk.kotlin	savingsplans-jvm	1.4.28		ba9e31ee614735290d47f15bc0403876ed13173c
aws.sdk.kotlin	savingsplans-jvm	1.4.29		69d06926fde3fcf66e8e41b131ba8113bf3c1fcf
aws.sdk.kotlin	savingsplans-jvm	1.4.3		4a7097f7b660cba3887f35aa0477d4e643d989f5
aws.sdk.kotlin	savingsplans-jvm	1.4.30		587be2f58c4ea70baad60d0cd3e851d8fdbcacba
aws.sdk.kotlin	savingsplans-jvm	1.4.31		2c18cc9f050c28e7bb4ca97153abd02e889a5789
aws.sdk.kotlin	savingsplans-jvm	1.4.32		a8acc19a1823bd925bc8a7add81919787b981822
aws.sdk.kotlin	savingsplans-jvm	1.4.33		713e8671bb4522df29f9ef0760d171e75200514c
aws.sdk.kotlin	savingsplans-jvm	1.4.34		76c203a3d5aa77a57f153dbb18ae4d03bc060945
aws.sdk.kotlin	savingsplans-jvm	1.4.35		b7fdbc8a64a9d18c93b8e879267e5ca79b65dc2d
aws.sdk.kotlin	savingsplans-jvm	1.4.36		b35b083fe662c9fd6082a3a24bb7093401686c71
aws.sdk.kotlin	savingsplans-jvm	1.4.37		75baf878823c0e940be40cef629f82d30a4b8a9f
aws.sdk.kotlin	savingsplans-jvm	1.4.38		0df3882d8f290a5544581144f397af5edba1b7a6
aws.sdk.kotlin	savingsplans-jvm	1.4.39		c7c1a75f5308e78c5ab0b60385d3eb2b378b4bee
aws.sdk.kotlin	savingsplans-jvm	1.4.4		036499ba0ae9693384ef32d270f1be774987758d
aws.sdk.kotlin	savingsplans-jvm	1.4.40		52e73b93d255661b65e0e3f8e5c5513857dd1f1c
aws.sdk.kotlin	savingsplans-jvm	1.4.41		35425b896c9f8bb648ab5ef6b7df66bed04cfc6b
aws.sdk.kotlin	savingsplans-jvm	1.4.42		8986150f92b7ba04eb717bc008c2f290e0fa0fa6
aws.sdk.kotlin	savingsplans-jvm	1.4.43		7080b34419bf58083fa915872d1c801d68077de8
aws.sdk.kotlin	savingsplans-jvm	1.4.44		8f5f45b4e3410e01fb11e8ab42eae7b0da5133ed
aws.sdk.kotlin	savingsplans-jvm	1.4.45		7b56f6d4ac5f1d82f353fe5a143ae5579490eb56
aws.sdk.kotlin	savingsplans-jvm	1.4.46		75b5f53c358f7a76d98d56f0652a55e38a99ebba
aws.sdk.kotlin	savingsplans-jvm	1.4.47		22823b582ac5c1ea22a2018d5cd5bba3272182b4
aws.sdk.kotlin	savingsplans-jvm	1.4.48		5b57ea9058d706f207c3eec552bf7f30493fbec2
aws.sdk.kotlin	savingsplans-jvm	1.4.49		8ec33ce4d3460c2fd22dd5dfc541b532545f5846
aws.sdk.kotlin	savingsplans-jvm	1.4.5		ae8e65af1060bb16ce08f66734164e79ac79c2ed
aws.sdk.kotlin	savingsplans-jvm	1.4.50		ff28b7160dac0ba87d0beb6ae346b3c8967ca631
aws.sdk.kotlin	savingsplans-jvm	1.4.51		fa815ddb7dbeeaf212bc9862e75bc8eeeec8e406
aws.sdk.kotlin	savingsplans-jvm	1.4.52		53b6d0b1ce8a086095eb82b0fcc277f9c763b099
aws.sdk.kotlin	savingsplans-jvm	1.4.53		70b93312309a8afdba3e14e0eca6726eb2a1f138
aws.sdk.kotlin	savingsplans-jvm	1.4.54		f5e3204c16c61981da766f408619477480aafe23
aws.sdk.kotlin	savingsplans-jvm	1.4.55		d35de402a774f8e2c9b0350104742033b63d904a
aws.sdk.kotlin	savingsplans-jvm	1.4.56		0e0590a4bd6c0f4766deafae039997295efcb8d0
aws.sdk.kotlin	savingsplans-jvm	1.4.57		587037ea5582c3d8e63eb2fd2d384bc0b1111773
aws.sdk.kotlin	savingsplans-jvm	1.4.58		78ef81cd2da7a54eb88c109b370295c508d1a53d
aws.sdk.kotlin	savingsplans-jvm	1.4.59		7d893b8e0c2a9587441b8b3447bdf3f319cab0dc
aws.sdk.kotlin	savingsplans-jvm	1.4.6		5f87d2b0091f50d40903f05a15d1253773639f6a
aws.sdk.kotlin	savingsplans-jvm	1.4.60		529da6ab337ad5c58c6682fc29a357b56dcb84c3
aws.sdk.kotlin	savingsplans-jvm	1.4.61		e119c4abeeebe6d56786e80aeed6bc3e4b74180d
aws.sdk.kotlin	savingsplans-jvm	1.4.62		9cd2926af52dae57118f5cfc590df46047961fd5
aws.sdk.kotlin	savingsplans-jvm	1.4.63		83400c44e981f5e8c81b74e29288b1f5e3fd2fc4
aws.sdk.kotlin	savingsplans-jvm	1.4.64		8f72bebe812722d98a467b6b0594f2ff9f2fc3a5
aws.sdk.kotlin	savingsplans-jvm	1.4.65		23914ce70f2af688ab63f0407854b8b249d9b360
aws.sdk.kotlin	savingsplans-jvm	1.4.66		52050f47fbb314802189858f1654f9241dc77632
aws.sdk.kotlin	savingsplans-jvm	1.4.67		dba7c73a1e68aa423be342764f719454465b2816
aws.sdk.kotlin	savingsplans-jvm	1.4.68		2cb1e8a5c0d4ea30334624ac91ccef2b9ea038ab
aws.sdk.kotlin	savingsplans-jvm	1.4.69		3a8041e66a57e00f25f57dda1a8920aa52707496
aws.sdk.kotlin	savingsplans-jvm	1.4.7		3c25c42088bd92d210359d4f36ca806ccd7c717b
aws.sdk.kotlin	savingsplans-jvm	1.4.70		4d058f35b1f755ce67b395615494c3c951574e58
aws.sdk.kotlin	savingsplans-jvm	1.4.71		d553b1739688e7456f84e709e061c33e7c6611fe
aws.sdk.kotlin	savingsplans-jvm	1.4.72		26fd765987865b2146ee9bb72f07facc933d2e2b
aws.sdk.kotlin	savingsplans-jvm	1.4.73		78fd9ae2608c907de6397108cdb90322700eb270
aws.sdk.kotlin	savingsplans-jvm	1.4.74		cc222229e9e7431c4eab257ffada6fdb08e84733
aws.sdk.kotlin	savingsplans-jvm	1.4.75		f79edcf9943e0eae6753fa82ae96bd2697b73369
aws.sdk.kotlin	savingsplans-jvm	1.4.76		914a206d854bb5104adab70b7c969529e06ba4ad
aws.sdk.kotlin	savingsplans-jvm	1.4.77		ba5bac1847f1f7b8402a52fe591c455957782129
aws.sdk.kotlin	savingsplans-jvm	1.4.78		c1c9c260c3dbff49955c3b736bf3eff64356e0da
aws.sdk.kotlin	savingsplans-jvm	1.4.79		46b5cddcd63a3a431b3346e3bfd7d655f76f66c7
aws.sdk.kotlin	savingsplans-jvm	1.4.8		0dce877ac6d923fcf30507599fa4c5b27c28fb01
aws.sdk.kotlin	savingsplans-jvm	1.4.80		8495105b0fc388e3575d2bf2a8bc5f9a227bb471
aws.sdk.kotlin	savingsplans-jvm	1.4.81		df1bf1d361e2d241642161be1f8ccbf167b1997a
aws.sdk.kotlin	savingsplans-jvm	1.4.82		16d7fa2377f91555da5235a8fe4ce88f0c14364a
aws.sdk.kotlin	savingsplans-jvm	1.4.83		924e7638819bb8aa04587258a1d7fef8fd38441a
aws.sdk.kotlin	savingsplans-jvm	1.4.84		aac6bd661b39a1c391df716bbfee7cba9158457c
aws.sdk.kotlin	savingsplans-jvm	1.4.85		7dfdbb90664cabbaa0ae936e1df3ff4a50741c68
aws.sdk.kotlin	savingsplans-jvm	1.4.86		1214c2d5e7f211431662d3f825d8d0d897bce071
aws.sdk.kotlin	savingsplans-jvm	1.4.9		b3e5a464227e5049f2041ce3581e9bfc127fcb16
ca.uhn.hapi.fhir	hapi-fhir-spring-boot-starter	3.1.0		c3ccd7d9ff2fbacbf1df0be3814d96111cda3ba5
ca.uhn.hapi.fhir	hapi-fhir-spring-boot-starter	3.2.0		b867304358dce719c2745f888a997fa41442f8f5
ca.uhn.hapi.fhir	hapi-fhir-spring-boot-starter	3.3.0		a45105144c3eb10bb4eb3f897a490ff61b62d8c7
ca.uhn.hapi.fhir	hapi-fhir-spring-boot-starter	3.4.0		f57b5f108b067c7aa8195639781bc229f64897ad
ca.uhn.hapi.fhir	hapi-fhir-spring-boot-starter	3.6.0		3dcc977a1dcd6e7ca3a1a28920bf4e01dcb588cb
ca.uhn.hapi.fhir	hapi-fhir-spring-boot-starter	3.7.0		668e3e212a1f54b9c2d934fe8177dbaa3bd92c74
ca.uhn.hapi.fhir	hapi-fhir-spring-boot-starter	3.8.0		d2a50c5170fc26f2868905a8cd8cc2e05a89770b
ca.uhn.hapi.fhir	hapi-fhir-spring-boot-starter	4.0.0		2870aa691ce5f7d88a2dada6655bbbb10516c44e
ca.uhn.hapi.fhir	hapi-fhir-spring-boot-starter	4.0.1		0d80f36afec42b06a070c3a942c6ee6016ec0a05
ca.uhn.hapi.fhir	hapi-fhir-spring-boot-starter	4.0.2		9d9e544ef0f820d98e13efd950f0d9275bde603d
ca.uhn.hapi.fhir	hapi-fhir-spring-boot-starter	4.0.3		7cce6a13a9bb88a7eb28f5e8f3f342b96bb1ca1b
ca.uhn.hapi.fhir	hapi-fhir-spring-boot-starter	4.1.0		fa4c12197c9c2079241c5ee6af9963fc1226a686
ca.uhn.hapi.fhir	hapi-fhir-spring-boot-starter	4.2.0		aeccbd662d315f9fa17fb2e627d0815debe19c1d
ca.uhn.hapi.fhir	hapi-fhir-spring-boot-starter	5.0.0		7782c15eb4ff0c1a171d40e6b990153c8f0b0e4e
ca.uhn.hapi.fhir	hapi-fhir-spring-boot-starter	5.0.1		9e6fb1a1f42ac920138ce1e28f156e22b0d5a332
