com.cognifide.apm	apm-actions.checks	5.7.0		b0c44e49a85fceb3fc1e04d9a4fe4e907c50a2ec
com.cognifide.apm	apm-actions.checks	5.7.1		e75c5cc3b7e732f04db646491e55de2add22bb43
com.cognifide.apm	apm-actions.checks	5.7.2		73cfff9fca226578e06d126d8954de576ff3c67d
com.cognitect.aws	appfabric	848.2.1413.0		fc4fcd9c74d91f28efd0b3b265a76c72efa4a64c
com.cognitect.aws	appfabric	871.2.29.35		208b2a70581e700866be3419f77beb9488cc71f1
com.craterdog.maven-parent-poms	root	3.10		N/A
com.craterdog.maven-parent-poms	root	3.11		N/A
com.craterdog.maven-parent-poms	root	3.12		N/A
com.craterdog.maven-parent-poms	root	3.13		N/A
com.craterdog.maven-parent-poms	root	3.14		N/A
com.craterdog.maven-parent-poms	root	3.15		N/A
com.craterdog.maven-parent-poms	root	3.16		N/A
com.craterdog.maven-parent-poms	root	3.17		N/A
com.craterdog.maven-parent-poms	root	3.18		N/A
com.craterdog.maven-parent-poms	root	3.19		N/A
com.craterdog.maven-parent-poms	root	3.20		N/A
com.craterdog.maven-parent-poms	root	3.21		N/A
com.craterdog.maven-parent-poms	root	3.22		N/A
com.craterdog.maven-parent-poms	root	3.3		N/A
com.craterdog.maven-parent-poms	root	3.4		N/A
com.craterdog.maven-parent-poms	root	3.5		N/A
com.craterdog.maven-parent-poms	root	3.6		N/A
com.craterdog.maven-parent-poms	root	3.7		N/A
com.craterdog.maven-parent-poms	root	3.8		N/A
com.craterdog.maven-parent-poms	root	3.9		N/A
com.ericsson.bss.cassandra.ecaudit	eclog_c4.0	2.10.0		b8b9ac8e76154212e527438050e068652e06d01a
com.ericsson.bss.cassandra.ecaudit	eclog_c4.0	2.11.0		0bf0c4e46dd7a06f1d13a9d8b4574924670b6696
com.ericsson.bss.cassandra.ecaudit	eclog_c4.0	2.9.0		370ae8b3e334ffc060007bbf981b86941f102206
com.ericsson.bss.cassandra.ecaudit	eclog_c4.0	3.1.0		0c70e30c49efd64f681cf3d3a7a4c50706a127a7
com.github.czyzby	uedi-android	0.2		fafd7ea45df39f6716bd8831e8d9e4b82d865468
com.github.grapheco	graiph-client-shade	0.1		0021984e0f6cd6936565c61f8d17857da25f8452
com.github.gv2011	tools-dev	0.12		81ca1f2866d4290ac6769f338eb6e3aaa44cadd3
com.github.gv2011	tools-dev	0.8		6e16301aa6ebaccd83cb16c27b00c2721550b076
com.gradleup	gr8-plugin-common	0.10		717843c9bd192f644b4be4d76d4b075b733a73b1
com.gradleup	gr8-plugin-common	0.11.0		ad4ddc8ad916285ec7af0f276af8faa12bb4a430
com.gradleup	gr8-plugin-common	0.11.1		898ac3b6b2dced992c3e5f036efc884c3eac036b
com.gradleup	gr8-plugin-common	0.11.2		0a1af22724e61f916265eb00464b984025a82aef
com.gradleup	gr8-plugin-common	0.5		0fcf414e776cab64c0fec29fa59c3b0f6d5314f9
com.gradleup	gr8-plugin-common	0.6		9535002930093dae28c99f4c027539266f28cd91
com.gradleup	gr8-plugin-common	0.7		5e7f1893f59702cb23557716402daaa601736fba
com.gradleup	gr8-plugin-common	0.8		f6899c774d26733d0c1a40a6ecb7fe4de545aee3
com.gradleup	gr8-plugin-common	0.9		b4546c19d33b2dd99c36cdab36a4cd71f0fee1a2
com.gruelbox	xchange-dragonex	4.3.16.1		dc592a3880088d84e08e8f1ec031f66d2bc232ce
com.gruelbox	xchange-dragonex	4.3.17.1		760a0916ba7ae95b58e7f94a91d64acea97c701e
com.lindar	postcodes-io-client	1.0.0		e7996c034adeb2c4e299b12dfad41692ad475d1e
com.mayakapps.kache	file-kache-okio-watchosx64	2.0.0-rc01		N/A
com.mayakapps.kache	file-kache-okio-watchosx64	2.0.0-rc01	metadata	79211e4249cfdf6554593b81316fef068c283a8c
com.mayakapps.kache	file-kache-okio-watchosx64	2.0.0-rc02		N/A
com.mayakapps.kache	file-kache-okio-watchosx64	2.0.0-rc02	metadata	3336ae05a00a85d6dcec85d4f20823c26138072c
com.nutanix.api	opsmgmt-java-client	4.0.1		4dfe2b287a7978c5b67e378b3973dd066c1f5f03
com.onepeloton.locust4k	locust4k	1.0.0		18d1aca5ade376d65bfd56f92f882f38819979c9
com.onepeloton.locust4k	locust4k	1.1.0		b7ecc924b1a305f4d2a91d9ccd2a0a7d191bec25
com.openshift.express	openshift-java-client	1.0.0		ba5d20a624372951a15d921f5f89290d6e1d9951
com.powsybl	powsybl-network-area-diagram	0.1.0		57a950de099a81a5d78ab87b08bd87c165d88e9a
com.powsybl	powsybl-network-area-diagram	0.2.0		9bc79b953c447a02cc763871795ec65a890365a4
com.powsybl	powsybl-network-area-diagram	0.3.0		0da1a5a00570251ba7f8dfa2ba5dd68c6c517c69
com.powsybl	powsybl-network-area-diagram	0.4.0		8d29ba2bfc48e96f7131b7601478115faf068604
com.powsybl	powsybl-network-area-diagram	0.5.0		317d4f0b49ddbed944849dd3a61bd3f117d549c9
com.powsybl	powsybl-network-area-diagram	0.6.0		7b7ba320f7c4c1b9925e5671a1632734ff9ab30d
com.powsybl	powsybl-network-area-diagram	3.0.0		03d813056ee831d96e0aeb4a3b1c9b86ec40034c
com.powsybl	powsybl-network-area-diagram	3.1.0		2caa35326b77317324715920c101e047659d0439
com.powsybl	powsybl-network-area-diagram	3.2.0		428ef6a3ef110e2a50a70ed314087becb856e70f
com.powsybl	powsybl-network-area-diagram	3.3.0		f1a7e6656d15c3ae54f189140e51b5f2c69bcd00
com.powsybl	powsybl-network-area-diagram	3.3.1		d7da6869abb6d3c3f76948822cdf0679d8662667
com.powsybl	powsybl-network-area-diagram	3.3.2		ec81ff34944d943c35b7c4db5baeb29113a8b58a
com.powsybl	powsybl-network-area-diagram	4.0.0		6d8b9a3884ad60e0526031736b1b152d477b4b52
com.powsybl	powsybl-network-area-diagram	4.1.0		868726fe9c519147ed4e0358295f893b7571788e
com.powsybl	powsybl-network-area-diagram	4.1.1		7127763d6ad5b7e08f965f02e8870317ec0f6caf
com.powsybl	powsybl-network-area-diagram	4.2.0		047c427570a271ba7dddfd781ceecde1f218970b
com.powsybl	powsybl-network-area-diagram	4.3.0		0656e3b4a2a5913a5d24a6a57a03baa8aff7e0cc
com.powsybl	powsybl-network-area-diagram	4.4.0		ea6fd33d7b1f63a6be5ba38488319bd89177deed
com.powsybl	powsybl-network-area-diagram	4.5.0		466080a7c25f42f0c9e7a3130f24b79168f32d08
com.powsybl	powsybl-network-area-diagram	4.5.1		aae0ab55895c44c7cdf62b2bce8829c19bb732af
com.powsybl	powsybl-network-area-diagram	4.6.0		987609deded0401a2fa8a0d18593e9d9c70f77e8
com.powsybl	powsybl-network-area-diagram	4.6.1		9ecedf9a4a755407f4b38f82a6b8589646b5943b
com.powsybl	powsybl-network-area-diagram	4.6.2		e5f70de4c9cccc29152cbad4e754f9aad18a5bf6
com.powsybl	powsybl-network-area-diagram	4.7.0		8764d267edac9e04c11110ccca00f0a13a1679e1
com.powsybl	powsybl-network-area-diagram	4.8.0		4a0e02f59935641052f92bb9df89d40224be9f5e
com.reprezen.genflow	genflow-tools	0.0.10		a0a1399e6f1b892438c31d68f20b7054ea61d122
com.reprezen.genflow	genflow-tools	0.0.11		fa94e9203534b5644f94a2fa8a5d60bfc278e12a
com.reprezen.genflow	genflow-tools	0.0.12		3c951c50e57c32c58d27d11b218d4756f3c83175
com.reprezen.genflow	genflow-tools	0.0.13		fc4f8ac408ba066363568792cf44d9241b143bdd
com.reprezen.genflow	genflow-tools	0.0.14		7e06914e3b7553ca661e84b661c2fbb8e858f7f6
com.reprezen.genflow	genflow-tools	0.0.15		c659c17c2c51b0a030a1767dd946bc1ec589efa6
com.reprezen.genflow	genflow-tools	0.0.16		534fc47f8c6876de27ae173c22eb38a1db264f9b
com.reprezen.genflow	genflow-tools	0.0.17		8dcc0d5cd71959206404452b534ade34b5f7ee1a
com.reprezen.genflow	genflow-tools	0.0.18		2fd6e4c90bbe872ffbe664d12cc112fb39f46b94
com.reprezen.genflow	genflow-tools	0.0.19		afa8909eebde8d55b2ea167ec79529cdc4bb9166
com.reprezen.genflow	genflow-tools	0.0.20		a06e0ba2238472fd961b013cb977b2b3f5d75381
com.reprezen.genflow	genflow-tools	0.0.23		49264dbd0c839542e50209c4a5ad6f451525ddce
com.reprezen.genflow	genflow-tools	0.0.24		578413aab924bda707eae55f6a5ea13c209526e1
