cloud.altemista.fwk.framework	cloud-altemistafwk-bom-tsf-custom	3.1.0.RELEASE		N/A
com.github.fomkin	pushka-json_2.11	0.6.2		5720168b930705a669c2727444cf7f08ac5698dc
com.github.fomkin	pushka-json_2.11	0.7.0		50ddf8166e32e55edef588b3883fd0f1b60b9a92
com.github.fomkin	pushka-json_2.11	0.7.1		9ddb76dfef1e6a82a2d966b8de3223f9c4ca542f
com.github.fomkin	pushka-json_2.11	0.8.0		68dbd9f2cf338d0a0d91b6e98144722c3742e4b1
com.github.genium-framework	Appium-Support	1.0.0		0bd98ca8ca84860db05b894840079335069817b8
com.github.genium-framework	Appium-Support	1.0.1		ca0be20c4d14e0ce2eaff3e215ae39350298c999
com.github.genium-framework	Appium-Support	1.0.2		6ea2bf8e80604d80ff5f88c8c8d78690e51e2e9a
com.github.genium-framework	Appium-Support	1.0.3		b9a24d940577762934bfda124846aeeced0eb2ef
com.github.genium-framework	Appium-Support	1.0.4		cb1c27873d3354c21d4274af8ef5734b49846f18
com.github.genium-framework	Appium-Support	1.0.5		51adf9fb43fdcad9d26c191a8970bbc01bb25a6b
com.github.krraghavan	mongodb-aggregate-query-support-core	0.8.0		7a9e39ab46f3ed77a91c2c6da15ea67a0f43ad95
com.github.krraghavan	mongodb-aggregate-query-support-core	0.8.1		a1c4fc3568f4207c705069b8f52b8a6b4937ae53
com.github.krraghavan	mongodb-aggregate-query-support-core	0.8.10.1		e6b22908bc40ed592f0b44630b09e65398ac947f
com.github.krraghavan	mongodb-aggregate-query-support-core	0.8.10.2		af06b63b164e094c6b84510d9e006549dd08d8b3
com.github.krraghavan	mongodb-aggregate-query-support-core	0.8.10.3		0d36e92da0b8fa3ebbd1040f45ea6203d0550311
com.github.krraghavan	mongodb-aggregate-query-support-core	0.8.10.4		bc5ce5f1ccb809d94f5f94253029ba0056148d8d
com.github.krraghavan	mongodb-aggregate-query-support-core	0.8.10.5		597b4ffd586730eaf55ae7bc5265dffbae3d8b84
com.github.krraghavan	mongodb-aggregate-query-support-core	0.8.10.6		27d8a778697142a2b2429d3b2435b4b6fde7f6ef
com.github.krraghavan	mongodb-aggregate-query-support-core	0.8.2		8e2fb7b015ef17a1dc9e0517052d579cef160326
com.github.krraghavan	mongodb-aggregate-query-support-core	0.8.3		6a304fc7852b6f688c9b6714a7208d3bc422f7ae
com.github.krraghavan	mongodb-aggregate-query-support-core	0.8.4		59569e29da53450726d6f79fd1ac2a3fb10807a3
com.github.krraghavan	mongodb-aggregate-query-support-core	0.8.5		7c0a9365e1dcbaba17ebc8ad0ed36bf1d4afa02d
com.github.krraghavan	mongodb-aggregate-query-support-core	0.8.6		160d26f44c5aad81b6a78ad7b07eb669173b73bf
com.github.krraghavan	mongodb-aggregate-query-support-core	0.8.7		ea14a6aa58b731cb994e3274415b9f4e10505565
com.github.krraghavan	mongodb-aggregate-query-support-core	0.8.8		2ea77d958c66251facb30dd5cd8ac74f628ddbbd
com.github.krraghavan	mongodb-aggregate-query-support-core	0.8.9		7433651f57b13d7f656a71c8e9d9707fec4fd40f
com.github.krraghavan	mongodb-aggregate-query-support-core	0.9.0		5b7232cac1283993d4f0ab9a69c94603f1ac074a
com.github.krraghavan	mongodb-aggregate-query-support-core	0.9.1		19e5cbb7c9d5cb7fcbb7c6470dcf8065352f5b25
com.github.krraghavan	mongodb-aggregate-query-support-core	0.9.2		ac919368f8b1c9b6bdb4386b8af9c9a9593f6e91
com.github.krraghavan	mongodb-aggregate-query-support-core	0.9.3		63c619576318486731d80488b19cc8e8a2660753
com.github.krraghavan	mongodb-aggregate-query-support-core	0.9.4		4cecb3bc26ae29d604c29deb487408aab1435409
com.github.krraghavan	mongodb-aggregate-query-support-core	0.9.5		79e02b7c7ba656f9905ac340b835fb45ddcc7c0f
com.github.relaxng	relaxngDatatype	2011.1		6038cefcc6ff15bb44ad5d18217d0572059389ef
com.github.starnowski.posmulten.hibernate	hibernate6	0.2.0		7b747037eabdfd137f535e78862aa7a645eaa96d
com.github.starnowski.posmulten.hibernate	hibernate6	0.2.1		0a848d7dff7c24dcf583713b9f5e154e8e84cd2a
com.github.starnowski.posmulten.hibernate	hibernate6	0.2.2		432cb5cb5035f2144ee9a2cdfe9a29e7b5d6063a
com.github.starnowski.posmulten.hibernate	hibernate6	0.3.0		6673354df800d32caf5d6403c2071b0bd6d583ef
com.github.starnowski.posmulten.hibernate	hibernate6	0.3.1		0dd77f0e0aa002f790c9a09ecb639830a0e353e8
com.github.starnowski.posmulten.hibernate	hibernate6	0.4.0		9454ba0dc00ca24d9d0eb3d48e78c349745df2fa
com.github.timofeevda.jstressy	jstressy-vertx-metrics	1.0.11		0f9a972b15d9dfbfbd2219167397a5d2caa7b037
com.github.timofeevda.jstressy	jstressy-vertx-metrics	1.0.12		a4b0516149c51e40408107aa346373e1a9057fe8
com.github.timofeevda.jstressy	jstressy-vertx-metrics	1.0.13		88494925886b69ca79f169a8e0ac904a7b3c09c3
com.github.timofeevda.jstressy	jstressy-vertx-metrics	1.0.14		c43cf39705ba9d00f65987eeca3337e9dc9c162b
com.github.timofeevda.jstressy	jstressy-vertx-metrics	1.0.15		25e7151055c311ed6c269f43425c7e5293e64a4d
com.github.timofeevda.jstressy	jstressy-vertx-metrics	1.0.16		6d3f966eac8d6d86f104d54d4e7a5bcab1895338
