ch.voulgarakis	spring-cloud-stream-binder-jms	1.0.0.RELEASE		5377e68c88bd300df6dd6b149429c0829aab3230
de.sciss	fscape-lucre_sjs1_2.13	3.3.1		b9f84aca32a62d38afeeba03485d2b11b9c87694
de.sciss	fscape-lucre_sjs1_2.13	3.4.0		c6cc2b2fda85d3ca476e2b7421ec270bec9242d5
de.sciss	fscape-lucre_sjs1_2.13	3.5.0		39800d2af51b061c09207fcd19e9dc6893b5fd66
de.sciss	fscape-lucre_sjs1_2.13	3.6.0		44b57ceece65c093fd161bbe2c2afe71b3f08217
de.sciss	fscape-lucre_sjs1_2.13	3.7.0		d6f29e204f4b38d8395c59203dcb4a380ae4fad4
de.sciss	fscape-lucre_sjs1_2.13	3.7.1		0f6868d5d05f5bb87a0308141149cfafdef3a2f2
de.sciss	fscape-lucre_sjs1_2.13	3.8.0		f2d5a3e6e8c62644f5c90a00102d87284606de63
de.sciss	fscape-lucre_sjs1_2.13	3.9.0		bcb0fa8d1f4b17c8fb0a8bd2ebcabae39af26866
de.sciss	optional_3.0.0-RC1	1.0.1		5dc09a223a69de3d6898df3f41b52a864e0ee9e1
de.sciss	span_2.11	1.2.1		170d689722bd1f6ff0c214c8e08499de5d47ee70
de.sciss	span_2.11	1.3.0		5752bbde31f5b8c80321598b69889260c4317fd5
de.sciss	span_2.11	1.3.1		50887e143359bb484eec23da9e5c63bbdd2a64b5
de.sciss	span_2.11	1.3.2		c1830afae1fb03a8e9ffd5f0b89d5e49ba2dc760
de.sciss	span_2.11	1.3.3		7cd14439e9d21567302bc8d4e6e8142f52cbf238
de.sciss	span_2.11	1.4.0		8e07827af26378f7f8c45da9e3241974f1de95ab
de.sciss	span_2.11	1.4.1		f6b5ab580ce2f71331dda1aa23269438f18e553a
de.sciss	span_2.11	1.4.2		585e6eeceb1352541dbd57bfac1df73573850f94
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.21.2		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.21.3		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.21.4		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.21.5		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.22.0		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.22.1		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.22.2		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.22.3		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.22.4		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.22.5		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.22.6		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.22.7		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.22.8		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.22.9		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.23.0		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.23.1		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.23.2		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.24.0		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.24.1		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.24.2		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.24.3		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.24.4		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.24.5		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.24.6		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.24.7		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.24.8		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.24.9		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.25.0		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.25.1		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.25.2		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.25.3		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.25.4		N/A
dev.inmo	micro_utils.ksp.classcasts-linuxarm64	0.25.5		N/A
dev.profunktor	http4s-jwt-auth_2.12	0.0.1		5a2522ad6181f95424c558a8fab1c66490156384
dev.profunktor	http4s-jwt-auth_2.12	0.0.2		32f2af572993ee9f1b1a5fbc0d414693ab348023
dev.profunktor	http4s-jwt-auth_2.12	0.0.3		6039c27bfc5a2335e559b5785c0e9033c9924ead
dev.profunktor	http4s-jwt-auth_2.12	0.0.4		2751e74caeef29e8bbbe26d8d8c475402d43c03e
dev.profunktor	http4s-jwt-auth_2.12	0.0.5		c1f6d0fb4a138a14bdb3487c82383516e8e8ee27
dev.profunktor	http4s-jwt-auth_2.12	0.0.6		4f9bb4f1a8ba2683fd503008ca84861b2ef08519
dev.profunktor	http4s-jwt-auth_2.12	0.0.7		89b735f2a798b0b5563456356bc9196835c42786
dev.profunktor	http4s-jwt-auth_2.12	1.0.0		11b19d6616038ab97f774aaf5d419e460dcade8a
dev.profunktor	http4s-jwt-auth_2.12	1.0.0-RC1		db5f05ac1867257aa8c4561eebf0b11331d1a5cb
