by.shostko	acollector-firebase-analytics	0.2.2		N/A
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.56.0		304fa67e0ffc0dfa9879644001b62852f0651ac4
com.google.api.grpc	proto-google-cloud-discoveryengine-v1	0.57.0		3f860935a19c79cddcc85e4a386936362d415e65
com.gu	marley_2.10	0.1.2		c956e7d40da908a092e39291930c25ea522627c8
com.helger.photon	ph-oton-bootstrap3	8.2.5		29c23d93b10c9f5d69834e40a72684441530f865
com.helger.photon	ph-oton-bootstrap3	8.2.6		d1041ac587f93973dc3b3e84687d14fd00ecea77
com.helger.photon	ph-oton-bootstrap3	8.2.7		3242745dc48ca779d841eb25daf4c3fdd7fa5805
com.helger.photon	ph-oton-bootstrap3	8.2.8		e1abe186daf24da268578020a36f60b9d6b524a8
com.helger.photon	ph-oton-bootstrap3	8.2.9		386b80d222eb5d57b7cea529e46d8c17477e06a3
com.helger.photon	ph-oton-bootstrap3	8.3.0		8d43b7722e40738ed8fafb6e5cc13b510293ab7e
com.helger.photon	ph-oton-bootstrap3	8.3.1		5f32482bcace909df5afc06925372caba1422ff1
com.helger.photon	ph-oton-bootstrap3	8.3.2		7d7cd58c79b985597a12fae2b81f1273d953f5e7
com.helger.photon	ph-oton-bootstrap3	8.3.3		5ec27ac2a264c5fc2beb439db1265d30a9b3a909
com.helger.photon	ph-oton-bootstrap3	8.3.4		b18eddae76af27c35ef1067a6a0c18c9f47c84be
com.helger.photon	ph-oton-bootstrap3	8.3.5		a8502df7f12db10182562ff535396cf49c079444
com.helger.photon	ph-oton-bootstrap3	8.3.6		ecd3ef215481661023c07b8c9b3034c5d5b4078c
com.helger.photon	ph-oton-bootstrap3	8.4.0		c04d02aabe8d8c9e8a43958faf78c0d5b208200d
com.helger.photon	ph-oton-bootstrap3	8.4.1		db4a0c6b6f4581e5ec7f5085fad16865f799e147
com.helger.photon	ph-oton-bootstrap3	8.4.2		2db24f2686e2033384176b6e42ea07ed45c09559
com.helger.photon	ph-oton-bootstrap3	8.4.3		672867daf3d248dfb8945792baea9c6c10e5358d
com.helger.photon	ph-oton-bootstrap3	8.4.4		124a80a14f5514d612eb35e62be6b49344c53037
com.helger.photon	ph-oton-bootstrap3	8.4.5		50876c1230882f7ea7d8d114b75ab3920d368e06
com.helger.photon	ph-oton-bootstrap3	9.0.0		604a1c5a5d550ee18b4efdc3fccc93657cee2563
com.helger.photon	ph-oton-bootstrap3	9.1.0		9b53f6894a7561f54b9f5e619376a27d5f5d1ee6
com.helger.photon	ph-oton-bootstrap3	9.1.1		a1f7c0c1b995240137b8a0275095720d5a94b669
com.helger.photon	ph-oton-bootstrap3	9.1.2		bb61a4d60965a4a65797dd367e1b190960c2325f
com.helger.photon	ph-oton-bootstrap3	9.1.3		b28067161c7d67bc68b5958bbe576e2a50fea30f
com.helger.photon	ph-oton-bootstrap3	9.1.4		db6ffea798658fab44f1c504913fce55ea541820
com.helger.photon	ph-oton-bootstrap3	9.2.0		36decf2f6e6d5678de061a4bbb04961aa9693098
com.helger.photon	ph-oton-bootstrap3	9.2.1		bf4d4f378e9ebec4040070f98c19f77aabed9315
com.helger.photon	ph-oton-bootstrap3	9.2.2		b32eca258bb81d3954c41d763e70ab423088a2d7
com.helger.photon	ph-oton-bootstrap3	9.2.3		e506208007763f519205614b8403877d20a8e090
com.hfcsbc.sdk	upload-client	0.0.1		317be225685f5e48bd4b62c5698e6b0e7ca02676
com.hfcsbc.sdk	upload-client	0.0.10		0f203e2f8553d059f04a916a5002a908d8840aa9
com.hfcsbc.sdk	upload-client	0.0.11		02b4bed5ad20ce8644e23c830a0d53757f29bc64
com.hfcsbc.sdk	upload-client	0.0.12		aa205b8680dd07c1915ea61e09eb535de45a98a2
com.hfcsbc.sdk	upload-client	0.0.13		fd831c6ef5cf55c523b02c204f69c44a902e8559
com.hfcsbc.sdk	upload-client	0.0.14		213eb256b3d6345993de965393ed6169739e0bb1
com.hfcsbc.sdk	upload-client	0.0.15		c9366ee7a6f663180fcf13bfcfb5b6dcd82a1652
com.hfcsbc.sdk	upload-client	0.0.16		fd452ed1fc95cbf086d05a0c63dea0e294166e17
com.hfcsbc.sdk	upload-client	0.0.17		e9d4e5e946a0a79f6895bfd40258220dc8577e44
com.hfcsbc.sdk	upload-client	0.0.18		ba060207ea71d51f018b270304bbe1568e0900cf
com.hfcsbc.sdk	upload-client	0.0.19		8e2408d59a8121c403c9d394de934f4a75dc7024
com.hfcsbc.sdk	upload-client	0.0.2		c2878c78fb4088d7e1a2206a193867f44d1933da
com.hfcsbc.sdk	upload-client	0.0.20		720f4aa8e73a2c5b0688738fca9ff799ef45ddaf
com.hfcsbc.sdk	upload-client	0.0.3		304d647e8c3e2c2e187b367db765c17e77085450
com.hfcsbc.sdk	upload-client	0.0.37		a4d6d30fdf9c7518f50911d02d6b82fb27c3d51f
com.hfcsbc.sdk	upload-client	0.0.38		269ca1b6065a493336b48c6a196c459056133461
com.hfcsbc.sdk	upload-client	0.0.4		3f724137d3df8d0ecce57a4d4aa89bcf9bbdda5e
com.hfcsbc.sdk	upload-client	0.0.40		1d0209ed780d7300f4408dbab369944e173aef3f
com.hfcsbc.sdk	upload-client	0.0.41		57fcbee997f527e682400df02d4ea286e4f9cb44
com.hfcsbc.sdk	upload-client	0.0.5		94a683298a6fb94607ab70b803c4d63ff7e02339
com.hfcsbc.sdk	upload-client	0.0.6		472bf03c578f1377088aa5f99082a603d4d2d451
com.hfcsbc.sdk	upload-client	0.0.7		4498d8563c063d2ced638a2166230c884cf80d2b
com.hfcsbc.sdk	upload-client	0.0.8		73504bd953d3f0e911070a4f9686db128d85561f
com.hfcsbc.sdk	upload-client	0.0.9		ee91afee5281445bc6b8d9125376d80f9c0b7f0b
com.hfcsbc.sdk	upload-client	2.0.10		a9e84b6b0decbfb0b8e6f4e01496e79388bfb9ed
com.hfcsbc.sdk	upload-client	2.0.11		b92e3e1aa8fc3cd2dba1bd484849c103a69a3a31
com.hfcsbc.sdk	upload-client	2.0.12		4d1a23cd8773a1c44f33dd13cf1d69cee75ad30c
com.hfcsbc.sdk	upload-client	2.0.13		3b543eaea86852e1d9beb2fe642b5d9ecf856882
com.hfcsbc.sdk	upload-client	2.0.14		3433e554451a95b96dbe71ec0afd26f00766f68a
com.hfcsbc.sdk	upload-client	2.0.15		c1132c73cf1d5867c34356948e93e8401b7d35ca
com.hfcsbc.sdk	upload-client	2.0.16		4b3ac821f89f94a1ee8e82d99bff55f1e9d6332d
com.hfcsbc.sdk	upload-client	2.0.17		3c8503f0581430dc45cb1a1caefca190a3267adc
com.hfcsbc.sdk	upload-client	2.0.18		e860d086375299a24d313ee5646aa6fba6239539
com.hfcsbc.sdk	upload-client	2.0.19		014e9719229176ff879ee96e1e4842971acc2e28
com.hfcsbc.sdk	upload-client	2.0.20		3dfca7bfbdc104b3f376a8ae8aa342d384d92464
com.hfcsbc.sdk	upload-client	2.0.21		b99d41f9aa74e805af4171d8c29513fad28a77ef
com.hfcsbc.sdk	upload-client	2.0.22		1016cecb41389631f01c984588a723a75ef48788
com.hfcsbc.sdk	upload-client	2.0.23		dd0772f85de42c1a747ba9c32e90f3be7d83109a
com.hfcsbc.sdk	upload-client	2.0.24		358d1b9ac13786ac6407a67f6779c7620172ad10
com.hfcsbc.sdk	upload-client	2.0.25		216263cc9f853831dc19b433bfdcb9d8b2d38f83
com.hfcsbc.sdk	upload-client	2.0.26		61baeb59dd3cb93f02234308fe63c8b1b5c73f52
com.hfcsbc.sdk	upload-client	2.0.26.1		cabcd8d3bb8db45efa9b27edbb993d14f85463a1
com.hfcsbc.sdk	upload-client	2.0.26.1.0		0aa8c8060cdc37f294dccd951d3979fe2c6f8e5a
com.hfcsbc.sdk	upload-client	2.0.26.2		89451be947be14f01e00efa06201540e165bca93
com.hfcsbc.sdk	upload-client	2.0.26.3		2518c1220eade1ac6728120f6567e43b8a7495c9
com.hfcsbc.sdk	upload-client	2.0.26.4		baa38aabeb299911de8b4dd1936c802af6c11980
com.hfcsbc.sdk	upload-client	2.0.26.5		c759591c84682578c74d809f439e0152899b9ec3
com.hfcsbc.sdk	upload-client	2.0.26.6		7b6fb60b487aecc019ad6eb30ba4fef2e696832a
com.hfcsbc.sdk	upload-client	2.0.26.7		7d840ed63e134045321c32165f115ffab9159877
com.hfcsbc.sdk	upload-client	2.0.26.8		ec96d7ee9daeed68ae89d0c8ff1b206ef602da97
com.hfcsbc.sdk	upload-client	2.0.26.9		fa112a81169d228911696e6fa6bbe54925b5b46e
com.hfcsbc.sdk	upload-client	2.0.28		a8ca0ff62587127db91f17b129ef2187dda90c2c
com.hfcsbc.sdk	upload-client	2.0.29		3284a6cf9c41eb1acfb536ac9d1e6f07ad42355b
com.hfcsbc.sdk	upload-client	2.0.30		8f838d6380c2469b5a63c9c88f8ccf9d9ddbc3e8
com.hfcsbc.sdk	upload-client	2.0.30.1		274a2dfd5e340a041bbf770f85d9d44678c78525
com.hfcsbc.sdk	upload-client	2.0.30.2		4989a6d72bb942200eb109af564ddd003c9a52d0
com.hfcsbc.sdk	upload-client	2.0.31		201442324efcb196b45ab9f683d418892912d17b
com.hfcsbc.sdk	upload-client	2.0.31.1		15474fe7ef10eb1c5bc17f625ca876d78c1be95b
com.hfcsbc.sdk	upload-client	2.0.31.2		6c466d9c1746c3b9fcfff017e742dc0cf00444d5
com.hfcsbc.sdk	upload-client	2.0.31.3		0650b8a2ee5495acb926288bcd1e433b476d42d2
com.hfcsbc.sdk	upload-client	2.0.31.4		4e17b0fcccf4411f530d7a6dbfe7d07c2b992afe
com.hfcsbc.sdk	upload-client	2.0.31.5		85ef1cbe56c8dc2e6889c147042a3f7ed07aea7d
com.hfcsbc.sdk	upload-client	2.0.31.6		0baa4ba478ecfea2a645bc3871920cc2a5dabf35
com.hfcsbc.sdk	upload-client	2.0.32		5f3914f756a72dfaba6fe955650fa2da95bbf83a
com.hfcsbc.sdk	upload-client	2.0.33		eec8829aa2fdc878b5c64905241322751963692c
com.hfcsbc.sdk	upload-client	2.0.34		a1412d26cbec8bb3800bba1a75cc64376fccbd66
com.hfcsbc.sdk	upload-client	2.0.35		8cf1fcd1939a852aa27e34fac2cbb415cf330767
com.hfcsbc.sdk	upload-client	2.0.36		3e2ae956f7cb9f5fc39330d7bd0bf3b4705a06cc
com.hfcsbc.sdk	upload-client	2.0.6		bb6c120907a6a4736a50e08a9fd3801a6d3d4247
com.hfcsbc.sdk	upload-client	2.0.7		bd1159455003e82cc8f86fae3e3072fe820fee06
com.hfcsbc.sdk	upload-client	2.0.8		70830a1f3ddb7f36be952370e427a473ded4cf4d
com.hfcsbc.sdk	upload-client	2.0.9		b5530bb2aa568a3584f3f3b7d24512b2b7d7ba22
com.hfcsbc.sdk	upload-client	2.1.0		a2baddaf9af5b03f3ec83c6675a22156c4cbdbec
com.hfcsbc.sdk	upload-client	2.2.0		8afa107c0f3e09bc7336dd769dcab485b48cb4a8
com.inkapplications.shade	devices-linuxx64	2.1.0		N/A
com.inkapplications.shade	devices-linuxx64	2.2.0		N/A
com.inkapplications.shade	devices-linuxx64	2.2.1		N/A
com.kgs-software	chemistry-opencmis-bridge	1.2.0		N/A
com.kgs-software	chemistry-opencmis-bridge	1.2.0	classes	6d3504ee77a9c7da9b74f901204a1ced17902e01
com.kgs-software	chemistry-opencmis-bridge	1.2.1		N/A
com.kgs-software	chemistry-opencmis-bridge	1.2.1	classes	1f553a2995d7a4914145d51c72f3d7c955329d92
com.kgs-software	chemistry-opencmis-bridge	1.2.2		N/A
com.kgs-software	chemistry-opencmis-bridge	1.2.2	classes	00414ff8e540441322af24898fa8a6a7d210151c
com.kgs-software	chemistry-opencmis-bridge	1.2.3		N/A
com.kgs-software	chemistry-opencmis-bridge	1.2.3	classes	7c6372f78dc72efefdfed236aa49134f39812aad
com.lapis.jsfexporter	export-type-excel	1.0.0.Alpha1		6982f1f378d724cd77a5a74f75f0e93cde453cf2
com.lapis.jsfexporter	export-type-excel	1.0.0.Final		9dadfcb614bfadb1fc1aa14cd75ad05fc82f9a1c
com.lapis.jsfexporter	export-type-excel	1.0.1.Final		5bce53cd4718c7caeb5f10a99c6c2ff7987045a0
com.lapis.jsfexporter	export-type-excel	1.0.2.Final		5588bc45479dde296187d3c80d1f113fa118f94f
com.lapis.jsfexporter	export-type-excel	1.0.3.Final		fcd9840594c52a950c7b6ef4517c383c88c31e51
com.lkroll	roll20-api-framework_sjs1_2.13	0.11.3		0b7feaa991bd331ed15eee79ddcb3cdfee541444
com.meetme.android	font-compat	1.0		N/A
com.namehillsoftware	lazy-j	0.11.0		c6a2bb5ad0603fd259f3092ec68cb545c6294470
com.namehillsoftware	lazy-j	0.9.0		9ee92a703a3961fed15aa67790ee5868c7a4255a
com.netflix.karyon	karyon-server	0.1.0		bf4bb493d8f94fba2b7cf776b455a7c9cbf6ee95
com.netflix.karyon	karyon-server	0.1.1		f7d4671eff8da56751d61974c9a624288aac223e
com.netflix.karyon	karyon-server	0.1.2		2cc69a4ff5ad2b89041188742ea0f2b5ecce2179
com.netifi	netifi-httpgateway-proto	1.6.10		d6ed1aef888f7c336be179702d2db93474bf858d
com.netifi	netifi-httpgateway-proto	1.6.7		448855a6f2a3cb3aaae8db244e2dddd92a106570
com.netifi	netifi-httpgateway-proto	1.6.8		a2ddc2fcf511c9d1525db534631ce0c9f07affcf
com.netifi	netifi-httpgateway-proto	1.6.9		d954b4bb77f48af86453e10d69b1156bce58e126
com.oracle.ozark.ext	ozark-mustache	1.0.0-m01		5c8b10b9c54b59adeae530f217188365f83caa22
com.sdl.delivery	udp-datalayer	11.0.1-1021		926112dbeff609f8b7e2f94c9a7cc2a5e3fbee24
com.soento	soento-websocket	1.0.0-RELEASE		af3686ff60d2e56dd00fcdf5cc019e7cce80539c
com.soento	soento-websocket	1.0.1-RELEASE		fc67b06f41b701b5a5720478960002af129a68ca
com.soento	soento-websocket	1.0.2-RELEASE		febab0a4e4d8a2f6ffbe244b352c29aadf190feb
com.soento	soento-websocket	1.1.0-RELEASE		c8350f1142d7926cc273d370d419c1ce3185a029
com.soento	soento-websocket	1.1.1-RELEASE		587f8484df1478993311c54eb9d5b3b1d642ac83
com.soento	soento-websocket	1.1.2-RELEASE		6243a90f03f85f24e8442ec8f75f4f0f9b6d948c
com.soento	soento-websocket	1.1.4-RELEASE		c9652921ae96f2d7aba2d8a0362bc24b085c94e7
com.soento	soento-websocket	1.1.5-RELEASE		75a4e67e991a16629bb84bcde04895e17970638b
com.soento	soento-websocket	1.1.7-RELEASE		75f3afe9f557392ebebcb26a44b312061e64808b
com.soento	soento-websocket	1.1.8-RELEASE		57c90c063169b93671f835293f00f572595f11c3
com.tourgeek.res	com.tourgeek.res.tour.app	0.8.2		9d2946b43f4ff589f2de907e35a82e678555c6b0
com.tourgeek.res	com.tourgeek.res.tour.app	0.8.3		bbc69943d10ddb09684ec73a319ecd457f72c9c2
com.tourgeek.res	com.tourgeek.res.tour.app	0.8.4		fc4f16beb0797f41dbc50dea9114777cbefdee67
com.tourgeek.res	com.tourgeek.res.tour.app	0.8.5		380aac840c8e0b8cce6f0ee75cdd4e365f44300c
com.walkmind.extensions	collections	1.23		c90995d5cf4aa23f69d9deee69525c6a637265f0
com.walkmind.extensions	collections	1.24		5ed1acc70573624ceacf3e52e0432adca5cc9afd
com.walkmind.extensions	collections	1.26		e94176cb891b58c300fa73993ebd9f2d8c201e12
com.walmartlabs.x12	gozer	0.1.0		a2601140d6609424e0a1248ed329e901a9269e12
com.walmartlabs.x12	gozer	0.1.1		d31c937a82d3cd924bce4fc6e0bd6013a320b312
com.walmartlabs.x12	gozer	0.1.2		755917a61e5fc8b965efadd7c975e60d51c77707
com.walmartlabs.x12	gozer	0.1.4		d6a1b9e66c7016432facffe5fbf0bf483f83dc91
com.walmartlabs.x12	gozer	0.1.5		585e8317a96a9af3e7b47126e4d26d9c1fe78a49
com.walmartlabs.x12	gozer	0.2.0		54915f07bec7923eb27663665265edd8965eebc6
com.walmartlabs.x12	gozer	0.2.1		7e24c394baf2a526ddede75e9f3ae003b3103072
com.walmartlabs.x12	gozer	0.3.0		e912153164e3e5363987ef2c07c5852d3c778adf
com.walmartlabs.x12	gozer	0.3.0.M1		e87a44a0f732d66e5805b900db7e59b9c0d94b59
com.walmartlabs.x12	gozer	0.3.0.M2		4abff689b0b486c468a37033a76c8245b90b10a7
com.walmartlabs.x12	gozer	0.3.0.M3		cea26944724659557e04c34af7b91225a63d94d0
com.walmartlabs.x12	gozer	0.3.0.M4		b9f79f4f99fee4020da14e749a3839d1d39c6d79
com.walmartlabs.x12	gozer	0.3.0.M6		27241804c21e6faa52e7d855e3bede95b7f84b30
com.walmartlabs.x12	gozer	0.3.0.M7		99ebd591b5f84ebbaf818d39440f8e310cf640b4
com.walmartlabs.x12	gozer	0.3.0.M8		cffe4ccfc3900cacc746a093d3662bd74a462bac
com.walmartlabs.x12	gozer	0.3.1		dcec7b2ba2c3c5b89208576d9b7b64fb84dee6d2
com.walmartlabs.x12	gozer	0.3.2		3a58e97e9d84a15ea2780a24d0001d1b467c862c
com.walmartlabs.x12	gozer	0.3.3		237f81480c9f113d9be88f696d71598341447cea
com.walmartlabs.x12	gozer	0.3.4		494cb125a3672476584aa091523536fc16d01adc
dev.icerock.moko	permissions-location-android	0.19.0		N/A
dev.icerock.moko	permissions-location-android	0.19.1		N/A
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.10		N/A
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.10	metadata	500bf6cc06121d06df5e2d63d3d11a8489df8744
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.11		N/A
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.11	metadata	bbeddd9e6733593cc208e816e5617580bed697b3
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.12		N/A
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.12	metadata	ca19ee276b0c712dd3602897d3a500bf9628174a
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.13		N/A
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.13	metadata	a42a0481d04b3f923d88f39dbe59ee8459430630
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.14		N/A
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.14	metadata	9fc3fbad7dc38e6676d3979b493ad10e0672642e
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.15		N/A
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.15	metadata	d59e34f443bd1ad60866ade20659c6c906900426
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.16		N/A
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.16	metadata	d72c967efa3c333f42199d232ab5ac6140b87014
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.17		N/A
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.17	metadata	2f66a9523da3e1515c5b96ce1723edb2bf40620e
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.18		N/A
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.18	metadata	3d4e42f74699dc8a050bab13d6da3dabd7cd7b1e
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.19		N/A
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.19	metadata	9ec15660b4e46649b06a647e42a68b2285f1d044
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.2		N/A
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.2	metadata	e9f622a291ac65c9b79ccab26139cced6022cf36
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.20		N/A
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.20	metadata	fa9363f09be09af0df284af83c1f656fa5496b0f
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.21		N/A
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.21	metadata	d853e0dec3f20eb7d233945a984572422ead879d
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.3		N/A
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.3	metadata	957f277d307c25b515cc17ed560e27575197505e
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.4		N/A
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.4	metadata	0c07f856d2856a6d8c139a7d7c95442302bca2cb
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.5		N/A
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.5	metadata	d705b77686f7131f2a40de3dcbf603872a11b945
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.6		N/A
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.6	metadata	a8eab1afb7506cdde3a2655a2513e7421d32843e
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.7		N/A
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.7	metadata	5800a4b38ec3d155416b9736158686a7eceb08a7
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.8		N/A
dev.programadorthi.routing	status-pages-iossimulatorarm64	0.0.8	metadata	116b07b96505a3b331cb3981123aa8677de99c6b
dev.programadorthi.routing	status-pages-iossimulatorarm64	2.0.0-alpha01		N/A
dev.programadorthi.routing	status-pages-iossimulatorarm64	2.0.0-alpha01	metadata	1a3878132965966a6d176e98de815202caaf56d5
dev.programadorthi.routing	status-pages-iossimulatorarm64	2.0.0-alpha02		N/A
dev.programadorthi.routing	status-pages-iossimulatorarm64	2.0.0-alpha02	metadata	e7f4c194507c75c65c3e7dbdba46c99218ad996c
dev.programadorthi.routing	status-pages-iossimulatorarm64	2.0.0-alpha03		N/A
dev.programadorthi.routing	status-pages-iossimulatorarm64	2.0.0-alpha03	metadata	ab3ba68acf66949f8d89ae1b7480c5815b69c3db
dev.programadorthi.routing	status-pages-iossimulatorarm64	v0.0.1		N/A
dev.programadorthi.routing	status-pages-iossimulatorarm64	v0.0.1	metadata	0f72db0a327f8c2d61794492b8056dd0ae9c6896
io.github.julian1503	shared-module	1.0.0		000747ee4dfcb28eaecdedbccb67ed3a81fa073a
io.github.julian1503	shared-module	1.0.1		d7443420cf6362a1b05df0096f4becb18bade54c
io.github.julian1503	shared-module	1.0.10		1b9500df43cc9de2d90f3da015d7fd2ce21d7cb6
io.github.julian1503	shared-module	1.0.11		50b81a4f3037332cd21de76e5a2f76b370682eb3
io.github.julian1503	shared-module	1.0.12		5810a2c0179773d144ca6a8ff28642cc4c30b64e
io.github.julian1503	shared-module	1.0.13		346aef56f765e55f1f999d3662ec3ac9643e6381
io.github.julian1503	shared-module	1.0.2		1980a6b1f0be9229e10edfef29aea8494dc6285d
io.github.julian1503	shared-module	1.0.3		ceb04a320488c6a1c26c8684dd036432b232c0fc
io.github.julian1503	shared-module	1.0.4		b43990d2c5a0f0e10132dfed5b2e49a19b54b7d4
io.github.julian1503	shared-module	1.0.5		c36c20e2667b5871a55138ea5343911d09a0e9ce
io.github.julian1503	shared-module	1.0.6		5857e786d04a697bcca7944fba646c14b725a77d
io.github.julian1503	shared-module	1.0.7		910cdcd0c766af2183c5d493e6344fc2c3b24d69
io.github.julian1503	shared-module	1.0.8		d9536cd7c8cbc716d74389de21d2560adf6daa8f
io.github.julian1503	shared-module	1.0.9		357f86388f850a2c473c102b1e42514a2eaee2e3
io.github.rahulk-101	tempsms-server-api	1.0.0		fd6685636be9a486158db9a3fed1492052cc7425
io.github.rahulk-101	tempsms-server-api	1.0.1		23a0ba42289608a521bc956acdacec400d3eef3f
io.github.sinri	SeaDog	1.0		0990ecb669866ce096bd9737672a0fb49b07b421
io.github.tomwindels	tesserakt-n3-js	0.1.0		N/A
io.github.tomwindels	tesserakt-n3-js	0.1.1		N/A
io.github.tomwindels	tesserakt-n3-js	0.1.2		N/A
io.rsocket.kotlin	rsocket-ktor-tvosx64	0.15.4		N/A
io.rsocket.kotlin	rsocket-ktor-tvosx64	0.15.4	metadata	8c60b6dd97e4d7a653fdaf4f21b962a01e0bf062
io.rsocket.kotlin	rsocket-ktor-tvosx64	0.16.0		N/A
io.rsocket.kotlin	rsocket-ktor-tvosx64	0.16.0	metadata	5738b7af7de545cb74eae0846bf13384dab9be8c
io.spinnaker.keel	keel-core	0.185.1		0c939801571c5fc25ef75853169c20207b4b9b48
io.spinnaker.keel	keel-core	0.186.1		f5bff786690d8b88be0fa9d480fc1b94f4de6eb6
io.spinnaker.keel	keel-core	0.187.0		67da5425ea8d4014a95880484c2157c01c2f9f55
io.spinnaker.keel	keel-core	0.188.0		89647cce4339f1e16131bb5c98253a231f937570
io.spinnaker.keel	keel-core	0.189.0		b9ccf13e6048c01d7a0ad1812f6e94b906deea15
io.spinnaker.keel	keel-core	0.189.1		54d264e858d5bf125fa0e77b04067589b1bc60eb
io.spinnaker.keel	keel-core	0.190.0		e34bd91fd405af0a813a3170e8b9ab5f3f65dc88
io.spinnaker.keel	keel-core	0.191.0		2dedd923930d31fb68427a48a1125bded3c2341b
io.spinnaker.keel	keel-core	0.191.1		1519698a1f75f50267012badee8711d5e0c01310
io.spinnaker.keel	keel-core	0.192.0		874345905d694d7afb0b29ec43a40c5629d9fe9e
io.spinnaker.keel	keel-core	0.194.1		e49b431c1a91b974178179776f9288f0510601b2
io.spinnaker.keel	keel-core	0.195.0		97175745d60a2519e72ee271e8dfa8ac1b82c730
io.spinnaker.keel	keel-core	0.195.1		175ad801339589aa1a966a5b0b73523f84d33b73
io.spinnaker.keel	keel-core	0.196.0		8ced879c79c962c341db2cb6a3a59f8556441ff9
io.spinnaker.keel	keel-core	0.196.1		7c301d6d36ba5ad577c9268a11eff5c43d1d9dfb
io.spinnaker.keel	keel-core	0.197.0		2142c9bd1e90c882e24d9b6b489a3ce5de364447
io.spinnaker.keel	keel-core	0.197.1		502be9a8bcb5d003a2b7c0c6807261e812dc2174
io.spinnaker.keel	keel-core	0.198.0		c1e7e2eeb539972ea565b5e003a5903d5768a7e2
io.spinnaker.keel	keel-core	0.199.0		751ba2af6d92f840726945cc52731ab301575744
io.spinnaker.keel	keel-core	0.199.1		a1fd1124a56c8ffa681ca5355102662ad2bdda9d
io.spinnaker.keel	keel-core	0.200.0		851e55b060ea11bbc4dc0225d6e777ea5d7a92e7
io.spinnaker.keel	keel-core	0.201.0		e5da74ceff849e8a8d4e8f051160e5fd048e3c12
io.spinnaker.keel	keel-core	0.202.0		f203904fcea9b73bdecf6902626cf5d00a40b56f
io.spinnaker.keel	keel-core	0.203.0		b1dca038db98b4e116c66e46282f892c1fae4109
io.spinnaker.keel	keel-core	0.204.0		c529029adb7627ba378fcfa08f08b3f93dd11964
io.spinnaker.keel	keel-core	0.205.0		fa3e7743c4214f2ac9c51b5d879f81e8fda37752
io.spinnaker.keel	keel-core	0.206.0		c5101cd42be68bdb18ed4c9ff20eb57241dcb943
io.spinnaker.keel	keel-core	0.206.1		329ef87abab3793f841255c3c3d35e6f2d8c4b02
io.spinnaker.keel	keel-core	0.206.2		9faa0401db119b87df0d8eebc5d4acaccf4a64f1
io.spinnaker.keel	keel-core	1.1.1		4a524bb911b308714e7cb17576a7b5b2962e536c
io.spinnaker.keel	keel-core	1.1.2		72747567e1b82da07d5b53af686a92c310ecd702
io.spinnaker.keel	keel-core	1.1.3		af922cfc8df5ae7fc5fd87057ab1be0a5bc546ab
io.spinnaker.keel	keel-core	1.2.0		615b43a065b4854d459d9ff748593c2dd07330f4
io.spinnaker.keel	keel-core	1.2.1		e611b7fdd20cb57781649e4aab603b42711e3d41
io.spinnaker.keel	keel-core	1.4.1		49c6f53da735e15d90646de893c278517fcf1a0a
io.spinnaker.keel	keel-core	2025.0-0		c12fbf35c289d79c81179c4b62ca89fb8a83d10e
