com.liferay	com.liferay.segments.web	1.0.19	jsdoc	c63a759e6f321836445e117b84926622fc15e082
com.liferay	com.liferay.segments.web	1.0.19	jspc	56e29c7cd71c59b2fa9afba51faf26afc608a976
com.liferay	com.liferay.segments.web	1.0.2		4559ff26406bba4965b0d70706b150a5a352b260
com.liferay	com.liferay.segments.web	1.0.2	jspc	d1c5871c7f65b4c1a6cfa12663803736e95649ac
com.liferay	com.liferay.segments.web	1.0.20		1fea9f4d0acf33ddf95f91c59755d7cbcb6938e5
com.liferay	com.liferay.segments.web	1.0.20	jsdoc	7c0ebcee825b8c0cb0e3f301dc9d27844c613cda
com.liferay	com.liferay.segments.web	1.0.20	jspc	718cc846219d816e6fbbcbe39c0ebd2eb4e9e8f5
com.liferay	com.liferay.segments.web	1.0.21		3b03a990abbb10413f68b8982f795b6c80cb58c2
com.liferay	com.liferay.segments.web	1.0.21	jsdoc	f588ee7eaa16160627f01c9b37f8de9e5a2baebe
com.liferay	com.liferay.segments.web	1.0.21	jspc	d3fde2f18e52f1d49452328cee692bdd39bab764
com.liferay	com.liferay.segments.web	1.0.22		684db23b6adce74d71709f9b0b8b3a24cb000369
com.liferay	com.liferay.segments.web	1.0.22	jsdoc	e5dcdce3ffe99d812edf7faa93fdb6f92754eebc
com.liferay	com.liferay.segments.web	1.0.22	jspc	400c5bf468d6afb237b2364e494748ae05e2870d
com.liferay	com.liferay.segments.web	1.0.23		1b063e5e678648914e95a82e3781ac6504959329
com.liferay	com.liferay.segments.web	1.0.23	jsdoc	58736c2cb1db6ead5ced14ff723aa79009e766f9
com.liferay	com.liferay.segments.web	1.0.23	jspc	a771f46f4e511f21dc9d704d5e908271cc1d4b92
com.liferay	com.liferay.segments.web	1.0.24		61dc43e81c3c3707fe80f264415a59b81eaf6806
com.liferay	com.liferay.segments.web	1.0.24	jsdoc	e35c806cfb297cf79d8377f846dcd6490692db0b
com.liferay	com.liferay.segments.web	1.0.24	jspc	b52623e467c2dfc0e05400ae908a8ed10ecd33de
com.liferay	com.liferay.segments.web	1.0.25		002036783e15d2422a5fa9eb14c23e5f85c0840e
com.liferay	com.liferay.segments.web	1.0.25	jsdoc	dc74cf8c9214d675731b05e128de248126eaf9a1
com.liferay	com.liferay.segments.web	1.0.25	jspc	877b8116bf315576d91b2b8cc3647034ec2d06aa
com.liferay	com.liferay.segments.web	1.0.26		b2200ec70ef6efba8af93c3394929aed5536585d
com.liferay	com.liferay.segments.web	1.0.26	jsdoc	d5307bd6416ca92f0d2ae8d7c45cd29ba787be4e
com.liferay	com.liferay.segments.web	1.0.26	jspc	3796361fe6f0cbf774cb998dec11cd807c4c3f9b
com.liferay	com.liferay.segments.web	1.0.27		ecbde1ff9ab588d56b583c3d0666a95f7750c77f
com.liferay	com.liferay.segments.web	1.0.27	jsdoc	c360487c6d8feed106e60900b0beec4f73ec7907
com.liferay	com.liferay.segments.web	1.0.27	jspc	a7a70c0a76c836916a4b87ac01e48f958c2e9681
com.liferay	com.liferay.segments.web	1.0.28		00e67cb8f71cd934162a58a4ce581a2d9a5fa34f
