apache-jaxme	jaxme-incubation	0.2		673e597271e0a5c22680efbaefdfe9c8c35ce1ff
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.22		2795ad11d30e64954770829a257b6837392fb8a2
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.22	wsdd	c32cd165cb5a8d2f29b48d241ba5666684cfaecd
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.23		7e4c19ef6cf262464ee4c9d5eb8e63fc9ca25cd1
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.23	wsdd	a46679fe56727df7a69c902bfdb106bb54000b1c
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.24		01ce4f503cda3844422fccc3bd59ee32c8d47906
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.24	wsdd	0b09fc5195b50f17d1af2d620317a00b4f3538e3
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.25		153e70397f2b55d6787355a236553ea7a16a7d5e
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.25	wsdd	eef0899bf03fc7f33ac045f9ba32f11a63d46423
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.26		cacbac25aa23236ddecea1f4a8392b93d2679e61
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.26	wsdd	1528adcf12530dfac68dc14cd0f114fb37a4e2e5
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.27		08e5602c1085dc83b4935a7075a9ae9ec26ea3ac
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.27	wsdd	bd0dc9174ac19f296c91c8f18f2935e6ca2dd6a1
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.28		ed7d009953abd0676a7003529466c5631193153b
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.28	wsdd	a9cc3261941fe2294c641abe8278add8b73451df
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.29		c70de7b1981d30267081f500cf327249c0265c2f
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.29	wsdd	80baac1805d97a8cd1b9d34b429639e61e978796
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.3		eefc8c7c3997fd8a9353b8abeb2ea40e8e18caa4
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.3	wsdd	a16e8b0c09c81e43811034e55545e0b63a8cf52d
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.30		a4a0d4d07c389aa8939d3ccdf9dcbce89ee17882
com.liferay	com.liferay.portal.security.wedeploy.auth.service	1.0.30	wsdd	51f6448547395d3a47459a71997d693dcb9f87e6
